assay_id,src_id,tissue_id,confidence_score,doc_id,assay_organism,description,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
8070,1,,1,12745,Mus musculus,Bioavailability in mouse serum after intravenous administration of 105.1 mg/kg of dose,A,,,10090.0,,,
8071,1,,1,12745,Mus musculus,Bioavailability in mouse serum after intravenous administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),A,,,10090.0,,,
8072,1,,1,12745,Mus musculus,Bioavailability in mouse serum after oral administration of 100 mg/kg of dose,A,,,10090.0,,,
8073,1,,1,12745,Mus musculus,Bioavailability in mouse serum after oral administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),A,,,10090.0,,,
8074,1,1969.0,0,13298,,AUC in mice after oral dose (50 mg/kg),A,,,,,Plasma,
8075,1,1977.0,1,12226,Mus musculus,Blood level after oral administration in mice (50 mg/kg) was determined by bioassay procedure and represent total activity present in the serum,A,,,10090.0,,Serum,
8076,1,1969.0,0,12634,,AUC (0-4 hr) ug/ml/h,A,,,,,Plasma,
8077,1,,1,14810,Rattus norvegicus,Compound at a dose of 10 mg/kg was orally administered to rats and Area under curve was reported,A,,,10116.0,,,
8078,1,,0,13889,,Compound evaluated for AUC = Area under the nucleoside serum or brain concentration versus time curve after iv administration,A,,,,,,
8079,1,,1,10018,Mus musculus,Compound was evaluated for Area under curve in mice,A,,,10090.0,,,
8080,1,,1,8758,Rattus norvegicus,Compound was evaluated for area under curve doses in rat at 100 mg/kg po,A,,,10116.0,,,
8081,1,,0,8758,,Compound was evaluated for area under curve doses in rat at 100 mg/kg po,F,,,,,,
8082,1,,1,8758,Rattus norvegicus,Compound was evaluated for area under curve doses in rat at 50 mg/kg po,A,,,10116.0,,,
8083,1,,0,2249,,Compound was evaluated for area under curve of growth hormone release after chronic oral dosing at 0.5 mpk on day 1,A,,,,,,
8084,1,,0,2249,,Compound was evaluated for area under curve of growth hormone release after chronic oral dosing at 0.5 mpk on day 4,A,,,,,,
8085,1,,0,2249,,Compound was evaluated for area under curve of growth hormone release after chronic oral dosing at 1.0 mpk on day 1,A,,,,,,
8086,1,,0,2249,,Compound was evaluated for area under curve of growth hormone release after chronic oral dosing at 1.0 mpk on day 4,A,,,,,,
8087,1,,1,15115,Mus musculus,Compound was evaluated for area under curve when administered through oral route in mouse,A,,,10090.0,,,
8088,1,,1,6518,Rattus norvegicus,Plasma clearance after oral administration at a dose of 2 mg/kg in rat; no data,A,In vivo,,10116.0,,,
8089,1,,1,6518,Rattus norvegicus,Plasma clearance after oral administration at a dose of 4 mg/kg in rat; no data,A,In vivo,,10116.0,,,
8090,1,,1,6249,Rattus norvegicus,Plasma clearance in rat,A,In vivo,,10116.0,,,
8091,1,,1,2463,Rattus norvegicus,Plasma clearance was evaluated in vivo in rat at a dose of 5 mg/kg by intra venous administration,A,In vivo,,10116.0,,,
8092,1,,1,4969,Rattus norvegicus,Plasma clearance rate in Sprague-Dawley rats,A,In vivo,,10116.0,,,
8093,1,,1,17720,Rattus norvegicus,CLtot at a dose of 4 mg/kg in Rat Plasma after iv administration,F,In vivo,,10116.0,,,
8094,1,,1,3457,Rattus norvegicus,Pharmacokinetic property (total body clearance) in rat,A,In vivo,,10116.0,,,
8095,1,,1,5983,Rattus norvegicus,Pharmacokinetic property (CLtot)of the compound was measured in rat at the dose of 0.32 mg/kg i.v.,A,In vivo,,10116.0,,,
8096,1,,1,6295,Rattus norvegicus,In vivo concentration in rat liver exposure 0-8 hour after oral administration 50 mg/kg,A,,,10116.0,,,
8097,1,,1,6296,Rattus norvegicus,In vivo concentration in rat liver exposure 0-8 hour after oral administration 50 mg/kg,A,,,10116.0,,,
8098,1,,1,17686,Rattus norvegicus,Cl in rat i.v. at 2 mg/kg concentration,A,In vivo,,10116.0,,,
8099,1,,1,17764,Rattus norvegicus,Clearance of compound after intravenous administration in rats at 24 uM/kg,A,In vivo,,10116.0,,,
8100,1,,1,5503,Rattus norvegicus,Clearance was determined,A,In vivo,,10116.0,,,
8101,1,,1,4368,Rattus norvegicus,Clearance by intravenous administration of 3.4 mg/kg in rat,A,In vivo,,10116.0,,,
8102,1,,1,6005,Rattus norvegicus,Clearance was evaluated after i.v. administration in rat at a dose of 1 mg/kg,A,In vivo,,10116.0,,,
8103,1,,1,5031,Rattus norvegicus,Clearance rate after i.v. administration in rats,A,In vivo,,10116.0,,,
8104,1,,1,4890,Rattus norvegicus,Clearance was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,A,In vivo,,10116.0,,,
8105,1,,1,5182,Rattus norvegicus,Clearance was determined by administering the compound intravenously at a dose of 1 mg/kg in male wistar rat,A,In vivo,,10116.0,,,
8106,1,,1,5979,Rattus norvegicus,Clearance (Cl) of compound after 2 h iv infusion of 8.4 mg/kg in three rat,A,In vivo,,10116.0,,,
8107,1,,1,5656,Rattus norvegicus,Clearance (Cl) after oral administration in rat,A,In vivo,,10116.0,,,
8108,1,,1,17804,Rattus norvegicus,Compound clearance in rats was measured after intravenous administration at 3 mg/kg,A,In vivo,,10116.0,,,
8109,1,1969.0,1,4839,Rattus norvegicus,Compound was tested for plasma clearance in rat,A,In vivo,,10116.0,,Plasma,
8110,1,,1,5041,Rattus norvegicus,In vitro microsome metabolism clearance in rat was determined,A,In vitro,,10116.0,,,
8111,1,,1,5041,Rattus norvegicus,In vitro microsome metabolism clearance in rat was determined; ND denotes no data,A,In vitro,,10116.0,,,
8112,1,,1,5974,Rattus norvegicus,In vivo Clearance (Cl) was determined after intravenous administration of compound (9.13+/-0.85 mg/kg) in male Sprague-Dawley rat,A,In vivo,,10116.0,,,
8113,1,1969.0,1,5496,Rattus norvegicus,In vivo plasma clearance was determined,A,In vivo,,10116.0,,Plasma,
8114,1,,1,5739,Rattus norvegicus,Pharmacokinetic property (Clearance) for the compound (5 mg/kg iv) was determined in rats,A,In vivo,,10116.0,,,
8115,1,2107.0,1,5676,Rattus norvegicus,Pharmacokinetic property (Clearance) in rat hepatocyte i.v.,A,In vivo,,10116.0,,Liver,Hepatocyte
8116,1,,1,4239,Rattus norvegicus,Pharmacokinetic property (Plasma clearance) was measured in rat,A,In vivo,,10116.0,,,
8117,1,,1,5676,Rattus norvegicus,Pharmacokinetic property (clearance) in rat i.v.,A,In vivo,,10116.0,,,
8118,1,,1,1918,Rattus norvegicus,"Plasma Clearance was evaluated in rats, iv",A,In vivo,,10116.0,,,
8119,1,,1,17800,Rattus norvegicus,Plasma clearance (in vivo) in rats was determined,A,In vivo,,10116.0,,,
8120,1,,1,6056,Rattus norvegicus,Plasma clearance for the compound was calculated at a single intravenous administration of 20 mg/kg in rat,A,In vivo,,10116.0,,,
8121,1,,1,5496,Rattus norvegicus,Plasma clearance was determined,A,In vivo,,10116.0,,,
8122,1,,1,5939,Rattus norvegicus,Plasma clearance in rat after peroral administration at 10 mg/kg concentration,A,In vivo,,10116.0,,,
8123,1,,1,5939,Rattus norvegicus,Plasma clearance in rat after peroral administration at 5 mg/kg concentration,A,In vivo,,10116.0,,,
8124,1,,1,17752,Rattus norvegicus,Plasma clearance in rats,A,In vivo,,10116.0,,,
8125,1,,1,4576,Rattus norvegicus,Plasma clearance rate determined in rat,A,In vivo,,10116.0,,,
8126,1,,1,6011,Rattus norvegicus,Plasma clearance was determined in rat,A,In vivo,,10116.0,,,
8127,1,,1,5510,Rattus norvegicus,Plasma clearance was determined,A,In vivo,,10116.0,,,
8128,1,,1,5948,Rattus norvegicus,Plasma clearance value in rat,A,In vivo,,10116.0,,,
8129,1,2107.0,1,6125,Rattus norvegicus,Clearance rate constant using isolated perfused rat liver (IPRL) assay,A,Ex vivo,,10116.0,,Liver,
8130,1,,1,4839,Rattus norvegicus,Clearance in rat,A,In vivo,,10116.0,,,
8131,1,,1,17686,Rattus norvegicus,Total body clearance in rat i.v. at 2 mg/kg concentration,A,In vivo,,10116.0,,,
8132,1,,1,6571,Rattus norvegicus,Clearance of compound in rats after intravenous administration,A,In vivo,,10116.0,,,
8133,1,,1,3364,Rattus norvegicus,Clearance after iv administration to rats,A,In vivo,,10116.0,,,
8134,1,,1,13569,Rattus norvegicus,Clearance at an iv dose of 12 mg/Kg and po dose of 23 mg/Kg,A,In vivo,,10116.0,,,
8135,1,,1,13569,Rattus norvegicus,Clearance at an iv dose of 14 mg/Kg and po dose of 15 mg/Kg,A,In vivo,,10116.0,,,
8136,1,,1,13569,Rattus norvegicus,Clearance at an iv dose of 15 mg/Kg and po dose of 30 mg/Kg,A,In vivo,,10116.0,,,
8137,1,,1,13569,Rattus norvegicus,Clearance at an iv dose of 15 mg/Kg and po dose of 30.2 mg/Kg,A,In vivo,,10116.0,,,
8138,1,,1,13569,Rattus norvegicus,Clearance at an iv dose of 15.6 mg/Kg and po dose of 31.2 mg/Kg,A,In vivo,,10116.0,,,
8139,1,,1,13569,Rattus norvegicus,Clearance at an iv dose of 15.7 mg/Kg and po dose of 31.4 mg/Kg,A,In vivo,,10116.0,,,
8140,1,,1,13569,Rattus norvegicus,Clearance at an iv dose of 16 mg/Kg and po dose of 35 mg/Kg,A,In vivo,,10116.0,,,
8141,1,,1,17670,Rattus norvegicus,"Clearance in fischer rats at 5 mg/kg dose, administered intravenously",A,In vivo,,10116.0,,,
8142,1,,1,5970,Rattus norvegicus,Clearance in rat,A,In vivo,,10116.0,,,
8143,1,,1,6495,Rattus norvegicus,Clearance in rat after oral administration at 10 mg/kg,A,In vivo,,10116.0,,,
8144,1,,1,4590,Rattus norvegicus,Clearance in rat.,A,In vivo,,10116.0,,,
8145,1,,1,6193,Rattus norvegicus,Clearance rate following an oral dose of 20 mg/kg in rats,A,In vivo,,10116.0,,,
8146,1,,1,2832,Rattus norvegicus,Compound was evaluated for the rate of clearance in rat upon intravenous administration.,A,In vivo,,10116.0,,,
8147,1,1969.0,1,1052,Rattus norvegicus,Compound was tested for plasma clearance in rats after 5 mg/kg of intravenous dosing,A,In vivo,,10116.0,,Plasma,
8148,1,2107.0,1,9866,Rattus norvegicus,Biodistribution in rat liver in the presence of GdDTPA-BDP at 1 hr,A,In vivo,,10116.0,,Liver,
8149,1,2107.0,1,9866,Rattus norvegicus,Biodistribution in rat liver in the presence of GdDTPA-BDP at 30 min,A,In vivo,,10116.0,,Liver,
8150,1,2107.0,1,9866,Rattus norvegicus,Biodistribution in rat liver in the presence of GdDTPA-BDP at 4 hr,A,In vivo,,10116.0,,Liver,
8151,1,2107.0,1,9866,Rattus norvegicus,Biodistribution in rat liver in the presence of GdDTPA-HPDP at 15 min,A,In vivo,,10116.0,,Liver,
8152,1,2107.0,1,9866,Rattus norvegicus,Biodistribution in rat liver in the presence of GdDTPA-HPDP at 1 hr,A,In vivo,,10116.0,,Liver,
8153,1,2107.0,1,9866,Rattus norvegicus,Biodistribution in rat liver in the presence of GdDTPA-HPDP at 30 min,A,In vivo,,10116.0,,Liver,
8154,1,2107.0,1,9866,Rattus norvegicus,Biodistribution in rat liver in the presence of GdDTPA-HPDP at 4 hr,A,In vivo,,10116.0,,Liver,
8155,1,2107.0,1,9866,Rattus norvegicus,Biodistribution in rat liver in the presence of NAC Gd/0.01 M GdDTPA-HPDP,A,In vivo,,10116.0,,Liver,
8156,1,2107.0,1,9866,Rattus norvegicus,Biodistribution in rat liver in the presence of NCA Gd/0.01 M lip,A,In vivo,,10116.0,,Liver,
8157,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of 0.01 M GdDTPA-BDP,A,In vivo,,10116.0,,Muscle tissue,
8158,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of 0.05 M Gd/0.15 M lig,A,In vivo,,10116.0,,Muscle tissue,
8159,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of 0.05 M GdDTPA-BDP,A,In vivo,,10116.0,,Muscle tissue,
8160,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of 0.10 M GdDTPA-BDP,A,In vivo,,10116.0,,Muscle tissue,
8161,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of GdDTPA-BDP at 1 hr,A,In vivo,,10116.0,,Muscle tissue,
8162,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of GdDTPA-BDP at 4 hr,A,In vivo,,10116.0,,Muscle tissue,
8163,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of GdDTPA-BDPat 15 min,A,In vivo,,10116.0,,Muscle tissue,
8164,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of GdDTPA-BDPat 30 min,A,In vivo,,10116.0,,Muscle tissue,
8165,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of GdDTPA-HPDP at 1 hr,A,In vivo,,10116.0,,Muscle tissue,
8166,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of GdDTPA-HPDP at 4 hr,A,In vivo,,10116.0,,Muscle tissue,
8167,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of GdDTPA-HPDPat 15 min,A,In vivo,,10116.0,,Muscle tissue,
8168,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of GdDTPA-HPDPat 30 min,A,In vivo,,10116.0,,Muscle tissue,
8169,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of NCA Gd/0.01 M lip,A,In vivo,,10116.0,,Muscle tissue,
8170,1,2385.0,1,9866,Rattus norvegicus,Biodistribution in rat muscle in the presence of NCAGd/0.01 M lig,A,In vivo,,10116.0,,Muscle tissue,
8171,1,160.0,1,9866,Rattus norvegicus,Biodistribution in rat s. intestine in the presence of 50 Gd/kg at 2 hr,A,In vivo,,10116.0,,Intestine,
8172,1,160.0,1,9866,Rattus norvegicus,Biodistribution in rat s. intestine in the presence of 50 Gd/kg at 6 hr,A,In vivo,,10116.0,,Intestine,
8173,1,160.0,1,9866,Rattus norvegicus,Biodistribution in rat s. intestine in the presence of NCA (No carrier added),A,In vivo,,10116.0,,Intestine,
8174,1,2106.0,1,9866,Rattus norvegicus,Biodistribution in rat spleen in the presence of 0.01 M GdDTPA-BDP,A,In vivo,,10116.0,,Spleen,
8175,1,2106.0,1,9866,Rattus norvegicus,Biodistribution in rat spleen in the presence of 0.05 M Gd/0.15 M lig; ND=No data,A,In vivo,,10116.0,,Spleen,
8176,1,2106.0,1,9866,Rattus norvegicus,Biodistribution in rat spleen in the presence of 0.05 M GdDTPA-BDP; ND=No data,A,In vivo,,10116.0,,Spleen,
8177,1,2106.0,1,9866,Rattus norvegicus,Biodistribution in rat spleen in the presence of 0.10 M GdDTPA-BDP,A,In vivo,,10116.0,,Spleen,
8178,1,2106.0,1,9866,Rattus norvegicus,Biodistribution in rat spleen in the presence of 50 Gd/kg at 15 min,A,In vivo,,10116.0,,Spleen,
8179,1,2106.0,1,9866,Rattus norvegicus,Biodistribution in rat spleen in the presence of 50 Gd/kg at 2 hr,A,In vivo,,10116.0,,Spleen,
8180,1,2106.0,1,9866,Rattus norvegicus,Biodistribution in rat spleen in the presence of 50 Gd/kg at 6 hr,A,In vivo,,10116.0,,Spleen,
8181,1,2106.0,1,9866,Rattus norvegicus,Biodistribution in rat spleen in the presence of NCA Gd/0.01 M lip,A,In vivo,,10116.0,,Spleen,
8182,1,2106.0,1,9866,Rattus norvegicus,Biodistribution in rat spleen in the presence of NCAGd/0.01 M lig,A,In vivo,,10116.0,,Spleen,
8183,1,945.0,1,9866,Rattus norvegicus,Biodistribution in rat stomach in the presence of 50 Gd/kg at 15 min,A,In vivo,,10116.0,,Stomach,
8184,1,945.0,1,9866,Rattus norvegicus,Biodistribution in rat stomach in the presence of 50 Gd/kg at 2 hr,A,In vivo,,10116.0,,Stomach,
8185,1,945.0,1,9866,Rattus norvegicus,Biodistribution in rat stomach in the presence of 50 Gd/kg at 6 h; ND=No data,A,In vivo,,10116.0,,Stomach,
8186,1,178.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat blood was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Blood,
8187,1,178.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat blood was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Blood,
8188,1,178.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat blood was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Blood,
8189,1,178.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat blood was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Blood,
8190,1,178.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat blood was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Blood,
8191,1,955.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat brain was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Brain,
8192,1,955.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat brain was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Brain,
8193,1,955.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat brain was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Brain,
8194,1,955.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat brain was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Brain,
8195,1,955.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat brain was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Brain,
8196,1,948.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat heart was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Heart,
8197,1,948.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat heart was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Heart,
8198,1,948.0,1,13950,Rattus norvegicus,Biodistribution of [123I]-label in rat heart was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,10116.0,,Heart,
8199,1,,1,6062,Rattus norvegicus,Terminal phase volume of distribution was measured in rat after an iv dose of 1 mg/kg,A,In vivo,,10116.0,,,
8200,1,,1,3598,Rattus norvegicus,Apparent volume of the central plasma compartment (Vc) of compound determined in rat after iv administration at a dose of 10 mg/kg,A,,,10116.0,,,
8201,1,,1,1908,Rattus norvegicus,Vc value after IV dose at a dose of 5 mg/kg in rats.,A,In vivo,,10116.0,,,
8202,1,,1,17596,Rattus norvegicus,Apparent volume of distribution at 10 mg/kg in rat upon intravenous administration,A,In vivo,,10116.0,,,
8203,1,,1,4891,Rattus norvegicus,Compound was evaluated for pharmacokinetic parameter volume of distribution,A,In vivo,,10116.0,,,
8204,1,,1,740,Rattus norvegicus,Compound was evaluated for volume of distribution in rat,A,In vivo,,10116.0,,,
8205,1,,1,16366,Rattus norvegicus,Steady state volume distribution was determined; steady state(ss),A,In vivo,,10116.0,,,
8206,1,,1,3364,Rattus norvegicus,Steady state volume of distribution after iv administration to rats,A,In vivo,,10116.0,,,
8207,1,,1,2552,Rattus norvegicus,Steady state volume of distribution dosing at 3 mg/kg iv,A,In vivo,,10116.0,,,
8208,1,,1,406,Rattus norvegicus,The compound was evaluated for volume of distribution in rat,A,In vivo,,10116.0,,,
8209,1,,1,12500,Rattus norvegicus,The compound was tested for volume of distribution in rat,A,In vivo,,10116.0,,,
8210,1,,1,12500,Rattus norvegicus,The compound was tested for volume of distribution in rat at dose of 3-10 mgkg,A,In vivo,,10116.0,,,
8211,1,,1,5656,Rattus norvegicus,Volume distribution (VD) after oral administration in rat,A,In vivo,,10116.0,,,
8212,1,,1,17671,Rattus norvegicus,Volume distribution of compound in male Sprague-Dawley rats following an intravenous bolus dose at 10-20 mg/kg,A,In vivo,,10116.0,,,
8213,1,,1,1094,Rattus norvegicus,Volume distribution in rat,A,In vivo,,10116.0,,,
8214,1,,1,5833,Rattus norvegicus,Volume distribution in rat,A,In vivo,,10116.0,,,
8215,1,,1,5939,Rattus norvegicus,Volume distribution in rat after peroral administration at 10 mg/kg,A,In vivo,,10116.0,,,
8216,1,,1,5939,Rattus norvegicus,Volume distribution in rat after peroral administration at 5 mg/kg,A,In vivo,,10116.0,,,
8217,1,,1,6005,Rattus norvegicus,Volume distribution was evaluated after i.v. administration in rat at a dose of 1 mg/kg,A,In vivo,,10116.0,,,
8218,1,,1,1696,Rattus norvegicus,Volume of distribution in rat.,A,In vivo,,10116.0,,,
8219,1,,1,6672,Rattus norvegicus,Volume of distribution in rat,A,In vivo,,10116.0,,,
8220,1,,1,6673,Rattus norvegicus,Volume of distribution in rat,A,In vivo,,10116.0,,,
8221,1,,1,5871,Rattus norvegicus,Volume of distribution in rat by iv administration,A,In vivo,,10116.0,,,
8222,1,,1,6803,Rattus norvegicus,Volume of distribution in rats,A,In vivo,,10116.0,,,
8223,1,,1,5199,Rattus norvegicus,Volume of distribution was determined in female Sprague-Dawley rats following intravenous (iv) administration of drug (1 mg/kg).,A,In vivo,,10116.0,,,
8224,1,,1,4727,Rattus norvegicus,Volume distribution at the dose of 2 mg/kg in rat,A,,,10116.0,,,
8225,1,,1,16367,Rattus norvegicus,Steady state volume of distribution was determined,A,In vivo,,10116.0,,,
8226,1,,0,5005,Macaca mulatta,Compound was tested for its plasma volume distribution in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po,A,In vivo,,9544.0,,,
8227,1,,0,5005,Rattus norvegicus,Compound was tested for its plasma volume distribution in Sprague Dawley rats,A,In vivo,,10116.0,,,
8228,1,,0,5005,Rattus norvegicus,Compound was tested for its plasma volume distribution in Sprague Dawley rats; ND is not determined,A,In vivo,,10116.0,,,
8229,1,,1,15765,Rattus norvegicus,Mean (%CV) PK parameters for Vdss(mL/kg).,A,In vivo,,10116.0,,,
8230,1,,1,2792,Rattus norvegicus,Pharmacokinetic parameter Vdss was determined at 2 mg/kg i.v. dose in rats,A,In vivo,,10116.0,,,
8231,1,,1,2792,Rattus norvegicus,Pharmacokinetic parameter Vdss was determined at 5 mg/kg i.v. dose in rats,A,In vivo,,10116.0,,,
8232,1,,1,5334,Rattus norvegicus,Pharmacokinetic parameter volume of distribution was reported after intravenous administration at a dose of 1 mg/kg in Sprague-Dawley rat,A,In vivo,,10116.0,,,
8233,1,,1,5334,Rattus norvegicus,Pharmacokinetic parameter volume of distribution was reported in Sprague-Dawley rat; ND=Not determined,A,In vivo,,10116.0,,,
8234,1,,1,5739,Rattus norvegicus,Pharmacokinetic property (Vdss) for the compound (5 mg/kg iv) was determined in rats,A,In vivo,,10116.0,,,
8235,1,,1,5789,Rattus norvegicus,Pharmacokinetic property (Vdss) in rat,A,In vivo,,10116.0,,,
8236,1,,1,4239,Rattus norvegicus,Pharmacokinetic property (vdss) was measured in rat,A,In vivo,,10116.0,,,
8237,1,,1,4709,Rattus norvegicus,Steady state volume of distribution for the compound after intravenous administration of 1 mg/kg in rat,A,In vivo,,10116.0,,,
8238,1,,1,6642,Rattus norvegicus,Volume of distribution in rat,A,In vivo,,10116.0,,,
8239,1,,1,5247,Rattus norvegicus,The pharmacokinetic parameter volume of distribution in vivo in rats,A,In vivo,,10116.0,,,
8240,1,,1,17720,Rattus norvegicus,Vdss at a dose of 4 mg/kg in Rat Plasma after iv administration,F,In vivo,,10116.0,,,
8241,1,,1,17686,Rattus norvegicus,Vdss in rat i.v. at 2 mg/kg concentration,A,In vivo,,10116.0,,,
8242,1,,1,4689,Rattus norvegicus,Volume distribution after intravenous administration (1 mg/kg) in rat,A,In vivo,,10116.0,,,
8243,1,,1,5654,Rattus norvegicus,Volume distribution of compound was determined as average of four rats at each dose of 5 mg/kg intravenous and 16 mg/kg peroral administration,A,In vivo,,10116.0,,,
8244,1,,1,5654,Rattus norvegicus,Volume distribution of compound was determined as average of four rats at each dose of 5 mg/kg intravenous and 20 mg/kg peroral administration,A,In vivo,,10116.0,,,
8245,1,,1,4527,Rattus norvegicus,Volume distribution at a dose of 10 uM/kg in rat was determined,A,In vivo,,10116.0,,,
8246,1,,1,4521,Rattus norvegicus,Volume distribution in rat after 5 mg/kg by oral and 1 mg/kg by intravenous administration,A,In vivo,,10116.0,,,
8247,1,,1,6057,Rattus norvegicus,Volume distribution was calculated in rat,A,In vivo,,10116.0,,,
8248,1,,1,5510,Rattus norvegicus,Volume distribution was determined,A,In vivo,,10116.0,,,
8249,1,,1,2938,Rattus norvegicus,Volume of distribution after intravenous administration was evaluated in rat,A,In vivo,,10116.0,,,
8250,1,,1,6679,Rattus norvegicus,Volume of distribution at steady state was determined after 1 mg/kg (i.v.) / 2 mg/kg (p.o.) of compound administration,A,In vivo,,10116.0,,,
8251,1,,1,6685,Rattus norvegicus,"Volume of distribution at steady state was determined in rats at 10 mg/kg, p.o. dose; n/a: not applicable",A,In vivo,,10116.0,,,
8252,1,,1,6685,Rattus norvegicus,"Volume of distribution at steady state was determined in rats at 20 mg/kg, i.p. dose; n/a: not applicable",A,In vivo,,10116.0,,,
8253,1,,1,6685,Rattus norvegicus,"Volume of distribution at steady state was determined in rats at 2 mg/kg, i.v. dose",A,In vivo,,10116.0,,,
8254,1,,1,5145,Rattus norvegicus,Volume of distribution in steady state was determined in rat,A,In vivo,,10116.0,,,
8255,1,,1,6467,Rattus norvegicus,Volume of distribution in steady state was determined in rats at the dose of 1.0 mpk by i.v. administration,A,In vivo,,10116.0,,,
8256,1,,1,6467,Rattus norvegicus,Volume of distribution in steady state was determined in rats at the dose of 1.0 mpk by i.v. administration; ND= not determined,A,In vivo,,10116.0,,,
8257,1,,1,15115,Mus musculus,Compound was evaluated for area under curve when administered through oral route to mouse,A,,,10090.0,,,
8258,1,,1,8758,Rattus norvegicus,Compound was evaluated for area under curve doses in rat at 100 mg/kg po,A,,,10116.0,,,
8259,1,,1,8758,Rattus norvegicus,Compound was evaluated for area under curve doses in rat at 50 mg/kg po,A,,,10116.0,,,
8260,1,,0,8267,,Compound was evaluated for its bioavailability after oral administration (100 mg) to Beagle dogs,F,In vivo,,,,,
8261,1,,1,8267,Canis lupus familiaris,Compound was evaluated for its bioavailability after oral administration (200 mg) to Beagle dogs,A,,,9615.0,,,
8262,1,,1,14239,Mus musculus,Compound was evaluated for the area under the concentration - time curve by administering intravenously at 25 mg/kg in mice,A,,,10090.0,,,
8263,1,,1,14239,Mus musculus,Compound was evaluated for the area under the concentration - time curve by administering orally at 25 mg/kg in mice,A,,,10090.0,,,
8264,1,178.0,1,10754,Mus musculus,Compound was evaluated in vivo in blood samples from the orbital sinus for its concentration using Area under the time-concentration curve after 40 mg/kg intramuscular administration to mice,A,,,10090.0,,Blood,
8265,1,178.0,1,10754,Mus musculus,Compound was evaluated in vivo in blood samples from the orbital sinus for its concentration using Area under the time-concentration curve after 40 mg/kg peroral administration to mice,A,,,10090.0,,Blood,
8266,1,,1,10754,Canis lupus familiaris,Compound was evaluated in vivo in for its concentration using Area under the time-concentration curve after 40 mg/kg peroral administration to dogs.,A,,,9615.0,,,
8267,1,,1,14681,Rattus norvegicus,Compound was tested for area under concentration -time curve from time 0 to time infinity in three male Wistar rats at a single 5 mg/kg oral gavage dose,A,,,10116.0,,,
8268,1,,1,14681,Rattus norvegicus,Compound was tested for area under concentration -time curve from time 0 to time infinity in three male Wistar rats at a single 5 mg/kg oral gavage dose. ,A,,,10116.0,,,
