assay_id,src_id,description,assay_tissue,bao_format,src_assay_id,assay_organism,assay_category,curated_by,doc_id,assay_test_type,assay_type,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction,tid
6940,1,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 3,,BAO_0000219,,Homo sapiens,,Intermediate,15608,,F,9606.0,,A2780,,81034
6941,1,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 5,,BAO_0000219,,Homo sapiens,,Intermediate,15608,,F,9606.0,,A2780,,81034
6942,1,Cytotoxicity on AA8 cell growth (reduce cell number by 50%).,,BAO_0000019,,Cricetulus griseus,,Autocuration,15296,,F,10029.0,,,,22224
6943,1,Evaluated for cytotoxicity under aerobic conditions against AA8 cells using microassay,,BAO_0000219,,Cricetulus griseus,,Autocuration,10251,,A,10029.0,,CHO-AA8,,22224
6944,1,Evaluated for growth inhibition of AA8 cells under aerobic conditions,,BAO_0000219,,Cricetulus griseus,,Autocuration,10251,,F,10029.0,,CHO-AA8,,22224
6945,1,Evaluated for growth inhibition of AA8 cells under aerobic or hypoxic conditions,,BAO_0000219,,Cricetulus griseus,,Autocuration,10251,,F,10029.0,,CHO-AA8,,22224
6946,1,Evaluated for growth inhibition of AA8 cells under aerobic or hypoxic conditions (air/N2),,BAO_0000219,,Cricetulus griseus,,Autocuration,10251,,F,10029.0,,CHO-AA8,,22224
6947,1,Growth inhibition against CHO-derived cell line AA8,,BAO_0000019,,Cricetulus griseus,,Autocuration,11858,,F,10029.0,,,,22224
6948,1,Growth inhibition against CHO-derived cell line AA8 (Non toxic at solubility limit) [RB6145 used as positive control],,BAO_0000219,,Cricetulus griseus,,Autocuration,11858,,F,10029.0,,CHO-AA8,,22224
6949,1,Growth inhibition in CHO subline AA8 cells exposed for 18 hr under aerobic(air) conditions,,BAO_0000219,,hampster,,Expert,11616,,F,36483.0,,CHO-AA8,,80089
6950,1,Growth inhibitory activity against CHO subline AA8 cells exposed for 18 hr under aerobic conditions,,BAO_0000219,,Cricetulus griseus,,Expert,11616,,F,10029.0,,CHO-AA8,,80089
6951,1,Tested for the concentration of the drug to reduce cell numbers to 50 percent of controls against AA8 cells in the microassay,,BAO_0000219,,Cricetulus griseus,,Autocuration,10518,,F,10029.0,,CHO-AA8,,22224
6952,1,Growth inhibition of aerobic chinese hamster ovary fibroblast AA8 cell line using an exposure time of 18 hours,,BAO_0000219,,Cricetulus griseus,,Autocuration,11396,,F,10029.0,,CHO-AA8,,22224
6953,1,IC50 (air/N2) ratio of the drug to reduce cell numbers to 50 percent of controls using AA8 cells in the microassay,,BAO_0000219,,Cricetulus griseus,,Autocuration,10518,,F,10029.0,,CHO-AA8,,22224
6954,1,In vitro therapeutic index as ratio of CT10 and C1.3 calculated for AA8 cells.,,BAO_0000219,,Cricetulus griseus,,Expert,11616,,F,10029.0,,CHO-AA8,,80089
6955,1,compound was evaluated for association constant (Ka) of isolated serum protein AAG,,BAO_0000019,,,,Autocuration,14837,,F,,,,,12675
6956,1,Number of binding sites (n) of isolated serum protein AAG,,BAO_0000019,,,,Autocuration,14837,,F,,,,,12675
6957,1,Association constant for binding to AATT duplex,,BAO_0000225,,,,Intermediate,16037,,B,,,,,22222
6958,1,Inhibition of ABAE human fibroblast cell proliferation,,BAO_0000219,,Homo sapiens,,Expert,16597,,F,9606.0,,ABAE,,100090
6959,1,"Compound was evaluated for the antitumor activity against AC755 breast carcinoma for ip administration and daily x 10 schedule; Number of toxic deaths over total number of mice per group (T/C), 1/7 at dose of 25 mg/kg",,BAO_0000218,,Mus musculus,,Intermediate,8831,,F,10090.0,,AC755,,80668
6960,1,Percent change in total cholesterol(TC) versus (T0)- at which drug intervention begins at a dose of 25 mg/kg in the chronic cholesterol-fed rabbit model,,BAO_0000218,,Oryctolagus cuniculus,,Expert,13419,,F,9986.0,,,,102444
6961,1,Oral bioactivity expressed as %inhibition after 4 hours of drug administration (dose 25 mg/kg) in rabbit bioassay,,BAO_0000218,,Oryctolagus cuniculus,,Expert,13419,In vivo,F,9986.0,,,,102444
6962,1,Inhibitory activity against angiotensin-converting enzyme (ACE).,,BAO_0000357,,,,Autocuration,15778,,B,,,,,69
6963,1,oral activity against angiotensin -converting enzyme ( ACE) and neutral endopeptidase in mouse.,,BAO_0000357,,,,Autocuration,15778,,B,,,,,69
6964,1,Effect against HIV-1 chronically infected promonocytic cell line ACH-2 cells,,BAO_0000219,,Homo sapiens,,Intermediate,12988,,F,9606.0,,ACH-2 cell line,,80669
6965,1,Effect against HIV-1 chronically infected promonocytic cell line ACH-2 cells in the presence of PMA(phorbol 12-myristate 13-acetate),,BAO_0000219,,Homo sapiens,,Intermediate,12988,,F,9606.0,,ACH-2 cell line,,80669
6966,1,Effect against HIV-1 expression in a chronically infected human T cell line ACH-2,,BAO_0000219,,Human immunodeficiency virus 1,,Autocuration,12988,,F,11676.0,,T cell line,,22224
6967,1,Effect against HIV-1 expression in a chronically infected human T cell line ACH-2 in the presence of PMA(phorbol 12-myristate 13-acetate),,BAO_0000219,,Human immunodeficiency virus 1,,Autocuration,12988,,F,11676.0,,T cell line,,22224
6968,1,Effect against HIV-1 expression in a chronically infected human T cell line ACH-2i n the presence of PMA(phorbol 12-myristate 13-acetate),,BAO_0000219,,Human immunodeficiency virus 1,,Autocuration,12988,,F,11676.0,,T cell line,,22224
6969,1,Inhibition of growth of renal cancer ACHN cell line,,BAO_0000219,,Homo sapiens,,Intermediate,11843,,F,9606.0,,ACHN,,80025
6970,1,Inhibition of growth of ACHN renal cancer cell line,,BAO_0000219,,Homo sapiens,,Intermediate,16939,,F,9606.0,,ACHN,,80025
6971,1,Inhibitory concentration required against ACHN renal cancer cell line,,BAO_0000219,,Homo sapiens,,Intermediate,4782,,F,9606.0,,ACHN,,80025
6972,1,Concentration required to inhibit growth of human renal (ACHN) cell line,,BAO_0000219,,Homo sapiens,,Expert,6310,,F,9606.0,,ACHN,,80025
6973,1,Concentration required to inhibit growth of human renal (ACHN) cell line; nt = not tested,,BAO_0000219,,Homo sapiens,,Intermediate,6310,,F,9606.0,,ACHN,,80025
6974,1,Cytotoxic activity against ACHN Renal cancer cell line,,BAO_0000219,,Homo sapiens,,Intermediate,12858,,F,9606.0,,ACHN,,80025
6975,1,Cytotoxicity evaluation against ACHN renal cancer cells,,BAO_0000219,,Homo sapiens,,Intermediate,17380,,F,9606.0,,ACHN,,80025
6976,1,In vitro antitumor activity against human renal ACHN cell line,,BAO_0000219,,Homo sapiens,,Intermediate,5858,,F,9606.0,,ACHN,,80025
6977,1,In vitro growth inhibition of compound was determined against ACHN cell lines of Renal cancer,,BAO_0000219,,Homo sapiens,,Intermediate,3838,,F,9606.0,,ACHN,,80025
6978,1,In vitro growth inhibition of compound was determined against ACHN cell lines of Renal cancer,,BAO_0000219,,Homo sapiens,,Intermediate,3838,,F,9606.0,,ACHN,,80025
6979,1,"Tested for the cytotoxicity against the Renal cancer cell line ACHN, growth inhibition by 50% is reported",,BAO_0000219,,Homo sapiens,,Intermediate,5406,,F,9606.0,,ACHN,,80025
6980,1,The compound was tested in vitro for cytotoxicity against human tumor cell line ACHN (renal).,,BAO_0000219,,Homo sapiens,,Intermediate,4071,,F,9606.0,,ACHN,,80025
6981,1,Tested in vitro for cytotoxicity against human tumor cell line ACHN (renal).,,BAO_0000219,,Homo sapiens,,Expert,4071,,F,9606.0,,ACHN,,80025
6982,1,The compound was tested in vitro for cytotoxicity against human tumor cell line ACHN (renal); Not determined,,BAO_0000219,,Homo sapiens,,Intermediate,4071,,F,9606.0,,ACHN,,80025
6983,1,Antitumor activity was evaluated against human renal adenocarcinoma cell line ACHN.,,BAO_0000219,,Homo sapiens,,Intermediate,15002,,F,9606.0,,ACHN,,80025
6984,1,Compound was evaluated for in vitro activity against ACHN kidney cell lines (Human tumor cells ),,BAO_0000219,,Homo sapiens,,Intermediate,14769,,F,9606.0,,ACHN,,80025
6985,1,"Compound was tested for antiproliferative activity against ACHN, human renal adenocarcinoma",,BAO_0000219,,Homo sapiens,,Intermediate,13958,,F,9606.0,,ACHN,,80025
6986,1,Compound was tested for its effect on the proliferation of ACHN human kidney adenocarcinoma,,BAO_0000219,,Homo sapiens,,Intermediate,1665,,F,9606.0,,ACHN,,80025
6987,1,Compound was tested for the growth inhibition of ACHN renal tumor cell line,,BAO_0000219,,Homo sapiens,,Intermediate,15354,,F,9606.0,,ACHN,,80025
6988,1,Compound was tested for the growth inhibition of ACHN renal tumor cell line; ND=Not determined,,BAO_0000219,,Homo sapiens,,Intermediate,15354,,F,9606.0,,ACHN,,80025
6989,1,In vitro Growth Inhibitory activity against ACHN Human kidney cancer cell line,,BAO_0000219,,Homo sapiens,,Intermediate,13978,,F,9606.0,,ACHN,,80025
6990,1,In vitro cytotoxicity against human renal adenocarcinoma (ACHN) tumor cell line,,BAO_0000219,,Homo sapiens,,Intermediate,6798,,F,9606.0,,ACHN,,80025
6991,1,Tmax value after administration of 4 mg/Kg oral dose in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,2959,In vivo,A,9615.0,,,,50588
6992,1,"Time to peak response on lowering of vascular resistance, in dogs when administered intravenously",,BAO_0000218,,Canis lupus familiaris,,Intermediate,9932,,A,9615.0,,,,50588
6993,1,Unbound plasma was determined in Beagle dog at a dose of 1 mg/kg by iv administration,,BAO_0000218,,Canis lupus familiaris,,Intermediate,5546,,A,9615.0,,,,50588
6994,1,Volume distribution after 15 mg/kg iv dose in Dogs,,BAO_0000218,,Canis lupus familiaris,,Intermediate,16907,In vivo,A,9615.0,,,,50588
6995,1,Volume distribution after 30 mg/kg po dose in Dogs,,BAO_0000218,,Canis lupus familiaris,,Intermediate,16907,In vivo,A,9615.0,,,,50588
6996,1,Volume of distribution was determined in dog after a 3 mg/kg of iv dose,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4257,In vivo,A,9615.0,,,,50588
6997,1,Volume of distribution was determined by iv administration in dogs at a dose of 1 mg/kg,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4305,In vivo,A,9615.0,,,,50588
6998,1,Volume of distribution was evaluated in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,5472,In vivo,A,9615.0,,,,50588
6999,1,Terminal phase volume of distribution was measured in dog after an iv dose of 1 mg/kg,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6062,In vivo,A,9615.0,,,,50588
7000,1,Apparent volume of the central plasma compartment (Vc) of compound determined in dog after iv administration at a dose of 10 mg/kg,,BAO_0000218,,Canis lupus familiaris,,Expert,3598,,A,9615.0,,,,50588
7001,1,The compound was tested for volume of distribution in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,12500,In vivo,A,9615.0,,,,50588
7002,1,The compound was tested for volume of distribution in dog at dose of 3-10 mgkg,,BAO_0000218,,Canis lupus familiaris,,Intermediate,12500,In vivo,A,9615.0,,,,50588
7003,1,Vd (1 mg/kg) was determined in dog (in vivo),,BAO_0000218,,Canis lupus familiaris,,Intermediate,6227,In vivo,A,9615.0,,,,50588
7004,1,Vd in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6227,In vivo,A,9615.0,,,,50588
7005,1,Volume distribution was determined,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4219,In vivo,A,9615.0,,,,50588
7006,1,Volume of distribution in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,1696,In vivo,A,9615.0,,,,50588
7007,1,Volume of distribution by as 4 fold increase by iv administration in dogs,,BAO_0000218,,Canis lupus familiaris,,Intermediate,5542,In vivo,A,9615.0,,,,50588
7008,1,Volume of distribution was determined in canine following intravenous (iv) administration of drug (1 mg/kg).,,BAO_0000218,,Canis lupus familiaris,,Intermediate,5199,In vivo,A,9615.0,,,,50588
7009,1,Volume of distribution was determined in dog after 1 mg/kg (i.v.) and 5 mg/kg (p.o.) administration,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6348,In vivo,A,9615.0,,,,50588
7010,1,Volume distribution at the dose of 2 mg/kg in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4727,In vivo,A,9615.0,,,,50588
7011,1,Steady state volume of distribution was determined,,BAO_0000218,,Canis lupus familiaris,,Intermediate,16367,In vivo,A,9615.0,,,,50588
7012,1,Bioavailability as Vdss in dogs at 1 mg/kg intravenous dose,,BAO_0000218,,Canis lupus familiaris,,Intermediate,2652,In vivo,A,9615.0,,,,50588
7013,1,Pharmacokinetic data at 0.5 mg/kg dose given to dogs intravenously.,,BAO_0000218,,Canis lupus familiaris,,Intermediate,16452,In vivo,A,9615.0,,,,50588
7014,1,Pharmacokinetic data at 1 mg/kg dose given to dogs intravenously,,BAO_0000218,,Canis lupus familiaris,,Intermediate,16452,In vivo,A,9615.0,,,,50588
7015,1,Bioavailability in dog (dose 1 mg/kg i.v.),,BAO_0000218,,Canis lupus familiaris,,Intermediate,16452,In vivo,A,9615.0,,,,50588
7016,1,Pharmacokinetic parameter volume of distribution was reported after intravenous administration at a dose of 1 mg/kg in Beagle dog (male),,BAO_0000218,,Canis lupus familiaris,,Intermediate,5334,In vivo,A,9615.0,,,,50588
7017,1,Pharmacokinetic property (vdss) was measured in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4239,In vivo,A,9615.0,,,,50588
7018,1,Steady state volume of distribution for the compound after intravenous administration of 1 mg/kg in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4709,In vivo,A,9615.0,,,,50588
7019,1,Vdss was determined after iv 0.1 mg/kg administration in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,5600,In vivo,A,9615.0,,,,50588
7020,1,Volume displacement was calculated in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6057,In vivo,A,9615.0,,,,50588
7021,1,Volume distribution (Vdss) of compound was determined after intravenous administration in average of two dogs at a dose of 1 mg/kg,,BAO_0000218,,Canis lupus familiaris,,Intermediate,5654,In vivo,A,9615.0,,,,50588
7022,1,Volume distribution constant was determined,,BAO_0000218,,Canis lupus familiaris,,Intermediate,5505,In vivo,A,9615.0,,,,50588
7023,1,Volume distribution at a dose of 1 uM/kg in dog was determined,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4527,In vivo,A,9615.0,,,,50588
7024,1,Volume distribution in dog after 2 mg/kg by oral and 0.5 mg/kg by intravenous administration,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4521,In vivo,A,9615.0,,,,50588
7025,1,Volume distribution in dog after 2 mg/kg by oral and 0.5 mg/kg by intravenous administration; ND is not determined,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4521,In vivo,A,9615.0,,,,50588
7026,1,Volume distribution (Vdss) was measured in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,15660,In vivo,A,9615.0,,,,50588
7027,1,Volume distribution (Vdss) was measured in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,15660,In vivo,A,9615.0,,,,50588
7028,1,Volume of distribution at steady state was determined after 1 mg/kg (i.v.) / 2 mg/kg (p.o.) of compound administration,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6679,In vivo,A,9615.0,,,,50588
7029,1,Volume of distribution in steady state was determined in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,5145,In vivo,A,9615.0,,,,50588
7030,1,Volume of distribution of compound was determined in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6821,In vivo,A,9615.0,,,,50588
7031,1,Volume of distribution after intravenous administration of 1 mg/kg/h in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4137,In vivo,A,9615.0,,,,50588
7032,1,Volume of distribution was reported after oral administration at a dose of 2 mg/kg in Beagle dog (male),,BAO_0000218,,Canis lupus familiaris,,Intermediate,5334,In vivo,A,9615.0,,,,50588
7033,1,Volume of distribution (Vdss) was measured in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,15660,In vivo,A,9615.0,,,,50588
7034,1,Volumes of distribution in dog (dosed as a mixture of five compounds at 0.5 mpk each via iv only),,BAO_0000218,,Canis lupus familiaris,,Intermediate,6642,In vivo,A,9615.0,,,,50588
7035,1,Volumes of distribution in dog (dosed at 0.5 mpk iv and 2.0 mpk orally),,BAO_0000218,,Canis lupus familiaris,,Intermediate,6641,In vivo,A,9615.0,,,,50588
7036,1,Volumes of distribution in dog (dosed at 0.5 mpk iv and 2.0 mpk orally),,BAO_0000218,,Canis lupus familiaris,,Intermediate,6642,In vivo,A,9615.0,,,,50588
7037,1,Maximum rate of depolarization of the upstroke of the action potential,,BAO_0000218,,Canis lupus familiaris,,Intermediate,11659,,A,9615.0,,,,50588
7038,1,Steady state volume distribution in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6448,In vivo,A,9615.0,,,,50588
7039,1,Steady state volume of distribution at a dose of 0.2 mg/kg i.v.,,BAO_0000218,,Canis lupus familiaris,,Intermediate,5474,In vivo,A,9615.0,,,,50588
7040,1,Tested for volume of distribution at steady state upon intravenous administration of 5.0 mg/Kg dose in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,1466,In vivo,A,9615.0,,,,50588
7041,1,Volume distribution in dog after administration of 0.25 mg/kg iv; ND = not determined,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6535,In vivo,A,9615.0,,,,50588
7042,1,Volume distribution in dog after administration of 1 mg/kg iv,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6535,In vivo,A,9615.0,,,,50588
7043,1,Volume of solubility in solution after intravenous administration in dogs at 1.2 uM/kg,,BAO_0000218,,Canis lupus familiaris,,Intermediate,17764,In vivo,A,9615.0,,,,50588
7044,1,Vss after intravenous administration (0.5 mg/kg) was determined in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6215,In vivo,A,9615.0,,,,50588
7045,1,Vss on i.v. administration of 2 mg/kg was measured in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6505,In vivo,A,9615.0,,,,50588
7046,1,Vss was determined,,BAO_0000218,,Canis lupus familiaris,,Intermediate,3639,,A,9615.0,,,,50588
7047,1,Vss in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,3639,,A,9615.0,,,,50588
7048,1,Volume of distribution was measured in dog after an iv dose of 1 mg/kg,,BAO_0000218,,Canis lupus familiaris,,Intermediate,6062,In vivo,A,9615.0,,,,50588
7049,1,Volume distribution in dogs,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4942,In vivo,A,9615.0,,,,50588
7050,1,Volume of distribution in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,17796,In vivo,A,9615.0,,,,50588
7051,1,Tested for the oral bioavailability in dog,,BAO_0000218,,Canis lupus familiaris,,Intermediate,4883,In vivo,A,9615.0,,,,50588
7060,1,Bioavailability of compound in mouse blood following p.o. administration of 30 mg/kg,,BAO_0000218,,Mus musculus,,Intermediate,17837,In vivo,A,10090.0,,,,50594
7061,1,Bioavailability after i.p. administration of 50 mg/kg of dose in mice,,BAO_0000218,,Mus musculus,,Intermediate,17729,In vivo,A,10090.0,,,,50594
7062,1,Bioavailability after peroral administration of 50 mg/kg of dose in mice,,BAO_0000218,,Mus musculus,,Intermediate,17729,In vivo,A,10090.0,,,,50594
7063,1,Bioavailability was measured in mouse,,BAO_0000218,,Mus musculus,,Intermediate,4239,In vivo,A,10090.0,,,,50594
7064,1,Bioavailability in mouse,,BAO_0000218,,Mus musculus,,Intermediate,17592,In vivo,A,10090.0,,,,50594
7065,1,Bioavailability was determined in mouse after 5 mg/kg (i.v.) and 6 mg/kg (p.o.) administration,,BAO_0000218,,Mus musculus,,Intermediate,6348,In vivo,A,10090.0,,,,50594
7066,1,Bioavailability in mouse,,BAO_0000218,,Mus musculus,,Intermediate,2801,In vivo,A,10090.0,,,,50594
7067,1,Compound was evaluated for its bioavailability in mice at a dose of 1 mg/kg,,BAO_0000218,,Mus musculus,,Intermediate,2801,In vivo,A,10090.0,,,,50594
7068,1,Oral bioavailability in mouse,,BAO_0000218,,Mus musculus,,Intermediate,17718,In vivo,A,10090.0,,,,50594
7069,1,Oral availability at 50 mg/kg po in male mice,,BAO_0000218,,Mus musculus,,Intermediate,5727,In vivo,A,10090.0,,,,50594
7070,1,Oral bioavailability in mouse (dose 10 mg/kg),,BAO_0000218,,Mus musculus,,Intermediate,5302,In vivo,A,10090.0,,,,50594
7071,1,Oral bioavailability of compound determined in mouse after iv administration at a dose of 10 mg/kg,,BAO_0000218,,Mus musculus,,Expert,3598,In vivo,A,10090.0,,,,50594
7072,1,"Bioavailability in male mice, 2mg/kg oral and 1 mg/kg intravenous dose",,BAO_0000218,,Mus musculus,,Intermediate,5961,In vivo,A,10090.0,,,,50594
7074,1,Oral bioavailability in mouse,,BAO_0000218,,Mus musculus,,Intermediate,6091,In vivo,A,10090.0,,,,50594
7075,1,Oral bioavailability in vivo in mice;ND=Not determined,,BAO_0000218,,Mus musculus,,Intermediate,6091,In vivo,A,10090.0,,,,50594
7076,1,Oral bioavailability in mouse at 10 mg/kg of the compound,,BAO_0000218,,Mus musculus,,Intermediate,5711,In vivo,A,10090.0,,,,50594
7077,1,Bioavailability in mouse (BALB/C) (dose 50 mg/kg i.p.),,BAO_0000218,,Mus musculus,,Intermediate,17728,In vivo,A,10090.0,,,,50594
7078,1,Bioavailability in mouse (BALB/C) (dose 20 mg/kg i.v.),,BAO_0000218,,Mus musculus,,Intermediate,17728,In vivo,A,10090.0,,,,50594
7079,1,Tested for bioavailability of the compound,,BAO_0000218,,Mus musculus,,Intermediate,3802,In vivo,A,10090.0,,,,50594
7080,1,Tested for half life at the dose of 10 mg/kg when administered intravenously,,BAO_0000218,,Mus musculus,,Intermediate,3802,In vivo,A,10090.0,,,,50594
7081,1,The plasma half life of compound was determined on EDTA prepared by mouse plasma. ,Plasma,BAO_0000218,,Mus musculus,,Intermediate,14029,,A,10090.0,,,,50594
7082,1,The plasma half life of compound was determined on heparin prepared by human plasma. ,Plasma,BAO_0000218,,Mus musculus,,Intermediate,14029,,A,10090.0,,,,50594
7083,1,The plasma half life of compound was determined on heparin prepared by human plasma; Not degraded,Plasma,BAO_0000218,,Mus musculus,,Intermediate,14029,,A,10090.0,,,,50594
7084,1,The plasma half life of compound was determined on heparin prepared by mouse plasma. ,Plasma,BAO_0000218,,Mus musculus,,Intermediate,14029,,A,10090.0,,,,50594
7085,1,The plasma half life of compound was determined on heparin prepared by mouse plasma; Not degraded,Plasma,BAO_0000218,,Mus musculus,,Intermediate,14029,,A,10090.0,,,,50594
7086,1,Inhibitory concentration of compound was determined after intravenous administration in mice after 6 hours of exposure at 40 mg/Kg,,BAO_0000218,,Mus musculus,,Intermediate,17753,,F,10090.0,,,,50594
7087,1,Inhibitory concentration of compound was determined after intravenous administration in mice after 8 hours of exposure at 24 mg/Kg,,BAO_0000218,,Mus musculus,,Intermediate,17753,,A,10090.0,,,,50594
7088,1,Inhibitory concentration of compound was determined after intravenous administration in mice after 8 hours of exposure at 5 mg/Kg,,BAO_0000218,,Mus musculus,,Intermediate,17753,,A,10090.0,,,,50594
7089,1,Biodistribution of intravenously injected [82Br]-labeled compound in blood of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 0.25 hours,Blood,BAO_0000218,,Mus musculus,,Intermediate,10107,In vivo,A,10090.0,,,,50594
7090,1,Biodistribution of intravenously injected [82Br]-labeled compound in blood of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 0.50 hours,Blood,BAO_0000218,,Mus musculus,,Intermediate,10107,In vivo,A,10090.0,,,,50594
7091,1,Biodistribution of intravenously injected [82Br]-labeled compound in blood of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 1 hours,Blood,BAO_0000218,,Mus musculus,,Intermediate,10107,In vivo,A,10090.0,,,,50594
7092,1,Biodistribution of intravenously injected [82Br]-labeled compound in blood of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 2 hours,Blood,BAO_0000218,,Mus musculus,,Intermediate,10107,In vivo,A,10090.0,,,,50594
7093,1,Biodistribution of intravenously injected [82Br]-labeled compound in blood of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 24 hours,Blood,BAO_0000218,,Mus musculus,,Intermediate,10107,In vivo,A,10090.0,,,,50594
7094,1,Biodistribution of intravenously injected [82Br]-labeled compound in blood of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 4 hours,Blood,BAO_0000218,,Mus musculus,,Intermediate,10107,In vivo,A,10090.0,,,,50594
7095,1,Biodistribution of intravenously injected [82Br]-labeled compound in blood of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 8 hours,Blood,BAO_0000218,,Mus musculus,,Intermediate,10107,In vivo,A,10090.0,,,,50594
7096,1,Biodistribution of intravenously injected [82Br]-labeled compound in bone of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 0.25 hours,Bone,BAO_0000218,,Mus musculus,,Intermediate,10107,In vivo,A,10090.0,,,,50594
7097,1,Biodistribution of intravenously injected [82Br]-labeled compound in bone of BDF1 female mice bearing subcutaneous Lewis lung carcinoma after 0.5 hours,Bone,BAO_0000218,,Mus musculus,,Intermediate,10107,In vivo,A,10090.0,,,,50594
7098,1,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 8,,BAO_0000219,,Homo sapiens,,Intermediate,15608,,F,9606.0,,A2780,,81034
7099,1,In vitro cytotoxicity against human ovarian carcinoma cell line A2780 using sulforhodamine B (SRB) assay,,BAO_0000219,,Homo sapiens,,Expert,3290,,F,9606.0,,A2780,,81034
7100,1,Compound was evaluated for cytotoxicity against A2780 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,2859,,F,9606.0,,A2780,,81034
7101,1,Inhibition of A2780 cell clonogenic assay,,BAO_0000219,,Homo sapiens,,Expert,15688,,F,9606.0,,A2780,,81034
7102,1,Cytotoxic effect on ovarian cancer cell line (A2780),,BAO_0000219,,Homo sapiens,,Expert,5642,,F,9606.0,,A2780,,81034
7103,1,Concentration required to inhibit A2780 cell growth when compared with control after incubation for 96 hr at 37 C,,BAO_0000219,,Homo sapiens,,Intermediate,6633,,F,9606.0,,A2780,,81034
7104,1,"MDR-reversing activity was measured by vincristine accumulation in the multidrug resistant 2780AD, a subline of A2780 ovarian carcinoma cells at 10 mg/mL",,BAO_0000219,,Homo sapiens,,Intermediate,3906,,F,9606.0,,A2780,,81034
7105,1,50% growth inhibition of A2780 (Human ovarian carcinoma) cell line compared with untreated control cells,,BAO_0000219,,Homo sapiens,,Expert,6788,,F,9606.0,,A2780,,81034
7106,1,Antiproliferative activity against human A2780 cells,,BAO_0000219,,Homo sapiens,,Expert,17582,,F,9606.0,,A2780,,81034
7107,1,Inhibition of human A2780 cell proliferation,,BAO_0000219,,Homo sapiens,,Expert,17764,,F,9606.0,,A2780,,81034
7108,1,Antiproliferative effect against human A2780 cell line was determined in a whole cell 72 hr cytotoxicity assay,,BAO_0000219,,Homo sapiens,,Expert,17764,,F,9606.0,,A2780,,81034
7109,1,Inhibition of human A2780 cell proliferation (No data),,BAO_0000219,,Homo sapiens,,Expert,17764,,F,9606.0,,A2780,,81034
7110,1,Cell cytotoxicity was determined against human ovarian cancer (A2780) cell line,,BAO_0000219,,Homo sapiens,,Intermediate,2815,,F,9606.0,,A2780,,81034
7111,1,Compound was evaluated against human Ovarian carcinoma cell line A2780,,BAO_0000219,,Homo sapiens,,Intermediate,16930,,F,9606.0,,A2780,,81034
7112,1,Growth inhibition against A2780 wild-type ovarian cell lines,,BAO_0000219,,Homo sapiens,,Expert,17777,,F,9606.0,,A2780,,81034
7113,1,Compound was evaluated for growth inhibition against A2780 wild-type ovarian cell lines; No data,,BAO_0000219,,Homo sapiens,,Intermediate,17777,,F,9606.0,,A2780,,81034
