Fiscal year,Continent ID,Division ID,Disability issues (marker),Youth issues (marker),Branch ID,Gender equality (marker),Project Browser country ID,Organisation class,Continent name,CountryRegion percent,Division name,Status,Participatory development and good governance,CFLI (marker),Organisation type,CountryRegion name,Amount spent,Bilateral aid (international marker),Project number,ICT as a tool for development (marker),Biodiversity (marker),Indigenous issues (marker),Section ID,Regional program (marker),Climate change mitigation (marker),Desertification (marker),Trade development (marker),Urban issues (marker),Children issues (marker),Knowledge for development (marker),Organisation ID,Organisation name,Organisation sub-class,CountryRegion ID,Sector ID,Sector name,Sector percent
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,7072.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,15130,Legal and judicial development,0.05
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,14145.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,15150,Democratic participation and civil society,0.1
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,14145.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,15153,Media and free flow of information,0.1
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,14145.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,15160,Human rights,0.1
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,2829.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,16020,Employment policy and administrative management,0.02
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,2404.65,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,16050,Multi-sector aid for basic social services,0.017
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,1414.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,32140,Cottage industries and handicrafts,0.01
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,1697.4,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,32161,Agro-industries,0.012
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,14145.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,33110,Trade policy and administrative management,0.1
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,7072.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,33120,Trade facilitation,0.05
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,18105.6,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,33140,Multilateral trade negotiations,0.128
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,4243.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,33181,Trade education/training,0.03
2009/2010,1,D6214,0,0,B6100,2,NI,Civil Society,America,0.023,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Nicaragua,5658.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,NI,99820,Promotion of development awareness,0.04
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,1845.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,11220,Primary education,0.01
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,1845.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,11330,Vocational training,0.01
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,2767.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,11430,Advanced technical and managerial training,0.015
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,3690.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,12110,Health policy and administrative management,0.02
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,3690.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,12281,Health personnel development,0.02
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,3874.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,13040,STD control including HIV/AIDS,0.021
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,4335.75,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,14031,Basic drinking water supply,0.0235
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,4335.75,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,14032,Basic sanitation,0.0235
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,18450.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,15110,Public sector policy and administrative management,0.1
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,9225.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,15130,Legal and judicial development,0.05
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,18450.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,15150,Democratic participation and civil society,0.1
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,18450.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,15153,Media and free flow of information,0.1
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,18450.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,15160,Human rights,0.1
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,3690.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,16020,Employment policy and administrative management,0.02
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,3136.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,16050,Multi-sector aid for basic social services,0.017
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,1845.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,32140,Cottage industries and handicrafts,0.01
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,2214.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,32161,Agro-industries,0.012
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,18450.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,33110,Trade policy and administrative management,0.1
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,9225.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,33120,Trade facilitation,0.05
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,23616.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,33140,Multilateral trade negotiations,0.128
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,5535.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,33181,Trade education/training,0.03
2009/2010,3,D6214,0,0,B6100,2,PH,Civil Society,Asia,0.03,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Philippines,7380.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PH,99820,Promotion of development awareness,0.04
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,615.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,11220,Primary education,0.01
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,615.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,11330,Vocational training,0.01
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,922.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,11430,Advanced technical and managerial training,0.015
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,1230.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,12110,Health policy and administrative management,0.02
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,1230.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,12281,Health personnel development,0.02
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,1291.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,13040,STD control including HIV/AIDS,0.021
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,1445.25,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,14031,Basic drinking water supply,0.0235
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,1445.25,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,14032,Basic sanitation,0.0235
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,15110,Public sector policy and administrative management,0.1
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,3075.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,15130,Legal and judicial development,0.05
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,15150,Democratic participation and civil society,0.1
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,15153,Media and free flow of information,0.1
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,15160,Human rights,0.1
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,1230.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,16020,Employment policy and administrative management,0.02
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,1045.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,16050,Multi-sector aid for basic social services,0.017
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,615.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,32140,Cottage industries and handicrafts,0.01
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,738.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,32161,Agro-industries,0.012
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,33110,Trade policy and administrative management,0.1
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,3075.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,33120,Trade facilitation,0.05
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,7872.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,33140,Multilateral trade negotiations,0.128
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,1845.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,33181,Trade education/training,0.03
2009/2010,3,D6214,0,0,B6100,2,PK,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Pakistan,2460.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PK,99820,Promotion of development awareness,0.04
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,615.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,11220,Primary education,0.01
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,615.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,11330,Vocational training,0.01
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,922.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,11430,Advanced technical and managerial training,0.015
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,1230.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,12110,Health policy and administrative management,0.02
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,1230.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,12281,Health personnel development,0.02
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,1291.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,13040,STD control including HIV/AIDS,0.021
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,1445.25,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,14031,Basic drinking water supply,0.0235
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,1445.25,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,14032,Basic sanitation,0.0235
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,15110,Public sector policy and administrative management,0.1
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,3075.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,15130,Legal and judicial development,0.05
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,15150,Democratic participation and civil society,0.1
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,15153,Media and free flow of information,0.1
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,15160,Human rights,0.1
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,1230.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,16020,Employment policy and administrative management,0.02
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,1045.5,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,16050,Multi-sector aid for basic social services,0.017
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,615.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,32140,Cottage industries and handicrafts,0.01
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,738.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,32161,Agro-industries,0.012
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,6150.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,33110,Trade policy and administrative management,0.1
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,3075.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,33120,Trade facilitation,0.05
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,7872.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,33140,Multilateral trade negotiations,0.128
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,1845.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,33181,Trade education/training,0.03
2009/2010,3,D6214,0,0,B6100,2,PS,Civil Society,Asia,0.01,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,West Bank Gaza,2460.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PS,99820,Promotion of development awareness,0.04
2009/2010,1,D6214,0,0,B6100,2,PY,Civil Society,America,0.02,KGD Sustainable Economic Growth Partner.,Closed,1,0,Canadian Non-Profit Making,Paraguay,1230.0,1,S063452PRG,0,0,0,S6218,0,0,0,0,0,0,0,1000715,Canadian Catholic Organization for Development and Peace,NGO,PY,11220,Primary education,0.01
