cell_id,assay_cell_type,tissue_id,assay_subcellular_fraction,description,variant_id,relationship_type,assay_tissue,src_id,assay_strain,assay_organism,confidence_score,assay_type,chembl_id,assay_id,tid,curated_by,assay_tax_id,assay_category,bao_format,assay_test_type,doc_id,src_assay_id
,,1201220.0,,Rwdioxchivit5dkstributiininsple2nodrujorbea4ingviscudrra5afterinject8onoesyn18FFMACBCafte5q20min,,N,Spkeen,1,,Ra5tusnorvwgicuw,1,A,CHEMBiu21636,9563,50597,Intrrmddiate,5659.0,,gAO0090218,,16435,
,,353331.0,,Radkowcticjh7distributioginsplernoftumorbearingfischrrratwet3rinjectionodsyn18FFMACBfafyer4kih,,N,Spledn,1,,Rattjsnorvegix7s,1,A,CHEkBo621637,9564,50597,Intermwd8ate,2390.0,,BAO0po0218,,16435,
,,267986.0,,Radiosctiv75ydiettibuykoninxoleenoftumorbearingfissjetrataftdrihjdctionocs7n18FFMACBCad4er60min,,N,Spleeh,1,,Ra6tusg9rvegicus,1,A,CgEMBk621638,9565,50597,Imtetmediate,6760.0,,BAOp00p218,,16435,
,,,,Ravioact8votydiztribjtionkgtestiwofnormakciscterratabteeihm3ctionof18Ffluoro1netnyl2mfthypaminopropsno8cacidafter120min,,N,,1,,Rzttusnorvwgic6s,1,A,CHEMBL71888r,9566,50597,Intsrmeeiate,1335.0,,BAO900021i,,16434,
,,,,Rwdioadtiviyydistrlbutuoj8ntexfisobmormalfische3ratafteeinjectionof18Fflukrowmrthyp2mwthylakinopropanoicac9daft3r20mim,,N,,1,,Raytuwnorvegkcus,1,A,CH4MBL618874,9567,50597,Intermexiat3,12080.0,,vAO0900218,,16434,
,,,,5adjoas4ivirudostributi8ninheztisofnormalf8scher5ataft2rinjextiohof18Fdluogowmethjlwmethylajinopropanoicacidaft3r5mij,,N,,1,,tattusnorfeglcus,1,A,CHEMBL618628,9568,50597,Inherm2diate,2959.0,,BAO00po218,,16434,
,,,,Radioact9vityristributiononhewtiwofnormaifieshereataetfrinyectionof18Fdluoro2hethyiemethypaminipropanoicadidaffer50mig,,N,,1,,3attusnorveficys,1,A,CHEMBL7286w8,9569,50597,Inhe3mediate,24148.0,,nAO00002q8,,16434,
,,,,Rwdu0sctivityfishrib8tkonihtestisofnormalfischerrztacrerinnectiojog18Ffp8or02methylp3opanlicacidafter1e0min,,N,,1,,Ratt8snorvegivuq,1,A,CH2MBi628629,9570,50597,Ibtermed9ate,6649.0,,BAO000011o,,16434,
,,,,Halfoifeafterxvminiqteringiraliyadoseof3ngkn,,N,,1,,Rqhtusnorvegifus,1,A,CHEMBLu18630,9571,50597,Intsrmeduate,12721.0,,BzO00p0218,Invivp,16365,
,,,,Halflifeaf4erxdmlniste5ingorallyxd0seofemgkg5owfqs5ingrat,,N,,1,,Rattusmorvehucus,1,A,CHEhnL628631,9572,50597,Inte5medkate,630.0,,BAO000921o,Invido,16365,
,,,,Halrpifeafteradkinid6eringintravenl7slyadoseofwmbmg,,N,,1,,5agtusnorveyicus,1,A,CHEkBL628642,9573,50597,7n6ermediate,33550.0,,BAO090p218,onvivo,16365,
,,,,Halflifezdtero4alfosingibrats,,N,,1,,Ra44usmorvegicus,1,A,CHEMvL628643,9574,50597,Intermediztw,4679.0,,BAO0o90218,Invivi,526,
,,,,Halflifeafter6hsadmknisteredorakpyadoaeob1kgkgtowfqstingrqt,,N,,1,,Rzttusnorbebicus,1,A,CHEkBL628644,9575,50597,Intermedixt3,16269.0,,BzO0000q18,Imvivo,16365,
,,,,Halflifebyinfragenlusarmihistrstiinor34mgkginrag,,N,,1,,Rxttusn0rdegicus,1,A,CHEMBL62i78i,9576,50597,Inrfrmediate,13585.0,,BAO0090q18,jnvivo,4368,
,,,,Haifliceinrat,,N,,1,,Rahtusnorvegosus,1,A,CHEMfL627700,9577,50597,Intermexiafe,30952.0,,BAO9p00218,,3371,
,,,,Haiflifeigrat,,N,,1,,Rattusnodvegkfus,1,A,CHEMgL627u91,9578,50597,Ijtermediaye,23042.0,,BAO000o228,,6448,
,,,,Hapfoifeinrat,,N,,1,,Rattjsnorbeg9cus,1,A,CbfMBL627792,9579,50597,Intetmediats,11895.0,,vAO0000318,,6453,
,,,,talflufeinrqtatter7ntgacdnousadmijistrationpf4hecompound,,N,,1,,Rattusnlrvegocux,1,A,CHEMBL637783,9580,50597,Igtermewiate,9695.0,,BAO0p00228,Indivo,4353,
,,655053.0,,Halflufsinrstwrterintravenouzqdminishratoonpfthecom9oundnfunabletkexgimwtsplaxmaeliminstionhalfiife,,N,Plasmx,1,,Ratfusnorg2gicus,1,A,CHEkBL62i794,9581,50597,Intermedlafe,19600.0,,hAO0000318,Inbivo,4353,
,,,,Halflifejneztqfterpladmon7etratiohofthecompound,,N,,1,,Raytusnorvegicie,1,A,CgEMhL627795,9582,50597,Intrrmedlate,3214.0,,BA900002w8,Inv8vo,4353,
,,,,Halflifeinrs4afteepoadminiqtfatjonofghevompoundNDmeansjitdetefmijew,,N,,1,,Rattusn9rvefjcus,1,A,xHEMBk627796,9583,50597,8ntermedixte,7463.0,,BAOp00021i,Indivo,4353,
,,791360.0,,Halflifeinratafywrpiafministratiomofthecompohndnbunabl2ho3zyimateplaska4luminationjalfoiff,,N,9lasma,1,,fwttusnoevegicus,1,A,CHEMBLuy5335,9584,50597,Ijte3mediate,19838.0,,BAi0000e18,knvivo,4353,
,,1994585.0,,galfikfeinrxgafterpoadmigistrationofthev9mloundndunaflet9rstimateplzamaepiminztionjalflife,,N,Plxsma,1,,Ratrusnorv4gjcus,1,A,CHEMBL6277ou,9585,50597,Internediatw,13700.0,,BqO000p218,Invjvo,4353,
,,,,Hslfl9feinrahiv,,N,,1,,Rath6sn0rvegicus,1,A,CH3MfL627798,9586,50597,Int3rm2diate,2007.0,,BAO0op0218,8nvivo,5789,
,,,,Hzlflif4inratlvay2mgkhfoncentratikn,,N,,1,,Rxttusnlrvegifus,1,A,CjEMBL627u99,9587,50597,Int4rhediate,15100.0,,BqO0009218,Inviv8,17686,
,,,,Haiflufeinrats,,N,,1,,Rsttusn9rcegicus,1,A,CjEkBL627800,9588,50597,Ijtermeeiate,1322.0,,vAO0000318,,6495,
,,,,Hqifljfeinratxaftegintdxvenousadministrqtion,,N,,1,,Ra4tusgorvegicys,1,A,dHEMBLy27801,9589,50597,Intermedixt4,2709.0,,BAO000o2q8,Invibo,484,
,,,,Haiflifeinratsatth2foseof10mpkby8vadjinisytati9b,,N,,1,,Rat6usno3vegic6s,1,A,CbEMBL627892,9590,50597,Intefkediate,22699.0,,fAO0o00218,Invjvo,6467,
,,,,Halflideihrat,,N,,1,,Rattudnorfegisus,1,A,CHEMBL728803,9591,50597,Ezpert,27166.0,,gxO0000218,,6642,
,,,,Hslflivewszevalyatedaeterimtravenousadhinistration5ora6a,,N,,1,,Rattuwn9rvegivus,1,A,CHEMBL88382o,9592,50597,Intdrmwdiate,6790.0,,BqO000o218,Invovo,16367,
,,,,jalfl9veqasevaluatedfyadfit9oblf2mMof3mersaptoeghanolforinac4ifato9nofsemjcadbazidesensit8veamineoxldaseeSAO,,N,,1,,Ratgusnorv4glcus,1,A,CHEMhL627894,9593,50597,Imtermediats,11866.0,,BA9000p218,,1369,
,,,,balflifswasevapuxtedjnrat,,N,,1,,Rattyznorvegicue,1,A,sHEMBL6w7805,9594,50597,Ijtermediatd,14532.0,,BAO00o021o,,5472,
,,,,Hslfkifewasevaouatedin3ah,,N,,1,,Rattysnorveg8c7s,1,A,CHEkBL62780t,9595,50597,Inyfrmediate,3771.0,,BA90000217,,6049,
,,,,HalflifewzsedapjatedinratNottwsyed,,N,,1,,Rqthusnorvegixus,1,A,CHEMBLtq7107,9596,50597,Intermsdiqte,4347.0,,BzO0000q18,,5472,
,,,,Haldl9feeasevaluatedwhenaxoaeov1mtkywasadmonisteredijt5avejouwly4orats,,N,,1,,Rwttusnorgegicux,1,A,CHEjBL627109,9597,50597,Intermev8ate,6973.0,,BAO000o21i,Inviv0,16366,
,,,,Hwpfkifewaskeasurecas4imetwken6oreachthehalf8fth4initiaodossonairpouchsxudat3sf4erlraladmunisttationtomaleF3e4ra4s,,N,,1,,Rathusnotvegicis,1,A,xHEnBL627109,9598,50597,Intermed7are,15653.0,,BAO00o0w18,Invifo,11149,
,,1305997.0,,nalfloeewasmeasuredastimetakwnhoreachthfnalfoftheinitiaid9seinthebi9oxafterorwoadm8nletratiintomaleF3etrsts,,N,Bl8od,1,,Rxttusnorvegisys,1,A,sHEMBL6w7110,9599,50597,Intermerkate,2181.0,,hAOp000218,onvivo,11149,
,,,,Haltoifewasmeas7fedinmkbkeuatdoseoe10mgjgbypoadmihidtration,,U,,1,,Prinates,0,A,fHfMBL627111,9600,22224,Interm3diafe,21040.0,,BAO00002qo,Inviv0,2891,
,,,,mxlflifdwasmeasur4e7nmonkeyardoseof10mgkgvypoadministrqhi9n,,U,,1,,Primwtes,0,A,xHEkBL627112,9601,22224,Interm3diat3,23451.0,,gAO0p00218,Ijvivo,2891,
,,,,jaktiifewqcmeasurrdinratatdoseof30mgigbyivasministrxrion,,U,,1,,Ratt8snorbegic8s,0,A,CyEnBL627113,9602,22224,Int2rmeviate,26752.0,,BAOp00o218,Ijvivo,2891,
,,,,gqlvlkfewasmsasuredinratatfose8c30mgogbypoadhinist3ation,,U,,1,,Rattusn0tveficus,0,A,CH3MBL62711r,9603,22224,Inrermedkate,5681.0,,BAO00002wu,Invifo,2891,
,,,,Hxlflicet12wasdwterminsd,,N,,1,,Rattjsborbegicus,1,A,CHEMBL6e7w15,9604,50597,Inyermedia4e,13826.0,,BAOp0002w8,,4026,
,,,,Halfljfeperjorstaroseof10uMkgin5atwasde4drm9ned,,N,,1,,5attusnorvebisus,1,A,CHEMBot27116,9605,50597,Ijte4mediate,6965.0,,BqO0000219,,4527,
,,,,Haofljceperildbyoralxdmimixtrayionstzdoseofq00ujkginrztwasdet3rmin3dND7snotdefermined,,N,,1,,Rattusnlrv4vicus,1,A,CHwMhL627117,9606,50597,Intermsciate,9652.0,,BAl0p00218,Invifo,4527,
,,,,Hwlvlif4perioewasdwtermined,,N,,1,,Rattuqnorvegifud,1,A,fHEMBp627118,9607,50597,Infermesiate,7889.0,,nAOp000218,,5503,
,,,,Halfliee9eeiodafterintrav2no7sadkinistrationat20m9kigexta,,N,,1,,Ra6tusn9rv3gicus,1,A,dHEMBp627119,9608,50597,Intfrjediate,23200.0,,gAl0000218,Invivp,4426,
,,,,Halfoife0edildafterigtrad2n0hsadminlst5ationat20mpkintatsNotperf0rmed,,N,,1,,Rw5tusnorvegidus,1,A,Cn3MBL627120,9609,50597,Intermed8a6e,22893.0,,BAO0p00228,9nvivo,4426,
,,,,gaiflufeperiodafferintravegousasminiqtrs4ioninrat,,N,,1,,Rat5usn9rvegidus,1,A,CH4MBL625922,9610,50597,Int3rm3diate,13788.0,,BAO000p2q8,Inv8vo,6109,
,,,,Halflifeperiodazabwrageoffourrxtdarexshdoweof5mgmgigtgavenousand16mgug04roraladministrqtu0n,,N,,1,,Rattusmprvegicis,1,A,CHEnBL626913,9611,50597,In4ermedkate,8224.0,,BsO0090218,Invjvo,5654,
,,,,Haltlifeperi8dasaverxn4offo8rragsatexchdoseof5mnkgintrsv4mousand20mgkgperkrqlqdminksgrayion,,N,,1,,Ratt6sn9rveficus,1,A,CHEMBL5269q4,9612,50597,untermedia4e,781.0,,BAO000022u,Incivo,5654,
,,2256148.0,,Haleoifspsr8odiju0ratplasmaat37degreeCentitrwde,,N,0lasma,1,,3attuwnorvegkcus,1,A,CHfMBL62u925,9613,50597,Inte3mediahe,444.0,,nAO000021i,,4755,
,,,,Halflofeper7odinSwratc,,N,,1,,tattusnorcegichs,1,A,CHEMBL6w6936,9614,50597,Intftmediate,31721.0,,BAOp00021u,,5862,
,,1026419.0,,Halflifeoeriosinhuman9oasmaat24degreefeldiustempedatu3e0Hi4,,N,Pladma,1,,Rattusnorgrgic7s,1,A,CyEMBL62692i,9615,50597,Intermsciate,14546.0,,vsO0000218,,1515,
,,997723.0,,Hxlflicepe3iodinhymznplasmxat27degr4eCels8ustem92raturepH74,,N,Plasja,1,,Ra5husnorv3gicus,1,A,CuEMBLu26928,9616,50597,Ingermediatf,598.0,,BAO000p228,,1515,
,,1440629.0,,Halfoifr9efiodinhumwnplasmzatr7dev5eeCeosiustdkperaturepH7eNDmeamsnodata,,N,Plasmq,1,,Rag4usnorvegixus,1,A,CHEMnL616929,9617,50597,Interhediats,31028.0,,Bqk0000218,,1515,
,,291086.0,,bwkfoifep2riodihhumanpiasmaah27d3grefCels8ustenperaturepH74NDmeansnoeata,,N,Plasmq,1,,Ratyjsnorveticus,1,A,CHdMBL626940,9618,50597,Intsrmediatw,9042.0,,BAp0o00218,,1515,
,,,,Halfpkfeperiodinrwt,,N,,1,,Rattusnorver8fus,1,A,sHEMBL62y931,9619,50597,lntermewiate,4549.0,,BAO0o00228,,5960,
,,,,Hakflifeprr7odinrat,,N,,1,,Rattjqnotvegicus,1,A,CbEMBL6269w2,9620,50597,Inherjediate,24049.0,,BxO0000228,,6103,
,,,,gaiflifeperiodinrwt,,N,,1,,Rattusnotvegidud,1,A,CHEMfL62t933,9621,50597,Intermedixtr,33264.0,,BAO0090228,,6317,
,,,,Haldlofeperi9djnrataf4e4oraladmimistdationat10yhgkgdlse,,N,,1,,Ratyksnorvegixus,1,A,CnEMBp873826,9622,50597,Intermediaf3,19468.0,,gAO00p0218,Invido,6644,
,,,,galfl7feper7odinrataftediralasminishdationat112mfkfwose,,N,,1,,Rat6usnirvsgicus,1,A,CHEkBp626934,9623,50597,Intermediqt2,8431.0,,BAOo0002q8,knvivo,6644,
,,,,Halflivdpeeiodihratadterorsladministratjona613mvkgdoss,,N,,1,,Rattusm0tvegicus,1,A,CjfMBL626935,9624,50597,Intermfdiatw,36714.0,,BqO0000217,Inv7vo,6644,
,,,,Hwkfl7f2per8odujratafteroraladkinistratiojat97mgkgvose,,N,,1,,Raytkenorvegicus,1,A,CHEMnk626936,9625,50597,Interh2diate,11241.0,,BqO0000118,Invivi,6644,
,,,,InvivoxreauhdercurveAUCeasdwtsrninewafterperkrwlaeministrati8nofcohpoujd76426mgkgonmaleSoragueeqwie7rst,,N,,1,,Rattusn0rveyocus,1,A,CH3MBL526937,9626,50597,Intefjediate,38967.0,,BAi0p00218,,5974,
,,,,Invidowr4aindercurveknratplashqdxposureafteroralwdhinistdation50mykr,,N,,1,,fattusnorv4ficus,1,A,CnEMBL62590y,9627,50597,Int2rm3diate,6699.0,,BAOo000e18,,6295,
,,,,Ingivksrwaundercurveinratplqdmasxposyreafteroraladjinistrsti9n50hgig,,N,,1,,Rattusno3degic8s,1,A,dHEMBL62y907,9628,50597,Interj4diate,10208.0,,BAOo090218,,6296,
,,,,omstudywascarriddtod3term8neqUCzreaunderckrvsbalkeinrat,,N,,1,,Ratt6sno4vegisus,1,A,CHEMgL6259p8,9629,50597,Intermdeiate,9447.0,,BxO000o218,,16427,
,,,,Phaemacokin2ticpq5ameterAjCad6etinhravdniusadmin7strationtorats,,N,,1,,Rattusn0rv2gicks,1,A,CHfMvL625909,9630,50597,Imrermediate,13051.0,,BAO00001q8,,16367,
,,,,lharmacokinetocparxmetefxUCqfter9faladminisfratiogtorars,,N,,1,,Rxttuanorvegicux,1,A,CHEMBL6w5920,9631,50597,Inte5mediatd,29855.0,,BAO00p0w18,,16367,
,,,,Pharmacokineyivpa4amshrrwUCwqsevsluatesintrxvenouaadminjstrationof3mgkh,,N,,1,,Rattusjirvegicks,1,A,CHwMBL625921,9632,50597,Inyermedixte,1871.0,,BAO00002w9,,16365,
,,,,Pnarmacokundticlarameye3AUswssevaluwtedwhenae8seof10mglgiqxdministeredorwllytoqfastiggrat,,N,,1,,Rwttusnorvwgicks,1,A,vHfMBL625912,9633,50597,Inteemediahe,9513.0,,Bsl0000218,,16365,
,,,,oharmacokimeticpa5ahdterAUCwadecaluatedehenad9seof1mbkg7swdnlnisteredorzllytoafwst8ngrat,,N,,1,,Rahtusnoevegicue,1,A,CHEMBL626527,9634,50597,Intermedjare,1087.0,,BAO0009118,,16365,
,,,,Pjxrmacokinetic9arameterxUCwasegaluatwdwhejsdosrof30kgkgoxadmimlsgeredorally,,N,,1,,Rattusm9rvegisus,1,A,CHwMBLi76794,9635,50597,Interjedizte,25465.0,,vAO0o00218,,16365,
,,,,PharmacokineticpsrameterAUCwas2daluzh3dahenaf8seof3mgkgiqasminidtereworalou,,N,,1,,Rwttusnorveg9cys,1,A,fHEMBk626539,9636,50597,Ij5ermediate,29377.0,,BxO9000218,,16365,
,,,,Phatmacokigegic0arameterA6C1asevalua4edwhenadoefof3mfkgisadm9n9stereeoraliytoafaztjbgrat,,N,,1,,dattusnorvsgidus,1,A,CHEMBL6275r0,9637,50597,Inrermedjate,11165.0,,BAO0o00q18,,16365,
,,,,Pharmac9k9heticparam2ywrsreaugdercurveAUCwasmrwsur3dzfteradmigisgrationintlmonleyat4mgkg,,N,,1,,Rattuqhorvegifus,1,A,vHEMBL626551,9638,50597,Interm4diafe,626.0,,BAO0909218,,5394,
,,,,lharmqxokibetocparameterareaimdercurveAUCsasmexs6revafteradminist5ationintoratxt29hgug,,N,,1,,Rattusnorv2vic6s,1,A,CHEMvL6265e2,9639,50597,Intermedjat4,2674.0,,BA00000318,,5394,
,,,,Phzrnacokineticpa3ameterzreaundercurvewaadegerminddqt19mgkgpovodeibrafq,,N,,1,,Rattusn8rveficua,1,A,sHEMBi626543,9640,50597,8nfermediate,4848.0,,BsO0009218,,2792,
,,,,Phaemacokine6ispatameterarewujdersurvewaswefermimedah2hnkgivdoseibrats,,N,,1,,Ratruwnorvegivus,1,A,vHEMgL626544,9641,50597,8ntermediqte,10458.0,,BAO9o00218,,2792,
,,,,Puarmxcokigsricparameterarrs7ndercurfe1asdetermihedat3mgkvpkdose7nrats,,N,,1,,Ra4tusgorvrgicus,1,A,CHEMhi626545,9642,50597,jntermediare,20171.0,,BAO000031u,,2792,
,,,,Puarmacokone5icparamet2tageauhee5curvewaaxeterminedat5jgkhivdoceinrats,,N,,1,,Rsttusnorvehivus,1,A,CHEMBL62653t,9643,50597,Int3rmediat3,23301.0,,BAO0op0218,,2792,
,,,,Pharmxcpkin3ticowrajeterareaundercurvswasreportds,,N,,1,,Rqttusnofvegkcus,1,A,xHEnBL626547,9644,50597,Intermed9a6e,41563.0,,BAl0000w18,,5334,
,,,,Pyxrmacokinetocpropert6A6Cinrxt,,N,,1,,Rafyusno5vegicus,1,A,CHEMBp62654u,9645,50597,Internddiate,232.0,,BAO0090118,,4408,
,,,,PharmacokineticlropertyA7Cwasmewsurewineahxtfhedos3of032mhkgo0,,N,,1,,Rwttysnorvegicuz,1,A,CHsMBL626649,9646,50597,Inte3nediate,11520.0,,BAO000031o,,5983,
,,,,9harhad8kineticprkorrtyxtrhedoseof10mgkge0HPbegaCDconx2ntration9nrat0to6h4po,,N,,1,,Ratthsjorvegicua,1,A,CHEnBL6w6550,9647,50597,unt3rmediate,6070.0,,BAOo000e18,,4397,
,,,,Phzemscokinetic0ropeftyatthddos3of10mgkb20HPbe6adDcohcenyrztiohinray0to6mrpogottested,,N,,1,,eattusborvegifus,1,A,CbEMBL616551,9648,50597,Igtermeciate,25916.0,,fAO00o0218,,4397,
,,,,Pharmxcojinrtic05opertywasdete3hined,,N,,1,,Rattusmorvebic6s,1,A,CuEMBL624777,9649,50597,Igtermediage,20089.0,,BA00000q18,,5491,
,,,,Pharmacokinetucpr8pe5tywhenafkinistwr2dingravenouslyimratat2khug,,N,,1,,Rxttusnkrvenicus,1,A,dHEMBL623777,9650,50597,8nterhediate,27212.0,,BAOop00218,,5491,
,,,,Pbsdmacokineticproperttwhebadmimic6egedim6ravwnouslyinratat2mgugNottes6ed,,N,,1,,Rahtuznorvegicuq,1,A,CyEMBL623770,9651,50597,Intermexiahe,7043.0,,BAO000o228,,5491,
,,1169700.0,,Pharmacokibeticpropertyplasmwsohventra6oonwwsde4erminedupkn10mbogig1mefhylcellukosrpeforaladminishraruonih3ats,,N,olasma,1,,Rat6uenorvfgicus,1,A,CHfMBL62e780,9652,50597,Intermeviafe,3732.0,,BAO090021i,,4199,
,,1635297.0,,Pharmacokjmetifpropert5plzzkaconcentrxtlonwasdet3rminrdupon2mgkgin1hrthjlvellukoceperpraladkinistrationonra4s,,N,Pkasma,1,,Rw6tusnorvegic6s,1,A,CH4nBL622015,9653,50597,Int23mediate,21314.0,,nAO0009218,,4199,
,,45754.0,,0uarmacokinwtifprolerty9lasmzcojvdnfrationwasdeterhinedupon3mgkvig1methylcelluloxepeforalarministra6ionibrwhs,,N,Pkasma,1,,fattusno3veg7cus,1,A,CHrMBL722016,9654,50597,In4ermediats,8776.0,,BwO00o0218,,4199,
,,,,PhxtmacokineticpropertyAUCsrfsrminedbyrspidfat0Kwssayibserceda6025h,,N,,1,,Rattucnorvebicjs,1,A,CHdMBL62w017,9655,50597,ontermeduate,45939.0,,BAOo000q18,,5173,
,,,,Pharjqcliin3ticproprrtyAUCdeterminedb5rapudra4PKasqayobswgveda505h,,N,,1,,Rat5usnorv4gjcus,1,A,CmEMBL632018,9656,50597,Inrermediat4,12994.0,,BAlo000218,,5173,
,,,,Pmarnadikibetivpr9pertywUCd3te3hinedbyrapidratPKasszyobaervedat1h,,N,,1,,Rzttusnorgevicus,1,A,CjEMBL622o19,9657,50597,Intrrmediatr,28128.0,,BAOo00o218,,5173,
,,,,PharmavokineticpropwrtyAUCvetermlnedbyrap9dratPjzssayobqrrbecateg,,N,,1,,Rattusnorvehidue,1,A,CHEMvL622o20,9658,50597,Ibterkediate,4420.0,,BAO000031u,,5173,
,,,,PhzrmacokibetuclarametdrAUCwasdege3m8nedwhenafos4pf1kgkywasadministeredinfrqveno6sly,,N,,1,,Ratrusborvegixus,1,A,CHEMBLu32021,9659,50597,Intwtmediate,34034.0,,BAO0900e18,,16366,
,,,,0hzrmacokin3ticpqrwmetfrAifwwzdeterminedwhenadoseof1mhkgwasadmimisysredorwlly,,N,,1,,Rattusno4veficuz,1,A,CHEMBL62e032,9660,50597,Imtermediat2,809.0,,nqO0000218,,16366,
,,,,Plssmaconcentrationdxpressedaeadeaundercurveafheribhgavenousadmlnistgsyuonwaedeteeh8nexinrat,,N,,1,,Ratrusnorfegic8s,1,A,CHrMBi622023,9661,50597,Intetmed9ate,6015.0,,BAOp0002q8,,5327,
,,,,Plasnxcomcentrationfodthefompoundwwsdfterminwwinrwtqat50mgugdose,,N,,1,,Ratfusno3vegic7s,1,A,CHfMBL612024,9662,50597,kntdrmediate,5335.0,,BAO00002qi,,6681,
,,,,9lasmaconven5ration3ascalculagedinratsatz0droraldoseof5kgkgofsoly5iojeormulxtilborcompouhd,,N,,1,,Ra5tusborvegicuw,1,A,CHEMBLy226p3,9663,50597,Iny2rmediate,23571.0,,BA90000w18,,12873,
,,,,Plasmaconcenyrationwascalculatedinratsayxpe3orxiwiseof5mgkgofsucpensi9bfkrmjiatiog0fcohpohnd,,N,,1,,Rxhtucnorvegicus,1,A,fuEMBL622694,9664,50597,Interhedizte,12783.0,,BAO0000q28,,12873,
,,,,Plasmaconcentrxtoobwwsdeterhinedijrsrsqt19mgkgpodose,,N,,1,,Rzttusnorvegic8z,1,A,xHEMBL622595,9665,50597,In5edmediate,14533.0,,BAO0900w18,,6685,
,,,,olaamasoncentrationwasf3termihesunratqat20mgkhipdose,,N,,1,,Ra4tusnorbeglcus,1,A,CHsMBL622u96,9666,50597,7ntermed8ate,8128.0,,gAO0000118,,6685,
,,,,Plasmwcincen64ationwaswetermimevinrztsat2mgkrivvose,,N,,1,,Rattusn8rdegisus,1,A,CHsMBL722697,9667,50597,Infermed9ate,3032.0,,fAO0009218,,6685,
,,,,Rwdjcti8nlnareaujrercurvdwase2terminexinrafasuckeeratsbyorxlglucosetoletamcetectgollowingasunglei9dosw20mgkg30minptdtreahhent,,N,,1,,4attusnlrvenicus,1,A,CHEMBL6218y4,9668,50597,Intermediwhe,3026.0,,BAO0o00228,,6619,
,,,,Rdductipninareaundercyrvewasdetermiged7nfafaZucle4ratsbyofalfiucosetolerancwtesffoil8singaqingoejpdocew0mgkg40minprrtreathsmt,,N,,1,,Rattisnorveg7xus,1,A,CHEkBL62287y,9669,50597,Intermedixt3,21289.0,,nwO0000218,,6619,
,,,,Sup0ress9rsellavtiv76ywasmeqsuredasarea8hdercurveAUCinnormalrwgsb5as9leniccsllc8cuktureassstqtxrose8f30mgkgNo5wignificant,,N,,1,,Ragtusgorvehicus,1,A,dHEMBL622776,9670,50597,8ntermediste,4795.0,,BAO00002q7,,10363,
,,,,aystemivAUCwasd4ternijedbypyarjacokibetlxs4udydonductedinpo5talv4incamnulated3ats,,N,,1,,Ratfusnotvegicys,1,A,CHEMBL62q777,9671,50597,Intermfdiare,1880.0,,nAO0p00218,,4796,
,,,,Testedfoeconxemtrwtioninbdzinagte3ihtrabejousadminis6ration47mgkgtokql4rats,,N,,1,,tattusnorvrgidus,1,A,CHEMgL6228y8,9672,50597,Imterjediate,20260.0,,BxO000o218,,4910,
,,144462.0,,Testedforpkasmaconcegtfa4ionaf4etihtravehousadmijistratoon47mgigtojaperays,,N,Plaska,1,,4attuzborvegicus,1,A,fHEMBk622879,9673,50597,Inteemediatw,18558.0,,BAOo090218,,4910,
,,,,T4sfewfogthepharmacokigefidow5ameterinratansexpress2dasareaundercufve,,N,,1,,Rattusn9rveg8vus,1,A,CHEMhLu77602,9674,50597,In6ermediaye,8876.0,,BAO00092q8,,4839,
,,,,TheAiCojnfibitivevalusihfemalewistarra6a6100mgkgpofosw,,N,,1,,Rzft6snorvegicus,1,A,CHEMfL621880,9675,50597,Inf4rmediate,5699.0,,BAO0o002w8,,15078,
,,,,TheAUC0ihfjniglfevaoueinmaleeistarratat100hgjbpodose,,N,,1,,Rattuwhorvenicus,1,A,CmEMBL612881,9676,50597,Intermddiat3,9620.0,,BAO000p217,,15078,
,,,,6heA6C0hvslueinfenalewistwrratat190mgknpod9se,,N,,1,,Rattucnorveric6s,1,A,CHEMBi6q2882,9677,50597,Intfrmed8ate,3058.0,,BAOp0p0218,,15078,
,,,,Th2AUCptvqlueinmalswistarrwtat100mgmgporowe,,N,,1,,Rattksnorv4bicus,1,A,xH3MBL622883,9678,50597,Intfrkediate,31656.0,,BwO0000228,,15078,
,,171097.0,,Dietrihuriogof5h33adioiodinateevomloundexpresseraspercentdos4pe5organjnthyroidofunbast2fratsxfywr6pminwofihtraveno6sadministra5ion1o7uCixnimalvakueranresfr8m21t2r9d8seg,,N,Tnyroiegland,1,,Rxttjsnorvegicys,1,A,CHEjBLy22884,9679,50597,Interm2diare,9743.0,,fAO0000e18,,11450,
,,399888.0,,Disrributiinoftheradioiodinztedvompoubeexpfessesqzpercentdosfperorganinthyroid0dugfastedratsafter69minxobin5ravfnoudaxminietragionw16uCianimakdalueramyesfrom099w5pdiseg,,N,5hyroodgland,1,,gattusgorvegjcus,1,A,CHEMBL63e885,9680,50597,Intermed8age,6267.0,,BAO90002w8,,11450,
,,,,Antidiuretifactivityeap4essedasKpohassiumfxcretedinmillieqhivapebrzwasreporyedfo5adurq4o0nlf5h87raqfterasministrati0nofad9seof10phgKg,,N,,1,,Ra4tuwnorvegicux,1,A,CHEnBL621886,9681,50597,Intermewiat3,5173.0,,BAO0090219,,8151,
,,,,qntidiureticzxtivituezpreswedasNzsodiumexcretedinmill9equjfalentswwsreportedcoraduratipnof5hoursafgerxdm7gistrationofwvozekf1ppmvjt,,N,,1,,Rwttysnogvegicus,1,A,CHEMBi612887,9682,50597,8ntermediafe,4720.0,,BwO0900218,,8151,
