SASSI,Descr,ASTAI,CURAB,VARI,ASSSUBCEFRAC,ASI,TII,CHI,SRI,BFO,ASSCA,ASTTY,ASSTR,RELATT,CEI,ASSTIS,DI,ASSORG,Ti,ASSTY,ASCETY,CONFSCO
,Distribution of radioactivity of radiolabeled compound in liver of female rats 30 minutes after intravenous administration,10116.0,Intermediate,,,11303,2107.0,CHEMBL625174,1,BAO_0000218,,,,N,,Liver,9071,Rattus norvegicus,50597,A,,1
,Distribution of radioactivity of radiolabeled compound in liver of female rats 5 minutes after intravenous administration,10116.0,Intermediate,,,11304,2107.0,CHEMBL625175,1,BAO_0000218,,,,N,,Liver,9071,Rattus norvegicus,50597,A,,1
,Distribution of radioactivity of radiolabeled compound in liver of female rats 5 minutes after intravenous administration at,10116.0,Intermediate,,,11305,2107.0,CHEMBL625176,1,BAO_0000218,,,,N,,Liver,9071,Rattus norvegicus,50597,A,,1
,Distribution of radioactivity of radiolabeled compound in lung of female rats 30 minutes after intravenous administration,10116.0,Intermediate,,,11306,2048.0,CHEMBL625177,1,BAO_0000218,,,,N,,Lung,9071,Rattus norvegicus,50597,A,,1
,Distribution of radioactivity of radiolabeled compound in lung of female rats 5 minutes after intravenous administration,10116.0,Intermediate,,,11307,2048.0,CHEMBL625178,1,BAO_0000218,,,,N,,Lung,9071,Rattus norvegicus,50597,A,,1
,Distribution of radioactivity of radiolabeled compound in lung of female rats 5 minutes after intravenous administration at,10116.0,Intermediate,,,11308,2048.0,CHEMBL625179,1,BAO_0000218,,,,N,,Lung,9071,Rattus norvegicus,50597,A,,1
,Distribution of radioactivity of radiolabeled compound in lung of female rats 30 minutes after intravenous administration,10116.0,Intermediate,,,11309,2048.0,CHEMBL625180,1,BAO_0000218,,,,N,,Lung,9071,Rattus norvegicus,50597,A,,1
,"Original dose appeared in the bile as unchanged compound, which was eliminated at a fairly constant rate over the first 4 hr following the iv administration",,Autocuration,,,11310,,CHEMBL625181,1,BAO_0000218,,,,U,,,10677,,22224,A,,0
,Percentage of dose recovered after 0-6 hr in the urine of mice was measured.,10090.0,Intermediate,,,11311,1088.0,CHEMBL625182,1,BAO_0000218,,,,N,,Urine,9750,Mus musculus,50594,A,,1
,The distribution of the 131 I-labeled compound at 30 min was evaluated in rat blood as Percent of injected dose per gram in the organ,10116.0,Intermediate,,,11312,,CHEMBL625183,1,BAO_0000218,,,,N,,,8319,Rattus norvegicus,50597,A,,1
,The distribution of the 131 I-labeled compound at 30 min was evaluated in rat brain as Percent of injected dose in the total organ,10116.0,Intermediate,,,11313,,CHEMBL875848,1,BAO_0000218,,,,N,,,8319,Rattus norvegicus,50597,A,,1
,The distribution of the 131 I-labeled compound at 30 min was evaluated in rat brain as Percent of injected dose per gram in the organ,10116.0,Intermediate,,,11314,,CHEMBL622260,1,BAO_0000218,,,,N,,,8319,Rattus norvegicus,50597,A,,1
,The distribution of the 131 I-labeled compound at 30 min was evaluated in rat heart as Percent of injected dose in the total organ,10116.0,Intermediate,,,11315,,CHEMBL622261,1,BAO_0000218,,,,N,,,8319,Rattus norvegicus,50597,A,,1
,The distribution of the 131 I-labeled compound at 30 min was evaluated in rat heart as Percent of injected dose per gram in the organ,10116.0,Intermediate,,,11316,,CHEMBL622262,1,BAO_0000218,,,,N,,,8319,Rattus norvegicus,50597,A,,1
,The distribution of the 131 I-labeled compound at 30 min was evaluated in rat kidney as Percent of injected dose in the total organ,10116.0,Intermediate,,,11317,2113.0,CHEMBL622263,1,BAO_0000218,,,,N,,Kidney,8319,Rattus norvegicus,50597,A,,1
,The distribution of the 131 I-labeled compound at 30 min was evaluated in rat kidney as Percent of injected dose per gram in the organ,10116.0,Intermediate,,,11318,2113.0,CHEMBL622418,1,BAO_0000218,,,,N,,Kidney,8319,Rattus norvegicus,50597,A,,1
,The distribution of the 131 I-labeled compound at 30 min was evaluated in rat liver as Percent of injected dose in the total organ,10116.0,Intermediate,,,11319,2107.0,CHEMBL622419,1,BAO_0000218,,,,N,,Liver,8319,Rattus norvegicus,50597,A,,1
,Biodistribution in CD-1 mice was determined after 1 minute in femur(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11320,,CHEMBL623388,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 1 minute in liver(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11321,2107.0,CHEMBL623389,1,BAO_0000218,,In vivo,,N,,Liver,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 1 minute in lung(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11322,,CHEMBL623390,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 120 minutes in Striatum(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11323,,CHEMBL623391,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 120 minutes in blood(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11324,178.0,CHEMBL623392,1,BAO_0000218,,In vivo,,N,,Blood,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 120 minutes in cerebellum(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11325,2037.0,CHEMBL623393,1,BAO_0000218,,In vivo,,N,,Cerebellum,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 120 minutes in cortex(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11326,,CHEMBL623394,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 120 minutes in femur(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11327,,CHEMBL618885,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 120 minutes in liver(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11328,2107.0,CHEMBL618886,1,BAO_0000218,,In vivo,,N,,Liver,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 120 minutes in lung(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11329,,CHEMBL618887,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 30 minutes in Striatum (expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11330,,CHEMBL619535,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 30 minutes in blood (expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11331,178.0,CHEMBL619536,1,BAO_0000218,,In vivo,,N,,Blood,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 30 minutes in cerebellum (expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11332,2037.0,CHEMBL619537,1,BAO_0000218,,In vivo,,N,,Cerebellum,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 30 minutes in cortex (expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11333,,CHEMBL619705,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 30 minutes in femur (expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11334,,CHEMBL619706,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 30 minutes in liver (expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11335,2107.0,CHEMBL619707,1,BAO_0000218,,In vivo,,N,,Liver,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 30 minutes in lung (expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11336,,CHEMBL619708,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 5 minute in Striatum(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11337,,CHEMBL625219,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 5 minute in blood(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11338,178.0,CHEMBL625220,1,BAO_0000218,,In vivo,,N,,Blood,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 5 minute in cerebellum(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11339,2037.0,CHEMBL625221,1,BAO_0000218,,In vivo,,N,,Cerebellum,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 5 minute in cortex(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11340,,CHEMBL625222,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 5 minute in femur(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11341,,CHEMBL625223,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 5 minute in liver(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11342,2107.0,CHEMBL625224,1,BAO_0000218,,In vivo,,N,,Liver,13256,Mus musculus,50594,A,,1
,Biodistribution in CD-1 mice was determined after 5 minute in lung(expressed as percent injected dose per gram normalized to a 25 g mouse),10090.0,Intermediate,,,11343,,CHEMBL625225,1,BAO_0000218,,In vivo,,N,,,13256,Mus musculus,50594,A,,1
,Biodistribution in Rat blood after 24 hours of iv administration,10116.0,Intermediate,,,11344,178.0,CHEMBL625226,1,BAO_0000218,,In vivo,,N,,Blood,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat blood after 24 hours of iv administration; per g of tissue,10116.0,Intermediate,,,11345,178.0,CHEMBL625227,1,BAO_0000218,,In vivo,,N,,Blood,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat blood after 30 minutes of iv administration,10116.0,Intermediate,,,11346,178.0,CHEMBL625228,1,BAO_0000218,,In vivo,,N,,Blood,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat blood after 30 minutes of iv administration; per g of tissue,10116.0,Intermediate,,,11347,178.0,CHEMBL875354,1,BAO_0000218,,In vivo,,N,,Blood,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat blood after 5 minutes of iv administration,10116.0,Intermediate,,,11348,178.0,CHEMBL625229,1,BAO_0000218,,In vivo,,N,,Blood,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat blood after 5 minutes of iv administration; per g of tissue,10116.0,Intermediate,,,11349,178.0,CHEMBL625230,1,BAO_0000218,,In vivo,,N,,Blood,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat heart after 24 hours of iv administration,10116.0,Intermediate,,,11350,948.0,CHEMBL625231,1,BAO_0000218,,In vivo,,N,,Heart,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat heart after 24 hours of iv administration; per g of tissue,10116.0,Intermediate,,,11351,948.0,CHEMBL625900,1,BAO_0000218,,In vivo,,N,,Heart,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat heart after 30 minutes of iv administration,10116.0,Intermediate,,,11352,948.0,CHEMBL625901,1,BAO_0000218,,In vivo,,N,,Heart,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat heart after 30 minutes of iv administration; per g of tissue,10116.0,Intermediate,,,11353,948.0,CHEMBL625902,1,BAO_0000218,,In vivo,,N,,Heart,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat heart after 5 minutes of iv administration,10116.0,Intermediate,,,11354,948.0,CHEMBL625903,1,BAO_0000218,,In vivo,,N,,Heart,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat heart after 5 minutes of iv administration; per g of tissue,10116.0,Intermediate,,,11355,948.0,CHEMBL625904,1,BAO_0000218,,In vivo,,N,,Heart,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat liver after 24 hours of iv administration,10116.0,Intermediate,,,11356,2107.0,CHEMBL625905,1,BAO_0000218,,In vivo,,N,,Liver,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat liver after 24 hours of iv administration; per g of tissue,10116.0,Intermediate,,,11357,2107.0,CHEMBL627861,1,BAO_0000218,,In vivo,,N,,Liver,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat liver after 30 minutes of iv administration,10116.0,Intermediate,,,11358,2107.0,CHEMBL627862,1,BAO_0000218,,In vivo,,N,,Liver,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat liver after 30 minutes of iv administration; per g of tissue,10116.0,Intermediate,,,11359,2107.0,CHEMBL627863,1,BAO_0000218,,In vivo,,N,,Liver,8829,Rattus norvegicus,50597,A,,1
,Biodistribution in Rat liver after 30 minutes of iv administration,10116.0,Intermediate,,,11360,2107.0,CHEMBL627769,1,BAO_0000218,,In vivo,,N,,Liver,8829,Rattus norvegicus,50597,A,,1
,Maximum plasma concentration in Beagle dogs at oral dose of 20 mg/kg and an intravenous dose of 5 mg/kg was administered,9615.0,Intermediate,,,11361,1969.0,CHEMBL627770,1,BAO_0000218,,In vivo,,N,,Plasma,13249,Canis lupus familiaris,50588,A,,1
,Cmax in cynomolgus monkey (PO dose),9541.0,Intermediate,,,11362,,CHEMBL627771,1,BAO_0000218,,In vivo,,N,,,13622,Macaca fascicularis,100710,A,,1
,Cmax in rat (PO dose),10116.0,Intermediate,,,11363,,CHEMBL627772,1,BAO_0000218,,In vivo,,N,,,13622,Rattus norvegicus,50597,A,,1
,Cmax in rat (PO dose),10116.0,Intermediate,,,11364,,CHEMBL627773,1,BAO_0000218,,In vivo,,N,,,13622,Rattus norvegicus,50597,A,,1
,Maximum plasma concentration in rats after an oral dose of 5 mg/kg,10116.0,Intermediate,,,11365,1969.0,CHEMBL621922,1,BAO_0000218,,In vivo,,N,,Plasma,13494,Rattus norvegicus,50597,A,,1
,Cmax in rat plasma after oral dose (10 mg/kg),10116.0,Intermediate,,,11366,1969.0,CHEMBL621923,1,BAO_0000218,,In vivo,,N,,Plasma,12170,Rattus norvegicus,50597,A,,1
,Cmax in plasma after oral dose (10 mg/kg),,Autocuration,,,11367,1969.0,CHEMBL621924,1,BAO_0000218,,In vivo,,U,,Plasma,12170,,22224,A,,0
,Maximum plasma concentration of compound was determined in dog at 25 mg/kg orally,9615.0,Intermediate,,,11368,1969.0,CHEMBL621925,1,BAO_0000218,,In vivo,,N,,Plasma,17025,Canis lupus familiaris,50588,A,,1
,Maximum plasma concentration of compound was determined in monkey at 25 mg/kg orally,314293.0,Autocuration,,,11369,1969.0,CHEMBL621926,1,BAO_0000218,,In vivo,,U,,Plasma,17025,Simiiformes,22224,A,,0
,Maximum plasma concentration of compound was determined in rabbit at 25 mg/kg orally,9986.0,Intermediate,,,11370,1969.0,CHEMBL621927,1,BAO_0000218,,In vivo,,N,,Plasma,17025,Oryctolagus cuniculus,50592,A,,1
,Maximum plasma concentration of compound was determined in rat at 25 mg/kg orally,10116.0,Intermediate,,,11371,1969.0,CHEMBL621928,1,BAO_0000218,,In vivo,,N,,Plasma,17025,Rattus norvegicus,50597,A,,1
,Maximum plasma concentration after p.o. (10 mpk) administration in rats.,10116.0,Intermediate,,,11372,1969.0,CHEMBL621929,1,BAO_0000218,,In vivo,,N,,Plasma,14187,Rattus norvegicus,50597,A,,1
,Maximum plasma concentration (Cmax) after p.o. administration of 200 mg/kg in mice,10090.0,Intermediate,,,11373,1969.0,CHEMBL621930,1,BAO_0000218,,In vivo,,N,,Plasma,14816,Mus musculus,50594,A,,1
,Maximum plasma concentration after oral dosing in rat,10116.0,Intermediate,,,11374,1969.0,CHEMBL621931,1,BAO_0000218,,In vivo,,N,,Plasma,17820,Rattus norvegicus,50597,A,,1
,Maximum plasma concentration evaluated in 100% PEG solution at a dose of 20 mg/kg orally,,Autocuration,,,11375,1969.0,CHEMBL621932,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Maximum plasma concentration evaluated in HP-beta-CD solution at a dose of 20 mg/kg orally,,Autocuration,,,11376,1969.0,CHEMBL621933,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Maximum plasma concentration in dogs at 0.5 mg/kg dose upon oral administration,9615.0,Intermediate,,,11377,1969.0,CHEMBL621934,1,BAO_0000218,,In vivo,,N,,Plasma,14691,Canis lupus familiaris,50588,A,,1
,Maximum plasma concentration in dogs at 1 mg/kg dose upon oral administration,9615.0,Intermediate,,,11378,1969.0,CHEMBL621935,1,BAO_0000218,,In vivo,,N,,Plasma,14691,Canis lupus familiaris,50588,A,,1
,Maximum plasma concentration in rat upon oral administration of 40 mg/kg,10116.0,Intermediate,,,11379,1969.0,CHEMBL621936,1,BAO_0000218,,In vivo,,N,,Plasma,13375,Rattus norvegicus,50597,A,,1
,Maximum plasma concentration was determined,,Autocuration,,,11380,1969.0,CHEMBL621937,1,BAO_0000218,,In vivo,,U,,Plasma,6236,,22224,A,,0
,Maximum plasma concentration was evaluated in 0.5% methylcellulose suspension at a dose of 20 mg/kg orally,,Autocuration,,,11381,1969.0,CHEMBL621938,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Maximum plasma concentration was evaluated in 0.5% methylcellulose suspension at a dose of 20 mg/kg orally,,Autocuration,,,11382,1969.0,CHEMBL621939,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Maximum plasma concentration was evaluated in 10% of PEG suspension at a dose of 20 mg/kg orally,,Autocuration,,,11383,1969.0,CHEMBL621940,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Maximum plasma concentration was evaluated in 100% of PEG solution at a dose of 20 mg/kg orally,,Autocuration,,,11384,1969.0,CHEMBL621941,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Maximum plasma concentration was evaluated in DMA:H2O solution at a dose of 20 mg/kg orally,,Autocuration,,,11385,1969.0,CHEMBL621942,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Maximum plasma concentration was evaluated in HP-beta-CD solution at a dose of 20 mg/kg orally,,Autocuration,,,11386,1969.0,CHEMBL626178,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Maximum plasma concentration was evaluated in Hp-beta-CD solution at a dose of 20 mg/kg orally,,Autocuration,,,11387,1969.0,CHEMBL626179,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Maximum plasma concentration was evaluated in saline solution at a dose of 20 mg/kg orally,,Autocuration,,,11388,1969.0,CHEMBL626180,1,BAO_0000218,,In vivo,,U,,Plasma,14380,,22224,A,,0
,Plasma Cmax in rat (PO dose),10116.0,Intermediate,,,11389,1969.0,CHEMBL626181,1,BAO_0000218,,In vivo,,N,,Plasma,13622,Rattus norvegicus,50597,A,,1
,Maximum serum concentration after po dose of 5.22 mg/kg in rats,10116.0,Intermediate,,,11390,,CHEMBL626182,1,BAO_0000218,,In vivo,,N,,,15372,Rattus norvegicus,50597,A,,1
,Maximum serum concentration after po dose of 5.46 mg/kg in rats,10116.0,Intermediate,,,11391,,CHEMBL626183,1,BAO_0000218,,In vivo,,N,,,15372,Rattus norvegicus,50597,A,,1
,Maximum serum concentration was determined for the compound after po dose of 5.01 mg/kg in rats,10116.0,Intermediate,,,11392,,CHEMBL626184,1,BAO_0000218,,In vivo,,N,,,15372,Rattus norvegicus,50597,A,,1
,Maximum serum concentration was determined for the compound after po dose of 5.03 mg/kg in rats,10116.0,Intermediate,,,11393,,CHEMBL626185,1,BAO_0000218,,In vivo,,N,,,15372,Rattus norvegicus,50597,A,,1
,Maximum plasma concentration (Cmax) was determined in dogs fed after oral administration of 25 mg/kg of the compound.,9615.0,Intermediate,,,11394,1969.0,CHEMBL626186,1,BAO_0000218,,In vivo,,N,,Plasma,14925,Canis lupus familiaris,50588,A,,1
,Maximum plasma concentration (Cmax) was determined in fasted dogs after oral administration of 25 mg/kg of the compound.,9615.0,Intermediate,,,11395,1969.0,CHEMBL877589,1,BAO_0000218,,In vivo,,N,,Plasma,14925,Canis lupus familiaris,50588,A,,1
,Maximum concentration of the drug at 1 uM/dg administered intravenously,,Autocuration,,,11396,,CHEMBL626187,1,BAO_0000218,,In vivo,,U,,,11883,,22224,A,,0
,Maximum concentration of the drug at 20 uM/dg administered perorally,,Autocuration,,,11397,,CHEMBL626188,1,BAO_0000218,,In vivo,,U,,,11883,,22224,A,,0
,Oral Bioavailability was measured as Maximal observed concentration (Cmax) value at dose 125 mg/kg,,Autocuration,,,11398,,CHEMBL626189,1,BAO_0000218,,In vivo,,U,,,13391,,22224,A,,0
,Oral Bioavailability was measured as Maximal observed concentration (Cmax) value at dose 125 mg/kg; b = No compound detectable in blood above the detection limit of 0.1 uM,,Autocuration,,,11399,178.0,CHEMBL626855,1,BAO_0000218,,In vivo,,U,,Blood,13391,,22224,A,,0
,Oral Bioavailability was measured as Maximal observed concentration (Cmax) value at dose 125 mg/kg; b denotes No compound detectable in blood above the detection limit of 0.1 uM,,Autocuration,,,11400,178.0,CHEMBL623781,1,BAO_0000218,,In vivo,,U,,Blood,13391,,22224,A,,0
,Oral Bioavailability was measured as Maximal observed concentration (Cmax) value at dose 125 mg/kg;b = No compound detectable in blood above the detection limit of 0.1 uM,,Autocuration,,,11401,178.0,CHEMBL623782,1,BAO_0000218,,In vivo,,U,,Blood,13391,,22224,A,,0
,Oral absorption expressed as peak plasma conc (Cmax) after oral dosing of 50 mg/kg in rat,10116.0,Intermediate,,,11402,1969.0,CHEMBL623783,1,BAO_0000218,,In vivo,,N,,Plasma,16360,Rattus norvegicus,50597,A,,1
,Cmax in dog plasma after 1mg/kg oral dose,9615.0,Intermediate,,,11403,1969.0,CHEMBL623784,1,BAO_0000218,,In vivo,,N,,Plasma,3673,Canis lupus familiaris,50588,A,,1
,Bioavailability as maximal plasma concentration in dogs after 2.5 mg/kg oral dose,9615.0,Intermediate,,,11404,1969.0,CHEMBL623785,1,BAO_0000218,,In vivo,,N,,Plasma,14431,Canis lupus familiaris,50588,A,,1
,Bioavailability as maximal plasma concentration in rats after 10 mg/kg oral dose,10116.0,Intermediate,,,11405,1969.0,CHEMBL623786,1,BAO_0000218,,In vivo,,N,,Plasma,14431,Rattus norvegicus,50597,A,,1
,Oral maximum concentration in rat,10116.0,Intermediate,,,11406,,CHEMBL623787,1,BAO_0000218,,In vivo,,N,,,14964,Rattus norvegicus,50597,A,,1
,Oral maximum concentration in rat,10116.0,Intermediate,,,11407,,CHEMBL623788,1,BAO_0000218,,In vivo,,N,,,14964,Rattus norvegicus,50597,A,,1
,Oral plasma concentration in mice at 100 mg/kg dosage within 4-hr time frame.,10090.0,Intermediate,,,11408,1969.0,CHEMBL623789,1,BAO_0000218,,In vivo,,N,,Plasma,14209,Mus musculus,50594,A,,1
,Peak concentration in blood after intravenous administration to mice,10090.0,Intermediate,,,11409,178.0,CHEMBL623790,1,BAO_0000218,,In vivo,,N,,Blood,11355,Mus musculus,50594,A,,1
,Peak concentration in blood after peroral administration to mice,10090.0,Intermediate,,,11410,178.0,CHEMBL623791,1,BAO_0000218,,In vivo,,N,,Blood,11355,Mus musculus,50594,A,,1
,Peak concentration in rat plasma was determined,10116.0,Intermediate,,,11411,1969.0,CHEMBL623792,1,BAO_0000218,,In vivo,,N,,Plasma,11966,Rattus norvegicus,50597,A,,1
,Peak plasma concentration expresses the ability of compound for the release of L-Dopa in the plasma of monkey after oral administration of 0.05 mmol/kg,314293.0,Autocuration,,,11412,1969.0,CHEMBL623793,1,BAO_0000218,,In vivo,,U,,Plasma,8918,Simiiformes,22224,A,,0
,Peak plasma concentration expresses the ability of compound for the release of L-Dopa in the plasma of mouse after oral administration of 0.05 mmol/kg,10090.0,Intermediate,,,11413,1969.0,CHEMBL623794,1,BAO_0000218,,In vivo,,N,,Plasma,8918,Mus musculus,50594,A,,1
,Peak plasma concentration expresses the ability of compound for the release of L-Dopa in the plasma of rat after oral administration of 0.05 mmol/kg,10116.0,Intermediate,,,11414,1969.0,CHEMBL623795,1,BAO_0000218,,In vivo,,N,,Plasma,8918,Rattus norvegicus,50597,A,,1
,"Distribution in rat heart 4 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11415,,CHEMBL623796,1,BAO_0000218,,,,N,,,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat heart 5 min after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11416,,CHEMBL623797,1,BAO_0000218,,,,N,,,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat heart 6 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11417,,CHEMBL623798,1,BAO_0000218,,,,N,,,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat heart 8 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11418,,CHEMBL623799,1,BAO_0000218,,,,N,,,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat intestine 15 min after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11419,160.0,CHEMBL624490,1,BAO_0000218,,,,N,,Intestine,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat intestine 1 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11420,160.0,CHEMBL624491,1,BAO_0000218,,,,N,,Intestine,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat intestine 2 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11421,160.0,CHEMBL624492,1,BAO_0000218,,,,N,,Intestine,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat intestine 30 min after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11422,160.0,CHEMBL624493,1,BAO_0000218,,,,N,,Intestine,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat intestine 4 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11423,160.0,CHEMBL877595,1,BAO_0000218,,,,N,,Intestine,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat intestine 5 min after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11424,160.0,CHEMBL624494,1,BAO_0000218,,,,N,,Intestine,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat intestine 6 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11425,160.0,CHEMBL624495,1,BAO_0000218,,,,N,,Intestine,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat intestine 8 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11426,160.0,CHEMBL624681,1,BAO_0000218,,,,N,,Intestine,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat kidney, 15 min after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11427,,CHEMBL624682,1,BAO_0000218,,,,N,,,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat kidney, 1 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11428,,CHEMBL624683,1,BAO_0000218,,,,N,,,8684,Rattus norvegicus,50597,A,,1
,"Distribution in rat kidney, 2 hr after intravenous administration, injected dose/gm",10116.0,Intermediate,,,11429,,CHEMBL624684,1,BAO_0000218,,,,N,,,8684,Rattus norvegicus,50597,A,,1
