Fiscal year,Programming process (new),Climate change adaptation (marker),Regional program (marker),Urban issues (marker),Sector percent,Project number,Untied amount(Project-level budget),Gender equality (marker),Sector name,Biodiversity (marker),CountryRegion name,CFLI (marker),Organisation class,Maximum CIDA contribution (project-level),Status,Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CIDA business delivery model (old),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
2009/2010,Uncoded: Pre-APP,0,1,0,0.5,A032668001,7130780.37,2,Public sector policy and administrative management,0,Eastern Africa,0,Civil Society,7130780.37,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.5,A032668001,7130780.37,2,Public finance management,0,Eastern Africa,0,Governmental,7130780.37,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.5,A032668001,7130780.37,2,Public finance management,0,Eastern Africa,0,Civil Society,7130780.37,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.5,A032668001,7130780.37,2,Public sector policy and administrative management,0,Eastern Africa,0,Governmental,7130780.37,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.5,A032668001,7130780.37,2,Public sector policy and administrative management,0,Eastern Africa,0,Civil Society,7130780.37,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.5,A032668001,7130780.37,2,Public finance management,0,Eastern Africa,0,Governmental,7130780.37,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.5,A032668001,7130780.37,2,Public finance management,0,Eastern Africa,0,Civil Society,7130780.37,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4249,Gulf of Guinea Program,4310,Central & West Africa Regional Program,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032670001,0.0,0,Education policy and administrative management,0,Colombia,0,Civil Society,2300000.0,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4420,Colombia,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032670001,0.0,0,Basic life skills for youth and adults,0,Colombia,0,Civil Society,2300000.0,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4420,Colombia,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032670001,0.0,0,"Civilian peace-building, conflict prevention and resolution",0,Colombia,0,Civil Society,2300000.0,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4420,Colombia,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032670001,0.0,0,Child soldiers (Prevention and demobilisation),0,Colombia,0,Civil Society,2300000.0,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4420,Colombia,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Health policy and administrative management,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Health policy and administrative management,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Medical services,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Medical services,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Health education,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Health education,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Health personnel development,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Health personnel development,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Reproductive health care,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Reproductive health care,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032673001,19060000.0,2,STD control including HIV/AIDS,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032673001,19060000.0,2,STD control including HIV/AIDS,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Personnel development for population and reproductive health,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Personnel development for population and reproductive health,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Human rights,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032673001,19060000.0,2,Human rights,0,Haiti,0,Civil Society,19060000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Responsive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032681001,4473166.8,0,Health education,0,Bangladesh,0,Civil Society,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A032681001,4473166.8,0,Health education,0,Bangladesh,0,Individual,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032681001,4473166.8,0,Public sector policy and administrative management,0,Bangladesh,0,Civil Society,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032681001,4473166.8,0,Public sector policy and administrative management,0,Bangladesh,0,Individual,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A032681001,4473166.8,0,Democratic participation and civil society,0,Bangladesh,0,Civil Society,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A032681001,4473166.8,0,Democratic participation and civil society,0,Bangladesh,0,Individual,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A032681001,4473166.8,0,Environmental policy and administrative management,0,Bangladesh,0,Civil Society,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A032681001,4473166.8,0,Environmental policy and administrative management,0,Bangladesh,0,Individual,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A032681001,4473166.8,0,Environmental education/training,0,Bangladesh,0,Civil Society,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A032681001,4473166.8,0,Environmental education/training,0,Bangladesh,0,Individual,4473166.8,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A032684003,27928.0,0,Water supply - large systems,0,Indonesia,0,Governmental,27928.0,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,4127,Indonesia,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A032684003,27928.0,0,Sanitation - large systems,0,Indonesia,0,Governmental,27928.0,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,4127,Indonesia,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A032684004,816721.45,0,Water supply - large systems,0,Indonesia,0,Multilateral,816721.45,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,4127,Indonesia,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A032684004,816721.45,0,Sanitation - large systems,0,Indonesia,0,Multilateral,816721.45,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,4127,Indonesia,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A032685003,14472.46,0,Water supply - large systems,0,Indonesia,0,Governmental,14472.46,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,4127,Indonesia,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A032685003,14472.46,0,Sanitation - large systems,0,Indonesia,0,Governmental,14472.46,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4126,OAI Indonesia and SEA Regional,4127,Indonesia,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032686001,347182.0,0,Public finance management,0,Northern Africa,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Democratic participation and civil society,0,Northern Africa,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Human rights,0,Northern Africa,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032686001,347182.0,0,Public finance management,0,Northern Africa,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Democratic participation and civil society,0,Northern Africa,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Human rights,0,Northern Africa,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032686001,347182.0,0,Public finance management,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Democratic participation and civil society,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Human rights,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032686001,347182.0,0,Public finance management,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Democratic participation and civil society,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Human rights,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032686001,347182.0,0,Public finance management,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Democratic participation and civil society,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Human rights,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032686001,347182.0,0,Public finance management,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Democratic participation and civil society,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Human rights,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032686001,347182.0,0,Public finance management,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Democratic participation and civil society,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Human rights,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032686001,347182.0,0,Public finance management,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Democratic participation and civil society,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Human rights,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.3,A032686001,347182.0,0,Public finance management,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Democratic participation and civil society,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032686001,347182.0,0,Human rights,0,Western Asia,0,Civil Society,347182.0,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4320,Iraq Programs,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A032688001,2318474.91,1,Multi-sector aid for basic social services,0,Cambodia,0,Governmental,2318474.91,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,4108,Cambodia,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A032688001,2318474.91,1,Multi-sector aid for basic social services,0,Cambodia,0,Unknown,2318474.91,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,4108,Cambodia,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A032697001,4949360.0,1,Multisector aid,0,Egypt,0,Governmental,4949360.0,Operational,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A032697001,4949360.0,1,Multisector aid,0,Egypt,0,Unknown,4949360.0,Operational,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.25,A032700001,9329815.79,2,Public sector policy and administrative management,0,Viet Nam,0,Civil Society,9329815.79,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,4112,Vietnam,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.35,A032700001,9329815.79,2,Legal and judicial development,0,Viet Nam,0,Civil Society,9329815.79,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,4112,Vietnam,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.15,A032700001,9329815.79,2,Democratic participation and civil society,0,Viet Nam,0,Civil Society,9329815.79,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,4112,Vietnam,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.25,A032700001,9329815.79,2,Legislatures and political parties,0,Viet Nam,0,Civil Society,9329815.79,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,4112,Vietnam,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.67,A032705001,18750000.0,2,Health policy and administrative management,0,Haiti,0,Governmental,18750000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.67,A032705001,18750000.0,2,Health policy and administrative management,0,Haiti,0,Civil Society,18750000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.67,A032705001,18750000.0,2,Health policy and administrative management,0,Haiti,0,Civil Society,18750000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.67,A032705001,18750000.0,2,Health policy and administrative management,0,Haiti,0,Multilateral,18750000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.67,A032705001,18750000.0,2,Health policy and administrative management,0,Haiti,0,Civil Society,18750000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.67,A032705001,18750000.0,2,Health policy and administrative management,0,Haiti,0,Individual,18750000.0,Terminating,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Directive,1,Not PBA,0,0,0,1
