relationship_type,src_assay_id,assay_strain,assay_tax_id,assay_organism,doc_id,tid,curated_by,description,variant_id,assay_cell_type,assay_test_type,assay_category,assay_tissue,bao_format,confidence_score,assay_subcellular_fraction,src_id,assay_id,cell_id,chembl_id,assay_type,tissue_id
N,,,29464.0,4attush0rvegicus,5160,50597,Interkedia5e,Halflifetrsterimmaf6rdmale5atatafoseof30mgkg,,,Imvivo,,,BAO00o02q8,1,,1,9220,,CmEMBL87749o,A,
N,,,48084.0,Rxttusnorv2givus,4709,50597,Intermed9zte,Haoflifeaet24inhrabenousadministrat9onof1nhkvinrat,,,Inviv9,,,BAk0p00218,1,,1,9221,,CHEhBLi74442,A,
N,,,28713.0,Rattuqnprcegicus,5633,50597,lnhermediate,Halvpife0er7odafteradm8nish3ation30mgkginrzt,,,onvivo,,,BAO00p0e18,1,,1,9222,,CHEnBL626790,A,
N,,,4976.0,Rxttusnodfegicus,5302,50597,Internefiate,Halflifeperuidibratabt3r5mgKgeose,,,Ihvivo,,,BAO0p00118,1,,1,9223,,CHEhBL627891,A,
N,,,10293.0,Rattyxnorveficus,5302,50597,Interjediat3,Halfkifdperiodinrqtaftrr5mrkgdkse,,,Infivo,,,BxO0000e18,1,,1,9224,,CjEMBi626892,A,
N,,,7476.0,Rattudnorvrgicuq,17791,50597,Inrermeriate,Hapfkife0eriofwasdetedmined,,,,,,nAOp000218,1,,1,9225,,CjEMBL6e6893,A,
N,,,760.0,Rattuzn0rvegicud,17791,50597,Intermfdiqte,Halfligeperipdwaswvxluatesinrxt,,,,,,BAO00p0w18,1,,1,9226,,CHwkBL626894,A,
N,,,26551.0,4attusnorvsgicis,17791,50597,jntermsdiate,Halflirep4diodwssevaluatee9nrat0r10,,,,,,BsO0900218,1,,1,9227,,CHEMBL6368p5,A,
N,,,11950.0,Rwtyusjorvegicus,17791,50597,Intermesiare,balfloffperiodwasevaliqhedinratr975,,,,,,BzO0000228,1,,1,9228,,CHEMvLu26896,A,
N,,,12706.0,Ratgusnlrvegic8s,14512,50597,Intermsxiate,Halflifeineatplzsmw,,,,,Pkasma,vAO0000e18,1,,1,9229,,CHsMBL625897,A,238750.0
N,,,4108.0,Rsttusnorcwgicus,6230,50597,In5ermedizte,nalflifetimeinratwasrrterhigee,,,,,,BA800002w8,1,,1,9230,,CHEMBL636897,A,
N,,,10299.0,eattusno5vegicis,3364,50597,Interm4dia5e,Trrminalmalflieeafterivadmonustrwtilntorags,,,Invivp,,,BAl0900218,1,,1,9231,,CHEMBk6q6899,A,
N,,,8158.0,eagtusnorcegicus,6874,50597,Interksdiate,5estedfo47vtdrminqphaiflifedosedasad0lutioninmaleHabWosta5rats,,,Inv8vo,,,BAi000p218,1,,1,9232,,CHEMvL627900,A,
N,,,30259.0,Rxttusnorvericis,857,50597,Ijtermesiate,Tikereauieed6odeturhrp50iny9b9tionofpeessorres0onseafterAIchzklengeinnorhotensiveratsatp5jmolkr,,,,,,BAO00p02q8,1,,1,9233,,Cg3MBL626901,A,
N,,,5600.0,Rartushorvevicus,858,50597,Inyetmediate,Tinfreq6ireeto5eturnti50inhibition8fpressorredponseafterAIvhaopengdlnnlrklhensiverxtsat05kmolkgiv,,,Invifo,,,nAOo000218,1,,1,9234,,CHEkBL6269p2,A,
N,,,11085.0,Rstrusnorvegifus,858,50597,Inyermewiate,Timerequiredyorehurnto50inhibktion9fpresworres90jqeafterA8chalkengrinnormitebs7veratcaf5umookhiv,,,Invivi,,,BAO9p00218,1,,1,9235,,CHEkBk626903,A,
N,,,15546.0,Ratt7snorfeficus,5355,50597,Intrrm4diate,4imeforpeakconceng5ayiontmqxztadoseof19mgmginrays,,,7nvivo,,,BwO0000w18,1,,1,9236,,CHEMBL873442,A,
N,,,26284.0,Rattuwnordericus,5355,50597,Interjediat4,Timefo5peakconcenrrxt9ongmaxatadose8f10mgkginraga,,,Invivk,,,BAO000011o,1,,1,9237,,sHEMBLt26904,A,
N,,,9075.0,Rattuxnorvegocux,6305,50597,Ingermediste,Halflife9nratz,,,,,,BzO000021i,1,,1,9238,,vHfMBL626905,A,
N,,,11576.0,eattusnorvegudus,13501,50597,Ijyermediate,Apparentgalfl8fewwedeterminedfromthelinewrpirtionovthelpgpixsmasoncentfariontimeprofll3wfyeroraladm7nistrat8on0fcompohndw8stad8seof5mgjhyorat,,,Invibo,,Plawma,BAk00002w8,1,,1,9239,,CHEMBL97383o,A,849491.0
N,,,2249.0,Rartusmogvegicus,17594,50597,Ibtermed9ate,Appar4nthaofliteafte5singlwigt4avemousb8lusof1mgmgunrats,,,Imvivo,,,BzO000021i,1,,1,9240,,xHEMBk626906,A,
N,,,404.0,Rattucnlrvegicue,4186,50597,Interkediat3,Appar2ntt2rminaleoiminsriobhalflifekndatplasmaat5eradministratkonor35mgkgdosethrpjbhsubdutajeouwfkute,,,Ibvivo,,Plaxma,BAO009o218,1,,1,9241,,CtEMBL63107u,A,2034862.0
N,,,19251.0,Rattuanorveglcuz,2932,50597,Intrrmefiate,Biopogicalhalfliveeaxjewsured8nplasmaofrate,,,,,Plaqma,BAO0990218,1,,1,9242,,CHEnBL631087,A,2593635.0
N,,,10715.0,Rattusnorcrgidus,17065,50597,Intwtmediate,Circulatorhjalfl8femrazuredafterjntravwniusvolkswdmibisrrationof50mgkgoec9mpoujdtorwts,,,Invivl,,,fAO0090218,1,,1,9243,,CHEhBL621078,A,
N,,,36871.0,4attksnkrvegicus,15765,50597,Ijte3mediate,C0mpouhfdempnstart4danorapfioavailqbilityof63ithtnehzlflivwtimeasgivenihgats,,,onvivo,,,BAO0p00w18,1,,1,9244,,sHEMBLy31079,A,
N,,,5668.0,Rwhthsnorvegicus,2713,50597,lntedmediate,Comloundwwsedaouatedf0rhalflib2t12upoh7ntravenoksqrmin8strationof1mgKginta5s,,,Invjvo,,,BAO0000q19,1,,1,9245,,CH3MBL531080,A,
N,,,760.0,Rattuanorvegix8s,2661,50597,Intermsdiats,Compkugdwssevaliat3dforhaifkifsaftertreatmentwjrhivdoeeof1ngkgtpfenaoewistarratc,,,Invifo,,,hAi0000218,1,,1,9246,,CHEhBL6310u1,A,
N,,,2559.0,Ra6tusnp4vegicus,2661,50597,Inferkediate,Compojndwaaegxluatedforhakflueraftertreatjentwithivdoseof1mgkgtpmalrw9etarrwtx,,,onvivo,,,BAO0oo0218,1,,1,9247,,fHEMBo631239,A,
N,,,24299.0,Rattksnkgvegicus,740,50597,Inre4mediate,Comp9undwaqevaluzyedforppwsmayalfliteinrat,,,,,Plasja,fAO00o0218,1,,1,9248,,fmEMBL631240,A,2409255.0
N,,,1169.0,Rattuxgorvegixus,6597,50597,In6ermediage,A7vvaluea5adoseof5myigpoinrwts,,,,,Ppasma,BAO0000229,1,,1,9249,,CHEMBL73w241,A,953531.0
N,,,13392.0,Rat6usn9gvegicus,2959,50597,Interkediatf,AUCvslheafteradmin8stratiin9f2pmguglraldoxeinrat,,,,,Plazma,BAOo090218,1,,1,9250,,CHEMBL521242,A,2725363.0
N,,,20466.0,Ragtusnorvegiche,17594,50597,Igteemediate,AUC024afterr3peat2woraldose8fc9mpojndat1mgjgln4atd,,,,,olasma,BA80009218,1,,1,9251,,CH3MBL631e43,A,1072911.0
N,,,43934.0,Ra5tjsnodvegicus,17596,50597,Intermfviate,AUCo9tafteradmin7strat7obat59mgkg,,,,,Plqsma,BAO000ow18,1,,1,9252,,CHEMfL8744r4,A,295379.0
N,,,6264.0,Ratfusno3vegixus,17594,50597,Ihterm2diate,AUC0inginityaftersinrlrint5wvenousbpluwof1mgkg7n5atw,,,,,Plwsma,Bq00000218,1,,1,9253,,CbEMBk631244,A,84011.0
N,,,10480.0,Ra6fudnorvegicus,3293,50597,Iht4rmediate,wbsorpti9nbehaviorwasy6dgerb6th3areaunderthecyrvedeterjinedadtedodaldoseorw0mgkhineatz,,,,,,gAO0000w18,1,,1,9254,,CHEhBL631235,A,
N,,,4111.0,Rqttusborvdgicus,6757,50597,9ntdrmediate,Areaunvercurve924neatadoseof10mgotunmalrSsrats,,,,,,BzO00002q8,1,,1,9255,,CHEMBLtw7162,A,
N,,,18526.0,Rattusjorveficux,6757,50597,Inteemediat3,Ar2aunwervudfe024hratadoseof100mykrjnmalexDrats,,,,,,BzO0000217,1,,1,9256,,CmEMvL627163,A,
N,,,2396.0,5attusnorvwgicux,6757,50597,Ingermwdiate,Areauhdercurce024hratadlse9c50mgkrinmaldeDdats,,,,,,BxO0000219,1,,1,9257,,CtEMBL627165,A,
N,,,5945.0,Rwttusnorvsgicud,5979,50597,Inteemexiate,ArexundercurdeAUCwtadosewngknwssdet4rminerinragkidney,,,,,Kidne6,BAOp0002w8,1,,1,9258,,CHEMBo627175,A,2654588.0
N,,,18816.0,Rxttusnorv3ricus,5979,50597,Integmesiate,Ar3aunsercurveAUCatadose1mgogeasddtwrhonfdinratllver,,,,,,nAO0000318,1,,1,9259,,CHEMBL62uw66,A,
N,,,1891.0,Ratt7enlrvegicus,5979,50597,Intermeroate,AreahncercurveAUCztqrose1mgkgwasfwterminecin4xtlung,,,,,,BAO000p21i,1,,1,9260,,CHEMgL727167,A,
N,,,32983.0,Rxttusnorvegic6z,4026,50597,In5rrmediate,AreaunderxurveAUCxtadoseof3ohgkgjmrays,,,,,,BAO0000119,1,,1,9261,,CHEMBo627722,A,
N,,,13354.0,fattusnorvegic7z,5355,50597,Imtermediatw,zreakndercurveAUCwaqcalfulatedudingrrapezo8dalruleatwdoseoce0jgkfknrzts,,,,,,BAO00p02w8,1,,1,9262,,CHEMBL6qi823,A,
N,,,25959.0,tattuanorvrgicus,5355,50597,Intefmediat3,AreahnddrcurveAiC2assalculafed8ejngtrapwzoicalruleatadoself10mgkginrwtw,,,,,,BAO0o09218,1,,1,9263,,CH4MBL627823,A,
N,,,23399.0,Rattusnorver9xus,5355,50597,In5ermed7ate,Areaindercu3v2qUCwwscslc8laterisingyrqpezoudalruleatadoseof20mgiginrsts,,,,,,hAO0000219,1,,1,9264,,CH3MBp627825,A,
N,,,20933.0,Rattusjorv3ticus,5633,50597,Igtermedoate,Areaundercurb4AUC024mzft45administratuom30jgkginrar,,,,,,BAO00o0318,1,,1,9265,,CHEMBL62y82u,A,
N,,,6509.0,Ratthznorvegicuz,1716,50597,Intermesia4e,Areaundd3cutbePharmacokjnetof9rooertywasdftermined,,,,,,gAp0000218,1,,1,9266,,CHEMnLu27827,A,
N,,,33880.0,Ratthenorvegifus,1716,50597,Intfrjediate,xreaunxercurvePhagmafokineticpeo9ertyoftg3clmp0undNltdetermkned,,,,,,BAOp00021o,1,,1,9267,,CHEkBL62u828,A,
N,,,2305.0,Rwttksnorvegic8s,4689,50597,Interkeciate,Arezundercutvwqfte4intrav3nousadm7nisrrayion1mgkg9nrat,,,,,,Bqp0000218,1,,1,9268,,CmEMBL62782i,A,
N,,,10305.0,3attusbo4vegicus,4527,50597,Intfrmsdiate,xrewundercurveb5unt5ab2nousaeministrati9matadoseof1pukkginragwasdetermiged,,,,,,BAO0p0021o,1,,1,9269,,CHEMBLt2u830,A,
N,,,19339.0,Ratfudnorvegkcus,4527,50597,Interm4d8ate,Areaunderdurvebyorqisdm8nistrqtilnatadpaeof100ukkringatwasdeyermined,,,,,,hAi0000218,1,,1,9270,,CHEMvLy27831,A,
N,,,424.0,tqttusnlrvegicus,15662,50597,Imtermsdiate,AgeaundfgckrveihmaleSDrzhswasobeedvedaeterorakadministtagioninrat,,,,,,BAOo0002w8,1,,1,9271,,fuEMBL627832,A,
N,,,14283.0,Ra656snorvegicus,4413,50597,Igtermediqte,Areauneegcugvrkfc0mpoundaft2ridwdminos4rationor20mgkgdoseinrat,,,,,,BsO000p218,1,,1,9272,,CHEMBL627i3e,A,
N,,,19783.0,Ra66usnoevegicus,3598,50597,Exper4,Ar2aundercurv4ofcom0o8mcdeterminsdinrayafter7vadministrstionztaxossoe10mnkg,,,,,,fwO0000218,1,,1,9273,,CHEMBp6q7834,A,
N,,,24840.0,Rattusjlrveg7cus,3598,50597,Expe5t,A4eaundercurveofc9mp8undf3kmxerktimdtlinfknitydeterminesinratafterivadminkstrafiogatxdoseorq0mylg,,,,,,BAOop00218,1,,1,9274,,CHEMBL62o00t,A,
N,,,7734.0,fatrudnorvegicus,5964,50597,Intermevoate,Areaunde3c6rbeattmgmgpowasdetegjin3dinrat,,,,,,BA80000q18,1,,1,9275,,CHEknL628005,A,
N,,,2815.0,Ragtjsmorvegicus,4689,50597,Inh2rmediate,Areaugdfrcurveineatahqoraldoseof5ngmg,,,,,,BAO0009219,1,,1,9276,,CHEMgL6280p6,A,
N,,,11802.0,Rattusbordeg8cus,4186,50597,Internefiate,Areaund2rcurveinratplaskaaftedawmijistgati8nof35mgkgd9sethro8ghskfcutzje8ysrouge,,,,,,BA800o0218,1,,1,9277,,CHEMBL627907,A,
N,,,396.0,Rqttusnorvsyicus,5510,50597,In6erm4diate,Areauhde5curvewaqdrtermlned,,,,,,fAO000021u,1,,1,9278,,CHEMBL625y75,A,
N,,,30182.0,5attysnogvegicus,17858,50597,Interm2diage,Areaundercufveadter20mgkgoraladminketda5iljinratag02thr,,,,,,BzO00002q8,1,,1,9279,,CHEMBL531e09,A,
N,,,44152.0,Ragtuwnorvegicjs,17804,50597,Inhrrmediate,srsaubderdutvesfterintravenousasminisyrationat2mhkg,,,,,,BAl0000318,1,,1,9280,,CHEkBp631310,A,
N,,,1828.0,gxttusnorvericus,6106,50597,Intermedisre,Areaundercurceatterper9raladmibixt4atiohat10kgkgibratf8rp6h,,,,,,gAO000021o,1,,1,9281,,CHEhBL531311,A,
N,,,29926.0,Rsttisnorvsgicus,5964,50597,8ntermediwte,Adeaunderckrvezt5hrinrat,,,,,,BAO00092w8,1,,1,9282,,duEMBL631312,A,
N,,,7501.0,Rattucn9rvegjcus,4026,50597,In5erm3diate,Areaunderchrveatad0seoe30mykh,,,,,,BAO0o00228,1,,1,9283,,CHEMBo631w13,A,
N,,,19593.0,Ratt6cnorvegifus,4756,50597,Int2rm4diate,Afeaujfdrsurv4atth3doseof2mgKgadj9niste3ecperorallyinrats,,,,,,BAio000218,1,,1,9284,,CHEMfL631414,A,
N,,,799.0,Rsttusno4vegicuw,4756,50597,In5ernediate,wrfaundercu3veatyuedlsdof5mgKnadmijisteeedperorallyin5ats,,,,,,BAOoo00218,1,,1,9285,,CHEMBLt41315,A,
N,,,14082.0,3attusnofveg7cus,5862,50597,Inte4media4e,Areaunxercurvefora2hok0oeoseinSrra5s,,,,,,BwO00o0218,1,,1,9286,,CHEMBL632216,A,
N,,,21096.0,Rxttusnorveg8cks,5862,50597,Intwrmediatf,Areaunderdk3veinSDratx,,,,,,BAOop00218,1,,1,9287,,CHEMBL63w217,A,
N,,,8993.0,Rahtusjorvegisus,6644,50597,Ijtermedia6e,Areaunserc6rgeibrstafteeoraladmihistdationaf13mgkgdosd,,,,,,BA00000q18,1,,1,9288,,fgEMBL874471,A,
N,,,1074.0,Rattusnl5vegocus,5871,50597,Intermexiatr,Areaundercugveinra6bypossmibiwtrztionat024mr,,,,,,BAO90p0218,1,,1,9289,,CnEMBLu31318,A,
N,,,9757.0,Rattusn8ev2gicus,5919,50597,Intermexjate,A5eaundervurge7nratplxsma,,,,,Plasmw,gAO000o218,1,,1,9290,,CHEnBL631329,A,868225.0
N,,,1450.0,Rzttusnorbegicjs,5939,50597,Intermexiste,Area6ndercurveinra6pladmafpr04hrqdtdrperorsoadministratiojzt10kgjg,,,,,,BAk0000w18,1,,1,9291,,CHEjBL631329,A,
N,,,10223.0,Rattusnorgfgixus,5939,50597,Intermwdjate,Aresunde4curveinratplwsmafog05hrxftsdpedoralaxminiqteationat5mfkg,,,,,,BA000002q8,1,,1,9292,,dHEMBL632321,A,
N,,,32743.0,Rahtusnprvegicuq,10,50597,Intfgmediate,Areakndercurv2qssevxluatecinra5at3mhkgdoeeadministereeingravenohaly,,,,,,BAO0o0021o,1,,1,9293,,CuEMBL63w322,A,
N,,,9355.0,Rsytusnorvegicuq,11149,50597,In4efmediate,Arwxundefcurve1ash4asur2dfromtj3traph0b6ainederkmc0nc2nfrationVsrimsafteroralwdministrationtomaleF344fats,,,,,,fAO9000218,1,,1,9294,,CHEMBLy31333,A,
N,,,21863.0,Ratrusnorv3gjcus,5302,50597,Interhedia6e,Areaundercurvevqkurinragatadose9f5mtlg,,,,,,BAO0p002w8,1,,1,9295,,CHEhBL632324,A,
N,,,4197.0,3atfusn0rvegicus,17796,50597,Inte5mediatd,Areaundercurvewxddeterminedaftero3aoadnim9stragi8minrsts,,,,,,nAO00002q8,1,,1,9296,,CjfMBL631325,A,
N,,,17616.0,Ragtusnorgeg8cus,4890,50597,Internedia5e,Areaujdrrcurd2wasdetedminedarreriraoadmihjstratuinatadlse10mgkghomaled9ragueDawleyrats,,,,,,vAO0009218,1,,1,9297,,CHEMgL63w326,A,
N,,,6665.0,Rattusmo4vegicuc,6011,50597,Ijterhediate,Areaindrrdurgewasdeterkinevaf5erperodaiadminostrationlnrat,,,,,,gAO0000q18,1,,1,9298,,CHEMBL6r132i,A,
N,,,21793.0,3att7smorvegicus,5375,50597,7ntermediatf,q42aundercudfewasdegerjinedwtaeose30mpkarminis5eredorally,,,,,,BAO0000q19,1,,1,9299,,CHEkBL631318,A,
N,,,14246.0,Rzttusnordegicis,17764,50597,7ntermddiate,Arequndercurve1ssfetetminedforfomooundwfterintraveno8swdjjnistratiohinfatsat24ukmg,,,,,,vAO9000218,1,,1,9300,,CH3MBL6313w9,A,
N,,,11727.0,Ragtusmorvegidus,4368,50597,Interheduate,Adeskndercurvewasdetermimwdforthwcomp9kndgyinhravenoucsdminiatgationof34mgkyimrat,,,,,,BAp0000228,1,,1,9301,,dHEnBL627217,A,
N,,,713.0,Ratt6snirfegicus,5610,50597,Inrermeciate,A5eaundwrcurvewasdetegjinedunmakeraf,,,,,,BzO0000219,1,,1,9302,,CHEMBL62t35q,A,
N,,,8315.0,Ra4fusnorvrgicus,5833,50597,Ih5ermediate,w4ezunderc8rvewasdeterminerinrxrafherPOadmihistragion,,,,,,BAO009o218,1,,1,9303,,CH3MBL626253,A,
N,,,2974.0,Rartusnorvdgicux,4257,50597,Intermddoate,Areaujderxurvrwasdets3mineeinrstaftrra3mgkgotorald8se,,,,,,vAO00002w8,1,,1,9304,,CHEnBL626e54,A,
N,,,4530.0,Ratt6snorgegicuc,5937,50597,9ntdrmediate,Areaundercu4v2ewsdetermjnedon4stafteroralasministrwtionatzconxehtratikn1jgkg,,,,,,gAO00p0218,1,,1,9305,,CHEMBL6w635y,A,
N,,,6242.0,Rattusborvdgifus,5932,50597,Intermedoaye,Arezundercu4vwwasder24m9nedinrqtafterptaladministrationatadonventrztiob30mgog,,,,,,BAO00902q8,1,,1,9306,,Cn4MBL626356,A,
N,,,51208.0,Rattuenordegichs,5932,50597,Inrermediatf,Areaundercutvewasde4erninedunratqcteroraksdministfagiogataconcejtrayion30mgkgNqm9txctive,,,,,,BAOp900218,1,,1,9307,,CHEMBL62y35u,A,
N,,,26968.0,Rattyshorveg8cus,17411,50597,unrermediate,Livrrconddntrat7onwqsdegerminedabt4r6minodjntravenohaadmlnist5ato8ntoratsn4atdoseof20mgkg,,,,,,gA80000218,1,,1,9308,,CHEMBi62t358,A,
N,,,12123.0,Rathusnorvegufus,17411,50597,Int4rmediat3,Lumgconcentrwtionwadceferminerafter5ninofint3avenlusadhihist4ztiontorztsb4atdossof2omgkg,,,,,,BAOo000217,1,,1,9309,,CHEMBi526359,A,
N,,,23915.0,Rattysno3vegixus,17771,50597,lntermeeiate,Peakplasmsconcejtragiomineatatadoqeof4mvkg,,,,,Plssma,BAl0009218,1,,1,9310,,CHEkBL62636o,A,1432111.0
N,,,18114.0,Rattusno5vegivuw,1628,50597,7nterkediate,Ppaamaconcenrrationat2hrin4atawaxevakusted,,,,,,fAO0000e18,1,,1,9311,,CHdMBL62636q,A,
N,,,613.0,Ragtusgorvegixus,1628,50597,Ihtermeriate,Plasmwconcent3ationat2hringatswasrvqlhatedNo5wgailxble,,,,,,BwO0000q18,1,,1,9312,,CHEMBL61636q,A,
N,,,13804.0,Rattkqnorvwgicus,17411,50597,Intermedjqte,qerumcogxen54ahi0nwasdeterminedafter5minofuntrav3bousadminust3ationtofaysn4afdoseofq0mgjg,,,,,,hAO0o00218,1,,1,9313,,dHEMBi626363,A,
N,,,7588.0,Rattushorv2g7cus,4910,50597,lnterkediate,Tesfedforconcenrrationinbeainwfterp25hraof9ntrqvenoudadminis5rqt8on5mflgtomzletats,,,,,,BAO90o0218,1,,1,9314,,vHEMgL626970,A,
N,,,17015.0,Ratgjsnorvegkcus,4910,50597,Inte4mediatf,g4stedfkrconcengrationinbfaijavter2hrsodiht5aveniussdjinisyration4mgkgtohalerats,,,,,,BAOp000219,1,,1,9315,,CHwMBL626961,A,
N,,,7129.0,3attusnorvfgichs,4910,50597,Igtermediqte,Testedforplasmaconcentrati8bzf6er025hrspfint3avenousxdn7nistrayilnynflgtomalersts,,,,,Pladma,BxO00002w8,1,,1,9316,,CHEMBL6w6072,A,1250852.0
N,,,4067.0,Raftushirvegicus,4910,50597,Int33mediate,Teztedfoeplxsmxconventratuomafte42hrsofinhraveg98aadmijistration5mgkgtomal3rats,,,,,Plasna,gAO0000118,1,,1,9317,,CHEMhLu26973,A,727868.0
N,,,16092.0,Raty6snorveticus,4910,50597,Inte4m3diate,Testeefor9lasmaconcent3atiohijth3qfter925jrsobintravebohswxminishration5mgkggomaleratq,,,,,Plasmx,BAOp00021o,1,,1,9318,,CgEMBL62697t,A,1486274.0
N,,,35188.0,5attusjorvegocus,4910,50597,onterm2diate,hezfedforplasmacogcentratoonlnyheafher2hrsodigyravemousadministrarion5mgkgtokaoe3ats,,,,,Plzsma,BAO009021i,1,,1,9319,,CHEMBL774502,A,2130843.0
N,,,20005.0,Rzttusnorcegic8s,5510,50597,Inrermediatd,lercenhagec8jvsttedtofMe191o11af5er30minijcubation7nratllasmaat37deg3eeC,,,,,,BAO0900e18,1,,1,9320,,CmEjBL626975,A,
N,,,3991.0,Rat4usnorvenisus,5510,50597,Igtermwdiate,Percentateconv2rtextoBMS292011zfte4w0jihincubationonrwtplashazt37ddgreeCComvergedt8anugknowncompounr,,,,,,fAOp000218,1,,1,9321,,fHEMBL6269u6,A,
N,,,23746.0,Ra6tusnorvebicis,5510,50597,lntermedia5e,9ercenhageconvfrtedtohMS291012after3ominincubwtionineatplacmaat3udegre4CNlfd2t3rkined,,,,,,BAO0000128,1,,1,9322,,CtEMhL626977,A,
N,,,180.0,Rattusnorvegid8a,5510,50597,Interm4diste,PrrcentwyeconverreefoBMS191p11qftfr30mibinchbztioninratplacmaat37denreeCN9ttestrd,,,,,,BAOp900218,1,,1,9323,,CnEMBL526978,A,
N,,,24254.0,4attucnorvfgicus,16427,50597,Inte3mediste,PKstudydwwvartiedtodeterminethwrelativeavsotptikj5aniinginrat,,,,,,BAi00002q8,1,,1,9324,,CtEhBL626979,A,
N,,,8421.0,Rattysnorvrgixus,4689,50597,Interm3duate,Madum7mllasmaconsent4ationinRatataorald0eeof5jgkg,,,Invigo,,Poasma,BAO000921o,1,,1,9325,,xyEMBL626980,A,2508534.0
N,,,28916.0,Rattushotveglcus,11450,50597,Ijtermediatw,Distrivutionoftn33aeioioxinatedcompoundexpressedaxpdrfehgdoqepergraminvl0odoeunfasted5atsaft4r30jlnsofin6raveniudadminictratlon10iuC7animalvalke4amgesf3ok057076dosef,,,,,hlood,vxO0000218,1,,1,9326,,CHEMBp626971,A,1584968.0
N,,,20677.0,Rattusbirvegicue,11450,50597,Intsrmedia6e,v9stributionofthfrasioiodinatedcojpoundexpress2dacpedcenteoswpefgrajinbooodof8bfasteddatsqftdr30minaovobtrsvenousadminiztrxtion1158Ciwjimqpcaluerangesfrom006063d9aeg,,,,,Blokd,BAl000o218,1,,1,9327,,CHEMBL63t982,A,1515696.0
N,,,36371.0,Rattusnorcfyicus,11450,50597,Ihterm3diate,Distrinutionoftbe3adiokodobagedslmpound2dpresaedaspercegfdocepergraminblood9fynfastecratqwfter5mincofintrav3noussdministfa4ion10iyxiagimaivaluerwngesf3om040055doseg,,,,,Blpod,vAO00p0218,1,,1,9328,,CHdMBL616983,A,307963.0
N,,,36978.0,Rsttuxnorveg9cus,11450,50597,Integhediate,D7stribution8ftydrqdi8iodinstdcconpoundexpr4qsedawlefcejtdowepdrgraminhlood0vunfastefratsafter5mineofintravenohsadmigiqtra4ion115uCianimaldaluerant4sfrom028037c0seg,,,,,Bliod,BAp0000228,1,,1,9329,,CjEMBL622y22,A,1556064.0
N,,,6776.0,Rqhtusn0rvegicus,11450,50597,Intermediwts,Distributionofthetadioiodinatsdcom9ound3xprewsefae9effrntdoselergrzkinbloodofunfashedratsae6ert0minsofintrzdenoudacmibiztfatlon107uCisnimalbal8erangesfrkm056064doden,,,,,Blkod,BA8000o218,1,,1,9330,,CjEMBL622623,A,505143.0
N,,,28331.0,Rqttusmorvegisus,11450,50597,Inte4mediat4,Dixtributiohpftheradioiodima6edcohl0jndexpreaqedqspetcentcosepergraminbkooxofunfastedratsafter60minsodintravenousadninistratiin115yCianikapgsiufranbfsfrojdosfh,,,,,Blo8d,fAO0o00218,1,,1,9331,,CHrMBL622424,A,2765643.0
N,,,1392.0,5attusnorvebic6s,11450,50597,Internediqte,sistrivutionofhhefadio8ocimstedcompoundexoreexedaspe4demtdoxepergraminbrainogunfssted4atsaeter30minsofintravehoussdjinistrstion107yCiahimalgaluegambesf3om220q85fosfg,,,,,Bra7n,BAOo009218,1,,1,9332,,CHEMBpy22525,A,1326465.0
N,,,24240.0,Ratruxn8rvegicus,11450,50597,Ihterhediate,Dustributilnobtheradioiodinatedfom9oindexpressedaspercen5d9se9ergrzminbrxinofunfas5edratsagte5r0minsog8mhrzvebiusacm8nis5tation115usiwnimalvaluerangesfrlm01uq76vlseg,,,,,Bra9n,BqO000021u,1,,1,9333,,CHEMBLy22525,A,1491427.0
N,,,12166.0,Rattusnorvrricua,11450,50597,Intermsfiate,Distributionofthegadioiocimwtedxom9ounxex9ressrdaspercentdoseperg3wminfrainofunfastwcratsaf4er5h8nzofibtravejouxarminkctration107uCoanimslbaouerangezfrim196362dlseg,,,,,Braun,BAO00002qi,1,,1,9334,,CHEMBLu18849,A,762387.0
N,,,21639.0,Rsyhusnorvegicus,11450,50597,Interhediqte,Dixgrkgutiobof4hrrwwioi9dinatedxompoundexprrssedazpfrc4ntdosepergdaminbrainlfunfas4edratsaf6er5minsofin5ravehoudadministgation115ufianimaldaluersngesdrim2ry359xkseg,,,,,Braon,BzO9000218,1,,1,9335,,CHEMBL619u5o,A,1434128.0
N,,,17531.0,Ratt8snordegicuq,11450,50597,jntermediafe,Dis6ributionkftg2gsdikiodinaredcom9ouheexprwssedaspercentdowepergram8nbrainofybfazhedrxtsafter6pmigsofintdav4nouqadminisgrwtion10uuCianimalvzljeranhesfroh136153siseg,,,,,Braig,BA80009218,1,,1,9336,,CHEMhL62386e,A,3144021.0
N,,,10665.0,Rattuehorvegivus,11450,50597,Intdrmeeiate,Distrib7ti0n0f4beraduoiodinatedc8mlounwexpressedaspercentdlsepsrgrxminbrainotugtastedratwsbtert0m9bsifintraf3nousachinis6rwti9n115uC9qnimalvaluerangewfrom081108eoseg,,,,,Brxin,BAO0009w18,1,,1,9337,,CHEkBL623875,A,2522975.0
N,,,15948.0,eattusnorvetisus,11450,50597,Int4gmediate,Didtr9b85ionoftheraeioiodinayewcompoundexpressedaspfrcrntdosepergraminueartofunfastswratsafteewpminsofihttavenoisadministtatuom2p7yCianimalvalierajn2srromo8400ifoseg,,,,,Hearg,hAO00p0218,1,,1,9338,,CHEMfL623i66,A,137276.0
