miller2_fsclr,miller2_ctstlfrdvlpmnt(mrkr),miller2_cntnntd,miller2_brnchd,miller2_rgnstnsb-clss,miller2_rtcprcnt,miller2_brnchnm,miller2_rgnlprgrm(mrkr),miller2_chldrnsss(mrkr),miller2_thsss(mrkr),miller2_cfl(mrkr),miller2_rgnstntp,miller2_dsrtfctn(mrkr),miller2_prgrmmngprcss(nw),miller2_fstcprcnt,miller2_sctnnm,miller2_mntspnt,miller2_rgnstnd,miller2_knwldgfrdvlpmnt(mrkr),miller2_sctrnm,miller2_stts,miller2_dvsnnm,miller2_rgnstnnm,miller2_prtcptrdvlpmntndgdgvrnnc,miller2_clmtchngdpttn(mrkr),miller2_bdvrst(mrkr),miller2_rbnsss(mrkr),miller2_ndgnssss(mrkr),miller2_dsbltsss(mrkr),miller2_gndrqlt(mrkr),miller2_rgnstnclss,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_sctrprcnt
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,23590.4,1001249,0,Higher education,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,BW,120,Southern Africa,0.1,11420,0.4
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,17692.8,1001249,0,Advanced technical and managerial training,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,BW,120,Southern Africa,0.1,11430,0.3
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Social mitigation of HIV/AIDS,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,BW,120,Southern Africa,0.1,16064,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Urban development and management,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,BW,120,Southern Africa,0.1,43030,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Food aid/food security programs,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,BW,120,Southern Africa,0.1,52010,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,23590.4,1001249,0,Higher education,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,LS,120,Southern Africa,0.1,11420,0.4
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,17692.8,1001249,0,Advanced technical and managerial training,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,LS,120,Southern Africa,0.1,11430,0.3
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Social mitigation of HIV/AIDS,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,LS,120,Southern Africa,0.1,16064,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Urban development and management,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,LS,120,Southern Africa,0.1,43030,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Food aid/food security programs,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,LS,120,Southern Africa,0.1,52010,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,23590.4,1001249,0,Higher education,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,,120,Southern Africa,0.1,11420,0.4
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,17692.8,1001249,0,Advanced technical and managerial training,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,,120,Southern Africa,0.1,11430,0.3
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Social mitigation of HIV/AIDS,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,,120,Southern Africa,0.1,16064,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Urban development and management,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,,120,Southern Africa,0.1,43030,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Food aid/food security programs,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,,120,Southern Africa,0.1,52010,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,23590.4,1001249,0,Higher education,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,SZ,120,Southern Africa,0.1,11420,0.4
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,17692.8,1001249,0,Advanced technical and managerial training,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,SZ,120,Southern Africa,0.1,11430,0.3
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Social mitigation of HIV/AIDS,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,SZ,120,Southern Africa,0.1,16064,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Urban development and management,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,SZ,120,Southern Africa,0.1,43030,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,5897.6,1001249,0,Food aid/food security programs,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,SZ,120,Southern Africa,0.1,52010,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,47180.8,1001249,0,Higher education,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,ZA,120,Southern Africa,0.2,11420,0.4
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,35385.6,1001249,0,Advanced technical and managerial training,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,ZA,120,Southern Africa,0.2,11430,0.3
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,11795.2,1001249,0,Social mitigation of HIV/AIDS,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,ZA,120,Southern Africa,0.2,16064,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,11795.2,1001249,0,Urban development and management,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,ZA,120,Southern Africa,0.2,43030,0.1
2009/2010,0,2,B6100,UNIVERSITY,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.9,Education,11795.2,1001249,0,Food aid/food security programs,Closed,KSD Social Development Partnerships,Queen's University,1,0,0,1,0,0,2,Civil Society,Africa,ZA,120,Southern Africa,0.2,52010,0.1
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,615.0,1000715,0,Primary education,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,11220,0.01
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,615.0,1000715,0,Vocational training,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,11330,0.01
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,922.5,1000715,0,Advanced technical and managerial training,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,11430,0.015
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,1230.0,1000715,0,Health policy and administrative management,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,12110,0.02
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,1230.0,1000715,0,Health personnel development,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,12281,0.02
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,1291.5,1000715,0,STD control including HIV/AIDS,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,13040,0.021
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,1445.25,1000715,0,Basic drinking water supply,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,14031,0.0235
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,1445.25,1000715,0,Basic sanitation,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,14032,0.0235
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,6150.0,1000715,0,Public sector policy and administrative management,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,15110,0.1
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,3075.0,1000715,0,Legal and judicial development,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,15130,0.05
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,6150.0,1000715,0,Democratic participation and civil society,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,15150,0.1
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,6150.0,1000715,0,Media and free flow of information,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,15153,0.1
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,6150.0,1000715,0,Human rights,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,15160,0.1
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,1230.0,1000715,0,Employment policy and administrative management,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,16020,0.02
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,1045.5,1000715,0,Multi-sector aid for basic social services,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,16050,0.017
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,615.0,1000715,0,Cottage industries and handicrafts,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,32140,0.01
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,738.0,1000715,0,Agro-industries,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,32161,0.012
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,6150.0,1000715,0,Trade policy and administrative management,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,33110,0.1
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,3075.0,1000715,0,Trade facilitation,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,33120,0.05
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,7872.0,1000715,0,Multilateral trade negotiations,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,33140,0.128
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,1845.0,1000715,0,Trade education/training,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,33181,0.03
2009/2010,0,3,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,2460.0,1000715,0,Promotion of development awareness,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Asia,AF,AF,Afghanistan,0.01,99820,0.04
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,2460.0,1000715,0,Primary education,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,11220,0.01
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,2460.0,1000715,0,Vocational training,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,11330,0.01
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,3690.0,1000715,0,Advanced technical and managerial training,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,11430,0.015
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,4920.0,1000715,0,Health policy and administrative management,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,12110,0.02
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,4920.0,1000715,0,Health personnel development,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,12281,0.02
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,5166.0,1000715,0,STD control including HIV/AIDS,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,13040,0.021
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,5781.0,1000715,0,Basic drinking water supply,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,14031,0.0235
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,5781.0,1000715,0,Basic sanitation,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,14032,0.0235
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,24600.0,1000715,0,Public sector policy and administrative management,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,15110,0.1
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,12300.0,1000715,0,Legal and judicial development,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,15130,0.05
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,24600.0,1000715,0,Democratic participation and civil society,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,15150,0.1
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,24600.0,1000715,0,Media and free flow of information,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,15153,0.1
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,24600.0,1000715,0,Human rights,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,15160,0.1
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,4920.0,1000715,0,Employment policy and administrative management,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,16020,0.02
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,4182.0,1000715,0,Multi-sector aid for basic social services,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,16050,0.017
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,2460.0,1000715,0,Cottage industries and handicrafts,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,32140,0.01
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,2952.0,1000715,0,Agro-industries,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,32161,0.012
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,24600.0,1000715,0,Trade policy and administrative management,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,33110,0.1
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,12300.0,1000715,0,Trade facilitation,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,33120,0.05
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,31488.0,1000715,0,Multilateral trade negotiations,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,33140,0.128
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,7380.0,1000715,0,Trade education/training,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,33181,0.03
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,9840.0,1000715,0,Promotion of development awareness,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BI,BI,Burundi,0.04,99820,0.04
2009/2010,0,2,B6100,NGO,0.0,KFM Partnership for Develop. Innovation,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,1.0,Governance & Human Rights,2460.0,1000715,0,Primary education,Closed,KGD Sustainable Economic Growth Partner.,Canadian Catholic Organization for Development and Peace,1,0,0,0,0,0,2,Civil Society,Africa,BJ,BJ,Benin,0.04,11220,0.01
