assays_ss_cll_tp,assays_ss_tst_tp,assays_vrnt_d,assays_cll_d,assays_crtd_b,assays_b_frmt,assays_ss_d,assays_cnfdnc_scr,assays_ss_tx_d,assays_rltnshp_tp,assays_ss_ctgr,assays_src_ss_d,assays_dc_d,assays_chmbl_d,assays_ss_strn,assays_dscrptn,assays_ss_tss,assays_ss_tp,assays_td,assays_src_d,assays_ss_sbclllr_frctn,assays_tss_d,assays_ss_rgnsm
,In vivo,,,Intermediate,BAO_0000218,10952,1,10116.0,N,,,2249,CHEMBL625097,,Compound was evaluated for its bioavailability in the rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Autocuration,BAO_0000218,10953,0,,U,,,17515,CHEMBL882956,,Compound was evaluated for oral bioavailability,,A,22224,1,,,
,In vivo,,,Intermediate,BAO_0000218,10954,1,10116.0,N,,,14541,CHEMBL625098,,Compound was evaluated for percentage of Oral bioavailability in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Autocuration,BAO_0000218,10955,0,10141.0,U,,,12797,CHEMBL625099,,Bioavailability in guinea pig,,A,22224,1,,,Cavia porcellus
,In vivo,,,Intermediate,BAO_0000218,10956,1,10116.0,N,,,12797,CHEMBL625100,,Compound was evaluated for the oral bioavailability in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,10957,1,9615.0,N,,,12797,CHEMBL625101,,Compound was evaluated for the oral bioavailability in dog,,A,50588,1,,,Canis lupus familiaris
,In vivo,,,Intermediate,BAO_0000218,10958,1,10116.0,N,,,12797,CHEMBL874396,,Compound was evaluated for the oral bioavailability in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Autocuration,BAO_0000218,10959,0,9615.0,U,,,11727,CHEMBL625102,,Bioavailability in dog (dosed i.v.),,F,22224,1,,,Canis lupus familiaris
,In vivo,,,Intermediate,BAO_0000218,10960,1,9615.0,N,,,13249,CHEMBL625103,,Compound was tested for in vivo bioavailability in dog,,A,50588,1,,,Canis lupus familiaris
,In vivo,,,Intermediate,BAO_0000218,10961,1,10026.0,N,,,13249,CHEMBL625104,,Compound was tested for in vivo bioavailability in hamsters,,A,100712,1,,,Cricetinae
,In vivo,,,Autocuration,BAO_0000218,10962,0,314293.0,U,,,13249,CHEMBL625105,,Compound was tested for in vivo bioavailability in monkey,,A,22224,1,,,Simiiformes
,In vivo,,,Intermediate,BAO_0000218,10963,1,10116.0,N,,,13249,CHEMBL625106,,Compound was tested for in vivo bioavailability in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Autocuration,BAO_0000218,10964,0,10090.0,U,,,9552,CHEMBL625107,,Oral bioavailability in mouse,,A,22224,1,,,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,10965,1,10090.0,N,,,9552,CHEMBL625108,,Compound was tested for percent of oral bioavailability in mice; 56-74,,A,50594,1,,,Mus musculus
,In vivo,,,Autocuration,BAO_0000218,10966,0,10090.0,U,,,14839,CHEMBL625109,,Oral bioavailability in mouse (nude) (dose of 25 mg/kg),,A,22224,1,,,Mus musculus
,In vivo,,,Autocuration,BAO_0000218,10967,0,9541.0,U,,,14839,CHEMBL625110,,Bioavailability in cynomolgus monkey (dose 25 mg/kg i.v.),,A,22224,1,,,Macaca fascicularis
,In vivo,,,Autocuration,BAO_0000218,10968,0,9541.0,U,,,14839,CHEMBL625111,,Bioavailability in cynomolgus monkey (dose 5 mg/kg i.v.),,A,22224,1,,,Macaca fascicularis
,In vivo,,,Intermediate,BAO_0000218,10969,1,10090.0,N,,,14839,CHEMBL625112,,Oral bioavailability in mouse (nude) (dose 25 mg/kg i.v.),,A,50594,1,,,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,10970,1,10090.0,N,,,14839,CHEMBL875334,,Oral bioavailability in nude mice,,A,50594,1,,,Mus musculus
,In vivo,,,Autocuration,BAO_0000218,10971,0,9443.0,U,,,11219,CHEMBL628617,,Bioavailability in monkey (i.d. dosing),,A,22224,1,,,Primates
,In vivo,,,Autocuration,BAO_0000218,10972,0,10116.0,U,,,9552,CHEMBL628618,,Bioavailability in rat,,A,22224,1,,,Rattus norvegicus
,In vivo,,,Autocuration,BAO_0000218,10973,0,,U,,,11732,CHEMBL628619,,Measure of AUCpo/AUCiv x 100% of the parent compound before (free) and after (total) beta-glucuronidase treatment; total 10%,,A,22224,1,,,
,In vivo,,,Autocuration,BAO_0000218,10974,0,,U,,,11732,CHEMBL628620,,Measure of AUCpo/AUCiv x 100% of the parent compound before (free) and after (total) beta-glucuronidase treatment; total 20%,,A,22224,1,,,
,In vivo,,,Intermediate,BAO_0000218,10975,1,9541.0,N,,,14839,CHEMBL628621,,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 10 mg/kg, as HCl salt in saline solution, perorally and the maximum drug concentration was determined",,A,100710,1,,,Macaca fascicularis
,In vivo,,,Intermediate,BAO_0000218,10976,1,9541.0,N,,,14839,CHEMBL628622,,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as HCl salt in saline solution, perorally and the maximum drug concentration was determined",,A,100710,1,,,Macaca fascicularis
,In vivo,,,Intermediate,BAO_0000218,10977,1,9541.0,N,,,14839,CHEMBL628623,,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 5 mg/kg, as HCl salt in saline solution, perorally and the maximum drug concentration was determined",,A,100710,1,,,Macaca fascicularis
,In vivo,,,Intermediate,BAO_0000218,10978,1,9541.0,N,,,14839,CHEMBL628624,,Maximal plasma concentration in cynomolgus monkeys after 10 mg/kg oral dose,Plasma,A,100710,1,,1969.0,Macaca fascicularis
,In vivo,,,Intermediate,BAO_0000218,10979,1,10090.0,N,,,14839,CHEMBL628625,,Maximal plasma concentration in nude mice after 25 mg/kg oral dose,Plasma,A,50594,1,,1969.0,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,10980,1,9541.0,N,,,14839,CHEMBL628626,,Maximal plasma concentration in cynomolgus monkeys after 5 mg/kg oral dose,Plasma,A,100710,1,,1969.0,Macaca fascicularis
,In vivo,,,Intermediate,BAO_0000218,10981,1,10090.0,N,,,14839,CHEMBL627041,,Maximal plasma concentration in nude mice after 25 mg/kg oral dose,Plasma,A,50594,1,,1969.0,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,10982,1,10090.0,N,,,14839,CHEMBL627042,,Maximal plasma concentration in nude mice after 25 mg/kg oral dose,Plasma,A,50594,1,,1969.0,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,10983,1,10090.0,N,,,14839,CHEMBL627043,,Maximal plasma concentration in nude mice after 25 mg/kg oral dose,Plasma,A,50594,1,,1969.0,Mus musculus
,In vivo,,,Autocuration,BAO_0000218,10984,0,,U,,,13932,CHEMBL627044,,In vivo evaluation of maximum plasma concentration at a dose of 10 mg/kg,Plasma,A,22224,1,,1969.0,
,In vivo,,,Intermediate,BAO_0000218,10985,1,10090.0,N,,,11637,CHEMBL627045,,Cmax in mouse plasma,Plasma,A,50594,1,,1969.0,Mus musculus
,In vivo,,,Autocuration,BAO_0000218,10986,0,,U,,,11637,CHEMBL627046,,Max plasma concentration was measured by 40 mg/kg dose of peroral administration.,Plasma,A,22224,1,,1969.0,
,In vivo,,,Intermediate,BAO_0000218,10987,1,10116.0,N,,,13960,CHEMBL627047,,Maximal plasma concentration in rat,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,10988,1,10116.0,N,,,15905,CHEMBL627048,,Maximal plasma level when administered 1 mg/kg perorally (po) in rat,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,10989,1,10116.0,N,,,14062,CHEMBL627049,,Maximum concentration at an intraduodenal dose of 5.2 mg/kg in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,10990,1,10116.0,N,,,14062,CHEMBL627050,,Maximum concentration at an intraduodenal dose of 6.6 mg/kg in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,10991,1,10116.0,N,,,14062,CHEMBL627051,,Maximum concentration at an intravenous dose of 5.5 mg/kg in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,10992,1,10116.0,N,,,14062,CHEMBL627052,,Maximum concentration at an intravenous dose of 6.5 mg/kg in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,10993,1,10116.0,N,,,14062,CHEMBL627053,,Maximum concentration at an peroral dose of 6.2 mg/kg in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,10994,1,10116.0,N,,,14062,CHEMBL627054,,Maximum concentration at an peroral dose of 6.3 mg/kg in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,10995,1,10090.0,N,,,15011,CHEMBL627055,,Maximum concentration (Cmax) using 0.4% Methyl cellulose (MC) as vehicle. compound was administered intravenously to nude mice at a dose of 25 mg/kg,,A,50594,1,,,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,10996,1,10090.0,N,,,15011,CHEMBL627056,,Maximum concentration (Cmax) using 0.4% Methyl cellulose (MC) as vehicle. compound was administered orally to nude mice at a dose of 25 mg/kg,,A,50594,1,,,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,10997,1,10090.0,N,,,15011,CHEMBL627057,,Maximum concentration (Cmax) using 0.4% Methyl cellulose (MC) as vehicle. compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,A,50594,1,,,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,10998,1,10090.0,N,,,15011,CHEMBL627058,,Maximum concentration (Cmax) using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. compound was administered intravenously to nude mice at a dose of 25 mg/kg,,A,50594,1,,,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,10999,1,10090.0,N,,,15011,CHEMBL626211,,Maximum concentration (Cmax) using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. compound was administered orally to nude mice at a dose of 25 mg/kg,,A,50594,1,,,Mus musculus
,In vivo,,,Autocuration,BAO_0000218,11000,0,,U,,,10291,CHEMBL626212,,Maximum Concentration of the compound.,,A,22224,1,,,
,In vivo,,,Intermediate,BAO_0000218,11001,1,9615.0,N,,,14599,CHEMBL626213,,Maximum Concentration was measured after iv administration into Beagle dog,,A,50588,1,,,Canis lupus familiaris
,In vivo,,,Intermediate,BAO_0000218,11002,1,9615.0,N,,,14599,CHEMBL626214,,Maximum Concentration was measured after iv administration into Beagle dog.,,A,50588,1,,,Canis lupus familiaris
,In vivo,,,Intermediate,BAO_0000218,11003,1,9615.0,N,,,14599,CHEMBL626215,,Maximum Concentration was measured after po administration into Beagle dog,,A,50588,1,,,Canis lupus familiaris
,In vivo,,,Intermediate,BAO_0000218,11004,1,9615.0,N,,,14599,CHEMBL626216,,Maximum Concentration was measured after po administration into Beagle dog.,,A,50588,1,,,Canis lupus familiaris
,In vivo,,,Autocuration,BAO_0000218,11005,0,,U,,,12767,CHEMBL626217,,Maximum blood level reached after an dose of 10.6 uM/kg intravenously,Blood,A,22224,1,,178.0,
,In vivo,,,Autocuration,BAO_0000218,11006,0,,U,,,12767,CHEMBL626218,,Maximum blood level reached after an iv dose of 12.2 uM/kg,Blood,A,22224,1,,178.0,
,In vivo,,,Autocuration,BAO_0000218,11007,0,,U,,,12767,CHEMBL626219,,Maximum blood level reached after an oral dose 14.7 uM/kg oral route,Blood,A,22224,1,,178.0,
,In vivo,,,Autocuration,BAO_0000218,11008,0,,U,,,12767,CHEMBL626220,,Maximum blood level reached after an oral dose of 14.7 uM/kg intravenous route,Blood,A,22224,1,,178.0,
,In vivo,,,Autocuration,BAO_0000218,11009,0,,U,,,12767,CHEMBL626221,,Maximum blood level reached after an oral dose of 5.0 mg/kg,Blood,A,22224,1,,178.0,
,In vivo,,,Autocuration,BAO_0000218,11010,0,,U,,,12767,CHEMBL626222,,Maximum blood level reached at dose of 10.6 uM/kg orally,Blood,A,22224,1,,178.0,
,In vivo,,,Intermediate,BAO_0000218,11011,1,10141.0,N,,,14706,CHEMBL626223,,Maximum concentration (Cmax) in guinea pigs at 2 mg/kg after oral administration,,A,50512,1,,,Cavia porcellus
,In vivo,,,Intermediate,BAO_0000218,11012,1,10141.0,N,,,14706,CHEMBL626224,,Maximum concentration (Cmax) in guinea pigs at 3 mg/kg after oral administration,,A,50512,1,,,Cavia porcellus
,In vivo,,,Intermediate,BAO_0000218,11013,1,10116.0,N,,,14793,CHEMBL626225,,Maximum concentration achieved in rat brain when administered intraperitoneally at a dose of 10 mg/kg,Brain,A,50597,1,,955.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,11014,1,10116.0,N,,,14793,CHEMBL626226,,Maximum concentration achieved in rat brain when administered intravenously at a dose of 10 mg/kg,Brain,A,50597,1,,955.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,11015,1,10116.0,N,,,14793,CHEMBL626227,,Maximum concentration achieved in rat brain when administered perorally at a dose of 100 mg/kg,Brain,A,50597,1,,955.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,11016,1,10116.0,N,,,14793,CHEMBL626228,,Maximum concentration achieved in rat brain when administered perorally at a dose of 10 mg/kg,Brain,A,50597,1,,955.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,11017,1,10116.0,N,,,14793,CHEMBL626229,,Maximum concentration achieved in rat plasma when administered intraperitoneally at a dose of 10 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,11018,1,10116.0,N,,,14793,CHEMBL626921,,Maximum concentration achieved in rat plasma when administered intravenously at a dose of 10 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,11019,1,10116.0,N,,,14793,CHEMBL876793,,Maximum concentration achieved in rat plasma when administered perorally at a dose of 100 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,11020,1,10116.0,N,,,14793,CHEMBL625309,,Maximum concentration achieved in rat plasma when administered perorally at a dose of 10 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,11021,1,1423.0,N,,,10524,CHEMBL625310,,Maximum concentration determined against Bacillus subtilis ATCC 6633 after oral administration in dog(25 mg/kg),,A,50278,1,,,Bacillus subtilis
,In vivo,,,Autocuration,BAO_0000218,11022,0,314293.0,U,,,11871,CHEMBL625311,,Maximum concentration determined in monkeys dosed intravenously with 30 mg/kg,,A,22224,1,,,Simiiformes
,In vivo,,,Intermediate,BAO_0000218,11023,1,10116.0,N,,,11871,CHEMBL625312,,Maximum concentration determined in rats dosed intravenously with 20 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Autocuration,BAO_0000218,11024,0,,U,,,3437,CHEMBL625313,,Maximum concentration for the bioavailability at a dose of 20 mg/kg administered orally,,A,22224,1,,,
,In vivo,,,Intermediate,BAO_0000218,11025,1,10090.0,N,,,12038,CHEMBL625314,,Maximum concentration in male CD-1 mice after sc administration of 20 mg/kg,,A,50594,1,,,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,11026,1,10116.0,N,,,12038,CHEMBL625315,,Maximum concentration in male rats after iv administration of 20 mg/kg,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11027,1,10116.0,N,,,8418,CHEMBL625316,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 30 min injection by intravenously; value ranges from 1.06-1.29,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11028,1,10116.0,N,,,8418,CHEMBL625317,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 30 min injection by intravenously; value ranges from 1.77-2.08,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11029,1,10116.0,N,,,8418,CHEMBL625318,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 30 min injecton by intravenously; 0.54-0.89,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11030,1,10116.0,N,,,8418,CHEMBL625319,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 30 min injecton by intravenously; 1.57-1.66,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11031,1,10116.0,N,,,8418,CHEMBL625320,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injection by intravenously; value ranges from 1.06-2.71,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11032,1,10116.0,N,,,8418,CHEMBL625321,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injection by intravenously; value ranges from 2.98-3.22,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11033,1,10116.0,N,,,8418,CHEMBL625322,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 0.73-1.45,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11034,1,10116.0,N,,,8418,CHEMBL876801,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 1.03-1.31,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11035,1,10116.0,N,,,8418,CHEMBL625323,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 6.76-10.44,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11036,1,10116.0,N,,,8418,CHEMBL625324,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injection by intravenously; value ranges from 0.47-1.17,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11037,1,10116.0,N,,,8418,CHEMBL625325,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injection by intravenously; value ranges from 1.12-1.44,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11038,1,10116.0,N,,,8418,CHEMBL625326,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injecton by intravenously; 0.38-0.57,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11039,1,10116.0,N,,,8418,CHEMBL625327,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injecton by intravenously; 0.75-1.14,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11040,1,10116.0,N,,,8418,CHEMBL625328,,Distribution of radioactivity in liver tissues of Sprague-Dawley rats after 60 min injecton by intravenously; 1.36-1.74,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11041,1,10116.0,N,,,8418,CHEMBL625329,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injection by intravenously; value ranges from 1.05-1.5,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11042,1,10116.0,N,,,8418,CHEMBL625330,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injection by intravenously; value ranges from 3.10-3.77,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11043,1,10116.0,N,,,8418,CHEMBL627774,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injecton by intravenously; 0.4-0.54,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11044,1,10116.0,N,,,8418,CHEMBL627775,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injecton by intravenously; 0.58-0.86,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11045,1,10116.0,N,,,8418,CHEMBL627949,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 15 min injecton by intravenously; 0.77-0.86,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11046,1,10116.0,N,,,8418,CHEMBL627950,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 30 min injection by intravenously; value ranges from 0.86-1.13,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11047,1,10116.0,N,,,8418,CHEMBL627951,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 30 min injection by intravenously; value ranges from 2.26-2.89,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11048,1,10116.0,N,,,8418,CHEMBL627952,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 30 min injecton by intravenously; 0.54-0.7,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11049,1,10116.0,N,,,8418,CHEMBL627953,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 30 min injecton by intravenously; 0.6-0.66,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11050,1,10116.0,N,,,8418,CHEMBL627954,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injection by intravenously; value ranges from 1.35-1.74,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11051,1,10116.0,N,,,8418,CHEMBL627955,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injection by intravenously; value ranges from 3.62-7.08,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11052,1,10116.0,N,,,8418,CHEMBL627956,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 0.47-0.56,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11053,1,10116.0,N,,,8418,CHEMBL876802,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 0.54-1.07,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11054,1,10116.0,N,,,8418,CHEMBL627957,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 5 min injecton by intravenously; 0.76-0.91,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11055,1,10116.0,N,,,8418,CHEMBL627958,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 60 min injection by intravenously; value ranges from 0.61-0.86,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11056,1,10116.0,N,,,8418,CHEMBL627959,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 60 min injection by intravenously; value ranges from 2.11-3.79,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11057,1,10116.0,N,,,8418,CHEMBL627960,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 60 min injecton by intravenously; 0.3-0.36,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11058,1,10116.0,N,,,8418,CHEMBL627961,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 60 min injecton by intravenously; 0.36-0.44,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11059,1,10116.0,N,,,8418,CHEMBL627962,,Distribution of radioactivity in lung tissues of Sprague-Dawley rats after 60 min injecton by intravenously; 0.5-0.65,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11060,1,10116.0,N,,,9796,CHEMBL627963,,Distribution of radiolabeled compound in intestinal contents of rat 1 hr after ip administration of dose and excess 8 microg of estradiol; fmol equivalents per 100 mg,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11061,1,10116.0,N,,,9796,CHEMBL624759,,Distribution of radiolabeled compound in intestinal contents of rat 1 hr after ip administration of dose; fmol equivalents per 100 mg,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11062,1,10116.0,N,,,9796,CHEMBL624760,,Distribution of radiolabeled compound in intestinal contents of rat 1 hr after iv administration of dose; fmol equivalents per 100 mg,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11063,1,10116.0,N,,,9796,CHEMBL624761,,Distribution of radiolabeled compound in intestinal contents of rat 4 hr after ip administration of dose; fmol equivalents per 100 mg,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11064,1,10116.0,N,,,9796,CHEMBL877607,,Distribution of radiolabeled compound in intestinal contents of rat 8 hr after ip administration of dose; fmol equivalents per 100 mg,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11065,1,10116.0,N,,,9796,CHEMBL624762,,Distribution of radiolabeled compound in liver of rat 1 hr after ip administration of dose and excess 8 microg of estradiol; fmol equivalents per 100 mg,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11066,1,10116.0,N,,,9796,CHEMBL624763,,Distribution of radiolabeled compound in liver of rat 1 hr after ip administration of dose; fmol equivalents per 100 mg,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11067,1,10116.0,N,,,9796,CHEMBL624764,,Distribution of radiolabeled compound in liver of rat 1 hr after iv administration of dose; fmol equivalents per 100 mg,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11068,1,10116.0,N,,,9796,CHEMBL624765,,Distribution of radiolabeled compound in liver of rat 4 hr after ip administration of dose; fmol equivalents per 100 mg,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11069,1,10116.0,N,,,9796,CHEMBL624766,,Distribution of radiolabeled compound in liver of rat 8 hr after ip administration of dose; fmol equivalents per 100 mg,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,11070,1,9615.0,N,,,6996,CHEMBL624767,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 5.4 mg/kg after ip administration ( 0-6 hr),,A,50588,1,,,Canis lupus familiaris
,,,,Intermediate,BAO_0000218,11071,1,9615.0,N,,,6996,CHEMBL624768,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 5 mg/kg after ip administration,,A,50588,1,,,Canis lupus familiaris
,,,,Intermediate,BAO_0000218,11072,1,9615.0,N,,,6996,CHEMBL624769,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 5 mg/kg after ip administration (0-6 hr),,A,50588,1,,,Canis lupus familiaris
,,,,Intermediate,BAO_0000218,11073,1,9615.0,N,,,6996,CHEMBL624770,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 5 mg/kg after ip administration ( 0 - 6 hr),,A,50588,1,,,Canis lupus familiaris
,,,,Intermediate,BAO_0000218,11074,1,9615.0,N,,,6996,CHEMBL624771,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 5 mg/kg after ip administration ( 0-6 hr ),,A,50588,1,,,Canis lupus familiaris
,,,,Intermediate,BAO_0000218,11075,1,9615.0,N,,,6996,CHEMBL624772,,Oral diuretic activity was evaluated by measuring K+ excretion in dog at 5 mg/kg after ip administration ( 0-6 hr),,A,50588,1,,,Canis lupus familiaris
,,,,Intermediate,BAO_0000218,11076,1,10116.0,N,,,6996,CHEMBL624773,,Oral diuretic activity was evaluated by measuring Na+ excretion in Rat at 27 mg/kg after ip administration,,A,50597,1,,,Rattus norvegicus
