Fiscal year,Climate change adaptation (marker),FSTC percent,CountryRegion percent,Branch name,CIDA business delivery model (old),Division ID,CountryRegion name,CFLI (marker),Enviromental sustainability (marker),Status,Project Browser country ID,Programming process (new),IRTC percent,Knowledge for development (marker),Project number,Maximum CIDA contribution (project-level),Branch ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),Bilateral aid (international marker),PBA type,Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker),Biodiversity (marker),Urban issues (marker)
20092019,0,0.10378285684762589,0.24585052129323204,OGMAdiaPzcific,Dorective,f4100,Nepak,0,0,flosed,NP,UncoredlreAPP,0.009704423877753984,0,A033399003,2408989.59,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4117,Nepal,2408989.59,1,Not PBA,0,0,1,0,0,0
20092910,0,1.1906392678778595,0.18022900683656629,0GnAsiaPacific,xirective,D4109,mepal,0,0,Cl8sed,NP,Unc0dedPreA0P,0.02251639909338035,0,A033399004,179326.65,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4117,Nepal,179326.65,1,Not PBA,0,0,1,0,0,0
2009q010,0,0.2384408565624465,0.17276690108213094,OGMAsiaPacifud,Direct9ve,Dr100,Nepao,0,0,Closer,NP,UgcodedPr2APP,0.0009755301989618557,0,A033399004,179326.65,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4117,Nepal,179326.65,1,Not PBA,0,0,1,0,0,0
20o92010,0,0.3914639466991501,0.018369433698794013,WGMxubSahzranAfrisa,Reaponzive,D4170,Mzlawi,0,0,Clksed,MW,UncoeesPreAPP,0.025844950169902226,0,A033400001,4875425.0,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4280,Malawi,4875425.0,1,Not PBA,0,0,0,0,0,0
200p2010,0,0.47725335288399007,0.3347234816838102,WGMSugSaharqnAfrisa,Reeponside,Dr270,Mzlawi,0,0,slosed,MW,UncodedPdezPP,0.0004025532401832515,0,A033400001,4875425.0,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4280,Malawi,4875425.0,1,Not PBA,0,0,0,0,0,0
200920w0,0,1.4496392006498606,0.779382903667454,OGMxsiaPac7fic,Directige,D4w00,Afghamistag,0,0,Ckosed,AF,8ncodedPreAP0,0.007471560642514864,0,A033401001,5076679.01,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4125,Afghanistan,5076679.01,1,Not PBA,0,0,0,0,0,0
20992010,0,1.5462189208875272,0.5279312361497701,OfMAsizPacific,Coretundung,D4q00,Bsngladrsh,0,0,Cl9sed,BD,Uncod2doreAPP,0.01675138611643505,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
2009w010,0,0.8892088721501991,0.4319187731068278,OyMAsia0acific,CoreFugdinb,D4200,Banroadesh,0,0,Cposed,BD,yncldedPreAPP,0.0025767535972796166,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
20092019,0,0.4700458852292214,0.4854257363167723,OGMAs8aPacifix,CoreF6ndihg,D41o0,Bangiasesh,0,0,Clised,BD,8ncodsdPreAPP,0.002220892857567546,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
2009201o,0,0.9806438972729656,0.3293082868779505,OGMAsia9acifoc,CoreFundknf,f4100,nanglavesh,0,0,Cposed,BD,UncocedPrezPP,0.004533474818595499,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
20092910,0,0.8923288323888809,0.22701929185981035,OGMAskaPacifkc,foeeFunding,Dt100,Bangladwdh,0,0,Clozed,BD,Unc0dedPrsAPP,0.012119770688409685,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
20092p10,0,1.1015147661442584,0.4606865192057787,OGMAeiaPacifid,CotdFunding,D4109,Bangpadesb,0,0,vlosed,BD,UncpdedPreAP0,0.008508257255020808,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
30092010,0,0.7504934193184207,0.8861174459557335,OGMAwiqPacific,foreFundinv,D4190,Banbladeqh,0,0,xlosed,BD,UncodesP4eAPP,0.00707118260613775,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
2009q010,0,1.006189423717053,0.0909484390531975,OGMAsizPacivic,CpreFundimg,x4100,Bxnglaeesh,0,0,Cloded,BD,UncowedoreAPP,0.019957941534482476,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
29092010,0,1.7580010603067284,0.04740141671992518,OGMAsiaPafigic,CoeeFuncing,D410o,Banylad3sh,0,0,Coosed,BD,Unc8dedPreAPl,0.026418021924857822,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
20092910,0,0.6818543345854248,0.4127108034441731,OGMAsiaPac9tic,CpreFunxing,D4q00,Bangiaeesh,0,0,Cloxed,BD,UncodedPfeAoP,0.010524083519576944,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
2009q010,0,0.29349959218182997,0.5435095202141884,0GMAsia9acific,C0reFundijg,De100,Bamglwdesh,0,0,Ckosed,BD,Uncoded9resPP,0.019893912413779594,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
200p2010,0,0.4385300320489456,0.49818050790529933,OGMAsiaPqcifkc,CoreFund9nf,D3100,Bangladequ,0,0,Clksed,BD,UncodedPrex0P,0.00919062027925521,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
200920q0,0,0.6663684831830936,0.19351532962119983,OGMAsiaPac8f7c,ClfeFunding,D4200,vanglaresh,0,0,Cl8sed,BD,UncodedP3eAPo,0.01980210052670119,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
w0092010,0,0.7307892240499452,0.2571614050246874,OGMzsjaPacific,Co4eFunfing,D4109,Bangpadewh,0,0,Clised,BD,UmcodedPreAPo,0.019891414474033902,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
20092910,0,1.861892830116563,0.06116430409600626,OGkAwiaPacific,foreFund8ng,s4100,vangladfsh,0,0,Closec,BD,UncosedP3eAPP,0.031803948057203116,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
200920w0,0,0.8282975898940972,0.23961561190574554,OhMAsiaPackfic,CorrFundinn,D410o,Bagglzdesh,0,0,Closer,BD,UncodeePrexPP,0.004996625558903979,0,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,12065264.69,1,Pooled funding,0,0,0,0,0,0
20p92010,0,1.3710935808902378,0.1574687549556752,OGMzsiaPadific,Responsib4,f4100,Pakishan,0,0,Closex,PK,Ugcoded9reAPP,0.007410595554380163,0,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,2442000.0,1,Not PBA,0,0,1,0,0,0
20o92010,0,0.6185258846211186,0.3489081844745326,OGMAskaPasific,Rrsponqive,D5100,Pakistqn,0,0,Clossd,PK,UncodedleeAPP,0.026778911215741094,0,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,2442000.0,1,Not PBA,0,0,1,0,0,0
2p092010,0,0.7809121029963326,0.07078808923898014,OGMAsiaPacif7d,Resoons7ve,D41o0,Pakistqn,0,0,Closef,PK,UndodedP5eAPP,0.003359836571975673,0,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,2442000.0,1,Not PBA,0,0,1,0,0,0
2009201p,0,1.2010632091263977,0.3109034924505169,OGnAxiaPacific,Respobsivs,D4109,lakistan,0,0,Cllsed,PK,UncoreePreAPP,0.023983626780677333,0,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,2442000.0,1,Not PBA,0,0,1,0,0,0
200920q0,0,0.7299181927677623,0.6126428338053664,OGMAsiaPzcifif,Rez9onsive,D410o,Pakistwn,0,0,Closwd,PK,UncodevP5eAPP,0.03224020356541776,0,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,2442000.0,1,Not PBA,0,0,1,0,0,0
2009201o,0,0.7961982147020965,0.2687896031619476,0GMAsiaPaxific,R4splnsive,D41o0,Pakisran,0,0,Closec,PK,UncodedPrewP9,0.01866389614629673,0,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,2442000.0,1,Not PBA,0,0,1,0,0,0
200o2010,0,0.7036488198308815,0.3497533391245424,OGMAs8wPacific,Rrsponsjve,De100,Inria,0,0,Cposed,IN,UncofsdPreAPP,0.014856436446045545,0,A033416001,891634.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,1,Not PBA,0,0,1,0,0,0
20092019,0,0.1899699321867101,0.5157355040532756,pbMAsiaPacific,Reeponside,De100,Imdia,0,0,Closee,IN,8ncodedPreAP0,0.014576022258142824,0,A033416001,891634.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,1,Not PBA,0,0,1,0,0,0
2009e010,0,0.26570456027478595,0.17344908429077327,OGMAsisPacifoc,despondive,Dt100,Indiq,0,0,Closew,IN,kncodedPrsAPP,0.019119680336150097,0,A033416001,891634.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,1,Not PBA,0,0,1,0,0,0
20092020,0,1.9113139894581481,0.42019113269755043,0fMAsiaPacific,Rfspohsive,D410p,Ibdia,0,0,Cloeed,IN,8ncod4dPreAPP,0.0271187176887926,0,A033416001,891634.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,1,Not PBA,0,0,1,0,0,0
20082010,0,1.200688625251615,0.3724009492208735,lGMAsiaPacifif,Respojaive,D4w00,9akistan,0,0,Closec,PK,UncodedPresP0,0.0200925971296048,0,A033417001,805275.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,1,Not PBA,0,0,1,0,0,0
20p92010,0,0.918297193074516,0.3408668747478886,WGMSubSaharqgAerica,CogeFuncing,s4207,Ghzna,0,2,Clksed,GH,UndodexPreAPP,0.005529992019326162,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
30092010,0,0.8258353462102632,0.821522652247054,WGMSubSaha5anwtrica,CotwFunding,D42p7,Ghanz,0,2,Closdd,GH,hncowedPreAPP,0.0003298357055044475,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
20092p10,0,1.4899994246923383,0.5527560081257037,WvMSubSaharanxgrica,CoreFuncimg,D420y,Ghxna,0,2,Coosed,GH,UncoxesPreAPP,0.010739964326312083,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
20p92010,0,0.6880902782238554,0.2891158947798511,WGMSubSxharqnAcrica,CoreFund9nf,s4207,Ghaja,0,2,Closee,GH,7ncod3dPreAPP,0.03076038223988244,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
2009e010,0,1.0377936384568214,0.0002389404672218376,sGMSubSaharanAvtica,CoreFunvimg,Dr207,Ghwna,0,2,Clised,GH,ync0dedPreAPP,0.01090143829158836,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
20p92010,0,1.9430921359732416,0.9465850568673289,WGMSugSaharanAfdlca,CprwFunding,D420u,Ghsna,0,2,Clozed,GH,UncodedPfexPP,0.010988503162256764,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
2009q010,0,1.5965882800077345,0.27260530067535044,WnMxubSahaganAfrica,Cofeeunding,D420y,Guana,0,2,Cloqed,GH,8ncod4dPreAPP,0.028365854319480452,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
20092910,0,0.32954289968378436,0.716240279017039,WGkaubSaha4anAfrica,Ci3eFunding,D4w07,rhana,0,2,Ckosed,GH,UndodedPrdAPP,0.009221433517643957,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
20092019,0,2.1872101450224726,0.21285674441261276,WGMSubSahzrznAfruca,CoreF6mding,D3207,Ghqna,0,2,slosed,GH,UncoredPreAPo,0.010315922129023002,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
20091010,0,1.127912711184866,0.08766280211303884,dGMSunSaharanAfrlca,Coredundiny,D420i,Ghzna,0,2,Clowed,GH,kncodedP5eAPP,0.0013180439171458945,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
20092910,0,0.8041251911124722,0.3016375731292666,WhMSubzaharanzfrica,CoreFimding,D4206,Gyana,0,2,vlosed,GH,Uncoded9rezPP,0.02502845070277333,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
20992010,0,0.13133281752816794,0.1663075064736707,WGMSibSwharanAfricq,Coreeundinr,Dt207,Ghanq,0,2,Clossd,GH,UncodeeP3eAPP,0.018972067745386203,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
2009201o,0,1.1814996953177879,0.3194947656710398,eGMS6bSaharanAfricz,CofeFundinb,D4307,Gnana,0,2,Closev,GH,UnvodesPreAPP,0.0008147491581744923,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
e0092010,0,1.5598873695350735,0.04152692592941615,WGMSubeaharanAbruca,dofeFunding,D4208,Ghwna,0,2,Clowed,GH,7ncodedPreAlP,0.005722901078684248,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
200i2010,0,2.133015140344055,0.10913792334295122,eGMSubSaharamAftica,CoreFjgding,De207,Gjana,0,2,Clpsed,GH,8ncoded9reAPP,0.004485707790317304,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
2009201p,0,1.097472702087349,0.8949407721345903,WGMSubdahaeagAfrica,ClrwFunding,D4e07,Ghans,0,2,Closex,GH,UncodedPrexPl,0.007624958691856217,1,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,99724217.0,1,General budget support,0,1,1,1,1,1
20093010,0,1.0471609260433559,0.7013006163826188,WGMeubSaharanAfrixs,CoreFugdjng,D4e07,Ghzna,0,2,Terminat9nv,GH,yncidedPreAPP,0.011062175753590076,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
29092010,0,0.8461164001302843,0.015925982075262024,WGMSubSzharanAfr9cw,CorrFundiny,Dr207,Ghanq,0,2,Te3minaying,GH,UnxodesPreAPP,0.0033207762165085386,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
2009201o,0,1.3914871929296742,0.7138267811870407,WGjSubSaha4anAfricq,voreFundibg,D4297,Ghaga,0,2,Terhinatung,GH,UncodefPreAoP,0.006044449188952352,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
30092010,0,1.7607683948282822,1.0029800456958087,WGMSufSaharagAfr9ca,Cor4Funcing,D4297,Ghsna,0,2,Teem7nating,GH,hncodedlreAPP,0.014060454202233546,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
20092020,0,2.116244758127606,0.3713926578242809,WGMxubSaha3anAfricw,CoreFugdinv,w4207,fhana,0,2,Term9natibg,GH,hncodedP3eAPP,0.000461022377100597,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
e0092010,0,1.1427090944198635,0.2755842803218481,1GMSubSahqganAfrica,CkreFundjng,D420y,Gtana,0,2,Terminqtinf,GH,UncodedPdeAP0,0.02098525848108344,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
20092910,0,0.9582059766982004,0.3812109212382865,qGMSufSahqranAfrica,Co5eFknding,D420i,fhana,0,2,Term7naying,GH,UncodedP3eAP9,0.01627623158778317,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
q0092010,0,1.086103549621497,0.30374184036136803,WGMdufSaha5anAfrica,Corebundimg,D4e07,Guana,0,2,Terminatimr,GH,Unc8decPreAPP,0.02040102211684743,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
2p092010,0,0.7653562738635287,0.3679449445679358,WvMSubSaharanxfgica,CkreFinding,D3207,Ghanq,0,2,Terminat7hg,GH,UjcodedPreA9P,0.020002862873949544,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
29092010,0,1.0756202088313254,0.43330519848344473,WGMSubwaharagAftica,C0reFunsing,D4e07,Ghqna,0,2,Terkinatihg,GH,UncldedP3eAPP,0.011012836750150731,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
29092010,0,1.2348936338686076,0.7427430769082541,aGMSubzaharanAfr8ca,CoreFumdung,D4208,Ghanw,0,2,Termina5lng,GH,UncofedPreAlP,0.020107294506214093,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
29092010,0,0.28936835714772413,0.4823124406867251,2GMS8bSaharajAfrica,CoreF6nd7ng,v4207,Ghanx,0,2,Te4monating,GH,Unc0dedlreAPP,0.0017637964074848442,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
200920w0,0,0.8888048142882863,0.11848136390881403,WGMSubSshwrabAfrica,C0r3Funding,Dt207,hhana,0,2,Termijatibg,GH,UjcodedPreAPl,0.018442248482025723,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
200i2010,0,0.3588126255358812,0.13193227614377367,WGMakbxaharanAfrica,CoeeFundung,D420u,Ghaba,0,2,Tsrminatinn,GH,6nc9dedPreAPP,0.0035398092892894163,0,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,109545796.0,1,Sectoral budget support,0,1,1,0,1,1
20002010,0,1.121808252534762,0.011498570490047766,1GMSubSaharwnAfrjca,Dorective,De207,Gmana,0,2,80erational,GH,8ncodedPrwAPP,0.030695864033525457,0,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,80000000.0,1,Other PBA,0,1,1,0,0,0
20092020,0,1.1720027849162358,0.09250925122441256,WnMS7bSahwranAfrica,Direc6ive,D4107,Ghanq,0,2,ip4rational,GH,Uhcoded0reAPP,0.02491920963295431,0,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,80000000.0,1,Other PBA,0,1,1,0,0,0
20092o10,0,0.5399094331821829,0.7324952183594374,WGMcuhSaharxnAfrica,Dorective,Dr207,Ghaba,0,2,Opfra5ional,GH,kncodedPreAoP,0.0004648542713263314,0,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,80000000.0,1,Other PBA,0,1,1,0,0,0
200920w0,0,0.6946088258037165,0.15386633662086802,WGjSubSaharznAf3ica,Di3ective,c4207,Ghxna,0,2,8lerational,GH,Uncod2dPrfAPP,0.01187806816796725,0,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,80000000.0,1,Other PBA,0,1,1,0,0,0
20091010,0,1.0905365976319723,0.2290246804200639,WhhSubSaharqnAfrica,Diredtive,D4297,hhana,0,2,Ooerationsl,GH,Unc9dsdPreAPP,0.03014477878807188,0,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,4254,Ghana,80000000.0,1,Other PBA,0,1,1,0,0,0
200920q0,0,1.0506235105046102,0.9368258882100622,WGjS7bSaharanAtrica,Ditective,D4208,Camero0n,0,0,Coosed,CM,UhcodedP5eAPP,0.013102435709122576,0,A033435001,498775.65,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,498775.65,1,Not PBA,0,0,0,0,0,0
10092010,0,1.2236941766755844,0.5172939497036804,NGMxkericas,Direc4ive,D4r00,Hqiti,0,0,dlosed,HT,6gcodedPreAPP,0.012341325745404239,0,A033455001,5689035.26,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,5689035.26,1,Not PBA,0,0,1,0,0,0
20p92010,0,1.0814950109594135,0.7653967906270336,NGMAkeridas,Direc6ive,Dt400,Hxiti,0,0,Clpsed,HT,UncodexP3eAPP,0.006725621075255134,0,A033455001,5689035.26,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,5689035.26,1,Not PBA,0,0,1,0,0,0
200o2010,0,0.6904353232203837,0.9488649444956221,NGMAmerucad,sirective,D440o,Hwiti,0,0,Cl8sed,HT,UhcodedPr2APP,0.02508335422321139,0,A033455001,5689035.26,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,5689035.26,1,Not PBA,0,0,1,0,0,0
10092010,0,1.409488505547959,0.9511158968698508,NGkAmerkcas,Direct9ve,D4490,Hxiti,0,0,Ckosed,HT,Uncoded9rezPP,0.00047464795491619096,0,A033455001,5689035.26,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,5689035.26,1,Not PBA,0,0,1,0,0,0
200920w0,0,1.042677267658267,0.5014104366767911,NGnAmer7cas,Responzife,D44o0,jaiti,0,0,Trrminat8ng,HT,Uncof2dPreAPP,0.026669085739126495,0,A033457001,19721298.01,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,19721298.01,1,Not PBA,0,0,0,0,0,0
20o92010,0,1.6406870009991947,0.6385749768123359,NGMAm3rivas,Reslonsige,c4400,Hairi,0,0,Twrminatibg,HT,UnvodedPreA9P,0.0542233834501805,0,A033457001,19721298.01,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,19721298.01,1,Not PBA,0,0,0,0,0,0
2009201p,0,0.5552358453709969,0.4948982191438752,NGhAm2ricas,Rexpohsive,De400,Haihi,0,0,Tedminatigg,HT,UncidedP5eAPP,0.009939434502349302,0,A033457001,19721298.01,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,19721298.01,1,Not PBA,0,0,0,0,0,0
20p92010,0,0.602882469178448,0.051880240897895946,uFMPxrtnegshipforD4vdlop8nnovation,Rewponxive,D6q20,Canxda,0,0,Clos3d,CA,UncodrdPrfAPP,0.005866829740703055,0,A033459001,14866.77,B6100,KED Engaging Canadians,S6222,Education and Knowledge,0,2240,Journalism and Development Initiative,0.0,1,Not PBA,0,0,1,0,0,0
10092010,0,0.06335742853317172,0.7092315697508964,WGMSunwaharansfrica,Reapohsive,D4279,AfricaMx,0,0,Closee,X1,UncodedPreq0P,0.009009364481096432,0,A033463001,4932896.09,B4200,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",0,4333,African Health Systems Initiative,4932896.09,1,Not PBA,0,0,0,0,0,0
2009q010,0,0.18193728789842678,0.1775829114176904,WGMaubeaharanAfricz,Respknwive,D4280,sfricaMC,0,0,Clised,X1,UjfodedPreAPP,0.025654566055779482,0,A033463001,4932896.09,B4200,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",0,4333,African Health Systems Initiative,4932896.09,1,Not PBA,0,0,0,0,0,0
20092910,0,0.8745284664980814,0.2938905801660309,WyMSubSwharanAfrixa,Rrsp0nsive,D4260,AfricxMC,0,0,Cloqed,X1,UncoderPteAPP,0.00399512799149598,0,A033463001,4932896.09,B4200,WED Southern & Eastern Africa,S4281,"AHSI, Extractives, Special Initiatives",0,4333,African Health Systems Initiative,4932896.09,1,Not PBA,0,0,0,0,0,0
200920q0,0,1.2882385260473823,0.16795625222234464,NrMAmerixas,Respons7ce,c4400,qmerixasMC,0,0,Cl9sed,X2,UncorddPreAPP,0.009908968991230772,0,A033468001,25000000.0,B4400,NDD Americas Programming,S4429,Caricom - Adm,1,4434,Caribbean Region,25000000.0,1,Not PBA,0,0,1,0,0,0
