assay_id,tid,assay_cell_type,assay_organism,assay_tissue,description,doc_id,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_subcellular_fraction,relationship_type
6845,50588,,Canis lupus familiaris,,Tmax after peroral administration in dogs at 2.4 uM/kg,17764,A,In vivo,,9615.0,,,N
6846,50594,,Mus musculus,,In vivo Cmax in mice at dose of 100 mg/kg,5969,A,In vivo,,10090.0,,,N
6847,50594,,Mus musculus,,In vivo Cmax in mice at dose of 50 mg/kg,5969,A,In vivo,,10090.0,,,N
6848,50594,,Mus musculus,,Maximal concentration determined at a dose 10 mg/kg administered intraperitoneally to mice,4573,A,In vivo,,10090.0,,,N
6849,50594,,Mus musculus,Plasma,Maximum plasma concentration was determined in mice at a single subcutaneous administration of 40 mg/kg (n=4),3277,A,In vivo,,10090.0,,,N
6850,50594,,Mus musculus,Plasma,Maximum concentration in plasma was determined after intraperitoneal administration of 100 mg/kg in mice,17734,A,In vivo,,10090.0,,,N
6851,50594,,Mus musculus,Plasma,Maximum concentration obtained in mouse plasma was determined,3132,A,In vivo,,10090.0,,,N
6852,50594,,Mus musculus,Plasma,Maximum concentration obtained in mouse plasma was determined at dose 25 mg/kg,3132,A,In vivo,,10090.0,,,N
6853,50594,,Mus musculus,Plasma,Maximum plasma concentration of compound was determined in mouse after 5 mg/kg (i.v.) and 6 mg/kg (p.o.) administration,6348,A,In vivo,,10090.0,,,N
6854,50594,,Mus musculus,Plasma,Maximum plasma concentration when injected i.p. in mice at a dose of 50 mg/kg,17729,A,In vivo,,10090.0,,,N
6855,50594,,Mus musculus,Plasma,Maximum plasma concentration when injected intravenously in mice at a dose of 20 mg/kg,17729,A,In vivo,,10090.0,,,N
6856,50594,,Mus musculus,Plasma,Maximum plasma concentration when injected perorally in mice at a dose of 50 mg/kg,17729,A,In vivo,,10090.0,,,N
6857,50594,,Mus musculus,Plasma,Maximal plasma concentration in BALB/C mice after 20 mg/kg intraperitoneal dose,17728,A,In vivo,,10090.0,,,N
6858,50594,,Mus musculus,Plasma,Maximal plasma concentration in BALB/C mice after 20 mg/kg intravenous dose,17728,A,In vivo,,10090.0,,,N
6859,50594,,Mus musculus,Plasma,Maximal plasma concentration in BALB/C mice after 50 mg/kg oral dose,17728,A,In vivo,,10090.0,,,N
6860,50594,,Mus musculus,,Peak concentration at a single subcutaneous administration of 40 mg/kg in mice,4066,A,In vivo,,10090.0,,,N
6861,50594,,Mus musculus,,Pharmacokinetic property (C(max)) was determined after ip administration of 32 mg/kg in mice,6178,A,In vivo,,10090.0,,,N
6862,50594,,Mus musculus,,Pharmacokinetic property (C(max)) was determined after po administration of 32 mg/kg in mice,6178,A,In vivo,,10090.0,,,N
6863,50594,,Mus musculus,,Pharmacokinetic studies were carried out in vivo after administration of compound at 5 mg/kg intravenously in mice,3760,A,In vivo,,10090.0,,,N
6864,50594,,Mus musculus,,Pharmacokinetic studies were carried out in vivo after administration of compound at 5 mg/kg perorally in mice,3760,A,In vivo,,10090.0,,,N
6865,50594,,Mus musculus,,Pharmacokinetic studies were carried out in vivo after administration of compound at 50 mg/kg intravenously in mice,3760,A,In vivo,,10090.0,,,N
6866,50594,,Mus musculus,,Pharmacokinetic studies were carried out in vivo after administration of compound at 50 mg/kg perorally in mice,3760,A,In vivo,,10090.0,,,N
6868,50594,,Mus musculus,,Cmax in male mice after 2 mg/kg oral dose,5961,A,In vivo,,10090.0,,,N
6869,50594,,Mus musculus,,Plasma concentration of 5-FU in HT-3 (human cervical cancer) xenograft mice at 1.38 mg/kg oral dose co-administered with 135 mg/kg Capecitabine,6137,A,In vivo,,10090.0,,,N
6870,50594,,Mus musculus,,Tested for Cmax value at the dose of 10 mg/kg when administered perorally in mouse,3802,A,In vivo,,10090.0,,,N
6871,50594,,Mus musculus,,Concentration in plasma (systemic) following oral dose in mouse at 0.25 hr,3535,A,,,10090.0,,,N
6872,50594,,Mus musculus,,Concentration in plasma (systemic) following oral dose in mouse at 1 hr,3535,A,,,10090.0,,,N
6873,50594,,Mus musculus,,Concentration in plasma (systemic) following oral dose in mouse at 24 hr,3535,A,,,10090.0,,,N
6874,50594,,Mus musculus,,Concentration in plasma (systemic) following oral dose in mouse at 2 hr,3535,A,,,10090.0,,,N
6875,50594,,Mus musculus,,Concentration in plasma (systemic) following oral dose in mouse at 4 hr,3535,A,,,10090.0,,,N
6876,50594,,Mus musculus,,Concentration in plasma (systemic) following oral dose in mouse at 6 hr,3535,A,,,10090.0,,,N
6877,50594,,Mus musculus,Plasma,Maximum concentration in plasma upon oral administration in mouse,2862,A,,,10090.0,,,N
6878,50594,,Mus musculus,Plasma,Maximum plasma concentration was evaluated in mice after oral administration,2675,A,,,10090.0,,,N
6879,50594,,Mus musculus,Plasma,Maximum plasma concentration was evaluated in mice after intravenous administration; Cp max Not determined,2675,A,In vivo,,10090.0,,,N
6880,50594,,Mus musculus,,Dose at which the compound induced fecal excretion in mice,5399,A,,,10090.0,,,N
6893,80013,A10,Rattus norvegicus,,Percent decrease in fluorescence in a membrane potential assay using the A10 cell line derived from embryonic rat aorta at 0.01 uM,11819,F,,,10116.0,,,N
6894,80013,A10,Rattus norvegicus,,Percent decrease in fluorescence in a membrane potential assay using the A10 cell line derived from embryonic rat aorta at 0.1 uM,11819,F,,,10116.0,,,N
6895,80013,A10,Rattus norvegicus,,Percent decrease in fluorescence in a membrane potential assay using the A10 cell line derived from embryonic rat aorta at 1.0 uM,11819,F,,,10116.0,,,N
6896,80013,A10,Rattus norvegicus,,Percent decrease in fluorescence in a membrane potential assay using the A10 cell line derived from embryonic rat aorta at 10.0 uM,11819,F,,,10116.0,,,N
6897,80013,A10,Rattus norvegicus,,In vitro [14C]- creatine uptake (1 mM) was determined in rat A10 smooth muscle cells at a concentration of (1 mM),16361,F,,,10116.0,,,N
6898,80655,A121,Homo sapiens,,Cytotoxicity was evaluated against A121 ovarian carcinoma human cancer cell line,2288,F,,,9606.0,,,N
6899,80655,A121,Homo sapiens,,Anticancer activity against human ovarian carcinoma A121 cells,10404,F,,,9606.0,,,N
6900,80655,A121,Homo sapiens,,Cytotoxic effect (tumor cell growth inhibition) on the human cell line A121 ovarian carcinoma at the dose of of 16.6 mM,14790,F,,,9606.0,,,N
6901,80655,A121,Homo sapiens,,Cytotoxic effect (tumor cell growth inhibition) on the human cell line A121 ovarian carcinoma at the dose of of 83 mM,14790,F,,,9606.0,,,N
6902,80655,A121,Homo sapiens,,Growth inhibition of human ovarian carcinoma (A121) cell line,14253,F,,,9606.0,,,N
6903,80655,A121,Homo sapiens,,Concentration required to inhibit growth of human tumor A121 (ovarian) cell line.,13617,F,,,9606.0,,,N
6904,80655,A121,Homo sapiens,,Cytotoxicity against human A121 ovarian cells,1003,F,,,9606.0,,,N
6905,80655,A121,Homo sapiens,,Cytotoxicity was evaluated in vitro against A121 (ovarian carcinoma) human tumor cell lines,830,F,,,9606.0,,,N
6906,80655,A121,Homo sapiens,,In vitro cytotoxicity against human ovarian carcinoma A21,12307,F,,,9606.0,,,N
6907,80655,A121,Homo sapiens,,Inhibition of the growth against human Ovarian Carcinoma (A121) cell line after 72 hr exposure,14254,F,,,9606.0,,,N
6908,80655,A121,Homo sapiens,,Inhibitory activity of compound against human A121 ovarian cell line.,13370,F,,,9606.0,,,N
6909,80655,A121,Homo sapiens,,Dose at which compound exhibits cytotoxicity in the A121 ovarian carcinoma cell line.,14790,F,,,9606.0,,,N
6910,80655,A121,Homo sapiens,,Inhibition of growth of human ovarian tumor cell line (A121) after 72 hr of drug exposure,3614,F,,,9606.0,,,N
6911,80012,A 172,Homo sapiens,,Compound was evaluated for in vitro antiproliferative activity against A172 human CNS cancer cell line,2664,F,,,9606.0,,,N
6912,80012,A 172,Homo sapiens,,In vitro cytotoxicity against A172 human tumor cell lines.,2037,F,,,9606.0,,,N
6913,80012,A 172,Homo sapiens,,Growth inhibition time for A172 Human Glioma cell growth at concentration 5 uM,14539,F,,,9606.0,,,N
6914,80012,A 172,Homo sapiens,,Compound was evaluated for cytotoxicity against human glioblastoma (A172) cell line,2836,F,,,9606.0,,,N
6915,80012,A 172,Homo sapiens,,Evaluated for the inhibitory concentration required to cause growth inhibition of A172Mer- cell line of central nervous system (CNS) using the MTT Cytotoxicity Assay,10708,F,,,9606.0,,,N
6916,104729,,Canis lupus familiaris,,Association constant against A2 adenosine receptor,8975,B,,,9615.0,,,H
6917,80656,A2,fish,,In vitro effective dose that causes 50% inhibition of growth of A2 cell line - amelanotic melanoma,7645,F,,,,,,N
6918,104713,,Rattus norvegicus,,Ratio of Ki for adenosine A2 and A1 receptor binding,11377,B,,,10116.0,,,D
6919,80014,A204,Homo sapiens,,In vitro cytotoxicity against A204 human rhabdomyosarcoma cancer cell line,13528,F,,,9606.0,,,N
6920,80014,A204,Homo sapiens,,In vitro antitumor activity against A204 rhabdomyosarcoma tumor cell line was determined,10160,F,,,9606.0,,,N
6921,80015,A2058,Homo sapiens,,The compound was tested in vitro for antiproliferative activity against A2058 tumor cell lines,15144,F,,,9606.0,,,N
6922,80657,A253 cell line,Homo sapiens,,Growth inhibition against Human squamous cell line(A 253),13160,F,,,9606.0,,,N
6923,80657,A253 cell line,Homo sapiens,,Growth inhibition of human squamous carcinoma cell lines following continuous (120 hours) exposure to MTX and compound A253 cell line,12898,F,,,9606.0,,,N
6924,80657,A253 cell line,Homo sapiens,,The compound was tested for Growth inhibition of the human squamous cell carcinoma A253 cells,13069,F,,,9606.0,,,N
6925,80657,A253 cell line,Homo sapiens,,Growth inhibition of A253 cell lines.,15984,F,,,9606.0,,,N
6926,80657,A253 cell line,Homo sapiens,,Growth inhibition of human squamous cell carcinoma A253 cells during continuous Exposure (0-12 h),15564,F,,,9606.0,,,N
6927,80657,A253 cell line,Homo sapiens,,Growth inhibition of human squamous cell carcinoma A253 cells during continuous Exposure (0-12 h); ND means not determined,15564,F,,,9606.0,,,N
6928,80657,A253 cell line,Homo sapiens,,Growth inhibition of human squamous cell carcinoma A253 cells during continuous Exposure (0-12 h); ND means not determined,15564,F,,,9606.0,,,N
6929,81034,A2780,Homo sapiens,,In vitro cytotoxicity causing 50% growth inhibition was determined against A270 (human ovarian cancer)cell line,4720,F,,,9606.0,,,N
6930,81034,A2780,Homo sapiens,,Antitumor activity of compound for 96-h exposure in A2780 human ovarian cell line,16112,F,,,9606.0,,,N
6931,81034,A2780,Homo sapiens,,Cytotoxic activity against A2780 human ovarian carcinoma cell line,16597,F,,,9606.0,,,N
6932,81034,A2780,Homo sapiens,,Cytotoxicity against human cancer cell lines A2780 (ovarian),16378,F,,,9606.0,,,N
6933,81034,A2780,Homo sapiens,,Growth and colony formation inhibition of A2780 ovarian cancer cell lines,16085,F,,,9606.0,,,N
6934,81034,A2780,Homo sapiens,,Inhibition of cell growth in human ovarian carcinoma cell line (A2780) using the 96 hour continuous exposure sulforhodamine B (SRB) growth delay assay,16317,F,,,9606.0,,,N
6935,81034,A2780,Homo sapiens,,The compound was tested for cytotoxic activity against A2780 cell line(human ovarian carcinoma ),15748,F,,,9606.0,,,N
6936,81034,A2780,Homo sapiens,,Inhibition of A2780 / DDP-R human ovarian carcinoma cell proliferation,16597,F,,,9606.0,,,N
6937,81034,A2780,Homo sapiens,,Inhibition of A2780 / TAX-R human ovarian carcinoma cell proliferation,16597,F,,,9606.0,,,N
6938,81034,A2780,Homo sapiens,,Inhibition of A2780 / TAX-S human ovarian carcinoma cell proliferation,16597,F,,,9606.0,,,N
6939,81034,A2780,Homo sapiens,,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 2,15608,F,,,9606.0,,,N
6940,81034,A2780,Homo sapiens,,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 3,15608,F,,,9606.0,,,N
6941,81034,A2780,Homo sapiens,,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 5,15608,F,,,9606.0,,,N
6942,22224,,Cricetulus griseus,,Cytotoxicity on AA8 cell growth (reduce cell number by 50%).,15296,F,,,10029.0,,,U
6943,22224,CHO-AA8,Cricetulus griseus,,Evaluated for cytotoxicity under aerobic conditions against AA8 cells using microassay,10251,A,,,10029.0,,,U
6944,22224,CHO-AA8,Cricetulus griseus,,Evaluated for growth inhibition of AA8 cells under aerobic conditions,10251,F,,,10029.0,,,U
6945,22224,CHO-AA8,Cricetulus griseus,,Evaluated for growth inhibition of AA8 cells under aerobic or hypoxic conditions,10251,F,,,10029.0,,,U
6946,22224,CHO-AA8,Cricetulus griseus,,Evaluated for growth inhibition of AA8 cells under aerobic or hypoxic conditions (air/N2),10251,F,,,10029.0,,,U
6947,22224,,Cricetulus griseus,,Growth inhibition against CHO-derived cell line AA8,11858,F,,,10029.0,,,U
6948,22224,CHO-AA8,Cricetulus griseus,,Growth inhibition against CHO-derived cell line AA8 (Non toxic at solubility limit) [RB6145 used as positive control],11858,F,,,10029.0,,,U
6949,80089,CHO-AA8,hampster,,Growth inhibition in CHO subline AA8 cells exposed for 18 hr under aerobic(air) conditions,11616,F,,,36483.0,,,N
6950,80089,CHO-AA8,Cricetulus griseus,,Growth inhibitory activity against CHO subline AA8 cells exposed for 18 hr under aerobic conditions,11616,F,,,10029.0,,,N
6951,22224,CHO-AA8,Cricetulus griseus,,Tested for the concentration of the drug to reduce cell numbers to 50 percent of controls against AA8 cells in the microassay,10518,F,,,10029.0,,,U
6952,22224,CHO-AA8,Cricetulus griseus,,Growth inhibition of aerobic chinese hamster ovary fibroblast AA8 cell line using an exposure time of 18 hours,11396,F,,,10029.0,,,U
6953,22224,CHO-AA8,Cricetulus griseus,,IC50 (air/N2) ratio of the drug to reduce cell numbers to 50 percent of controls using AA8 cells in the microassay,10518,F,,,10029.0,,,U
6954,80089,CHO-AA8,Cricetulus griseus,,In vitro therapeutic index as ratio of CT10 and C1.3 calculated for AA8 cells.,11616,F,,,10029.0,,,N
6955,12675,,,,compound was evaluated for association constant (Ka) of isolated serum protein AAG,14837,F,,,,,,H
6956,12675,,,,Number of binding sites (n) of isolated serum protein AAG,14837,F,,,,,,H
6957,22222,,,,Association constant for binding to AATT duplex,16037,B,,,,,,M
6958,100090,ABAE,Homo sapiens,,Inhibition of ABAE human fibroblast cell proliferation,16597,F,,,9606.0,,,N
6959,80668,AC755,Mus musculus,,"Compound was evaluated for the antitumor activity against AC755 breast carcinoma for ip administration and daily x 10 schedule; Number of toxic deaths over total number of mice per group (T/C), 1/7 at dose of 25 mg/kg",8831,F,,,10090.0,,,N
6960,102444,,Oryctolagus cuniculus,,Percent change in total cholesterol(TC) versus (T0)- at which drug intervention begins at a dose of 25 mg/kg in the chronic cholesterol-fed rabbit model,13419,F,,,9986.0,,,D
6961,102444,,Oryctolagus cuniculus,,Oral bioactivity expressed as %inhibition after 4 hours of drug administration (dose 25 mg/kg) in rabbit bioassay,13419,F,In vivo,,9986.0,,,D
6962,69,,,,Inhibitory activity against angiotensin-converting enzyme (ACE).,15778,B,,,,,,H
6963,69,,,,oral activity against angiotensin -converting enzyme ( ACE) and neutral endopeptidase in mouse.,15778,B,,,,,,H
6964,80669,ACH-2 cell line,Homo sapiens,,Effect against HIV-1 chronically infected promonocytic cell line ACH-2 cells,12988,F,,,9606.0,,,N
6965,80669,ACH-2 cell line,Homo sapiens,,Effect against HIV-1 chronically infected promonocytic cell line ACH-2 cells in the presence of PMA(phorbol 12-myristate 13-acetate),12988,F,,,9606.0,,,N
6966,22224,T cell line,Human immunodeficiency virus 1,,Effect against HIV-1 expression in a chronically infected human T cell line ACH-2,12988,F,,,11676.0,,,U
6967,22224,T cell line,Human immunodeficiency virus 1,,Effect against HIV-1 expression in a chronically infected human T cell line ACH-2 in the presence of PMA(phorbol 12-myristate 13-acetate),12988,F,,,11676.0,,,U
6968,22224,T cell line,Human immunodeficiency virus 1,,Effect against HIV-1 expression in a chronically infected human T cell line ACH-2i n the presence of PMA(phorbol 12-myristate 13-acetate),12988,F,,,11676.0,,,U
6969,80025,ACHN,Homo sapiens,,Inhibition of growth of renal cancer ACHN cell line,11843,F,,,9606.0,,,N
6970,80025,ACHN,Homo sapiens,,Inhibition of growth of ACHN renal cancer cell line,16939,F,,,9606.0,,,N
6971,80025,ACHN,Homo sapiens,,Inhibitory concentration required against ACHN renal cancer cell line,4782,F,,,9606.0,,,N
6972,80025,ACHN,Homo sapiens,,Concentration required to inhibit growth of human renal (ACHN) cell line,6310,F,,,9606.0,,,N
6973,80025,ACHN,Homo sapiens,,Concentration required to inhibit growth of human renal (ACHN) cell line; nt = not tested,6310,F,,,9606.0,,,N
6974,80025,ACHN,Homo sapiens,,Cytotoxic activity against ACHN Renal cancer cell line,12858,F,,,9606.0,,,N
6975,80025,ACHN,Homo sapiens,,Cytotoxicity evaluation against ACHN renal cancer cells,17380,F,,,9606.0,,,N
6976,80025,ACHN,Homo sapiens,,In vitro antitumor activity against human renal ACHN cell line,5858,F,,,9606.0,,,N
6977,80025,ACHN,Homo sapiens,,In vitro growth inhibition of compound was determined against ACHN cell lines of Renal cancer,3838,F,,,9606.0,,,N
6978,80025,ACHN,Homo sapiens,,In vitro growth inhibition of compound was determined against ACHN cell lines of Renal cancer,3838,F,,,9606.0,,,N
6979,80025,ACHN,Homo sapiens,,"Tested for the cytotoxicity against the Renal cancer cell line ACHN, growth inhibition by 50% is reported",5406,F,,,9606.0,,,N
6980,80025,ACHN,Homo sapiens,,The compound was tested in vitro for cytotoxicity against human tumor cell line ACHN (renal).,4071,F,,,9606.0,,,N
6981,80025,ACHN,Homo sapiens,,Tested in vitro for cytotoxicity against human tumor cell line ACHN (renal).,4071,F,,,9606.0,,,N
6982,80025,ACHN,Homo sapiens,,The compound was tested in vitro for cytotoxicity against human tumor cell line ACHN (renal); Not determined,4071,F,,,9606.0,,,N
6983,80025,ACHN,Homo sapiens,,Antitumor activity was evaluated against human renal adenocarcinoma cell line ACHN.,15002,F,,,9606.0,,,N
6984,80025,ACHN,Homo sapiens,,Compound was evaluated for in vitro activity against ACHN kidney cell lines (Human tumor cells ),14769,F,,,9606.0,,,N
6985,80025,ACHN,Homo sapiens,,"Compound was tested for antiproliferative activity against ACHN, human renal adenocarcinoma",13958,F,,,9606.0,,,N
6986,80025,ACHN,Homo sapiens,,Compound was tested for its effect on the proliferation of ACHN human kidney adenocarcinoma,1665,F,,,9606.0,,,N
6987,80025,ACHN,Homo sapiens,,Compound was tested for the growth inhibition of ACHN renal tumor cell line,15354,F,,,9606.0,,,N
6988,80025,ACHN,Homo sapiens,,Compound was tested for the growth inhibition of ACHN renal tumor cell line; ND=Not determined,15354,F,,,9606.0,,,N
6989,80025,ACHN,Homo sapiens,,In vitro Growth Inhibitory activity against ACHN Human kidney cancer cell line,13978,F,,,9606.0,,,N
6990,80025,ACHN,Homo sapiens,,In vitro cytotoxicity against human renal adenocarcinoma (ACHN) tumor cell line,6798,F,,,9606.0,,,N
6991,50588,,Canis lupus familiaris,,Tmax value after administration of 4 mg/Kg oral dose in dog,2959,A,In vivo,,9615.0,,,N
6992,50588,,Canis lupus familiaris,,"Time to peak response on lowering of vascular resistance, in dogs when administered intravenously",9932,A,,,9615.0,,,N
6993,50588,,Canis lupus familiaris,,Unbound plasma was determined in Beagle dog at a dose of 1 mg/kg by iv administration,5546,A,,,9615.0,,,N
6994,50588,,Canis lupus familiaris,,Volume distribution after 15 mg/kg iv dose in Dogs,16907,A,In vivo,,9615.0,,,N
6995,50588,,Canis lupus familiaris,,Volume distribution after 30 mg/kg po dose in Dogs,16907,A,In vivo,,9615.0,,,N
6996,50588,,Canis lupus familiaris,,Volume of distribution was determined in dog after a 3 mg/kg of iv dose,4257,A,In vivo,,9615.0,,,N
6997,50588,,Canis lupus familiaris,,Volume of distribution was determined by iv administration in dogs at a dose of 1 mg/kg,4305,A,In vivo,,9615.0,,,N
6998,50588,,Canis lupus familiaris,,Volume of distribution was evaluated in dog,5472,A,In vivo,,9615.0,,,N
6999,50588,,Canis lupus familiaris,,Terminal phase volume of distribution was measured in dog after an iv dose of 1 mg/kg,6062,A,In vivo,,9615.0,,,N
7000,50588,,Canis lupus familiaris,,Apparent volume of the central plasma compartment (Vc) of compound determined in dog after iv administration at a dose of 10 mg/kg,3598,A,,,9615.0,,,N
7001,50588,,Canis lupus familiaris,,The compound was tested for volume of distribution in dog,12500,A,In vivo,,9615.0,,,N
7002,50588,,Canis lupus familiaris,,The compound was tested for volume of distribution in dog at dose of 3-10 mgkg,12500,A,In vivo,,9615.0,,,N
7003,50588,,Canis lupus familiaris,,Vd (1 mg/kg) was determined in dog (in vivo),6227,A,In vivo,,9615.0,,,N
7004,50588,,Canis lupus familiaris,,Vd in dog,6227,A,In vivo,,9615.0,,,N
7005,50588,,Canis lupus familiaris,,Volume distribution was determined,4219,A,In vivo,,9615.0,,,N
7006,50588,,Canis lupus familiaris,,Volume of distribution in dog,1696,A,In vivo,,9615.0,,,N
7007,50588,,Canis lupus familiaris,,Volume of distribution by as 4 fold increase by iv administration in dogs,5542,A,In vivo,,9615.0,,,N
7008,50588,,Canis lupus familiaris,,Volume of distribution was determined in canine following intravenous (iv) administration of drug (1 mg/kg).,5199,A,In vivo,,9615.0,,,N
7009,50588,,Canis lupus familiaris,,Volume of distribution was determined in dog after 1 mg/kg (i.v.) and 5 mg/kg (p.o.) administration,6348,A,In vivo,,9615.0,,,N
7010,50588,,Canis lupus familiaris,,Volume distribution at the dose of 2 mg/kg in dog,4727,A,In vivo,,9615.0,,,N
7011,50588,,Canis lupus familiaris,,Steady state volume of distribution was determined,16367,A,In vivo,,9615.0,,,N
7012,50588,,Canis lupus familiaris,,Bioavailability as Vdss in dogs at 1 mg/kg intravenous dose,2652,A,In vivo,,9615.0,,,N
7013,50588,,Canis lupus familiaris,,Pharmacokinetic data at 0.5 mg/kg dose given to dogs intravenously.,16452,A,In vivo,,9615.0,,,N
7014,50588,,Canis lupus familiaris,,Pharmacokinetic data at 1 mg/kg dose given to dogs intravenously,16452,A,In vivo,,9615.0,,,N
7015,50588,,Canis lupus familiaris,,Bioavailability in dog (dose 1 mg/kg i.v.),16452,A,In vivo,,9615.0,,,N
7016,50588,,Canis lupus familiaris,,Pharmacokinetic parameter volume of distribution was reported after intravenous administration at a dose of 1 mg/kg in Beagle dog (male),5334,A,In vivo,,9615.0,,,N
7017,50588,,Canis lupus familiaris,,Pharmacokinetic property (vdss) was measured in dog,4239,A,In vivo,,9615.0,,,N
7018,50588,,Canis lupus familiaris,,Steady state volume of distribution for the compound after intravenous administration of 1 mg/kg in dog,4709,A,In vivo,,9615.0,,,N
7019,50588,,Canis lupus familiaris,,Vdss was determined after iv 0.1 mg/kg administration in dog,5600,A,In vivo,,9615.0,,,N
7020,50588,,Canis lupus familiaris,,Volume displacement was calculated in dog,6057,A,In vivo,,9615.0,,,N
7021,50588,,Canis lupus familiaris,,Volume distribution (Vdss) of compound was determined after intravenous administration in average of two dogs at a dose of 1 mg/kg,5654,A,In vivo,,9615.0,,,N
7022,50588,,Canis lupus familiaris,,Volume distribution constant was determined,5505,A,In vivo,,9615.0,,,N
7023,50588,,Canis lupus familiaris,,Volume distribution at a dose of 1 uM/kg in dog was determined,4527,A,In vivo,,9615.0,,,N
7024,50588,,Canis lupus familiaris,,Volume distribution in dog after 2 mg/kg by oral and 0.5 mg/kg by intravenous administration,4521,A,In vivo,,9615.0,,,N
7025,50588,,Canis lupus familiaris,,Volume distribution in dog after 2 mg/kg by oral and 0.5 mg/kg by intravenous administration; ND is not determined,4521,A,In vivo,,9615.0,,,N
7026,50588,,Canis lupus familiaris,,Volume distribution (Vdss) was measured in dog,15660,A,In vivo,,9615.0,,,N
7027,50588,,Canis lupus familiaris,,Volume distribution (Vdss) was measured in dog,15660,A,In vivo,,9615.0,,,N
7028,50588,,Canis lupus familiaris,,Volume of distribution at steady state was determined after 1 mg/kg (i.v.) / 2 mg/kg (p.o.) of compound administration,6679,A,In vivo,,9615.0,,,N
7029,50588,,Canis lupus familiaris,,Volume of distribution in steady state was determined in dog,5145,A,In vivo,,9615.0,,,N
7030,50588,,Canis lupus familiaris,,Volume of distribution of compound was determined in dog,6821,A,In vivo,,9615.0,,,N
7031,50588,,Canis lupus familiaris,,Volume of distribution after intravenous administration of 1 mg/kg/h in dog,4137,A,In vivo,,9615.0,,,N
7032,50588,,Canis lupus familiaris,,Volume of distribution was reported after oral administration at a dose of 2 mg/kg in Beagle dog (male),5334,A,In vivo,,9615.0,,,N
7033,50588,,Canis lupus familiaris,,Volume of distribution (Vdss) was measured in dog,15660,A,In vivo,,9615.0,,,N
7034,50588,,Canis lupus familiaris,,Volumes of distribution in dog (dosed as a mixture of five compounds at 0.5 mpk each via iv only),6642,A,In vivo,,9615.0,,,N
7035,50588,,Canis lupus familiaris,,Volumes of distribution in dog (dosed at 0.5 mpk iv and 2.0 mpk orally),6641,A,In vivo,,9615.0,,,N
7036,50588,,Canis lupus familiaris,,Volumes of distribution in dog (dosed at 0.5 mpk iv and 2.0 mpk orally),6642,A,In vivo,,9615.0,,,N
7037,50588,,Canis lupus familiaris,,Maximum rate of depolarization of the upstroke of the action potential,11659,A,,,9615.0,,,N
7038,50588,,Canis lupus familiaris,,Steady state volume distribution in dog,6448,A,In vivo,,9615.0,,,N
7039,50588,,Canis lupus familiaris,,Steady state volume of distribution at a dose of 0.2 mg/kg i.v.,5474,A,In vivo,,9615.0,,,N
7040,50588,,Canis lupus familiaris,,Tested for volume of distribution at steady state upon intravenous administration of 5.0 mg/Kg dose in dog,1466,A,In vivo,,9615.0,,,N
7041,50588,,Canis lupus familiaris,,Volume distribution in dog after administration of 0.25 mg/kg iv; ND = not determined,6535,A,In vivo,,9615.0,,,N
7042,50588,,Canis lupus familiaris,,Volume distribution in dog after administration of 1 mg/kg iv,6535,A,In vivo,,9615.0,,,N
7043,50588,,Canis lupus familiaris,,Volume of solubility in solution after intravenous administration in dogs at 1.2 uM/kg,17764,A,In vivo,,9615.0,,,N
7044,50588,,Canis lupus familiaris,,Vss after intravenous administration (0.5 mg/kg) was determined in dog,6215,A,In vivo,,9615.0,,,N
7045,50588,,Canis lupus familiaris,,Vss on i.v. administration of 2 mg/kg was measured in dog,6505,A,In vivo,,9615.0,,,N
7046,50588,,Canis lupus familiaris,,Vss was determined,3639,A,,,9615.0,,,N
7047,50588,,Canis lupus familiaris,,Vss in dog,3639,A,,,9615.0,,,N
7048,50588,,Canis lupus familiaris,,Volume of distribution was measured in dog after an iv dose of 1 mg/kg,6062,A,In vivo,,9615.0,,,N
7049,50588,,Canis lupus familiaris,,Volume distribution in dogs,4942,A,In vivo,,9615.0,,,N
7050,50588,,Canis lupus familiaris,,Volume of distribution in dog,17796,A,In vivo,,9615.0,,,N
7051,50588,,Canis lupus familiaris,,Tested for the oral bioavailability in dog,4883,A,In vivo,,9615.0,,,N
7060,50594,,Mus musculus,,Bioavailability of compound in mouse blood following p.o. administration of 30 mg/kg,17837,A,In vivo,,10090.0,,,N
7061,50594,,Mus musculus,,Bioavailability after i.p. administration of 50 mg/kg of dose in mice,17729,A,In vivo,,10090.0,,,N
7062,50594,,Mus musculus,,Bioavailability after peroral administration of 50 mg/kg of dose in mice,17729,A,In vivo,,10090.0,,,N
7063,50594,,Mus musculus,,Bioavailability was measured in mouse,4239,A,In vivo,,10090.0,,,N
7064,50594,,Mus musculus,,Bioavailability in mouse,17592,A,In vivo,,10090.0,,,N
7065,50594,,Mus musculus,,Bioavailability was determined in mouse after 5 mg/kg (i.v.) and 6 mg/kg (p.o.) administration,6348,A,In vivo,,10090.0,,,N
7066,50594,,Mus musculus,,Bioavailability in mouse,2801,A,In vivo,,10090.0,,,N
