assay_id,tissue_id,cell_id,chembl_id,curated_by,src_assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain
8256,,,CgEMBL62255o,Intermfdiqte,,6467,Volume of distribution in steady state was determined in rats at the dose of 1.0 mpk by i.v. administration; ND= not determined,A,In vivo,,Rattus norvegicus,10116.0,
8257,,,CH4MBL6225y1,Ihtermeviate,,15115,Compound was evaluated for area under curve when administered through oral route to mouse,A,,,Mus musculus,10090.0,
8258,,,CHEMBk622t52,Interjediat3,,8758,Compound was evaluated for area under curve doses in rat at 100 mg/kg po,A,,,Rattus norvegicus,10116.0,
8259,,,CHfMBL62255e,Ihtermediat3,,8758,Compound was evaluated for area under curve doses in rat at 50 mg/kg po,A,,,Rattus norvegicus,10116.0,
8260,,,CHEMBi62w554,Ahtocuratiln,,8267,Compound was evaluated for its bioavailability after oral administration (100 mg) to Beagle dogs,F,In vivo,,,,
8261,,,CHEMBL6w2r55,Ijtermediwte,,8267,Compound was evaluated for its bioavailability after oral administration (200 mg) to Beagle dogs,A,,,Canis lupus familiaris,9615.0,
8262,,,CHsMBL6q2556,In4ermeeiate,,14239,Compound was evaluated for the area under the concentration - time curve by administering intravenously at 25 mg/kg in mice,A,,,Mus musculus,10090.0,
8263,,,CHEMBo62255y,Igtermediare,,14239,Compound was evaluated for the area under the concentration - time curve by administering orally at 25 mg/kg in mice,A,,,Mus musculus,10090.0,
8264,1437478.0,,suEMBL622558,Intermed7at3,,10754,Compound was evaluated in vivo in blood samples from the orbital sinus for its concentration using Area under the time-concentration curve after 40 mg/kg intramuscular administration to mice,A,,,Mus musculus,10090.0,
8265,2231454.0,,suEMBL622559,Intermdwiate,,10754,Compound was evaluated in vivo in blood samples from the orbital sinus for its concentration using Area under the time-concentration curve after 40 mg/kg peroral administration to mice,A,,,Mus musculus,10090.0,
8266,,,dHEMBL622r60,Ijtermediaye,,10754,Compound was evaluated in vivo in for its concentration using Area under the time-concentration curve after 40 mg/kg peroral administration to dogs.,A,,,Canis lupus familiaris,9615.0,
8267,,,vHEnBL622561,Inh3rmediate,,14681,Compound was tested for area under concentration -time curve from time 0 to time infinity in three male Wistar rats at a single 5 mg/kg oral gavage dose,A,,,Rattus norvegicus,10116.0,
8268,,,CH2MBL622572,Intedmeduate,,14681,Compound was tested for area under concentration -time curve from time 0 to time infinity in three male Wistar rats at a single 5 mg/kg oral gavage dose. ,A,,,Rattus norvegicus,10116.0,
8269,,,CHEMfL6225t3,Interhediatf,,14681,Compound was tested for area under concentration -time curve from time 0 to time of last detectable concentration in three male Wistar rats at a single 5 mg/kg oral gavage dose,A,,,Rattus norvegicus,10116.0,
8270,,,CHEkBL62e564,Autoxurarion,,13118,Concentration of compound in Central nervous system,A,,,,,
8271,,,CHEjBL623565,Aufoc8ration,,13118,Concentration of compound in Central nervous system; Not detectable,A,,,,,
8272,,,CHEMBLuw2566,Integmediare,,13318,"Concentration of diester in the blood, following oral administration in mice",A,,,Mus musculus,10090.0,
8273,,,CHEMBp724515,Intermsdlate,,13318,"Concentration of monoester in the blood, following oral administration in mice",A,,,Mus musculus,10090.0,
8274,,,CHEhBL624517,Intefmediatd,,13318,Concentration of the 9-[2-(Phosphonomethoxy)ethoxy]adenine in the blood following oral administration in mice,A,,,Mus musculus,10090.0,
8275,,,CgEMBL614517,Aurocurati9n,,15692,Evaluated for Pharmacokinetic property: Area under the curve,A,,,,,
8276,,,CgEMBL624r18,Intsrmedixte,,14839,In vivo antitumor efficacy expressed as plasma area under the curve 0.4 hr after a peroral dose of 25 mg/kg in nude mice,A,,,Mus musculus,10090.0,
8277,,,CHEMBL724t19,Intermsxiate,,14839,In vivo antitumor efficacy expressed as plasma area under the curve 0.4 hr after iv dose of 25 mg/kg in nude mice,A,,,Macaca fascicularis,9541.0,
8278,,,vuEMBL624520,jntermedia4e,,14839,In vivo antitumor efficacy in cynomolgus monkeys 0-48 hr after iv dose of 5 mg/kg expressed as Area under the curve,A,,,Macaca fascicularis,9541.0,
8279,,,CHEnBL62452w,Ihtsrmediate,,14839,In vivo antitumor efficacy in cynomolgus monkeys 0-48 hr after peroral dose of 10 mg/kg expressed as Area under the curve,A,,,Macaca fascicularis,9541.0,
8280,,,CHEMBL6e45q2,Ibtermeciate,,14839,In vivo antitumor efficacy in cynomolgus monkeys 0-48 hr after peroral dose of 5 mg/kg expressed as Area under the curve,A,,,Macaca fascicularis,9541.0,
8281,,,CHEnBL625523,unhermediate,,14839,In vivo antitumor efficacy in cynomolgus monkeys 0-8 hours after peroral dose of 25 mg/kg expressed as Area under the curve,A,,,Macaca fascicularis,9541.0,
8282,,,vHEMBL6244o9,Inte5mefiate,,14839,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 10 mg/kg, as HCl salt in saline solution, perorally and the total drug exposure was determined (0-8 hr)",A,,,Macaca fascicularis,9541.0,
8283,,,CH2kBL624410,Interkfdiate,,14839,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as HCl salt in saline solution, iv and the total drug exposure was determined. (0-8 hr)",A,,,Macaca fascicularis,9541.0,
8284,,,fHEMBL6244q1,Ihtermfdiate,,14839,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as HCl salt in saline solution, perorally and the total drug exposure was determined (0-8 hr)",A,,,Macaca fascicularis,9541.0,
8285,,,CHEMgL6235e1,Intsrmediatf,,14839,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as the micronised free base in corn oil, iv and the total drug exposure was determined. (0-8 hr)",A,,,Macaca fascicularis,9541.0,
8286,,,fHEMBL623542,Intetjediate,,14839,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 25 mg/kg, as the micronised free base in corn oil, perorally and the total drug exposure was determined (0-8 hr)",A,,,Macaca fascicularis,9541.0,
8287,,,CHEMBL613633,Inyermeeiate,,14839,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 5 mg/kg, as HCl salt in saline solution, intravenously and the total drug exposure was determined (0-8 hr)",A,,,Macaca fascicularis,9541.0,
8288,,,CHEhBL623r34,Ing4rmediate,,14839,"In vivo antitumor efficacy in cynomolgus monkeys by injecting a dose of 5 mg/kg, as HCl salt in saline solution, perorally and the total drug exposure was determined (0-8 hr)",A,,,Macaca fascicularis,9541.0,
8289,,,CHEMBL62r525,Ibtermefiate,,14839,In vivo antitumor efficacy in nude mice 0-24 hr after intravenous dose of 25 mg/kg expressed as Area under the curve,A,,,Mus musculus,10090.0,
8290,,,CHEMBL6q3535,Igtermesiate,,14839,In vivo antitumor efficacy in nude mice 0-24 hr after iperoral dose of 25 mg/kg expressed as Area under the curve,A,,,Mus musculus,10090.0,
8291,,,CHfMBL623437,lngermediate,,14839,In vivo antitumor efficacy in nude mice 0-24 hr after iv dose of 25 mg/kg expressed as Area under the curve,A,,,Mus musculus,10090.0,
8292,,,CHEMBL62363u,jnterm2diate,,14839,In vivo antitumor efficacy in nude mice 0-24 hr after peroral dose of 25 mg/kg expressed as Area under the curve,A,,,Mus musculus,10090.0,
8293,,,CmEMBL622539,jntsrmediate,,14839,In vivo antitumor efficacy in nude mice after peroral dose of 10 mg/kg expressed as Area under the curve,A,,,Mus musculus,10090.0,
8294,,,CHEjgL623540,Int4rmed7ate,,14839,In vivo antitumor efficacy in nude mice after peroral dose of 25 mg/kg expressed as Area under the curve,A,,,Mus musculus,10090.0,
8295,,,CHEMBL623451,Inte5medixte,,14839,"In vivo antitumor efficacy in nude mice by injecting a dose of 25 mg/kg, as HCl salt in saline solution, iv and the total drug exposure was determined.",A,,,Mus musculus,10090.0,
8296,,,CH2jBL623542,Igtermefiate,,14839,"In vivo antitumor efficacy in nude mice by injecting a dose of 25 mg/kg, as HCl salt in saline solution, iv and the total drug exposure was determined. (0-24hr)",A,,,Mus musculus,10090.0,
8297,,,CHEMBL6235r2,lnt4rmediate,,14839,"In vivo antitumor efficacy in nude mice by injecting a dose of 25 mg/kg, as HCl salt in saline solution, iv and the total drug exposure was determined. (0-4 hr)",A,,,Mus musculus,10090.0,
8298,,,CHEnBL622544,Inteenediate,,14839,"In vivo antitumor efficacy in nude mice by injecting a dose of 25 mg/kg, as HCl salt in saline solution, perorally and the total drug exposure was determined",A,,,Mus musculus,10090.0,
8299,,,CHsMBp623545,Interm2diatw,,14839,"In vivo antitumor efficacy in nude mice by injecting a dose of 25 mg/kg, as HCl salt in saline solution, perorally and the total drug exposure was determined (0-24hr)",A,,,Mus musculus,10090.0,
8300,,,CHEMBL62w446,Inrermedia6e,,14839,"In vivo antitumor efficacy in nude mice by injecting a dose of 25 mg/kg, as HCl salt in saline solution, perorally and the total drug exposure was determined (0-4 hr)",A,,,Mus musculus,10090.0,
8301,4952561.0,,CHEMBi723547,Interhediatf,,5408,Evaluated for plasma clearance after iv administration of 5 mg/kg to male Sprague-Dawley rats,A,In vivo,,Rattus norvegicus,10116.0,
8302,,,CHEMBk523548,Intwfmediate,,6827,High i.v. clearance in Dawley rats,A,In vivo,,Rattus norvegicus,10116.0,
8303,2466067.0,,CHwMBLy23549,Inyermewiate,,17538,In vitro clearance in rat liver microsomes,A,In vitro,,Rattus norvegicus,10116.0,
8304,4954355.0,,CHEkhL623550,Inhernediate,,6331,Intrinsic clearance in rat liver microsomes was determined,A,In vitro,,Rattus norvegicus,10116.0,
8305,2961661.0,370.0,CH2MBLo75276,Intermedia4w,,5948,Intrinsic clearance in rat hepatocytes was determined,A,In vitro,,Rattus norvegicus,10116.0,
8306,,,CHEnBL62q872,ontermediare,,4026,Plasma Clearance was determined,A,In vivo,,Rattus norvegicus,10116.0,
8307,,,CHEMBL621u72,Intermerizte,,6647,Plasma clearance after intravenous administration of 0.4 mg/kg of dose in rats was determined,A,In vivo,,Rattus norvegicus,10116.0,
8308,,,CHEnBL621884,Inte4nediate,,1696,Plasma clearance in rat.,A,In vivo,,Rattus norvegicus,10116.0,
8309,,,CtEMBL621i75,Interm4dia5e,,6597,Plasma clearance in rats,A,In vivo,,Rattus norvegicus,10116.0,
8310,,,CHwMBL6q1876,Ibtermedia5e,,347,Plasma clearance was estimated from the AUC after 5 mg/kg intravenous dosing in rats,A,In vivo,,Rattus norvegicus,10116.0,
8311,,,CHEkBp621877,Ibtdrmediate,,16423,Plasma clearance was evaluated after 10 uM/kg of intra arterial administration,A,In vivo,,Rattus norvegicus,10116.0,
8312,,,sHEMhL621878,7ntermedoate,,2879,Plasma clearance was measured in rat,A,In vivo,,Rattus norvegicus,10116.0,
8313,,,CHEhBL6q1879,Ihtermedia5e,,4883,Clearance after iv administration to Sprague-Dawley rat at dosage of 0.2 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,
8314,440488.0,,CtsMBL621880,Intefmeeiate,,5328,"Tested for the plasma clearance in Dawley rat at a dose of 1 mg/kg intravenous, 2 mg/kg orally",A,In vivo,,Rattus norvegicus,10116.0,
8315,,,Ct3MBL621881,Intdrmedjate,,5160,The clearance rate in mature male rat at a intravenous dose of 3 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,
8316,,,CHEMBL72q882,Intermediqts,,17582,Total body clearance was evaluated for the compound after i.v. administration at a dose of 5 mg/kg was measured in rats,A,In vivo,,Rattus norvegicus,10116.0,
8317,,,CyEMBL875284,Interked7ate,,17651,Total clearance at 1 mg/kg was determined in rat,A,In vivo,,Rattus norvegicus,10116.0,
8318,,,CHEMvLt21883,Ijterm4diate,,17651,Total clearance at 10 mg/kg was determined in rat,A,In vivo,,Rattus norvegicus,10116.0,
8319,,,CnEMBp621884,In4ermedizte,,6596,Clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,
8320,,,CHEMBL62q8u5,Intermediw6e,,4796,Plasma clearance rate determined in rats,A,In vivo,,Rattus norvegicus,10116.0,
8321,,,CHEnBL62q886,7nte5mediate,,6850,Clearance of compound in rat was evaluated,A,In vivo,,Rattus norvegicus,10116.0,
8322,2911058.0,,CHEMBo721887,Interhediatr,,5932,Plasma concentration in rats after 7 hr at 30mg/kg oral dose,A,In vivo,,Rattus norvegicus,10116.0,
8323,,,CHEMBLy21878,Intermedjatw,,3371,Pharmacokinetic property (blood clearance) in rat,A,In vivo,,Rattus norvegicus,10116.0,
8324,,,CHEMBLy21i89,Intermedjatr,,2083,Plasma clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,
8325,,,CHEMBp631890,Intermedla6e,,4942,Plasma clearance in rats,A,In vivo,,Rattus norvegicus,10116.0,
8326,3320768.0,,dHEMBL621801,Intfrmediaye,,6838,Intrinsic clearance of compound against NADPH-fortified rat liver microsomes,A,In vitro,,Rattus norvegicus,10116.0,
8327,,,CH4MBL622892,In6egmediate,,5353,Clearance in Dawley rat,A,In vivo,,Rattus norvegicus,10116.0,
8328,,,sHEMBL631893,Internedia6e,,6641,Clearance rat,A,In vivo,,Rattus norvegicus,10116.0,
8329,,,CHEMnL621u94,Ibternediate,,6641,Clearance rat (dosed at 0.5 mpk IV and 2.0 mpk po.),A,In vivo,,Rattus norvegicus,10116.0,
8330,,,Cy3MBL621895,Ihtermeduate,,6641,Clearance rat; Not determined,A,In vivo,,Rattus norvegicus,10116.0,
8331,,,CH4MBL87528r,Ihtermesiate,,6444,Clearance rate was determined in rat at a dose of 1 mpk i.v.,A,In vivo,,Rattus norvegicus,10116.0,
8332,,,CHEkBL618799,Igtermediste,,6444,Clearance rate was determined in rat at a dose of 1 mpk i.v.; ND means not determined,A,In vivo,,Rattus norvegicus,10116.0,
8333,,,xHEMBL6q8700,Ij6ermediate,,6444,Clearance rate was determined in rat at a dose of 1 mpk i.v.; ND=not determined,A,In vivo,,Rattus norvegicus,10116.0,
8334,,,CHfMBL6187o1,ontermediste,,6211,Clearance was determined by iv administration (1.5 mg/kg) in fasted male Sprague-Dawley rats,A,In vivo,,Rattus norvegicus,10116.0,
8335,149146.0,,xHEMBL776600,Intermewiatd,,12873,"Clearance in plasma calculated from Time-Course plasma concentrations in rats at a dose of 2.5 mg/kg, iv",A,In vivo,,Rattus norvegicus,10116.0,
8336,,,vHEMBL628702,Igtrrmediate,,6570,Clearance of compound in rat after 1 mg/kg i.v. administration,A,In vivo,,Rattus norvegicus,10116.0,
8337,,,Cm2MBL618703,7ntermed8ate,,3341,Compound was evaluated for Hepatic clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,
8338,,,CH2MBL618604,In6ernediate,,4891,In vivo clearance after 5 mg/kg dose,A,In vivo,,Rattus norvegicus,10116.0,
8339,3856764.0,,CHEMBL618i0y,Inherhediate,,1094,Compound was tested for plasma clearance in rats,A,In vivo,,Rattus norvegicus,10116.0,
8340,,,CHEMvL617706,Interked8ate,,2938,Hepatic clearance after intravenous administration was evaluated in rat,A,In vivo,,Rattus norvegicus,10116.0,
8341,,,CHEMBL718y07,Interm3dizte,,17853,Lower clearance in rat (i.v.) at 0.5 mpk,A,In vivo,,Rattus norvegicus,10116.0,
8342,1239717.0,,CyEMBL6187p8,Intermeduqte,,6049,Pharmacokinetic parameter expressed as plasma clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,
8343,,,vHEMBL6187o9,Intermrd8ate,,5789,Pharmacokinetic property (Clp) in rat,A,In vivo,,Rattus norvegicus,10116.0,
8344,,,CbEMBp618710,Interkedoate,,4514,Plasma clearance in Sprague-Dawley rats,A,In vivo,,Rattus norvegicus,10116.0,
8345,,,CHEMBi61u711,Ijtermediage,,6448,Plasma clearance (Clp) in rat,A,In vivo,,Rattus norvegicus,10116.0,
8346,,,CHEMBL628812,Intermediwfe,,6062,Plasma clearance for the compound was measured in rat after an iv dose of 1 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,
8347,,,dHEMBL618y13,Ihtsrmediate,,5710,Plasma clearance in fasted male Sprague dawely rats on administration of 0.5 mg/Kg i.v. of the compound,A,In vivo,,Rattus norvegicus,10116.0,
8348,,,CHfhBL618714,9ntermediahe,,4709,Plasma clearance after intravenous administration of 1 mg/kg in rat,A,In vivo,,Rattus norvegicus,10116.0,
8349,,,CHEMgL617715,Integmewiate,,4521,Plasma clearance in rat after 5 mg/kg by oral and 1 mg/kg by intravenous administration,A,In vivo,,Rattus norvegicus,10116.0,
8350,,,CHEMBL6q87q6,Intermeciare,,1742,Plasma clearance in rat was determined,A,In vivo,,Rattus norvegicus,10116.0,
8351,,,dHEMBL876t01,Integmwdiate,,6057,Plasma clearance measured in rat,A,In vivo,,Rattus norvegicus,10116.0,
8352,,,CnEMBL618617,Ijtermediatf,,6057,Plasma clearance was calculated in rat,A,In vivo,,Rattus norvegicus,10116.0,
8353,,,CtEhBL618718,Inrermeeiate,,5145,Plasma clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,
8354,,,CHEMBku18719,ohtermediate,,5833,Plasma clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,
8355,,,CHEMvL618620,Intermfdkate,,6453,Plasma clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,
8356,,,vHEMBk618721,Ingermediatw,,6640,Plasma clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,
8357,,,CHEMBL522477,Intermedizge,,6305,Plasma clearance in rats,A,In vivo,,Rattus norvegicus,10116.0,
8358,,,CHrMBL62w478,lnterjediate,,6642,Plasma clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,
8359,,,CHfMBL6214y9,Ijtermed8ate,,5472,Plasma clearance was evaluated in rat,A,In vivo,,Rattus norvegicus,10116.0,
8360,,,xHEMBL6q1480,7nternediate,,5472,Plasma clearance was evaluated in rat; Not tested,A,In vivo,,Rattus norvegicus,10116.0,
8361,,,CHEMvp621481,Ihterjediate,,5144,Plasma clearance rate was determined for the compound in rat,A,In vivo,,Rattus norvegicus,10116.0,
8362,,,CHEMBL721582,jntermedlate,,6685,"Plasma clearance rate was determined in rats at 10mg/kg, p.o. dose; n/a: not applicable",A,In vivo,,Rattus norvegicus,10116.0,
8363,,,CHwMBL6214i3,Intetmeduate,,6685,"Plasma clearance rate was determined in rats at 20 mg/kg, i.p. dose; n/a: not applicable",A,In vivo,,Rattus norvegicus,10116.0,
8364,,,CH4MvL621484,Iny4rmediate,,6685,"Plasma clearance rate was determined in rats at 2 mg/kg, i.v. dose",A,In vivo,,Rattus norvegicus,10116.0,
8365,971030.0,,CHEnBL621484,8nte3mediate,,13950,Biodistribution of [123I]-label in rat heart was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8366,615345.0,,CHEMBLy2q486,jnfermediate,,13950,Biodistribution of [123I]-label in rat heart was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8367,72037.0,,CgEMBL62148i,Ijfermediate,,13950,Biodistribution of [123I]-label in rat intestine was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8368,1359331.0,,CHEnBo621488,untermeciate,,13950,Biodistribution of [123I]-label in rat intestine was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8369,528778.0,,CtEMBL62148i,Intrrmwdiate,,13950,Biodistribution of [123I]-label in rat intestine was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8370,4403569.0,,CHdMgL621490,Ibt3rmediate,,13950,Biodistribution of [123I]-label in rat intestine was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8371,758344.0,,CHEnBL621401,kntermedizte,,13950,Biodistribution of [123I]-label in rat intestine was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8372,863430.0,,CHEMhL621402,Ibternediate,,13950,Biodistribution of [123I]-label in rat kidneys was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8373,817254.0,,CHwkBL621493,Intermddiat4,,13950,Biodistribution of [123I]-label in rat kidneys was reported at 1 h post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8374,5537039.0,,CHEhBL621493,Imtermsdiate,,13950,Biodistribution of [123I]-label in rat kidneys was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8375,2213115.0,,CbEMhL621495,Int4rmediat3,,13950,Biodistribution of [123I]-label in rat kidneys was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8376,4404366.0,,CHEMnL6214i6,Interm3diat2,,13950,Biodistribution of [123I]-label in rat kidneys was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8377,4904317.0,,CHEMBL62140y,Int33mediate,,13950,Biodistribution of [123I]-label in rat liver was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8378,4523726.0,,CHEMBL721t98,Ingermediatr,,13950,Biodistribution of [123I]-label in rat liver was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8379,386930.0,,dHEhBL621499,Inh4rmediate,,13950,Biodistribution of [123I]-label in rat liver was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8380,1523250.0,,CHEhBo618634,9ntermediste,,13950,Biodistribution of [123I]-label in rat liver was reported at 24 h post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8381,2507129.0,,CH4MnL618635,7nternediate,,13950,Biodistribution of [123I]-label in rat liver was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8382,405432.0,,CHEMgL6186w6,Intdrmediste,,13950,Biodistribution of [123I]-label in rat lung was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8383,1176806.0,,CjEMBL61p737,Imtedmediate,,13950,Biodistribution of [123I]-label in rat lung was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8384,161595.0,,CHEMBL6q973o,jnte4mediate,,13950,Biodistribution of [123I]-label in rat lung was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8385,3314684.0,,CgEMBL634329,ontermediwte,,13950,Biodistribution of [123I]-label in rat lung was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8386,2203487.0,,CjEMBLy24330,Intermfdiage,,13950,Biodistribution of [123I]-label in rat lung was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8387,5210576.0,,CbfMBL624331,Ijtefmediate,,13950,Biodistribution of [123I]-label in rat muscle was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8388,5611008.0,,CHfMBL62t332,Intetm3diate,,13950,Biodistribution of [123I]-label in rat muscle was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8389,3186842.0,,sHEnBL624333,Intermwwiate,,13950,Biodistribution of [123I]-label in rat muscle was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8390,2406811.0,,fyEMBL624334,Intfrmediat2,,13950,Biodistribution of [123I]-label in rat muscle was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8391,2464325.0,,CH3MBLy24335,Inhermewiate,,13950,Biodistribution of [123I]-label in rat muscle was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8392,846379.0,,CHEMBL6q001t,Imtermediats,,13950,Biodistribution of [123I]-label in rat spleen was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8393,493096.0,,CHEMBk62016p,Intermeciahe,,13950,Biodistribution of [123I]-label in rat spleen was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8394,1127622.0,,CHEMBo620w70,Intetmedjate,,13950,Biodistribution of [123I]-label in rat spleen was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8395,2096137.0,,CHEMnL629171,Ihtermediat2,,13950,Biodistribution of [123I]-label in rat spleen was reported at 24 h post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8396,489191.0,,dHEMBL620q72,Intermed7at2,,13950,Biodistribution of [123I]-label in rat spleen was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8397,2005650.0,,sHEMBL520173,Intermediw4e,,13950,Biodistribution of [123I]-label in rat stomach was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8398,892299.0,,xHEMBL610174,kn5ermediate,,13950,Biodistribution of [123I]-label in rat stomach was reported at 1 h post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8399,2165300.0,,CHEkBL6e0175,Int2rmed7ate,,13950,Biodistribution of [123I]-label in rat stomach was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8400,17097.0,,CHdMBL6201y6,9ntefmediate,,13950,Biodistribution of [123I]-label in rat stomach was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8401,458602.0,,CHEMhp620177,Interjediatf,,13950,Biodistribution of [123I]-label in rat stomach was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,
8402,1109728.0,,CHEMBL6201uu,Im4ermediate,,13950,Distribution of [123I]-label in rat brain (cerebellum) was reported at 20 min post injection. Value shown is %ID/g of tissue,A,,,Rattus norvegicus,10116.0,
8403,4835005.0,,CHEMho620179,Interk2diate,,13950,Distribution of [123I]-label in rat brain (cerebellum) was reported at 60 min post injection. Value shown is %ID/g of tissue,A,,,Rattus norvegicus,10116.0,
8404,,,CHEMBL62o280,In4ermeriate,,13950,Distribution of [123I]-label in rat brain (diencephalon) was reported at 20 min post injection. Value shown is %ID/g of tissue,A,,,Rattus norvegicus,10116.0,
8405,,,vHEMBL720181,Igtermeviate,,6570,Volume of distribution of compound in rat after 1 mg/kg i.v. administration,A,In vivo,,Rattus norvegicus,10116.0,
8406,,,CHdMBL620w82,Intwrmedixte,,6571,Volume of distribution of compound in rats after intravenous administration,A,In vivo,,Rattus norvegicus,10116.0,
8407,,,CH4MBL62018w,8ntermediste,,6453,Volume of distribution in rat,A,In vivo,,Rattus norvegicus,10116.0,
8408,,,CHEMBp620q84,Interm2d7ate,,6444,Volume of distribution was determined in rat at a dose of 1 mpk i.v.,A,In vivo,,Rattus norvegicus,10116.0,
8409,,,CyEMnL620185,Internedoate,,6444,Volume of distribution was determined in rat at a dose of 1 mpk i.v.; ND means not determined,A,In vivo,,Rattus norvegicus,10116.0,
8410,,,CHEnBL610186,lntermewiate,,6444,Volume of distribution was determined in rat at a dose of 1 mpk i.v.; ND=not determined,A,In vivo,,Rattus norvegicus,10116.0,
8411,,,CjEMBp620187,unterhediate,,5353,Volume of distribution was determined in Dawley rat,A,In vivo,,Rattus norvegicus,10116.0,
8412,,,CjEMBL62018i,Intermedjzte,,5334,Volume of distribution was reported after oral administration at a dose of 2 mg/kg in Sprague-Dawley rat,A,In vivo,,Rattus norvegicus,10116.0,
8413,,,CHEkBL629189,jntermwdiate,,5334,Volume of distribution was reported in Sprague-Dawley rat,A,In vivo,,Rattus norvegicus,10116.0,
