assays_assay_id,assays_assay_subcellular_fraction,assays_assay_test_type,assays_assay_tissue,assays_assay_type,assays_assay_cell_type,assays_cell_id,assays_assay_category,assays_description,assays_relationship_type,assays_assay_strain,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_bao_format,assays_tissue_id,assays_variant_id
6442,,In vivo,,A,,,,Oral bioavailability in dog (dose 0.5 mg/kg i.v. and 2.0 mg/kg p.o.),N,,1,,CHEMBL621360,BAO_0000218,,
6443,,In vivo,,A,,,,Oral bioavailability in dog (dose 0.5 mg/kg i.v. and 2.0 mg/kg p.o.),N,,1,,CHEMBL621361,BAO_0000218,,
6444,,In vivo,,A,,,,Oral bioavailability in dog,N,,1,,CHEMBL621362,BAO_0000218,,
6445,,In vivo,,A,,,,Oral bioavailability in dog,N,,1,,CHEMBL621363,BAO_0000218,,
6446,,In vivo,,A,,,,Oral bioavailability in dog,N,,1,,CHEMBL621364,BAO_0000218,,
6447,,In vivo,,A,,,,Oral bioavailability in dog (dose 0.2 mg/kg i.v.),N,,1,,CHEMBL621166,BAO_0000218,,
6448,,In vivo,,A,,,,Oral bioavailability in dog (dose 1 mg/kg i.v.),N,,1,,CHEMBL621167,BAO_0000218,,
6449,,In vivo,,A,,,,Oral bioavailability (F) in dogs,N,,1,,CHEMBL621168,BAO_0000218,,
6450,,In vivo,,A,,,,Oral bioavailability in dog,N,,1,,CHEMBL621169,BAO_0000218,,
6451,,In vivo,,A,,,,Bioavailability in dog,N,,1,,CHEMBL875950,BAO_0000218,,
6452,,In vivo,,A,,,,Oral bioavailability in dog (dose 10 mg/kg),N,,1,,CHEMBL621170,BAO_0000218,,
6453,,In vivo,,A,,,,Oral bioavailability after peroral administration at 5 mpk in Dog,N,,1,,CHEMBL621171,BAO_0000218,,
6454,,In vivo,,A,,,,Oral bioavailability in dog (dose 5 mg/kg),N,,1,,CHEMBL621172,BAO_0000218,,
6455,,In vivo,,A,,,,Oral bioavailability in dog (dose 10 mg/kg),N,,1,,CHEMBL621173,BAO_0000218,,
6456,,,Kidney,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice kidney bearing S180 tumor cell line for 4 hours,N,,1,,CHEMBL621174,BAO_0000218,2113.0,
6457,,,Kidney,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice kidney bearing S180 tumor cell line for 8 hours,N,,1,,CHEMBL621175,BAO_0000218,2113.0,
6458,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice liver bearing S180 tumor cell line for 1 hour,N,,1,,CHEMBL621176,BAO_0000218,2107.0,
6459,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice liver bearing S180 tumor cell line for 2 hours,N,,1,,CHEMBL621177,BAO_0000218,2107.0,
6460,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice liver bearing S180 tumor cell line for 30 minutes,N,,1,,CHEMBL621178,BAO_0000218,2107.0,
6461,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice liver bearing S180 tumor cell line for 4 hours,N,,1,,CHEMBL621179,BAO_0000218,2107.0,
6462,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice liver bearing S180 tumor cell line for 8 hours,N,,1,,CHEMBL621180,BAO_0000218,2107.0,
6463,,,Lung,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice lung bearing S180 tumor cell line for 1 hour,N,,1,,CHEMBL875951,BAO_0000218,2048.0,
6464,,,Lung,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice lung bearing S180 tumor cell line for 2 hours,N,,1,,CHEMBL621181,BAO_0000218,2048.0,
6465,,,Lung,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice lung bearing S180 tumor cell line for 30 minutes,N,,1,,CHEMBL621182,BAO_0000218,2048.0,
6466,,,Lung,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice lung bearing S180 tumor cell line for 4 hours,N,,1,,CHEMBL621183,BAO_0000218,2048.0,
6467,,,Lung,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice lung bearing S180 tumor cell line for 8 hours,N,,1,,CHEMBL621184,BAO_0000218,2048.0,
6468,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice muscle bearing S180 tumor cell line for 1 hour,N,,1,,CHEMBL621185,BAO_0000218,,
6469,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice muscle bearing S180 tumor cell line for 2 hours,N,,1,,CHEMBL621186,BAO_0000218,,
6470,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice muscle bearing S180 tumor cell line for 30 minutes,N,,1,,CHEMBL621187,BAO_0000218,,
6471,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice muscle bearing S180 tumor cell line for 4 hours,N,,1,,CHEMBL621188,BAO_0000218,,
6472,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice muscle bearing S180 tumor cell line for 8 hours,N,,1,,CHEMBL621189,BAO_0000218,,
6473,,,Spleen,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice spleen bearing S180 tumor cell line for 1 hour,N,,1,,CHEMBL621190,BAO_0000218,2106.0,
6474,,,Spleen,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice spleen bearing S180 tumor cell line for 2 hours,N,,1,,CHEMBL618520,BAO_0000218,2106.0,
6475,,,Spleen,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice spleen bearing S180 tumor cell line for 30 minutes,N,,1,,CHEMBL621739,BAO_0000218,2106.0,
6476,,,Spleen,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice spleen bearing S180 tumor cell line for 4 hours,N,,1,,CHEMBL621740,BAO_0000218,2106.0,
6477,,,Spleen,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice spleen bearing S180 tumor cell line for 8 hours,N,,1,,CHEMBL621741,BAO_0000218,2106.0,
6478,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor bearing S180 tumor cell line for 1 hour,N,,1,,CHEMBL621742,BAO_0000218,,
6479,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor bearing S180 tumor cell line for 2 hours,N,,1,,CHEMBL621743,BAO_0000218,,
6480,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor bearing S180 tumor cell line for 30 minutes,N,,1,,CHEMBL621744,BAO_0000218,,
6481,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor bearing S180 tumor cell line for 4 hours,N,,1,,CHEMBL621745,BAO_0000218,,
6482,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor bearing S180 tumor cell line for 8 hours,N,,1,,CHEMBL621746,BAO_0000218,,
6483,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 1 hour,N,,1,,CHEMBL621747,BAO_0000218,,
6484,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 2 hours,N,,1,,CHEMBL621748,BAO_0000218,,
6485,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 30 minutes,N,,1,,CHEMBL621749,BAO_0000218,,
6486,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 4 hours,N,,1,,CHEMBL621750,BAO_0000218,,
6487,,,,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 8 hours,N,,1,,CHEMBL621751,BAO_0000218,,
6488,,,Heart,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/heart bearing S180 tumor cell line for 1 hour,N,,1,,CHEMBL621752,BAO_0000218,948.0,
6489,,,Heart,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/heart bearing S180 tumor cell line for 2 hours,N,,1,,CHEMBL621753,BAO_0000218,948.0,
6490,,,Heart,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor/heart bearing S180 tumor cell line for 30 minutes,N,,1,,CHEMBL875955,BAO_0000218,948.0,
6491,,,Heart,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor/heart bearing S180 tumor cell line for 4 hours,N,,1,,CHEMBL621754,BAO_0000218,948.0,
6492,,,Heart,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor/heart bearing S180 tumor cell line for 8 hours,N,,1,,CHEMBL621755,BAO_0000218,948.0,
6493,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor/liver bearing S180 tumor cell line for 1 hour,N,,1,,CHEMBL621756,BAO_0000218,2107.0,
6494,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/liver bearing S180 tumor cell line for 2 hours,N,,1,,CHEMBL624199,BAO_0000218,2107.0,
6495,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/liver bearing S180 tumor cell line for 30 minutes,N,,1,,CHEMBL624200,BAO_0000218,2107.0,
6496,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor/liver bearing S180 tumor cell line for 4 hours,N,,1,,CHEMBL624375,BAO_0000218,2107.0,
6497,,,Liver,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor/liver bearing S180 tumor cell line for 8 hours,N,,1,,CHEMBL624376,BAO_0000218,2107.0,
6498,,,Lung,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor/lung bearing S180 tumor cell line for 1 hour,N,,1,,CHEMBL624377,BAO_0000218,2048.0,
6499,,,Lung,A,CCRF S-180,42.0,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/lung bearing S180 tumor cell line for 2 hours,N,,1,,CHEMBL624378,BAO_0000218,2048.0,
6500,,,,F,,,,Compound tested for the antimicrobial activity against Acinetobacter anitratus,N,,1,,CHEMBL857901,BAO_0000218,,
6501,,,,F,,,,Compound tested for the antimicrobial activity against Acinetobacter anitratus,N,,1,,CHEMBL875274,BAO_0000218,,
6502,,,,F,,,,Compound tested for the antimicrobial activity against Acinetobacter anitratus,N,,1,,CHEMBL624379,BAO_0000218,,
6503,,,,F,,,,Compound tested for the antimicrobial activity against Acinetobacter anitratus,N,,1,,CHEMBL624380,BAO_0000218,,
6504,,,,F,,,,Activity against Acinetobacter calcoaceticus (AC54),N,,1,,CHEMBL624381,BAO_0000218,,
6505,,,,F,,,,Biological activity using the lizard skin (Anolis carolinensis) assay. The value indicates no prolonged biological activity,N,,1,,CHEMBL624382,BAO_0000218,,
6506,,,,F,,,,Biological activity using the lizard skin (Anolis carolinensis) assay. The value indicates prolonged biological activity,N,,1,,CHEMBL624383,BAO_0000218,,
6507,,,,F,,,,Chlorohexidine coefficient for Actinomyces naeslundii 631,N,,1,,CHEMBL624384,BAO_0000218,,
6508,,,,F,,,,Chlorohexidine coefficient for Actinomyces naeslundii B74,N,,1,,CHEMBL624385,BAO_0000218,,
6509,,,,F,,,,Chlorohexidine coefficient for Actinomyces naeslundii N/3,N,,1,,CHEMBL624386,BAO_0000218,,
6510,,,,F,,,,Chlorohexidine coefficient for Actinomyces naeslundii N/9,N,,1,,CHEMBL624387,BAO_0000218,,
6511,,,,F,,,,Plaque bactericidal index against Actinomyces naeslundii 631,N,,1,,CHEMBL624388,BAO_0000218,,
6512,,,,F,,,,Plaque bactericidal index against Actinomyces naeslundii N/9,N,,1,,CHEMBL624389,BAO_0000218,,
6513,,,,F,,,,Plaque bactericidal index against Actinomyces naeslundii B74,N,,1,,CHEMBL624390,BAO_0000218,,
6514,,,,F,,,,Plaque bactericidal index against Actinomyces naeslundii N/3,N,,1,,CHEMBL875275,BAO_0000218,,
6515,,,,F,,,,Compound was tested for its inhibitory activity using brine shrimp (Artemia salina) immobilization assay,N,,1,,CHEMBL624391,BAO_0000218,,
6516,,,,F,,,,"Compound was tested for its inhibitory activity using brine shrimp (Artemia salina) immobilization assay; highest level tested, showed <100% activity",N,,1,,CHEMBL623636,BAO_0000218,,
6517,,,,F,,,,Effect on incorporation of [32Pi] by isolated Ascaris suum mitochondria at a concentration of 0 uM,N,,1,,CHEMBL623637,BAO_0000218,,
6518,,,,F,,,,Effect on incorporation of [32Pi] by isolated Ascaris suum mitochondria at a concentration of 10 uM,N,,1,,CHEMBL623638,BAO_0000218,,
6519,,,,F,,,,Effect on incorporation of [32Pi] by isolated Ascaris suum mitochondria at a concentration of 200 uM,N,,1,,CHEMBL623639,BAO_0000218,,
6520,,,,F,,,,Effect on incorporation of [32Pi] by isolated Ascaris suum mitochondria at a concentration of 25 uM,N,,1,,CHEMBL623640,BAO_0000218,,
6521,,,,F,,,,Effect on incorporation of [32Pi] by isolated Ascaris suum mitochondria at a concentration of 3 uM,N,,1,,CHEMBL623641,BAO_0000218,,
6522,,,,F,,,,Effect on incorporation of [32Pi] by isolated Ascaris suum mitochondria at a concentration of 50 uM.,N,,1,,CHEMBL623642,BAO_0000218,,
6523,,,,F,,,,Effect on succinate formation by isolated Ascaris suum mitochondria at a concentration of 0 uM,N,,1,,CHEMBL623643,BAO_0000218,,
6524,,,,F,,,,Effect on succinate formation by isolated Ascaris suum mitochondria at a concentration of 10 uM,N,,1,,CHEMBL623644,BAO_0000218,,
6525,,,,F,,,,Effect on succinate formation by isolated Ascaris suum mitochondria at a concentration of 200 uM,N,,1,,CHEMBL623645,BAO_0000218,,
6526,,,,F,,,,Effect on succinate formation by isolated Ascaris suum mitochondria at a concentration of 25 uM,N,,1,,CHEMBL623646,BAO_0000218,,
6527,,,,F,,,,Effect on succinate formation by isolated Ascaris suum mitochondria at a concentration of 3 uM,N,,1,,CHEMBL623647,BAO_0000218,,
6528,,,,F,,,,Effect on succinate formation by isolated Ascaris suum mitochondria at a concentration of 50 uM,N,,1,,CHEMBL623648,BAO_0000218,,
6529,,,,F,,,,Compound is evaluated for minimal bactericidal concentration against plaque formation for Actinomyces viscosus,N,,1,,CHEMBL623649,BAO_0000218,,
6530,,,,F,,,,Compound is evaluated for minimal bactericidal concentration against plaque formation for Actinomyces viscosus,N,,1,,CHEMBL623650,BAO_0000218,,
6531,,,,F,,,,Chlorohexidine coefficient for Actinomyces viscosus 8A06,N,,1,,CHEMBL623651,BAO_0000218,,
6532,,,,F,,,,Chlorohexidine coefficient for Actinomyces viscosus M-100,N,,1,,CHEMBL623652,BAO_0000218,,
6533,,,,F,,,,Chlorohexidine coefficient for Actinomyces viscosus M-626,N,,1,,CHEMBL623653,BAO_0000218,,
6534,,,,F,,,,Chlorohexidine coefficient for Actinomyces viscosus T14V,N,,1,,CHEMBL623654,BAO_0000218,,
6535,,,,F,,,,Plaque bactericidal index against Actinomyces viscosus 8A06,N,,1,,CHEMBL623655,BAO_0000218,,
6536,,,,F,,,,Plaque bactericidal index against Actinomyces viscosus M-100,N,,1,,CHEMBL623656,BAO_0000218,,
6537,,,,F,,,,Plaque bactericidal index against Actinomyces viscosus M-100 measured as chlorohexidine coefficient,N,,1,,CHEMBL623657,BAO_0000218,,
6538,,,,F,,,,"Plaque bactericidal index against Actinomyces viscosus M-100 measured as chlorohexidine coefficient; d=Not bactericidal at highest concentration tested (0.2% w/v, 2min, 5 days)",N,,1,,CHEMBL623658,BAO_0000218,,
6539,,,,F,,,,"Plaque bactericidal index against Actinomyces viscosus M-100 measured as chlorohexidine coefficient; not bactericidal at highest concentration tested (0.2% w/v, 2min, 5 days)",N,,1,,CHEMBL623659,BAO_0000218,,
6540,,,,F,,,,Plaque bactericidal index against Actinomyces viscosus 626,N,,1,,CHEMBL623660,BAO_0000218,,
6541,,,,F,,,,Plaque bactericidal index against Actinomyces viscosus T14V,N,,1,,CHEMBL623661,BAO_0000218,,
6542,,,,F,,,,anti-filarial Activity was measured against Acanthocheilonema viteae in jirds at 1.56 mg/kg/day(5 days) dose,N,,1,,CHEMBL875281,BAO_0000218,,
6543,,,,F,,,,anti-filarial Activity was measured against Acanthocheilonema viteae in jirds at 100 mg/kg/day(5 days) dose,N,,1,,CHEMBL623662,BAO_0000218,,
6544,,,,F,,,,anti-filarial Activity was measured against Acanthocheilonema viteae in jirds at 12.5 mg/kg/day(5 days) dose,N,,1,,CHEMBL623663,BAO_0000218,,
6545,,,,F,,,,anti-filarial Activity was measured against Acanthocheilonema viteae in jirds at 200 mg/kg/day(5 days) dose,N,,1,,CHEMBL623664,BAO_0000218,,
6546,,,,F,,,,anti-filarial Activity was measured against Acanthocheilonema viteae in jirds at 25 mg/kg/day(5 days) dose,N,,1,,CHEMBL623665,BAO_0000218,,
6547,,,,F,A673,165.0,,Evaluated for the inhibitory concentration required to cause growth inhibition of A673Mer+ sarcoma cell line using the MTT Cytotoxicity Assay,N,,1,,CHEMBL621856,BAO_0000219,,
6548,,,,F,A704,645.0,,Evaluated for the inhibitory concentration required to cause growth inhibition of A704Rem- renal cell line using the MTT Cytotoxicity Assay,N,,1,,CHEMBL620432,BAO_0000219,,
6549,,,,F,,,,Tested for inhibition of ET-1 induced phosphoinositide (PI) turnover in A7r5 smooth muscle cells,U,,1,,CHEMBL620433,BAO_0000219,,
6550,,,,F,A9,625.0,,Inhibition of Forskolin-Induced cAMP production in A9 L cells expressing m2 receptors,N,,1,,CHEMBL620434,BAO_0000219,,
6551,,,,F,A9,625.0,,Percent inhibition of Forskolin-Induced cAMP production in A9 L cells expressing m2 receptors,N,,1,,CHEMBL620435,BAO_0000219,,
6552,,,,F,A9,625.0,,Cytotoxicity against Beta- tubulin mutant expressing A9-PTX10 cell line of humans was tested,N,,1,,CHEMBL620436,BAO_0000219,,
6553,,,,F,A9,625.0,,Percentage inhibition at higher concentration (100 nM) against Beta- tubulin mutant expressing A9-PTX10 cell line,N,,1,,CHEMBL876597,BAO_0000219,,
6554,,,,F,Human ovarian carcinoma cell line,874.0,,Inhibition of human ovarian carcinoma (A90) FGF-R overexpressing cell proliferation,N,,1,,CHEMBL620437,BAO_0000219,,
6555,,,,F,A9,625.0,,"Tested for stimulating PI (phosphoinositol) hydrolysis in A9L-m1 cells, activity expressed as EC50 mM.",N,,1,,CHEMBL620438,BAO_0000219,,
6556,,,,F,A9,625.0,,Stimulating PI (phosphoinositol) hydrolysis in A9L-m1 cells.,N,,1,,CHEMBL620439,BAO_0000219,,
6557,,,,F,A9,625.0,,Increase in phosphoinositide (PI) metabolism in A9L-m1 cells at 100 uM.,N,,1,,CHEMBL619657,BAO_0000219,,
6558,,,,F,A9,625.0,,The increase in phosphoinositide (PI) metabolism in A9L-m1 cells was measured at 100 uM; - = Not determined,N,,1,,CHEMBL619658,BAO_0000219,,
6559,,,,F,A9,625.0,,The increase in phosphoinositide (PI) metabolism in A9L-m1 cells was measured at 100 uM; i = inactive,N,,1,,CHEMBL619659,BAO_0000219,,
6560,,,,F,,,,"Increase in phosphoinositide (PI) metabolism in A9L-cholinergic receptor, muscarinic 3 expressing cells was measured at 100 uMolar",H,,1,,CHEMBL619660,BAO_0000019,,
6561,,,,F,A9,625.0,,The increase in phosphoinositide (PI) metabolism in A9L-m3 cells was measured at 100 uM; - = Not determined,N,,1,,CHEMBL619661,BAO_0000219,,
6562,,,,F,A9,625.0,,The increase in phosphoinositide (PI) metabolism in A9L-m3 cells was measured at 100 uM; i = inactive,N,,1,,CHEMBL619662,BAO_0000219,,
6563,,,,F,AA6,975.0,,Ability to inhibit growth of AA-6 cells (a mutant cell line resistant to 8-azaadenine and lacks adenine phosphoryltransferase) was determined,N,,1,,CHEMBL619663,BAO_0000219,,
6564,,,,F,,,,Intracellular phosphorylation (100 uM) in uninfected AA2 cells was studied after 5 hrs of Incubation.,U,,1,,CHEMBL619664,BAO_0000219,,
6565,,,,F,,,,"Intracellular phosphorylation (100 uM) in uninfected AA2 cells was studied, after 5 hrs of Incubation.",U,,1,,CHEMBL619665,BAO_0000219,,
6566,,,,F,AA5,974.0,,Anti -HIV activity was measured against AA5/HIV-1(IIIB),N,,1,,CHEMBL883244,BAO_0000219,,
6567,,,,F,AA5,974.0,,Cytotoxicity was measured against AA5/HIV-1(IIIB),N,,1,,CHEMBL884011,BAO_0000219,,
6568,,,,F,AA5,974.0,,Compound was evaluated for the anti-HIV activity against HIV strain IIIB in AA5 EBV-infected B-cell,N,,1,,CHEMBL619666,BAO_0000219,,
6569,,,,F,U-937,379.0,,Compound was evaluated for the anti-HIV activity against HIV strain IIIB in U937 monocytic cell,N,,1,,CHEMBL619667,BAO_0000219,,
6570,,,,F,UV4,274.0,,Hypersensitivity factor obtained from in vitro cytotoxicities against Chinese hamster ovary derived AA8 / UV4 cell lines,N,,1,,CHEMBL619668,BAO_0000219,,
6571,,,,F,CHO-AA8,185.0,,"Inhibition of cell growth in culture against Chinese hamster ovary derived cell line, AA8",N,,1,,CHEMBL619669,BAO_0000219,,
6572,,,,F,CHO-AA8,185.0,,Average intracellular compound concentration when the hypoxic SER=1.6,N,,1,,CHEMBL876608,BAO_0000219,,
6573,,,,F,CHO-AA8,185.0,,Average intracellular compound concentration when the hypoxic SER=1.6.,N,,1,,CHEMBL619670,BAO_0000219,,
6574,,,,F,CHO-AA8,185.0,,Average intracellular compound concentration where the hypoxia sensitizer enhancement ratio (SER)=1.6,N,,1,,CHEMBL619671,BAO_0000219,,
6575,,,,F,CHO-AA8,185.0,,Average intracellular compound concentration where the sensitizer enhancement ratio (SER)=1.6 under hypoxia,N,,1,,CHEMBL619672,BAO_0000219,,
6576,,,,F,CHO-AA8,185.0,,Compound concentration at which sensitizer enhancement ratio =1.6 under hypoxia.,N,,1,,CHEMBL619673,BAO_0000219,,
6577,,,,F,CHO-AA8,185.0,,"Compound was tested for the concentration required to reduce cell survival under hypoxic conditions, using the cell line AA8 in the clonogenic assay.",N,,1,,CHEMBL619674,BAO_0000219,,
6578,,,,F,CHO-AA8,185.0,,"Concentration needed to reduce cell survival to 10% of control values, using 1 hour exposure of plateau phase AA8 cells at 10e6 cells/ml",N,,1,,CHEMBL619675,BAO_0000219,,
6579,,,,F,CHO-AA8,185.0,,Activity to reduce the surviving fraction to 10% (CT10) was used as an inverse measure of cytotoxic potency in aerobic conditions,N,,1,,CHEMBL619676,BAO_0000219,,
6580,,,,F,CHO-AA8,185.0,,Compound concentration required to reduce cell survival to 10% of control values under hypoxic condition,N,,1,,CHEMBL619677,BAO_0000219,,
6581,,,,A,CHO-AA8,185.0,,Compound concentration required to reduce cell survival to 10% of control values under hypoxic condition,N,,1,,CHEMBL619678,BAO_0000219,,
6582,,,,A,CHO-AA8,185.0,,Compound concentration required to reduce cell survival to 10% of control values under hypoxic condition.,N,,1,,CHEMBL619679,BAO_0000219,,
6583,,,,A,CHO-AA8,185.0,,Concentration x time (uM h) to reduce cell survival to 10% of control values under hypoxic conditions by clonogenic assay,N,,1,,CHEMBL619680,BAO_0000219,,
6584,,,,A,CHO-AA8,185.0,,Concentration x time (uM h) to reduce cell survival to 10% of control values under hypoxic conditions by clonogenic assay. Inactive at the solubility limit,N,,1,,CHEMBL621457,BAO_0000219,,
6585,,,,F,CHO-AA8,185.0,,Cytotoxicity under aerobic conditions determined to reduce the AA8 cell survival to 10% controls in clonogenic assay,N,,1,,CHEMBL876609,BAO_0000219,,
6586,,,,F,CHO-AA8,185.0,,Cytotoxicity under aerobic conditions determined to reduce the AA8 cell survival to 10% of controls in clonogenic assay,N,,1,,CHEMBL621458,BAO_0000219,,
6587,,,,F,CHO-AA8,185.0,,Aerobic cytotoxicity was assessed in a growth inhibition assay using log phase cultures of the chinese hamster ovary fibroblast line AA8,N,,1,,CHEMBL621459,BAO_0000219,,
6588,,,,F,CHO-AA8,185.0,,Aerobic growth inhibition in Chinese hamster cell line AA8,N,,1,,CHEMBL621460,BAO_0000219,,
6589,,,,F,CHO-AA8,185.0,,Cytotoxicity against AA8 cell and IC50 values were determined as drug concentration required to inhibit cell protein to 50%.,N,,1,,CHEMBL621461,BAO_0000219,,
6590,,,,F,CHO-AA8,185.0,,Inhibition of growth under aerobic conditions in AA8 cells,N,,1,,CHEMBL621462,BAO_0000219,,
6591,,In vivo,,A,,,,Oral bioavailability in dog (dose 10 mg/kg),N,,1,,CHEMBL621463,BAO_0000218,,
6592,,In vivo,,A,,,,Oral bioavailability in dog at 10 mg/kg of the compound,N,,1,,CHEMBL621464,BAO_0000218,,
6593,,In vivo,,A,,,,Oral bioavailability in dog (dose 5 uM/kg),N,,1,,CHEMBL621465,BAO_0000218,,
6594,,In vivo,,A,,,,Oral bioavailability in dog (dose 5 uM/kg),N,,1,,CHEMBL621466,BAO_0000218,,
6595,,In vivo,,A,,,,Oral bioavailability in dog (mongrel),N,,1,,CHEMBL621467,BAO_0000218,,
6596,,In vivo,,A,,,,Oral bioavailability in dog (dose 10 mg/kg),N,,1,,CHEMBL621468,BAO_0000218,,
6597,,In vivo,,F,,,,Oral bioavailability in dog (dose 10 mg/kg),N,,1,,CHEMBL876734,BAO_0000218,,
6598,,In vivo,,A,,,,Bioavailability in dog,N,,1,,CHEMBL618476,BAO_0000218,,
6599,,In vivo,,A,,,,Bioavailability in dog (dose 1 mg/kg i.v.),N,,1,,CHEMBL618477,BAO_0000218,,
6600,,In vivo,,A,,,,Pharmacokinetic data for dose given to dogs intravenously (oral PK study in parentheses),N,,1,,CHEMBL618478,BAO_0000218,,
6601,,In vivo,,A,,,,Pharmacokinetic property (F) was measured in dog at the dose of 0.032 mg/kg,N,,1,,CHEMBL618479,BAO_0000218,,
6602,,In vivo,,A,,,,Bioavailability in dog,N,,1,,CHEMBL618480,BAO_0000218,,
6603,,In vivo,,A,,,,Bioavailability in dog (dose 3-10 mg/kg),N,,1,,CHEMBL618481,BAO_0000218,,
6604,,In vivo,Plasma,A,,,,The compound was tested for bioavailability of compound in plasma of dog; Complete,N,,1,,CHEMBL618482,BAO_0000218,1969.0,
6605,,In vivo,,A,,,,Oral bioavailability in dog,N,,1,,CHEMBL618483,BAO_0000218,,
6606,,In vivo,,A,,,,Oral bioavailability in dog,N,,1,,CHEMBL618484,BAO_0000218,,
6607,,In vivo,,A,,,,Bioavailability in dog,N,,1,,CHEMBL618485,BAO_0000218,,
6608,,In vivo,,A,,,,oral bioavailability was measured in dogs,N,,1,,CHEMBL618486,BAO_0000218,,
6609,,,,A,,,,Compound was tested for plasma protein binding in dog; Not determined,N,,1,,CHEMBL618487,BAO_0000218,,
6610,,,,A,,,,Compound was tested for plasma protein binding of dog,N,,1,,CHEMBL618488,BAO_0000218,,
