prospect_gncd,prospect_nmbrchldrn,prospect_stt,prospect_g,prospect_gndr,prospect_ct,prospect_ncm,prospect_nmbrcrs,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
kwc10828,5.0,TN,56.0,,Pittsburgh,456860.0,1.0,D,441.0,U,Dr Pepper Snapple Group,,
Fzp10829,4.0,NJ,12.0,f,Grand Rapids,317619.0,5.0,U,554.0,O,CH2M Hill,2.0,577606.0
dms10830,1.0,NE,94.0,F,Sherbrooke,27254.0,5.0,S,526.0,O,Sysco,10.0,2986027.0
Avz10831,2.0,GA,83.0,m,New Haven,468777.0,5.0,M,457.0,O,AK Steel Holding,5.0,2498795.0
Nyf10832,0.0,WV,67.0,,Brownsville,362991.0,4.0,M,424.0,O,PNM Resources,8.0,2765571.0
JTF10833,4.0,MT,61.0,m,Miami,119200.0,0.0,,559.0,R,Brinker International,4.0,3933394.0
Ukd10834,5.0,NC,37.0,,Torrance,58102.0,3.0,D,544.0,O,Snap-On,9.0,3830057.0
OGB10835,3.0,Nova Scotia,39.0,,Hampton,428624.0,3.0,M,525.0,O,Allegheny Technologies,8.0,1373200.0
ceo10836,2.0,NC,81.0,,Colorado Springs,465832.0,1.0,M,830.0,O,,3.0,158582.0
Hrz10837,2.0,MA,71.0,,Concord,119885.0,1.0,U,752.0,R,Ralcorp Holdings,9.0,189255.0
jeb10838,1.0,OH,95.0,f,Salt Lake City,174669.0,1.0,M,846.0,O,Nicor,,1109218.0
fkd10839,0.0,MD,47.0,M,Augusta,156656.0,2.0,S,558.0,O,Bed Bath & Beyond,3.0,3656088.0
Res10840,5.0,IN,,M,Toledo,357920.0,2.0,M,850.0,O,HNI,9.0,473417.0
REC10841,0.0,HI,76.0,,Fort Collins,359633.0,1.0,M,323.0,O,Lowe's,3.0,3434751.0
Yst10842,4.0,GA,26.0,,Kansas City,202099.0,1.0,U,842.0,O,Donaldson,3.0,3180166.0
Nvs10843,3.0,British Columbia,99.0,M,Hartford,,4.0,M,718.0,O,Ingram Micro,8.0,356321.0
Krm10844,2.0,KS,58.0,,Hollywood,265342.0,4.0,M,529.0,O,Northrop Grumman,9.0,3992021.0
qps10845,0.0,AL,94.0,f,Concord,337164.0,3.0,U,609.0,R,Lender Processing Services,3.0,1750937.0
Fyr10846,4.0,Ontario,45.0,,Saint John,350915.0,3.0,D,772.0,O,Bank of America Corp.,0.0,3548008.0
hkj10847,4.0,NE,57.0,,Norfolk,358327.0,1.0,M,633.0,O,,0.0,414056.0
smw10848,5.0,KY,62.0,,Santa Clara,28279.0,4.0,M,494.0,O,Leap Wireless International,10.0,613222.0
Urq10849,2.0,MN,34.0,f,Sherbrooke,491167.0,,M,592.0,O,Nicor,,2416300.0
Cbl10850,,WA,31.0,m,Bridgeport,367346.0,3.0,M,455.0,R,Source Interlink Cos.,1.0,2676453.0
IJX10851,4.0,DC,66.0,F,Oklahoma City,420057.0,5.0,U,446.0,O,Xilinx,0.0,2306581.0
qpm10852,4.0,Saskatchewan,58.0,m,Miami,410305.0,3.0,M,,O,Cameron International,10.0,2251896.0
Hfr10853,4.0,NY,40.0,m,Tampa,326726.0,3.0,M,371.0,O,Buildings Materials Corp.,1.0,3052538.0
gob10854,,DC,63.0,,Chicago,418631.0,4.0,M,308.0,,Levi Strauss,8.0,3739890.0
Kta10855,,AR,39.0,,Concord,323616.0,0.0,M,520.0,U,Superior Energy Services,7.0,1436877.0
Icr10856,3.0,OH,49.0,,New Orleans,376508.0,3.0,M,612.0,O,Murphy Oil,6.0,1560760.0
tpm10857,5.0,Quebec,100.0,f,Evansville,476120.0,0.0,M,808.0,O,Jabil Circuit,6.0,
LRI10858,3.0,AK,50.0,,Worcester,40122.0,3.0,U,614.0,U,Mosaic,6.0,2845352.0
ebc10859,5.0,MN,40.0,f,Baltimore,161189.0,2.0,M,577.0,O,,4.0,2857909.0
Fbi10860,0.0,MD,76.0,R,Vallejo,400468.0,4.0,D,318.0,O,Securian Financial Group,3.0,1069521.0
ICR10861,5.0,KY,55.0,M,Durham,194902.0,3.0,M,604.0,O,Caterpillar,1.0,
tee10862,4.0,WV,88.0,,Tulsa,13152.0,0.0,M,847.0,O,Southwest Airlines,3.0,3917628.0
Tin10863,5.0,CA,35.0,f,Winnipeg,436025.0,0.0,U,363.0,O,Flowserve,1.0,761443.0
Vch10865,1.0,NJ,,m,Corona,257165.0,,M,326.0,O,Invacare,3.0,1771800.0
Pjx10866,5.0,GA,48.0,M,Sacramento,337894.0,,M,668.0,R,BB&T Corp.,4.0,3022542.0
Vpf10867,0.0,KS,52.0,F,San Antonio,356799.0,4.0,M,825.0,U,,5.0,1383399.0
Gvj10868,0.0,WA,99.0,,Brownsville,270117.0,1.0,M,786.0,O,Genworth Financial,2.0,3990771.0
Xuc10869,1.0,MO,5.0,,Charleston,494908.0,1.0,M,481.0,O,Health Management Associates,4.0,2450042.0
IVN10870,2.0,WI,23.0,f,St. Petersburg,,2.0,M,313.0,R,International Assets Holding,10.0,3331943.0
Rgl10871,4.0,ID,74.0,M,Durham,72631.0,4.0,U,797.0,,CACI International,5.0,2700892.0
Zin10872,4.0,WI,80.0,,Hilo,,0.0,M,655.0,O,First Data,4.0,1988778.0
Adu10873,4.0,CO,28.0,,Anaheim,91926.0,0.0,,735.0,U,SunGard Data Systems,8.0,726681.0
Csc10874,3.0,Prince Edward Island,5.0,,Livonia,234038.0,1.0,D,459.0,O,Group 1 Automotive,4.0,2337460.0
Ekn10875,4.0,MT,49.0,,El Monte,13154.0,1.0,U,664.0,O,Capital One Financial,2.0,736224.0
Sql10876,3.0,HI,24.0,,Overland Park,489679.0,5.0,M,817.0,O,Adams Resources & Energy,3.0,608007.0
GPG10877,4.0,IL,9.0,M,Kitchener,134587.0,0.0,U,,U,MeadWestvaco,8.0,3246504.0
YFJ10878,2.0,RI,62.0,m,Tacoma,127730.0,2.0,M,753.0,O,Dell,6.0,2086761.0
Jqw10879,3.0,DC,71.0,f,Charleston,34247.0,0.0,M,582.0,O,,1.0,3868264.0
Dep10880,4.0,MT,53.0,,Wichita,315589.0,2.0,,625.0,R,Jabil Circuit,5.0,25224.0
Zzq10881,2.0,British Columbia,11.0,,Iqaluit,377153.0,2.0,W,619.0,O,Abercrombie & Fitch,6.0,2099888.0
Pnj10882,3.0,NC,78.0,,Scottsdale,31105.0,2.0,M,641.0,U,Unum Group,4.0,413092.0
Waw10883,3.0,Quebec,70.0,,Salinas,224693.0,,U,531.0,O,Fleetwood Enterprises,5.0,
Yjv10884,4.0,AL,39.0,,Concord,350254.0,1.0,M,811.0,O,W.R. Grace,9.0,575786.0
Ahg10885,5.0,NH,59.0,,Salem,258746.0,1.0,S,846.0,O,Foot Locker,0.0,2552837.0
Rsd10886,3.0,WA,53.0,m,Lubbock,24839.0,4.0,U,543.0,U,Textron,10.0,1478348.0
Coo10887,2.0,British Columbia,38.0,m,Huntsville,283482.0,0.0,W,708.0,O,Kroger,9.0,2812221.0
TAT10888,0.0,VA,76.0,,Atlanta,412788.0,0.0,D,736.0,O,,4.0,552625.0
Liz10889,5.0,HI,8.0,,Cedar Rapids,18209.0,4.0,W,314.0,O,DaVita,3.0,1217588.0
Son10890,5.0,Prince Edward Island,35.0,m,Independence,156695.0,4.0,U,422.0,R,Broadcom,7.0,3426989.0
Coi10891,2.0,OK,,,Mobile,497996.0,1.0,S,638.0,O,BB&T Corp.,5.0,553994.0
hfw10892,4.0,ME,28.0,,Torrance,348858.0,3.0,M,740.0,R,BlackRock,10.0,1861088.0
Bgj10893,4.0,NH,11.0,,Corpus Christi,362732.0,2.0,S,769.0,R,Nasdaq OMX Group,7.0,1632708.0
Jef10894,3.0,TN,80.0,,St. Paul,291759.0,2.0,M,489.0,O,LifePoint Hospitals,4.0,242007.0
Pck10895,1.0,AL,46.0,,Los Angeles,494615.0,1.0,U,664.0,R,Andersons,5.0,2591328.0
HQJ10896,2.0,FL,52.0,F,Ontario,157794.0,1.0,D,534.0,O,,9.0,2879085.0
Lcr10897,5.0,Manitoba,32.0,,New York,17017.0,2.0,S,800.0,R,Tractor Supply,8.0,2070875.0
euf10898,,IL,55.0,,Evansville,73499.0,1.0,M,622.0,R,Trinity Industries,3.0,2961512.0
Lwq10899,2.0,Alberta,27.0,m,Long Beach,269621.0,1.0,U,779.0,R,URS,7.0,553731.0
vzp10900,4.0,WY,29.0,,Anchorage,66173.0,4.0,M,577.0,O,Merrill Lynch,9.0,3805111.0
Unw10901,3.0,NJ,50.0,,San Jose,466342.0,0.0,M,618.0,U,Mercury General,10.0,1194478.0
Wzs10902,1.0,ME,14.0,,Sandy,195879.0,1.0,M,699.0,U,Genworth Financial,10.0,702805.0
oyj10903,0.0,TX,65.0,,Abilene,369560.0,5.0,M,642.0,R,CMS Energy,9.0,89580.0
kuq10904,4.0,Ontario,89.0,,Columbus,12936.0,4.0,W,808.0,O,Ecolab,4.0,3364856.0
Qiz10905,2.0,MO,52.0,f,Denver,462950.0,4.0,U,379.0,O,Warnaco Group,5.0,1175581.0
FZN10906,0.0,VA,58.0,m,Montpelier,405694.0,4.0,M,533.0,U,Berkshire Hathaway,0.0,2461352.0
EWR10907,3.0,FL,8.0,,Bakersfield,54271.0,5.0,M,558.0,O,Allstate,,3437713.0
Fgw10908,1.0,CA,46.0,,Amarillo,346404.0,0.0,U,555.0,O,Allstate,5.0,2036027.0
kzd10909,0.0,TN,21.0,m,Hollywood,478931.0,5.0,M,470.0,O,Vulcan Materials,5.0,2033653.0
Nve10910,4.0,MI,9.0,,Mobile,210193.0,,D,,O,Interpublic Group,5.0,1255327.0
GHA10911,0.0,OR,,m,Madison,481083.0,,M,632.0,O,DirecTV Group,8.0,2449252.0
Tev10912,3.0,ND,60.0,,Evansville,339731.0,1.0,S,496.0,O,NetApp,8.0,1340516.0
UZE10913,1.0,ND,29.0,,Hialeah,436764.0,4.0,S,392.0,U,Crane,8.0,3461994.0
NCG10914,2.0,Ontario,23.0,m,Dayton,352360.0,1.0,U,517.0,O,Eagle Rock Energy Partners,8.0,2024540.0
bhq10915,2.0,KS,94.0,,Toledo,158128.0,0.0,S,781.0,O,Toro,1.0,1138992.0
PHJ10916,5.0,AL,,F,Stockton,420705.0,3.0,M,473.0,O,Aventine Renewable Energy,4.0,714476.0
Nby10917,1.0,Ontario,1.0,m,Detroit,,1.0,M,833.0,O,Calpine,0.0,2911061.0
OGB10918,4.0,GA,24.0,,Arlington,129742.0,2.0,M,691.0,O,ArvinMeritor,1.0,3969773.0
lxs10919,1.0,MI,24.0,,St. Petersburg,328525.0,5.0,M,605.0,O,American Greetings,2.0,703094.0
acm10920,3.0,WI,62.0,F,Iqaluit,209184.0,5.0,S,606.0,O,Expedia,2.0,1949122.0
Wrm10921,5.0,FL,0.0,,Rancho Cucamonga,345510.0,1.0,U,764.0,U,Cardinal Health,10.0,2703266.0
Jpi10922,5.0,PA,39.0,m,Casper,186382.0,4.0,S,706.0,O,Nalco Holding,9.0,380664.0
Tro10923,0.0,IN,41.0,,Rapid City,360008.0,5.0,M,539.0,O,MSC Industrial Direct,1.0,2013608.0
xnn10924,1.0,WA,96.0,,Alexandria,437145.0,0.0,U,705.0,O,Toro,1.0,684957.0
Slk10925,5.0,Newfoundland,53.0,,Hull,156350.0,2.0,M,506.0,O,Energizer Holdings,1.0,1880630.0
Mna10926,2.0,NJ,33.0,f,Sacramento,290929.0,4.0,M,722.0,O,Nasdaq OMX Group,10.0,2644379.0
Ceu10927,3.0,CO,22.0,,Berkeley,81542.0,4.0,M,652.0,R,Psychiatric Solutions,6.0,2974979.0
Lib10928,4.0,WI,46.0,,Raleigh,370202.0,3.0,S,511.0,U,Torchmark,4.0,1290150.0
bbo10929,,AR,31.0,,Bellevue,268225.0,4.0,U,399.0,O,,6.0,376021.0
Ncp10930,1.0,PA,70.0,m,Ontario,215225.0,3.0,S,568.0,R,LandAmerica Financial Group,10.0,492595.0
Uwx10931,2.0,DC,24.0,,Evansville,90783.0,3.0,,561.0,O,Pactiv,4.0,3146306.0
OLB10932,,MO,3.0,,Baltimore,305315.0,1.0,S,438.0,,Mylan,8.0,1641342.0
xvj10933,3.0,WA,40.0,f,West Valley,136236.0,,M,316.0,R,R.R. Donnelley & Sons,1.0,3078194.0
STD10934,5.0,AR,89.0,f,Chicago,120953.0,4.0,S,309.0,O,,,1146111.0
okg10935,0.0,SC,10.0,,Reno,233464.0,2.0,S,822.0,U,Arch Coal,6.0,872488.0
kxq10936,1.0,GA,77.0,,Sterling Heights,,1.0,U,799.0,U,Advanced Micro Devices,2.0,3099758.0
mgu10937,4.0,NH,38.0,,Erie,,3.0,S,558.0,U,Aon,3.0,1753441.0
RUR10938,4.0,VA,,,Hilo,343496.0,5.0,M,805.0,O,WellCare Health Plans,,
Ffs10939,1.0,KY,78.0,,Wichita,481035.0,4.0,M,745.0,O,Collective Brands,2.0,
Ukf10940,5.0,Saskatchewan,21.0,,Gary,312758.0,4.0,M,381.0,,Perrigo,7.0,3875663.0
sek10941,4.0,ND,55.0,m,Salinas,227393.0,1.0,D,626.0,O,Arkansas Best,2.0,3358247.0
Tna10942,4.0,ID,85.0,,Washington,437835.0,1.0,S,744.0,O,Lam Research,7.0,3661308.0
UZJ10943,2.0,AZ,94.0,,Montgomery,322724.0,1.0,M,792.0,O,Sherwin-Williams,4.0,3371434.0
bpb10944,0.0,VT,35.0,,Gary,452361.0,2.0,D,741.0,O,Bed Bath & Beyond,2.0,3031663.0
Ljr10945,5.0,PA,42.0,M,Vancouver,499003.0,2.0,S,582.0,R,Health Management Associates,0.0,87159.0
Rzp10946,2.0,CT,71.0,M,Berkeley,455818.0,2.0,W,663.0,R,Huntsman,1.0,
Lrv10947,3.0,MT,79.0,f,St. Johns,454772.0,3.0,M,840.0,U,IAC/InterActiveCorp,10.0,126126.0
Wxg10948,0.0,MI,42.0,,Huntington,273676.0,2.0,D,795.0,O,Praxair,4.0,2449252.0
Alb10949,2.0,New Brunswick,20.0,f,Pembroke Pines,321116.0,0.0,W,437.0,O,Patterson,8.0,1273654.0
UDW10950,3.0,Nova Scotia,20.0,,Fairbanks,320777.0,5.0,M,638.0,R,Sanmina-SCI,10.0,440078.0
UAS10951,4.0,SD,8.0,m,Iqaluit,424772.0,0.0,W,814.0,O,Hospira,9.0,1935817.0
uus10952,5.0,PA,18.0,M,Shreveport,45651.0,2.0,S,685.0,O,AMC Entertainment,10.0,
Htq10953,3.0,NY,47.0,f,Springfield,224022.0,1.0,S,715.0,U,Pride International,0.0,3355149.0
ZEI10954,3.0,TN,72.0,,Cheyenne,123128.0,3.0,U,549.0,O,McDonald's,0.0,3975497.0
TVP10955,4.0,KY,15.0,m,Knoxville,122108.0,1.0,M,315.0,O,Wendy's/Arby's Group,0.0,108127.0
Lne10956,5.0,MA,1.0,,Coral Springs,356575.0,0.0,M,693.0,O,Ferrellgas Partners,7.0,1777116.0
xds10957,0.0,AZ,92.0,,St. Petersburg,368395.0,1.0,M,797.0,O,Office Depot,6.0,2189644.0
DWW10958,4.0,ND,18.0,F,Chicago,55621.0,1.0,M,313.0,O,Freddie Mac,7.0,3043042.0
YBM10959,3.0,IA,33.0,,Grand Prairie,14921.0,2.0,S,815.0,O,CACI International,0.0,1661619.0
xiu10960,4.0,NH,18.0,o,Fargo,69690.0,2.0,M,434.0,O,Fastenal,8.0,
vyz10961,3.0,OK,58.0,m,Memphis,445437.0,4.0,S,763.0,R,Mueller Industries,7.0,981900.0
ufo10962,0.0,Manitoba,71.0,M,Saskatoon,143157.0,4.0,U,732.0,O,Shaw Group,7.0,3746110.0
hdf10963,5.0,TN,84.0,,Mesa,81469.0,4.0,M,692.0,O,MeadWestvaco,4.0,2187192.0
Qqd10964,5.0,OR,98.0,,Baton Rouge,285117.0,0.0,M,708.0,,Yum Brands,7.0,451143.0
SLY10965,4.0,OR,80.0,,Durham,354851.0,2.0,D,308.0,O,Estee Lauder,,3341645.0
BMU10966,4.0,DE,46.0,F,Toledo,91762.0,5.0,S,386.0,O,WGL Holdings,8.0,822216.0
DWB10967,1.0,WA,97.0,M,Chesapeake,69985.0,0.0,U,597.0,O,Fidelity National Information,2.0,2144374.0
Rgl10968,0.0,GA,4.0,,Rapid City,380475.0,0.0,,609.0,U,DuPont,9.0,1685501.0
Tiz10969,2.0,Prince Edward Island,23.0,,Torrance,,4.0,D,538.0,O,AT&T,3.0,3590095.0
qpb10970,1.0,OK,64.0,,Yonkers,127084.0,2.0,M,561.0,R,USG,5.0,2175688.0
Dbt10971,2.0,VA,51.0,m,Wichita,198184.0,0.0,M,484.0,O,Tech Data,7.0,435784.0
Oib10972,4.0,TN,,,Omaha,153197.0,0.0,U,382.0,R,Sauer-Danfoss,3.0,1444106.0
Qnr10973,1.0,CO,57.0,,Huntington,379055.0,2.0,D,639.0,O,Apache,4.0,1586585.0
PXN10974,5.0,MI,80.0,,Lafayette,356373.0,5.0,W,425.0,O,Goodyear Tire & Rubber,6.0,3786115.0
Ncp10975,0.0,CO,56.0,m,St. Petersburg,353279.0,2.0,U,806.0,O,Boeing,7.0,376409.0
YSD10976,4.0,WI,43.0,,Charlotte,140640.0,4.0,M,522.0,O,Landstar System,10.0,716158.0
rgn10977,4.0,Manitoba,40.0,,Oshawa,116679.0,2.0,M,696.0,R,,1.0,2054123.0
Gkm10978,3.0,AK,28.0,,Orlando,198557.0,1.0,M,655.0,O,Pinnacle West Capital,7.0,1157950.0
USK10979,5.0,AZ,21.0,,Providence,11010.0,5.0,U,399.0,,Ameriprise Financial,4.0,1011786.0
oqu10980,0.0,VT,94.0,f,Yellow Knife,431728.0,1.0,U,843.0,,Group 1 Automotive,6.0,2709910.0
Qyw10981,1.0,Alberta,42.0,m,Macon,410038.0,0.0,U,426.0,O,R.H. Donnelley,2.0,392239.0
Nkg10982,0.0,DC,100.0,,Lafayette,201173.0,0.0,M,583.0,O,Berkshire Hathaway,7.0,3168652.0
FEB10983,1.0,AK,74.0,,Dayton,124419.0,3.0,U,511.0,,Time Warner,1.0,186615.0
Iuq10984,2.0,IA,35.0,F,Minneapolis,132903.0,3.0,W,613.0,U,Eaton,6.0,552362.0
Qnc10985,4.0,Ontario,5.0,,Denver,140659.0,4.0,W,646.0,O,Forest Laboratories,1.0,3270324.0
ESG10986,,SC,50.0,f,Dallas,,5.0,S,488.0,O,Watson Pharmaceuticals,10.0,3685597.0
Yjs10987,2.0,Newfoundland,56.0,f,Lubbock,56183.0,1.0,W,699.0,R,Duane Reade Holdings,4.0,207116.0
Umt10988,5.0,NV,5.0,,Casper,,5.0,M,324.0,O,A.O. Smith,0.0,3499346.0
PYW10989,3.0,NH,30.0,,Providence,348650.0,3.0,W,512.0,O,ITT,4.0,748619.0
PIS10990,3.0,Ontario,33.0,,Pembroke Pines,287672.0,1.0,M,716.0,O,Hartford Financial Services,5.0,3059847.0
ghl10991,5.0,LA,61.0,,Garland,36078.0,5.0,S,333.0,O,Eagle Rock Energy Partners,9.0,1649676.0
OJC10992,4.0,NE,25.0,,Mesquite,422110.0,4.0,M,407.0,R,Worthington Industries,6.0,3705423.0
Ind10993,2.0,ID,22.0,f,Nashville,111797.0,5.0,S,661.0,O,PG&E Corp.,10.0,2376501.0
INO10994,5.0,Prince Edward Island,33.0,,Oxnard,268988.0,5.0,M,620.0,O,Nvidia,2.0,2632165.0
OJB10995,,VA,82.0,,Windsor,,2.0,M,382.0,O,,2.0,934450.0
BVV10996,2.0,VT,34.0,F,Durham,446361.0,0.0,U,811.0,O,Robert Half International,,3108435.0
xcj10997,1.0,CT,51.0,,Garland,257785.0,2.0,M,612.0,U,,8.0,2984010.0
ejt10998,1.0,AZ,99.0,,Cheyenne,150645.0,5.0,M,324.0,R,Health Net,,3075972.0
JNP10999,4.0,SC,85.0,,Reno,421868.0,2.0,S,833.0,O,Nucor,7.0,3256928.0
dtx11000,2.0,British Columbia,,,Boise,477784.0,3.0,D,709.0,R,Dillard's,2.0,539305.0
XGG11001,5.0,IL,86.0,F,Elizabeth,480972.0,4.0,M,496.0,O,Entergy,2.0,3335019.0
lmt11002,3.0,IN,67.0,,St. Louis,240268.0,4.0,D,366.0,O,Vulcan Materials,4.0,3679401.0
Wdf11003,2.0,IA,51.0,M,Irvine,387663.0,0.0,S,324.0,U,,8.0,1800895.0
Bus11004,3.0,MS,84.0,f,Toronto,492331.0,5.0,S,597.0,R,CVR Energy,9.0,555825.0
Bch11005,4.0,VA,6.0,M,Billings,169157.0,0.0,M,534.0,O,Brown Shoe,5.0,2999627.0
WYJ11006,0.0,NM,64.0,,Salem,387828.0,2.0,U,839.0,O,J.P. Morgan Chase & Co.,3.0,3350736.0
Qkl11007,1.0,IN,82.0,,Toledo,380891.0,0.0,M,524.0,O,Administaff,5.0,3360420.0
Ntg11008,1.0,WI,,m,Lansing,258054.0,1.0,S,584.0,O,Mohawk Industries,0.0,1920593.0
zbw11009,3.0,MT,58.0,M,Indianapolis,261221.0,4.0,S,839.0,O,Lennox International,6.0,3961490.0
Jhk11010,,AR,11.0,,Detroit,71903.0,4.0,U,850.0,O,Timken,1.0,203663.0
MWP11011,5.0,NV,88.0,,Virginia Beach,72572.0,0.0,U,539.0,O,Celgene,2.0,746242.0
Ecn11012,1.0,Alberta,87.0,,Regina,484396.0,1.0,M,317.0,U,Ryder System,8.0,3452288.0
Nml11013,3.0,KS,22.0,,Augusta,4921.0,0.0,M,787.0,O,Teledyne Technologies,0.0,3126002.0
Kph11014,3.0,ID,86.0,,Salinas,250785.0,2.0,W,320.0,O,Scotts Miracle-Gro,2.0,3354045.0
VCP11015,4.0,Manitoba,39.0,F,Macon,470090.0,2.0,U,562.0,O,Expedia,7.0,1826409.0
Brw11016,0.0,IA,96.0,,Victoria,123483.0,3.0,S,665.0,,Perot Systems,0.0,222526.0
Skj11017,,DE,49.0,M,Erie,119581.0,5.0,M,822.0,O,CB Richard Ellis Group,7.0,1167631.0
poi11018,3.0,OH,90.0,,Salem,196672.0,2.0,S,631.0,O,Bed Bath & Beyond,6.0,57285.0
Qnv11019,1.0,LA,43.0,,Santa Fe,273544.0,5.0,W,732.0,,HCC Insurance Holdings,4.0,3757167.0
mgh11020,1.0,SD,,,Peoria,228307.0,0.0,S,325.0,U,Baldor Electric,2.0,1804426.0
Mwi11021,1.0,ME,24.0,,Dallas,448558.0,0.0,U,585.0,O,Biomet,3.0,2301098.0
uof11022,5.0,VT,,m,Richmond,472144.0,1.0,S,459.0,O,U.S. Bancorp,6.0,
Pfe11023,2.0,AK,52.0,f,Berkeley,379231.0,1.0,W,359.0,R,Cenveo,10.0,1288597.0
Skv11024,5.0,WY,43.0,,Casper,56703.0,2.0,M,506.0,O,Kansas City Southern,,3628047.0
Qai11025,5.0,ME,47.0,,Amarillo,299584.0,5.0,M,626.0,,Yum Brands,2.0,2146069.0
Opb11026,5.0,CA,70.0,,Hartford,316035.0,5.0,W,739.0,O,Sempra Energy,2.0,3966943.0
OIB11027,1.0,FL,21.0,M,Cleveland,102451.0,2.0,M,441.0,O,Liz Claiborne,3.0,3869600.0
PQG11028,3.0,UT,3.0,m,Fort Collins,135536.0,4.0,S,582.0,O,Equifax,8.0,276893.0
fny11029,0.0,HI,80.0,,Rancho Cucamonga,369669.0,4.0,S,475.0,O,Beazer Homes USA,4.0,3349062.0
Glb11030,5.0,CT,90.0,f,Cedar Rapids,285470.0,,M,602.0,O,Conseco,9.0,866592.0
BUM11031,5.0,VT,,,Elizabeth,138541.0,1.0,U,321.0,O,Baker Hughes,6.0,2298774.0
Ppv11032,0.0,UT,15.0,,Scottsdale,149614.0,3.0,M,542.0,O,Levi Strauss,6.0,3022407.0
AQA11033,0.0,Saskatchewan,86.0,f,Greensboro,385895.0,5.0,W,489.0,O,National Fuel Gas,2.0,135667.0
Sfb11034,0.0,OH,65.0,,Worcester,209407.0,3.0,U,363.0,U,Hawaiian Electric Industries,7.0,2115782.0
Yah11035,4.0,WV,33.0,,Cleveland,270128.0,4.0,M,454.0,O,Yum Brands,2.0,224027.0
Oxf11036,0.0,WA,89.0,,Oceanside,270364.0,3.0,S,305.0,O,Erie Insurance Group,9.0,772022.0
Mwh11037,5.0,NH,66.0,,Salem,264871.0,5.0,U,510.0,O,NCR,10.0,1479989.0
Anp11038,3.0,MS,95.0,,Honolulu,156765.0,3.0,U,356.0,O,Brown-Forman,3.0,275474.0
YIY11039,5.0,Quebec,64.0,,Pembroke Pines,437573.0,0.0,M,631.0,O,PSS World Medical,0.0,3282711.0
dpg11040,5.0,MS,,,Sioux Falls,150389.0,3.0,M,739.0,O,Nationwide,5.0,2638326.0
TDQ11041,0.0,ID,76.0,,Sandy,,1.0,S,762.0,O,Career Education,7.0,2071988.0
idm11042,4.0,British Columbia,,,Whitehorse,393425.0,3.0,M,522.0,O,Blockbuster,1.0,1827065.0
LGB11043,2.0,PA,,,Baton Rouge,,1.0,M,786.0,U,Western Refining,4.0,84805.0
Raz11044,3.0,NE,74.0,m,Vancouver,431480.0,3.0,U,382.0,O,Teleflex,3.0,504858.0
Tlg11045,5.0,WA,60.0,F,Spokane,402104.0,3.0,M,428.0,O,PSS World Medical,3.0,2917928.0
Pqj11046,5.0,MN,51.0,,Cleveland,206561.0,4.0,S,519.0,O,Oshkosh,4.0,66004.0
gec11047,1.0,VA,18.0,,Hartford,388645.0,5.0,,790.0,O,OM Group,0.0,3420451.0
BHU11048,4.0,Alberta,26.0,m,Vallejo,212951.0,3.0,,771.0,O,Alliant Techsystems,0.0,3638395.0
Aqx11049,2.0,TX,55.0,m,Palmdale,185442.0,2.0,U,461.0,O,Interstate Bakeries,5.0,1766856.0
Fbv11050,2.0,NJ,45.0,,Corona,44513.0,2.0,S,654.0,O,Virgin Media,0.0,2875839.0
QTZ11051,4.0,OK,29.0,,Anchorage,484435.0,4.0,W,354.0,O,Allegheny Technologies,3.0,1463839.0
Hbj11052,2.0,CA,5.0,m,Frederick,222517.0,3.0,U,467.0,R,Unified Grocers,10.0,3563280.0
yrx11053,4.0,NJ,92.0,,Cheyenne,240730.0,,S,359.0,O,Kohl's,4.0,1816691.0
VGN11054,,TX,80.0,f,Phoenix,,4.0,U,511.0,O,Source Interlink Cos.,5.0,3259233.0
FSK11055,4.0,CA,30.0,,Regina,325015.0,1.0,D,803.0,O,Energy Future Holdings,10.0,2074410.0
Vfb11056,,DC,76.0,F,Salem,416166.0,1.0,U,667.0,O,DaVita,3.0,3231188.0
CVO11057,4.0,SC,,,Washington,445094.0,2.0,M,832.0,O,Hewitt Associates,9.0,
TCV11058,3.0,GA,18.0,F,Savannah,258089.0,1.0,W,742.0,U,Kla-Tencor,7.0,
DKF11059,1.0,AR,49.0,,Anchorage,88189.0,5.0,D,725.0,O,AnnTaylor Stores,2.0,1109284.0
Wsl11060,4.0,AL,30.0,f,Stamford,160082.0,2.0,M,740.0,O,AbitibiBowater,7.0,997504.0
Rte11061,0.0,CT,25.0,,Orlando,279297.0,3.0,M,446.0,O,RPM International,10.0,3021979.0
RKX11062,0.0,TN,79.0,,Austin,79761.0,4.0,U,590.0,,Bemis,9.0,2987762.0
VHE11063,4.0,DC,53.0,M,Denver,170681.0,1.0,M,842.0,O,Ameren,2.0,2763653.0
oiu11064,2.0,MI,72.0,,San Diego,204711.0,4.0,M,784.0,O,CenturyTel,8.0,612714.0
HJF11065,3.0,VT,31.0,F,Fresno,363880.0,3.0,M,798.0,R,Textron,7.0,3302552.0
BLF11066,2.0,SD,30.0,M,Iqaluit,72608.0,2.0,M,314.0,O,Microsoft,0.0,3354475.0
YXA11067,5.0,IL,45.0,,Cedar Rapids,250164.0,3.0,W,390.0,O,Computer Sciences,6.0,1192509.0
