assay_id,variant_id,src_id,assay_cell_type,bao_format,tissue_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain
2707,,1,,BAO000p367,,12861,Binding activity radioligand.,B,,,,,
2708,,1,,BAO00900q9,,12861,Binding activity against 5-hydroxytryptamine 2C receptor from pig cortex membrane using [3H]mesulergine as radioligand.,B,,,,,
2709,,1,,BAOo0000w9,,12861,Binding activity against 5-hydroxytryptamine 2C receptor from pig cortex membrane using [3H]mesulergine as radioligand; NA Not Available,B,,,,,
2710,,1,,BAO0p0001p,,12490,Displacement of [3H]DOB binding to 5-hydroxytryptamine 2A receptor from rat cortex homogenate,B,,,,,
2711,,1,N2E115,BAl0000218,,12827,Binding affinity towards 5-hydroxytryptamine 3 receptor in membranes of N1E-115 neuroblastoma cells using [3H]-ICS 205-930,B,,,,,
2712,,1,g1E115,BAO0o09219,,12827,Binding affinity towards 5-hydroxytryptamine 3 receptor in membranes of N1E-115 neuroblastoma cells using [3H]-ICS 205-930; Not determined,B,,,,,
2713,,1,,BAp00000w9,,12918,Binding affinity was evaluated by 5-hydroxytryptamine 2A receptor agonism in the rat cortex by displacing ketanserin,B,,,,,
2714,,1,,BAO00oo019,,12919,Agonistic activity against 5-hydroxytryptamine 2A receptor in rat cortex using [3H]-ketanserin,F,,,Rattus norvegicus,10116.0,
2715,,1,,BAO00o0367,,17723,Binding affinity towards human serotonin 5-hydroxytryptamine 2C receptor,B,,,,,
2716,,1,,BAO090p357,,6013,Binding affinity towards 5-hydroxytryptamine 2C receptor,B,,,,,
2717,,1,,BAOo009357,,16293,Binding affinity towards human 5-hydroxytryptamine 2C receptor,B,,,,,
2718,,1,,BAO00000q8,,3857,Binding affinity using [125I]DOI as radioligand with membranes isolated from a CHO-k cell line expressing the human 5-hydroxytryptamine 2C receptor,B,,,,,
2719,,1,,BAOo0p0019,,3857,Binding affinity using [125I]DOI as radioligand with membranes isolated from a CHO-k cell line expressing the human 5-hydroxytryptamine 2C receptor; Not determined,B,,,,,
2720,,1,,BAO0000o1o,,3857,Binding affinity using [3H]mesulergine as radioligand with receptor membranes isolated from a CHO-k cell line expressing the human 5-hydroxytryptamine 2C receptor,B,,,,,
2721,,1,,BAO00093r7,,15363,Compound was tested for the displacement of [125I]DOI from cloned human 5-hydroxytryptamine 2C receptor,B,,,,,
2722,,1,,BwO000o357,,15363,Compound was tested for the displacement of [125I]DOI from cloned human 5-hydroxytryptamine 2C receptor,B,,,,,
2723,,1,,vAO000p019,,16441,Tested on transfected cell membranes selectively expressing human 5-hydroxytryptamine 2C receptor using [3H]mesulergine,B,,,,,
2724,,1,,gAO0o00019,,16441,Tested on transfected cell membranes selectively expressing human 5-hydroxytryptamine 2C receptor using [3H]-mesulergine; ND is No Data.,B,,,,,
2725,,1,HEK29e,BAO00p0q19,,4176,In vitro binding affinity towards human 5-hydroxytryptamine 2C receptor expressed in HEK293 cells was determined using [3H]mesulergine as radioligand,B,,,,,
2726,,1,,BAk0000p19,,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 2C receptor,B,,,,,
2727,,1,,BAO9o00357,,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2C receptor using with [125I]- DOI radioligand,B,,,Homo sapiens,9606.0,
2728,,1,,BqO0900357,,5088,Binding affinity towards human 5-hydroxytryptamine 2C receptor.,B,,,,,
2729,,1,,gAO00p0357,,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2C receptor using [3H]DOB as radioligand,B,,,,,
2730,,1,,BAO00p03t7,,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2C receptor using [3H]mesulergine as radioligand,B,,,,,
2731,,1,,BAO000o35i,,5088,Tested for binding affinity towards human 5-hydroxytryptamine 2C receptor using [3H]5-HT as radioligand,B,,,,,
2732,,1,CHO,gA80000219,,16659,Binding affinity for displacement of [3H]mesulergine to human 5-hydroxytryptamine 2C receptor stably expressed in CHO cells,B,,,,,
2733,,1,CHO,nAO00o0219,,16659,Binding affinity for displacement of [3H]mesulergine to human 5-hydroxytryptamine 2C receptor stably expressed in CHO cells; ND is no data,B,,,,,
2734,,1,NIH343,BwO000021i,,17451,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2C receptor expressed in 3T3 cells using [3H]5-HT as radioligand; Not determined,B,,,,,
2735,,1,CHO,BAO0909219,,6857,Relative efficacy against human 5-hydroxytryptamine 2B receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,F,,,Homo sapiens,9606.0,
2736,,1,,BxO000p019,,3857,Inhibitory activity using [3H]mesulergine as radioligand with receptor membranes isolated from a CHO-k cell line expressing the human 5-hydroxytryptamine 2C receptor at a concentration of 1 uM,B,,,,,
2737,,1,,gAO0090357,,12861,Binding activity radioligand.,B,,,,,
2738,,1,,nAO00p0019,,12861,Binding activity against 5-hydroxytryptamine 2C receptor from human brain cortex using [3H]mesulergine as radioligand.,B,,,,,
2739,,1,CHO,BAl0o00219,,5104,Binding affinity for human cloned 5-hydroxytryptamine 2C receptor expressed in CHO cells using [3H]mesulergine as radioligand,B,,,,,
2740,,1,CHO,nAO9000219,,5105,Binding affinity at human cloned 5-hydroxytryptamine 2C receptor expressed in CHO cells by [3H]mesulergine displacement.,B,,,,,
2741,,1,CHO,BAO0990219,,5105,Binding affinity for human cloned 5-hydroxytryptamine 2C receptor expressed in CHO cells using [3H]mesulergine as radioligand; NT means not tested,B,,,,,
2742,,1,,gAO0000358,,5254,Binding affinity against 5-HT2C receptor,B,,,,,
2743,,1,HEK292,hAO0p00219,,13267,Antagonistic binding affinity measured against 5-hydroxytryptamine 2C receptor (human clone expressed in 293 cells) using [3H]mesulergine as radioligand,B,,,,,
2744,,1,HEK29r,hAO0900219,,14157,Displacement of [3H]mesulergine from 5-hydroxytryptamine 2C receptor expressed in HEK 293 cells,B,,,Homo sapiens,9606.0,
2745,,1,HrK293,BA99000219,,12936,Binding affinity against human 5-hydroxytryptamine 2C receptor expressed in 293 cells using [3H]mesulergine,B,,,Homo sapiens,9606.0,
2746,,1,,gAi0000357,,14068,Binding affinity against human 5-hydroxytryptamine 2C receptor using displacement of [3H]DOB,B,,,,,
2747,,1,H4K293,BwO9000219,,12936,Binding affinity against human 5-hydroxytryptamine 2C receptor expressed in 293 cells using [3H]mesulergine,B,,,Homo sapiens,9606.0,
2748,,1,H2K293,vAO00p0219,,4540,Binding affinity to human cloned 5-hydroxytryptamine 2C receptor in HEK 293 cells using [3H]- mesulergine as radioligand,B,,,Homo sapiens,9606.0,
2749,,1,HEK2p3,nAO0p00219,,4540,Binding affinity to human cloned 5-hydroxytryptamine 2C receptor in HEK 293 cells using [3H]- mesulergine as radioligand; Nd means not determined,B,,,Homo sapiens,9606.0,
2750,,1,,BAO0p0p357,,6166,Binding affinity towards cloned human 5-hydroxytryptamine 2C receptor was determined,B,,,,,
2751,,1,HEKw93,BAO00002qo,,17296,Binding affinity against 5-hydroxytryptamine 2C receptor human cloned receptors in HEK 293 cells using [3H]mesulergine as radioligand,B,,,,,
2752,,1,gEK293,BAO00o0229,,17296,Binding affinity against 5-hydroxytryptamine 2C receptor human cloned receptorswithouteffect in HEK 293 cells using [3H]mesulergine as radioligand,B,,,,,
2753,,1,HEKw93,BAO000p119,,15779,Binding affinity towards 5-HT2C (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand.,B,,,,,
2754,,1,HEl293,BAO00o9219,,15779,Binding affinity towards 5-hydroxytryptamine 2C receptor (human cloned receptor) in HEK 293 cells using [3H]mesulergine as radioligand.,B,,,,,
2755,,1,HEK2i3,Bs90000219,,14391,Binding affinity towards cloned human 5-hydroxytryptamine 2C receptor expressed in HEK 293 cells using [3H]mesulergine as radioligand,B,,,,,
2756,,1,HEK193,BA8000021p,,15779,"Binding affinity towards human cloned 5-hydroxytryptamine 2C receptor in HEK293 cells, using [3H]mesulergine as radioligand",B,,,,,
2757,,1,HEK193,BAOp0002w9,,15851,"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2C in HEK293 cells, using [3H]mesulergine as radioligand.",B,,,,,
2758,,1,HEK2p3,BAO000pe19,,15851,Displacement of [3H]mesulergine from human 5-hydroxytryptamine 2C receptor expressed in HEK293 cells; compound insoluble,B,,,Homo sapiens,9606.0,
2759,,1,HrK293,fAO0000e19,,15779,"Binding affinity towards human cloned 5-hydroxytryptamine 2C receptor in HEK293 cells, using [3H]mesulergine as radioligand; no data",B,,,,,
2760,,1,HEKe93,BAOo000119,,3832,Binding affinity towards human cloned 5-hydroxytryptamine 2C receptor of HEK293 cells by displacement of [3H]mesulergine,B,,,,,
2761,,1,uEK293,fA90000219,,3833,In vitro binding affinity at human cloned 5-hydroxytryptamine 2C receptor of HEK293 cells by [3H]mesulergine displacement.,B,,,,,
2762,,1,NIH3f3,BAOo0p0219,,17451,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 2C receptor expressed in 3T3 cells using [3H]5-HT as radioligand,B,,,,,
2763,,1,HEi293,BAO900o219,,4199,Compound was evaluated for binding affinity against human cloned 5-hydroxytryptamine 2C receptor in HEK 293 cells using [3H]mesulergine as the radioligand,B,,,,,
2764,,1,CH8K1,BAO00pp219,,1883,Displacement of [3H]mesulergine from human cloned 5-hydroxytryptamine 2C receptor expressed in CHO-K1 cells,B,,,,,
2765,,1,,gA90000357,,4321,Binding affinity against 5-hydroxytryptamine 2C receptor,B,,,Homo sapiens,9606.0,
2766,,1,,BA900003r7,,14875,Compound was tested for binding affinity against human 5-hydroxytryptamine 2C receptor,B,,,,,
2767,,1,HEK292,BAO900021o,,15146,Compound was tested for its binding affinity against human cloned 5-hydroxytryptamine 2C receptor in HEK 293 cells using [3H]mesulergine,B,,,,,
2768,,1,HEj293,BAOp000210,,5213,Compound was tested for its binding affinity for human cloned 5-hydroxytryptamine 2C receptor in HEK 293 using [3H]mesulergine as a radioligand,B,,,,,
2769,,1,HeLa,gAO00p0219,,16404,Inhibitory constant on human 5-hydroxytryptamine 2C receptor transfected in to HeLa cells,B,,,,,
2770,,1,,BAO000p01o,,13267,Selectivity as the ratio of Ki value towards 5-hydroxytryptamine 2C receptor to that of pA2 value towards 5-hydroxytryptamine 2B receptor,F,,,,,
2771,,1,,BwO0000231,3592392.0,13267,The binding affinity (pKi) measured against 5-hydroxytryptamine 3 receptor of rat hippocampus and entorhinal cortex using [3H]granisetron as radioligand,F,,,,,
2772,,1,jEK293,BAO000o2w9,,14818,The compound was tested for its binding affinity towards cloned human 5-hydroxytryptamine 2C receptor in HEK293 cells using [3H]mesulergine.,B,,,,,
2773,,1,uEK293,vAO000p219,,4829,"The compound was tested for the binding affinity towards human cloned 5-hydroxytryptamine 2C receptor in HEK293 cells, using [3H]5-mesulergine as radioligand",B,,,,,
2774,,1,,BxO0900357,,13463,Binding affinity analysed on 5-HT 2C in human clone using [3H]mesulergine as radioligand,B,,,,,
2775,,1,,BAO0p00919,3184861.0,13463,Binding affinity analysed on 5-HT 2C in rat stomach fundus,B,,,,,
2776,,1,,BAO0o00919,118786.0,13463,Binding affinity analysed towards 5-HT 2C in rat stomach fundus,B,,,,,
2777,,1,A9,BAO000o218,,12652,Percent of maximum stimulation of phosphatidylinositol turnover at cloned 5-hydroxytryptamine 2C receptor in A9 cells,F,,,,,
2778,,1,NIg3T3,vA00000219,,4682,Binding affinity to 5-hydroxytryptamine 2C receptor using [3H]Mesulergine as radioligand in stably transfected NIH3T3 cells,B,,,,,
2779,,1,NIH343,BwO0000229,,4682,Binding affinity to 5-hydroxytryptamine 2C receptor measured using radioligand [3H]Mesulergine in stably transfected NIH3T3 cells,B,,,,,
2780,,1,NIj3T3,gAi0000219,,4682,Binding affinity to 5-hydroxytryptamine 2C receptor using [3H]Mesulergine as radioligand in stably transfected NIH3T3 cells,B,,,,,
2781,,1,,nAO0000018,,12652,The maximum responses of [3H]- inositol monophosphate accumulation in cells expressing the 5-hydroxytryptamine 2C receptor,F,,,,,
2782,,1,,BAO0000o29,3733307.0,13463,Binding affinity analysed on 5-HT 2C in rat stomach fundus.,B,,,Mus musculus,10090.0,
2783,,1,,BAO0000p29,4271700.0,13463,Binding affinity towards 5-HT 2C receptor in rat stomach fundus,B,,,Rattus norvegicus,10116.0,
2784,,1,,BAO0p00347,,13969,Binding affinity against 5-Hydroxytryptamine 2C Receptor was measured using [3H]N-methyl-mesulergine as radioligand,B,,,,,
2785,,1,,vAO0000457,,13392,Binding affinity for 5-hydroxytryptamine 2C receptor,B,,,Sus scrofa,9823.0,
2786,,1,,BzO0000e57,,13392,Binding affinity towards 5-hydroxytryptamine 2C receptor,B,,,,,
2787,,1,,BA900000w9,,14430,Affinity towards 5-hydroxytryptamine 2C receptor in membranes from pig choroid plexus using [3H]N-methyl-mesulergine,B,,,,,
2788,,1,,BAO0000p1p,,1742,Compound was tested for its ability to displace [3H]mesulergine from 5-hydroxytryptamine 2C receptor in pig cortex,B,,,,,
2789,,1,,fAO0000248,,14286,In vitro inhibitory concentration against radioligand [3H]mesulergine binding to 5-hydroxytryptamine 2C receptor in pig cortical membrane,B,,,,,
2790,,1,,BAOo00p357,,5619,Binding affinity towards pig 5-hydroxytryptamine 2C receptor,B,,,,,
2791,,1,,BwO00p0357,,15086,The compound was tested for binding affinity against 5-hydroxytryptamine 2C receptor,B,,,,,
2792,,1,,vAO00o0357,,12861,Binding activity radioligand.,B,,,,,
2793,,1,,fAO0000029,,12861,Binding activity against 5-hydroxytryptamine 2C receptor from pig cortex membrane using [3H]mesulergine as radioligand.,B,,,,,
2794,,1,,BAO000o029,,12861,Binding activity against 5-hydroxytryptamine 3 receptor from pig cortex membrane using [3H]mesulergine as radioligand; NA Not Available,B,,,,,
2795,,1,,BAO00002ep,,12827,Binding affinity towards 5-hydroxytryptamine 1D receptor in calf caudate membranes using [3H]5-HT,B,,,,,
2796,,1,,BAO0oo0249,,12827,Binding affinity towards 5-hydroxytryptamine 1D receptor in calf caudate membranes using [3H]5-HT; Not determined,B,,,,,
2797,,1,,BwOo000019,,12919,Agonistic activity against 5-hydroxytryptamine 2C receptor in pig choroid plexus using [3H]mesulergine,F,,,Sus scrofa,9823.0,
2798,,1,,BAO00090q9,,12919,Agonistic activity against 5-hydroxytryptamine 2C receptor in pig choroid plexus using [3H]mesulergine,F,,,Sus scrofa,9823.0,
2799,,1,,hwO0000357,,16429,In vitro binding affinity at 5-hydroxytryptamine 2C receptor in pig choroid plexus using 3[H]mesulergine as the radioligand,B,,,Sus scrofa,9823.0,
2800,,1,,gqO0000019,,773,In Vitro Binding affinity againist 5-hydroxytryptamine 2C receptor by displacing [3H]mesulergine from pig cortex,B,,,Sus scrofa,9823.0,
2801,,1,,vAO0000r57,,5033,Ability to displace the radioligand [3H]mesulergine from pig choroid plexus 5-hydroxytryptamine 2C receptor,B,,,Sus scrofa,9823.0,
2802,,1,,BAO0900018,,12861,Binding activity against 5-hydroxytryptamine 2C receptor from pig cortex membrane using [3H]mesulergine as radioligand.,B,,,,,
2803,,1,,BAO00p00w9,,14093,Effect on phosphoinositide hydrolysis in NIH 3T3 fibroblast 5-hydroxytryptamine 2C receptor,F,,,,,
2804,,1,,BAO000034u,,14970,Binding affinity towards 5-HT2C receptor from rat using [3H]mesulergine as radioligand,B,,,,,
2805,,1,,BA00090357,,14970,Compound was tested in vitro for its binding affinity towards 5-hydroxytryptamine 2C receptor from rat using [3H]mesulergine as radioligand,B,,,,,
2806,,1,,BA90000257,,14970,Compound was tested in vitro for its binding affinity towards 5-hydroxytryptamine 2C receptor from rat using [3H]mesulergine as radioligand; Not tested,B,,,,,
2807,,1,,BAO0o90357,,14178,Inhibition of radiolabeled [3H]-Ketanserin ligand binding to 5-hydroxytryptamine 2C receptor,B,,,Rattus norvegicus,10116.0,
2808,,1,,fAO9000357,,14178,Inhibition of radiolabeled [3H]mesulergine ligand binding to 5-hydroxytryptamine 2C receptor,B,,,Rattus norvegicus,10116.0,
2809,,1,,BzO00002t9,,14229,Inhibition of [3H]mesulergine binding to 5-hydroxytryptamine 2C receptor in rat brain membranes,B,,,Rattus norvegicus,10116.0,
2810,,1,,nAO0000r57,,16532,The binding affinity at 5-hydroxytryptamine 2C receptor was determined using [3H]mesulergine; Not tested,B,,,,,
2811,,1,,BAOp0000q9,,14826,Ability to displace [3H]mesulergine bound to 5-hydroxytryptamine 2C receptor in rat cortex,B,,,,,
2812,,1,,BAOp900019,,17211,Ability to displace [3H]mesulergine (0.5 nM) from SR-3T3 cells of rat 5-HT2C receptor,B,,,,,
2813,,1,,BzO0000e19,,17211,Displacement of [3H]mesulergine (0.5 nM) from rat 5-hydroxytryptamine 2C receptor expressed in SR-3T3 cells,B,In vitro,,,,
2814,,1,bIH3T3,hAO0000319,,13246,Ability to inhibit the binding of iodine-125-labelled lysergic acid diethylamide([125I]-LSD) to the S-2C serotonin receptor in NIH3T3 cell line membranes,B,,,,,
2815,,1,,BxO000p357,,13246,Ability to inhibit the binding of iodine-125-labelled lysergic acid diethylamide([125I]-LSD) to the S-2C serotonin receptor.,B,,,,,
2816,,1,,BAp000035y,,12457,Affinity was evaluated as inhibition constant for serotonin 5-hydroxytryptamine 2C receptor,B,,,,,
2817,,1,NIHrT3,BAO0000e10,,12457,Affinity was evaluated by inhibition of [125I]LSD binding to NIH 3T3 cells transfected with cloned rat 5-hydroxytryptamine 2C receptor,B,,,,,
2818,,1,,BwOp000357,,4707,Binding affinity towards rat 5-hydroxytryptamine 2C receptor was determined using [125I]- DOI as radioligand,B,,,,,
2819,,1,,hAO0090357,,13297,Binding affinity against 5-hydroxytryptamine 2C receptor,B,,,,,
2820,,1,,BAOp00035y,,16633,Binding affinity against 5-hydroxytryptamine 2C receptor using [125I]DOI as radioligand,B,,,,,
2821,,1,,BAO0o00e57,,16133,Binding affinity against rat 5-hydroxytryptamine 2C receptor using [3H]mesulergine as radioligand,B,,,,,
2822,,1,,BzO00003r7,,16326,Binding affinity at cloned rat 5-hydroxytryptamine 2C receptor using [3H]DOI as radioligand,B,,,,,
2823,,1,,BAp0000o19,,14423,Binding affinity against 5-hydroxytryptamine 2C receptor from rat cortex using [3H]mesulergine as the radioligand.,B,,,,,
2824,,1,,BAO00090q9,,15412,Binding affinity against 5-hydroxytryptamine 2C receptor of rat cortex,B,,,,,
2825,,1,,BAO0000929,,15412,Binding affinity against 5-hydroxytryptamine 2C receptor of rat cortex.,B,,,,,
2826,,1,A9,BxO0o00219,,15558,Displacement of [3H]mesulergine from A9 cells stably expressing rat 5-hydroxytryptamine 2C receptor,B,,,,,
2827,,1,,BAk000p357,,16633,Binding affinity towards 5-hydroxytryptamine 2C receptor using [125I]DOI as radioligand,B,,,,,
2828,,1,,BqO000035y,,6013,Binding affinity towards cloned rat 5-hydroxytryptamine 2C receptor from fundus tissue by [3H]mesulergine displacement.,B,,,,,
2829,,1,,vAO0000229,,17175,Binding affinity towards rat 5-hydroxytryptamine 2C receptor expressed in A-9 cells using [3H]mesulergine as radioligand,B,In vitro,,,,
2830,,1,,BAi00p0219,,12469,Binding affinity was measured on 5-hydroxytryptamine 2C receptor in J1 cells transfected with rat 5-HT2C gene labeled with [3H]mesulergine,B,,,,,
2831,,1,,BAO0o00029,221068.0,3682,Compound was evaluated for affinity towards cerebral 5-hydroxytryptamine 2C receptor in homogenate of caudate putamen tissue from rat brain,B,,,,,
2832,,1,,fAO00p0357,,4932,Compound was evaluated for its ability to displace (+/-)[125I]-DOI from 5-hydroxytryptamine 2C receptor in cloned rat cell culture,B,,,,,
2833,,1,,BAO00000w8,,4932,Compound was evaluated for its ability to displace [125I](R)-DOI from 5-hydroxytryptamine 2C receptor in cloned rat prefrontal cortex homogenate; ND denotes no data,B,,,,,
2834,,1,,BAO0p00367,,3935,Compound was evaluated for its binding affinity for rat 5-hydroxytryptamine 2C receptor,B,,,,,
2835,,1,,BAO000034y,,15818,Compound was evaluated for its binding affinity towards rat 5-hydroxytryptamine 2C receptor,B,,,,,
2836,,1,,BAO0009257,,15818,Compound was evaluated for its binding affinity towards rat r5-hydroxytryptamine 2C receptor,B,,,,,
2837,,1,,BAp00p0219,,14749,Binding affinity against rat 5-hydroxytryptamine 2C receptor in A-9 cells.,B,,,,,
2838,,1,,BwO0p00357,,15740,Evaluated for the binding constant at [125I]-DOI-labeled rat 5-hydroxytryptamine 2C receptor,B,,,,,
2839,,1,,fAO0090357,,17133,In vitro binding to 5-hydroxytryptamine 2C receptor using [125 I]-DOI,B,,,Rattus norvegicus,10116.0,
2840,,1,,BAO0p00r57,,16532,The binding affinity at 5-hydroxytryptamine 2C receptor was determined using [3H]mesulergine,B,,,,,
2841,,1,,BsO000035y,,12369,The compound evaluated for its affinity against 5-hydroxytryptamine 2C receptor,B,,,,,
2842,,1,,BAO000022o,,12369,Affinity against 5-hydroxytryptamine 2C receptor in J1 cells transfected with the rat 5-HT2C gene labeled with [3H]mesulergine.,B,,,,,
2843,,1,,BAOp0p0019,,2309,Binding affinity against 5-hydroxytryptamine 2C receptor in rat choroid plexus using [3H]N-methyl-mesulergine,B,,,Rattus norvegicus,10116.0,
2844,,1,,nAO000o357,,12953,The compound was tested for their binding affinity towards 5-hydroxytryptamine 2C receptor,B,,,,,
2845,,1,,BAOo000018,,12953,The compound was tested for their binding affinity towards 5-hydroxytryptamine 2C receptor from rat cortex using [3H]-citalopram as radioligand; Nonactive at 10 uM,B,,,,,
2846,,1,,BAO09p0357,,12953,The compound was tested for their binding affinity towards 5-hydroxytryptamine 2C receptor using [3H]mesulergine as radioligand; Nonactive at 10 uM,B,,,,,
2847,,1,,BAO900o357,,12953,Binding affinity for 5-hydroxytryptamine 2C receptor,B,,,,,
2848,,1,,BAO00o0347,,17133,Tested in vitro for its ability to bind to 5-hydroxytryptamine 2C receptor using [125 I]-DOI as radioligand; Not determined,B,,,,,
2849,,1,,hAO0000p19,,17211,Ability to displace [3H]mesulergine (0.5 nM) from SR-3T3 cells of rat 5-hydroxytryptamine 2C receptor; NT denotes not tested,B,,,,,
2850,,1,,nzO0000019,,17211,Ability to displace [3H]mesulergine (0.5 nM) from SR-3T3 cells of rat 5-hydroxytryptamine 2C receptor; NT=not tested,B,,,,,
2851,,1,,BAO009o019,,14025,Affinity pKi for 5-hydroxytryptamine 2C receptor was measured in rat cortex homogenates.,B,,,,,
2852,,1,,BAk000o019,,14998,Binding affinity against 5-hydroxytryptamine 2C receptor in rat cortex homogenates.,B,,,,,
2853,,1,,hAO00o0357,,4342,Binding affinity of compound towards serotonin 5-hydroxytryptamine 2C receptor was determined,B,,,,,
2854,,1,,BAO00000qp,,13735,Displacement of [3H]mesulergine from rat 5-HT2C receptor expressed in HEK293,B,,,Rattus norvegicus,10116.0,
2855,,1,,BAO00o03r7,,13181,Binding affinity was determined against cloned human 5-hydroxytryptamine 2C receptor using [3H]5-HT as radioligand,B,,,,,
2856,,1,CHOm1,BAO00o9219,,1883,Compound was evaluated for displacement of [3H]mesulergine from cloned rat 5-hydroxytryptamine 2C receptor in transfected CHO-K1 cells.,B,,,,,
2857,,1,,BAO0090358,,15194,The compound was tested for the binding affinity against 5-hydroxytryptamine 2C receptor using [3H]mesulergine as radioligand,B,,,,,
2858,,1,,BAO0000368,,15194,The compound was tested for the binding affinity against 5-hydroxytryptamine 2C receptor using [3H]Mesulergine as radioligand.,B,,,,,
2859,,1,,BA9000p019,,14579,Compound tested for relative response using 0.1 uM 5-HT as agonist against 5-hydroxytryptamine 2C receptor,F,,,,,
2860,,1,,BAOoo00357,,4639,Compound was tested for binding affinity against 5-hydroxytryptamine 2C receptor,B,,,,,
2861,,1,,hAO0090357,,4820,Binding affinity towards 5-hydroxytryptamine 2C receptor,B,,,,,
2862,,1,,BAO0900367,,14442,Binding ability of compound at cloned human 5-hydroxytryptamine 2B receptor using [3H]rauwolscine as radioligand; Not Tested,B,,,,,
2863,,1,,BAO0000rt7,,14755,Binding activity against cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT as the radioligand.,B,,,,,
2864,,1,,Bw00000357,,14744,Binding affinity against the cloned human 5-hydroxytryptamine 2B receptor using [3H]5-HT as the radioligand,B,,,,,
2865,,1,,BAO00090w9,,6857,Affinity for human 5-hydroxytryptamine 2B receptor expressed in mammalian cell line,B,,,Homo sapiens,9606.0,
2866,,1,,BAO0o00r57,,16209,Binding affinity towards human 5-hydroxytryptamine 2B receptor using [3H]5-HT as radioligand,B,,,,,
2867,,1,,vAO0000367,,15363,Compound was tested for the displacement of [3H]5-HT from clone human 5-hydroxytryptamine 2B receptor,B,,,,,
2868,,1,,BwO0000457,,15363,Compound was tested for the displacement of [3H]5-HT from clone human 5-hydroxytryptamine 2B receptor,B,,,,,
2869,,1,,BAO00003ru,,15363,Compound was tested for the displacement of [3H]5-HT from cloned human 5-hydroxytryptamine 2B receptor,B,,,,,
2870,,1,,BAk0p00019,,17085,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 2B receptor,B,,,,,
2871,,1,,fAO00p0357,,17200,Inhibitory constant against cloned human 5-hydroxytryptamine 2B receptor using with [125I]- DOI radioligand,B,,,Homo sapiens,9606.0,
2872,,1,yEK293,BAO0p0021p,,15851,Displacement of [3H]5-HT from human 5-hydroxytryptamine 2B receptor expressed in HEK293 cells; ND = no data,B,,,Homo sapiens,9606.0,
2873,,1,HEKq93,BxO0090219,,15851,Displacement of [3H]ketanserin from human 5-hydroxytryptamine 2B receptor expressed in HEK293 cells; ND = no data,B,,,Homo sapiens,9606.0,
2874,,1,CHO,BAO0000q29,,6857,Relative efficacy against human 5-hydroxytryptamine 2B receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,F,,,Homo sapiens,9606.0,
2875,,1,CHO,BsO0009219,,6857,Rleative efficacy against human 5-hydroxytryptamine 2B receptor expressed in CHO cells using fluorometric imaging plate reader relative to 10 uM 5-HT,F,,,Homo sapiens,9606.0,
2876,,1,HEK2o3,BAO9000210,,15779,"Binding affinities towards human cloned 5-hydroxytryptamine 2B receptor in HEK293 cells, using [3H]5-HT as radioligand",B,,,,,
2877,,1,HEK292,gAO0009219,,15851,Binding affinities towards human cloned 5-hydroxytryptamine 2B receptor in HEK293 cells using [3H]5-HT as radioligand.,B,,,,,
2878,,1,HEK29r,vAO0000119,,15779,"Binding affinities towards human cloned 5-hydroxytryptamine 2B receptor in HEK293 cells, using [3H]5-HT as radioligand; no data",B,,,,,
2879,,1,HEK283,BAO0000q18,,14157,Displacement of [3H]5-HT from 5-hydroxytryptamine 2B receptor expressed in HEK 293 cells,B,,,Homo sapiens,9606.0,
2880,,1,HEj293,BAk000021p,,4540,Binding affinity to human cloned 5-HT2B receptor in HEK 293 cells using [3H]- -5-HT as radioligand,B,,,Homo sapiens,9606.0,
2881,,1,,BAO0p0o357,,6166,Binding affinity towards cloned human 5-hydroxytryptamine 2B receptor was determined,B,,,,,
2882,,1,HEj293,BAO00092q9,,15779,Binding affinity towards 5-hydroxytryptamine 2B receptor (human cloned receptor) in HEK 293 cells using [3H]5-HT as radioligand.,B,,,,,
2883,,1,HEK29r,fAO00002q9,,14391,Binding affinity towards cloned human 5-hydroxytryptamine 2B receptor expressed in HEK 293 cells using [3H]5-HT as radioligand,B,,,,,
2884,,1,HEK29r,BAO00p0w19,,3832,Binding affinity towards human cloned 5-HT2B receptor of HEK293 cells by displacement of [3H]5-HT,B,,,,,
2885,,1,HEj293,BA00000w19,,3833,In vitro binding affinity at human cloned 5-hydroxytryptamine 2B receptor of HEK293 cells by [3H]5-HT displacement.,B,,,,,
2886,,1,HEK29e,BAi0000w19,,15851,Displacement of [3H]5-HT from human 5-hydroxytryptamine 2B receptor expressed in HEK293 cells,B,,,Homo sapiens,9606.0,
