ASSI,CUB,ASTAI,ASSTT,SRI,TISI,ASSCA,Descr,RELATIT,ASSUBFR,CEI,Ti,CONSCO,SRASI,CHI,BFOR,VARII
9663,Intermediate,10116.0,,1,,,Plasma concentration was calculated in rats at a peroral dose of 5 mg/kg of solution (formulation of compound),N,,,50597,1,,CHEMBL622693,BAO_0000218,
9664,Intermediate,10116.0,,1,,,Plasma concentration was calculated in rats at a peroral dose of 5 mg/kg of suspension (formulation of compound),N,,,50597,1,,CHEMBL622694,BAO_0000218,
9665,Intermediate,10116.0,,1,,,"Plasma concentration was determined in rats at 10 mg/kg, p.o. dose",N,,,50597,1,,CHEMBL622695,BAO_0000218,
9666,Intermediate,10116.0,,1,,,"Plasma concentration was determined in rats at 20 mg/kg, i.p. dose",N,,,50597,1,,CHEMBL622696,BAO_0000218,
9667,Intermediate,10116.0,,1,,,"Plasma concentration was determined in rats at 2 mg/kg, i.v. dose",N,,,50597,1,,CHEMBL622697,BAO_0000218,
9668,Intermediate,10116.0,,1,,,"Reduction in area under curve was determined in fa/fa Zucker rats by oral glucose tolerance test following a single i.p. dose (20 mg/kg, 30 min pre-treatment)",N,,,50597,1,,CHEMBL622874,BAO_0000218,
9669,Intermediate,10116.0,,1,,,"Reduction in area under curve was determined in fa/fa Zucker rats by oral glucose tolerance test following a single i.p. dose (30 mg/kg, 30 min pre-treatment)",N,,,50597,1,,CHEMBL622875,BAO_0000218,
9670,Intermediate,10116.0,,1,,,Suppressor cell activity was measured as area under curve(AUC) in normal rats by a splenic cell coculture assay at a dose of 30 mg/kg; Not significant,N,,,50597,1,,CHEMBL622876,BAO_0000218,
9671,Intermediate,10116.0,,1,,,Systemic AUC was determined by pharmacokinetic study conducted in portal vein cannulated rats,N,,,50597,1,,CHEMBL622877,BAO_0000218,
9672,Intermediate,10116.0,,1,,,Tested for concentration in brain after intravenous administration (4.7 mg/kg) to male rats,N,,,50597,1,,CHEMBL622878,BAO_0000218,
9673,Intermediate,10116.0,,1,1969.0,,Tested for plasma concentration after intravenous administration (4.7 mg/kg) to male rats,N,,,50597,1,,CHEMBL622879,BAO_0000218,
9674,Intermediate,10116.0,,1,,,Tested for the pharmacokinetic parameter in rat and expressed as area under curve,N,,,50597,1,,CHEMBL877602,BAO_0000218,
9675,Intermediate,10116.0,,1,,,"The AUC(0-infinitive) value in female wistar rat at 100 mg/kg, p.o. dose",N,,,50597,1,,CHEMBL622880,BAO_0000218,
9676,Intermediate,10116.0,,1,,,"The AUC(0-infinitive) value in male wistar rat at 100 mg/kg, p.o. dose",N,,,50597,1,,CHEMBL622881,BAO_0000218,
9677,Intermediate,10116.0,,1,,,"The AUC(0-t)value in female wistar rat at 100 mg/kg, p.o. dose",N,,,50597,1,,CHEMBL622882,BAO_0000218,
9678,Intermediate,10116.0,,1,,,"The AUC(0-t)value in male wistar rat at 100 mg/kg, p.o. dose",N,,,50597,1,,CHEMBL622883,BAO_0000218,
9679,Intermediate,10116.0,,1,2046.0,,"Distribution of the radioiodinated compound expressed as percent dose per organ, in thyroid of unfasted rats after 60 mins of intravenous administration (10.7 uCi/animal); value ranges from 2.16-2.39% dose/g",N,,,50597,1,,CHEMBL622884,BAO_0000218,
9680,Intermediate,10116.0,,1,2046.0,,"Distribution of the radioiodinated compound expressed as percent dose per organ, in thyroid of unfasted rats after 60 mins of intravenous administration (11.5 uCi/animal); value ranges from 0.99-1.40 % dose/g",N,,,50597,1,,CHEMBL622885,BAO_0000218,
9681,Intermediate,10116.0,,1,,,Antidiuretic activity expressed as K(+) (potassium) excreted in milli equivalents was reported for a duration of 5 hours after administration of a dose of 100 mg/Kg.,N,,,50597,1,,CHEMBL622886,BAO_0000218,
9682,Intermediate,10116.0,,1,,,Antidiuretic activity expressed as Na+(sodium) excreted in milli equivalents was reported for a duration of 5 hours after administration of a dose of 100 mg/Kg,N,,,50597,1,,CHEMBL622887,BAO_0000218,
9683,Intermediate,10116.0,,1,1088.0,,Antidiuretic activity was determined expressed as volume of urine excreted in mL was reported at a dose of 100 mg/Kg,N,,,50597,1,,CHEMBL622888,BAO_0000218,
9684,Intermediate,10116.0,In vivo,1,178.0,,"Biodistribution in Sprague-Dawley rat blood 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622889,BAO_0000218,
9685,Intermediate,10116.0,In vivo,1,178.0,,"Biodistribution in Sprague-Dawley rat blood 15 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL622890,BAO_0000218,
9686,Intermediate,10116.0,In vivo,1,178.0,,"Biodistribution in Sprague-Dawley rat blood 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622891,BAO_0000218,
9687,Intermediate,10116.0,In vivo,1,178.0,,"Biodistribution in Sprague-Dawley rat blood 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL877603,BAO_0000218,
9688,Intermediate,10116.0,In vivo,1,955.0,,"Biodistribution in Sprague-Dawley rat brain 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622892,BAO_0000218,
9689,Intermediate,10116.0,In vivo,1,955.0,,"Biodistribution in Sprague-Dawley rat brain 15 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL622893,BAO_0000218,
9690,Intermediate,10116.0,In vivo,1,955.0,,"Biodistribution in Sprague-Dawley rat brain 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622894,BAO_0000218,
9691,Intermediate,10116.0,In vivo,1,955.0,,"Biodistribution in Sprague-Dawley rat brain 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL622895,BAO_0000218,
9692,Intermediate,10116.0,In vivo,1,955.0,,Biodistribution in Sprague-Dawley rat brain 2 minutes after intravenous administration.,N,,,50597,1,,CHEMBL622896,BAO_0000218,
9693,Intermediate,10116.0,In vivo,1,948.0,,"Biodistribution in Sprague-Dawley rat heart 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622897,BAO_0000218,
9694,Intermediate,10116.0,In vivo,1,948.0,,"Biodistribution in Sprague-Dawley rat heart 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622898,BAO_0000218,
9695,Intermediate,10116.0,In vivo,1,948.0,,"Biodistribution in Sprague-Dawley rat heart 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL622899,BAO_0000218,
9696,Intermediate,10116.0,In vivo,1,2113.0,,"Biodistribution in Sprague-Dawley rat kidneys(2) 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622900,BAO_0000218,
9697,Intermediate,10116.0,In vivo,1,2113.0,,"Biodistribution in Sprague-Dawley rat kidneys(2) 15 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL624114,BAO_0000218,
9698,Intermediate,10116.0,In vivo,1,2113.0,,"Biodistribution in Sprague-Dawley rat kidneys(2) 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL624115,BAO_0000218,
9699,Intermediate,10116.0,In vivo,1,2113.0,,"Biodistribution in Sprague-Dawley rat kidneys(2) 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL624116,BAO_0000218,
9700,Intermediate,10116.0,In vivo,1,2107.0,,"Biodistribution in Sprague-Dawley rat liver 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL624117,BAO_0000218,
9701,Intermediate,10116.0,In vivo,1,2107.0,,"Biodistribution in Sprague-Dawley rat liver 15 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL624118,BAO_0000218,
9702,Intermediate,10116.0,In vivo,1,2107.0,,"Biodistribution in Sprague-Dawley rat liver 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL624119,BAO_0000218,
9703,Intermediate,10116.0,In vivo,1,2107.0,,"Biodistribution in Sprague-Dawley rat liver 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL624120,BAO_0000218,
9704,Intermediate,10116.0,In vivo,1,2048.0,,"Biodistribution in Sprague-Dawley rat lungs(2) 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL624121,BAO_0000218,
9705,Intermediate,10116.0,In vivo,1,2048.0,,"Biodistribution in Sprague-Dawley rat lungs(2) 15 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL624122,BAO_0000218,
9706,Intermediate,10116.0,In vivo,1,2048.0,,"Biodistribution in Sprague-Dawley rat lungs(2) 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL624123,BAO_0000218,
9707,Intermediate,10116.0,In vivo,1,2048.0,,"Biodistribution in Sprague-Dawley rat lungs(2) 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL624124,BAO_0000218,
9708,Intermediate,10116.0,In vivo,1,2385.0,,"Biodistribution in Sprague-Dawley rat muscle 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL624125,BAO_0000218,
9709,Intermediate,10116.0,In vivo,1,2385.0,,"Biodistribution in Sprague-Dawley rat muscle 15 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL624126,BAO_0000218,
9710,Intermediate,10116.0,In vivo,1,2385.0,,"Biodistribution in Sprague-Dawley rat muscle 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL624127,BAO_0000218,
9711,Intermediate,10116.0,In vivo,1,2385.0,,"Biodistribution in Sprague-Dawley rat muscle 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL624128,BAO_0000218,
9712,Intermediate,10116.0,In vivo,1,14.0,,"Biodistribution in Sprague-Dawley rat skin 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL624129,BAO_0000218,
9713,Intermediate,10116.0,In vivo,1,14.0,,"Biodistribution in Sprague-Dawley rat skin 15 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL624130,BAO_0000218,
9714,Intermediate,10116.0,In vivo,1,14.0,,"Biodistribution in Sprague-Dawley rat skin 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622340,BAO_0000218,
9715,Intermediate,10116.0,In vivo,1,14.0,,"Biodistribution in Sprague-Dawley rat skin 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL622341,BAO_0000218,
9716,Intermediate,10116.0,In vivo,1,160.0,,"Biodistribution in Sprague-Dawley rat small intestine 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622342,BAO_0000218,
9717,Intermediate,10116.0,In vivo,1,160.0,,"Biodistribution in Sprague-Dawley rat small intestine 15 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL622343,BAO_0000218,
9718,Intermediate,10116.0,In vivo,1,160.0,,"Biodistribution in Sprague-Dawley rat small intestine 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622344,BAO_0000218,
9719,Intermediate,10116.0,In vivo,1,160.0,,"Biodistribution in Sprague-Dawley rat small intestine 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL622345,BAO_0000218,
9720,Intermediate,10116.0,In vivo,1,2106.0,,"Biodistribution in Sprague-Dawley rat spleen 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622346,BAO_0000218,
9721,Intermediate,10116.0,In vivo,1,2106.0,,"Biodistribution in Sprague-Dawley rat spleen 15 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL622347,BAO_0000218,
9722,Intermediate,10116.0,In vivo,1,2106.0,,"Biodistribution in Sprague-Dawley rat spleen 2 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",N,,,50597,1,,CHEMBL622348,BAO_0000218,
9723,Intermediate,10116.0,In vivo,1,2106.0,,"Biodistribution in Sprague-Dawley rat spleen 2 minutes after intravenous administration, [99mTc]/[125I]IAP ratio)",N,,,50597,1,,CHEMBL622349,BAO_0000218,
9724,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 30 min.,N,,,50597,1,,CHEMBL622350,BAO_0000218,
9725,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min.,N,,,50597,1,,CHEMBL622351,BAO_0000218,
9726,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min.,N,,,50597,1,,CHEMBL622352,BAO_0000218,
9727,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of anti-[18F]FMACBC after 120 min.,N,,,50597,1,,CHEMBL622353,BAO_0000218,
9728,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of anti-[18F]FMACBC after 30 min.,N,,,50597,1,,CHEMBL622354,BAO_0000218,
9729,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of anti-[18F]FMACBC after 5 min.,N,,,50597,1,,CHEMBL622355,BAO_0000218,
9730,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of anti-[18F]FMACBC after 60 min.,N,,,50597,1,,CHEMBL622356,BAO_0000218,
9731,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of syn-[18F]-FMACBC after 120 min.,N,,,50597,1,,CHEMBL622357,BAO_0000218,
9732,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of syn-[18F]-FMACBC after 30 min.,N,,,50597,1,,CHEMBL622358,BAO_0000218,
9733,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of syn-[18F]-FMACBC after 5 min.,N,,,50597,1,,CHEMBL622359,BAO_0000218,
9734,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of normal fischer rat after injection of syn-[18F]-FMACBC after 60 min.,N,,,50597,1,,CHEMBL874393,BAO_0000218,
9735,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min,N,,,50597,1,,CHEMBL622872,BAO_0000218,
9736,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min,N,,,50597,1,,CHEMBL622873,BAO_0000218,
9737,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min,N,,,50597,1,,CHEMBL623047,BAO_0000218,
9738,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 120 min,N,,,50597,1,,CHEMBL623048,BAO_0000218,
9739,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,N,,,50597,1,,CHEMBL623049,BAO_0000218,
9740,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,N,,,50597,1,,CHEMBL623050,BAO_0000218,
9741,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,N,,,50597,1,,CHEMBL623051,BAO_0000218,
9742,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,N,,,50597,1,,CHEMBL623052,BAO_0000218,
9743,Intermediate,10116.0,,1,,,Radioactivity distribution in testis of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,N,,,50597,1,,CHEMBL626343,BAO_0000218,
9744,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,N,,,50597,1,,CHEMBL626344,BAO_0000218,
9745,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,N,,,50597,1,,CHEMBL626345,BAO_0000218,
9746,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,N,,,50597,1,,CHEMBL626346,BAO_0000218,
9747,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min,N,,,50597,1,,CHEMBL626347,BAO_0000218,
9748,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min,N,,,50597,1,,CHEMBL626348,BAO_0000218,
9749,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min,N,,,50597,1,,CHEMBL626349,BAO_0000218,
9750,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 120 min,N,,,50597,1,,CHEMBL626350,BAO_0000218,
9751,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,N,,,50597,1,,CHEMBL626351,BAO_0000218,
9752,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,N,,,50597,1,,CHEMBL627650,BAO_0000218,
9753,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,N,,,50597,1,,CHEMBL627651,BAO_0000218,
9754,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,N,,,50597,1,,CHEMBL627652,BAO_0000218,
9755,Intermediate,10116.0,,1,,,Radioactivity distribution in tumor of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,N,,,50597,1,,CHEMBL627653,BAO_0000218,
9756,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat blood at 1 hr blocked time interval,N,,,50597,1,,CHEMBL627654,BAO_0000218,
9757,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat blood at 1 hr low time interval,N,,,50597,1,,CHEMBL627835,BAO_0000218,
9758,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat blood at 1 hr time interval,N,,,50597,1,,CHEMBL627836,BAO_0000218,
9759,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat blood at 3 hr time interval,N,,,50597,1,,CHEMBL627837,BAO_0000218,
9760,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat bone at 1 hr blocked time interval,N,,,50597,1,,CHEMBL627838,BAO_0000218,
9761,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat bone at 1 hr low time interval,N,,,50597,1,,CHEMBL875338,BAO_0000218,
9762,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat bone at 1 hr time interval,N,,,50597,1,,CHEMBL627839,BAO_0000218,
9763,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat bone at 3 hr time interval,N,,,50597,1,,CHEMBL627840,BAO_0000218,
9764,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat brain at 1 hr blocked time interval,N,,,50597,1,,CHEMBL627841,BAO_0000218,
9765,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat brain at 1 hr low time interval,N,,,50597,1,,CHEMBL627842,BAO_0000218,
9766,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat brain at 1 hr time interval,N,,,50597,1,,CHEMBL627843,BAO_0000218,
9767,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat brain at 3 hr time interval,N,,,50597,1,,CHEMBL627844,BAO_0000218,
9768,Intermediate,10116.0,,1,,,Tissue biodistribution into estrogen-primed immature female rat fat at 1 hr blocked time interval,N,,,50597,1,,CHEMBL627845,BAO_0000218,
9769,Intermediate,10116.0,In vivo,1,,,Half life period in rat by iv administration at a dose of 3 mg/kg,N,,,50597,1,,CHEMBL627846,BAO_0000218,
9770,Intermediate,10116.0,,1,1969.0,,Half life period in rat plasma at 25 degree Centigrade temperature (pH 7.4),N,,,50597,1,,CHEMBL627847,BAO_0000218,
9771,Intermediate,10116.0,,1,1969.0,,Half life period in rat plasma at 37 degree Celsius temperature (pH 7.4),N,,,50597,1,,CHEMBL873821,BAO_0000218,
9772,Intermediate,10116.0,,1,1969.0,,Half life period in rat plasma at 37 degree Celsius temperature (pH 7.4); ND means no data,N,,,50597,1,,CHEMBL626079,BAO_0000218,
9773,Intermediate,10116.0,,1,1969.0,,Half life period in rat plasma at 37 degree Celsius temperature (pH 7.4); ND means no data,N,,,50597,1,,CHEMBL626080,BAO_0000218,
9774,Intermediate,10116.0,,1,1969.0,,Half life period was evaluated in rat plasma,N,,,50597,1,,CHEMBL626081,BAO_0000218,
9775,Intermediate,10116.0,,1,1969.0,,Half life period was evaluated in rat plasma; Not tested,N,,,50597,1,,CHEMBL875344,BAO_0000218,
9776,Intermediate,10116.0,,1,,,Half life period was evaluated in rats,N,,,50597,1,,CHEMBL626082,BAO_0000218,
9777,Intermediate,10116.0,In vivo,1,,,"Half life period was evaluated in rats, iv",N,,,50597,1,,CHEMBL626250,BAO_0000218,
9778,Intermediate,10116.0,In vivo,1,,,Half life period after intravenous administration at 5 mg/kg in rat,N,,,50597,1,,CHEMBL626251,BAO_0000218,
9779,Intermediate,10116.0,In vivo,1,,,Half life period was determined in Sprague-Dawley rats at a dose of 1 mg/kg by iv administration,N,,,50597,1,,CHEMBL626252,BAO_0000218,
9780,Intermediate,10116.0,In vivo,1,,,Half life period was determined in rat after iv administration at a dose of 5 mg/kg,N,,,50597,1,,CHEMBL626253,BAO_0000218,
9781,Intermediate,10116.0,,1,1969.0,,Half life stability of compound was evaluated in rat plasma,N,,,50597,1,,CHEMBL626254,BAO_0000218,
9782,Intermediate,10116.0,In vivo,1,,,Half life time after intravenous administration (5.0 mg/kg) was determined in rat,N,,,50597,1,,CHEMBL626255,BAO_0000218,
9783,Intermediate,10116.0,In vivo,1,,,Half life time was evaluated at 1 mg/kg of iv administration in Sprague-Dawley rats,N,,,50597,1,,CHEMBL626256,BAO_0000218,
9784,Intermediate,10116.0,In vivo,1,,,Half life was determined by administering the compound intravenously at a dose of 1 mg/kg in male wistar rat,N,,,50597,1,,CHEMBL626257,BAO_0000218,
9785,Intermediate,10116.0,In vivo,1,,,Half life was determined by administering the compound intravenously at a dose of 1 mg/kg in male wistar rat; NC means not calculated,N,,,50597,1,,CHEMBL626258,BAO_0000218,
9786,Intermediate,10116.0,In vivo,1,,,Half life was measured in fasted male administration of compound 0.5 mg/Kg i.v.,N,,,50597,1,,CHEMBL626259,BAO_0000218,
9787,Intermediate,10116.0,In vivo,1,,,Half in rat i.v.,N,,,50597,1,,CHEMBL626260,BAO_0000218,
9788,Intermediate,10116.0,In vivo,1,,,Half period in rat after intravenous administration,N,,,50597,1,,CHEMBL875345,BAO_0000218,
9789,Intermediate,10116.0,In vivo,1,,,Half-life after repeated oral dose of compound at 1 mg/kg in rats,N,,,50597,1,,CHEMBL626261,BAO_0000218,
9790,Intermediate,10116.0,In vitro,1,2107.0,,Half-life measured in in vitro Cathepsin B assay in rat liver,N,,,50597,1,,CHEMBL626262,BAO_0000218,
9791,Intermediate,10116.0,,1,,,Half-life of compound was determined in rats,N,,,50597,1,,CHEMBL626263,BAO_0000218,
9792,Intermediate,10116.0,In vivo,1,,,Half-life at 10 mg/kg in rat upon intravenous administration,N,,,50597,1,,CHEMBL625270,BAO_0000218,
9793,Intermediate,10116.0,,1,,,Half-life determined in rat,N,,,50597,1,,CHEMBL625271,BAO_0000218,
9794,Intermediate,10116.0,,1,,,Half-life determined in rat,N,,,50597,1,,CHEMBL625272,BAO_0000218,
9795,Intermediate,10116.0,In vivo,1,955.0,,Half-life in brain after intravenous administration (4.7 mg/kg) to male rats,N,,,50597,1,,CHEMBL625273,BAO_0000218,
9796,Intermediate,10116.0,,1,1969.0,,"Half-life in chemical and enzymatic hydrolysis, in 80% rat plasma",N,,,50597,1,,CHEMBL625274,BAO_0000218,
9797,Intermediate,10116.0,In vivo,1,,,Half-life in male Sprague-Dawley rats following an intravenous bolus dose at 10-20 mg/kg,N,,,50597,1,,CHEMBL625275,BAO_0000218,
9798,Intermediate,10116.0,In vivo,1,1969.0,,Half-life in plasma after intravenous administration (4.7 mg/kg) to male rats,N,,,50597,1,,CHEMBL625276,BAO_0000218,
9799,Intermediate,10116.0,,1,1969.0,,Half-life in rat plasma,N,,,50597,1,,CHEMBL625277,BAO_0000218,
9800,Intermediate,10116.0,,1,1969.0,,Half-life in rat plasma was determined,N,,,50597,1,,CHEMBL625278,BAO_0000218,
9801,Intermediate,10116.0,,1,1969.0,,Half-life in rat plasma; Not tested,N,,,50597,1,,CHEMBL625279,BAO_0000218,
9802,Intermediate,10116.0,,1,1977.0,,Half-life in rat serum,N,,,50597,1,,CHEMBL625280,BAO_0000218,
9803,Intermediate,10116.0,,1,1977.0,,Half-life in rat serum; na is not available,N,,,50597,1,,CHEMBL876797,BAO_0000218,
9804,Intermediate,10116.0,,1,,,Half-life was calculated in rat,N,,,50597,1,,CHEMBL625281,BAO_0000218,
9805,Intermediate,10116.0,,1,1969.0,,Half-life was calculated in rat plasma,N,,,50597,1,,CHEMBL873827,BAO_0000218,
9806,Intermediate,10116.0,,1,,,Half-life was determined,N,,,50597,1,,CHEMBL625282,BAO_0000218,
9807,Intermediate,10116.0,,1,,,Half-life was determined,N,,,50597,1,,CHEMBL625283,BAO_0000218,
9808,Intermediate,10116.0,In vivo,1,,,Half-life after administration of 20 mg/Kg oral dose in rat,N,,,50597,1,,CHEMBL625284,BAO_0000218,
9809,Intermediate,10116.0,In vivo,1,,,Half-life after administration of 3.2 mg/kg intravenously in male rat,N,,,50597,1,,CHEMBL625285,BAO_0000218,
9810,Intermediate,10116.0,In vivo,1,,,Half-life after intravenous administration in female rat,N,,,50597,1,,CHEMBL625286,BAO_0000218,
9811,Intermediate,10116.0,In vivo,1,,,Half-life after intravenous administration in male rat,N,,,50597,1,,CHEMBL625287,BAO_0000218,
9812,Intermediate,10116.0,In vivo,1,,,Half-life after intravenous dose in rat,N,,,50597,1,,CHEMBL625288,BAO_0000218,
9813,Intermediate,10116.0,,1,2107.0,,Half-life in a rat liver homogenate preparation,N,,,50597,1,,CHEMBL625289,BAO_0000218,
9814,Intermediate,10116.0,,1,1969.0,,Half-life in plasma of rat,N,,,50597,1,,CHEMBL625290,BAO_0000218,
