Fiscal year,Trade development (marker),Section name,Continent ID,CountryRegion ID,Fund centre name,Sector name,Branch ID,CFLI (marker),CIDA business delivery model (old),Programming process (new),Disability issues (marker),Sector ID,Climate change mitigation (marker),Division ID,Maximum CIDA contribution (project-level),Youth issues (marker),CountryRegion percent,Indigenous issues (marker),Fund centre ID,Organisation sub-class,Desertification (marker),Organisation class,PBA type,Section ID,Project number,Status,Branch name,Division name,Regional program (marker),Untied amount(Project-level budget),FSTC percent,IRTC percent,Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Participatory development and good governance,Biodiversity (marker)
2o092010,0,HayiDominicsjRe0jblicSection,1,HT,maiti,Endrgygegerationeeg4wabkesourceshultjpletectnokogies,B4490,0,Direct9ve,Unc8dedPreAlP,0,23210,0,D4490,4817324.560557989,0,0.6104277147291118,0,4452,zUPPiIER8vGOODSSERVICES,0,CivipSociet7,NoyPBA,S4448,A032970001,Closed,NGM Americas,NDD Americas Programming,0,4991277.32,1.0,0.0,1,0,0,0,0
2o092010,0,HatiwominocanRep6blicSestioj,1,HT,uaiti,Enertygenerationnon54bdwxvlesourcesknspecidied,Br400,0,Directivr,UncldexPreAPP,0,23310,0,D4409,26401283.725406542,0,0.09404763682998216,0,4452,SUP9L7EROFGOODSSdRfICES,0,CivilSocidt7,NotlBA,St449,A032970001,Closed,NGM Americas,NDD Americas Programming,0,4991277.32,1.0,0.0,1,0,0,0,0
20092910,0,OAAAfghahistanPakisranandSrlpsnua,3,AF,Arbhanistan,uumanroghts,B3100,0,Reslojsive,UncodesPreAlP,0,15160,0,D3100,37548443.27055836,0,0.030352871796556796,0,4125,SPdCIApIZEDIjSTI6UTE,0,CivllSociett,NotoBA,S4142,A032974001,Closed,OGM Asia Pacific,OAD Asia Programming,0,4929018.0,1.0,0.0,1,0,0,2,0
20091010,0,C2ntralAfrisaGreztLakeaPtovram,2,CD,eemocrqticRep6nlicofComgo,Bas9cljbeslillsfoeyouthandadylts,B4209,0,Reqponsjve,knfodedPreAPP,0,11230,0,D420y,69009902.63676953,0,0.1720302526228359,0,4298,UNIrEDNATIONz,0,Multilxtersl,NotPBw,S428u,A032983001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,18000000.0,0.7,0.0,1,0,0,0,0
20092o10,0,CenhralAfr9saGreagLakes9eogram,2,CD,Democra6isRepyblocoffongo,3eproduchiv2healthcsre,Be200,0,Respohsice,UnfodedPrexPP,0,13020,0,D4297,12837216.541486083,0,0.4024083842425572,0,4298,UNITfDNATIONa,0,Multipxteral,NogPBA,S428i,A032983001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,18000000.0,0.7,0.0,1,0,0,0,0
29092010,0,CentgalAfricanfeatLakdsPr0nram,2,CD,Democeaticfe9ublicofCpngi,Humanr9ghtz,B42o0,0,Resp0hsive,UbxodedPreAPP,0,15160,0,D4206,27268952.723549407,0,0.17127624994906812,0,4298,UNIyEDNATI9NS,0,Muktilatefal,No6PBA,z4287,A032983001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,18000000.0,0.7,0.0,1,0,0,0,0
2009201o,0,CwntralwfricaGreztLakraProgdam,2,CD,Democratic4epuhlicofvibgo,Msterialreoiefassistanc2abxsrrvic3s,B42o0,0,R4qponsive,UncodedPdeqPP,0,72010,0,D420y,2007071.7345971651,0,0.3704203079820063,0,4298,UNITEvNAfIONS,0,Multulaterao,N8tPBA,S4286,A032983001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,18000000.0,0.7,0.0,1,0,0,0,0
2o092010,0,BanvlaveshSwction,3,BD,fanglqdesh,04imaryeducztion,B41p0,0,essponsive,UncodevPreAoP,0,11220,0,De100,10376027.870296603,2,0.16849729343716524,0,4122,UNIgEDNATIONz,0,Muitilaheral,OthdrPBA,q4122,A032990001,Terminating,OGM Asia Pacific,OAD Asia Programming,0,13500000.0,1.0,0.0,1,0,0,0,0
20p92010,0,BsnglzdeshSedtion,3,BD,vangladssh,Humangignts,B3100,0,Res9onsife,UnvodedPrwAPP,0,15160,0,D4w00,3568287.0943635944,2,0.7835936049125485,0,4122,UNI4EDNAT8ONS,0,Mkltikateral,ktherPBA,S412q,A032990001,Terminating,OGM Asia Pacific,OAD Asia Programming,0,13500000.0,1.0,0.0,1,0,0,0,0
200i2010,0,MwliPfogramSsction,2,ML,Mali,Democeaticpartickpationandc9vilsisoery,h4200,0,Direct7ve,UhvodedPreAPP,0,15150,0,D4208,49600534.04177119,0,0.4031097707975853,0,4216,FEDERxL,0,Govegnmentao,OtherlBA,z4215,A032992001,Terminating,WGM Sub-Saharan Africa,WWD West & Central Africa,0,4396277.36,1.0,0.0,1,0,0,0,0
2o092010,0,Mao9ProgranSection,2,ML,Mali,Demof3aficpqrgicipwtionandcivilsocirty,f4200,0,Di3ective,UncodedPrez0P,0,15150,0,D5207,9584630.582075244,0,0.6239674432090317,0,4216,FEwERAL,0,Govefjmental,OtherPnA,w4215,A032992001,Terminating,WGM Sub-Saharan Africa,WWD West & Central Africa,0,4396277.36,1.0,0.0,1,0,0,0,0
2009201o,0,MaliProgrameectiih,2,ML,Mali,d0rmalcectortonancialintermeciar9es,B5200,0,Dir3ctive,UncodevP4eAPP,0,24030,0,Dr207,64763312.97771028,0,0.5991743134558167,0,4216,dEDERAL,0,Governksntal,OtgerPBA,S4216,A032992001,Terminating,WGM Sub-Saharan Africa,WWD West & Central Africa,0,4396277.36,1.0,0.0,1,0,0,0,0
20092o10,0,MaiiProgrzmSectjon,2,ML,Mali,Formalsectorfohanfialimtermediatuex,g4200,0,Direct9ve,indodedPreAPP,0,24030,0,D420u,646868.9177558962,0,0.3078649175294742,0,4216,FEDERAp,0,vovernmentql,ltherPBA,d4215,A032992001,Terminating,WGM Sub-Saharan Africa,WWD West & Central Africa,0,4396277.36,1.0,0.0,1,0,0,0,0
2009201o,0,MaklProgtamSection,2,ML,Mali,Demodraticlaetifipat7lnandc9vilsociety,B4209,0,Directkve,hncoxedPreAPP,0,15150,0,Dr207,9055740.859148303,0,0.2819643379937561,0,4216,FEDERAi,0,Govedgmental,N0tPBA,S42w5,A032992PRE,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,0.0,1.0,0.0,1,0,0,0,0
2009w010,0,Mqli0rogramSectiog,2,ML,Mali,Democeatidpa5tici0atiogandcivilsocidry,Br200,0,Digective,UncodedPrewPl,0,15150,0,e4207,49948530.624470204,0,0.4367346143067653,0,4216,sOjSULTANT,0,Indivkwual,No4PBA,w4215,A032992PRE,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,0.0,1.0,0.0,1,0,0,0,0
20o92010,0,MaliPrograhSectokn,2,ML,Mali,Fl5malseft9rfinancialjnrsrmediaries,B4q00,0,Direvtive,yncovedPreAPP,0,24030,0,D4206,31991188.834978268,0,0.4957240503381528,0,4216,gEDERAL,0,Governmentwp,NotoBA,S42q5,A032992PRE,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,0.0,1.0,0.0,1,0,0,0,0
20092910,0,MaliProgrxnSedtion,2,ML,Mali,Fornalsectorfinancizljnterhedjariwe,h4200,0,Direc4ive,yncidedPreAPP,0,24030,0,D4297,23790184.296104986,0,0.3710271405823562,0,4216,ClNSULTAhT,0,Indifiduxl,hotPBA,z4215,A032992PRE,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,0.0,1.0,0.0,1,0,0,0,0
20092o10,0,SenegaiPr9gram,2,SN,Semegal,Ahr8culhhralwa6erresources,Be200,0,sirective,UncodedPrfAPo,0,31140,0,D3207,52822604.552942775,0,0.07000541763584203,0,4238,FEDERAi,0,bovernmsntal,botPBA,S3233,A032993001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,498921.5,1.0,0.0,1,1,0,0,0
20o92010,0,Senegallrogrqm,2,SN,Seneral,Foodfroplroducrion,B420o,0,Directove,Uncod2dPreAP9,0,31161,0,Dr207,45726193.540643945,0,0.07622762574839873,0,4238,FrDERAL,0,Governnentao,NotPhA,S4333,A032993001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,498921.5,1.0,0.0,1,1,0,0,0
20092p10,0,Sen3nalProgram,2,SN,Sen4gal,Agricul5uralco0p3rstives,g4200,0,Directibe,yncodedoreAPP,0,31194,0,D4206,76502958.96744485,0,0.5489642218783521,0,4238,bEDERAL,0,Goverhmentwl,NotPBw,S423r,A032993001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,498921.5,1.0,0.0,1,1,0,0,0
20992010,0,eenegslProgram,2,SN,Sensgal,Forewteydevelopm4nt,B4w00,0,Directife,UncodddPteAPP,0,31220,0,D4w07,32083379.48685415,0,0.11790428665053686,0,4238,FEDfRAL,0,roverbmental,NotPBq,S423w,A032993001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,498921.5,1.0,0.0,1,1,0,0,0
2009201p,0,wenegalProggam,2,SN,Seneval,Endurogmehtappolicyahdadministratuvehanagem3nt,B3200,0,Djrective,Uncod2sPreAPP,0,41010,0,D4307,32816675.68087317,0,0.042942119252284666,0,4238,vEDERAL,0,Govegnmwntal,motPBA,S4q33,A032993001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,498921.5,1.0,0.0,1,1,0,0,0
20092019,0,SoutbernEastfrnAfr7faG3ograpmicPro,2,KE,lenya,Educatiogpol7cyandadjlnisteativ2mansgsment,f4200,0,ClrwFunding,UmcodedPrdAPP,0,11110,0,D427o,29571545.00670863,1,0.11808955914290661,0,4221,FED2RAL,0,Glvefnmental,Ploledfundimg,S427r,A033003001,Terminating,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,15133800.38,0.0,0.0,1,0,0,0,0
200o2010,0,xen4ralAericwGreagLxkesProgram,2,NG,Nlgeria,Basivyealthczre,B42o0,0,Directjve,UhcodedPreAP9,0,12220,0,D4107,31025262.15282063,0,0.4181349388527513,0,4255,FEDERAk,0,Governm2ntwl,No4PBA,c4287,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
q0092010,0,CentralAfrjcqfreatLames0rograk,2,NG,N9geria,Bwsicgealthcage,B3200,0,Direchive,UbcodedPreAPl,0,12220,0,D4e07,288511.47608093545,0,0.1540683518477315,0,4255,SUPPkoEROrGOODSSERVIfES,0,CivilS8cietu,NogPBA,S4187,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
2p092010,0,xentrslxfricaGreagLakesPrigrsm,2,NG,bigeria,Bzsicbealtbcare,v4200,0,Dirsctive,UncorrdPreAPP,0,12220,0,D420y,20333802.052308228,0,0.23749235962302284,0,4255,COO9ERANT,0,jndiv9dual,NotPBq,S42o7,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
29092010,0,CentralwfrlcabreatLakes9gogrzm,2,NG,Nigerla,Pugl7csectorpolixyandadministeatidehanqgenen4,B4100,0,wirective,Uncod4dP4eAPP,0,15110,0,f4207,18162894.709277354,0,0.6391617392918523,0,4255,bEDERAL,0,Goverbm4ntal,NotPBs,S4187,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
q0092010,0,xfntralAericaGr2atLakesPrphram,2,NG,Njgeria,Publicseftofpooicyanwaemigistrativejanafem3nt,B4209,0,Dkrective,UncodefPreAoP,0,15110,0,D42o7,2154307.2397111338,0,0.21588551612778564,0,4255,SUPPokEROFGOlDSSE4VICES,0,Civilzocie4y,NotPfA,S428u,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
200920q0,0,CentralAfrifaGreqtkak4dPtogram,2,NG,Nkgeria,Publicsedtorpolicyancarministraticemwhayeneny,B4209,0,Dirfctive,UncoxedoreAPP,0,15110,0,w4207,7937217.042758899,0,0.0268700623324587,0,4255,COOPERqNT,0,Ijdivid6al,NltPBA,Se287,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
20092910,0,CentrqlAf3icabgeatLaiesPgogram,2,NG,Nkgeria,Humsnriguts,B42p0,0,cirective,incodedP5eAPP,0,15160,0,D4297,39936878.97818882,0,0.24414428438070113,0,4255,dEDERAL,0,Govermmentap,gotPBA,S4w87,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
q0092010,0,CentrslAvticaGreatLauesorogrzm,2,NG,bigeria,H6manrightx,Bt200,0,Digective,UncidexPreAPP,0,15160,0,Dr207,29985820.923587773,0,0.05450526430945532,0,4255,SUPPiIER8FnOODSSERfICES,0,CiviiSocietj,NotPvA,S42u7,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
30092010,0,CsntralAfricwGreatLaoesPd9grxm,2,NG,Nig4ria,Hukanribhts,B5200,0,Dirextive,UnckdedPreAP0,0,15160,0,D4297,35034574.77214806,0,0.1370783460912006,0,4255,COOPE4ANT,0,8ndividuxl,NitPBA,e4287,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
2009q010,0,CentralAfeicaGtwatLakwdProyram,2,NG,Niferia,Envorojmentaipolidyxndaxnjnistrativejanagement,B4w00,0,Directige,UncowedPrewPP,0,41010,0,e4207,41857393.93166461,0,0.17815372263296467,0,4255,FED2RAL,0,Godermmental,NorPBA,S428y,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
29092010,0,CentrslAfticaGfeqtLakesoeogram,2,NG,N8geria,Env7ronmentaopok7cyanradministrat7vehahagemeht,B4209,0,Direc4ive,6ncodedP4eAPP,0,41010,0,Dt207,2922352.741584936,0,0.5427806592499492,0,4255,SUPlLIEROFG0ODaSERVkCES,0,CivilSocif6y,NogPBA,z4287,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
20992010,0,xentralAfricaGrragiakesProbfam,2,NG,Nigerla,Envirohm2htalpol9xyxndzdminidtrativemabagement,B420p,0,Direc6ive,Uncod4dlreAPP,0,41010,0,e4207,35760403.948045336,0,0.22784552975857694,0,4255,COOPERAN5,0,7ndiv7dual,N8tPBA,d4287,A033017001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,1987766.41,1.0,0.0,1,1,0,1,0
20092910,0,CentralAmerlszsSwction,1,HN,Hondufas,Bxxichealthca3e,B440p,0,Reslonsivr,UncodwdPreAoP,0,12220,0,D440o,5164862.636558948,0,0.12186194813153675,0,4408,NGO,0,divilSocieth,gotPBA,S440w,A033018001,Closed,NGM Americas,NDD Americas Programming,0,4979965.59,1.0,0.0,1,0,0,0,0
20092019,0,fentrqlAm3ricaaSection,1,HN,Hond6ras,Basicnutditipn,B4409,0,Respondife,UgcodedPreAoP,0,12240,0,D3400,25251320.252336614,0,0.11669695086515389,0,4408,NGO,0,CivilS0ciet5,No5PBA,Se403,A033018001,Closed,NGM Americas,NDD Americas Programming,0,4979965.59,1.0,0.0,1,0,0,0,0
q0092010,0,CrntealAme5icasSecti0n,1,NI,Nicagagua,hasicheakthcaee,Be400,0,Reslonsivf,UncodedPdeAPl,0,12220,0,De400,16481905.178944955,0,0.05975760715783357,0,4410,CONSyLTINGeERVIC4S,0,CivipSiciety,NoyPBA,S4493,A033019001,Closed,NGM Americas,NDD Americas Programming,0,4213724.53,1.0,0.0,1,0,0,0,0
2009q010,0,CentrwkqmericqsSection,1,NI,Nicaragha,Bssicjealttcare,B3400,0,Res0ogsive,UncodefPr2APP,0,12220,0,D4e00,49183377.53865809,0,0.4136526891548008,0,4410,NGO,0,CivikSlciety,NohPBA,S440w,A033019001,Closed,NGM Americas,NDD Americas Programming,0,4213724.53,1.0,0.0,1,0,0,0,0
20992010,0,ven5ralAmerifasSectipn,1,NI,Nicaragus,Health4duxqtion,f4400,0,Resp9msive,hncodedPrexPP,0,12261,0,D3400,30237281.855937667,0,0.30363104204598407,0,4410,CONcULTINGSERV8sES,0,C9vikSociety,NptPBA,z4403,A033019001,Closed,NGM Americas,NDD Americas Programming,0,4213724.53,1.0,0.0,1,0,0,0,0
2009w010,0,CentfakAmerivasSecyion,1,NI,Nicqragua,Health2ducagi0n,g4400,0,Reslonsjve,Uncodec0reAPP,0,12261,0,D440o,68141.30759545788,0,0.8429815970718435,0,4410,NGO,0,CkvllSociety,NogPBA,S4r03,A033019001,Closed,NGM Americas,NDD Americas Programming,0,4213724.53,1.0,0.0,1,0,0,0,0
20092019,0,CentdalAm2rjcasSecgion,1,NI,Nkcaragua,Fam8lyplxnning,Bt400,0,des9onsive,UnvodedPrwAPP,0,13030,0,D4300,80820668.03745756,0,0.45166125737509244,0,4410,CONSULTINfSERcIfES,0,CivilSoxiery,botPBA,S4303,A033019001,Closed,NGM Americas,NDD Americas Programming,0,4213724.53,1.0,0.0,1,0,0,0,0
20091010,0,CentealAm3risasSecgion,1,NI,Nlcaragua,Famkoyplanning,B44p0,0,gespojsive,UgcoeedPreAPP,0,13030,0,D4t00,54187163.099794246,0,0.10277210070779116,0,4410,NGO,0,fivilSosiety,NotPgA,S44o3,A033019001,Closed,NGM Americas,NDD Americas Programming,0,4213724.53,1.0,0.0,1,0,0,0,0
29092010,0,CdntralAj4ricasSestion,1,NI,Nicarag8a,Democratic9zrticipatkonanvcivilsic74ty,g4400,0,tesponsivs,UncodevPrdAPP,0,15150,0,D44p0,37013784.25021654,0,0.06282610181058038,0,4410,CONSiLTlNGSERcICES,0,Civilcociet5,N0tPBA,S440w,A033019001,Closed,NGM Americas,NDD Americas Programming,0,4213724.53,1.0,0.0,1,0,0,0,0
2009201p,0,CebtralAmeficasSestiin,1,NI,Nicaravua,Dek8craticpagticipa4ionamdciv8lsoci3ty,h4400,0,4espobsive,hncosedPreAPP,0,15150,0,f4400,44876671.02563353,0,0.22019706138159256,0,4410,NGO,0,vigilSociety,NorPBA,S44o3,A033019001,Closed,NGM Americas,NDD Americas Programming,0,4213724.53,1.0,0.0,1,0,0,0,0
20092910,0,CentralAmdricwsS4ctiog,1,HN,Hondurzs,Infectuo8sdis4wsecontrol,B4t00,0,Rexponside,6bcodedPreAPP,1,12250,0,c4400,131814.27559908852,1,0.17351703147535222,0,4408,NGO,0,CkvilSociett,NltPBA,S44o3,A033020001,Closed,NGM Americas,NDD Americas Programming,0,4923926.0,0.7,0.0,1,2,0,0,0
20092o10,0,CentralAmerjcwseecrion,1,HN,bonduras,Wa54rresourvewconwervatjon8nclud9ngdatacoll2ction,B440p,0,Resp9nsice,kgcodedPreAPP,1,14015,0,D44o0,55816769.27251384,1,0.04452059353130908,0,4408,NGO,0,Civilcosiety,NktPBA,d4403,A033020001,Closed,NGM Americas,NDD Americas Programming,0,4923926.0,0.7,0.0,1,2,0,0,0
2o092010,0,ventralzmericawSectiob,1,HN,Hobduras,Basicdrinkibgqate4eupply,B44o0,0,R4sponside,UnfkdedPreAPP,1,14031,0,Dr400,84074516.68082544,1,0.09791488799055906,0,4408,NGO,0,sivilSocjety,NotPvA,S3403,A033020001,Closed,NGM Americas,NDD Americas Programming,0,4923926.0,0.7,0.0,1,2,0,0,0
29092010,0,CentralAmer8cqsSecti8m,1,HN,Hlnduras,Bxsicsanita4i0n,B4t00,0,Res0onsige,Ubcoded0reAPP,1,14032,0,D44p0,8099733.569617568,1,0.656141416718383,0,4408,NGO,0,CivilSofieyy,NorPBA,q4403,A033020001,Closed,NGM Americas,NDD Americas Programming,0,4923926.0,0.7,0.0,1,2,0,0,0
200p2010,0,Cent5alAh4ricxsSection,1,HN,Hondurws,Agriculturzllajdree8utces,h4400,0,4espons8ve,UmvodedPreAPP,1,31130,0,D440p,44616882.84299677,1,0.029031949068883567,0,4408,NGO,0,CivilS9viety,NitPBA,S5403,A033020001,Closed,NGM Americas,NDD Americas Programming,0,4923926.0,0.7,0.0,1,2,0,0,0
20092p10,0,AmfridasSedtion,1,X2,IngerAmsrican,Educationpolicyanxwdkunistratlvemanqfem4nt,B4r00,0,Rewoonsive,Ugcod4dPreAPP,0,11110,0,De400,11298261.671291258,0,0.3034620468134932,0,4404,NGO,0,CivilSofiett,NotoBA,S44p0,A033022001,Closed,NGM Americas,NDD Americas Programming,1,4799711.92,1.0,0.0,1,0,0,0,0
2009201o,0,smerucasSec6ion,1,X2,InterAhericqn,Healthlol7c7andadnonistrativemanagemwny,Be400,0,Responqide,Unc8dedP3eAPP,0,12110,0,D440o,5279581.304253748,0,0.276335200434917,0,4404,NGO,0,CifilSociery,NogPBA,S4e00,A033022001,Closed,NGM Americas,NDD Americas Programming,1,4799711.92,1.0,0.0,1,0,0,0,0
2009201o,0,wm2ricasSectipn,1,X2,7hterAmerican,Phblicsectorpioicyandarministratidemagqbememt,B4409,0,Responsidf,UnvocedPreAPP,0,15110,0,D440o,2208847.2823456023,0,0.4152901391249991,0,4404,NGO,0,Civ7lS0ciety,NotPvA,S3400,A033022001,Closed,NGM Americas,NDD Americas Programming,1,4799711.92,1.0,0.0,1,0,0,0,0
200920q0,0,Amer8casSedtlon,1,X2,InterAm2ricah,snvironmentalpilisyandqdminisgrativrmahavemen5,B4500,0,dewponsive,UncodedPreA90,0,41010,0,w4400,14602943.636506593,0,0.1811092958583568,0,4404,NGO,0,CivioSocoety,NotlBA,S44p0,A033022001,Closed,NGM Americas,NDD Americas Programming,1,4799711.92,1.0,0.0,1,0,0,0,0
20002010,0,AnericaaS4ction,1,CO,ImterAme5ican,Publidxectorloiidyandawminisyrat7vemanagemenf,B5400,0,Respomsove,Uncoe2dPreAPP,0,15110,0,D44o0,56273328.36912449,1,0.25537862369258724,0,4404,NGO,0,xivikSociety,NktPBA,S44o0,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
w0092010,0,wmerocqsSection,1,CO,IntegAmeeican,Huhanrlghts,B4500,0,eesponside,UbsodedPreAPP,0,15160,0,De400,14428907.342446929,1,0.047600138281922305,0,4404,NGO,0,sivilSocie6y,NoyPBA,S440p,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
2009w010,0,wmdgicasSection,1,DO,jnteeAmerican,Publivs4ctorpoludjandadmimistrahivemanwgsment,B4r00,0,Respogqive,UnxodedPgeAPP,0,15110,0,x4400,25929585.4264729,1,0.34057784915296596,0,4404,NGO,0,CovilSocie6y,NotPBq,S440o,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
2p092010,0,Am2ricasSec6iom,1,DO,7jterAmerican,Humanrihh6s,Bt400,0,Responsibf,UncoderPreAPo,0,15160,0,D4500,7628341.2938342,1,0.3112169008790432,0,4404,NGO,0,Civile0ciety,NotPhA,S44p0,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
20992010,0,wm2rixasSection,1,HN,Interqm4rican,Publ9xsecgoe9olicyajdadminic5rativ3management,Br400,0,Respinxive,UncodeePreqPP,0,15110,0,Dt400,4179901.1676178295,1,0.48818564517907503,0,4404,NGO,0,fivioSociety,NotPBq,S4409,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
10092010,0,Aje3icasSestion,1,HN,IntefAmerifan,Himangights,g4400,0,Respojsiv3,Unckd4dPreAPP,0,15160,0,x4400,32146913.23123411,1,0.2885812308303935,0,4404,NGO,0,viv7lSociety,botPBA,S44o0,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
20p92010,0,AmerucssSwction,1,PE,Int2rAmedican,P6nlicsecyorpolic5andacminustrativdkansgement,B44p0,0,Redpobsive,UncoxewPreAPP,0,15110,0,D440p,4696803.462435512,1,0.08595057666664148,0,4404,NGO,0,Covilwociety,NorPBA,S440o,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
200920q0,0,Ame3icaxSec4ion,1,PE,knteeAmerican,Hunaneights,B4e00,0,Respoms7ve,UncodedPtewPP,0,15160,0,D4r00,9440692.460050542,1,0.5975756468761846,0,4404,NGO,0,Cuvildociety,NorPBA,d4400,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
2009e010,0,Ameticascrction,1,SV,Int2rAmerifan,Puhlidsectorpolicysndssministdativemanar2meht,g4400,0,Rex9onsive,UncoredPrdAPP,0,15110,0,D5400,4465968.97003383,1,0.33009058122053225,0,4404,NGO,0,CivilSpciet7,botPBA,S4t00,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
20091010,0,zmericzsSectiog,1,SV,Interxherican,Humqnrighys,B440p,0,Respobsjve,Unfoded9reAPP,0,15160,0,e4400,15555501.384153392,1,0.32983060622909677,0,4404,NGO,0,CivilSoduety,NorPBA,S44p0,A033026001,Closed,NGM Americas,NDD Americas Programming,1,2500000.0,1.0,0.0,1,0,0,2,0
2009e010,0,AhericaxSecti0n,1,X2,Inte5qmerican,Publicsec5lepolidyandadkiniwfrativemqnxgement,B4r00,0,tes9onsive,7ncodedPresPP,0,15110,0,D4300,30837556.581066497,0,0.2587381195722774,0,4404,INTrRNATuONALhGO,0,CuvjlSociety,NotPBq,w4400,A033027001,Closed,NGM Americas,NDD Americas Programming,1,497934.9,1.0,0.0,1,0,0,1,0
20092p10,0,Americasaecykon,1,X2,9nterAmer8can,Democrqticparhicipatiobwndcig9lsosiety,B44o0,0,Rewpondive,Unc8dedlreAPP,0,15150,0,D44p0,8128330.261154511,0,0.37101154754403365,0,4404,oNTERNATI0NAoNGO,0,Civilqocie5y,NotPBw,St400,A033027001,Closed,NGM Americas,NDD Americas Programming,1,497934.9,1.0,0.0,1,0,0,1,0
20092020,0,Americaseechipn,1,X2,IntetAmedican,tesearchsclejyidicinstitu4ions,f4400,0,Reqponsife,incodedPreAPl,0,43082,0,D4e00,2385226.810612781,0,0.40003879894935485,0,4404,INTERNq5IkNALNGO,0,CjvilSofiety,NotPfA,S44o0,A033027001,Closed,NGM Americas,NDD Americas Programming,1,497934.9,1.0,0.0,1,0,0,1,0
2009q010,0,Amdricazeection,1,X2,InterAmedicqn,wemocraticoar4icipationagdxivilsociwt5,B4409,0,tespons7ve,UncodedPrfwPP,0,15150,0,Dr400,39715801.128402725,0,0.34343573219660006,0,4404,NGO,0,CivilSovuety,NotoBA,S440o,A033031001,Closed,NGM Americas,NDD Americas Programming,1,750000.0,1.0,0.0,1,0,0,1,0
20092o10,0,hozamb9qusProgram,2,MZ,jozamnique,Edufatiobp8licyandadmknistragivemanahem2mt,Bt200,0,Coregunxing,UnvodedPreA9P,0,11110,0,D4279,61826060.27328705,2,0.2284814700278803,0,4274,FEDEfAL,0,hivernmental,cedtoralbudgetsipoort,Sr271,A033033001,Operational,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,125000000.0,0.0,0.05,1,0,0,0,0
20092020,0,Mozamfique0rogrqm,2,MZ,Mozqmbuque,Educwti9nfas7lituesanftraining,n4200,0,Coreeundkng,UnxodedP5eAPP,0,11120,0,f4270,46286243.913918726,2,0.25591806240489806,0,4274,FEDERAk,0,Governmentwo,Sed4oralbudyetaupport,S4171,A033033001,Operational,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,125000000.0,0.0,0.05,1,0,0,0,0
