id,Style,ABV,Beer_Name,Brew_Factory_Name
1613,Amber Ale,5.80 %,Blind Pig Hopped-up Red,Blind Pig Brewery
1614,Witbier,-,Copper Kettle Belgian Tart Wit,Copper Kettle Brewing &#40; CO &#41;
1615,Session IPA,4.70 %,Cannonball Creek Lil _ Vic,Cannonball Creek Brewing Company
1616,Amber Ale,8.70 %,PÃµhjala / Norway Brewing Co. . Batch Zero,PÃµhjala
1617,Spice/Herb/Vegetable,4.40 %,De Molen Bed & Breakfast,Brouwerij de Molen
1618,Amber Ale,8 %,Le Magnifiche Elbana,La Petrognola / Rio Maggio
1619,Amber Ale,5.30 %,Odell Fir Na Tine,Odell Brewing Company
1620,Scottish Ale,4.70 %,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery
1621,Amber Ale,5.40 %,Obed and Isaac_s Obed_s Pride Amber Ale,Obed and Isaac_s Microbrewery and Eatery
1622,Irish Ale,4.50 %,3 Freaks Lucky Clover Red Ale,3 Freaks Brewery
1623,Amber Lager/Vienna,5.50 %,Crazy Mountain Loco Rio,Crazy Mountain Brewing Company
1624,Amber Ale,6 %,Moncada Notting Hill Red,Moncada
1625,Amber Ale,5.50 %,BÃ © ily_s Foxtail Red,BÃ © ily_s Brewing Co. .
1626,Oktoberfest/M Ã $ rzen,4.50 %,RJ King Wingwalker Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
1627,Bitter,4.10 %,Bewdley Tornado,Bewdley
1628,Amber Ale,6.50 %,Snake River Fireweed IRA,Snake River Brewing Co. .
1629,Golden Ale/Blond Ale,6 %,Brewerkz Mad Bee Honey Ale,Brewerkz
1630,Amber Lager/Vienna,6 %,Kirin Fuyu Nodogoshi Hanayagu Koku,Kirin Brewery Company
1631,Golden Ale/Blond Ale,3.60 %,Abbeydale Serenity,Abbeydale
1632,Session IPA,4.30 %,Big Bear Lake Sage Hopinion IPA,Big Bear Lake Brewing Company
1633,American Pale Ale,6 %,Cellar Rats Rat Tail Ale,Cellar Rats Brewery &#40; DebonnÃ © Vineyards &#41;
1634,Specialty Grain,4.50 %,Everards Stateside Rye,Everards
1635,American Strong Ale,7.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .
1636,Premium Lager,6.40 %,La Rouget de Lisle PrintaniÃ ¨ re,La Rouget de Lisle
1637,Amber Ale,5.30 %,Pyynikin Papabeers Ruby Jazz Ale Special Edition,Pyynikin KÃ $ sityÃ ¶ lÃ $ ispanimo
1638,American Strong Ale,10 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company
1639,Bitter,4 %,Adkin Alfred_s Elswith Ale,Adkin
1640,Berliner Weisse,4 %,7venth Sun / Red Light Red Light Let_s Go Halvsies,7venth Sun Brewery
1641,Amber Ale,4.75 %,The Livery Harbor Shores Amber,The Livery
1642,Spice/Herb/Vegetable,-,16 Mile Soulful Ginger,16 Mile Brewing Company
1643,Abt/Quadrupel,9 %,12 Degree Crimson Fog,12 Degree Brewing
1644,Pilsener,5.10 %,Vadia Loira Export,Essencia D_Alma Lda - Vadia Cervejas
1645,Amber Ale,7 %,8 Wired Tall Poppy India Red Ale,Renaissance Brewing
1646,Amber Ale,5.10 %,Red Arrow Midnite Umber Ale,Red Arrow Brewing
1647,Amber Ale,-,Bull City Movamber Moustache Ale,Bull City Burger and Brewery
1648,American Pale Ale,5 %,Covered Bridge Moustache SMaSH,Covered Bridge Brewing Company
1649,Amber Ale,7.50 %,TitanbrÃ $ u Rossa,TitanbrÃ $ u - Birrificio Artigianale Sammarinese
1650,Amber Ale,4.60 %,Pike Unite Red Rye Ale,Pike Brewing Company
1651,Amber Ale,5.50 %,Twisted Pine American Amber Ale,Twisted Pine Brewing
1652,Bitter,4.20 %,3 Rivers Manchester IPA,3 Rivers
1653,Amber Ale,5 %,On Rotation Saved By The Belma,On Rotation
1654,English Pale Ale,4.80 %,Ambar Pale Ale 1900,La Zaragozana
1655,Amber Ale,5.50 %,LTD I Dream of Amber,LTD Brewing Company
1656,Amber Ale,5.50 %,Findlay Sweet Amber Ale,Findlay Brewing Company
1657,Irish Ale,-,Clocktower Fenian Red,Clocktower Brewpub
1658,India Pale Ale &#40; IPA &#41;,6.10 %,10 Barrel Big Daddy Fresh,10 Barrel Brewing &#40; AB InBev &#41;
1659,India Pale Ale &#40; IPA &#41;,-,BarNone Red Eye IPA,BarNone Brewing
1660,Amber Ale,6.30 %,Highlands Hollow 3 Speed,Highlands Hollow
1661,American Strong Ale,8.50 %,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Edge Brewing Company
1662,American Strong Ale,7.30 %,BJ_s Barrel Aged Jeremiah Red,BJ_s Restaurant & Brewhouse
1663,Premium Bitter/ESB,5.30 %,Marthas Will_s Fault Wicked Good Beah,Marthas Exchange Restaurant and Brewing
1664,Saison,7 %,Snake River Danimal_s Farmhouse Saison,Snake River Brewing Co. .
1665,Amber Ale,-,Brewbakers Red Hawk Ale,Brewbakers Brewing Company
1666,Amber Ale,6.10 %,ManRock Fear The Reaper Amber,ManRock Brewing Company
1667,Amber Ale,-,Bulldog Roby Red Ale,Bulldog Brewing Company
1668,American Pale Ale,5.60 %,Asheville United Pale Ale,Asheville Brewing Company
1669,Bitter,4.20 %,Brewster_s Red Hop Lover,Brewster_s &#40; UK &#41;
1670,Amber Ale,4.50 %,Angel City Belligerent Bloke &#40; 4.5 % &#41;,Angel City Brewing Company
1671,India Pale Ale &#40; IPA &#41;,6.30 %,Beer & Burger No. 2 India Pale Ale,Old Town Brewery &#40; formerly Motala Brygghus &#41;
1672,Amber Ale,5.20 %,St. George Fishbones Amber Ale,St. George Brewing Company
1673,Amber Ale,6 %,Tempest A Face With No Name,Tempest Brew Co
1674,Amber Ale,5.50 %,Le Saint Graal Flashwood,Le Saint Graal
1675,Session IPA,4.50 %,Crux Experimental Off Leash,Crux Fermentation Project
1676,Bitter,4.50 %,Brains Open Casket,Brains
1677,Amber Ale,7.30 %,Birdsview Amber Lushus,Birdsview Brewing Company
1678,India Pale Ale &#40; IPA &#41;,6 %,Mammoth / June Lake Swordfight IRA,Mammoth Brewing Company
1679,American Strong Ale,8.79 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery
1680,Amber Ale,5.40 %,Caldera No Grain No Pain,Caldera Brewing Company
1681,Amber Ale,4.60 %,Fat Bottom Ruby Red American Ale,Fat Bottom Brewery
1682,American Strong Ale,8.60 %,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company
1683,Amber Ale,5.40 %,Whetstone Station Waimea Wonders,Whetstone Station
1684,Amber Ale,5.90 %,Knucklehead Ehret_s Amber Ale,Knucklehead Craft Brewing
1685,Amber Ale,6 %,Liquid Riot Jewel Box Bronze,Liquid Riot Bottling Company
1686,English Strong Ale,8 %,Olivers Shot Down in Flames,Oliver Breweries
1687,Amber Ale,5.20 %,Lighthouse Race Rocks Ale,Lighthouse Brewing &#40; Canada &#41;
1688,Amber Lager/Vienna,5 %,Amber_s Honey Brown,Alley Kat Brewing Company
1689,Amber Ale,6.20 %,508 Brollaboration Series # 2 - Hamber,508 Gastrobrewery
1690,Amber Ale,-,Draught House Nut Bush Ale,Draught House Pub & Brewery
1691,Amber Ale,6 %,Katabatic Anabatic Amber,Katabatic Brewing Company
1692,Amber Ale,5.70 %,Pismo Roadster Red Ale,Pismo Brewing Company
1693,Amber Ale,5 %,Brutal Brewing Texas State Of Mind Austin Amber,Spendrups Bryggeri
1694,Amber Ale,5.20 %,Buffalo Tap Room Amber Ale,Custom Brewcrafters
1695,Amber Ale,5.30 %,Bindlestick Monkey Wagon Amber Ale,Bindlestick Brewing Company
1696,Bitter,4.20 %,Glastonbury Lady of the Lake,Glastonbury
1697,Amber Ale,5.50 %,Carbondale Beer Works Bonedog Amber,Carbondale Beer Works
1698,American Strong Ale,8.30 %,Swamp Head Sciaenhops Imperial Red Ale,Swamp Head Brewery
1699,American Strong Ale,9.25 %,Blue Heron Walking Red,Blue Heron Brewpub
1700,Amber Ale,5.30 %,Nurse Vetusta,Cerveza Mica de la Sierra
1701,Amber Ale,-,Dungeness Agnew Amber,Dungeness Brewing Company
1702,Amber Ale,6.50 %,Lakefront Fixed Gear,Lakefront Brewery
1703,Belgian Ale,-,Freetail Belgian Freetail Ale,Freetail Brewing Co. .
1704,Amber Ale,6 %,Edge Amber The Enabler,Edge Brewing Company
1705,Abbey Dubbel,7.20 %,Buonconvento Ambrio,Birrificio Angel
1706,Amber Ale,4.50 %,Barley Mow The Fez Amber,Barley Mow Brewing Company
1707,Amber Ale,4.50 %,360Â ° Pacific Red # 45,360Â ° Brewing
1708,Amber Ale,5.90 %,Fixture Fox River Red Ale,Fixture Brewing Company
1709,Amber Ale,5.80 %,Lumberjack Railhead Red Ale,Lumberjack Brewing Company
1710,Amber Ale,5.60 %,Waen Hanging Rock,Waen
1711,Amber Ale,4.90 %,Lucky Labrador Rose City Red Ale,Lucky Labrador Brewing Company
1712,Amber Ale,5.50 %,Thirsty Monk Electrum Autumn Ale,Thirsty Monk Pub and Brewery
1713,Dunkelweizen,5.50 %,3 Sheeps Baaad Boy Black Wheat,3 Sheeps Brewing Company
1714,American Strong Ale,9 %,Flying Fish Pescade Rojo Grande,Flying Fish Brewing Company
1715,Bitter,4.50 %,Allendale End 67 Ruby Tuesday,Allendale
1716,American Pale Ale,-,Rock Creek Red Ale,Chesapeake Bay Brewing &#40; formerly Rock Creek &#41;
1717,Imperial Porter,10 %,Ballast Point Victory at Sea - Rum Raisin and Cinnamon,Ballast Point Brewing Company
1718,Premium Bitter/ESB,-,Angelic Arch Amber,Angelic Brewing Company
1719,Saison,7 %,8 Wired Chardonnay Barrel Aged Saeson,Renaissance Brewing
1720,Session IPA,4 %,Great Lakes x Amsterdam x Bar Hop Misdemeanor,Great Lakes Brewing &#40; Ontario &#41;
1721,Amber Ale,7.80 %,3 Freaks Freaks Amber,3 Freaks Brewery
1722,Amber Ale,3.20 %,Feral Nan_s Driving,Feral Brewing Co. .
1723,Brown Ale,5 %,Son Pampa,Ca l_Arenys - Cervezas Guineu
1724,Golden Ale/Blond Ale,4 %,Glentworth Spellbound,Glentworth
1725,Spice/Herb/Vegetable,-,Brewsters School_s Out PB&J Brownie,Brewsters Brewing Co. - Alberta
1726,Amber Ale,6.50 %,Dodgeton Creek Red_s Dirty Lil _ Ale,Dodgeton Creek Brewing Company
1727,Amber Lager/Vienna,4.90 %,George Killian_s Irish Red,Coors Brewing Company &#40; MillerCoors &#41;
1728,Amber Ale,5.60 %,North Sound Here_s Your Damn Amber,North Sound Brewing Company
1729,Premium Bitter/ESB,4.80 %,Badger Export Ale,Badger &#40; Hall & Woodhouse &#41;
1730,Amber Ale,5.80 %,Angry Chair Red Ale - Rose Hips and Juniper Berries,Angry Chair Brewing
1731,Amber Ale,5.10 %,Belly Love Bunk Off &#033;,Belly Love Brewing Company
1732,Smoked,7.50 %,GoatHouse Dirty Redhead,GoatHouse Brewing
1733,Belgian Strong Ale,8 %,AB BiÃ ¨ re La Margoulette de NoÃ `` l,AB BiÃ ¨ re
1734,Amber Ale,5.20 %,Muddy York Unearthed Amber Ale,Muddy York Brewing Co
1735,Premium Bitter/ESB,5.10 %,Cricket Hill Fall Festivus,Cricket Hill Brewing Co. .
1736,Saison,-,5 Seasons Westside Red-Headed Stepchild,5 Seasons Westside
1737,Amber Lager/Vienna,4.70 %,Freedom Soho Red,Freedom
1738,American Pale Ale,6 %,Ruosniemen Pikkupomo,Ruosniemen panimo
1739,Specialty Grain,5.50 %,Rock Bottom Chicago My-O-My Amber Rye,Rock Bottom Chicago
1740,Amber Ale,5 %,Det Lille Bryggeri Celebration Ale # 4 Festbier,Det Lille Bryggeri &#40; Roskilde _ l &#41;
1741,Amber Ale,6.10 %,Free State The Vortex Red,Free State Brewing Company
1742,Bitter,4.50 %,B&T Tinker,B&T Brewery
1743,Scotch Ale,6.20 %,406 Snowy Owl Scotch Ale,406 Brewing Company
1744,Amber Ale,5.60 %,Solemn Oath Axe Scar Pig,Solemn Oath Brewery
1745,Amber Lager/Vienna,5.25 %,Heartland Fresh Hop Amber Lager,Greenpoint Beer Works
1746,Amber Ale,5.90 %,Block Alias Amber,Block Brewing Company
1747,Amber Ale,5.70 %,Hillbilly FU2 Amber Ale,Maiden Wines LLC
1748,Brown Ale,4.50 %,Armstrong Ales St. George_s Ginger Brown Ale,Armstrong Ales
1749,Amber Lager/Vienna,5.50 %,La Cotta di Giulietta e Romeo Birra Verona Rossa,Birrificio Mastino
1750,Amber Ale,5.80 %,Denver Beer 549 Lohi Amber Ale,Denver Beer Company
1751,American Strong Ale,-,Zeroday Critical Condition,Zeroday Brewing Company
1752,Amber Ale,5 %,Red Eye S.H.R. American Amber - Horizon,Red Eye Brewing Company
1753,India Pale Ale &#40; IPA &#41;,6.20 %,Backshore Hop Solo,Backshore Brewing Company
1754,India Pale Ale &#40; IPA &#41;,6.10 %,Hoppy Face Amber Ale,Hoppy Brewing Company
1755,Spice/Herb/Vegetable,-,La Micro Guato Gato,La Micro Brewing Co. .
1756,Sour/Wild Ale,5.50 %,Bear Republic Toyon Brut,Bear Republic Brewing Company
1757,Mead,9 %,Broken Horn Blood Of My Enemies,Broken Horn Brewing Company
1758,India Pale Ale &#40; IPA &#41;,-,Brays Redeye IPA,Brays Brewing
1759,Spice/Herb/Vegetable,-,Port Townsend Santa Kisser,Port Townsend Brewing Company
1760,Amber Ale,5.80 %,Ascension Amber,Ascension Brewing Company
1761,Amber Ale,4.70 %,Stewarts Rough Sesh,Stewarts Brewing Company
1762,Amber Ale,5 %,Brutopia Frosty Morning Amber Ale,Brutopia
1763,Amber Ale,4.60 %,Elk Street Oakley_s Amber,Elk Street Brewery
1764,Amber Ale,6.60 %,Conshohocken In Amber Clad,Conshohocken Brewing Co. .
1765,India Pale Ale &#40; IPA &#41;,7.50 %,Ale Asylum Velveteen Habit,Ale Asylum
1766,Specialty Grain,5.40 %,Rivertowne Sow Your Oats Red Ale,Rivertowne Pour House
1767,Amber Ale,5.80 %,Siren Liquid Mistress,Siren
1768,Spice/Herb/Vegetable,5 %,Belder Red Ginger Ale,Belder
1769,Amber Ale,5.10 %,Border Town Firehouse 28 Red Ale,Border Town Pub Brewery & Eatery
1770,India Pale Ale &#40; IPA &#41;,7.30 %,8 Wired Fresh HopWired,8 Wired Brewing
1771,Golden Ale/Blond Ale,4.20 %,4T_s Santas Sack,4T_s
1772,Amber Ale,5.60 %,Boundary Road Brewer_s Cut Red Baron,Independent Breweries NZ &#40; Boundary Road &#41;
1773,Amber Ale,5.50 %,Gallows Hill Amber Ale,Two Rivers Brewing Company
1774,Spice/Herb/Vegetable,8.70 %,Big Island Red Sea of Cacao,Big Island Brewhaus
1775,Imperial IPA,8.90 %,18th Street Villain,18th Street Brewery
1776,Amber Ale,5.50 %,Due South Red Hoptober,Due South Brewing Co. .
1777,English Strong Ale,6.40 %,Cascade Lakes Slippery Slope,Cascade Lakes Brewing Co. .
1778,Specialty Grain,4.70 %,Flat 12 Red Oat-tober,Flat 12 Bierwerks
1779,Amber Ale,-,Yak and Yeti Rupee Red,Yak and Yeti
1780,Golden Ale/Blond Ale,-,Michael_s Genuine Home Brew,Back Forty Beer Company
1781,Amber Ale,5 %,Kaktus Amber Late Hop Ale,Kaktus Brewing Company
1782,Black IPA,6 %,Arch Rock Brewer_s Select Series # 2 : Trident Black IPA,Arch Rock Brewing Company
1783,Amber Ale,5.30 %,Moosehead Boundary Ale,Moosehead Brewery
1784,Belgian Strong Ale,9 %,Solemn Oath Man vs. Internet vs. Mothra,Solemn Oath Brewery
1785,Amber Ale,5.50 %,Main Seidla Amber Spezial,Brauhaus Binkert / Main Seidla
1786,Amber Ale,4.70 %,Gold Camp Mamies Amber,Gold Camp Brewing Company
1787,Amber Ale,5.40 %,Wendlandt Humpy Humpy Amber Ale,CervecerÃa Wendlandt
1788,Amber Ale,6.80 %,La Cumbre Tank 10 Red,La Cumbre Brewing Company
1789,Amber Ale,5.50 %,Lost Province Compass Rose Amber Ale,Lost Province Brewing Company
1790,Cider,-,Archibald Orchards Canadian Maple,Archibald Orchards and Estate Winery
1791,Amber Ale,5.20 %,Mountain State Almost Heaven Amber Ale,Mountain State Brewing Co. .
1792,Amber Ale,5.20 %,Barrier Calm It,Barrier Brewing Company
1793,Amber Ale,4 %,Marstons Single Hop Saphir,Marstons
1794,Belgian Ale,6.70 %,Redfish Angry Monk Belgian Ale,Redfish New Orleans Brewhouse
1795,Spice/Herb/Vegetable,8.50 %,Sick N Twisted Balls of Fire,Sick N Twisted Brewing Company
1796,Schwarzbier,-,Beachside High Tide Black Beer with Pomegranate,Florida Beer Company
1797,Specialty Grain,-,Outer Banks Ruddy_s Rye I.P.A.,Outer Banks Brewing Station
1798,American Strong Ale,9 %,Barba Roja Barrel Aged Red Ale,Barba Roja de Anapa
1799,Imperial Porter,8.80 %,7venth Sun Imperial Maple Bacon Glazed Donut Porter,7venth Sun Brewery
1800,California Common,5.40 %,Liberty Myrtle Beach So Fresh And So Steam,Liberty Brewery & Grill - Myrtle Beach
1801,Amber Ale,5 %,Sankt Gallen Kitakamakura no Megumi,Sankt Gallen Brewery
1802,Amber Ale,5.10 %,ShinDigger City Shuffle Red Ale,ShinDigger
1803,Amber Ale,5.50 %,Dia De Los Muertos Death Becomes You Amber Ale,CervecerÃa Mexicana
1804,Golden Ale/Blond Ale,4.50 %,Shugborough N_KD At The Swan,Shugborough ( Titanic )
1805,Stout,6 %,Central City Red Racer Gingerhead Gingerbread Stout,Central City Brewers + Distillers
1806,Amber Ale,5.20 %,Nevin_s Amberosia,Nevin_s Brewing Company
1807,Sour/Wild Ale,5 %,8 Wired Brett Pilsner,Renaissance Brewing
1808,Amber Ale,7 %,Snowy Mountain Lone Ranger Red,Snowy Mountain Brewery
1809,Amber Lager/Vienna,5.50 %,Alamo Amber Lager,Alamo Beer Company
1810,Amber Ale,5 %,Get Well Hector_s Bell Amber Ale,Get Well
1811,Lambic Style - Fruit,8 %,3 Fonteinen Druiven Geuze Malvasia Rosso,Brouwerij 3 Fonteinen
1812,Bitter,3.90 %,Cheriton Amber Gambler,Flowerpots
1813,American Strong Ale,8 %,Lake Effect Aged Red Ale,Lake Effect Brewing Company
1814,Amber Lager/Vienna,6 %,La Rouget de Lisle Crin Blanc,La Rouget de Lisle
1815,Irish Ale,6 %,Fifty West Gaddy_s Irish Red Ale,Fifty West Brewing Company
1816,Premium Bitter/ESB,5 %,Archers Poleaxed,Archers &#40; Evan Evans &#41;
1817,Amber Ale,6.50 %,Right Brain Looping Owl,Right Brain Brewery
1818,Amber Ale,6.50 %,Deschutes Fadeaway Amber Ale,Deschutes Brewery
1819,Amber Ale,5.10 %,Wrecking Bar Penny for your Thoughts Copper Ale,Wrecking Bar Brewpub
1820,Amber Ale,4.25 %,Feather Falls Coyote Spirit Amber Ale,Feather Falls Brewing Company
1821,Amber Ale,6.20 %,7 Seas Cutt_s NW Amber Ale,7 Seas Brewing
1822,India Pale Ale &#40; IPA &#41;,9 %,Certified Originals Check Yourself Before You Wreck Yourself,Niagara College Teaching Brewery
1823,Belgian Ale,5.80 %,Acoustic Ales Road to the Abbey,Acoustic Ales Brewing Experiment
1824,Belgian Strong Ale,7 %,10 Barrel Frosty_s Revenge,10 Barrel Brewing &#40; AB InBev &#41;
1825,Amber Ale,6.40 %,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Lompoc Brewing
1826,Fruit Beer,5.10 %,Right Brain Cherry Queen Amber Ale,Right Brain Brewery
1827,Brown Ale,4.40 %,Hops Flying Squirrel Nut Brown Ale,Hops Grillhouse & Brewery &#40; Corp HQ &#41;
1828,Mild Ale,4.30 %,DC Brau / Oliver_s Burial at Sea,DC Brau Brewing Company
1829,Smoked,5.60 %,Broken Tooth Great Land Campfire Lager,Broken Tooth Brewing Company
1830,Amber Ale,5.20 %,Batch &#40; AUS &#41; Statler Amber Ale,Batch Brewing Company &#40; AUS &#41;
1831,Fruit Beer,7 %,Artzner Perle Des _ les,Artzner
1832,American Strong Ale,7.20 %,3 Sheeps Autumnal Hoppiness Harvest Ale,3 Sheeps Brewing Company
1833,Fruit Beer,4.30 %,Bad Seed Raspberry Red Ale,Bad Seed
1834,Amber Ale,4.80 %,Bridger Session Amber Ale,Bridger Brewing
1835,American Pale Ale,5.70 %,Sly Fox M. Bier Amber,Sly Fox Brewing Company
1836,Amber Ale,6 %,One Barrel Wrenclaw Red Ale,One Barrel Brewing Company
1837,India Pale Ale &#40; IPA &#41;,6.20 %,Rogue Captain Sigs Deadliest Ale &#40; Northwestern Ale &#41;,Rogue Ales
1838,Amber Ale,5 %,Mooselick Moose Hide Amber Ale,Mooselick Brewing
1839,Amber Ale,-,Nebraska / Rock Brothers 311 Amber Ale,Nebraska Brewing Company
1840,Amber Ale,4.50 %,Heavy Riff Shady Lane Amber Ale,Heavy Riff Brewing Company
1841,Amber Ale,5.90 %,Rupert_s Match The Drapes Amber Ale,Rupert_s Brew House
1842,Amber Ale,4.40 %,Clockwork Cartside Red,Clockwork &#40; Maclay &#41;
1843,Imperial IPA,8.50 %,Thr3e Wise Men Double Pagoda Pit Road Red,Thr3e Wise Men
1844,India Pale Ale &#40; IPA &#41;,6.30 %,Alameda Wasco Indian Summer Ale,Alameda Brewing Co. .
1845,Amber Ale,5 %,Pump House Firechiefs Red Ale,Pump House Brewery
1846,Premium Bitter/ESB,4.50 %,Cottage Delight Metrognome,Staffordshire &#40; prev Leek &#41;
1847,Cream Ale,-,508 Cocoa for Coconuts &#033;,508 Gastrobrewery
1848,Doppelbock,7.90 %,Red Lodge Resurrection Doppelbock,Red Lodge Ales
1849,Imperial Pils/Strong Pale Lager,6.20 %,Sockeye Freds Raging Red,Sockeye Brewing
1850,Spice/Herb/Vegetable,5.50 %,Ale Industries Spring Fling,Ale Industries
1851,Specialty Grain,6.20 %,Jing A &#40; Blushing Geija &#41; Koji Red Ale,Jing A &#40; &#20140; A &#41; Capital Brewing Co. .
1852,Traditional Ale,5 %,Dieu du Ciel Clef des Champs,Dieu du Ciel
1853,Premium Bitter/ESB,5.70 %,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub
1854,American Strong Ale,8 %,Bold City 1901 Red Ale,Bold City Brewery
1855,BiÃ ¨ re de Garde,5 %,De la Soif Barbe Torte AmbrÃ © e Au BlÃ © Noir,De la Soif
1856,American Pale Ale,6.40 %,Burdock Fresh Hop Pale Ale,Burdock
1857,Session IPA,4.20 %,Old Abbey Brett Trois Red Rye ISA,Old Abbey Ales
1858,Belgian Ale,4.70 %,ChÃ cents teau de Moulinsard La Rousse Au Bourbon,Riva Brouwerij &#40; Duvel-Moortgat &#41;
1859,Amber Ale,5.50 %,Willoughby American Amber Ale,Willoughby Brewing Co. .
1860,Amber Ale,5.50 %,Pokertree Red Earl Ruby Ale,Pokertree
1861,Amber Ale,6 %,HOPe Bohemic,La Vella Caravana
1862,Amber Ale,5.60 %,Flathead Lake Dock Start Amber Ale,Flathead Lake Brewing Company
1863,Amber Ale,6.10 %,Speakeasy Wet Hop Prohibition Red Ale,Speakeasy Ales and Lagers
1864,Premium Bitter/ESB,5 %,Blind Bat Eye Chart Ale,Blind Bat Brewery
1865,India Pale Ale &#40; IPA &#41;,6 %,Emerson_s Brewers Reserve Oreti Red,Emerson_s Brewing Company &#40; Lion Breweries - NZ &#41;
1866,Imperial IPA,11.70 %,Big Alice No. 0066 - Red Oak IPA,Big Alice Brewing
1867,Amber Ale,5.20 %,Firetrucker First Responder Red,Firetrucker Brewery
1868,Amber Ale,6 %,Nevin_s Red Ain_t Dead / ReplicAle 2014,Nevin_s Brewing Company
1869,Premium Lager,4.50 %,Aguila del Sur Premium Rubia,Aguila del Sur
1870,Amber Ale,5 %,Lake Placid Barkeater Amber Ale,Lake Placid Pub & Brewery
1871,American Strong Ale,-,Naked City Scarlet Street,Naked City Brewing
1872,India Pale Ale &#40; IPA &#41;,6.50 %,HopDog BeerWorks Zombie Fish Puncher,HopDog BeerWorks
1873,Amber Ale,6.40 %,Freetail Fluck_s Incapacitor,Freetail Brewing Co. .
1874,Amber Ale,5.60 %,Hoppy Stony Face Red Ale,Hoppy Brewing Company
1875,Amber Ale,5.70 %,Butterfield Bridalveil Amber Ale,Butterfield Brewing Company
1876,Amber Ale,5.60 %,Dragas Pacific at Sunset,Dragas Brewing
1877,Amber Ale,6 %,Deva Amber,VG Noster
1878,Porter,5.40 %,Catawba Valley King Coconut Porter,Catawba Valley Brewing Company
1879,Amber Ale,5.20 %,Barrier Willamette Valley Amber Ale,Barrier Brewing Company
1880,Amber Ale,-,Fox River Wisconsin Red Ale,Fox River Brewing Co. .
1881,Amber Ale,6.60 %,Barrier Bulkhead American Red Ale,Barrier Brewing Company
1882,Brown Ale,-,23rd Street Coconut Rum Infused Brown Ale,23rd Street Brewery
1883,Amber Ale,5.30 %,Berkeley Springs American Amber Ale,Berkeley Springs Brewing Company
1884,Amber Ale,5.80 %,Taps Lillie_s Q Hog Tied Amber Ale,Taps Fish House and Brewery
1885,India Pale Ale &#40; IPA &#41;,6.25 %,armando_otchoa_s Allied Forces - Hangover D.S.O.T.G. Rasta,Brandecker SÃ ¶ rhÃ ¡ z
1886,American Pale Ale,6.20 %,Blue Heron Corey_s American Pale Ale &#40; C.A.P.A. &#41;,Blue Heron Brewpub
1887,American Pale Ale,-,Bonfire High Altitude Pale Ale &#40; H.A.P.A. &#41;,Bonfire Brewing
1888,Amber Ale,-,Leinenkugels Auburn Ale,Leinenkugel Brewing Company &#40; Tenth & Blake Beer Co. &#41;
1889,American Strong Ale,7.60 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park
1890,Imperial IPA,8.80 %,101 North High Gravity,101 North Brewing Company
1891,Amber Ale,7.30 %,Bear Republic New Oak Red Rocket Ale,Bear Republic Brewing Company
1892,Irish Ale,5.50 %,Loose Shoe SlÃ ¡ inte Irish Red Ale,Loose Shoe Brewing Company
1893,American Pale Ale,5 %,Acorn Aurora IPA,Acorn
1894,Amber Ale,7.20 %,Ironworks Tanglefoot Red,Ironworks Brewery and Pub
1895,American Strong Ale,7.50 %,10 Barrel Beernog,10 Barrel Brewing &#40; AB InBev &#41;
1896,Amber Ale,-,1516 M&N Amber Ale &#40; Whole Leaf Hopped &#41;,1516 Brewing Company
1897,American Strong Ale,7.10 %,Dust Bowl Dr. Rudi Es Muy Caliente,Dust Bowl Brewing Company
1898,Amber Ale,4.30 %,Laitilan Kukko Ale,Laitilan Wirvoitusjuomatehdas
1899,India Pale Ale &#40; IPA &#41;,6.60 %,Geco Inoki,Birrificio Geco
1900,Amber Ale,6 %,Goose Island Red Felt Ale,Goose Island Beer Company &#40; Brewpubs &#41;
1901,Belgian Strong Ale,-,5 Seasons Westside Free Form Jazz Odysee Belgian Amber on Oak & Armagnac,5 Seasons Westside
1902,Amber Ale,5 %,Dead Frog Winter Seasonal Amber Ale,Dead Frog Brewery
1903,Bitter,3.70 %,Elgoods Copper Feelgood,Elgoods
1904,Amber Ale,5.20 %,Far West Red Wine Ale,Far West
1905,India Pale Ale &#40; IPA &#41;,6.50 %,Copper Canyon Devils Peak Ale,Copper Canyon Brewery Restaurant &#40; MI &#41;
1906,American Pale Ale,5.40 %,Red Squirrel White Mountain American IPA,Red Squirrel
1907,Spice/Herb/Vegetable,7 %,Les Brasseurs du Hameau Rhumantony,Les Brasseurs du Hameau
1908,India Pale Ale &#40; IPA &#41;,6.70 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,Bauhaus Brew Labs
