ASI,SI,ASSTY,CONFSCO,ASSCETY,SRASSI,ASTET,T,Descr,TII,ASSORG,ASSSTR,CEI,ASCATE,ASSTAI,RELATY,CURB,CHI,BFO,VARII
9907,1,A,1,,,In vivo,50597,Biodistribution of compound in rat heart after 5 min of administration,948.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624923,BAO_0000218,
9908,1,A,1,,,In vivo,50597,Biodistribution of compound in rat heart after 5 min of administration.,948.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624924,BAO_0000218,
9909,1,A,1,,,In vivo,50597,Biodistribution of compound in rat kidney after 5 min of administration,2113.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624925,BAO_0000218,
9910,1,A,1,,,In vivo,50597,Biodistribution of compound in rat kidney after 5 min of administration.,2113.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624926,BAO_0000218,
9911,1,A,1,,,In vivo,50597,Biodistribution of compound in rat liver after 5 min of administration,2107.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624927,BAO_0000218,
9912,1,A,1,,,In vivo,50597,Biodistribution of compound in rat liver after 5 min of administration.,2107.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL874402,BAO_0000218,
9913,1,A,1,,,In vivo,50597,Biodistribution of compound in rat lung after 5 min of administration,2048.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624928,BAO_0000218,
9914,1,A,1,,,In vivo,50597,Biodistribution of compound in rat lung after 5 min of administration.,2048.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624929,BAO_0000218,
9915,1,A,1,,,In vivo,50597,Biodistribution of compound in rat muscle after 5 min of administration,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624930,BAO_0000218,
9916,1,A,1,,,In vivo,50597,Biodistribution of compound in rat muscle after 5 min of administration.,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624931,BAO_0000218,
9917,1,A,1,,,,50597,In vivo heart distribution of free doxorubicin after 6 hr intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,948.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624932,BAO_0000218,
9918,1,A,1,,,,50597,In vivo heart distribution of total doxorubicin after 6 hr intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,948.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624933,BAO_0000218,
9919,1,A,1,,,,50597,In vivo liver distribution of free doxorubicin after 6 hr intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,2107.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624934,BAO_0000218,
9920,1,A,1,,,,50597,In vivo liver distribution of total doxorubicin after 6 h intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,2107.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624935,BAO_0000218,
9921,1,A,1,,,,50597,In vivo plasma distribution of free doxorubicin after 6 h intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624936,BAO_0000218,
9922,1,A,1,,,,50597,In vivo plasma distribution of total doxorubicin after 6 hr intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624937,BAO_0000218,
9923,1,A,1,,,,50597,In vivo spleen distribution of free doxorubicin after 6 hr intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,2106.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624938,BAO_0000218,
9924,1,A,1,,,,50597,In vivo spleen distribution of total doxorubicin after 6 hr intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,2106.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624939,BAO_0000218,
9925,1,A,1,,,,50597,In vivo tumor distribution of free doxorubicin after 6 h intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624940,BAO_0000218,
9926,1,A,1,,,,50597,In vivo tumor distribution of total doxorubicin after 6 hr intravenous administration of 2.5 mg/kg of compound in rat bearing Walker 256 cells,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL874403,BAO_0000218,
9927,1,A,1,,,,50597,Compound was tested for the duration that the plasma drug concentrations remained above the IC95,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624941,BAO_0000218,
9928,1,A,1,,,,50597,Dose required to lower urine osmolality to 300 mOsm/kg in rat,1088.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624942,BAO_0000218,
9929,1,A,1,,,,50597,Dose required to lower urine osmolality to 300 mOsm/kg in rat; NT=Not tested,1088.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624943,BAO_0000218,
9930,1,A,1,,,In vivo,50597,% Bioavailability after 1 day of the drug administration in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624944,BAO_0000218,
9931,1,A,1,,,In vivo,50597,% Bioavailability after 4 day of the drug administration in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624945,BAO_0000218,
9932,1,A,1,,,In vivo,50597,Absolute bioavailability was evaluated in rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624946,BAO_0000218,
9933,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat fat at 1 hr low time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624947,BAO_0000218,
9934,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat fat at 1 hr time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624948,BAO_0000218,
9935,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat fat at 3 hr time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624949,BAO_0000218,
9936,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat kidney at 1 hr blocked time interval,2113.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622025,BAO_0000218,
9937,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat kidney at 1 hr low time interval,2113.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622026,BAO_0000218,
9938,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat kidney at 1 hr time interval,2113.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622027,BAO_0000218,
9939,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat kidney at 3 hr time interval,2113.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622028,BAO_0000218,
9940,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat liver at 1 hr blocked time interval,2107.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622029,BAO_0000218,
9941,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat liver at 1 hr low time interval,2107.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622208,BAO_0000218,
9942,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat liver at 1 hr time interval,2107.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622209,BAO_0000218,
9943,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat liver at 3 hr time interval,2107.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622210,BAO_0000218,
9944,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat lung at 1 hr blocked time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622211,BAO_0000218,
9945,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat lung at 1 hr low time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622212,BAO_0000218,
9946,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat lung at 1 hr time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL622213,BAO_0000218,
9947,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat lung at 3 hr time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL874404,BAO_0000218,
9948,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat muscle at 1 hr blocked time interval,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL620452,BAO_0000218,
9949,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat muscle at 1 hr low time interval,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL620453,BAO_0000218,
9950,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat muscle at 1 hr time interval,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL620454,BAO_0000218,
9951,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat muscle at 3 hr time interval,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624067,BAO_0000218,
9952,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat ovaries at 1 hr blocked time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624068,BAO_0000218,
9953,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat ovaries at 1 hr low time interval,992.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624069,BAO_0000218,
9954,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat ovaries at 1 hr time interval,992.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624070,BAO_0000218,
9955,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat ovaries at 3 hr time interval,992.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624071,BAO_0000218,
9956,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus at 1 hr blocked time interval,995.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624072,BAO_0000218,
9957,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus at 1 hr low time interval,995.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624073,BAO_0000218,
9958,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus at 1 hr time interval,995.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624788,BAO_0000218,
9959,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus at 3 hr time interval,995.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624789,BAO_0000218,
9960,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus/blood at 1 hr blocked time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624790,BAO_0000218,
9961,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus/blood at 1 hr low time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624791,BAO_0000218,
9962,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus/blood at 1 hr time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624792,BAO_0000218,
9963,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus/blood at 3 hr time interval,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624793,BAO_0000218,
9964,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus/muscle at 1 hr blocked time interval,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL877491,BAO_0000218,
9965,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus/muscle at 1 hr low time interval,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624957,BAO_0000218,
9966,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus/muscle at 1 hr time interval,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624958,BAO_0000218,
9967,1,A,1,,,,50597,Tissue biodistribution into estrogen-primed immature female rat uterus/muscle at 3 hr time interval,2385.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624959,BAO_0000218,
9968,1,A,1,,,,50597,Dissociation constant was determined,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624960,BAO_0000218,
9969,1,A,1,,,,50597,"Pharmacokinetic Parameter, Kel is elimination rate constant in Female Wistar Rats at 100 mg/kg by po administration",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624961,BAO_0000218,
9970,1,A,1,,,,50597,"The Kel value in female wistar rat at 100 mg/kg, p.o. dose",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624962,BAO_0000218,
9971,1,A,1,,,,50597,"The Kel value in male wistar rat at 100 mg/kg, p.o. dose",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624963,BAO_0000218,
9972,1,A,1,,,,50597,Observed rate constant in 80% rat plasma at 37 degree Centigrade,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624964,BAO_0000218,
9973,1,A,1,,,,50597,LogP value was evaluated in the in situ rat gut perfusion assay,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624965,BAO_0000218,
9974,1,A,1,,,In vivo,50597,In vivo retention time was evaluated for the compound after i.v. administration at a dose of 5 mg/kg was measured in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624966,BAO_0000218,
9975,1,A,1,,,In vivo,50597,Mean residence time (Pharmacokinetic property) after i.v. administration in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624967,BAO_0000218,
9976,1,A,1,,,In vivo,50597,Mean-residence time of compound after intravenous administration in rats at 24 uM/kg,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624968,BAO_0000218,
9977,1,A,1,,,,50597,Mean residence time at a dose of 4 mg/kg in Rat Plasma after iv administration,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624969,BAO_0000218,
9978,1,F,1,,,,50597,Streptococcal cell wall-washed arthritis model in rats at 10.0 mg/kg peroral dose,,Rattus norvegicus,,,,10116.0,N,Expert,CHEMBL624970,BAO_0000218,
9979,1,A,1,,,,50597,Half-life was evaluated after 10 uM/kg of intra arterial administration,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624971,BAO_0000218,
9980,1,A,1,,,In vivo,50597,Half-life was evaluated after 20 uM/kg of peroral administration,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624972,BAO_0000218,
9981,1,A,1,,,In vivo,50597,Half-life was evaluated after i.v. administration in rat at a dose of 1 mg/kg,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624973,BAO_0000218,
9982,1,A,1,,,,50597,Half-life was evaluated in plasma of rat,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624974,BAO_0000218,
9983,1,A,1,,,In vivo,50597,Half-life was evaluated in rats at an intravenous dose of 3 mg/kg,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624975,BAO_0000218,
9984,1,A,1,,,In vivo,50597,Half-life was evaluated in rats at an oral dose of 30 mg/kg,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL877492,BAO_0000218,
9985,1,A,1,,,In vivo,50597,Half-life was measured in rat after an iv dose of 1 mg/kg,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624976,BAO_0000218,
9986,1,A,1,,,In vivo,50597,Half-life period of compound in rats after peroral administration,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL624977,BAO_0000218,
9987,1,A,1,,,,50597,Half-life period of compound was measured in rat plasma.,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL626848,BAO_0000218,
9988,1,A,1,,,,50597,Half-life period of compound was measured in rat plasma; ND is not determined,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL626849,BAO_0000218,
9989,1,A,1,,,,50597,Half-life period of compound was measured in rat plasma; not determined,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL626850,BAO_0000218,
9990,1,A,1,,,In vivo,50597,Half-life period in rat after 5 mg/kg by oral and 1 mg/kg by intravenous administration,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL626851,BAO_0000218,
9991,1,A,1,,,In vivo,50597,Half-life period in rat by iv administration,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL626852,BAO_0000218,
9992,1,A,1,,,In vivo,50597,Half-life period in rats following intravenous administration at 2 mg/kg,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL626853,BAO_0000218,
9993,1,A,1,,,In vivo,50597,Half-life period was determined after 1 mg/kg (i.v.) / 2 mg/kg (p.o.) of compound administration,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL626854,BAO_0000218,
9994,1,A,1,,,,50597,Half-life period was determined for the compound in rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL627486,BAO_0000218,
9995,1,A,1,,,In vivo,50597,"Half-life period was evaluated in rat, after administering 1 mg/kg intravenously",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL627487,BAO_0000218,
9996,1,A,1,,,In vivo,50597,"Half-life period was evaluated in rat, after administering 10 mg/kg orally",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL627488,BAO_0000218,
9997,1,A,1,,,In vivo,50597,Half-life value after IV dose at a dose of 5 mg/kg in rats.,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL627489,BAO_0000218,
9998,1,A,1,,,In vivo,50597,Half-life was determined by iv administration (1.5 mg/kg) in fasted male Sprague-Dawley rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL627490,BAO_0000218,
9999,1,A,1,,,In vivo,50597,Half-life was determined in rat after intravenous administration (0.5 mg/kg),,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL873829,BAO_0000218,
10000,1,A,1,,,In vivo,50597,Half-life was determined in rat at a dose of 1 mpk i.v.,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL627655,BAO_0000218,
10001,1,A,1,,,In vivo,50597,Half-life was determined in rat at a dose of 1 mpk i.v.; ND means not determined,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625994,BAO_0000218,
10002,1,A,1,,,In vivo,50597,Half-life was determined in rat at a dose of 1 mpk i.v.; ND=not determined,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625995,BAO_0000218,
10003,1,A,1,,,,50597,Half-life in rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625996,BAO_0000218,
10004,1,A,1,,,In vitro,50597,In vitro half life in rat plasma,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625850,BAO_0000218,
10005,1,A,1,,,In vitro,50597,"In vitro half life at 1.5 -5.6ug/mL, 37 degree C in rat plasma",1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625851,BAO_0000218,
10006,1,A,1,,,In vitro,50597,In vitro half life in rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625852,BAO_0000218,
10007,1,A,1,,,In vivo,50597,In vivo half life period after intravenous administration in rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625853,BAO_0000218,
10008,1,A,1,,,In vivo,50597,In vivo half-life period for compound after i.v. administration at a dose of 5 mg/kg was measured in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625854,BAO_0000218,
10009,1,A,1,,,In vivo,50597,In vivo half-life period for compound after oral (po) administration at a dose of 10 mg/kg was measured in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL874450,BAO_0000218,
10010,1,A,1,,,In vivo,50597,In vivo t1/2 was determined after intravenous administration of compound (9.13+/-0.85 mg/kg) in male Sprague-Dawley rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625855,BAO_0000218,
10011,1,A,1,,,In vivo,50597,In vivo t1/2 was determined after peroral administration of compound (158.5+/-2 mg/kg) in male Sprague-Dawley rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625856,BAO_0000218,
10012,1,A,1,,,In vivo,50597,In vivo t1/2 was determined after peroral administration of compound (19.01+/-0.31 mg/kg) in male Sprague-Dawley rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625857,BAO_0000218,
10013,1,A,1,,,In vivo,50597,In vivo t1/2 was determined after peroral administration of compound (76.4+/-2.6 mg/kg) in male Sprague-Dawley rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL873831,BAO_0000218,
10014,1,A,1,,,In vivo,50597,Longer half-life in rat (i.v.) at 0.5 mpk,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625858,BAO_0000218,
10015,1,A,1,,,In vivo,50597,Longer half-life in rat (p.o.) at 2.0 mpk,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625859,BAO_0000218,
10016,1,A,1,,,,50597,Pharmacokinetic property (half life) in rat,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625860,BAO_0000218,
10017,1,A,1,,,In vivo,50597,Pharmacokinetic parameter half-life was determined at 10 mg/kg po dose in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625861,BAO_0000218,
10018,1,A,1,,,In vivo,50597,Pharmacokinetic parameter half-life was determined at 2 mg/kg i.v. dose in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625862,BAO_0000218,
10019,1,A,1,,,In vivo,50597,Pharmacokinetic parameter half-life was determined at 3 mg/kg po dose in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625863,BAO_0000218,
10020,1,A,1,,,In vivo,50597,Pharmacokinetic parameter half-life was determined at 5 mg/kg i.v. dose in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625864,BAO_0000218,
10021,1,A,1,,,In vivo,50597,Pharmacokinetic property (t1/2) for the compound (5 mg/kg iv) was determined in rats,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625865,BAO_0000218,
10022,1,A,1,,,In vivo,50597,Pharmacokinetic half time was determined intravenously in rats.,,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625866,BAO_0000218,
10023,1,A,1,,,In vivo,50597,Plasma half life in rat after 5 mg/kg oral gavage; 6-8 hours,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625867,BAO_0000218,
10024,1,A,1,,,,50597,Plasma half life of hydrolysis of the compound,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625868,BAO_0000218,
10025,1,A,1,,,In vivo,50597,Plasma half life was reported after a intravenous dose of 1 mg/kg in Dawley rat,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625869,BAO_0000218,
10026,1,A,1,,,,50597,Plasma half life period was calculated in rat,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL874451,BAO_0000218,
10027,1,A,1,,,,50597,Plasma half-life in Sprague-Dawley rats,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625870,BAO_0000218,
10028,1,A,1,,,,50597,Plasma half-life in Sprague-Dawley rats; Not determined,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625871,BAO_0000218,
10029,1,A,1,,,,50597,Plasma half-life in rats,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625872,BAO_0000218,
10030,1,A,1,,,,50597,Plasma half-life in rats; <MQL,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625873,BAO_0000218,
10031,1,A,1,,,,50597,Plasma half-life period (0-8 h) was determined,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625874,BAO_0000218,
10032,1,A,1,,,,50597,Plasma half-life period (0-8 h) was determined in Sprague-Dawley rat,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625875,BAO_0000218,
10033,1,A,1,,,In vivo,50597,Plasma half-life period (0-8 h) was reported after intravenous administration at a dose of 1 mg/kg in Sprague-Dawley rat,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL625876,BAO_0000218,
10034,1,A,1,,,In vivo,50597,Plasma half-life period (0-8 h) was reported after oral administration at a dose of 2 mg/kg in Sprague-Dawley rat,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631258,BAO_0000218,
10035,1,A,1,,,,50597,Plasma half-life was determined in Sprague-Dawley rats after 0-8 h administration of the compound,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631259,BAO_0000218,
10036,1,A,1,,,,50597,Plasma half-life was determined in Sprague-Dawley rats after 0-8 hr administration of the compound; Not determined,1969.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631260,BAO_0000218,
10037,1,A,1,,,,50597,"Distribution of radioactivity in blood of rats at 30 mins after an intravenous injection; Value expressed as mean % injected dose, Range = 0.68-1.03",178.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631261,BAO_0000218,
10038,1,A,1,,,,50597,"Distribution of radioactivity in blood of rats at 4 hr after an intravenous injection; Value expressed as mean % injected dose, Range- 0.45-0.48",178.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631262,BAO_0000218,
10039,1,A,1,,,,50597,"Distribution of radioactivity in blood of rats at 5 mins after an intravenous injection; Value expressed as mean % injected dose, Range-0.81-1",178.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631263,BAO_0000218,
10040,1,A,1,,,,50597,"Distribution of radioactivity in brain tissue of rats at 1 day after an intravenous injection; Value expressed as mean % injected dose, Range- 0.007-0.008",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631264,BAO_0000218,
10041,1,A,1,,,,50597,"Distribution of radioactivity in brain tissue of rats at 1 hr after an intravenous injection; Value expressed as mean % injected dose, Range- 0.18-0.22",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631265,BAO_0000218,
10042,1,A,1,,,,50597,"Distribution of radioactivity in brain tissue of rats at 2 mins after an intravenous injection; Value expressed as mean % injected dose, Range- 0.77-0.97",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631266,BAO_0000218,
10043,1,A,1,,,,50597,"Distribution of radioactivity in brain tissue of rats at 2 hr after an intravenous injection; Value expressed as mean % injected dose, Range- 0.08-0.13",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631267,BAO_0000218,
10044,1,A,1,,,,50597,"Distribution of radioactivity in brain tissue of rats at 30 mins after an intravenous injection; Value expressed as mean % injected dose, Range- 0.25-0.37",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631268,BAO_0000218,
10045,1,A,1,,,,50597,"Distribution of radioactivity in brain tissue of rats at 4 hr after an intravenous injection; Value expressed as mean % injected dose, Range- 0.03-0.04",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631269,BAO_0000218,
10046,1,A,1,,,,50597,"Distribution of radioactivity in brain tissue of rats at 5 mins after an intravenous injection; Value expressed as mean % injected dose, Range- 0.74-0.94",,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631270,BAO_0000218,
10047,1,A,1,,,,50597,"Distribution of radioactivity in heart tissue of rats at 1 day after an intravenous injection; Value expressed as mean % injected dose, Range- 0.02-0.02",948.0,Rattus norvegicus,,,,10116.0,N,Intermediate,CHEMBL631271,BAO_0000218,
