id,manufacturer,price,title
1011,apple,199.99,logic pro 6 upgrade from logic platinum/gold 5 & 6
1012,phantom efx,9.99,reel deal slots 2.0 for pc
1013,encore,29.99,marine aquarium 2.0 ( pc & mac )
1014,encore,39.99,elementary advantage 2008
1015,finale,49.95,finale songwriter 2007
1016,topics entertainment,39.99,math success deluxe 2007
1017,topics entertainment,39.99,language lab german
1018,encore,19.99,wheel of fortune deluxe
1019,sibelius-software-ltd .,199.99,neuratron photoscore professional 4
1020,encore software,29.99,elementary school advantage 2007
1021,individual software,29.99,resumemaker professional 12.0
1022,panda software,69.95,panda internet security 2007 3-user
1023,encore software,19.99,aquarium 3 in 1 collection limited edition for win/mac
1024,punch ! software,49.99,punch super home suite 3.0
1025,e-mu,499.99,e-mu em8669 modern symphonic orchestra
1026,final draft,349.99,final draft scriptwriter 's suite [ final draft 7 & final draft av2 ]
1027,encore,9.99,q * bert
1028,emedia,600.0,makemusic finale 2007 win/mac
1029,encore software,19.99,westward
1030,final draft,199.99,final draft av 2.5 win/mac
1031,encore software,39.99,singleclick network now ! pro
1032,finale,199.95,finale allegro 2007
1033,encore software,9.99,pc professor fuji 's kakuro
1034,encore software,19.99,marine aquarium 2.5 virtual undersea paradise win/mac
1035,riverdeep,,riverdeep spongebob squarepants typing fun
1036,encore,19.95,brain food games : cranium collection 2006
1037,encore,19.95,brain food games : cranium collection 2006
1038,encore software,30.66,printmaster 17 gold by encore software
1039,encore,9.95,who wants to be a millionaire ?
1040,encore software,19.99,encore the big box of art 410 000 460001 )
1041,encore,19.99,fate
1042,onone software,,genuine fractals print pro 4.1 sharpener pro 2.0
1043,encore,9.99,monopoly tycoon
1044,encore software,19.99,hoyle puzzle & board games 2007
1045,encore,9.99,jackpot tycoon ( jewel case )
1046,riverdeep,,riverdeep kissing canines
1047,encore,9.99,game of life jc
1048,encore,19.99,monopoly platinum edition
1049,encore software,,home & business lawyer dlx 2006 by broderbund
1050,encore,39.99,middle school advantage 2008
1051,encore software,19.99,tlc clue finders math learning system sb by riverdeep
1052,the learning company,9.99,reader rabbit learn to read phonics pre kindergarten
1053,encore,39.99,high school advantage 2008
1054,encore software,19.99,professor fujis sudoku deluxe by encore
1055,encore software,29.95,high school advantage 2007
1056,encore software,,the print shop 21 standard by broderbund
1057,quark,1289.42,quarkxpress 7 for mac/win .
1058,enfocus software,199.0,pitstop pro 7.0 upgr 6.x or higher
1059,quark,899.0,quarkxpress 7 windows & macintosh )
1060,encore software,49.99,web.com site builder & hosting suite sb by web.com
1061,datawatch,,datawatch monarch v7 ntwk-starter cd most 8u fpm32c070-a08n )
1062,encore software,29.99,pc tools spyware doctor 2007 sb cs by pc tools
1063,lotus development corp,,lotus dev . ibm informix online personal edition media bb0d4na )
1064,encore software,19.99,adventure workshop 4th-6th grade 7th ed sb cs by riverdeep
1065,interplay,69.95,ares rising
1066,encore software,199.99,the print shop design suite pro ed sb cs by the print shop
1067,thq,14.99,evergirl
1068,encore software,,the print shop elements : labels & logos sb cs by the print shop
1069,encore software,19.99,hasbro family game collection 2006
1070,informatics,195.0,wasp barcode fontware w/add-ins
1071,hewlett packard,,windows xp pro nx7400 o/s
1072,encore software,,marine aquarium & goldfish screen saver by encore software
1073,humongous entertainment,19.99,backyard sports backyard basketball and backyard football
1074,encore software,99.99,family tree maker version 16 collectors edition sb cs
1075,csdc,79.99,modeless liquid ledger personal finance software ( mac )
1076,encore software,,the print shop 22 sb cs by the print shop
1077,extensis,,portfolio 8 stand-alone 1-usr boxed
1078,encore software,39.99,3d home architect home v. 8 by encore software
1079,destineer inc,29.99,tropico 2 : pirate cove ( mac )
1080,encore software,19.99,adventure workshop 4th-6th grade 7th edition
1081,smith-micro-software,79.99,stuffit deluxe v 10.0 ( mac )
1082,enfocus software,299.0,pitstop pro 7.0 upgr 5.x or below
1083,nova development,49.99,nova greeting card factory ( mac )
1084,riverdeep,,riverdeep the print shop zoom dvd
1085,freeverse software,24.95,burning monkey solitaire 4.0
1086,encore software,29.99,calendar creator platinum sb cs by riverdeep
1087,git corp,49.95,captain america the complete comic collection win/mac
1088,extensis,,suitcase fusion 1u box
1089,e-mu,129.99,e-mu em8685 beat garden x emulator x2/proteus x2 soundset
1090,aspyr media,49.99,the sims 2 ( mac )
1091,apple,199.99,soundtrack 1.2
1092,aspyr media,49.99,call of duty 2 dvd-rom ( mac )
1093,apple computer,99.99,final cut express 2.0 upgrade
1094,detto-technologies-inc,71.31,detto move2mac usb
1095,allume,38.89,allume aquazone seven seas deluxe
1096,apple,299.0,apple remote desktop 2.2 10 client ( old version )
1097,webroot software,39.95,spy sweeper with antivirus/child safe
1098,aspyr media,49.99,rollercoaster tycoon 3 ( mac )
1099,webroot software,39.99,webroot spysweeper antispyware 3 user
1100,aladdin systems,199.99,poser 7 win 2000 xp mac os 10.4 & up
1101,steinberg,499.99,steinberg cubase studio 4
1102,destineer publishing,19.99,john deere : busy days in deerfield valley
1103,onone software,299.95,genuine fractals print pro 5 1u
1104,fogware publishing,,history ( dvd ) ( pc & mac )
1105,punch ! software,59.99,punch ! master landscape & home design
1106,zend-technologies-inc .,299.0,zend studio 5.1 ( win/mac )
1107,enfocus software,699.0,pitstop pro 7.0
1108,freeverse software,24.99,3d bridge deluxe ( mac )
1109,macsoft,29.99,halo ( mac )
1110,encore software,99.95,the print shop 22 pro publisher deluxe sb cs by the print shop
1111,apple,1299.0,apple final cut studio 2 ( mac )
1112,macsoft,19.99,railroad tycoon 3 ( mac )
1113,apple-computer - ( direct ),99.0,logic express 7.2 upgrade from logic express 6
1114,webroot software,29.95,webroot spy sweeper antispyware 5.x
1115,punch ! software,69.95,punch ! master landscape professional & home design v 10.0
1116,smith-micro-software,19.99,aquazone bass edition
1117,encore,9.99,dk rainbow fish most beautiful fish in the ocean
1118,adobe,1999.0,adobe creative suite cs3 master collection upsell
1119,apple,299.0,apple remote desktop 3 10 managed systems
1120,brighter-minds-media-inc .,19.99,caillou ready for school ( pc & mac )
1121,brighter-minds-media-inc .,9.95,totally spies : zombie jamboree ( win/mac )
1122,apple,,apple xsan ( mac )
1123,belight software,39.99,business card composer ( mac )
1124,makemusic !,69.99,emedia print music 2006 win/mac
1125,adobe,299.0,adobe solution expert support
1126,brighter-minds-media-inc .,19.99,totally spies : total swamp romp ( pc & mac )
1127,steinberg,129.0,steinberg sequel ( pc or mac ) music creation & performance software
1128,miraizon,69.99,miraizon cinematize 2 ( mac )
1129,bias,99.0,bias deck le 3.5 macintosh cd
1130,adobe,599.0,adobe cs3 design premium macosx dvd
1131,power production,,power production storyboard quick
1132,aspyr media,49.99,civilization iv dvd-rom ( mac )
1133,apple computer,499.0,apple shake 4.1 visual effects ( mac )
1134,marvel,49.99,comic book library
1135,h & r block,,taxcut home & bus + state + sage includes act 8.0 & peachtree 2007
1136,mediafour corporation,49.99,mediafour macdrive 6 for windows
1137,steinberg-media-technologies,399.99,wavelab studio 6
1138,laughing bird,39.99,net ad creator
1139,cakewalk,799.0,cakewalk sonar 6 producer ed
1140,iomega,2699.0,iomega nas 400e expansion chassis 1tb 1u
1141,apple,79.0,appleworks 6.2.9
1142,adobe,1083.95,adobe captivate 2.0
1143,crystalgraphics,79.0,crystal 3d impact ! pro 1.25 ( jewel case )
1144,iplaymusic,39.99,play music together mac
1145,microsoft,399.99,microsoft office 2004 standard ( mac )
1146,global-marketing-partners,39.99,swift publisher for mac
1147,destineer,39.99,zoo tycoon 2 ( mac )
1148,sibelius-software-ltd .,599.99,sibelius 4 professional edition
1149,freeverse software,24.99,burning monkey mahjongg ( mac )
1150,git corp,49.99,40 years of the x-men
1151,encore,29.95,pc tools spyware doctor 2007
1152,graphics-simulations-corporation,49.99,x-plane v8 ( mac )
1153,global-marketing-partners,129.0,drive genius by prosoft engineering inc
1154,emedia,600.0,finale 2006 ( pc & mac )
1155,navarre,39.95,istopmotion
1156,onone software,99.95,pro digital frame bundle 1u
1157,smith-micro-software,29.99,internet cleanup 4.0 mac os 10.4 or higher
1158,freeverse software,24.99,burning monkey solitaire 2005 edition
1159,neso usa,99.99,nero 7 ultra edition enhanced pc & home entrmnt soln
1160,apple computer,129.0,apple mac os x tiger 10.4.6 ( mac dvd )
1161,aladdin systems,49.99,faxstf pro mac os 10.3.9 or above
1162,motu,395.0,motu digital performer 5 digital audio software competitive upgrade ( mac only )
1163,aladdin systems,49.99,spring cleaning 9.0 for mac os 10.4 & above
1164,sibelius-software-ltd .,99.99,g7 kontakt edition
1165,chronos l.c.,34.99,chronos stickybrain 3.0 ( mac )
1166,cakewalk,369.0,cakewalk sonar 6 studio
1167,micromat,,micromat techtool protege with firewire device
1168,sibelius-software-ltd .,159.99,sibelius compass
1169,nova development,49.99,print explosion deluxe 3.0 ( mac )
1170,steinberg,999.99,steinberg cubase 4 digital audio software
1171,aladdin systems,79.99,stuffit deluxe 11
1172,symantec,35.57,symc ghost solution suite 2.0 media
1173,git corp,49.99,amazing spider-man complete comic book collection win/mac
1174,adobe,199.0,adobe indesign cs3 upgrade from pagemaker [ mac ]
1175,apple computer,199.0,apple mac os x tiger 10.4.6 family pack ( mac )
1176,valuesoft,29.95,valuesoft tune transfer for ipod software for windows xp
1177,microsoft,149.99,microsoft office student and teacher edition 2004 macintosh
1178,pg-music-inc .,99.0,band in a box 2007
1179,microspot ltd,349.99,microspot x-rip ( mac )
1180,bias,129.0,bias peak le 5
1181,laughing bird,39.99,the logo creator ( mac )
1182,onone software,,onone software pxl smartscale windows and macintosh )
1183,aspyr media,34.99,sims 2 pets expansion pack
1184,global marketing,199.99,iview mediapro 2.5
1185,encore,29.99,3d home architect landscape design deluxe version 9
1186,adobe,999.0,adobe creative suite cs3 web standard [ mac ]
1187,encore software,,clickart 1.2 million 2006 dvd
1188,onone software,,photoframe pro 3.0 1u
1189,nova development,29.99,pc tutor learn windows vista & office 2007
1190,punch ! software,89.99,punch ! professional home design
1191,aspyr media,24.99,sims 2 glamour life stuff pack
1192,mcafee,59.99,mcafee virusscan plus 3 user
1193,onone software,159.95,mask pro 4.0 1u
1194,roxio,99.95,roxio toast 8 titanium
1195,punch ! software,149.95,home design architect series 3000 v10 .0
1196,individual,49.99,individual small business advantage deluxe 2006
1197,emedia,350.0,finale 2007 academic ( win/mac )
1198,intuit,799.95,quickbooks point-of-sale basic 6.0
1199,adobe-education-box,199.0,dreamweaver cs3 9 mac ed 1u
1200,aspyr media,19.99,true crime streets of la ( mac )
1201,fogware publishing,9.99,learn english ( win/mac ) ( jewel case )
1202,brighter-minds-media-inc .,19.99,caillou magical adventures
1203,core learning,59.95,corefx three level
1204,fogware publishing,29.99,space ( dvd ) ( pc & mac )
1205,micromat,99.0,micromat diskstudio mac )
1206,intego,49.99,contentbarrier x4 10.4 single user ( mac )
1207,aladdin systems,49.99,stuffit deluxe 11
1208,valusoft,19.99,tune tools for ipod ( win/mac )
1209,school zone,14.99,flash action phonics made easy
1210,topics entertainment,29.99,kaplan sat/act/psat gold 2007 win/mac
1211,enteractive inc. .,,enteractive fps creator windows )
1212,topics entertainment,49.99,math success deluxe 2008
1213,microsoft,139.43,money home & business 2007 win32 eng na mini box us only cd
1214,school zone,9.99,multiplication and division grades 3-4
1215,microsoft,99.95,microsoft digital image suite 2006 plus pinnacle studio 10.0
1216,macware,29.99,macbackup
1217,aspyr media,9.99,stubbs the zombie in rebel without a pulse ( dvd ) ( mac )
1218,abacus,29.99,civil air patrol : search & rescue
1219,feral interactive,49.95,the movies ( mac )
1220,got game,19.99,atlantis quest
1221,corel,69.99,ulead videostudio 10
1222,ncsoft,49.99,guild wars nightfall
1223,mariner software,149.95,montage ( mac )
1224,navarre ( software ),24.95,giggles computer funtime for baby shapes ( win/mac )
1225,sony-pictures-digital-entertainment,499.95,sony acid pro 6 professional music workstation
1226,sos-aggregation-company,,calculation skills v1 add & sub basic core learning
1227,sony-media-software,19.99,sony super duper music looper
1228,viva media,29.99,learn to play chess with fritz and chesster ( mac )
1229,software cinema,,adobe photoshop cs2 advanced techniques by julieanne kost
1230,findex,349.95,quickverse mac bible study 2007 gold box
1231,adobe,1445.9,adobe framemaker 7.2 ( windows )
1232,sony media,399.96,sound forge 9.0
1233,topics entertainment,19.95,audio success suite edition : sales success
1234,apple,299.99,logic express 6
1235,adobe-education-box,69.0,photoshop elements 4 edu mac 1u
1236,cakewalk,149.99,pc cakewalk guitar tracks pro 3
1237,dvo enterprises,39.99,dvo cook 'n deluxe 6.0 ultimate recipe organizer
1238,sony media,69.59,sound forge audio studio 9
1239,groove media,19.99,close quarters conflict
1240,sony-pictures-digital-entertainment,305.18,upgrade acid pro 6 boxed
1241,nolo press,79.99,quicken legal business pro 2007
1242,sage software,499.99,peachtree by sage premium accounting 2007
1243,aspyr media,39.99,prey
1244,sage software,169.99,peachtree by sage pro accounting 2007
1245,global-software-publishing-north-america-inc,9.99,gsp greatest moments of our time
1246,sage software,269.99,peachtree by sage complete accounting 2007
1247,topics entertainment,,audio success series : winning strategies
1248,sony media,49.95,american idol extreme music creator
1249,navarre ( software ),29.95,window washer
1250,emedia,59.99,emedia piano and keyboard method volume 1
1251,adobe,449.99,adobe acrobat standard 8.0
1252,software cinema,,adobe photoshop cs2 fundamental techniques by julieanne kost
1253,phantom efx,19.99,reel deal casino shuffle master edition
1254,global-software-publishing,19.99,john deere : welcome to merriweather farm
1255,sony,399.95,sony acid pro 5
1256,2k games,19.99,galaxy of games 5000
1257,individual software,39.99,total 3d home & landscape design suite version 9
1258,punch ! software,129.99,punch ! home design architectura series 18
1259,encore,99.99,print shop 22 pro publisher deluxe
1260,navarre ( software ),39.95,hijack2
1261,corel,29.99,intervideo dvd copy 5 express
1262,adobe,199.0,adobe flash pro cs3 upgrade [ mac ]
1263,macware,29.99,photoedit 2 ( mac )
1264,punch ! software,69.99,punch ! professional home design suite
1265,dreamcatcher interactive,29.99,3 great games for guys
1266,sony-pictures-digital-entertainment,69.99,sony sound forge audio studio 8
1267,fogware publishing,29.99,places ( pc & mac )
1268,sony media,78.95,acid music studio 7
1269,punch ! software,39.99,punch 5 in 1 home design
1270,magix entertainment,29.99,xtreme photostory on cd and dvd 6
1271,aladdin systems,49.99,anime studio 5 win 98/me 2000/xp mac os 10.4 & up
1272,punch ! software,129.99,punch ! home design architectural series 18
1273,adobe,199.0,adobe soundbooth cs3
1274,freeverse software,29.99,wingnuts 2 ( mac )
1275,punch ! software,49.99,punch ! super home suite
1276,individual software,39.99,quickverse bible premier suite
1277,palo-alto-software,179.0,palo alto marketing plan pro 9.0
1278,global-marketing-partners,50.88,easy video editor 2.0 by honest technology
1279,palo-alto-software,199.0,palo alto business plan pro premier 2007
1280,abacus,19.99,national parks : enhanced scenery add-on for microsoft flight simulator 2002 & 2000
1281,palo-alto-software,99.95,palo alto business plan pro 2007
1282,adobe,999.0,adobe after effects cs3
1283,namo,99.99,namo webeditor 2006
1284,punch ! software,99.99,punch ! master landscape & home design
1285,feral interactive,29.99,black & white platinum pack ( mac )
1286,webroot software,29.99,webroot desktop firewall
1287,punch ! software,39.99,punch ! 5 in 1 home design
1288,nc soft,29.99,city of heroes good vs. evil edition
1289,nova development,29.99,business card factory deluxe 3.0
1290,punch ! software,199.99,punch ! home design architectural series 4000 v10
1291,yamaha,34.95,big tiny little a tiny little christmas
1292,microsoft,,small business server 2003 20u cal addpak user
1293,individual software,49.99,systemsuite 8 professional
1294,knowledge adventure,19.99,jumpstart 4th-6th grade v 2.0 b43
1295,avanquest software,29.95,pcdefense
1296,imaginova,19.99,starry night astronomy screensaver win/mac
1297,findex.com inc,69.95,quickverse sermon builder 4.0
1298,abacus,29.95,ultra sudoku/ultra kakuro
1299,topics entertainment,19.95,snap ! spelling ( jewel case )
1300,sony-pictures-digital-entertainment,,acad vegas movie studio + dvd 8 platinum
1301,global-marketing-partners,39.95,bitdefender antivirus 10.0 [ 2 year subscription for 2 pcs ]
1302,encore,19.99,scrabble with bonus clue
1303,encore,9.99,scrabble complete ( jewel case )
1304,re : launch,149.95,piano wizard premier software & stickers & midi cable
1305,microsoft software,799.0,microsoft visual studio professional w/msdn professional 2005 renewal
1306,emedia,59.99,emedia guitarpro 5 win/mac
1307,avanquest,19.99,spycatcher 2007for pc
1308,intuit,34.95,intuit quicken home inventory manager windows
1309,yamaha,31.95,academy award winners
1310,computer associates,39.95,ca antivirus 2007
1311,zone labs,39.99,zonealarm pro firewall
1312,victory multimedia,19.95,sales skills 2.0 ages 10 +
1313,core learning,19.95,brain builder
1314,aspyr media,29.99,return to castle wolfenstein ( mac )
1315,masque publishing,,solitaire antics deluxe
1316,abacus,19.95,aircraft collector 's second edition
1317,findex,,findex quickverse bible study 2007 bible-suite
1318,riverdeep,9.99,treasure mountain ! ( jewel case ) ages 5-9 for win/mac
1319,global-marketing-partners,50.86,video patrol 5.0 by honest technology
1320,topics entertainment,4.99,snap ! kakuro
1321,topics entertainment,9.99,instant immersion american sign language win/mac
1322,adobe,1599.0,adobe creative suite cs3 design premium upsell
1323,topics entertainment,19.99,simple slide show
1324,encore software,39.99,printmaster platinum v 17.0
1325,delorme,59.95,street atlas usa 2007 plus dvd
1326,knowledge adventure,19.99,jumpstart world 2nd grade
1327,strategy first,39.99,great invasions
1328,sos-aggregation-company,39.95,web graphics creator
1329,topics entertainment,49.99,instant immersion translator deluxe 2.0
1330,onone software,59.95,onone essentials for adobe photoshop elements version 2 full
1331,fogware publishing,19.99,funny faces deluxe
1332,emedia,29.94,emedia blues guitar legends
1333,destineer,34.95,age of empires iii : the warchiefs expansion pack ( mac )
1334,adobe,999.0,adobe creative suite cs3 web standard
1335,midisoft corporation,,guitar tool worship edition
1336,delorme,49.95,delorme topo usa mapping software 6.0 east region
1337,nero inc.,99.95,nero 8 ultra edition
1338,fogware publishing,29.99,weekly reader mastering high school 2008
1339,true-north-technology-inc .,99.99,northstar for pc/mac
1340,makemusic !,375.0,make music allegro 2007 labpack 5 user
1341,topics entertainment,,instant immersion hawaiian audio
1342,language-engineering-co-llc,79.99,power translator 11 premium
1343,csdc,79.99,liquid ledger personal finance
1344,masque publishing,19.95,sportsman 's double play
1345,knowledge adventure,19.99,jumpstart advanced preschool v2 .0
1346,csdc,39.95,visual thesaurus the thinkmap inc.
1347,topics education,19.99,phonics success essentials : grades 7-9
1348,dvo enterprises,19.99,cook 'n cd recipe cards
1349,adobe,799.0,adobe creative suite cs3 web standard upsell [ mac ]
1350,abacus,39.99,train sim modeler design studio
1351,alfred publishing,9.99,learn to play keyboard ( jewel case )
1352,topware interactive,39.99,ufo afterlight
1353,topics entertainment,29.99,instant immersion italian deluxe v2 .0 ( large box )
1354,aspyr media,49.99,enemy territory : quake wars
1355,fogware publishing,19.99,weekly reader mastering elementary/middle school math learning
1356,dreamcatcher interactive,19.99,sentinel : descendants in time
1357,magix entertainment,19.99,photostory on cd & dvd 5
1358,adobe,3314.09,flash remoting 1 alp ret eng cd 2u
1359,school zone,9.99,shapes
1360,nuance-communications-inc .,99.99,dragon naturally speaking standard v9
1361,aladdin systems,29.99,mediarecover
1362,nova development,29.99,photo explosion 3.0
