Fiscal year,Section ID,CountryRegion name,Organisation name,Knowledge for development (marker),Trade development (marker),Organisation class,CountryRegion percent,Youth issues (marker),Continent ID,Bilateral aid (international marker),CFLI (marker),Branch name,Regional program (marker),Urban issues (marker),PBA type,Desertification (marker),Maximum CIDA contribution (project-level),Children issues (marker),Division ID,Continent name,Status,Project number,CIDA business delivery model (old),Division name,Project Browser country ID,Branch ID,Sector percent,Participatory development and good governance,Organisation type,Disability issues (marker),Gender equality (marker),Section name,Biodiversity (marker),Programming process (new),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,NE,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,NE,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,NG,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,NG,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,RW,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,RW,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SC,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SC,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SD,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SD,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SL,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SL,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SN,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SN,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SO,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SO,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,ST,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,ST,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SZ,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,SZ,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,TD,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,TD,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,TG,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,TG,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,TN,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,TN,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,TZ,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,TZ,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,UG,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,UG,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,ZA,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,ZA,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,ZM,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4227,Africa,World Bank,0,0,Multilateral,0.0189,0,2,1,0,WGM Sub-Saharan Africa,1,0,Pooled funding,0,10000000.0,0,D4270,Africa,Terminating,A033975001,Core Funding,WED Southern & Eastern Africa,ZM,B4200,0.5,0,Foreign Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4246,PanAfrica,10000000.0,0.0,0.0,0,0,0
2009/2010,S4232,South Sudan,CHF,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,3000000.0,0,D4270,Africa,Closed,A033980001,Responsive,WED Southern & Eastern Africa,SS,B4200,0.3,0,Canadian Non-Profit Making,0,0,South Sudan Program,0,Uncoded: Pre-APP,4232,South Sudan,3000000.0,0.7,0.0,0,0,0
2009/2010,S4232,South Sudan,CHF,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,3000000.0,0,D4270,Africa,Closed,A033980001,Responsive,WED Southern & Eastern Africa,SS,B4200,0.4,0,Canadian Non-Profit Making,0,0,South Sudan Program,0,Uncoded: Pre-APP,4232,South Sudan,3000000.0,0.7,0.0,0,0,0
2009/2010,S4232,South Sudan,CHF,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,3000000.0,0,D4270,Africa,Closed,A033980001,Responsive,WED Southern & Eastern Africa,SS,B4200,0.3,0,Canadian Non-Profit Making,0,0,South Sudan Program,0,Uncoded: Pre-APP,4232,South Sudan,3000000.0,0.7,0.0,0,0,0
2009/2010,S4232,Sudan,Save the Children Canada,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,1931440.83,1,D4270,Africa,Closed,A033982001,Responsive,WED Southern & Eastern Africa,SD,B4200,0.25,0,Canadian Non-Profit Making,0,2,South Sudan Program,0,Uncoded: Pre-APP,4232,South Sudan,1931440.83,1.0,0.0,0,0,0
2009/2010,S4232,Sudan,Save the Children Canada,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,1931440.83,1,D4270,Africa,Closed,A033982001,Responsive,WED Southern & Eastern Africa,SD,B4200,0.75,0,Canadian Non-Profit Making,0,2,South Sudan Program,0,Uncoded: Pre-APP,4232,South Sudan,1931440.83,1.0,0.0,0,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0662,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,VC,B4400,0.8,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0662,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,VC,B4400,0.15,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0662,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,VC,B4400,0.05,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,AG,B4400,0.8,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,AG,B4400,0.15,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,AG,B4400,0.05,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,AI,B4400,0.8,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,AI,B4400,0.15,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,AI,B4400,0.05,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,BB,B4400,0.8,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,BB,B4400,0.15,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,BB,B4400,0.05,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,CU,B4400,0.8,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,CU,B4400,0.15,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,CU,B4400,0.05,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,DM,B4400,0.8,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,DM,B4400,0.15,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,DM,B4400,0.05,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,DO,B4400,0.8,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,DO,B4400,0.15,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,DO,B4400,0.05,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,GD,B4400,0.8,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,GD,B4400,0.15,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,GD,B4400,0.05,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,HT,B4400,0.8,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,HT,B4400,0.15,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
2009/2010,S4429,Caribbean,Colleges and Institutes Canada,0,1,Civil Society,0.0667,1,1,1,0,NGM Americas,1,0,Not PBA,0,428434.0,0,D4400,America,Closed,A033983PRE,Responsive,NDD Americas Programming,HT,B4400,0.05,0,Canadian Non-Profit Making,0,2,Caricom - Adm,0,Uncoded: Pre-APP,4434,Caribbean Region,428434.0,0.95,0.0,1,0,0
