assay_id,assay_subcellular_fraction,doc_id,assay_category,assay_tax_id,assay_cell_type,assay_tissue,assay_type,assay_strain,bao_format,tissue_id,description,assay_test_type,assay_organism,tid,relationship_type,confidence_score
5631,,5199,,5978.0,,,A,,BAO0op0218,,Plasma clearance was determined in canine following intravenous (iv) administration of drug (1 mg/kg).,In vivo,Canis lupus familiaris,50588,N,1
5632,,16907,,50282.0,,,A,,BA90009218,,Plasma clearance after 15 mg/kg iv dose in Dogs,In vivo,Canis lupus familiaris,50588,N,1
5633,,16907,,24188.0,,,A,,BwO000021u,,Plasma clearance after 30 mg/kg po dose in Dogs,In vivo,Canis lupus familiaris,50588,N,1
5634,,16367,,27992.0,,,A,,Bx90000218,,Plasma administration to dogs,In vivo,Canis lupus familiaris,50588,N,1
5635,,5505,,12709.0,,,A,,BAO00003w8,,Plasma clearance was determined,In vivo,Canis lupus familiaris,50588,N,1
5636,,6215,,42122.0,,,A,,nAO000o218,,Systemic clearance after intravenous administration (0.5 mg/kg) was determined in dog,In vivo,Canis lupus familiaris,50588,N,1
5637,,1466,,22523.0,,,A,,nAO0000e18,,Tested for systemic clearance upon intravenous administration of 5.0 mg/Kg dose in dog,In vivo,Canis lupus familiaris,50588,N,1
5638,Micfosomew,5007,,44588.0,,kiver,A,,BAO0000w52,320548.0,Intrinsic clearance in human liver microsomes,In vitro,Homo sapiens,102164,S,2
5639,Microsihes,5007,,21197.0,,Liber,A,,BqO000o251,933275.0,Intrinsic clearance in human liver microsomes,In vitro,Homo sapiens,102164,S,2
5640,,16452,,5673.0,,,A,,BAO0000e1o,,Pharmacokinetic data at 0.5 mg/kg dose given to dogs intravenously.,In vivo,Canis lupus familiaris,50588,N,1
5641,,16452,,25002.0,,,A,,BAO0000qw8,,Pharmacokinetic data at 1 mg/kg dose given to dogs intravenously,In vivo,Canis lupus familiaris,50588,N,1
5642,,16452,,13573.0,,,A,,BAO00p02w8,,Clearance in dog (dose 1 mg/kg i.v.),In vivo,Canis lupus familiaris,50588,N,1
5643,,6221,,18043.0,,,A,,BAOo00o218,,Plasma clearance after oral administration (2.5 mg/kg) in dog was determined,In vivo,Canis lupus familiaris,50588,N,1
5644,,5007,,24480.0,,,A,,BAO00002w9,,Plasma clearance in dogs administered perorally (5 mg/kg) and intravenously (2 mg/kg),In vivo,Canis lupus familiaris,50588,N,1
5645,,5668,,2385.0,,,A,,BAl00o0218,,Plasma clearance after peroral administration at 10 mpk in dog,In vivo,Canis lupus familiaris,50588,N,1
5646,,5668,,2094.0,,,A,,BAO00p021i,,Plasma clearance after peroral administration at 5 mpk in dog,In vivo,Canis lupus familiaris,50588,N,1
5647,,5668,,20872.0,,,A,,BAO0o002q8,,Plasma clearance after peroral administration at 5 mg/kg in dog,In vivo,Canis lupus familiaris,50588,N,1
5648,,15660,,37267.0,,,A,,BzO0000118,,Plasma clearance was measured in dog,In vivo,Canis lupus familiaris,50588,N,1
5649,,15660,,6043.0,,,A,,BAOpo00218,,Plasma clearance was measured in dog,In vivo,Canis lupus familiaris,50588,N,1
5650,,5983,,30176.0,,,A,,BxO00002w8,,Pharmacokinetic property (CLtot) was measured in dog at the dose of 0.032 mg/kg i.v.,In vivo,Canis lupus familiaris,50588,N,1
5651,,5600,,61906.0,,,A,,BsO0000118,,Total clearance was determined after 0.1 mg/kg iv administration in dog,In vivo,Canis lupus familiaris,50588,N,1
5652,,17764,,70118.0,,,A,,BAO090o218,,Clearance of compound after intravenous administration in dogs at 1.2 uM/kg,In vivo,Canis lupus familiaris,50588,N,1
5653,,6039,,64551.0,,,A,,BA90000228,,Clearance after intravenous administration of 0.5 mg/kg in dog was determined,In vivo,Canis lupus familiaris,50588,N,1
5654,,6039,,34165.0,,,A,,BA0p000218,,Clearance after intravenous administration of 1.0 mg/kg in dog was determined,In vivo,Canis lupus familiaris,50588,N,1
5655,,6039,,22674.0,,,A,,BAO0p00e18,,Clearance after peroral administration of 0.2 mg/kg in dog was determined,In vivo,Canis lupus familiaris,50588,N,1
5656,,4368,,15875.0,,,A,,BAO000o21u,,Clearance by intravenous administration of 1.2 mg/kg in dog,In vivo,Canis lupus familiaris,50588,N,1
5657,,4305,,35017.0,,,A,,BA800002q8,,Clearance by iv administration in dogs at a dose of 1 mg/kg,In vivo,Canis lupus familiaris,50588,N,1
5658,,1918,,8675.0,,Plwsma,A,,BA99000218,553386.0,Clearance value was evaluated in dog plasma,In vivo,Canis lupus familiaris,50588,N,1
5659,,6005,,16913.0,,,A,,BAOo000219,,Clearance was evaluated after i.v. administration in dog at a dose of 1 mg/kg,In vivo,Canis lupus familiaris,50588,N,1
5660,,4839,,20004.0,,0lasma,A,,hAO00002w8,2229865.0,Compound was tested for plasma clearance in dog,In vivo,Canis lupus familiaris,50588,N,1
5661,,4239,,13395.0,,,A,,BAO000o318,,Pharmacokinetic property (Plasma clearance) was measured in dog,In vivo,Canis lupus familiaris,50588,N,1
5662,,17729,,29771.0,,,A,,gAO0900218,,Area under curve when injected perorally in mice at a dose of 50 mg/kg,,Mus musculus,50594,N,1
5663,,17728,,54709.0,,,A,,fAO0000q18,,Area under curve when injected perorally in BALB/C mice at a dose of 50 mg/kg,,Mus musculus,50594,N,1
5664,,5302,,34053.0,,,A,,BAO00o02q8,,Area under curve value in mouse at a dose of 10 mg/kg,,Mus musculus,50594,N,1
5665,,5506,,25732.0,,,A,,BAO0990218,,Area under curve was determined at a dose of 100 mg/kg (i.p.) in Mice,,Mus musculus,50594,N,1
5666,,5506,,21340.0,,,A,,gA90000218,,Area under curve was determined at a dose of 200 mg/kg (i.p.) in Mice,,Mus musculus,50594,N,1
5667,,17764,,37558.0,,,F,,hAO0900218,,Area under curve was determined for compound after intraperitoneal administration in mice at 18 uM/kg,,Mus musculus,50594,N,1
5668,,17764,,26102.0,,,F,,nAO0000w18,,Area under curve was determined for compound after intraperitoneal administration in mice at 23 uM/kg,,Mus musculus,50594,N,1
5669,,17764,,22052.0,,,F,,BAO00092q8,,Area under curve was determined for compound after intraperitoneal administration in mice at 25 uM/kg,,Mus musculus,50594,N,1
5670,,17764,,13353.0,,,F,,gA80000218,,Area under curve was determined for compound after intraperitoneal administration in mice at 26 uM/kg,,Mus musculus,50594,N,1
5671,,17764,,39362.0,,,A,,BAO0000w1u,,Area under curve was determined for compound after intravenous administration in mice at 24 uM/kg,,Mus musculus,50594,N,1
5672,,17753,,9109.0,,,A,,BAOo00021i,,Area under curve was determined for the compound at 24 mg/Kg,,Mus musculus,50594,N,1
5673,,17753,,5684.0,,,A,,fAOp000218,,Area under curve was determined for the compound at 40 mg/Kg,,Mus musculus,50594,N,1
5674,,17753,,6660.0,,,A,,BAO9o00218,,Area under curve was determined for the compound at 5 mg/Kg,,Mus musculus,50594,N,1
5675,,3132,,327.0,,,A,,BAO0000117,,Area under the curve for the compound is obtained at dose 25 mg/kg,,Mus musculus,50594,N,1
5676,,3132,,28617.0,,,A,,BAO0900318,,Area under the curve for the compound was obtained when tested in mouse,,Mus musculus,50594,N,1
5677,,17837,,4547.0,,,A,,BqO00002w8,,Area under the curve of compound in mouse blood following i.v. administration of 10 mg/kg,,Mus musculus,50594,N,1
5678,,17837,,7057.0,,,A,,BAOp00p218,,Area under the curve of compound in mouse blood following p.o. administration of 30 mg/kg,,Mus musculus,50594,N,1
5679,,6062,,13644.0,,,A,,BAO090021u,,Area under the curve was measured in mouse after an iv dose of 1 mg/kg,,Mus musculus,50594,N,1
5680,,4066,,27199.0,,,A,,BAp0p00218,,Area under the curve was determined for the compound at a single subcutaneous administration of 40 mg/kg in mice,,Mus musculus,50594,N,1
5681,,16597,,27180.0,,,A,,vAO0o00218,,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for area under curve (AUCtot),,Mus musculus,50594,N,1
5682,,14239,,10205.0,,,A,,BAOp00p218,,Compound was evaluated for the area under the concentration - time curve by administering intravenously at 25 mg/kg in mice,,Mus musculus,50594,N,1
5683,,14239,,31744.0,,,A,,BAp9000218,,Compound was evaluated for the area under the concentration - time curve by administering orally at 25 mg/kg in mice,,Mus musculus,50594,N,1
5684,,4890,,19238.0,,,A,,BsO00002w8,,"Compound was evaluated for the pharmacokinetic parameter, area under curve",,Mus musculus,50594,N,1
5685,,429,,26015.0,,,A,,BzO00o0218,,Evaluated for pharmacokinetic parameter area under curve in mouse at the dose 20 mg/kg (0-4 hr ),,Mus musculus,50594,N,1
5686,,429,,800.0,,,A,,BsO000021u,,Evaluated for pharmacokinetic parameter area under curve in mouse at the dose 20 mg/kg (0-4 hr),,Mus musculus,50594,N,1
5687,,5969,,8768.0,,,A,,BA9p000218,,In vivo area under curve (AUC) was determined in murine septicemia at dose of 100 mg/kg,,Mus musculus,50594,N,1
5688,,5969,,3830.0,,,A,,BwO0009218,,In vivo area under curve (AUC) was determined in murine septicemia at dose of 50 mg/kg,,Mus musculus,50594,N,1
5689,,5969,,18208.0,,,A,,vAO0000318,,In vivo area under curve (AUC) was determined in murine septicemia at dose of 50 mg/kg;ND=not determined,,Mus musculus,50594,N,1
5690,,6091,,20359.0,,,A,,nqO0000218,,Pharmacokinetic activity (AUC) in vivo after intravenous administration of 10 mg/kg in mouse,,Mus musculus,50594,N,1
5691,,6091,,72796.0,,,A,,BAO0090217,,Pharmacokinetic activity (AUC) in vivo after intravenous administration of 10 mg/kg in mouse;ND=Not determined,,Mus musculus,50594,N,1
5692,,6091,,33443.0,,,A,,BAO00p0w18,,Pharmacokinetic activity (AUC) in vivo after peroral administration of 10 mg/kg in mice,,Mus musculus,50594,N,1
5693,,6091,,24206.0,,,A,,BAOo0002q8,,Pharmacokinetic activity (AUC) in vivo after peroral administration of 10 mg/kg in mice;ND=Not determined,,Mus musculus,50594,N,1
5694,,6178,,3409.0,,,A,,BAO0090217,,Pharmacokinetic property (AUC) was determined after ip administration of 32 mg/kg in mice,,Mus musculus,50594,N,1
5695,,6178,,12764.0,,,A,,BzO0000q18,,Pharmacokinetic property (AUC) was determined after po administration of 32 mg/kg in mice,,Mus musculus,50594,N,1
5696,,6619,,17886.0,,,A,,BAO0p09218,,"Reduction in area under curve was determined in DIO mice by oral glucose tolerance test following a single i.p. dose (10 mg/kg, 30 min pre-treatment)",,Mus musculus,50594,N,1
5697,,6619,,46881.0,,,A,,BxOp000218,,"Reduction in area under curve was determined in ob/ob mice by oral glucose tolerance test following a single i.p. dose (10 mg/kg, 30 min pre-treatment)",,Mus musculus,50594,N,1
5698,,3760,,5407.0,,,A,,BAO0p00w18,,"The area under concentration-time curve(AUC) was determined at 5 mg/kg of compound dose, administered intravenously in mice",,Mus musculus,50594,N,1
5699,,3760,,4293.0,,,A,,hAO0000w18,,"The area under concentration-time curve(AUC) was determined at 5 mg/kg of compound dose, administered perorally in mice",,Mus musculus,50594,N,1
5700,,3760,,14501.0,,,A,,BAOp00021o,,"The area under concentration-time curve(AUC) was determined at 50 mg/kg of compound dose, administered intravenously in mice",,Mus musculus,50594,N,1
5701,,3760,,17359.0,,,A,,BqO00002w8,,"The area under concentration-time curve(AUC) was determined at 50 mg/kg of compound dose, administered perorally in mice",,Mus musculus,50594,N,1
5702,,3192,,31940.0,,,A,,BAOp00021o,,The area under curve in vivo in mouse blood level after oral administration at dose 50 mk/kg e-1,,Mus musculus,50594,N,1
5703,,3192,,52181.0,,,A,,BAp0000217,,The area under curve in vivo in mouse blood level after subcutaneous administration at dose 50 mk/kg e-1,,Mus musculus,50594,N,1
5704,,2675,,52844.0,,,A,,BAO900021i,,Area under the curve was evaluated in mice after intravenous administration,,Mus musculus,50594,N,1
5705,,2675,,43461.0,,,A,,BAO0000ww8,,Area under the curve was evaluated in mice after oral administration,,Mus musculus,50594,N,1
5706,,16597,,38479.0,,llasma,A,,BAk0900218,100680.0,AUC total value at a dose of 10 mg/kg intravenous administration in mice.,,Mus musculus,50594,N,1
5707,,16597,,47780.0,,llasma,A,,BAO0p00217,992228.0,AUC total value at a dose of 10 mg/kg peroral administration in mice.,,Mus musculus,50594,N,1
5708,,16597,,3946.0,,,A,,fAO0000228,,At a dose 50 mg/kg (114 umol/kg) was administered intraperitoneally to mice and was evaluated for area under curve (AUCtot),,Mus musculus,50594,N,1
5709,,17734,,4394.0,,,A,,BAO00p0219,,AUMC after intraperitoneal administration of 100 mg/kg in mice,,Mus musculus,50594,N,1
5710,,7767,,28957.0,,Bloor,A,,BAO0o0o218,1167135.0,Biodistribution in blood was determined in mice after iv administration at 15 min Value expressed as percent injected dose per gram,In vivo,Mus musculus,50594,N,1
5711,,15345,,,9L,,F,,BxO9000219,,The compound was tested in vitro for anticancer activity against 9L cells,,,80653,N,1
5712,,2181,,29541.0,,,F,,BAO0000918,,Anti proliferation activity determined; Weak effect,,Rattus norvegicus,22226,U,0
5713,,2181,,90991.0,,,F,,BwO0009219,,Inhibition of cell growth by compound at a concentration of 100 uM in 9Ltk+ cells; Completely stopped the process,,Rattus norvegicus,22226,U,0
5714,,2181,,3085.0,,,F,,BAO000p319,,Inhibition of cell growth by compound at a concentration of 10 uM in 9Ltk+ cells,,Rattus norvegicus,22226,U,0
5715,,2181,,39901.0,,,F,,BA80o00219,,Inhibition of cell growth by compound at a concentration of 10 uM in 9Ltk+ cells; Completely stopped the process,,Rattus norvegicus,22226,U,0
5716,,10486,,34822.0,,,F,,BAOo0000w9,,The cytotoxic activity was in vitro tested by 9PS assay method,,Mus musculus,22226,U,0
5717,,10486,,27589.0,,,F,,vqO0000019,,The cytotoxic activity was in vitro tested by 9PS assay method.,,Mus musculus,22226,U,0
5718,,15508,,,,,A,,BAlo000019,,Partition coefficient (logD6.5),,,22224,U,0
5719,,5242,,14884.0,A278o,,F,,gAO000o219,,Inhibitory concentration in vitro for cytotoxic activity against A 2780 human ovarian carcinoma cells,,Homo sapiens,81034,N,1
5720,,16167,,12944.0,A375,,F,,BxO0000w19,,Effective concentration against A 375 cell line growth (DFMO concentration is 5.0 mM),,Homo sapiens,80018,N,1
5721,,4782,,23929.0,A431,,F,,BAk0000319,,Inhibitory concentration required against A 431 human epidermoid carcinoma cell line,,Homo sapiens,80852,N,1
5722,,16093,,22577.0,A431,,F,,fAO000021i,,Inhibition of EGF-induced Tyrosine phosphorylation in A431 cells expressing EGF-R,,Homo sapiens,9,D,9
5723,,2596,,13559.0,A498,,F,,hAO0000319,,Compound was evaluated for in vitro cytotoxicity against A 498 cancer cell line,,Homo sapiens,80021,N,1
5724,,2596,,1961.0,A498,,F,,BAk000p219,,in vitro cytotoxicity against A 498 cancer cell line,,Homo sapiens,80021,N,1
5725,,3239,,20586.0,A498,,F,,BxO0p00219,,In vitro cytotoxic activity against renal (A 498) cancer cell line.,,Homo sapiens,80021,N,1
5726,,1847,,32249.0,A498,,F,,BAO00002wi,,Cytotoxic activity against A 498 renal cancer cell lines.,,Homo sapiens,80021,N,1
5727,,10553,,118271.0,A498,,F,,BAO9900219,,In vitro cytotoxicity was determined against A 498 human renal tumor cell line using NCI screen,,Homo sapiens,80021,N,1
5728,,16219,,15815.0,,,F,,gAO0000o19,,Minimum inhibitory concentration against Staphylococcus aureus A 5177 MLSB-i,,Staphylococcus aureus,22226,U,0
5729,,16219,,11324.0,,,F,,BAO900p019,,Minimum inhibitory concentration against Staphylococcus aureus A 5177 MLSB-i,,Staphylococcus aureus,22226,U,0
5730,,16219,,1457.0,,,F,,BA8000p019,,Minimum inhibitory concentration against Staphylococcus aureus A 5278 MLSB-c,,Staphylococcus aureus,22226,U,0
5731,,16219,,39462.0,,,F,,BAOp009019,,Minimum inhibitory concentration against Staphylococcus aureus A 5278 MLSB-c,,Staphylococcus aureus,22226,U,0
5732,,4782,,41479.0,A549,,F,,fAOp000219,,Inhibitory concentration required against A 549 lung cancer cell line,,Homo sapiens,80682,N,1
5733,,11805,,498.0,A549,,F,,BAp0000319,,Growth inhibition of A 549 cell line by MTT reduction for 3 days of incubation time,,Homo sapiens,80682,N,1
5734,,11805,,1130.0,A549,,F,,vAOp000219,,Growth inhibition of A 549 cell line by MTT reduction for 7 days of incubation time,,Homo sapiens,80682,N,1
5735,,2007,,42125.0,A549,,F,,vAO9000219,,In vitro cytotoxicity against lung cancer A 549 cell lines,,Homo sapiens,80682,N,1
5736,,4594,,13543.0,A549,,F,,BAO0090218,,Compound was tested for its cytotoxicity against A 549 cell line,,Homo sapiens,80682,N,1
5737,,6018,,13683.0,A549,,F,,BAO0900e19,,"Cytotoxic activity against A 549 human lung tumor cell line, using sulforhodamine B (SRB) assay.",,Homo sapiens,80682,N,1
5738,,6018,,23138.0,A549,,F,,BA90900219,,"Cytotoxic activity against A 549 human lung tumor cell line, using sulforhodamine B (SRB) assay.; No data",,Homo sapiens,80682,N,1
5739,,3599,,15206.0,A549,,F,,BsO0900219,,In vitro cytotoxic activity against A 549 (non-small cell lung) using SRB (sulforhodamine B) assay,,Homo sapiens,80682,N,1
5740,,2551,,34715.0,A549,,F,,BA80900219,,Tested for in vitro cytotoxicity against A 549 (human lung) tumor cell line using sulforhodamine B (SRB) assay,,Homo sapiens,80682,N,1
5741,,16132,,28640.0,A549,,F,,BAO9000210,,In vitro inhibition of A549 (human lung cancer) cell growth.,,Homo sapiens,80682,N,1
5742,,16132,,25505.0,A549,,F,,BAO9000229,,Cytotoxic related antitumor activity against human cancer cell lines A 549; No data available,,Homo sapiens,80682,N,1
5743,,2551,,14654.0,A549,,F,,gAO0p00219,,Tested for in vitro cytotoxicity against A 549 (human lung) tumor cell line using sulforhodamine B (SRB) assay,,Homo sapiens,80682,N,1
5744,,2551,,30823.0,A549,,F,,BAO009021p,,Tested for in vitro cytotoxicity against A 549 (human lung) tumor cell line using sulforhodamine B (SRB) assay; not active (> 100 uM),,Homo sapiens,80682,N,1
5745,,11913,,,,,F,,nAk0000218,,Tested against A II at (100 ng/kg iv) in Dawley rats (n=2). 24 h,,,22226,U,0
5746,,12621,,,,,F,,BAO00003q8,,The duration of action for the % peak inhibition of A II pressor response for dose of 0.1 mg/kg intravenous administration in conscious dogs.,In vivo,,104694,H,4
5747,,12621,,,,,F,,vxO0000218,,The duration of action for the % peak inhibition of A II pressor response for dose of 1.0 mg/kg peroral administration in rhesus monkeys.,In vivo,,104694,H,4
5748,,12621,,,,,F,,BAio000218,,The duration of action for the % peak inhibition of angiotensin II pressor response for dose of 0.1 mg/kg peroral administration in conscious rats.,In vivo,,104694,H,4
5749,,12621,,,,,F,,BAOp00021i,,The compound was evaluated for the % peak inhibition of A II pressor response for dose of 0.3 mg/kg peroral administration in rhesus monkeys.,In vivo,,104694,H,4
5750,,12621,,,,,F,,BA0000021i,,The compound was evaluated for the percentage of inhibition of A II pressor response in rats for peroral administration.,In vivo,,104694,H,4
5751,,3600,,27000.0,A498,,F,,Bsp0000219,,Inhibition of A-498 human Renal cell proliferation,,Homo sapiens,80021,N,1
5752,,1796,,42943.0,,,F,,BA80090019,,"Membrane potential change (fluorescence-based in vitro assay using DIBAC4 as indicator) in A-10 smooth muscle cell, to estimate potassium channel opening activity at 0.1 uM",,Rattus norvegicus,22226,U,0
5753,,1796,,48976.0,,,F,,fwO0000019,,"Membrane potential change (fluorescence-based in vitro assay using DIBAC4 as indicator) in A-10 smooth muscle cell, to estimate potassium channel opening activity at 1 uM",,Rattus norvegicus,22226,U,0
5754,,1796,,4129.0,,,F,,BAO000po19,,"Membrane potential change (fluorescence-based in vitro assay using DIBAC4 as indicator) in A-10 smooth muscle cell, to estimate potassium channel opening activity at 10 uM",,Rattus norvegicus,22226,U,0
5755,,16464,,25537.0,A172,,F,,vxO0000219,,Cytotoxicity against A-172 glioblastomas using MTT colorimetric assay,,Homo sapiens,80012,N,1
5756,,16464,,20220.0,A172,,F,,BAOo090219,,Cytotoxicity against A-172 glioblastomas using MTT colorimetric assay; NE is no effect at 1x 10 E-5,,Homo sapiens,80012,N,1
5757,,16464,,240.0,A172,,F,,BAOo0p0219,,Cytotoxicity against A-172 glioblastomas using MTT colorimetric assay; NE is no effect at 1x 10 E-5,,Homo sapiens,80012,N,1
5758,,13617,,19616.0,A549,,F,,BzO000021o,,Concentration required to inhibit growth of human tumor A549 (NSCL) cell line.,,Homo sapiens,80682,N,1
5759,,4584,,27167.0,A549,,F,,BAOo900219,,Concentration which produces 50% inhibition of growth of human lung carcinoma cell line A549,,Homo sapiens,80682,N,1
5760,,13799,,49627.0,A549,,F,,BAl00p0219,,Cytotoxic activity evaluated against A549 tumor cells,,Homo sapiens,80682,N,1
5761,,16726,,17388.0,A549,,F,,BA800002w9,,Cytotoxic potentiation of Topotecan (TP) by the compound in human lung carcinoma A549 cell line,,Homo sapiens,80682,N,1
5762,,16109,,21265.0,A549,,F,,BAO0000228,,Cytotoxicity against A549 cells when the drug is exposed for a time of 1 hr,,Homo sapiens,80682,N,1
5763,,16109,,11174.0,A549,,F,,nAO0000119,,Cytotoxicity against A549 cells when the drug is exposed for a time of 96 hrs,,Homo sapiens,80682,N,1
5764,,15474,,13437.0,A549,,F,,fAO0009219,,Cytotoxicity against A549 tumor cell line determined by WST-1 assay,,Homo sapiens,80682,N,1
5765,,6851,,28529.0,A549,,F,,BAk0000218,,Cytotoxicity of compound against A549 cell line,,Homo sapiens,80682,N,1
5766,,17534,,18009.0,A549,,F,,BqO00o0219,,Cytotoxicity against human lung cell carcinoma A549 cell line,,Homo sapiens,80682,N,1
5767,,2621,,24828.0,A549,,F,,BsOp000219,,Cytotoxicity against human lung carcinoma A549 cell line using MTT assay,,Homo sapiens,80682,N,1
5768,,830,,11225.0,A549,,F,,Bw80000219,,Cytotoxicity was evaluated in vitro against A549 (non-small cell lung carcinoma) human tumor cell lines,,Homo sapiens,80682,N,1
5769,,14255,,818.0,A549,,F,,BAO0009229,,In vitro antitumor activity against A549 human non-small lung carcinoma cells containing 10% fetal bovine serum,,Homo sapiens,80682,N,1
5770,,14255,,24031.0,A549,,F,,BAO009o219,,In vitro antitumor activity against A549 human non-small lung carcinoma cells containing 10% fetal bovine serum; Not determined,,Homo sapiens,80682,N,1
5771,,1590,,18086.0,A549,,F,,BAOp0002w9,,In vitro antitumor activity against A549 human NSCLC lung carcinoma cells,,Homo sapiens,80682,N,1
5772,,6146,,2391.0,A549,,F,,fAi0000219,,In vitro concentration required to inhibit the TNF-alpha-induced RANTES production in A549 human lung epithelium cell line,,Homo sapiens,80682,N,1
5773,,17427,,34394.0,A549,,F,,BAO009p219,,In vitro cytotoxicity against A549 (human lung carcinoma) cell line.,,Homo sapiens,80682,N,1
5774,,5280,,13056.0,A549,,F,,hAO000021i,,In vitro cytotoxicity against parental and drug resistant lung human tumor cell line A549,,Homo sapiens,80682,N,1
5775,,16786,,2562.0,A549,,F,,BAO0pp0219,,In vitro cytotoxicity of compound against human A549 (non small cell lung) cancer cell line after 72 hr of drug exposure,,Homo sapiens,80682,N,1
5776,,5895,,27586.0,A549,,F,,Bxl0000219,,In vitro cytotoxicity against A549 (human lung cancer),,Homo sapiens,80682,N,1
5777,,14297,,4831.0,A549,,F,,BAO0009319,,In vitro cytotoxicity against A-549 (human lung carcinoma) cell line.,,Homo sapiens,80682,N,1
5778,,17824,,66176.0,A549,,F,,BAO0o00w18,,In vivo antiproliferative activity against A549 cell line,,Homo sapiens,80682,N,1
5779,,14368,,12457.0,A549,,F,,BxO0o00219,,Inhibition of non-small-cell lung adenocarcinoma (A549),,Homo sapiens,80682,N,1
5780,,14368,,26802.0,A549,,F,,BAO00o0210,,Inhibition of non-small-cell lung adenocarcinoma (A549) after 48-h treatment,,Homo sapiens,80682,N,1
5781,,14254,,11218.0,A549,,F,,BAOpo00219,,Inhibition of the growth against human non-small-lung carcinoma (A549) cell line after 72 hr exposure,,Homo sapiens,80682,N,1
5782,,15897,,18488.0,A549,,F,,BxO00002w9,,Inhibitory activity against A549 cell line using MTT assay(Wild type p53),,Homo sapiens,80682,N,1
5783,,13866,,14023.0,A549,,F,,BqOo000219,,Inhibitory activity against A549 epithelial Cancer cell line at the concentration 0-30 uM for 48 hr,,Homo sapiens,80682,N,1
5784,,13370,,19677.0,A549,,F,,BzO0o00219,,Inhibitory activity of compound against human A549 lung carcinoma cell line.,,Homo sapiens,80682,N,1
5785,,4862,,44118.0,A549,,F,,fAO00p0219,,Inhibitory activity against A549 lung cancer cell line,,Homo sapiens,80682,N,1
5786,,4862,,3124.0,A549,,F,,BAO00002qi,,Inhibitory activity against Taxol-resistant A549 lung cancer cell line,,Homo sapiens,80682,N,1
5787,,4862,,16456.0,A549,,F,,BAk000021o,,Inhibitory activity against Taxol-resistant A549 lung cancer cell line; not determined,,Homo sapiens,80682,N,1
5788,,15970,,25053.0,A549,,F,,BA90000229,,Inhibitory concentration against A549 (lung cancer) cell line,,Homo sapiens,80682,N,1
5789,,17713,,4333.0,A549,,F,,BAO000921p,,In vitro cytotoxicity against A-549 (human lung carcinoma) cell line.,,Homo sapiens,80682,N,1
5790,,4833,,42367.0,A549,,F,,BzO0900219,,Tested in vitro for inhibitory effect on the growth of human A-549 cancer cell line,,Homo sapiens,80682,N,1
5791,,13736,,6016.0,A549,,F,,BAO00p0229,,Activity against A549 cancer cell line.,,Homo sapiens,80682,N,1
5792,,4312,,40711.0,A549,,F,,BAOp000e19,,The compound was evaluated for cytotoxicity against A549 cell line,,Homo sapiens,80682,N,1
5793,,5421,,54266.0,A549,,F,,BwO0o00219,,The compound was examined for its ability to block tumor necrosis factor alpha (TNF alpha) induced IL-8 production in A549 human lung carcinoma cell line using an ELISA,,Homo sapiens,80682,N,1
5794,,5421,,58061.0,A549,,F,,BAi00p0219,,The compound was tested for its ability to inhibit tumor necrosis factor alpha (TNF alpha) induced apoptosis in A549 human lung carcinoma cell line,,Homo sapiens,80682,N,1
5795,,14717,,19522.0,A549,,F,,BAOo0002q9,,Growth inhibitory activity was measured for human A549 tumor cell line.,,Homo sapiens,80682,N,1
5796,,4634,,5529.0,A549,,F,,BAl0p00219,,Inhibitory activity against A549 lung cancer cell line,,Homo sapiens,80682,N,1
5797,,1149,,13824.0,A549,,F,,BAOo000229,,Inhibitory activity against A549 cell line; inactive,,Homo sapiens,80682,N,1
5798,,5421,,11324.0,A549,,F,,gAO0000218,,Inhibition of NFkB (transcription factor) activation in A549 human lung carcinoma cell line at 20 uM,,Homo sapiens,80682,N,1
5799,,5421,,31950.0,A549,,F,,BAO090021i,,Inhibition of NFkB (transcription factor) activation in A549 human lung carcinoma cell line at 20 uM,,Homo sapiens,80682,N,1
5800,,5421,,73143.0,A549,,F,,BA00000210,,Compound was tested for its ability to inhibit tumor necrosis factor alpha (TNF alpha) induced apoptosis in A549 human lung carcinoma cell line at 20 uM concentration,,Homo sapiens,80682,N,1
5801,,3320,,32140.0,A549,,F,,BAO000011p,,In vitro cytotoxic activity against A549 tumor cell line by SRB assay at 72 hour at a concentration 10E-4 (M/L),,Homo sapiens,80682,N,1
5802,,3320,,14978.0,A549,,F,,vAO0900219,,In vitro cytotoxic activity against A549 tumor cell line by SRB assay at 72 hour at a concentration 10E-5 (M/L),,Homo sapiens,80682,N,1
5803,,3320,,3559.0,A549,,F,,BqO0000w19,,In vitro cytotoxic activity against A549 tumor cell line by SRB assay at 72 hour at a concentration 10E-6 (M/L),,Homo sapiens,80682,N,1
5804,,3320,,19606.0,A549,,F,,BzO000o219,,In vitro cytotoxic activity against A549 tumor cell line by SRB assay at 72 hour at a concentration 10E-7 (M/L),,Homo sapiens,80682,N,1
5805,,3320,,59174.0,A549,,F,,BAk0p00219,,In vitro cytotoxic activity against A549 tumor cell line by SRB assay at 72 hour at a concentration 10E-8 (M/L),,Homo sapiens,80682,N,1
5806,,5726,,10717.0,A549,,F,,BAO000031i,,In vitro percent inhibition evaluated against human lung cancer (A549 cell line) at >20 ug/mL,,Homo sapiens,80682,N,1
