Fiscal year,Participatory development and good governance,Branch ID,Branch name,CountryRegion ID,Continent name,Organisation sub-class,Section ID,Fund centre name,Regional program (marker),Organisation class,PBA type,Bilateral aid (international marker),Sector name,Climate change adaptation (marker),Project number,Status,Maximum CIDA contribution (project-level),Division ID,Division name,Section name,Fund centre ID,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Trade development (marker),Biodiversity (marker)
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,SPECIALIZED INSTITUTE,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531001,Terminating,13700000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,13700000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,SPECIALIZED INSTITUTE,S4227,PanAfrica,1,Civil Society,Not PBA,1,Anti-corruption organisations and institutions,0,A033531001,Terminating,13700000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,13700000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,SPECIALIZED INSTITUTE,S4227,PanAfrica,1,Civil Society,Not PBA,1,Democratic participation and civil society,0,A033531001,Terminating,13700000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,13700000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,SPECIALIZED INSTITUTE,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531001,Terminating,13700000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,13700000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,SPECIALIZED INSTITUTE,S4227,PanAfrica,1,Civil Society,Not PBA,1,Anti-corruption organisations and institutions,0,A033531001,Terminating,13700000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,13700000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,SPECIALIZED INSTITUTE,S4227,PanAfrica,1,Civil Society,Not PBA,1,Democratic participation and civil society,0,A033531001,Terminating,13700000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,13700000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,SPECIALIZED INSTITUTE,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531001,Terminating,13700000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,13700000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,SPECIALIZED INSTITUTE,S4227,PanAfrica,1,Civil Society,Not PBA,1,Anti-corruption organisations and institutions,0,A033531001,Terminating,13700000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,13700000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,SPECIALIZED INSTITUTE,S4227,PanAfrica,1,Civil Society,Not PBA,1,Democratic participation and civil society,0,A033531001,Terminating,13700000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,13700000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531002,Terminating,93465.53,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,93465.53,0.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531002,Terminating,93465.53,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,93465.53,0.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,80,Africa,CONSULTING SERVICES,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531002,Terminating,93465.53,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,93465.53,0.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,CONSULTING SERVICES,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531002,Terminating,93465.53,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,93465.53,0.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,CONSULTING SERVICES,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531002,Terminating,93465.53,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,93465.53,0.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,CONSULTING SERVICES,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531002,Terminating,93465.53,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,93465.53,0.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,CONSULTING SERVICES,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033531002,Terminating,93465.53,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,93465.53,0.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,X1,Africa,FEDERAL,S4227,PanAfrica,1,Governmental,Not PBA,1,Public sector policy and administrative management,0,A033534002,Terminating,58940.94,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,58940.94,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,X1,Africa,CONSULTING SERVICES,S4227,PanAfrica,1,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A033534002,Terminating,58940.94,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,58940.94,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Water sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Public sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Democratic participation and civil society,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Agricultural water resources,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Fishing policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Environmental policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Flood prevention/control,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Water sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Public sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Democratic participation and civil society,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Agricultural water resources,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Fishing policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Environmental policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,70,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Flood prevention/control,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,90,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Water sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,90,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Public sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,90,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Democratic participation and civil society,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,90,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Agricultural water resources,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,90,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Fishing policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,90,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Environmental policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,90,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Flood prevention/control,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Water sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Public sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Democratic participation and civil society,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Agricultural water resources,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Fishing policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Environmental policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Flood prevention/control,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Water sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Public sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Democratic participation and civil society,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Agricultural water resources,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Fishing policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Environmental policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Flood prevention/control,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Water sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Public sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Democratic participation and civil society,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Agricultural water resources,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Fishing policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Environmental policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Flood prevention/control,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Water sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Public sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Democratic participation and civil society,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Agricultural water resources,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Fishing policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Environmental policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Flood prevention/control,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Water sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Public sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Democratic participation and civil society,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Agricultural water resources,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Fishing policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Environmental policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Flood prevention/control,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,110,Africa,IFI,S4227,PanAfrica,1,Multilateral,Not PBA,1,Water sector policy and administrative management,0,A033535001,Terminating,10000000.0,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4246,10000000.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
