Fiscal year,Fund centre name,Biodiversity (marker),CountryRegion ID,Organisation type,Organisation name,Desertification (marker),Sector name,CountryRegion percent,CountryRegion name,Fund centre ID,CFLI (marker),Youth issues (marker),Organisation class,Urban issues (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Untied amount(Project-level budget),FSTC percent,IRTC percent,CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker)
2009/2010,South Sudan,0,SD,Canadian Non-Profit Making,Save the Children Canada,0,Basic drinking water supply,1.0,Sudan,4232,0,0,Civil Society,0,A033384004,Closed,1365265.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,1365265.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Canadian Non-Profit Making,Save the Children Canada,0,Basic sanitation,1.0,Sudan,4232,0,0,Civil Society,0,A033384004,Closed,1365265.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,1365265.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Canadian Non-Profit Making,Save the Children Canada,0,Agricultural inputs,1.0,Sudan,4232,0,0,Civil Society,0,A033384004,Closed,1365265.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,1365265.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Canadian Non-Profit Making,Save the Children Canada,0,Agricultural education/training,1.0,Sudan,4232,0,0,Civil Society,0,A033384004,Closed,1365265.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,1365265.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Canadian Non-Profit Making,SIM Canada,0,Basic health care,1.0,Sudan,4232,0,0,Civil Society,0,A033384005,Closed,2027164.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,900592.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Canadian Non-Profit Making,SIM Canada,0,Basic drinking water supply,1.0,Sudan,4232,0,0,Civil Society,0,A033384005,Closed,2027164.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,900592.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Canadian Non-Profit Making,SIM Canada,0,Basic sanitation,1.0,Sudan,4232,0,0,Civil Society,0,A033384005,Closed,2027164.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,900592.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Foreign Non-Profit Making,Overseas Development Institute,0,Material relief assistance and services,1.0,Sudan,4232,0,0,Civil Society,0,A033384008,Closed,100000.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,100000.0,0.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public sector policy and administrative management,1.0,Sudan,4232,0,0,Governmental,0,A033385001,Closed,2509592.45,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,2509592.45,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Canadian Non-Profit Making,Parliamentary Centre,0,Public sector policy and administrative management,1.0,Sudan,4232,0,0,Civil Society,0,A033385001,Closed,2509592.45,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,2509592.45,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,South Sudan,0,SD,Canadian Profit Making,Hawes International (HIN) Inc.,0,Public sector policy and administrative management,1.0,Sudan,4232,0,0,Civil Society,0,A033385001,Closed,2509592.45,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4232,South Sudan Program,0,2509592.45,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Vietnam,0,VN,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Advanced technical and managerial training,1.0,Viet Nam,4112,0,0,Governmental,0,A033388PRE,Terminating,414802.35,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,412784.15,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Vietnam,0,VN,Canadian Profit Making,Tamarack Group,0,Advanced technical and managerial training,1.0,Viet Nam,4112,0,0,Civil Society,0,A033388PRE,Terminating,414802.35,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,412784.15,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Vietnam,0,VN,Canadian Profit Making,Maureen Callahan Consulting,0,Advanced technical and managerial training,1.0,Viet Nam,4112,0,0,Civil Society,0,A033388PRE,Terminating,414802.35,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,412784.15,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Vietnam,0,VN,Canadian Profit Making,Information not available,0,Advanced technical and managerial training,1.0,Viet Nam,4112,0,0,Individual,0,A033388PRE,Terminating,414802.35,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4107,OAV Vietnam,0,412784.15,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Non-Profit Making,Natural Resources Canada,0,Basic nutrition,1.0,Guyana,4438,0,0,Governmental,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Profit Making,Information not available,0,Basic nutrition,1.0,Guyana,4438,0,0,Individual,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Non-Profit Making,Natural Resources Canada,0,Infectious disease control,1.0,Guyana,4438,0,0,Governmental,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Profit Making,Information not available,0,Infectious disease control,1.0,Guyana,4438,0,0,Individual,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Non-Profit Making,Natural Resources Canada,0,Basic drinking water supply,1.0,Guyana,4438,0,0,Governmental,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Profit Making,Information not available,0,Basic drinking water supply,1.0,Guyana,4438,0,0,Individual,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Non-Profit Making,Natural Resources Canada,0,Basic sanitation,1.0,Guyana,4438,0,0,Governmental,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Profit Making,Information not available,0,Basic sanitation,1.0,Guyana,4438,0,0,Individual,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Non-Profit Making,Natural Resources Canada,0,Business support services and institutions,1.0,Guyana,4438,0,0,Governmental,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Profit Making,Information not available,0,Business support services and institutions,1.0,Guyana,4438,0,0,Individual,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Non-Profit Making,Natural Resources Canada,0,Mineral/mining policy and administrative management,1.0,Guyana,4438,0,0,Governmental,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Profit Making,Information not available,0,Mineral/mining policy and administrative management,1.0,Guyana,4438,0,0,Individual,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Non-Profit Making,Natural Resources Canada,0,Environmental policy and administrative management,1.0,Guyana,4438,0,0,Governmental,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Profit Making,Information not available,0,Environmental policy and administrative management,1.0,Guyana,4438,0,0,Individual,0,A033393001,Closed,2334066.47,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,2334066.47,0.400000001,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Nepal,0,NP,Canadian Non-Profit Making,Canadian Bar Association,0,Public sector policy and administrative management,1.0,Nepal,4117,0,0,Civil Society,0,A033399002,Closed,2169045.31,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,2169045.31,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Nepal,0,NP,Canadian Non-Profit Making,Canadian Co-operative Association,0,Public sector policy and administrative management,1.0,Nepal,4117,0,0,Civil Society,0,A033399002,Closed,2169045.31,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,2169045.31,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Nepal,0,NP,Canadian Non-Profit Making,Canadian Bar Association,0,Elections,1.0,Nepal,4117,0,0,Civil Society,0,A033399002,Closed,2169045.31,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,2169045.31,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Nepal,0,NP,Canadian Non-Profit Making,Canadian Co-operative Association,0,Elections,1.0,Nepal,4117,0,0,Civil Society,0,A033399002,Closed,2169045.31,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,2169045.31,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Nepal,0,NP,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public sector policy and administrative management,1.0,Nepal,4117,0,0,Governmental,0,A033399003,Closed,2408989.59,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,2408989.59,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Nepal,0,NP,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Elections,1.0,Nepal,4117,0,0,Governmental,0,A033399003,Closed,2408989.59,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,2408989.59,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Nepal,0,NP,Canadian Non-Profit Making,Media and Democracy Group,0,Public sector policy and administrative management,1.0,Nepal,4117,0,0,Civil Society,0,A033399004,Closed,179326.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,179326.65,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Nepal,0,NP,Canadian Non-Profit Making,Media and Democracy Group,0,Elections,1.0,Nepal,4117,0,0,Civil Society,0,A033399004,Closed,179326.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,179326.65,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Malawi,0,MW,Foreign Non-Profit Making,Deutsche Gesellschaft f�r Internationale Zusammenarbeit,0,Education facilities and training,1.0,Malawi,4280,0,1,Para-Governmental,0,A033400001,Closed,4875425.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4875425.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Malawi,0,MW,Foreign Non-Profit Making,Deutsche Gesellschaft f�r Internationale Zusammenarbeit,0,Teacher training,1.0,Malawi,4280,0,1,Para-Governmental,0,A033400001,Closed,4875425.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4875425.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Afghanistan,0,AF,Canadian Profit Making,Development Works Inc.,0,Agricultural policy and administrative management,1.0,Afghanistan,4125,0,0,Civil Society,0,A033401001,Closed,5076679.01,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,5076679.01,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Bangladesh,0,BD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Medical research,1.0,Bangladesh,4122,0,0,Governmental,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,PACIFIC HEALTH AND DEVELOPMENT SCIENCES INC.,0,Medical research,1.0,Bangladesh,4122,0,0,Civil Society,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Basic health care,1.0,Bangladesh,4122,0,0,Governmental,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,PACIFIC HEALTH AND DEVELOPMENT SCIENCES INC.,0,Basic health care,1.0,Bangladesh,4122,0,0,Civil Society,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Basic nutrition,1.0,Bangladesh,4122,0,0,Governmental,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,PACIFIC HEALTH AND DEVELOPMENT SCIENCES INC.,0,Basic nutrition,1.0,Bangladesh,4122,0,0,Civil Society,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Infectious disease control,1.0,Bangladesh,4122,0,0,Governmental,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,PACIFIC HEALTH AND DEVELOPMENT SCIENCES INC.,0,Infectious disease control,1.0,Bangladesh,4122,0,0,Civil Society,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Health personnel development,1.0,Bangladesh,4122,0,0,Governmental,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,PACIFIC HEALTH AND DEVELOPMENT SCIENCES INC.,0,Health personnel development,1.0,Bangladesh,4122,0,0,Civil Society,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Reproductive health care,1.0,Bangladesh,4122,0,0,Governmental,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,PACIFIC HEALTH AND DEVELOPMENT SCIENCES INC.,0,Reproductive health care,1.0,Bangladesh,4122,0,0,Civil Society,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Family planning,1.0,Bangladesh,4122,0,0,Governmental,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,PACIFIC HEALTH AND DEVELOPMENT SCIENCES INC.,0,Family planning,1.0,Bangladesh,4122,0,0,Civil Society,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,STD control including HIV/AIDS,1.0,Bangladesh,4122,0,0,Governmental,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Bangladesh,0,BD,Canadian Profit Making,PACIFIC HEALTH AND DEVELOPMENT SCIENCES INC.,0,STD control including HIV/AIDS,1.0,Bangladesh,4122,0,0,Civil Society,0,A033402001,Closed,12065264.69,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,12065264.69,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,Pooled funding,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Oxfam Canada,0,Teacher training,1.0,Pakistan,4124,0,0,Civil Society,0,A033408001,Closed,2442000.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,2442000.0,0.5,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Oxfam Canada,0,Primary education,1.0,Pakistan,4124,0,0,Civil Society,0,A033408001,Closed,2442000.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,2442000.0,0.5,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Oxfam Canada,0,Basic life skills for youth and adults,1.0,Pakistan,4124,0,0,Civil Society,0,A033408001,Closed,2442000.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,2442000.0,0.5,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Oxfam Canada,0,Agricultural policy and administrative management,1.0,Pakistan,4124,0,0,Civil Society,0,A033408001,Closed,2442000.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,2442000.0,0.5,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Oxfam Canada,0,Reconstruction relief and rehabilitation,1.0,Pakistan,4124,0,0,Civil Society,0,A033408001,Closed,2442000.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,2442000.0,0.5,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Oxfam Canada,0,Disaster prevention and preparedness,1.0,Pakistan,4124,0,0,Civil Society,0,A033408001,Closed,2442000.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,2442000.0,0.5,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,IN,Canadian Non-Profit Making,Aga Khan Foundation Canada,0,Social/welfare services,1.0,India,4124,0,0,Civil Society,0,A033416001,Closed,891634.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,0.0,0.65,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,IN,Canadian Non-Profit Making,Aga Khan Foundation Canada,0,Agricultural policy and administrative management,1.0,India,4124,0,0,Civil Society,0,A033416001,Closed,891634.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,0.0,0.65,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,IN,Canadian Non-Profit Making,Aga Khan Foundation Canada,0,Reconstruction relief and rehabilitation,1.0,India,4124,0,0,Civil Society,0,A033416001,Closed,891634.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,0.0,0.65,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,IN,Canadian Non-Profit Making,Aga Khan Foundation Canada,0,Disaster prevention and preparedness,1.0,India,4124,0,0,Civil Society,0,A033416001,Closed,891634.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,0.0,0.65,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Habitat for Humanity Canada,0,Reconstruction relief and rehabilitation,1.0,Pakistan,4124,0,0,Civil Society,0,A033417001,Closed,805275.0,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,0.0,0.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ghana,1,GH,Foreign Non-Profit Making,Government of Ghana,1,Primary education,1.0,Ghana,4254,0,1,Governmental,1,A033419001,Closed,99724217.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4253,Ghana Program Section,0,99724217.0,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,General budget support,2
2009/2010,Ghana,1,GH,Foreign Non-Profit Making,Government of Ghana,1,Basic health care,1.0,Ghana,4254,0,1,Governmental,1,A033419001,Closed,99724217.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4253,Ghana Program Section,0,99724217.0,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,General budget support,2
2009/2010,Ghana,1,GH,Foreign Non-Profit Making,Government of Ghana,1,Basic nutrition,1.0,Ghana,4254,0,1,Governmental,1,A033419001,Closed,99724217.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4253,Ghana Program Section,0,99724217.0,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,General budget support,2
2009/2010,Ghana,1,GH,Foreign Non-Profit Making,Government of Ghana,1,Basic drinking water supply,1.0,Ghana,4254,0,1,Governmental,1,A033419001,Closed,99724217.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4253,Ghana Program Section,0,99724217.0,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,General budget support,2
2009/2010,Ghana,1,GH,Foreign Non-Profit Making,Government of Ghana,1,Basic sanitation,1.0,Ghana,4254,0,1,Governmental,1,A033419001,Closed,99724217.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4253,Ghana Program Section,0,99724217.0,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,General budget support,2
2009/2010,Ghana,1,GH,Foreign Non-Profit Making,Government of Ghana,1,Public sector policy and administrative management,1.0,Ghana,4254,0,1,Governmental,1,A033419001,Closed,99724217.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4253,Ghana Program Section,0,99724217.0,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,General budget support,2
2009/2010,Ghana,1,GH,Foreign Non-Profit Making,Government of Ghana,1,Decentralisation and support to subnational government,1.0,Ghana,4254,0,1,Governmental,1,A033419001,Closed,99724217.0,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4253,Ghana Program Section,0,99724217.0,0.0,0.0,Core Funding,Uncoded: Pre-APP,1,General budget support,2
