variant_id,relationship_type,bao_format,assay_category,description,assay_id,curated_by,tissue_id,confidence_score,assay_subcellular_fraction,assay_test_type,cell_id,src_assay_id,assay_tax_id,src_id,assay_cell_type,tid,assay_type,assay_organism,assay_strain,chembl_id,doc_id,assay_tissue
,N,BAO_0000219,,Antitumor activity of compound for 96-h exposure in A2780 human ovarian cell line,6930,Intermediate,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL877598,16112,
,N,BAO_0000219,,Cytotoxic activity against A2780 human ovarian carcinoma cell line,6931,Expert,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621781,16597,
,N,BAO_0000219,,Cytotoxicity against human cancer cell lines A2780 (ovarian),6932,Intermediate,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621782,16378,
,N,BAO_0000219,,Growth and colony formation inhibition of A2780 ovarian cancer cell lines,6933,Expert,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621783,16085,
,N,BAO_0000219,,Inhibition of cell growth in human ovarian carcinoma cell line (A2780) using the 96 hour continuous exposure sulforhodamine B (SRB) growth delay assay,6934,Intermediate,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621784,16317,
,N,BAO_0000219,,The compound was tested for cytotoxic activity against A2780 cell line(human ovarian carcinoma ),6935,Intermediate,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621785,15748,
,N,BAO_0000219,,Inhibition of A2780 / DDP-R human ovarian carcinoma cell proliferation,6936,Expert,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621968,16597,
,N,BAO_0000219,,Inhibition of A2780 / TAX-R human ovarian carcinoma cell proliferation,6937,Expert,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621969,16597,
,N,BAO_0000219,,Inhibition of A2780 / TAX-S human ovarian carcinoma cell proliferation,6938,Expert,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621970,16597,
,N,BAO_0000219,,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 2,6939,Intermediate,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621971,15608,
,N,BAO_0000219,,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 3,6940,Intermediate,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL621972,15608,
,N,BAO_0000219,,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 5,6941,Intermediate,,1,,,478.0,,9606.0,1,A2780,81034,F,Homo sapiens,,CHEMBL884108,15608,
,U,BAO_0000019,,Cytotoxicity on AA8 cell growth (reduce cell number by 50%).,6942,Autocuration,,0,,,,,10029.0,1,,22224,F,Cricetulus griseus,,CHEMBL623826,15296,
,U,BAO_0000219,,Evaluated for cytotoxicity under aerobic conditions against AA8 cells using microassay,6943,Autocuration,,0,,,185.0,,10029.0,1,CHO-AA8,22224,A,Cricetulus griseus,,CHEMBL623827,10251,
,U,BAO_0000219,,Evaluated for growth inhibition of AA8 cells under aerobic conditions,6944,Autocuration,,0,,,185.0,,10029.0,1,CHO-AA8,22224,F,Cricetulus griseus,,CHEMBL623828,10251,
,U,BAO_0000219,,Evaluated for growth inhibition of AA8 cells under aerobic or hypoxic conditions,6945,Autocuration,,0,,,185.0,,10029.0,1,CHO-AA8,22224,F,Cricetulus griseus,,CHEMBL623829,10251,
,U,BAO_0000219,,Evaluated for growth inhibition of AA8 cells under aerobic or hypoxic conditions (air/N2),6946,Autocuration,,0,,,185.0,,10029.0,1,CHO-AA8,22224,F,Cricetulus griseus,,CHEMBL623830,10251,
,U,BAO_0000019,,Growth inhibition against CHO-derived cell line AA8,6947,Autocuration,,0,,,,,10029.0,1,,22224,F,Cricetulus griseus,,CHEMBL623831,11858,
,U,BAO_0000219,,Growth inhibition against CHO-derived cell line AA8 (Non toxic at solubility limit) [RB6145 used as positive control],6948,Autocuration,,0,,,185.0,,10029.0,1,CHO-AA8,22224,F,Cricetulus griseus,,CHEMBL623832,11858,
,N,BAO_0000219,,Growth inhibition in CHO subline AA8 cells exposed for 18 hr under aerobic(air) conditions,6949,Expert,,1,,,185.0,,36483.0,1,CHO-AA8,80089,F,hampster,,CHEMBL623833,11616,
,N,BAO_0000219,,Growth inhibitory activity against CHO subline AA8 cells exposed for 18 hr under aerobic conditions,6950,Expert,,1,,,185.0,,10029.0,1,CHO-AA8,80089,F,Cricetulus griseus,,CHEMBL623834,11616,
,U,BAO_0000219,,Tested for the concentration of the drug to reduce cell numbers to 50 percent of controls against AA8 cells in the microassay,6951,Autocuration,,0,,,185.0,,10029.0,1,CHO-AA8,22224,F,Cricetulus griseus,,CHEMBL623835,10518,
,U,BAO_0000219,,Growth inhibition of aerobic chinese hamster ovary fibroblast AA8 cell line using an exposure time of 18 hours,6952,Autocuration,,0,,,185.0,,10029.0,1,CHO-AA8,22224,F,Cricetulus griseus,,CHEMBL623836,11396,
,U,BAO_0000219,,IC50 (air/N2) ratio of the drug to reduce cell numbers to 50 percent of controls using AA8 cells in the microassay,6953,Autocuration,,0,,,185.0,,10029.0,1,CHO-AA8,22224,F,Cricetulus griseus,,CHEMBL623837,10518,
,N,BAO_0000219,,In vitro therapeutic index as ratio of CT10 and C1.3 calculated for AA8 cells.,6954,Expert,,1,,,185.0,,10029.0,1,CHO-AA8,80089,F,Cricetulus griseus,,CHEMBL623838,11616,
,H,BAO_0000019,,compound was evaluated for association constant (Ka) of isolated serum protein AAG,6955,Autocuration,,8,,,,,,1,,12675,F,,,CHEMBL623839,14837,
,H,BAO_0000019,,Number of binding sites (n) of isolated serum protein AAG,6956,Autocuration,,8,,,,,,1,,12675,F,,,CHEMBL623840,14837,
,M,BAO_0000225,,Association constant for binding to AATT duplex,6957,Intermediate,,3,,,,,,1,,22222,B,,,CHEMBL623841,16037,
,N,BAO_0000219,,Inhibition of ABAE human fibroblast cell proliferation,6958,Expert,,1,,,416.0,,9606.0,1,ABAE,100090,F,Homo sapiens,,CHEMBL623842,16597,
,N,BAO_0000218,,"Compound was evaluated for the antitumor activity against AC755 breast carcinoma for ip administration and daily x 10 schedule; Number of toxic deaths over total number of mice per group (T/C), 1/7 at dose of 25 mg/kg",6959,Intermediate,,1,,,1064.0,,10090.0,1,AC755,80668,F,Mus musculus,,CHEMBL623843,8831,
,D,BAO_0000218,,Percent change in total cholesterol(TC) versus (T0)- at which drug intervention begins at a dose of 25 mg/kg in the chronic cholesterol-fed rabbit model,6960,Expert,,9,,,,,9986.0,1,,102444,F,Oryctolagus cuniculus,,CHEMBL618669,13419,
,D,BAO_0000218,,Oral bioactivity expressed as %inhibition after 4 hours of drug administration (dose 25 mg/kg) in rabbit bioassay,6961,Expert,,9,,In vivo,,,9986.0,1,,102444,F,Oryctolagus cuniculus,,CHEMBL618670,13419,
,H,BAO_0000357,,Inhibitory activity against angiotensin-converting enzyme (ACE).,6962,Autocuration,,8,,,,,,1,,69,B,,,CHEMBL618671,15778,
,H,BAO_0000357,,oral activity against angiotensin -converting enzyme ( ACE) and neutral endopeptidase in mouse.,6963,Autocuration,,8,,,,,,1,,69,B,,,CHEMBL618672,15778,
,N,BAO_0000219,,Effect against HIV-1 chronically infected promonocytic cell line ACH-2 cells,6964,Intermediate,,1,,,978.0,,9606.0,1,ACH-2 cell line,80669,F,Homo sapiens,,CHEMBL618673,12988,
,N,BAO_0000219,,Effect against HIV-1 chronically infected promonocytic cell line ACH-2 cells in the presence of PMA(phorbol 12-myristate 13-acetate),6965,Intermediate,,1,,,978.0,,9606.0,1,ACH-2 cell line,80669,F,Homo sapiens,,CHEMBL618674,12988,
,U,BAO_0000219,,Effect against HIV-1 expression in a chronically infected human T cell line ACH-2,6966,Autocuration,,0,,,998.0,,11676.0,1,T cell line,22224,F,Human immunodeficiency virus 1,,CHEMBL618675,12988,
,U,BAO_0000219,,Effect against HIV-1 expression in a chronically infected human T cell line ACH-2 in the presence of PMA(phorbol 12-myristate 13-acetate),6967,Autocuration,,0,,,998.0,,11676.0,1,T cell line,22224,F,Human immunodeficiency virus 1,,CHEMBL618676,12988,
,U,BAO_0000219,,Effect against HIV-1 expression in a chronically infected human T cell line ACH-2i n the presence of PMA(phorbol 12-myristate 13-acetate),6968,Autocuration,,0,,,998.0,,11676.0,1,T cell line,22224,F,Human immunodeficiency virus 1,,CHEMBL618677,12988,
,N,BAO_0000219,,Inhibition of growth of renal cancer ACHN cell line,6969,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618678,11843,
,N,BAO_0000219,,Inhibition of growth of ACHN renal cancer cell line,6970,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618679,16939,
,N,BAO_0000219,,Inhibitory concentration required against ACHN renal cancer cell line,6971,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618680,4782,
,N,BAO_0000219,,Concentration required to inhibit growth of human renal (ACHN) cell line,6972,Expert,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618681,6310,
,N,BAO_0000219,,Concentration required to inhibit growth of human renal (ACHN) cell line; nt = not tested,6973,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618682,6310,
,N,BAO_0000219,,Cytotoxic activity against ACHN Renal cancer cell line,6974,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618683,12858,
,N,BAO_0000219,,Cytotoxicity evaluation against ACHN renal cancer cells,6975,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618684,17380,
,N,BAO_0000219,,In vitro antitumor activity against human renal ACHN cell line,6976,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618685,5858,
,N,BAO_0000219,,In vitro growth inhibition of compound was determined against ACHN cell lines of Renal cancer,6977,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL876499,3838,
,N,BAO_0000219,,In vitro growth inhibition of compound was determined against ACHN cell lines of Renal cancer,6978,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618686,3838,
,N,BAO_0000219,,"Tested for the cytotoxicity against the Renal cancer cell line ACHN, growth inhibition by 50% is reported",6979,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618687,5406,
,N,BAO_0000219,,The compound was tested in vitro for cytotoxicity against human tumor cell line ACHN (renal).,6980,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618688,4071,
,N,BAO_0000219,,Tested in vitro for cytotoxicity against human tumor cell line ACHN (renal).,6981,Expert,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618689,4071,
,N,BAO_0000219,,The compound was tested in vitro for cytotoxicity against human tumor cell line ACHN (renal); Not determined,6982,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618690,4071,
,N,BAO_0000219,,Antitumor activity was evaluated against human renal adenocarcinoma cell line ACHN.,6983,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL618691,15002,
,N,BAO_0000219,,Compound was evaluated for in vitro activity against ACHN kidney cell lines (Human tumor cells ),6984,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL619373,14769,
,N,BAO_0000219,,"Compound was tested for antiproliferative activity against ACHN, human renal adenocarcinoma",6985,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL884008,13958,
,N,BAO_0000219,,Compound was tested for its effect on the proliferation of ACHN human kidney adenocarcinoma,6986,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL619374,1665,
,N,BAO_0000219,,Compound was tested for the growth inhibition of ACHN renal tumor cell line,6987,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL619375,15354,
,N,BAO_0000219,,Compound was tested for the growth inhibition of ACHN renal tumor cell line; ND=Not determined,6988,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL619376,15354,
,N,BAO_0000219,,In vitro Growth Inhibitory activity against ACHN Human kidney cancer cell line,6989,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL619377,13978,
,N,BAO_0000219,,In vitro cytotoxicity against human renal adenocarcinoma (ACHN) tumor cell line,6990,Intermediate,,1,,,626.0,,9606.0,1,ACHN,80025,F,Homo sapiens,,CHEMBL619378,6798,
,N,BAO_0000218,,Tmax value after administration of 4 mg/Kg oral dose in dog,6991,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL872527,2959,
,N,BAO_0000218,,"Time to peak response on lowering of vascular resistance, in dogs when administered intravenously",6992,Intermediate,,1,,,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL876500,9932,
,N,BAO_0000218,,Unbound plasma was determined in Beagle dog at a dose of 1 mg/kg by iv administration,6993,Intermediate,,1,,,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619379,5546,
,N,BAO_0000218,,Volume distribution after 15 mg/kg iv dose in Dogs,6994,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619538,16907,
,N,BAO_0000218,,Volume distribution after 30 mg/kg po dose in Dogs,6995,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619539,16907,
,N,BAO_0000218,,Volume of distribution was determined in dog after a 3 mg/kg of iv dose,6996,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619540,4257,
,N,BAO_0000218,,Volume of distribution was determined by iv administration in dogs at a dose of 1 mg/kg,6997,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619541,4305,
,N,BAO_0000218,,Volume of distribution was evaluated in dog,6998,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619542,5472,
,N,BAO_0000218,,Terminal phase volume of distribution was measured in dog after an iv dose of 1 mg/kg,6999,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619543,6062,
,N,BAO_0000218,,Apparent volume of the central plasma compartment (Vc) of compound determined in dog after iv administration at a dose of 10 mg/kg,7000,Expert,,1,,,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619544,3598,
,N,BAO_0000218,,The compound was tested for volume of distribution in dog,7001,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619545,12500,
,N,BAO_0000218,,The compound was tested for volume of distribution in dog at dose of 3-10 mgkg,7002,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619546,12500,
,N,BAO_0000218,,Vd (1 mg/kg) was determined in dog (in vivo),7003,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619547,6227,
,N,BAO_0000218,,Vd in dog,7004,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619548,6227,
,N,BAO_0000218,,Volume distribution was determined,7005,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619549,4219,
,N,BAO_0000218,,Volume of distribution in dog,7006,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619550,1696,
,N,BAO_0000218,,Volume of distribution by as 4 fold increase by iv administration in dogs,7007,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL876501,5542,
,N,BAO_0000218,,Volume of distribution was determined in canine following intravenous (iv) administration of drug (1 mg/kg).,7008,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619551,5199,
,N,BAO_0000218,,Volume of distribution was determined in dog after 1 mg/kg (i.v.) and 5 mg/kg (p.o.) administration,7009,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619552,6348,
,N,BAO_0000218,,Volume distribution at the dose of 2 mg/kg in dog,7010,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL619553,4727,
,N,BAO_0000218,,Steady state volume of distribution was determined,7011,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL618722,16367,
,N,BAO_0000218,,Bioavailability as Vdss in dogs at 1 mg/kg intravenous dose,7012,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL618723,2652,
,N,BAO_0000218,,Pharmacokinetic data at 0.5 mg/kg dose given to dogs intravenously.,7013,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL618724,16452,
,N,BAO_0000218,,Pharmacokinetic data at 1 mg/kg dose given to dogs intravenously,7014,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL618725,16452,
,N,BAO_0000218,,Bioavailability in dog (dose 1 mg/kg i.v.),7015,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL618726,16452,
,N,BAO_0000218,,Pharmacokinetic parameter volume of distribution was reported after intravenous administration at a dose of 1 mg/kg in Beagle dog (male),7016,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL618727,5334,
,N,BAO_0000218,,Pharmacokinetic property (vdss) was measured in dog,7017,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624233,4239,
,N,BAO_0000218,,Steady state volume of distribution for the compound after intravenous administration of 1 mg/kg in dog,7018,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624234,4709,
,N,BAO_0000218,,Vdss was determined after iv 0.1 mg/kg administration in dog,7019,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624235,5600,
,N,BAO_0000218,,Volume displacement was calculated in dog,7020,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624236,6057,
,N,BAO_0000218,,Volume distribution (Vdss) of compound was determined after intravenous administration in average of two dogs at a dose of 1 mg/kg,7021,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624237,5654,
,N,BAO_0000218,,Volume distribution constant was determined,7022,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624238,5505,
,N,BAO_0000218,,Volume distribution at a dose of 1 uM/kg in dog was determined,7023,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624239,4527,
,N,BAO_0000218,,Volume distribution in dog after 2 mg/kg by oral and 0.5 mg/kg by intravenous administration,7024,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL875829,4521,
,N,BAO_0000218,,Volume distribution in dog after 2 mg/kg by oral and 0.5 mg/kg by intravenous administration; ND is not determined,7025,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624240,4521,
,N,BAO_0000218,,Volume distribution (Vdss) was measured in dog,7026,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624241,15660,
,N,BAO_0000218,,Volume distribution (Vdss) was measured in dog,7027,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624242,15660,
,N,BAO_0000218,,Volume of distribution at steady state was determined after 1 mg/kg (i.v.) / 2 mg/kg (p.o.) of compound administration,7028,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624243,6679,
,N,BAO_0000218,,Volume of distribution in steady state was determined in dog,7029,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624244,5145,
,N,BAO_0000218,,Volume of distribution of compound was determined in dog,7030,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624245,6821,
,N,BAO_0000218,,Volume of distribution after intravenous administration of 1 mg/kg/h in dog,7031,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624246,4137,
,N,BAO_0000218,,Volume of distribution was reported after oral administration at a dose of 2 mg/kg in Beagle dog (male),7032,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624247,5334,
,N,BAO_0000218,,Volume of distribution (Vdss) was measured in dog,7033,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624248,15660,
,N,BAO_0000218,,Volumes of distribution in dog (dosed as a mixture of five compounds at 0.5 mpk each via iv only),7034,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624249,6642,
,N,BAO_0000218,,Volumes of distribution in dog (dosed at 0.5 mpk iv and 2.0 mpk orally),7035,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624250,6641,
,N,BAO_0000218,,Volumes of distribution in dog (dosed at 0.5 mpk iv and 2.0 mpk orally),7036,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624251,6642,
,N,BAO_0000218,,Maximum rate of depolarization of the upstroke of the action potential,7037,Intermediate,,1,,,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624252,11659,
,N,BAO_0000218,,Steady state volume distribution in dog,7038,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624253,6448,
,N,BAO_0000218,,Steady state volume of distribution at a dose of 0.2 mg/kg i.v.,7039,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624950,5474,
,N,BAO_0000218,,Tested for volume of distribution at steady state upon intravenous administration of 5.0 mg/Kg dose in dog,7040,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624951,1466,
,N,BAO_0000218,,Volume distribution in dog after administration of 0.25 mg/kg iv; ND = not determined,7041,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL875830,6535,
,N,BAO_0000218,,Volume distribution in dog after administration of 1 mg/kg iv,7042,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624952,6535,
,N,BAO_0000218,,Volume of solubility in solution after intravenous administration in dogs at 1.2 uM/kg,7043,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624953,17764,
,N,BAO_0000218,,Vss after intravenous administration (0.5 mg/kg) was determined in dog,7044,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624954,6215,
,N,BAO_0000218,,Vss on i.v. administration of 2 mg/kg was measured in dog,7045,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624955,6505,
,N,BAO_0000218,,Vss was determined,7046,Intermediate,,1,,,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL624956,3639,
,N,BAO_0000218,,Vss in dog,7047,Intermediate,,1,,,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL625129,3639,
,N,BAO_0000218,,Volume of distribution was measured in dog after an iv dose of 1 mg/kg,7048,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL625130,6062,
,N,BAO_0000218,,Volume distribution in dogs,7049,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL625131,4942,
,N,BAO_0000218,,Volume of distribution in dog,7050,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL625132,17796,
,N,BAO_0000218,,Tested for the oral bioavailability in dog,7051,Intermediate,,1,,In vivo,,,9615.0,1,,50588,A,Canis lupus familiaris,,CHEMBL872263,4883,
,N,BAO_0000218,,Bioavailability of compound in mouse blood following p.o. administration of 30 mg/kg,7060,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624336,17837,
,N,BAO_0000218,,Bioavailability after i.p. administration of 50 mg/kg of dose in mice,7061,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624337,17729,
,N,BAO_0000218,,Bioavailability after peroral administration of 50 mg/kg of dose in mice,7062,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624338,17729,
,N,BAO_0000218,,Bioavailability was measured in mouse,7063,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624339,4239,
,N,BAO_0000218,,Bioavailability in mouse,7064,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624340,17592,
,N,BAO_0000218,,Bioavailability was determined in mouse after 5 mg/kg (i.v.) and 6 mg/kg (p.o.) administration,7065,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624341,6348,
,N,BAO_0000218,,Bioavailability in mouse,7066,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624342,2801,
,N,BAO_0000218,,Compound was evaluated for its bioavailability in mice at a dose of 1 mg/kg,7067,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624343,2801,
,N,BAO_0000218,,Oral bioavailability in mouse,7068,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624344,17718,
,N,BAO_0000218,,Oral availability at 50 mg/kg po in male mice,7069,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624345,5727,
,N,BAO_0000218,,Oral bioavailability in mouse (dose 10 mg/kg),7070,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624346,5302,
,N,BAO_0000218,,Oral bioavailability of compound determined in mouse after iv administration at a dose of 10 mg/kg,7071,Expert,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624347,3598,
,N,BAO_0000218,,"Bioavailability in male mice, 2mg/kg oral and 1 mg/kg intravenous dose",7072,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL624348,5961,
,N,BAO_0000218,,Oral bioavailability in mouse,7074,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL622754,6091,
,N,BAO_0000218,,Oral bioavailability in vivo in mice;ND=Not determined,7075,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL622755,6091,
,N,BAO_0000218,,Oral bioavailability in mouse at 10 mg/kg of the compound,7076,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL622756,5711,
,N,BAO_0000218,,Bioavailability in mouse (BALB/C) (dose 50 mg/kg i.p.),7077,Intermediate,,1,,In vivo,,,10090.0,1,,50594,A,Mus musculus,,CHEMBL622757,17728,
