Fiscal year,Children issues (marker),Organisation ID,IRTC percent,Sector percent,Organisation name,Enviromental sustainability (marker),Continent ID,FSTC percent,Project number,Urban issues (marker),PBA type,CountryRegion ID,Continent name,Branch ID,Maximum CIDA contribution (project-level),Climate change adaptation (marker),Project Browser country ID,Sector name,Trade development (marker),Fund centre ID,Programming process (new),Disability issues (marker),Gender equality (marker),Climate change mitigation (marker),Status,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Desertification (marker)
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,BO,America,B6100,10500000.0,0,BO,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,BO,America,B6100,10500000.0,0,BO,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,BW,Africa,B6100,10500000.0,0,BW,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,BW,Africa,B6100,10500000.0,0,BW,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,BW,Africa,B6100,10500000.0,0,BW,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,BW,Africa,B6100,10500000.0,0,BW,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,BW,Africa,B6100,10500000.0,0,BW,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,CU,America,B6100,10500000.0,0,CU,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,CU,America,B6100,10500000.0,0,CU,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,CU,America,B6100,10500000.0,0,CU,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,CU,America,B6100,10500000.0,0,CU,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,CU,America,B6100,10500000.0,0,CU,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,GH,Africa,B6100,10500000.0,0,GH,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,GH,Africa,B6100,10500000.0,0,GH,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,GH,Africa,B6100,10500000.0,0,GH,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,GH,Africa,B6100,10500000.0,0,GH,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,GH,Africa,B6100,10500000.0,0,GH,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,KH,Asia,B6100,10500000.0,0,KH,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,KH,Asia,B6100,10500000.0,0,KH,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,KH,Asia,B6100,10500000.0,0,KH,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,KH,Asia,B6100,10500000.0,0,KH,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,KH,Asia,B6100,10500000.0,0,KH,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,ML,Africa,B6100,10500000.0,0,ML,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,ML,Africa,B6100,10500000.0,0,ML,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,ML,Africa,B6100,10500000.0,0,ML,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,ML,Africa,B6100,10500000.0,0,ML,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,ML,Africa,B6100,10500000.0,0,ML,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,NI,America,B6100,10500000.0,0,NI,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,NI,America,B6100,10500000.0,0,NI,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,NI,America,B6100,10500000.0,0,NI,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,NI,America,B6100,10500000.0,0,NI,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,NI,America,B6100,10500000.0,0,NI,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,PH,Asia,B6100,10500000.0,0,PH,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,PH,Asia,B6100,10500000.0,0,PH,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,PH,Asia,B6100,10500000.0,0,PH,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,PH,Asia,B6100,10500000.0,0,PH,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,PH,Asia,B6100,10500000.0,0,PH,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,SV,America,B6100,10500000.0,0,SV,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,SV,America,B6100,10500000.0,0,SV,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,SV,America,B6100,10500000.0,0,SV,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,SV,America,B6100,10500000.0,0,SV,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,SV,America,B6100,10500000.0,0,SV,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,TZ,Africa,B6100,10500000.0,0,TZ,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,TZ,Africa,B6100,10500000.0,0,TZ,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,TZ,Africa,B6100,10500000.0,0,TZ,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,TZ,Africa,B6100,10500000.0,0,TZ,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,TZ,Africa,B6100,10500000.0,0,TZ,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,UG,Africa,B6100,10500000.0,0,UG,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,UG,Africa,B6100,10500000.0,0,UG,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,UG,Africa,B6100,10500000.0,0,UG,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,UG,Africa,B6100,10500000.0,0,UG,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,UG,Africa,B6100,10500000.0,0,UG,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,VN,Asia,B6100,10500000.0,0,VN,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,VN,Asia,B6100,10500000.0,0,VN,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,VN,Asia,B6100,10500000.0,0,VN,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,VN,Asia,B6100,10500000.0,0,VN,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,VN,Asia,B6100,10500000.0,0,VN,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,X1,Africa,B6100,10500000.0,0,X1,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,X1,Africa,B6100,10500000.0,0,X1,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,X1,Africa,B6100,10500000.0,0,X1,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,X1,Africa,B6100,10500000.0,0,X1,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,2,1.0,A033735PRG,1,Not PBA,X1,Africa,B6100,10500000.0,0,X1,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,X2,America,B6100,10500000.0,0,X2,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.3,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,X2,America,B6100,10500000.0,0,X2,Public sector policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.1,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,X2,America,B6100,10500000.0,0,X2,Business support services and institutions,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.2,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,X2,America,B6100,10500000.0,0,X2,Environmental policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.35,Federation of Canadian Municipalities,1,1,1.0,A033735PRG,1,Not PBA,X2,America,B6100,10500000.0,0,X2,Urban development and management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
2009/2010,0,1000788,0.0,0.05,Federation of Canadian Municipalities,1,3,1.0,A033735PRG,1,Not PBA,X3,Asia,B6100,10500000.0,0,X3,Health policy and administrative management,0,6219,Uncoded: Pre-APP,0,0,0,Closed,KFM Partnership for Develop. Innovation,D6214,KGD Sustainable Economic Growth Partner.,S6219,Public Institutions & Elections,0,Public Institutions & Elections,10500000.0,0,Responsive,1,0
