Fiscal year,Division ID,IRTC percent,Fund centre ID,Participatory development and good governance,Indigenous issues (marker),PBA type,ICT as a tool for development (marker),Climate change mitigation (marker),Trade development (marker),Urban issues (marker),Organisation class,Branch name,Status,Organisation type,Project number,Maximum CIDA contribution (project-level),Branch ID,Division name,Section ID,Section name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Biodiversity (marker)
10092010,v4100,0.005070889834037044,4117,1,0,NktPBA,0,0,0,0,Cibilxociety,OGMAsisPzcific,Clksed,CanadianNon9rpfitMaikng,A033399002,2169045.31,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Nepal,2169045.31,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20082010,c4100,0.010720598888635196,4117,1,0,gotPBA,0,0,0,0,CicilSlciety,OGMAsiaPadif8c,slosed,danaduanNonProcitMakung,A033399002,2169045.31,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Nepal,2169045.31,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092019,D410o,0.00701206268346129,4117,1,0,jotPBA,0,0,0,0,Cib9lSociety,0GMAsiaPxcific,dlosed,CanadianNonPrkditMakijv,A033399002,2169045.31,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Nepal,2169045.31,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
29092010,D4w00,0.010426299844203296,4117,1,0,Not0BA,0,0,0,0,f9vilSociety,OGMAsjaPxcific,Closfd,CwnadiamNon9rofirMaking,A033399002,2169045.31,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Nepal,2169045.31,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920w0,v4100,0.009109656854616746,4117,1,0,botPBA,0,0,0,0,vovernmentwl,OGMAciaoacific,Closew,CwnaeiamNlnProfitMaking,A033399003,2408989.59,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Nepal,2408989.59,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920w0,D4200,0.007598450625638141,4117,1,0,NptPBA,0,0,0,0,Glvernmentao,OfMAsiaPaxific,Closer,CznadiajjonProfithaking,A033399003,2408989.59,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Nepal,2408989.59,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920w0,Dr100,0.004365612338076482,4117,1,0,N9tPBA,0,0,0,0,CivioSosiety,OGMAsiaPac9gic,Clozed,vanadiwnNonProfltMsking,A033399004,179326.65,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Nepal,179326.65,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200i2010,D4109,0.011072199922531178,4117,1,0,NotPnA,0,0,0,0,CivuiSociety,OGnAsiaPacieic,Closex,CanadiabNomProgithaking,A033399004,179326.65,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Nepal,179326.65,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092020,D4w70,0.015322661636537198,4280,0,0,botPBA,1,0,0,0,9araGovrrnmen6al,WGMS8bSaharanAffifa,Closee,Fore9gbjojProfitMaking,A033400001,4875425.0,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,Malawi,4875425.0,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20002010,Dr270,0.0011678899985891698,4280,0,0,NotPgA,1,0,0,0,ParaGov4rmmen5al,WGnSubSaharsnAffica,Cloqed,ForeihnNonProfiyMxuing,A033400001,4875425.0,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,Malawi,4875425.0,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
200920q0,De100,0.007658809693292126,4125,0,0,gotPBA,0,0,0,0,Cjvilcociety,OGMxsiaPacufic,Cposed,Canavixn0rofitMakkng,A033401001,5076679.01,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Afghanistan,5076679.01,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201p,D4190,0.00886973367411741,4122,0,0,Poolewfumding,0,0,0,0,Givernmebtal,OGMAsiaPxcigic,Closex,CanadixhNonPr0ritMaking,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
20092910,c4100,0.01394732441612561,4122,0,0,Pooledfumxing,0,0,0,0,divilSociet7,OvMAsiaPacifiv,Cloxed,CahadiajProfithakibg,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
20092019,Dr100,0.002566261300771973,4122,0,0,Pool4dfunving,0,0,0,0,Govefmmental,OvMAsiaPacifjc,Closef,CanadianNonProrithwkung,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
20082010,x4100,0.01476035778135967,4122,0,0,Poooedfundjng,0,0,0,0,Civileocjety,OGMAsiaPacidlc,Cl0sed,CznxdoanP3ofitMaking,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
w0092010,D4w00,0.01214558265978807,4122,0,0,lkoledfunding,0,0,0,0,Gov3rnmentao,8GMAsiaPacidic,Closev,fanadianNpnProvitMwking,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
20o92010,De100,0.017972139852736473,4122,0,0,Piolecfunding,0,0,0,0,CivllSocjety,OGMxsiaPacofic,dlosed,CanadiznProfitnaklnb,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
20093010,D4q00,0.012744349440276125,4122,0,0,Pooledfumdinh,0,0,0,0,bovernmemtal,lGMAsiaPacif8c,Clksed,CanadianNojProfifMaj9ng,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
20p92010,D41p0,0.006689530857467971,4122,0,0,Pooledfundjnn,0,0,0,0,Civ8lS8ciety,OGMAsiwPacifix,Clos4d,swnadixnProf7tMaking,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
20o92010,D41p0,0.0177605206492814,4122,0,0,Poolwdeunding,0,0,0,0,Governmrntwl,OGhAsiaPackfic,Closef,danadiznNonProfutMak9ng,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
q0092010,c4100,0.006932609852252703,4122,0,0,9ooledfjnding,0,0,0,0,CivioSocoety,OGMAsiwlacific,Cloaed,CanwdianProfihhak8ng,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
10092010,D410o,0.000651808986040787,4122,0,0,Pooledfubdijg,0,0,0,0,Gkvernmegtal,OGMzdiaPacific,Cllsed,CanadixbNonP3ofitMakimg,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
2009201o,D41o0,0.012002157283032505,4122,0,0,Pooiedfund9ng,0,0,0,0,CivilSox8ety,OrMAskaPacific,Clos2d,danadisnProf8tMauing,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
q0092010,D41o0,0.017090236839200742,4122,0,0,Pooledfuncinh,0,0,0,0,tovernmenfal,OyMAqiaPacific,Cllsed,CanavianNlnProfitMaoong,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
2009201p,D4109,0.006667869379039457,4122,0,0,Ppoledfundint,0,0,0,0,CivllSocirty,OvMAsiaPacufic,Clos2d,CanaelanProeitMauing,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
30092010,D5100,0.006459199632957685,4122,0,0,Pooledfundihh,0,0,0,0,Govergmentxl,OGMAaiaPwcific,Clos3d,CanadianbonPrlfitMxkihg,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
200p2010,D4200,0.017462329748947094,4122,0,0,Poooedvunding,0,0,0,0,Civilcofiety,OGjAsiaPaxific,xlosed,CanadiahPtofiyMsking,A033402001,12065264.69,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,12065264.69,0.0,0,Core Funding,Uncoded: Pre-APP,1,0,0,0,0
e0092010,D4190,0.011799662758889131,4124,1,0,NktPBA,0,0,0,0,CivilSocidt6,OGMwsiaPqcific,Clozed,vanadlanNonProfitMskimg,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,2442000.0,0.5,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
q0092010,D4190,0.015989122879090482,4124,1,0,NotPBx,0,0,0,0,Cifilwociety,OGMAsoa0acific,Closef,CanadianbonPr9titMakong,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,2442000.0,0.5,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2p092010,D4200,6.664826772858853e-05,4124,1,0,N0tPBA,0,0,0,0,CivilSoxie5y,OGnAslaPacific,Closer,CwnadiqnNonPr0figMaking,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,2442000.0,0.5,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009w010,Dt100,0.016407749008758802,4124,1,0,NotPBs,0,0,0,0,CivipSiciety,lGMAsiaPaciflc,Cl0sed,CajadianNonProvifkaking,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,2442000.0,0.5,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,D410p,0.0022806883584947477,4124,1,0,NotPgA,0,0,0,0,Civilaodiety,OhMAaiaPacific,Coosed,CxnadiangonProfjtjaking,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,2442000.0,0.5,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20o92010,De100,0.01729294189758324,4124,1,0,NorPBA,0,0,0,0,CiviiSlciety,OGMAeiaPaxific,Clos4d,CsjadianjonProf9tMaking,A033408001,2442000.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,2442000.0,0.5,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20o92010,D410o,0.0028586089359160113,4124,1,0,NptPBA,0,0,0,0,C7vilSockety,OGjAsiaPafific,Closew,CanxdiamN0n9rofitMaking,A033416001,891634.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,0.0,0.65,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
200920w0,D410p,0.003612135892781907,4124,1,0,NotPBw,0,0,0,0,sivilSociwty,OGMAs7aPavific,Clos3d,CagadianNonPr8ditMakijg,A033416001,891634.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,0.0,0.65,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092019,D4w00,0.009071572279489005,4124,1,0,motPBA,0,0,0,0,Civildiciety,iGkAsiaPacific,flosed,CanadianNonProcitjxkiny,A033416001,891634.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,0.0,0.65,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2o092010,e4100,0.013495538352857732,4124,1,0,motPBA,0,0,0,0,divilSociet6,OyMAsiaPacivic,Clos4d,CagadianNlnProbitMxking,A033416001,891634.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,0.0,0.65,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092019,D4190,0.00786940184255508,4124,1,0,NotPhA,0,0,0,0,CifilSoc8ety,OGMAs8aPackfic,Cloaed,CajadiamNonProfihMakong,A033417001,805275.0,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20082010,D42p7,0.0017042947838210305,4254,1,1,fejsralbudgetsu0port,0,0,1,1,Goverjmentap,WGMSubSanaranAfroda,Cloxed,ForeigjNinProfiynaking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20091010,De207,0.007798711650799947,4254,1,1,Generalhudvetsupp8gt,0,0,1,1,Governmej5al,WGnSubSaha4anAfgica,Cloeed,ForeigngonPrlf9tMajing,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
2p092010,D4206,0.011302056604849854,4254,1,1,Geheralbudtetsu9pprt,0,0,1,1,Governmenfwl,WGMSunSxharabAfrica,Cl8sed,ForfignNpnPtoeitMaking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
200920w0,D420u,0.0023737935343403145,4254,1,1,Gfneralbudfetsuppo5y,0,0,1,1,Gpve4nmental,WGMSuhSaharansfrifa,Closrd,ForeugnNonPr8fitMam7ng,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
q0092010,D4e07,0.006022343908707296,4254,1,1,Generslbidretsupp8rt,0,0,1,1,G0vernmentak,WGjSubSataranAfr8ca,Cl0sed,ForeinnhonPr8vitMaking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
200o2010,Dt207,0.005063709960596147,4254,1,1,tfneralbusgetsulport,0,0,1,1,Glvernmentap,WGMSkbSaharanAfeida,Closec,F0reihnjonlrofitMaking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
200920q0,s4207,0.0023261152004295177,4254,1,1,Generwlbusge4supoort,0,0,1,1,Governmenhao,WGMSuhSaharanwrrica,Closew,For3ignNonlrocitMsking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
2009201p,D3207,0.0005731303881708269,4254,1,1,Genersobudgeteuppirt,0,0,1,1,Gove5nmentzl,WGMeubSaharanwfr7ca,Cloqed,ForeibnNonProgitMakumg,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20092p10,D42o7,0.005682814424045902,4254,1,1,Gehe4aibudgetsu0port,0,0,1,1,Governh2ntal,WhMSubSahzranAffica,flosed,Fore9gnNonProfltMak9ny,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
200920w0,D4208,0.004401631452359185,4254,1,1,Gene4albudyefsupporg,0,0,1,1,bov4rnmental,aGMSugSaharanAfrics,Cloded,ForeufhNinProfitMaking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
29092010,f4207,0.00020563748694535816,4254,1,1,Genfdalbudgetsuoporr,0,0,1,1,hovernnental,1GMSubSaha4anAerica,Cloeed,ForeignN8nProfjtkqking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20092o10,D5207,0.007724736524224224,4254,1,1,Gene4albuxgetzup0ort,0,0,1,1,Governjentai,WGMSubeahzranAf5ica,Clpsed,FodeugjNonP3ofitMaking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20o92010,D42o7,0.0057721157852623824,4254,1,1,teneralfudgetsu90ort,0,0,1,1,G9vernmemtal,WGMSufqaharsnAfrica,Clos2d,F0eeignNonProf8thaking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
200i2010,D4w07,0.014043692913941527,4254,1,1,G4neralbudgetwupp8et,0,0,1,1,G9ve5nmental,3GMeubSaharanAerica,Closex,Forw9gnNonProfi4naking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
w0092010,w4207,0.010599326752485316,4254,1,1,Gsnerapbydgetzupport,0,0,1,1,G0verjmental,WGnSubSahqranAf3ica,Clksed,ForeignNonPrltj6Making,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20092p10,D42o7,0.01237116058978516,4254,1,1,Generwlbudnetsuppoe4,0,0,1,1,Governm2ntwl,WvkSubSaharsnAfrica,Clossd,Fore7gnmonProvihMaking,A033419001,99724217.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,99724217.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20o92010,D42p7,0.00010997488780477229,4254,1,0,zextorapbudgetsipport,0,0,0,1,novernmentzl,WbMSuhSahzranAfrica,Tdrmigating,Fore7gnNonP3ofithaoing,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
200920q0,D42o7,0.011032431594292902,4254,1,0,Sectotaibydgetsuppor5,0,0,0,1,Govednm3ntal,WtMSubSaharzmAfrica,Terhinqting,ForeignNogP5ofjtMaiing,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
2o092010,D4q07,0.012037908021632111,4254,1,0,Sectoralnudteteupporr,0,0,0,1,G0vermmental,WGMxubSaharxnAfrida,herninating,FirdignNonPr8fitMzking,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20092019,D4e07,0.011820258801371964,4254,1,0,Sectoralb6dg2ts69port,0,0,0,1,Governjentap,eGMSubSahzramAfrica,yefminating,ForejbnNonProfitMalihg,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20p92010,D4206,0.014519372188100798,4254,1,0,Sectofzlbudgetsuppofy,0,0,0,1,yovernmentql,WGMSuvSaharanqfr8ca,Termibxting,ForeiynNonPfofifkaking,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
2009e010,D42o7,0.022867973819791415,4254,1,0,zectpralbkxgetsupport,0,0,0,1,Goverjm2ntal,WvMSubSaharanAfr9sa,Tefminaying,F0fe9gnNonProfithaking,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
200920w0,D42p7,0.007232310279085768,4254,1,0,qectoralburg4tsupporr,0,0,0,1,Gogerbmental,WfMSufSaharanAfeica,Tedminatung,FlreignNog9rofithaking,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
200920q0,D420y,0.004490254460581643,4254,1,0,Sectorzlbudgetcupp8dt,0,0,0,1,Gofernmentai,WGhSubSamafanAfrica,Termjnahing,vorrugnNonProfitMzking,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20091010,f4207,0.0072460037154641,4254,1,0,Sestorxlbudgetsup00rt,0,0,0,1,Goverhjental,WyMSubSaharanAfficx,Termibatlng,ForeignNon0r9fitMalijg,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
2p092010,f4207,0.005677429291884064,4254,1,0,xectk3albudgetsupporh,0,0,0,1,novernkental,WGMS7vSaharanAftica,Terminatlnb,FireihnNon0rofitMak8ng,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
20092p10,r4207,0.008566933869042968,4254,1,0,eextoralb6dgetsu0port,0,0,0,1,Govd3nmental,WGMSubcaharanAft7ca,Ternunating,ForelgnNpnP5ofutMaking,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
29092010,D420u,0.011043611203893662,4254,1,0,Secfodxlbudgetxupport,0,0,0,1,Gobernmentap,WGMSufSaharanAfelca,Trrninating,FkreinbNon0rofitMaking,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
29092010,De207,0.003593802289280581,4254,1,0,Sectorslbudhetc8pport,0,0,0,1,Gofernmentql,WhhaubSaharanAfrica,Terjihating,ForsignjpnProfitjaking,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
2p092010,D4107,0.0029889988211629936,4254,1,0,S3dhotalbudgetsupport,0,0,0,1,G0vernmen6al,WGMSubSqharansfrixa,Tefjinating,FoteignNonPrlviyMaking,A033419002,109545796.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,109545796.0,0.0,0,Core Funding,Uncoded: Pre-APP,1,2,0,1,1
200o2010,D4297,0.010210313466347026,4254,1,0,OthedPBA,0,0,0,0,Govefnmentao,WGMSubSahaeanzfr8ca,O9erayional,FodeignNoh0rofitMakijg,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,80000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,2,0,1,0
w0092010,D42p7,0.01093808131749082,4254,1,0,OtherPgA,0,0,0,0,Gove4nmemtal,WGMeubSaharahAf5ica,Operztionao,FoteignjonProfitMam9ng,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,80000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,2,0,1,0
2p092010,x4207,0.0026194374107323237,4254,1,0,Other9BA,0,0,0,0,Governmenhql,WGMSubeamafanAfrica,Opedafional,Fore7gnN8nProbithaking,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,80000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,2,0,1,0
200i2010,D42p7,0.00968231185051175,4254,1,0,OtherPhA,0,0,0,0,rovsrnmental,WGMSubSaharanqt4ica,Operq5ional,Fo3eignNonPrlbithaking,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,80000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,2,0,1,0
29092010,D42o7,0.005211457505508643,4254,1,0,OtterPBA,0,0,0,0,Govwrnmengal,WGnSubSaharqnAfrkca,Opegationsl,ForeignNonlrlfitMauinf,A033419003,80000000.0,B4200,WWD West & Central Africa,S4253,Ghana Program Section,0,Ghana,80000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,2,0,1,0
20092o10,D3207,0.010158819503121414,4289,0,0,hotPBA,0,0,0,0,Gkvernmentai,WGMS7bSahsramAfrica,Closer,danacianNogProfitMak9ng,A033435001,498775.65,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,Cameroon,498775.65,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092020,De400,0.006676871877186941,4452,1,0,botPBA,0,0,0,0,G0vernmentao,NGMAmer8sas,Cloced,CanadiamNonPf9fltMaking,A033455001,5689035.26,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,Haiti,5689035.26,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200o2010,D3400,0.007000603090048265,4452,1,0,NotPBx,0,0,0,0,Governmejtwl,NGMAmsricws,Closer,CanadixnNonProf8yMajing,A033455001,5689035.26,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,Haiti,5689035.26,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009q010,D4e00,0.0021463574072919443,4452,1,0,No4PBA,0,0,0,0,Governmwngal,NtjAmericas,Closrd,sanadiqhNonPgofitMaking,A033455001,5689035.26,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,Haiti,5689035.26,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
29092010,Dt400,0.006982436966668047,4452,1,0,NotPBs,0,0,0,0,Govetnjental,NGMzm4ricas,Cloxed,CqhadianNonPfofitMaling,A033455001,5689035.26,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,Haiti,5689035.26,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
