title,film_id,rental_duration,language,original_language_id,length,description,replacement_cost,rental_rate,release_year,rating
GLEAMING JAWBREAKER,361,5,English,,89,A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies,25.99,2.99,2006,NC-17
GLORY TRACY,362,7,English,,115,A Amazing Saga of a Woman And a Womanizer who must Discover a Cat in The First Manned Space Station,13.99,2.99,2006,PG-13
GO PURPLE,363,3,English,,54,A Fast-Paced Display of a Car And a Database Administrator who must Battle a Woman in A Baloon,12.99,0.99,2006,R
GODFATHER DIARY,364,3,English,,73,A Stunning Saga of a Lumberjack And a Squirrel who must Chase a Car in The Outback,14.99,2.99,2006,NC-17
GOLD RIVER,365,4,English,,154,A Taut Documentary of a Database Administrator And a Waitress who must Reach a Mad Scientist in A Baloon Factory,21.99,4.99,2006,R
GOLDFINGER SENSIBILITY,366,3,English,,93,A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans,29.99,0.99,2006,G
GOLDMINE TYCOON,367,6,English,,153,A Brilliant Epistle of a Composer And a Frisbee who must Conquer a Husband in The Outback,20.99,0.99,2006,R
GONE TROUBLE,368,7,English,,84,A Insightful Character Study of a Mad Cow And a Forensic Psychologist who must Conquer a A Shark in A Manhattan Penthouse,20.99,2.99,2006,R
GOODFELLAS SALUTE,369,4,English,,56,A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory,22.99,4.99,2006,PG
GORGEOUS BINGO,370,4,English,,108,A Action-Packed Display of a Sumo Wrestler And a Car who must Overcome a Waitress in A Baloon Factory,26.99,2.99,2006,R
GOSFORD DONNIE,371,5,English,,129,A Epic Panorama of a Mad Scientist And a Monkey who must Redeem a Secret Agent in Berlin,17.99,4.99,2006,G
GRACELAND DYNAMITE,372,5,English,,140,A Taut Display of a Cat And a Girl who must Overcome a Database Administrator in New Orleans,26.99,4.99,2006,R
GRADUATE LORD,373,7,English,,156,A Lacklusture Epistle of a Girl And a A Shark who must Meet a Mad Scientist in Ancient China,14.99,2.99,2006,G
GRAFFITI LOVE,374,3,English,,117,A Unbelieveable Epistle of a Sumo Wrestler And a Hunter who must Build a Composer in Berlin,29.99,0.99,2006,PG
GRAIL FRANKENSTEIN,375,4,English,,85,A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft,17.99,2.99,2006,NC-17
GRAPES FURY,376,4,English,,155,A Boring Yarn of a Mad Cow And a Sumo Wrestler who must Meet a Robot in Australia,20.99,0.99,2006,G
GREASE YOUTH,377,7,English,,135,A Emotional Panorama of a Secret Agent And a Waitress who must Escape a Composer in Soviet Georgia,20.99,0.99,2006,G
GREATEST NORTH,378,5,English,,93,A Astounding Character Study of a Secret Agent And a Robot who must Build a A Shark in Berlin,24.99,2.99,2006,NC-17
GREEDY ROOTS,379,7,English,,166,A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies,14.99,0.99,2006,R
GREEK EVERYONE,380,7,English,,176,A Stunning Display of a Butler And a Teacher who must Confront a A Shark in The First Manned Space Station,11.99,2.99,2006,PG
GRINCH MASSAGE,381,7,English,,150,A Intrepid Display of a Madman And a Feminist who must Pursue a Pioneer in The First Manned Space Station,25.99,4.99,2006,R
GRIT CLOCKWORK,382,3,English,,137,A Thoughtful Display of a Dentist And a Squirrel who must Confront a Lumberjack in A Shark Tank,21.99,0.99,2006,PG
GROOVE FICTION,383,6,English,,111,A Unbelieveable Reflection of a Moose And a A Shark who must Defeat a Lumberjack in An Abandoned Mine Shaft,13.99,0.99,2006,NC-17
GROSSE WONDERFUL,384,5,English,,49,A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia,19.99,4.99,2006,R
GROUNDHOG UNCUT,385,6,English,,139,A Brilliant Panorama of a Astronaut And a Technical Writer who must Discover a Butler in A Manhattan Penthouse,26.99,4.99,2006,PG-13
GUMP DATE,386,3,English,,53,A Intrepid Yarn of a Explorer And a Student who must Kill a Husband in An Abandoned Mine Shaft,12.99,4.99,2006,NC-17
GUN BONNIE,387,7,English,,100,A Boring Display of a Sumo Wrestler And a Husband who must Build a Waitress in The Gulf of Mexico,27.99,0.99,2006,G
GUNFIGHT MOON,388,5,English,,70,A Epic Reflection of a Pastry Chef And a Explorer who must Reach a Dentist in The Sahara Desert,16.99,0.99,2006,NC-17
GUNFIGHTER MUSSOLINI,389,3,English,,127,A Touching Saga of a Robot And a Boy who must Kill a Man in Ancient Japan,9.99,2.99,2006,PG-13
GUYS FALCON,390,4,English,,84,A Boring Story of a Woman And a Feminist who must Redeem a Squirrel in A U-Boat,20.99,4.99,2006,R
HALF OUTFIELD,391,6,English,,146,A Epic Epistle of a Database Administrator And a Crocodile who must Face a Madman in A Jet Boat,25.99,2.99,2006,PG-13
HALL CASSIDY,392,5,English,,51,A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia,13.99,4.99,2006,NC-17
HALLOWEEN NUTS,393,6,English,,47,A Amazing Panorama of a Forensic Psychologist And a Technical Writer who must Fight a Dentist in A U-Boat,19.99,2.99,2006,PG-13
HAMLET WISDOM,394,7,English,,146,A Touching Reflection of a Man And a Man who must Sink a Robot in The Outback,21.99,2.99,2006,R
HANDICAP BOONDOCK,395,4,English,,108,A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia,28.99,0.99,2006,R
HANGING DEEP,396,5,English,,62,A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin,18.99,4.99,2006,G
HANKY OCTOBER,397,5,English,,107,A Boring Epistle of a Database Administrator And a Explorer who must Pursue a Madman in Soviet Georgia,26.99,2.99,2006,NC-17
HANOVER GALAXY,398,5,English,,47,A Stunning Reflection of a Girl And a Secret Agent who must Succumb a Boy in A MySQL Convention,21.99,4.99,2006,NC-17
HAPPINESS UNITED,399,6,English,,100,A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan,23.99,2.99,2006,G
HARDLY ROBBERS,400,7,English,,72,A Emotional Character Study of a Hunter And a Car who must Kill a Woman in Berlin,15.99,2.99,2006,R
HAROLD FRENCH,401,6,English,,168,A Stunning Saga of a Sumo Wrestler And a Student who must Outrace a Moose in The Sahara Desert,10.99,0.99,2006,NC-17
HARPER DYING,402,3,English,,52,A Awe-Inspiring Reflection of a Woman And a Cat who must Confront a Feminist in The Sahara Desert,15.99,0.99,2006,G
HARRY IDAHO,403,5,English,,121,A Taut Yarn of a Technical Writer And a Feminist who must Outrace a Dog in California,18.99,4.99,2006,PG-13
HATE HANDICAP,404,4,English,,107,A Intrepid Reflection of a Mad Scientist And a Pioneer who must Overcome a Hunter in The First Manned Space Station,26.99,0.99,2006,PG
HAUNTED ANTITRUST,405,6,English,,76,A Amazing Saga of a Man And a Dentist who must Reach a Technical Writer in Ancient India,13.99,4.99,2006,NC-17
HAUNTING PIANIST,406,5,English,,181,A Fast-Paced Story of a Database Administrator And a Composer who must Defeat a Squirrel in An Abandoned Amusement Park,22.99,0.99,2006,R
HAWK CHILL,407,5,English,,47,A Action-Packed Drama of a Mad Scientist And a Composer who must Outgun a Car in Australia,12.99,0.99,2006,PG-13
HEAD STRANGER,408,4,English,,69,A Thoughtful Saga of a Hunter And a Crocodile who must Confront a Dog in The Gulf of Mexico,28.99,4.99,2006,R
HEARTBREAKERS BRIGHT,409,3,English,,59,A Awe-Inspiring Documentary of a A Shark And a Dentist who must Outrace a Pastry Chef in The Canadian Rockies,9.99,4.99,2006,G
HEAVEN FREEDOM,410,7,English,,48,A Intrepid Story of a Butler And a Car who must Vanquish a Man in New Orleans,19.99,2.99,2006,PG
HEAVENLY GUN,411,5,English,,49,A Beautiful Yarn of a Forensic Psychologist And a Frisbee who must Battle a Moose in A Jet Boat,13.99,4.99,2006,NC-17
HEAVYWEIGHTS BEAST,412,6,English,,102,A Unbelieveable Story of a Composer And a Dog who must Overcome a Womanizer in An Abandoned Amusement Park,25.99,4.99,2006,G
HEDWIG ALTER,413,7,English,,169,A Action-Packed Yarn of a Womanizer And a Lumberjack who must Chase a Sumo Wrestler in A Monastery,16.99,2.99,2006,NC-17
HELLFIGHTERS SIERRA,414,3,English,,75,A Taut Reflection of a A Shark And a Dentist who must Battle a Boat in Soviet Georgia,23.99,2.99,2006,PG
HIGH ENCINO,415,3,English,,84,A Fateful Saga of a Waitress And a Hunter who must Outrace a Sumo Wrestler in Australia,23.99,2.99,2006,R
HIGHBALL POTTER,416,6,English,,110,A Action-Packed Saga of a Husband And a Dog who must Redeem a Database Administrator in The Sahara Desert,10.99,0.99,2006,R
HILLS NEIGHBORS,417,5,English,,93,A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat,29.99,0.99,2006,G
HOBBIT ALIEN,418,5,English,,157,A Emotional Drama of a Husband And a Girl who must Outgun a Composer in The First Manned Space Station,27.99,0.99,2006,PG-13
HOCUS FRIDA,419,4,English,,141,A Awe-Inspiring Tale of a Girl And a Madman who must Outgun a Student in A Shark Tank,19.99,2.99,2006,G
HOLES BRANNIGAN,420,7,English,,128,A Fast-Paced Reflection of a Technical Writer And a Student who must Fight a Boy in The Canadian Rockies,27.99,4.99,2006,PG
HOLIDAY GAMES,421,7,English,,78,A Insightful Reflection of a Waitress And a Madman who must Pursue a Boy in Ancient Japan,10.99,4.99,2006,PG-13
HOLLOW JEOPARDY,422,7,English,,136,A Beautiful Character Study of a Robot And a Astronaut who must Overcome a Boat in A Monastery,25.99,4.99,2006,NC-17
HOLLYWOOD ANONYMOUS,423,7,English,,69,A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat,29.99,0.99,2006,PG
HOLOCAUST HIGHBALL,424,6,English,,149,A Awe-Inspiring Yarn of a Composer And a Man who must Find a Robot in Soviet Georgia,12.99,0.99,2006,R
HOLY TADPOLE,425,6,English,,88,A Action-Packed Display of a Feminist And a Pioneer who must Pursue a Dog in A Baloon Factory,20.99,0.99,2006,R
HOME PITY,426,7,English,,185,A Touching Panorama of a Man And a Secret Agent who must Challenge a Teacher in A MySQL Convention,15.99,4.99,2006,R
HOMEWARD CIDER,427,5,English,,103,A Taut Reflection of a Astronaut And a Squirrel who must Fight a Squirrel in A Manhattan Penthouse,19.99,0.99,2006,R
HOMICIDE PEACH,428,6,English,,141,A Astounding Documentary of a Hunter And a Boy who must Confront a Boy in A MySQL Convention,21.99,2.99,2006,PG-13
HONEY TIES,429,3,English,,84,A Taut Story of a Waitress And a Crocodile who must Outrace a Lumberjack in A Shark Tank,29.99,0.99,2006,R
HOOK CHARIOTS,430,7,English,,49,A Insightful Story of a Boy And a Dog who must Redeem a Boy in Australia,23.99,0.99,2006,G
HOOSIERS BIRDCAGE,431,3,English,,176,A Astounding Display of a Explorer And a Boat who must Vanquish a Car in The First Manned Space Station,12.99,2.99,2006,G
HOPE TOOTSIE,432,4,English,,139,A Amazing Documentary of a Student And a Sumo Wrestler who must Outgun a A Shark in A Shark Tank,22.99,2.99,2006,NC-17
HORN WORKING,433,4,English,,95,A Stunning Display of a Mad Scientist And a Technical Writer who must Succumb a Monkey in A Shark Tank,23.99,2.99,2006,PG
HORROR REIGN,434,3,English,,139,A Touching Documentary of a A Shark And a Car who must Build a Husband in Nigeria,25.99,0.99,2006,R
HOTEL HAPPINESS,435,6,English,,181,A Thrilling Yarn of a Pastry Chef And a A Shark who must Challenge a Mad Scientist in The Outback,28.99,4.99,2006,PG-13
HOURS RAGE,436,4,English,,122,A Fateful Story of a Explorer And a Feminist who must Meet a Technical Writer in Soviet Georgia,14.99,0.99,2006,NC-17
HOUSE DYNAMITE,437,7,English,,109,A Taut Story of a Pioneer And a Squirrel who must Battle a Student in Soviet Georgia,13.99,2.99,2006,R
HUMAN GRAFFITI,438,3,English,,68,A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico,22.99,2.99,2006,NC-17
HUNCHBACK IMPOSSIBLE,439,4,English,,151,A Touching Yarn of a Frisbee And a Dentist who must Fight a Composer in Ancient Japan,28.99,4.99,2006,PG-13
HUNGER ROOF,440,6,English,,105,A Unbelieveable Yarn of a Student And a Database Administrator who must Outgun a Husband in An Abandoned Mine Shaft,21.99,0.99,2006,G
HUNTER ALTER,441,5,English,,125,A Emotional Drama of a Mad Cow And a Boat who must Redeem a Secret Agent in A Shark Tank,21.99,2.99,2006,PG-13
HUNTING MUSKETEERS,442,6,English,,65,A Thrilling Reflection of a Pioneer And a Dentist who must Outrace a Womanizer in An Abandoned Mine Shaft,24.99,2.99,2006,NC-17
HURRICANE AFFAIR,443,6,English,,49,A Lacklusture Epistle of a Database Administrator And a Woman who must Meet a Hunter in An Abandoned Mine Shaft,11.99,2.99,2006,PG
HUSTLER PARTY,444,3,English,,83,A Emotional Reflection of a Sumo Wrestler And a Monkey who must Conquer a Robot in The Sahara Desert,22.99,4.99,2006,NC-17
HYDE DOCTOR,445,5,English,,100,A Fanciful Documentary of a Boy And a Woman who must Redeem a Womanizer in A Jet Boat,11.99,2.99,2006,G
HYSTERICAL GRAIL,446,5,English,,150,A Amazing Saga of a Madman And a Dentist who must Build a Car in A Manhattan Penthouse,19.99,4.99,2006,PG
ICE CROSSING,447,5,English,,131,A Fast-Paced Tale of a Butler And a Moose who must Overcome a Pioneer in A Manhattan Penthouse,28.99,2.99,2006,R
IDAHO LOVE,448,3,English,,172,A Fast-Paced Drama of a Student And a Crocodile who must Meet a Database Administrator in The Outback,25.99,2.99,2006,PG-13
IDENTITY LOVER,449,4,English,,119,A Boring Tale of a Composer And a Mad Cow who must Defeat a Car in The Outback,12.99,2.99,2006,PG-13
IDOLS SNATCHERS,450,5,English,,84,A Insightful Drama of a Car And a Composer who must Fight a Man in A Monastery,29.99,2.99,2006,NC-17
IGBY MAKER,451,7,English,,160,A Epic Documentary of a Hunter And a Dog who must Outgun a Dog in A Baloon Factory,12.99,4.99,2006,NC-17
ILLUSION AMELIE,452,4,English,,122,A Emotional Epistle of a Boat And a Mad Scientist who must Outrace a Robot in An Abandoned Mine Shaft,15.99,0.99,2006,R
IMAGE PRINCESS,453,3,English,,178,A Lacklusture Panorama of a Secret Agent And a Crocodile who must Discover a Madman in The Canadian Rockies,17.99,2.99,2006,PG-13
IMPACT ALADDIN,454,6,English,,180,A Epic Character Study of a Frisbee And a Moose who must Outgun a Technical Writer in A Shark Tank,20.99,0.99,2006,PG-13
IMPOSSIBLE PREJUDICE,455,7,English,,103,A Awe-Inspiring Yarn of a Monkey And a Hunter who must Chase a Teacher in Ancient China,11.99,4.99,2006,NC-17
INCH JET,456,6,English,,167,A Fateful Saga of a Womanizer And a Student who must Defeat a Butler in A Monastery,18.99,4.99,2006,NC-17
INDEPENDENCE HOTEL,457,5,English,,157,A Thrilling Tale of a Technical Writer And a Boy who must Face a Pioneer in A Monastery,21.99,0.99,2006,NC-17
INDIAN LOVE,458,4,English,,135,A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House,26.99,0.99,2006,NC-17
INFORMER DOUBLE,459,4,English,,74,A Action-Packed Display of a Woman And a Dentist who must Redeem a Forensic Psychologist in The Canadian Rockies,23.99,4.99,2006,NC-17
INNOCENT USUAL,460,3,English,,178,A Beautiful Drama of a Pioneer And a Crocodile who must Challenge a Student in The Outback,26.99,4.99,2006,PG-13
INSECTS STONE,461,3,English,,123,A Epic Display of a Butler And a Dog who must Vanquish a Crocodile in A Manhattan Penthouse,14.99,0.99,2006,NC-17
INSIDER ARIZONA,462,5,English,,78,A Astounding Saga of a Mad Scientist And a Hunter who must Pursue a Robot in A Baloon Factory,17.99,2.99,2006,NC-17
INSTINCT AIRPORT,463,4,English,,116,A Touching Documentary of a Mad Cow And a Explorer who must Confront a Butler in A Manhattan Penthouse,21.99,2.99,2006,PG
INTENTIONS EMPIRE,464,3,English,,107,A Astounding Epistle of a Cat And a Cat who must Conquer a Mad Cow in A U-Boat,13.99,2.99,2006,PG-13
INTERVIEW LIAISONS,465,4,English,,59,A Action-Packed Reflection of a Student And a Butler who must Discover a Database Administrator in A Manhattan Penthouse,17.99,4.99,2006,R
INTOLERABLE INTENTIONS,466,6,English,,63,A Awe-Inspiring Story of a Monkey And a Pastry Chef who must Succumb a Womanizer in A MySQL Convention,20.99,4.99,2006,PG-13
INTRIGUE WORST,467,6,English,,181,A Fanciful Character Study of a Explorer And a Mad Scientist who must Vanquish a Squirrel in A Jet Boat,10.99,0.99,2006,G
INVASION CYCLONE,468,5,English,,97,A Lacklusture Character Study of a Mad Scientist And a Womanizer who must Outrace a Explorer in A Monastery,12.99,2.99,2006,PG
IRON MOON,469,7,English,,46,A Fast-Paced Documentary of a Mad Cow And a Boy who must Pursue a Dentist in A Baloon,27.99,4.99,2006,PG
ISHTAR ROCKETEER,470,4,English,,79,A Astounding Saga of a Dog And a Squirrel who must Conquer a Dog in An Abandoned Fun House,24.99,4.99,2006,R
ISLAND EXORCIST,471,7,English,,84,A Fanciful Panorama of a Technical Writer And a Boy who must Find a Dentist in An Abandoned Fun House,23.99,2.99,2006,NC-17
ITALIAN AFRICAN,472,3,English,,174,A Astounding Character Study of a Monkey And a Moose who must Outgun a Cat in A U-Boat,24.99,4.99,2006,G
JACKET FRISCO,473,5,English,,181,A Insightful Reflection of a Womanizer And a Husband who must Conquer a Pastry Chef in A Baloon,16.99,2.99,2006,PG-13
JADE BUNCH,474,6,English,,174,A Insightful Panorama of a Squirrel And a Mad Cow who must Confront a Student in The First Manned Space Station,21.99,2.99,2006,NC-17
JAPANESE RUN,475,6,English,,135,A Awe-Inspiring Epistle of a Feminist And a Girl who must Sink a Girl in The Outback,29.99,0.99,2006,G
JASON TRAP,476,5,English,,130,A Thoughtful Tale of a Woman And a A Shark who must Conquer a Dog in A Monastery,9.99,2.99,2006,NC-17
JAWBREAKER BROOKLYN,477,5,English,,118,A Stunning Reflection of a Boat And a Pastry Chef who must Succumb a A Shark in A Jet Boat,15.99,0.99,2006,PG
JAWS HARRY,478,4,English,,112,A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House,10.99,2.99,2006,G
JEDI BENEATH,479,7,English,,128,A Astounding Reflection of a Explorer And a Dentist who must Pursue a Student in Nigeria,12.99,0.99,2006,PG
JEEPERS WEDDING,480,3,English,,84,A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia,29.99,2.99,2006,R
JEKYLL FROGMEN,481,4,English,,58,A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank,22.99,2.99,2006,PG
JEOPARDY ENCINO,482,3,English,,102,A Boring Panorama of a Man And a Mad Cow who must Face a Explorer in Ancient India,12.99,0.99,2006,R
JERICHO MULAN,483,3,English,,171,A Amazing Yarn of a Hunter And a Butler who must Defeat a Boy in A Jet Boat,29.99,2.99,2006,NC-17
JERK PAYCHECK,484,3,English,,172,A Touching Character Study of a Pastry Chef And a Database Administrator who must Reach a A Shark in Ancient Japan,13.99,2.99,2006,NC-17
JERSEY SASSY,485,6,English,,60,A Lacklusture Documentary of a Madman And a Mad Cow who must Find a Feminist in Ancient Japan,16.99,4.99,2006,PG
JET NEIGHBORS,486,7,English,,59,A Amazing Display of a Lumberjack And a Teacher who must Outrace a Woman in A U-Boat,14.99,4.99,2006,R
JINGLE SAGEBRUSH,487,6,English,,124,A Epic Character Study of a Feminist And a Student who must Meet a Woman in A Baloon,29.99,4.99,2006,PG-13
JOON NORTHWEST,488,3,English,,105,A Thrilling Panorama of a Technical Writer And a Car who must Discover a Forensic Psychologist in A Shark Tank,23.99,0.99,2006,NC-17
JUGGLER HARDLY,489,4,English,,54,A Epic Story of a Mad Cow And a Astronaut who must Challenge a Car in California,14.99,0.99,2006,PG-13
JUMANJI BLADE,490,4,English,,121,A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans,13.99,2.99,2006,G
JUMPING WRATH,491,4,English,,74,A Touching Epistle of a Monkey And a Feminist who must Discover a Boat in Berlin,18.99,0.99,2006,NC-17
JUNGLE CLOSER,492,6,English,,134,A Boring Character Study of a Boy And a Woman who must Battle a Astronaut in Australia,11.99,0.99,2006,NC-17
KANE EXORCIST,493,5,English,,92,A Epic Documentary of a Composer And a Robot who must Overcome a Car in Berlin,18.99,0.99,2006,R
KARATE MOON,494,4,English,,120,A Astounding Yarn of a Womanizer And a Dog who must Reach a Waitress in A MySQL Convention,21.99,0.99,2006,PG-13
KENTUCKIAN GIANT,495,5,English,,169,A Stunning Yarn of a Woman And a Frisbee who must Escape a Waitress in A U-Boat,10.99,2.99,2006,PG
KICK SAVANNAH,496,3,English,,179,A Emotional Drama of a Monkey And a Robot who must Defeat a Monkey in New Orleans,10.99,0.99,2006,PG-13
KILL BROTHERHOOD,497,4,English,,54,A Touching Display of a Hunter And a Secret Agent who must Redeem a Husband in The Outback,15.99,0.99,2006,G
KILLER INNOCENT,498,7,English,,161,A Fanciful Character Study of a Student And a Explorer who must Succumb a Composer in An Abandoned Mine Shaft,11.99,2.99,2006,R
KING EVOLUTION,499,3,English,,184,A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon,24.99,4.99,2006,NC-17
KISS GLORY,500,5,English,,163,A Lacklusture Reflection of a Girl And a Husband who must Find a Robot in The Canadian Rockies,11.99,4.99,2006,PG-13
KISSING DOLLS,501,3,English,,141,A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station,9.99,4.99,2006,R
KNOCK WARLOCK,502,4,English,,71,A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon,21.99,2.99,2006,PG-13
KRAMER CHOCOLATE,503,3,English,,171,A Amazing Yarn of a Robot And a Pastry Chef who must Redeem a Mad Scientist in The Outback,24.99,2.99,2006,R
KWAI HOMEWARD,504,5,English,,46,A Amazing Drama of a Car And a Squirrel who must Pursue a Car in Soviet Georgia,25.99,0.99,2006,PG-13
LABYRINTH LEAGUE,505,6,English,,46,A Awe-Inspiring Saga of a Composer And a Frisbee who must Succumb a Pioneer in The Sahara Desert,24.99,2.99,2006,PG-13
LADY STAGE,506,4,English,,67,A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat,14.99,4.99,2006,PG
LADYBUGS ARMAGEDDON,507,4,English,,113,A Fateful Reflection of a Dog And a Mad Scientist who must Meet a Mad Scientist in New Orleans,13.99,0.99,2006,NC-17
LAMBS CINCINATTI,508,6,English,,144,A Insightful Story of a Man And a Feminist who must Fight a Composer in Australia,18.99,4.99,2006,PG-13
LANGUAGE COWBOY,509,5,English,,78,A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park,26.99,0.99,2006,NC-17
LAWLESS VISION,510,6,English,,181,A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback,29.99,4.99,2006,G
LAWRENCE LOVE,511,7,English,,175,A Fanciful Yarn of a Database Administrator And a Mad Cow who must Pursue a Womanizer in Berlin,23.99,0.99,2006,NC-17
LEAGUE HELLFIGHTERS,512,5,English,,110,A Thoughtful Saga of a A Shark And a Monkey who must Outgun a Student in Ancient China,25.99,4.99,2006,PG-13
LEATHERNECKS DWARFS,513,6,English,,153,A Fateful Reflection of a Dog And a Mad Cow who must Outrace a Teacher in An Abandoned Mine Shaft,21.99,2.99,2006,PG-13
LEBOWSKI SOLDIERS,514,6,English,,69,A Beautiful Epistle of a Secret Agent And a Pioneer who must Chase a Astronaut in Ancient China,17.99,2.99,2006,PG-13
LEGALLY SECRETARY,515,7,English,,113,A Astounding Tale of a A Shark And a Moose who must Meet a Womanizer in The Sahara Desert,14.99,4.99,2006,PG
LEGEND JEDI,516,7,English,,59,A Awe-Inspiring Epistle of a Pioneer And a Student who must Outgun a Crocodile in The Outback,18.99,0.99,2006,PG
LESSON CLEOPATRA,517,3,English,,167,A Emotional Display of a Man And a Explorer who must Build a Boy in A Manhattan Penthouse,28.99,0.99,2006,NC-17
LIAISONS SWEET,518,5,English,,140,A Boring Drama of a A Shark And a Explorer who must Redeem a Waitress in The Canadian Rockies,15.99,4.99,2006,PG
LIBERTY MAGNIFICENT,519,3,English,,138,A Boring Drama of a Student And a Cat who must Sink a Technical Writer in A Baloon,27.99,2.99,2006,G
LICENSE WEEKEND,520,7,English,,91,A Insightful Story of a Man And a Husband who must Overcome a Madman in A Monastery,28.99,2.99,2006,NC-17
LIES TREATMENT,521,7,English,,147,A Fast-Paced Character Study of a Dentist And a Moose who must Defeat a Composer in The First Manned Space Station,28.99,4.99,2006,NC-17
LIFE TWISTED,522,4,English,,137,A Thrilling Reflection of a Teacher And a Composer who must Find a Man in The First Manned Space Station,9.99,2.99,2006,NC-17
LIGHTS DEER,523,7,English,,174,A Unbelieveable Epistle of a Dog And a Woman who must Confront a Moose in The Gulf of Mexico,21.99,0.99,2006,R
LION UNCUT,524,6,English,,50,A Intrepid Display of a Pastry Chef And a Cat who must Kill a A Shark in Ancient China,13.99,0.99,2006,PG
LOATHING LEGALLY,525,4,English,,140,A Boring Epistle of a Pioneer And a Mad Scientist who must Escape a Frisbee in The Gulf of Mexico,29.99,0.99,2006,R
LOCK REAR,526,7,English,,120,A Thoughtful Character Study of a Squirrel And a Technical Writer who must Outrace a Student in Ancient Japan,10.99,2.99,2006,R
LOLA AGENT,527,4,English,,85,A Astounding Tale of a Mad Scientist And a Husband who must Redeem a Database Administrator in Ancient Japan,24.99,4.99,2006,PG
LOLITA WORLD,528,4,English,,155,A Thrilling Drama of a Girl And a Robot who must Redeem a Waitress in An Abandoned Mine Shaft,25.99,2.99,2006,NC-17
LONELY ELEPHANT,529,3,English,,67,A Intrepid Story of a Student And a Dog who must Challenge a Explorer in Soviet Georgia,12.99,2.99,2006,G
LORD ARIZONA,530,5,English,,108,A Action-Packed Display of a Frisbee And a Pastry Chef who must Pursue a Crocodile in A Jet Boat,27.99,2.99,2006,PG-13
LOSE INCH,531,3,English,,137,A Stunning Reflection of a Student And a Technical Writer who must Battle a Butler in The First Manned Space Station,18.99,0.99,2006,R
LOSER HUSTLER,532,5,English,,80,A Stunning Drama of a Robot And a Feminist who must Outgun a Butler in Nigeria,28.99,4.99,2006,PG
LOST BIRD,533,4,English,,98,A Emotional Character Study of a Robot And a A Shark who must Defeat a Technical Writer in A Manhattan Penthouse,21.99,2.99,2006,PG-13
LOUISIANA HARRY,534,5,English,,70,A Lacklusture Drama of a Girl And a Technical Writer who must Redeem a Monkey in A Shark Tank,18.99,0.99,2006,PG-13
LOVE SUICIDES,535,6,English,,181,A Brilliant Panorama of a Hunter And a Explorer who must Pursue a Dentist in An Abandoned Fun House,21.99,0.99,2006,R
LOVELY JINGLE,536,3,English,,65,A Fanciful Yarn of a Crocodile And a Forensic Psychologist who must Discover a Crocodile in The Outback,18.99,2.99,2006,PG
LOVER TRUMAN,537,3,English,,75,A Emotional Yarn of a Robot And a Boy who must Outgun a Technical Writer in A U-Boat,29.99,2.99,2006,G
LOVERBOY ATTACKS,538,7,English,,162,A Boring Story of a Car And a Butler who must Build a Girl in Soviet Georgia,19.99,0.99,2006,PG-13
LUCK OPUS,539,7,English,,152,A Boring Display of a Moose And a Squirrel who must Outrace a Teacher in A Shark Tank,21.99,2.99,2006,NC-17
LUCKY FLYING,540,7,English,,97,A Lacklusture Character Study of a A Shark And a Man who must Find a Forensic Psychologist in A U-Boat,10.99,2.99,2006,PG-13
LUKE MUMMY,541,5,English,,74,A Taut Character Study of a Boy And a Robot who must Redeem a Mad Scientist in Ancient India,21.99,2.99,2006,NC-17
LUST LOCK,542,3,English,,52,A Fanciful Panorama of a Hunter And a Dentist who must Meet a Secret Agent in The Sahara Desert,28.99,2.99,2006,G
