assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction
8022,6757,Tmax value at a dose of 10 mg/kg in male SD rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8023,6757,Tmax value at a dose of 100 mg/kg in male SD rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8024,6757,Tmax value at a dose of 50 mg/kg in male SD rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8025,4186,Total concentration in rat plasma after administration of 3.5 mg/kg dose through subcutaneous route,A,In vivo,,Rattus norvegicus,10116.0,,Plasma,,
8026,15662,time required to reach maximum concentration (Cmax) after oral administration in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8027,429,Evaluated for pharmacokinetic parameter urine recovery in rat at the dose 50 mg/kg ( 0-24 hr ),A,,,Rattus norvegicus,10116.0,,Urine,,
8028,429,Evaluated for pharmacokinetic parameter urine recovery in rat at the dose 50 mg/kg (0-24 hr),A,,,Rattus norvegicus,10116.0,,Urine,,
8029,5546,Unbound plasma was determined in Sprague-Dawley rats at a dose of 1 mg/kg by iv administration,A,,,Rattus norvegicus,10116.0,,,,
8030,3173,Amount of urine output was measured in rat at a dose of 1 mg/kg/po,A,,,Rattus norvegicus,10116.0,,Urine,,
8031,3173,Amount of urine output was measured in rat at a dose of 10 mg/kg/po,A,,,Rattus norvegicus,10116.0,,Urine,,
8032,3173,Amount of urine output was measured in rat at a dose of 10 mg/kg/po; NT-Not tested,A,,,Rattus norvegicus,10116.0,,Urine,,
8033,4257,Volume of distribution was determined in rat after a 3 mg/kg of iv dose,A,In vivo,,Rattus norvegicus,10116.0,,,,
8034,6011,Compound distribution in rat tissues was determined,A,In vivo,,Rattus norvegicus,10116.0,,,,
8035,5472,Volume of distribution was evaluated in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8036,14346,Area under the curve was determined after intravenous administration of 2.7 mg/kg in male Dawley rats,A,,,Rattus norvegicus,10116.0,,,,
8037,14346,Area under the curve was determined after intravenous administration of 2.8 mg/kg in male Dawley rats,A,,,Rattus norvegicus,10116.0,,,,
8038,14346,Area under the curve was determined after intravenous administration of 4.9 mg/kg in male Beagle dogs,A,,,Canis lupus familiaris,9615.0,,,,
8039,14346,Area under the curve was determined after intravenous administration of 5.1 mg/kg in male Dawley rats,A,,,Rattus norvegicus,10116.0,,,,
8040,15469,Area under the curve was determined after oral administration (300 uM/Kg),A,,,,,,,,
8041,14346,Area under the curve was determined after peroral administration of 5.0 mg/kg in male Dawley rats,A,,,Rattus norvegicus,10116.0,,,,
8042,14346,Area under the curve was determined after peroral administration of 5.1 mg/kg in mal Dawley rats,A,,,Rattus norvegicus,10116.0,,,,
8043,14346,Area under the curve was determined after peroral administration of 5.1 mg/kg in male Dawley rats,A,,,Rattus norvegicus,10116.0,,,,
8044,14346,Area under the curve was determined after peroral administration of 5.2 mg/kg in mal Dawley rats,A,,,Rattus norvegicus,10116.0,,,,
8045,14346,Area under the curve was determined after peroral administration of 5.2 mg/kg in male Dawley rats,A,,,Rattus norvegicus,10116.0,,,,
8046,15372,Area under the curve was determined for the compound after iv dose of 4.97 mg/kg in rats,A,,,Rattus norvegicus,10116.0,,,,
8047,12935,Area under the plasma concentration was determined in fasted Beagle dogs after peroral administration of 100 mg/kg,A,,,Canis lupus familiaris,9615.0,,Plasma,,
8048,12935,Area under the plasma concentration was determined in fasted Beagle dogs after peroral administration of 20 mg/kg,A,,,Canis lupus familiaris,9615.0,,Plasma,,
8049,14813,Plasma drug AUC in rat (PO dose),A,,,,,,,,
8050,15792,Area under the tumor growth curve (AUC) in the B-6 Melanoma Model in C57/b1 mice at the dose of 1 mg/kg.,A,,,Mus musculus,10090.0,,,,
8051,3579,Area under was determined at a dose of 30 mg/kg,A,,,,,,,,
8052,12487,Average area under curve for compound at 1 mg/kg dose intravenous administration to Ferret,A,,,Mustela putorius furo,9669.0,,,,
8053,12487,Average area under curve for the compound at 10 mg/kg dose after intraduodenal administration to rat,A,,,Rattus norvegicus,10116.0,,,,
8054,12487,Average area under curve for the compound at 1 mg/kg dose after intravenous administration to rat,A,,,Rattus norvegicus,10116.0,,,,
8055,12487,Average area under curve at 10 mg/kg dose after intraduodenal administration to Ferret,A,,,Mustela putorius furo,9669.0,,,,
8056,12487,Average area under curve at 10 mg/kg intraduodenal administration to salt depleted dog,A,,,Canis lupus familiaris,9615.0,,,,
8057,12487,Average area under curve at 1 mg/kg intravenous administration to salt depleted dog,A,,,Canis lupus familiaris,9615.0,,,,
8058,12902,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 1.0(pmol/g/h)",A,,,Rattus norvegicus,10116.0,,,,
8059,12902,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 2.0(pmol/g/h)",A,,,Rattus norvegicus,10116.0,,,,
8060,12902,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 4.0(pmol/g/h)",A,,,Rattus norvegicus,10116.0,,,,
8061,12902,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 5.0(pmol/g/h)",A,,,Rattus norvegicus,10116.0,,,,
8062,12902,"Bioavailability in male Sprague-Dawley rats, after the iv administration at a dose of 54.0(pmol/g/h)",A,,,Rattus norvegicus,10116.0,,,,
8063,12902,"Bioavailability in male Sprague-Dawley rats, after the po administration at a dose of 10.0(pmol/g/h)",A,,,Rattus norvegicus,10116.0,,,,
8064,12902,"Bioavailability in male Sprague-Dawley rats, after the po administration at a dose of 20.0(pmol/g/h)",A,,,Rattus norvegicus,10116.0,,,,
8065,12902,"Bioavailability in male Sprague-Dawley rats, after the po administration at a dose of 40.0(pmol/g/h)",A,,,Rattus norvegicus,10116.0,,,,
8066,12745,Bioavailability in mouse brain after intravenous administration of 105.1 mg/kg of dose,A,,,Mus musculus,10090.0,,,,
8067,12745,Bioavailability in mouse brain after intravenous administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),A,,,Mus musculus,10090.0,,,,
8068,12745,Bioavailability in mouse brain after oral administration of 100 mg/kg of dose,A,,,Mus musculus,10090.0,,,,
8069,12745,Bioavailability in mouse brain after oral administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),A,,,Mus musculus,10090.0,,,,
8070,12745,Bioavailability in mouse serum after intravenous administration of 105.1 mg/kg of dose,A,,,Mus musculus,10090.0,,,,
8071,12745,Bioavailability in mouse serum after intravenous administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),A,,,Mus musculus,10090.0,,,,
8072,12745,Bioavailability in mouse serum after oral administration of 100 mg/kg of dose,A,,,Mus musculus,10090.0,,,,
8073,12745,Bioavailability in mouse serum after oral administration of equimolar doses of ( 2'F-ara-ddI + 2'F-ara-ddP),A,,,Mus musculus,10090.0,,,,
8074,13298,AUC in mice after oral dose (50 mg/kg),A,,,,,,Plasma,,
8075,12226,Blood level after oral administration in mice (50 mg/kg) was determined by bioassay procedure and represent total activity present in the serum,A,,,Mus musculus,10090.0,,Serum,,
8076,12634,AUC (0-4 hr) ug/ml/h,A,,,,,,Plasma,,
8077,14810,Compound at a dose of 10 mg/kg was orally administered to rats and Area under curve was reported,A,,,Rattus norvegicus,10116.0,,,,
8078,13889,Compound evaluated for AUC = Area under the nucleoside serum or brain concentration versus time curve after iv administration,A,,,,,,,,
8079,10018,Compound was evaluated for Area under curve in mice,A,,,Mus musculus,10090.0,,,,
8080,8758,Compound was evaluated for area under curve doses in rat at 100 mg/kg po,A,,,Rattus norvegicus,10116.0,,,,
8081,8758,Compound was evaluated for area under curve doses in rat at 100 mg/kg po,F,,,,,,,,
8082,8758,Compound was evaluated for area under curve doses in rat at 50 mg/kg po,A,,,Rattus norvegicus,10116.0,,,,
8083,2249,Compound was evaluated for area under curve of growth hormone release after chronic oral dosing at 0.5 mpk on day 1,A,,,,,,,,
8084,2249,Compound was evaluated for area under curve of growth hormone release after chronic oral dosing at 0.5 mpk on day 4,A,,,,,,,,
8085,2249,Compound was evaluated for area under curve of growth hormone release after chronic oral dosing at 1.0 mpk on day 1,A,,,,,,,,
8086,2249,Compound was evaluated for area under curve of growth hormone release after chronic oral dosing at 1.0 mpk on day 4,A,,,,,,,,
8087,15115,Compound was evaluated for area under curve when administered through oral route in mouse,A,,,Mus musculus,10090.0,,,,
8088,6518,Plasma clearance after oral administration at a dose of 2 mg/kg in rat; no data,A,In vivo,,Rattus norvegicus,10116.0,,,,
8089,6518,Plasma clearance after oral administration at a dose of 4 mg/kg in rat; no data,A,In vivo,,Rattus norvegicus,10116.0,,,,
8090,6249,Plasma clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8091,2463,Plasma clearance was evaluated in vivo in rat at a dose of 5 mg/kg by intra venous administration,A,In vivo,,Rattus norvegicus,10116.0,,,,
8092,4969,Plasma clearance rate in Sprague-Dawley rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8093,17720,CLtot at a dose of 4 mg/kg in Rat Plasma after iv administration,F,In vivo,,Rattus norvegicus,10116.0,,,,
8094,3457,Pharmacokinetic property (total body clearance) in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8095,5983,Pharmacokinetic property (CLtot)of the compound was measured in rat at the dose of 0.32 mg/kg i.v.,A,In vivo,,Rattus norvegicus,10116.0,,,,
8096,6295,In vivo concentration in rat liver exposure 0-8 hour after oral administration 50 mg/kg,A,,,Rattus norvegicus,10116.0,,,,
8097,6296,In vivo concentration in rat liver exposure 0-8 hour after oral administration 50 mg/kg,A,,,Rattus norvegicus,10116.0,,,,
8098,17686,Cl in rat i.v. at 2 mg/kg concentration,A,In vivo,,Rattus norvegicus,10116.0,,,,
8099,17764,Clearance of compound after intravenous administration in rats at 24 uM/kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8100,5503,Clearance was determined,A,In vivo,,Rattus norvegicus,10116.0,,,,
8101,4368,Clearance by intravenous administration of 3.4 mg/kg in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8102,6005,Clearance was evaluated after i.v. administration in rat at a dose of 1 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8103,5031,Clearance rate after i.v. administration in rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8104,4890,Clearance was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8105,5182,Clearance was determined by administering the compound intravenously at a dose of 1 mg/kg in male wistar rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8106,5979,Clearance (Cl) of compound after 2 h iv infusion of 8.4 mg/kg in three rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8107,5656,Clearance (Cl) after oral administration in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8108,17804,Compound clearance in rats was measured after intravenous administration at 3 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8109,4839,Compound was tested for plasma clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,,Plasma,,
8110,5041,In vitro microsome metabolism clearance in rat was determined,A,In vitro,,Rattus norvegicus,10116.0,,,,Microsomes
8111,5041,In vitro microsome metabolism clearance in rat was determined; ND denotes no data,A,In vitro,,Rattus norvegicus,10116.0,,,,Microsomes
8112,5974,In vivo Clearance (Cl) was determined after intravenous administration of compound (9.13+/-0.85 mg/kg) in male Sprague-Dawley rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8113,5496,In vivo plasma clearance was determined,A,In vivo,,Rattus norvegicus,10116.0,,Plasma,,
8114,5739,Pharmacokinetic property (Clearance) for the compound (5 mg/kg iv) was determined in rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8115,5676,Pharmacokinetic property (Clearance) in rat hepatocyte i.v.,A,In vivo,,Rattus norvegicus,10116.0,,Liver,Hepatocyte,
8116,4239,Pharmacokinetic property (Plasma clearance) was measured in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8117,5676,Pharmacokinetic property (clearance) in rat i.v.,A,In vivo,,Rattus norvegicus,10116.0,,,,
8118,1918,"Plasma Clearance was evaluated in rats, iv",A,In vivo,,Rattus norvegicus,10116.0,,,,
8119,17800,Plasma clearance (in vivo) in rats was determined,A,In vivo,,Rattus norvegicus,10116.0,,,,
8120,6056,Plasma clearance for the compound was calculated at a single intravenous administration of 20 mg/kg in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8121,5496,Plasma clearance was determined,A,In vivo,,Rattus norvegicus,10116.0,,,,
8122,5939,Plasma clearance in rat after peroral administration at 10 mg/kg concentration,A,In vivo,,Rattus norvegicus,10116.0,,,,
8123,5939,Plasma clearance in rat after peroral administration at 5 mg/kg concentration,A,In vivo,,Rattus norvegicus,10116.0,,,,
8124,17752,Plasma clearance in rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8125,4576,Plasma clearance rate determined in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8126,6011,Plasma clearance was determined in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8127,5510,Plasma clearance was determined,A,In vivo,,Rattus norvegicus,10116.0,,,,
8128,5948,Plasma clearance value in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8129,6125,Clearance rate constant using isolated perfused rat liver (IPRL) assay,A,Ex vivo,,Rattus norvegicus,10116.0,,Liver,,
8130,4839,Clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8131,17686,Total body clearance in rat i.v. at 2 mg/kg concentration,A,In vivo,,Rattus norvegicus,10116.0,,,,
8132,6571,Clearance of compound in rats after intravenous administration,A,In vivo,,Rattus norvegicus,10116.0,,,,
8133,3364,Clearance after iv administration to rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8134,13569,Clearance at an iv dose of 12 mg/Kg and po dose of 23 mg/Kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8135,13569,Clearance at an iv dose of 14 mg/Kg and po dose of 15 mg/Kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8136,13569,Clearance at an iv dose of 15 mg/Kg and po dose of 30 mg/Kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8137,13569,Clearance at an iv dose of 15 mg/Kg and po dose of 30.2 mg/Kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8138,13569,Clearance at an iv dose of 15.6 mg/Kg and po dose of 31.2 mg/Kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8139,13569,Clearance at an iv dose of 15.7 mg/Kg and po dose of 31.4 mg/Kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8140,13569,Clearance at an iv dose of 16 mg/Kg and po dose of 35 mg/Kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8141,17670,"Clearance in fischer rats at 5 mg/kg dose, administered intravenously",A,In vivo,,Rattus norvegicus,10116.0,,,,
8142,5970,Clearance in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8143,6495,Clearance in rat after oral administration at 10 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8144,4590,Clearance in rat.,A,In vivo,,Rattus norvegicus,10116.0,,,,
8145,6193,Clearance rate following an oral dose of 20 mg/kg in rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8146,2832,Compound was evaluated for the rate of clearance in rat upon intravenous administration.,A,In vivo,,Rattus norvegicus,10116.0,,,,
8147,1052,Compound was tested for plasma clearance in rats after 5 mg/kg of intravenous dosing,A,In vivo,,Rattus norvegicus,10116.0,,Plasma,,
8148,9866,Biodistribution in rat liver in the presence of GdDTPA-BDP at 1 hr,A,In vivo,,Rattus norvegicus,10116.0,,Liver,,
8149,9866,Biodistribution in rat liver in the presence of GdDTPA-BDP at 30 min,A,In vivo,,Rattus norvegicus,10116.0,,Liver,,
8150,9866,Biodistribution in rat liver in the presence of GdDTPA-BDP at 4 hr,A,In vivo,,Rattus norvegicus,10116.0,,Liver,,
8151,9866,Biodistribution in rat liver in the presence of GdDTPA-HPDP at 15 min,A,In vivo,,Rattus norvegicus,10116.0,,Liver,,
8152,9866,Biodistribution in rat liver in the presence of GdDTPA-HPDP at 1 hr,A,In vivo,,Rattus norvegicus,10116.0,,Liver,,
8153,9866,Biodistribution in rat liver in the presence of GdDTPA-HPDP at 30 min,A,In vivo,,Rattus norvegicus,10116.0,,Liver,,
8154,9866,Biodistribution in rat liver in the presence of GdDTPA-HPDP at 4 hr,A,In vivo,,Rattus norvegicus,10116.0,,Liver,,
8155,9866,Biodistribution in rat liver in the presence of NAC Gd/0.01 M GdDTPA-HPDP,A,In vivo,,Rattus norvegicus,10116.0,,Liver,,
8156,9866,Biodistribution in rat liver in the presence of NCA Gd/0.01 M lip,A,In vivo,,Rattus norvegicus,10116.0,,Liver,,
8157,9866,Biodistribution in rat muscle in the presence of 0.01 M GdDTPA-BDP,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8158,9866,Biodistribution in rat muscle in the presence of 0.05 M Gd/0.15 M lig,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8159,9866,Biodistribution in rat muscle in the presence of 0.05 M GdDTPA-BDP,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8160,9866,Biodistribution in rat muscle in the presence of 0.10 M GdDTPA-BDP,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8161,9866,Biodistribution in rat muscle in the presence of GdDTPA-BDP at 1 hr,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8162,9866,Biodistribution in rat muscle in the presence of GdDTPA-BDP at 4 hr,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8163,9866,Biodistribution in rat muscle in the presence of GdDTPA-BDPat 15 min,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8164,9866,Biodistribution in rat muscle in the presence of GdDTPA-BDPat 30 min,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8165,9866,Biodistribution in rat muscle in the presence of GdDTPA-HPDP at 1 hr,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8166,9866,Biodistribution in rat muscle in the presence of GdDTPA-HPDP at 4 hr,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8167,9866,Biodistribution in rat muscle in the presence of GdDTPA-HPDPat 15 min,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8168,9866,Biodistribution in rat muscle in the presence of GdDTPA-HPDPat 30 min,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8169,9866,Biodistribution in rat muscle in the presence of NCA Gd/0.01 M lip,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8170,9866,Biodistribution in rat muscle in the presence of NCAGd/0.01 M lig,A,In vivo,,Rattus norvegicus,10116.0,,Muscle tissue,,
8171,9866,Biodistribution in rat s. intestine in the presence of 50 Gd/kg at 2 hr,A,In vivo,,Rattus norvegicus,10116.0,,Intestine,,
8172,9866,Biodistribution in rat s. intestine in the presence of 50 Gd/kg at 6 hr,A,In vivo,,Rattus norvegicus,10116.0,,Intestine,,
8173,9866,Biodistribution in rat s. intestine in the presence of NCA (No carrier added),A,In vivo,,Rattus norvegicus,10116.0,,Intestine,,
8174,9866,Biodistribution in rat spleen in the presence of 0.01 M GdDTPA-BDP,A,In vivo,,Rattus norvegicus,10116.0,,Spleen,,
8175,9866,Biodistribution in rat spleen in the presence of 0.05 M Gd/0.15 M lig; ND=No data,A,In vivo,,Rattus norvegicus,10116.0,,Spleen,,
8176,9866,Biodistribution in rat spleen in the presence of 0.05 M GdDTPA-BDP; ND=No data,A,In vivo,,Rattus norvegicus,10116.0,,Spleen,,
8177,9866,Biodistribution in rat spleen in the presence of 0.10 M GdDTPA-BDP,A,In vivo,,Rattus norvegicus,10116.0,,Spleen,,
8178,9866,Biodistribution in rat spleen in the presence of 50 Gd/kg at 15 min,A,In vivo,,Rattus norvegicus,10116.0,,Spleen,,
8179,9866,Biodistribution in rat spleen in the presence of 50 Gd/kg at 2 hr,A,In vivo,,Rattus norvegicus,10116.0,,Spleen,,
8180,9866,Biodistribution in rat spleen in the presence of 50 Gd/kg at 6 hr,A,In vivo,,Rattus norvegicus,10116.0,,Spleen,,
8181,9866,Biodistribution in rat spleen in the presence of NCA Gd/0.01 M lip,A,In vivo,,Rattus norvegicus,10116.0,,Spleen,,
8182,9866,Biodistribution in rat spleen in the presence of NCAGd/0.01 M lig,A,In vivo,,Rattus norvegicus,10116.0,,Spleen,,
8183,9866,Biodistribution in rat stomach in the presence of 50 Gd/kg at 15 min,A,In vivo,,Rattus norvegicus,10116.0,,Stomach,,
8184,9866,Biodistribution in rat stomach in the presence of 50 Gd/kg at 2 hr,A,In vivo,,Rattus norvegicus,10116.0,,Stomach,,
8185,9866,Biodistribution in rat stomach in the presence of 50 Gd/kg at 6 h; ND=No data,A,In vivo,,Rattus norvegicus,10116.0,,Stomach,,
8186,13950,Biodistribution of [123I]-label in rat blood was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Blood,,
8187,13950,Biodistribution of [123I]-label in rat blood was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Blood,,
8188,13950,Biodistribution of [123I]-label in rat blood was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Blood,,
8189,13950,Biodistribution of [123I]-label in rat blood was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Blood,,
8190,13950,Biodistribution of [123I]-label in rat blood was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Blood,,
8191,13950,Biodistribution of [123I]-label in rat brain was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Brain,,
8192,13950,Biodistribution of [123I]-label in rat brain was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Brain,,
8193,13950,Biodistribution of [123I]-label in rat brain was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Brain,,
8194,13950,Biodistribution of [123I]-label in rat brain was reported at 24 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Brain,,
8195,13950,Biodistribution of [123I]-label in rat brain was reported at 4 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Brain,,
8196,13950,Biodistribution of [123I]-label in rat heart was reported at 0.33 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Heart,,
8197,13950,Biodistribution of [123I]-label in rat heart was reported at 1 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Heart,,
8198,13950,Biodistribution of [123I]-label in rat heart was reported at 2 hr post injection. Value shown is %ID/g of tissue,A,In vivo,,Rattus norvegicus,10116.0,,Heart,,
8199,6062,Terminal phase volume of distribution was measured in rat after an iv dose of 1 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8200,3598,Apparent volume of the central plasma compartment (Vc) of compound determined in rat after iv administration at a dose of 10 mg/kg,A,,,Rattus norvegicus,10116.0,,,,
8201,1908,Vc value after IV dose at a dose of 5 mg/kg in rats.,A,In vivo,,Rattus norvegicus,10116.0,,,,
8202,17596,Apparent volume of distribution at 10 mg/kg in rat upon intravenous administration,A,In vivo,,Rattus norvegicus,10116.0,,,,
8203,4891,Compound was evaluated for pharmacokinetic parameter volume of distribution,A,In vivo,,Rattus norvegicus,10116.0,,,,
8204,740,Compound was evaluated for volume of distribution in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8205,16366,Steady state volume distribution was determined; steady state(ss),A,In vivo,,Rattus norvegicus,10116.0,,,,
8206,3364,Steady state volume of distribution after iv administration to rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8207,2552,Steady state volume of distribution dosing at 3 mg/kg iv,A,In vivo,,Rattus norvegicus,10116.0,,,,
8208,406,The compound was evaluated for volume of distribution in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8209,12500,The compound was tested for volume of distribution in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8210,12500,The compound was tested for volume of distribution in rat at dose of 3-10 mgkg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8211,5656,Volume distribution (VD) after oral administration in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8212,17671,Volume distribution of compound in male Sprague-Dawley rats following an intravenous bolus dose at 10-20 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8213,1094,Volume distribution in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8214,5833,Volume distribution in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8215,5939,Volume distribution in rat after peroral administration at 10 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8216,5939,Volume distribution in rat after peroral administration at 5 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8217,6005,Volume distribution was evaluated after i.v. administration in rat at a dose of 1 mg/kg,A,In vivo,,Rattus norvegicus,10116.0,,,,
8218,1696,Volume of distribution in rat.,A,In vivo,,Rattus norvegicus,10116.0,,,,
8219,6672,Volume of distribution in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8220,6673,Volume of distribution in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8221,5871,Volume of distribution in rat by iv administration,A,In vivo,,Rattus norvegicus,10116.0,,,,
8222,6803,Volume of distribution in rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8223,5199,Volume of distribution was determined in female Sprague-Dawley rats following intravenous (iv) administration of drug (1 mg/kg).,A,In vivo,,Rattus norvegicus,10116.0,,,,
8224,4727,Volume distribution at the dose of 2 mg/kg in rat,A,,,Rattus norvegicus,10116.0,,,,
8225,16367,Steady state volume of distribution was determined,A,In vivo,,Rattus norvegicus,10116.0,,,,
8226,5005,Compound was tested for its plasma volume distribution in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po,A,In vivo,,Macaca mulatta,9544.0,,,,
8227,5005,Compound was tested for its plasma volume distribution in Sprague Dawley rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8228,5005,Compound was tested for its plasma volume distribution in Sprague Dawley rats; ND is not determined,A,In vivo,,Rattus norvegicus,10116.0,,,,
8229,15765,Mean (%CV) PK parameters for Vdss(mL/kg).,A,In vivo,,Rattus norvegicus,10116.0,,,,
8230,2792,Pharmacokinetic parameter Vdss was determined at 2 mg/kg i.v. dose in rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8231,2792,Pharmacokinetic parameter Vdss was determined at 5 mg/kg i.v. dose in rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8232,5334,Pharmacokinetic parameter volume of distribution was reported after intravenous administration at a dose of 1 mg/kg in Sprague-Dawley rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8233,5334,Pharmacokinetic parameter volume of distribution was reported in Sprague-Dawley rat; ND=Not determined,A,In vivo,,Rattus norvegicus,10116.0,,,,
8234,5739,Pharmacokinetic property (Vdss) for the compound (5 mg/kg iv) was determined in rats,A,In vivo,,Rattus norvegicus,10116.0,,,,
8235,5789,Pharmacokinetic property (Vdss) in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8236,4239,Pharmacokinetic property (vdss) was measured in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8237,4709,Steady state volume of distribution for the compound after intravenous administration of 1 mg/kg in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
8238,6642,Volume of distribution in rat,A,In vivo,,Rattus norvegicus,10116.0,,,,
