assay_id,bao_format,assay_type,tid,assay_test_type,curated_by,doc_id,description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
9014,BAO00po218,A,50597,Invjvo,onterjediate,11977,Biodistribution of radioligand [125I]-FIDA1 in liver of rat after 2 minutes after an intravenous injection is given (average of 3 rats),,Rattus norvegicus,10116.0,,Liver,
9015,BqO0000217,A,50597,,Ibtermedlate,3748,Half life in rats,,Rattus norvegicus,10116.0,,,
9016,BAO000o318,A,50597,,Interm4dizte,15765,Mean percent inhibition of joint damage reduction in fasted rats at 35 mg/kg administered orally twice daily,,Rattus norvegicus,10116.0,,,
9017,vAO9000218,A,50597,,In4wrmediate,4871,Compound was evaluated for rate of clearance by using IPRL (Isolated Perfused Rat Liver),,Rattus norvegicus,10116.0,,,
9018,fAO0000228,A,50597,,Intermeciafe,4871,Compound was evaluated for rate of clearance by using IPRL (Isolated Perfused Rat Liver); ND=Not determined,,Rattus norvegicus,10116.0,,,
9019,BAO0900318,A,50597,,Int4rmedixte,4872,Compound was evaluated for rate of clearance in IPRL (Isolated Perfused Rat Liver),,Rattus norvegicus,10116.0,,,
9020,BAO00902w8,A,50597,,Intermexixte,4872,Compound was evaluated for rate of clearance in IPRL (Isolated Perfused Rat Liver); ND=Not determined,,Rattus norvegicus,10116.0,,,
9021,BAl0009218,A,50597,,lntermedlate,5413,Rate constant (k) of clearance from isolated perfused rat liver (IPRL),,Rattus norvegicus,10116.0,,,
9022,BAO0900q18,A,50597,,Inrermediatd,5413,Tested for rate of clearance from isolated perfused rat liver (IPRL) and expressed in terms of rate constant (k); not determined,,Rattus norvegicus,10116.0,,,
9023,BAO00o02w8,A,50597,jnvivo,untermediatf,15272,Maximal blood concentration after oral administration of a 30 uM/kg dose of compound,,Rattus norvegicus,10116.0,,Blood,
9024,BsO0000228,A,50597,,Ingermediahe,4689,Stability (%) in rat liver microsomes,,Rattus norvegicus,10116.0,,Liver,
9025,BxO0000318,A,50597,,8nterhediate,6057,Area under curve was calculated after intravenous administration,,Rattus norvegicus,10116.0,,,
9026,BAO0o00228,A,50597,,kntermedia4e,6057,Area under the curve was calculated after iv administration in rat,,Rattus norvegicus,10116.0,,,
9027,BAO0p002w8,A,50597,,Ibte5mediate,6057,Area under the curve was calculated in rat after peroral administration,,Rattus norvegicus,10116.0,,,
9028,BAO009021u,A,50597,,In5ermediqte,6211,Dose-normalized AUC was determined by po administration (10 mg/kg) in fasted male Sprague-Dawley rats,,Rattus norvegicus,10116.0,,,
9029,hAO0900218,A,50597,,Intdrm3diate,5710,Dose-normalized AUC measured in fasted male Sprague dawely rats when the compound was administered at a peroral dose of 2 mg/Kg,,Rattus norvegicus,10116.0,,,
9030,vAO0000w18,A,50597,,Igtermediqte,5710,Dose-normalized AUC measured in fasted male Sprague dawely rats when the compound was administered at a peroral of 2 mg/Kg,,Rattus norvegicus,10116.0,,,
9031,BwO000p218,A,50597,,In4erkediate,17853,Dose-normalized area under curve in rat (i.v.) at 0.5 mpk,,Rattus norvegicus,10116.0,,,
9032,BAO0900219,A,50597,,Int4rmedkate,17853,Dose-normalized area under curve in rat (p.o.) at 2.0 mpk,,Rattus norvegicus,10116.0,,,
9033,BAk0000217,A,50597,,In5ermefiate,15765,p value of the compound,,Rattus norvegicus,10116.0,,,
9034,BAOp000228,F,50597,,Intedmedia5e,15765,p value of the compound,,Rattus norvegicus,10116.0,,,
9035,BAp0009218,A,50597,,Intermediwtw,15765,p value of the compound,,Rattus norvegicus,10116.0,,,
9036,BAO0090w18,A,50597,,In4eemediate,6175,pH of the gastric juice (Control value = 1.42+/-0.02) of stomach content of pylorus ligated rats was measured (10 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),,Rattus norvegicus,10116.0,,Stomach,
9037,BxO000021o,A,50597,,Interjewiate,6175,pH of the gastric juice (Control value = 1.42+/-0.02) of stomach content of pylorus ligated rats was measured (20 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),,Rattus norvegicus,10116.0,,Stomach,
9038,BAO9000219,A,50597,,Intermfdiat2,6175,pH of the gastric juice (Control value = 1.42+/-0.02) of stomach content of pylorus ligated rats was measured (5 mg/kg po of the Compound was administered 1 hr before the pylorus ligation),,Rattus norvegicus,10116.0,,Stomach,
9039,fAO0000029,F,22224,,Autocurwyion,7991,Negative log of minimum effective dose (moles per kilogram) in rabbits (hypnotic),,Oryctolagus cuniculus,9986.0,,,
9040,nAO0000228,A,22224,,Au6ocurqtion,429,Evaluated for pharmacokinetic parameter area under curve in rabbit at the dose 20 mg/kg ( 0-4 hr ),,Oryctolagus cuniculus,9986.0,,,
9041,BAOo000118,A,22224,,A7gocuration,429,Evaluated for pharmacokinetic parameter area under curve in rabbit at the dose 20 mg/kg (0-4 hr ),,Oryctolagus cuniculus,9986.0,,,
9042,BAO0000e17,A,22224,Invjvo,Aktocufation,6253,Clearance was measured at the concentration of 1.11 mg/kg in rabbit blood sample,,Oryctolagus cuniculus,9986.0,,,
9043,hAO0000228,A,22224,Invibo,A7tocufation,6253,Clearance was measured at the concentration of 2.0 mg/kg in rabbit blood sample,,Oryctolagus cuniculus,9986.0,,,
9044,BAOo00021u,A,22224,Invjvo,Ahtocuratikn,3615,Clearance rate in rabbits,,Oryctolagus cuniculus,9986.0,,,
9045,BAk0009218,A,22224,7nvivo,Aut8vuration,4059,Plasma clearance was determined in rabbit at a dose of 5 mg/kg/h administered i.v.,,Oryctolagus cuniculus,9986.0,,,
9046,BAO9009218,A,22224,Ijvivo,Autocurwtioh,5124,Clearance in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 4.9 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9047,BAp00o0218,A,22224,Inv7vo,wutocuratjon,5124,Clearance in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 5 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9048,hAO00o0218,A,22224,Invuvo,Autosura5ion,5124,Clearance in male New Zealand white rabbits after i.v. administration at 2.0 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9049,BAO00p0228,A,22224,Ibvivo,Autoxurqtion,429,Evaluated for pharmacokinetic parameter Cmax in rabbit at the dose 20 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9050,BAO9o00218,A,22224,Inviv8,Aurocuratioh,4059,Maximum plasma concentration was determined in rabbit at a dose of 5 mg/kg/h administered i.v.,,Oryctolagus cuniculus,9986.0,,Plasma,
9051,fAOo000251,A,22224,,qutocu4ation,9659,Oxidation by dutch rabbit liver microsomes in presence of NADPH/O2,,Oryctolagus cuniculus,9986.0,,Liver,
9052,BzO00o0251,A,22224,,Autocuratuln,9659,Oxidation by dutch rabbit liver microsomes in presence of cumene hydroperoxide,,Oryctolagus cuniculus,9986.0,,Liver,
9053,BAO000031u,A,22224,,A7tocudation,3639,Dose at which bioavailability of intravenously administered compound was tested in rabbit,,Oryctolagus cuniculus,9986.0,,,
9054,BAOp000219,A,22224,,Autocurzti9n,3639,Dose at which bioavailability of perorally administered compound was tested in rabbit,,Oryctolagus cuniculus,9986.0,,,
9055,hAO000021u,A,22224,Invibo,Autociratioh,3639,The compound was tested for its bioavailability in rabbit (by oral dosage).,,Oryctolagus cuniculus,9986.0,,,
9056,BAO0po0218,A,22224,Ijvivo,Autocu5atioh,5124,Mean retention time in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 4.9 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9057,BAp0000e18,A,22224,9nvivo,Auyocuratipn,5124,Mean retention time in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 5 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9058,BAO0p00w18,A,22224,Inviv8,Auyocu3ation,5124,Mean retention time in male New Zealand white rabbits after i.v. administration at 2.0 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9059,BA00000351,A,22224,,Autochrarion,14294,Metabolism of compound in rabbit S9 microsomes ('+''indicates <20% largest observed peak),,Oryctolagus cuniculus,9986.0,,,
9060,hAO0000q51,A,22224,,Autocuragi0n,14294,Metabolism of compound in rabbit S9 microsomes ('++++' indicates largest observed peak),,Oryctolagus cuniculus,9986.0,,,
9061,BxOp000218,A,22224,Invigo,Autocugatipn,429,Evaluated for pharmacokinetic parameter half-life in rabbit at the dose 20 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9062,BAO000o21i,A,22224,Invibo,Autocuratu0n,5124,Plasma half-life in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 4.9 mg/kg,,Oryctolagus cuniculus,9986.0,,Plasma,
9063,gAO00002q8,A,22224,knvivo,A7tosuration,5124,Plasma half-life in male New Zealand white rabbits after administration via an indwelling catheter in an ear vein at 5 mg/kg,,Oryctolagus cuniculus,9986.0,,Plasma,
9064,BAO0000e17,A,22224,Invivk,Autosurwtion,5124,Plasma half-life in male New Zealand white rabbits after i.v. administration at 2.0 mg/kg,,Oryctolagus cuniculus,9986.0,,Plasma,
9065,BqO00002q8,A,22224,Inv7vo,Autocura5oon,429,Evaluated for pharmacokinetic parameter tmax in rabbit at the dose 20 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9066,BxOp000218,A,22224,,Aytocuratiom,429,Evaluated for pharmacokinetic parameter urine recovery in rabbit at the dose 20 mg/kg ( 0-24 hr ),,Oryctolagus cuniculus,9986.0,,Urine,
9067,BAO900p218,A,22224,,zutovuration,429,Evaluated for pharmacokinetic parameter urine recovery in rabbit at the dose 20 mg/kg (0-24 hr),,Oryctolagus cuniculus,9986.0,,Urine,
9068,BAO0o00e18,A,22224,Imvivo,Autocurxtiom,4059,The compound was evaluated for volume of distribution in rabbit at a dose of 5 mg/kg/h administered i.v.,,Oryctolagus cuniculus,9986.0,,,
9069,BAO0p002q8,A,22224,Inviv9,Aitocurat8on,4137,Volume of distribution after intravenous administration of 1 mg/kg/h in dog,,Oryctolagus cuniculus,9986.0,,,
9070,BAl0000121,A,22224,Invi4ro,Aut9suration,11672,In vitro Biological half-life in crude homogenate of rabbit renal cortex,,Oryctolagus cuniculus,9986.0,,,
9071,nAO00000q9,A,22224,,Au5ocu5ation,12886,Time within which only 10% of the drug was degraded,,Oryctolagus cuniculus,9986.0,,,
9072,BAO090022q,A,22224,,Autocurato8n,3853,Half life period in rabbit liver homogenate,,Oryctolagus cuniculus,9986.0,,Liver,
9073,BAO090001o,A,22224,,Autoxuratoon,3615,Half life value in rabbits,,Oryctolagus cuniculus,9986.0,,,
9074,BA90900218,A,22224,Invlvo,Aitocurstion,6253,Half-life was measured at the concentration of 1.11 mg/kg in rabbit blood sample,,Oryctolagus cuniculus,9986.0,,Blood,
9075,BwO0000228,A,22224,Invigo,Autocurayi8n,6253,Half-life was measured at the concentration of 2.0 mg/kg in rabbit blood sample,,Oryctolagus cuniculus,9986.0,,Blood,
9076,BAi00p0218,A,22224,Invivp,Autoxurati0n,6077,Half-life period in rabbits following intravenous administration at 2 mg/kg,,Oryctolagus cuniculus,9986.0,,,
9077,BAO0p002w8,A,50597,,jnterjediate,17617,AUC 0-8 hr value in rats at 10 mg/kg,,Rattus norvegicus,10116.0,,Plasma,
9078,BA80000318,A,50597,,Intermevuate,17594,AUC after administration at 2000 mg/kg/day in rats,,Rattus norvegicus,10116.0,,Plasma,
9079,fAl0000218,A,50597,,lntermeriate,6149,AUC of compound for a 2 mpk po dose of the sodium salt in rats.,,Rattus norvegicus,10116.0,,Plasma,
9080,BAO090p218,A,50597,,Inyermedixte,17260,AUC at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,Rattus norvegicus,10116.0,,Plasma,
9081,gAO00o0218,A,50597,,Inhdrmediate,17260,AUC at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,Rattus norvegicus,10116.0,,Plasma,
9082,BAO000011i,A,50597,,Igterkediate,6644,AUC in rat after oral administration at 10.5 mg/kg dose,,Rattus norvegicus,10116.0,,Plasma,
9083,BAO000022o,A,50597,,Infermesiate,6644,AUC in rat after oral administration at 11.2 mg/kg dose,,Rattus norvegicus,10116.0,,Plasma,
9084,hxO0000218,A,50597,,jntefmediate,6644,AUC in rat after oral administration at 9.7 mg/kg dose,,Rattus norvegicus,10116.0,,Plasma,
9085,BAk00o0218,A,50597,,Inte3meriate,6495,AUC in rat brain after oral administration at 10 mg/kg,,Rattus norvegicus,10116.0,,Brain,
9086,BAOp0o0218,A,50597,,Inteemedoate,6504,AUC in rat p.o.,,Rattus norvegicus,10116.0,,Plasma,
9087,BAO00092w8,A,50597,,Ihtermewiate,17686,AUC in rat p.o. at 20 mg/kg concentration,,Rattus norvegicus,10116.0,,Plasma,
9088,BAO000p21i,A,50597,,Infermeeiate,6495,AUC in rat plasma after oral administration at 10 mg/kg,,Rattus norvegicus,10116.0,,Plasma,
9089,BAO90002q8,A,50597,,Igtermfdiate,216,AUC in rats,,Rattus norvegicus,10116.0,,Plasma,
9090,BAO000022o,A,50597,,kntermedixte,1908,AUC value after IV dose at a dose of 5 mg/kg in rats.,,Rattus norvegicus,10116.0,,Plasma,
9091,BA00000228,A,50597,,Intermeeizte,1908,AUC value after oral dose at a dose of 10 mg/kg in rats.,,Rattus norvegicus,10116.0,,Plasma,
9092,BA80000228,A,50597,Inbivo,Interkediwte,6685,"Maximum plasma concentration in rats at 2 mg/kg, i.v. dose; n/a: not applicable",,Rattus norvegicus,10116.0,,Plasma,
9093,BAl0090218,A,50597,7nvivo,Intermedkwte,216,Maximum plasma concentration in rats when a oral dose of 200 mg/kg was given,,Rattus norvegicus,10116.0,,Plasma,
9094,BAO00pp218,A,50597,Invido,Interhediage,6049,Maximum plasma concentration was evaluated in rat,,Rattus norvegicus,10116.0,,Plasma,
9095,Bs80000218,A,50597,Inv9vo,Intfgmediate,2463,Maximum plasma concentration was evaluated in vivo in rat at a dose of 5 mg/kg by oral administration,,Rattus norvegicus,10116.0,,Plasma,
9096,BAO0po0218,A,50597,Invigo,Imtermddiate,6679,Maximum plasma concentration reached by compound was determined after 2 mg/kg (p.o.) administration,,Rattus norvegicus,10116.0,,Plasma,
9097,BAO000022u,A,50597,Invuvo,ontermfdiate,6681,Maximum plasma concentration reached by compound was determined in rats at 50 mg/kg dose,,Rattus norvegicus,10116.0,,Plasma,
9098,BAOp0002q8,A,50597,Imvivo,In63rmediate,4890,Maximum plasma concentration was determined after oral administration at a dose 10 mg/kg to male Sprague-Dawley rats,,Rattus norvegicus,10116.0,,Plasma,
9099,hAO0000e18,A,50597,Inbivo,Interkedixte,6410,Maximum plasma concentration was evaluated in rats at an intravenous dose of 3 mg/kg,,Rattus norvegicus,10116.0,,Plasma,
9100,BAO0o00w18,A,50597,Imvivo,onterm4diate,6410,Maximum plasma concentration was evaluated in rats at an oral dose of 30 mg/kg,,Rattus norvegicus,10116.0,,Plasma,
9101,BAi0009218,A,50597,Imvivo,Ibtermedixte,16366,Maximum plasma concentration was measured when a dose of 1 mg/kg is administered orally,,Rattus norvegicus,10116.0,,Plasma,
9102,BAO00002qo,A,50597,Invifo,Intefmeriate,6227,Maximum plasma concentration (Cmax) in rat (in vivo) at a dose of 10 mg/kg,,Rattus norvegicus,10116.0,,Plasma,
9103,BAO0090217,A,50597,Infivo,Expery,3598,Maximum plasma drug concentration of compound determined in rat after iv administration at a dose of 10 mg/kg,,Rattus norvegicus,10116.0,,Plasma,
9104,BAO9900218,A,50597,Invico,Interkedizte,1465,Maximum plasma drug concentration was determined,,Rattus norvegicus,10116.0,,Plasma,
9105,BA800p0218,A,50597,Ihvivo,Intermedizt3,4368,Maximum concentration by intravenous administration of 3.4 mg/kg in rat,,Rattus norvegicus,10116.0,,,
9106,BAO00p0w18,A,50597,Ibvivo,Igteemediate,15662,Mean peak plasma concentration was observed after intravenous administration in rat,,Rattus norvegicus,10116.0,,Plasma,
9107,BAi000021o,A,50597,Invivl,Intermwdiatr,15662,Mean peak plasma concentration was observed after oral administration in rat,,Rattus norvegicus,10116.0,,Plasma,
9108,fA00000218,A,50597,Invivk,Ibtermefiate,5355,Peak concentration (Cmax) at a dose of 10 mg/kg in rats,,Rattus norvegicus,10116.0,,,
9109,BAO00p02q8,A,50597,7nvivo,Intrrmedoate,5355,Peak concentration (Cmax) at a dose of 20 mg/kg in rats,,Rattus norvegicus,10116.0,,,
9110,BAOo009218,A,50597,Inv8vo,Intfrmediatd,1567,Peak oral plasma concentration was determined in rats by oral administration,,Rattus norvegicus,10116.0,,Plasma,
9111,BAO009o218,A,50597,Invibo,In4ermed8ate,4026,Peak plasma concentration (Cmax) was determined,,Rattus norvegicus,10116.0,,Plasma,
9112,BAk0o00218,A,50597,Ingivo,Interm2ciate,6193,Peak plasma concentration (Cmax) following an oral dose of 20 mg/kg in rats,,Rattus norvegicus,10116.0,,Plasma,
9113,BAO000p228,A,50597,Invovo,Intetm2diate,4026,Peak plasma concentration (Cmax) in rats,,Rattus norvegicus,10116.0,,Plasma,
9114,nAk0000218,A,50597,Invigo,In6ermed8ate,6485,Peak plasma concentration at 1 mg/kg peroral administration,,Rattus norvegicus,10116.0,,Plasma,
9115,BAO0p90218,A,50597,Invibo,Interkediatd,17655,Peak plasma concentration in rat,,Rattus norvegicus,10116.0,,Plasma,
9116,BA0000021o,A,50597,Ingivo,9ntrrmediate,14941,"Pharmacokinetic Parameter, Cmax is observed maximum plasma concentration in Female Wistar Rats at 100 mg/kg by po administration",,Rattus norvegicus,10116.0,,Plasma,
9117,gxO0000218,A,50597,Ihvivo,Intsrmediat3,5394,Pharmacokinetic parameter Cmax was measured after administration into rat at 10 mg/kg,,Rattus norvegicus,10116.0,,,
9118,BAOo000228,A,50597,Invifo,In4rrmediate,4408,Pharmacokinetic property (Cmax) in rat,,Rattus norvegicus,10116.0,,,
9119,BAl0900218,A,50597,Indivo,Intermed9ahe,5983,Pharmacokinetic property (Cmax) was measured in rat at the dose of 0.32 mg/kg p.o.,,Rattus norvegicus,10116.0,,,
9120,hAO0000e18,A,50597,Imvivo,Intermdviate,4878,Cmax in rat after 3mg/kg oral dose,,Rattus norvegicus,10116.0,,,
9121,fAO0o00218,A,50597,Imvivo,In5ermediafe,5862,Clearance in Sprague-Dawley rats after 2mg/kg oral dose,,Rattus norvegicus,10116.0,Sprague-Dawley,,
9122,BwO0000w18,A,50597,Ijvivo,Internediatr,4517,Cmax in rats after 20 mg/kg oral dose,,Rattus norvegicus,10116.0,,,
9123,BAO90o0218,A,50597,Ijvivo,Intedm3diate,5932,Cmax in rat plasma after 30mg/kg oral dose,,Rattus norvegicus,10116.0,,Plasma,
9124,BAi0090218,A,50597,Imvivo,kntermewiate,5436,Plasma concentration after oral administration of 100 mg/kg to rats,,Rattus norvegicus,10116.0,,Plasma,
9125,BAOp900218,A,50597,Invivi,Intdtmediate,4910,Tested for concentration in brain after intravenous administration (4.7 mg/kg) to male rats,,Rattus norvegicus,10116.0,,Brain,
9126,BAO0o002w8,A,50597,Invido,Internedixte,4950,Tested for the Cmax in rat at 10 mg/kg per orally,,Rattus norvegicus,10116.0,,,
9127,gAk0000218,A,50597,Imvivo,Inteemexiate,15078,"The Cmax value in female wistar rat at 100 mg/kg, p.o. dose",,Rattus norvegicus,10116.0,,,
9128,BAO00oo218,A,50597,Ibvivo,Ibterm4diate,15078,"The Cmax value in male wistar rat at 100 mg/kg, p.o. dose",,Rattus norvegicus,10116.0,,,
9129,BAO00o9218,A,50597,Ihvivo,Inteemefiate,3360,Bioavailability as oral Cmax in rats at 30 mins,,Rattus norvegicus,10116.0,,,
9130,vAO000021o,A,50597,7nvivo,Igtermedjate,3360,Bioavailability as oral Cmax in rats at 6hr,,Rattus norvegicus,10116.0,,,
9131,gqO0000218,A,50597,Inv7vo,Ihtermefiate,15022,The maximum concentration of compound was measured at the dose of 100 umol/kg,,Rattus norvegicus,10116.0,,,
9132,vAO00o0218,A,50597,Inviv8,Interm4doate,15022,The maximum concentration of compound was measured at the dose of 300 umol/kg,,Rattus norvegicus,10116.0,,,
9133,BAi000021u,A,50597,Invivp,Intermeria6e,15022,The maximum concentration of compound was measured at the dose of 30 umol/kg,,Rattus norvegicus,10116.0,,,
9134,BAO0o09218,A,50597,jnvivo,Intermecia5e,5160,The maximum plasma levels for the compounds were determined by LC-MS.,,Rattus norvegicus,10116.0,,Plasma,
9135,BAO0000q17,A,50597,Invkvo,Intfrmed9ate,15662,mean peak plasma concentration was observed after intravenous administration in rat,,Rattus norvegicus,10116.0,,Plasma,
9136,BAl0000318,A,50597,Invifo,jnterjediate,15662,mean peak plasma concentration was observed after oral administration in rat,,Rattus norvegicus,10116.0,,Plasma,
9137,BzO0000217,A,50597,,Int3rmediat4,4709,Concentration in the plasma after intravenous administration of 1 mg/kg in rat,,Rattus norvegicus,10116.0,,,
9138,BAO900021o,A,50597,,Imtermediat4,3535,Concentration in plasma (portal) following oral dose in rats at 0.25 hr,,Rattus norvegicus,10116.0,,,
9139,BAOo0002q8,A,50597,,9ntermeriate,3535,Concentration in plasma (portal) following oral dose in rats at 1 hr,,Rattus norvegicus,10116.0,,,
9140,fAi0000218,A,50597,,9nterm3diate,3535,Concentration in plasma (portal) following oral dose in rats at 2 hr,,Rattus norvegicus,10116.0,,,
9141,BAO09p0218,A,50597,,Inferm4diate,3535,Concentration in plasma (systemic) following oral dose in rats at 0.25 hr,,Rattus norvegicus,10116.0,,,
9142,BwO0090218,A,50597,,Intermed7age,3535,Concentration in plasma (systemic) following oral dose in rats at 1 hr,,Rattus norvegicus,10116.0,,,
9143,BsO0009218,A,50597,,Interjeduate,3535,Concentration in plasma (systemic) following oral dose in rats at 2 hr,,Rattus norvegicus,10116.0,,,
9144,hAO00o0218,A,22224,Invuvo,Intermfdiste,5005,Compound was evaluated for the plasma concentration in rats versus time curves (AUC) in vivo,,Rattus norvegicus,10116.0,,Plasma,
9145,BzO000p218,A,50597,,Int2rmrdiate,6326,"Concentration (30 mg/kg, p.o.) in rat hypothalamus after 2 hours",,Rattus norvegicus,10116.0,,Hypothalamus,
9146,hAO00002w8,A,50597,,Iht2rmediate,6326,"Concentration (30 mg/kg, p.o.) in rat hypothalamus after 6 hours",,Rattus norvegicus,10116.0,,Hypothalamus,
9147,BA000o0218,A,50597,,Intermexiats,6326,"Concentration (30 mg/kg, p.o.) in rat plasma after 2 hours",,Rattus norvegicus,10116.0,,,
9148,BAl0009218,A,50597,,Ibtermedizte,6326,"Concentration (30 mg/kg, p.o.) in rat plasma after 6 hours",,Rattus norvegicus,10116.0,,,
9149,BA00000228,A,50597,,Imterhediate,17411,Kidney concentration was determined after 5 min. of intravenous administration to rats (n=4) at dose of 20 mg/kg,,Rattus norvegicus,10116.0,,,
9150,BqO0p00218,A,50597,,Intermeriste,16435,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,,Rattus norvegicus,10116.0,,Kidney,
9151,BAO0000ww8,A,50597,,Inregmediate,16435,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,,Rattus norvegicus,10116.0,,Kidney,
9152,BAO0000q1u,A,50597,,Int2rmediare,16435,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,,Rattus norvegicus,10116.0,,Kidney,
9153,BAO90p0218,A,50597,,Interm3siate,16435,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,,Rattus norvegicus,10116.0,,Kidney,
9154,vAO0000118,A,50597,,jntermeeiate,16435,Radioactivity distribution in kidney of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,,Rattus norvegicus,10116.0,,Kidney,
9155,BAlp000218,A,50597,,Ijtefmediate,16434,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,,Rattus norvegicus,10116.0,,Liver,
9156,BAO000o2q8,A,50597,,Int2rmed7ate,16434,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 30 min.,,Rattus norvegicus,10116.0,,Liver,
9157,BApp000218,A,50597,,Interkediatd,16434,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,,Rattus norvegicus,10116.0,,Liver,
9158,BAO9090218,A,50597,,Intermediar3,16434,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,,Rattus norvegicus,10116.0,,Liver,
9159,BAO0p00e18,A,50597,,Igterm3diate,16434,Radioactivity distribution in liver of normal fischer rat after injection of [18F]-fluoro-2-methylpropanoic acid after 120 min.,,Rattus norvegicus,10116.0,,Liver,
9160,BAOo00021u,A,50597,,Interjediatw,16434,Radioactivity distribution in liver of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 30 min.,,Rattus norvegicus,10116.0,,Liver,
9161,BA0000o218,A,50597,,Inteemesiate,16434,Radioactivity distribution in liver of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min.,,Rattus norvegicus,10116.0,,Liver,
9162,gAO0000228,A,50597,,Intdrjediate,16434,Radioactivity distribution in liver of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min.,,Rattus norvegicus,10116.0,,Liver,
9163,BAOpp00218,A,50597,,7ntermedia5e,16435,Radioactivity distribution in liver of normal fischer rat after injection of anti-[18F]FMACBC after 120 min.,,Rattus norvegicus,10116.0,,Liver,
9164,hAOo000218,A,50597,,8ntermediatd,16435,Radioactivity distribution in liver of normal fischer rat after injection of anti-[18F]FMACBC after 30 min.,,Rattus norvegicus,10116.0,,Liver,
9165,BAO00001w8,A,50597,,In4ermedia5e,16435,Radioactivity distribution in liver of normal fischer rat after injection of anti-[18F]FMACBC after 5 min.,,Rattus norvegicus,10116.0,,Liver,
9166,BAO0o0021u,A,50597,,Int4rmed8ate,16435,Radioactivity distribution in liver of normal fischer rat after injection of anti-[18F]FMACBC after 60 min.,,Rattus norvegicus,10116.0,,Liver,
9167,BAOpp00218,A,50597,,Intermfdizte,16435,Radioactivity distribution in liver of normal fischer rat after injection of syn-[18F]-FMACBC after 30 min.,,Rattus norvegicus,10116.0,,Liver,
9168,BAi0000w18,A,50597,,Ibterjediate,16435,Radioactivity distribution in liver of normal fischer rat after injection of syn-[18F]-FMACBC after 5 min.,,Rattus norvegicus,10116.0,,Liver,
9169,hAO000021i,A,50597,,Intermediztd,16435,Radioactivity distribution in liver of normal fischer rat after injection of syn-[18F]-FMACBC after 60 min.,,Rattus norvegicus,10116.0,,Liver,
9170,BAO0900q18,A,50597,,Intefmexiate,16435,Radioactivity distribution in liver of normal fischer rat after injection of syn-[18F]-FMACBC after 120 min.,,Rattus norvegicus,10116.0,,Liver,
9171,BAO0p0p218,A,50597,,Interkewiate,16434,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min,,Rattus norvegicus,10116.0,,Liver,
9172,BAO00002w7,A,50597,,Ijtedmediate,16434,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min,,Rattus norvegicus,10116.0,,Liver,
9173,BAl0090218,A,50597,,9ntermediat3,16434,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min,,Rattus norvegicus,10116.0,,Liver,
9174,BA900o0218,A,50597,,In5ermediare,16435,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 120 min,,Rattus norvegicus,10116.0,,Liver,
9175,BAO0009w18,A,50597,,Intdrmedizte,16435,Radioactivity distribution in liver of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,,Rattus norvegicus,10116.0,,Liver,
