ABV,Brew_Factory_Name,Style,Beer_Name,id
5.40 %,Fegley 's Bethlehem Brew Works,American Amber / Red Ale,Rockwell Red Ale,2019
-,Lazy Boy Brewing,American Amber / Red Ale,Redhead Imperial Red,2020
6.50 %,Baerlic Brewing Company,American Amber / Red Ale,Arctos,2021
6.80 %,Uncle Billy 's Brew & Que,American Amber / Red Ale,Elegast Belgian Red,2022
8.20 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,St. Nick 's Fix,2023
4.90 %,Chios Microbrewery,American Amber / Red Ale,Fresh Chios Beer,2024
4.50 %,Swamp Head Brewery,American Amber / Red Ale,Part Time Lubber,2025
6.20 %,Black Acre Brewing Co. .,American Amber / Red Ale,Red Hopper ( Imperial Red Ale ),2026
-,Blue Canoe Brewery,American Amber / Red Ale,Joe 's Electric Bill,2027
-,MIA Brewing Co. .,American Amber / Red Ale,Rye Tortugas,2028
6.70 %,Aslan Brewing Company,American Amber / Red Ale,Irie Eyes Red Ale,2029
4.50 %,ABQ Brew Pub,American Amber / Red Ale,Alien Amber Ale,2030
6.70 %,Manitou Brewing Co. .,American Amber / Red Ale,Tall Rev Red,2031
-,Angry Minnow Brewpub,American Amber / Red Ale,Redhorse Ale,2032
4.70 %,Station 26 Brewing Co. .,American Amber / Red Ale,Red X,2033
5.00 %,Hog _ ™ s Head Brewing Company,American Amber / Red Ale,Colleen 's Amber Ale,2034
6.10 %,Joyride Brewing Company,American Amber / Red Ale,Antelope Amber,2035
4.80 %,Brasserie Uberach,American Amber / Red Ale,BiÃ ¨ re AmbrÃ © e,2036
6.20 %,Portsmouth Brewery,American Amber / Red Ale,Portsmouth Amber Dandy,2037
5.40 %,Issaquah Brewhouse,American Amber / Red Ale,Salmon Days Festival 2008 Roe Ale,2038
4.00 %,Lookout Brewing Co. .,American Amber / Red Ale,First Run,2039
8.80 %,Iechyd Da Brewing Company,American Amber / Red Ale,Gumption Double Amber,2040
-,Mountain State Brewing Co. .,American Amber / Red Ale,FoxFire Amber Ale,2041
6.10 %,I & I Brewing,American Amber / Red Ale,Orange Flower Amber,2042
-,Tractor Brewing Co. .,American Amber / Red Ale,Tupac Cali Red Ale,2043
5.50 %,Figueroa Mountain Brewing Co. .,American Amber / Red Ale,Ole Mole,2044
7.50 %,San Fernando Brewing Co. .,American Amber / Red Ale,O'Melveny Red Ale,2045
9.00 %,North Sound Brewing Company,American Amber / Red Ale,Big R,2046
4.56 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Merry Prankster Imperial Red Ale,2047
4.70 %,Three Barrel Brewing Co. .,American Amber / Red Ale,Chill Session - Session Ale,2048
5.50 %,Borderlands Brewing Co. .,American Amber / Red Ale,Santa Rita,2049
-,Il Vicino Brewery Canteen,American Amber / Red Ale,Just Esteem,2050
5.20 %,Wynkoop Brewing Company,American Amber / Red Ale,Fire Roasted Amber,2051
5.00 %,Sixpoint Brewery,American Amber / Red Ale,Jake 's Tricky Ale,2052
5.20 %,Bad Beat Brewing,American Amber / Red Ale,Ante Up Amber,2053
5.90 %,Buffalo Bayou Brewing Co,American Amber / Red Ale,Buffalo Bayou 1836 ( Cedar ),2054
5.29 %,Fire On The Mountain ( F.O.T.M. ) Brewery,American Amber / Red Ale,Hoosier Amber,2055
-,Bayhawk Ales,American Amber / Red Ale,Lazy Dog Red,2056
9.50 %,Momentum Brewhouse,American Amber / Red Ale,Knee Highs,2057
5.50 %,Area 51 Craft Brewery,American Amber / Red Ale,Planet Red,2058
5.20 %,No-Li Brewhouse,American Amber / Red Ale,Simcoe Red,2059
8.00 %,Blue Blood Brewery,American Amber / Red Ale,Last Call,2060
-,Pumphouse Brewery,American Amber / Red Ale,Hot Shots Harvest Ale,2061
6.00 %,Braindead Brewing,American Amber / Red Ale,Braindead Red,2062
6.30 %,Mean Max Brew Works,American Amber / Red Ale,Artist Rock,2063
4.50 %,The Revolutions Brewing Company,American Amber / Red Ale,Devolution,2064
5.20 %,Pacific Brewing And Malting Company,American Amber / Red Ale,Red Front Amber,2065
5.20 %,Ellicottville Brewing Co. .,American Amber / Red Ale,EVL Amber Ale,2066
5.00 %,Intuition Ale Works,American Amber / Red Ale,Redman,2067
5.20 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Heartland Red,2068
4.50 %,Rising Sons,American Amber / Red Ale,Steeple Hemp Amber Ale,2069
-,Rocky Mountain Brewing,American Amber / Red Ale,Spirit Hill Amber,2070
6.40 %,The Brewer 's Cabinet,American Amber / Red Ale,Arlington Amber Ale,2071
5.50 %,Rhinelander Brewing Company,American Amber / Red Ale,Bad Hare Red Ale,2072
5.50 %,Imperial Oak Brewing,American Amber / Red Ale,Roil Red Eye,2073
4.80 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Mud In Your Eye Red,2074
5.50 %,Lone Tree Brewing Company,American Amber / Red Ale,Suburbia Amber Ale,2075
5.00 %,Slow Boat Brewery Taproom,American Amber / Red Ale,Knot 51 Red Ale,2076
-,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Mary Jane Amber Ale,2077
-,Tequesta Brewing Company,American Amber / Red Ale,Hoppy Amber,2078
8.00 %,Sly Fox Brewing Company,American Amber / Red Ale,Blob Ale,2079
5.00 %,Big Axe Brewing Company,American Amber / Red Ale,Big Axe Amber Ale,2080
6.10 %,Oakland Brewing Company,American Amber / Red Ale,Fly Trap,2081
8.10 %,Redwood Lodge,American Amber / Red Ale,C N Red Imperial Red Ale,2082
4.50 %,Suomenlinnan Panimo Sveaborgs Bryggeri,American Amber / Red Ale,Coyet Ale,2083
-,51 North Brewing Company,American Amber / Red Ale,Pecan Turtle Truffle,2084
-,Joseph James Brewing Inc. .,American Amber / Red Ale,Backyard Brew Pub Rocking Red Chair,2085
5.50 %,Roosterfish Brewing Co. .,American Amber / Red Ale,Old Cascade Amber Ale,2086
6.20 %,Secret Engine Brewing,American Amber / Red Ale,Das Saftige,2087
5.00 %,Three Rivers Eatery And Brewhouse,American Amber / Red Ale,Arroyo Amber Ale,2088
6.80 %,Three Palms Brewing Co. .,American Amber / Red Ale,Single Hop # 3 Amber Ale W / Citra,2089
6.20 %,Forked River Brewing Company,American Amber / Red Ale,Red Coat Canadian Red Ale,2090
10.80 %,Left Coast Brewing Company,American Amber / Red Ale,Coral Reef,2091
6.70 %,Fieldwork Brewing Co. .,American Amber / Red Ale,Delta,2092
4.90 %,Brasseurs IllimitÃ © s,American Amber / Red Ale,Brasseurs IllimitÃ © s Patriote Rousse,2093
8.30 %,Only Child Brewing Company,American Amber / Red Ale,Sweet Tooth,2094
-,Shoreline Brewery And Restaurant,American Amber / Red Ale,Region Rat Red Ale,2095
-,Newport Beach Brewing Company,American Amber / Red Ale,Double Dry Hopped Boneyard Red Ale,2096
-,Florida Avenue Brewing Co. .,American Amber / Red Ale,Amber Jack,2097
6.20 %,Blue Corn Brewery,American Amber / Red Ale,Columbus,2098
-,Suds Brothers Brewery,American Amber / Red Ale,Monkeys Butt Amber Ale,2099
-,Bin Brewing,American Amber / Red Ale,Saskale,2100
4.70 %,Mad Beach Craft Brewing Company,American Amber / Red Ale,#amberAle,2101
-,The Brew Brothers,American Amber / Red Ale,Copperopolis,2102
5.60 %,Equinox Brewing Company,American Amber / Red Ale,Red Dwarf,2103
6.50 %,Brasserie Des Rateliers,American Amber / Red Ale,Bell ' De Loing Ambree,2104
7.10 %,Mu Brewery,American Amber / Red Ale,R & R Raspberry Red,2105
5.70 %,Sierra Nevada Brewing Co. .,American Amber / Red Ale,Love At First Bike,2106
8.10 %,Harmony Brewing Company,American Amber / Red Ale,Jackson 's Joy,2107
7.00 %,Maltus Faber,American Amber / Red Ale,Ambrata,2108
9.60 %,Keuka Brewing Company,American Amber / Red Ale,Old Urbana Imperial Amber Rye,2109
5.80 %,WeldWerks Brewing Co. .,American Amber / Red Ale,WeldWerks Red,2110
6.30 %,Bare Hands Brewery,American Amber / Red Ale,Nugget Amber,2111
-,Plattsburgh Brewing Company,American Amber / Red Ale,Spitfire Red Ale,2112
5.30 %,Pizza Port Solana Beach,American Amber / Red Ale,SC Chronic,2113
5.00 %,Big Rock Brewery,American Amber / Red Ale,The Rock Rock Steady Red,2114
5.40 %,Tommyknocker Brewery,American Amber / Red Ale,Mountain City Amber Ale,2115
3.40 %,Lovibonds Brewery Ltd,American Amber / Red Ale,Henley Amber,2116
9.50 %,Rockaway Brewing Company,American Amber / Red Ale,Double Curiosity,2117
5.00 %,Hog Haus Brewing Company,American Amber / Red Ale,Ruby Red Ale,2118
8.50 %,AleSmith Brewing Company,American Amber / Red Ale,Yulesmith Summer ( Cask ),2119
6.00 %,Jack Black Beer,American Amber / Red Ale,Lumberjack Amber Ale,2120
5.30 %,Five Islands Brewing Company,American Amber / Red Ale,Rust,2121
5.70 %,Rivertowne Pourhouse,American Amber / Red Ale,Sergent Fury 's Red Ale,2122
5.30 %,Southern Pines Brewing Company,American Amber / Red Ale,The Pilgrim,2123
4.90 %,Fusion Brewing,American Amber / Red Ale,Prime Ale,2124
9.40 %,Narrows Brewing Co. .,American Amber / Red Ale,Channary Imperial Red Ale,2125
6.10 %,Blackfoot River Brewing Company,American Amber / Red Ale,Blackfoot Amber Ale,2126
-,Von Jakob Brewery,American Amber / Red Ale,Von Jakob Red Ale,2127
5.60 %,Cornerstone Brewing Company,American Amber / Red Ale,Patriot Red,2128
-,August Schell Brewing Company,American Amber / Red Ale,CRAVE Signature Amber,2129
5.60 %,Blue Mountain Brewery,American Amber / Red Ale,PR Job,2130
5.80 %,BiÃ ¨ res De Saint-Louis,American Amber / Red Ale,AmbrÃ © e-BiÃ ¨ re De Saint Louis,2131
4.50 %,Reel Deel Brewery,American Amber / Red Ale,Irish Blonde,2132
8.00 %,The Cannon Brewpub,American Amber / Red Ale,Full Metal Jacket,2133
-,Draught Works,American Amber / Red Ale,Shadow Caster,2134
4.70 %,Former Future Brewing Company,American Amber / Red Ale,Second Story,2135
5.00 %,Ferme Brasserie Schoune,American Amber / Red Ale,Wallonia,2136
7.00 %,La Tour A BiÃ ¨ res,American Amber / Red Ale,La Victor,2137
6.20 %,Yeastie Boys,American Amber / Red Ale,Divine Hammer,2138
5.90 %,Les Brasseurs Du Sornin,American Amber / Red Ale,Sornin,2139
5.80 %,Swamp Head Brewery,American Amber / Red Ale,Lost In Time Amber Ale,2140
-,Brand Bierbrouwerij,American Amber / Red Ale,Newcastle Vikings,2141
6.50 %,Dragoon Brewing Co. .,American Amber / Red Ale,B.A.D. Amber,2142
-,Founders Brewery,American Amber / Red Ale,1903 Red Ale,2143
4.50 %,Cheboygan Brewing Company,American Amber / Red Ale,Red Sail Ale,2144
5.00 %,William Street Beer Co. .,American Amber / Red Ale,Red Sky Amber Ale,2145
5.00 %,Le Trou Du Diable,American Amber / Red Ale,DÃ © sinvolte,2146
6.00 %,Pitchfork Brewing,American Amber / Red Ale,Cranberry Cheer Amber,2147
5.60 %,Pinglehead Brewing Co. / Brewer 's Pizza,American Amber / Red Ale,Panama,2148
4.80 %,Brasserie Artisanale La Fabrique,American Amber / Red Ale,Salamagone,2149
4.10 %,Small Batch Beer Co. .,American Amber / Red Ale,Player To Be Named Later,2150
7.80 %,Birrificio Barley,American Amber / Red Ale,Macca Meda,2151
-,Back Street Brewery,American Amber / Red Ale,Rita Red Ale,2152
6.50 %,Microbrasserie Universitaire Brassta,American Amber / Red Ale,Rousse Et Or,2153
7.80 %,Arcadia Brewing Company,American Amber / Red Ale,Panama Red,2154
9.70 %,Funky Buddha Brewery,American Amber / Red Ale,Clifford 's Big Red Ale,2155
8.20 %,Wiley Roots Brewing Co,American Amber / Red Ale,Red Dirt Imperial Red Ale,2156
8.50 %,Columbia Kettle Works,American Amber / Red Ale,Double Bald Guy,2157
5.50 %,Minhas Craft Brewery,American Amber / Red Ale,Lazy Mutt Alberta Red Ale,2158
-,Twin Peaks Brewing & Malting Co. .,American Amber / Red Ale,Ride The Hoh Red Ale,2159
5.20 %,8th Wonder Brewery,American Amber / Red Ale,Coffee Mocha Feight,2160
-,Mackinaw Trail Brewing Company,American Amber / Red Ale,Bear Creek Amber,2161
5.90 %,New Glory Craft Brewery,American Amber / Red Ale,Rapid Fire Red Ale,2162
5.30 %,I & I Brewing,American Amber / Red Ale,Bitter Orange Blossom,2163
5.00 %,Lancaster Brewing Company,American Amber / Red Ale,Carl 's Ale,2164
4.50 %,Loch Lomond Brewery,American Amber / Red Ale,Ale Of Leven,2165
4.50 %,Maku Brewing,American Amber / Red Ale,Maku Amber Ale,2166
4.20 %,Isle Of Mull Brewing Co. Ltd. .,American Amber / Red Ale,Red Monk Of Iona,2167
-,Fiddlehead Brewing Company,American Amber / Red Ale,RubyClaire,2168
5.40 %,Urban Chestnut Brewing Company - Grove Brewery & Bierhall,American Amber / Red Ale,Winged Nut Chestnut Ale,2169
5.50 %,Bryggeriet Skands,American Amber / Red Ale,_ rsted Gold,2170
5.00 %,Multi-Brasses,American Amber / Red Ale,Buck Rousse,2171
-,Mahogany Ridge Brewery & Grill,American Amber / Red Ale,Alpenglow,2172
4.90 %,Green Room Brewing,American Amber / Red Ale,Ravenous Red,2173
9.00 %,NÃ ¸ gne _ - Det KompromisslÃ ¸ se Bryggeri A/S,American Amber / Red Ale,Holgate Brewhouse / NÃ ¸ gne _ Half A World Away,2174
-,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,Cow Catcher Red,2175
6.50 %,Clear Creek Brewing Company,American Amber / Red Ale,Absaroka Ale,2176
7.10 %,Ice Harbor Brewing Company,American Amber / Red Ale,Fresh Hop Double Red,2177
5.80 %,Columbia Valley Brewing,American Amber / Red Ale,Liberator Amber,2178
9.06 %,Naked Dove Brewing Company,American Amber / Red Ale,The Office Uptown Golden Ale,2179
4.80 %,Firehouse Brewing Co. .,American Amber / Red Ale,Smokin ' Betty,2180
5.20 %,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,Goliath,2181
9.00 %,Whitehorse Brewing LLC,American Amber / Red Ale,REBELLION RED,2182
5.40 %,Brothers Craft Brewing,American Amber / Red Ale,Great Outdoors VA Ale,2183
4.80 %,Bushnell Craft Brewing Company,American Amber / Red Ale,Bofuss,2184
5.70 %,CervecerÃa Wendlandt,American Amber / Red Ale,Wendlandt Harry Polanco Red Ale,2185
5.40 %,Fannin Brewing Company,American Amber / Red Ale,Hiawassee Golden Ale,2186
5.40 %,Maui Brewing Co. .,American Amber / Red Ale,Hole In The Head Red,2187
5.80 %,Ferme Brasserie Schoune,American Amber / Red Ale,Alsacienne Pale Ale,2188
-,Bieszczadzka WytwÃ ³ rnia Piwa Ursa Maior,American Amber / Red Ale,URSA _ nieg Na Beniowej,2189
4.20 %,5 Seasons Westside,American Amber / Red Ale,Fat Lip Amber,2190
-,The Wrecking Bar Brewpub,American Amber / Red Ale,Red Monkey _ œAmber IPA _,2191
5.00 %,Poor House Brewing Company,American Amber / Red Ale,Bat Out Of Hell Red Ale,2192
6.60 %,Great Waters Brewing,American Amber / Red Ale,Killybegs Amber Ale,2193
-,Four Sons Brewing,American Amber / Red Ale,Four Horsemen,2194
5.80 %,Back Alley Brewery,American Amber / Red Ale,Fire Hydrant Red Ale,2195
4.50 %,Service Brewing Company,American Amber / Red Ale,Matt Hebermehl Amber Ale,2196
5.50 %,Atom Beers,American Amber / Red Ale,Rare Earth,2197
5.40 %,Milwaukee Ale House,American Amber / Red Ale,Scooter Ale,2198
8.80 %,Otto 's Pub and Brewery,American Amber / Red Ale,Bacchus,2199
-,Reads Landing Brewing Company,American Amber / Red Ale,Cap'n Amber,2200
-,McMenamins Six Arms,American Amber / Red Ale,Monkey Wrench,2201
4.80 %,Carlow Brewing Company,American Amber / Red Ale,Foreign Affair,2202
4.80 %,Tapistry Brewing,American Amber / Red Ale,Amber Cadabra,2203
6.00 %,Flycaster Brewing Company,American Amber / Red Ale,Yakima River Red,2204
4.80 %,Wiseacre Brewing,American Amber / Red Ale,Tanooki Suit,2205
5.50 %,Birra dell ` Eremo,American Amber / Red Ale,Magnifica,2206
7.50 %,1702 / The Address Brewing Co. .,American Amber / Red Ale,Red Sky,2207
6.00 %,Raleigh Brewing Company,American Amber / Red Ale,Stormy Wolf,2208
5.50 %,Greenpoint Beerworks / Kelso of Brooklyn,American Amber / Red Ale,Port Chester Red Ale,2209
5.40 %,Brasserie Britt de Bretagne,American Amber / Red Ale,Chat-Malo,2210
5.70 %,Cerveza Caleya,American Amber / Red Ale,Caleya Mayuca Amber,2211
11.00 %,Burley Oak Brewery,American Amber / Red Ale,Dat Base,2212
9.00 %,Out of Bounds Brewing Company,American Amber / Red Ale,Relentless Red,2213
-,ShuBrew,American Amber / Red Ale,Heart & Sole,2214
6.80 %,300 Suns Brewing,American Amber / Red Ale,Rabbit Mountain Red Ale,2215
8.00 %,The Brew Kettle Taproom & Smokehouse / Production Works,American Amber / Red Ale,Imperial Gargoyle Ale,2216
7.50 %,Cigar City Brewing,American Amber / Red Ale,Peach Chipotle Red Ale,2217
6.00 %,Cervejaria Urbana,American Amber / Red Ale,Mad Beaver,2218
6.00 %,Duck Foot Brewing Co. .,American Amber / Red Ale,The Duck Foot Red,2219
5.10 %,The Blue Elephant Craft Brew House,American Amber / Red Ale,Red Devil,2220
6.00 %,Boston Beer Works - Canal Street,American Amber / Red Ale,Amber Chai,2221
4.90 %,Deschutes Brewery,American Amber / Red Ale,Amber Dawn,2222
6.60 %,Fall Brewing Company,American Amber / Red Ale,Unicorn Stampede,2223
6.10 %,Seven Arrows Brewing Company,American Amber / Red Ale,Maelstrom Red,2224
5.50 %,Heartly Craft Brewery,American Amber / Red Ale,Lucky Rhino Amber,2225
5.80 %,Brock Street Brewing Company,American Amber / Red Ale,Brock Street Traditional Red,2226
5.10 %,Wiper & True Brewery,American Amber / Red Ale,In The Groves,2227
5.00 %,BadWolf Brewing Company,American Amber / Red Ale,Jesse 's Girl,2228
5.90 %,Eastlake Craft Brewery,American Amber / Red Ale,The Raccoon & The Bear,2229
-,Rocky Coulee Brewing Co. .,American Amber / Red Ale,Dirndyl Dropper,2230
8.50 %,Santa Cruz Mountain Brewing,American Amber / Red Ale,Nicky 666,2231
7.50 %,Palisade Brewing Co. .,American Amber / Red Ale,Soul Shakin ',2232
5.60 %,Captured By Porches Brewing Company,American Amber / Red Ale,Emma,2233
-,Bluegrass Brewing Co. - East St. Matthew 's,American Amber / Red Ale,Cardinale Ale,2234
-,Ouray Brewery,American Amber / Red Ale,Alpine Amber,2235
6.50 %,Letra - Cerveja Artesanal Minhota,American Amber / Red Ale,D,2236
7.00 %,Altamont Brewing Company,American Amber / Red Ale,Hopped Red,2237
4.70 %,Swell Brewing Company,American Amber / Red Ale,Swell Amber Ale,2238
8.40 %,DryHop Brewers,American Amber / Red Ale,Photobomb,2239
8.00 %,Hop Valley Brewing Company,American Amber / Red Ale,Natty Red,2240
5.70 %,White Rabbit Brewing Company,American Amber / Red Ale,Queen 's Red Ale,2241
8.00 %,Hillcrest Brewing Company,American Amber / Red Ale,Big Red Balls,2242
6.00 %,Arcadia Brewing Company,American Amber / Red Ale,Salted Caramel Amber,2243
5.70 %,Hopshire Farm & Brewery,American Amber / Red Ale,Patriot Grains,2244
-,Bandwagon Brew Pub,American Amber / Red Ale,North By Northwest,2245
-,Barley Brothers Brewery & Grill,American Amber / Red Ale,Freedom Bridge Amber Ale,2246
9.00 %,Shine Restaurant & Gathering Place,American Amber / Red Ale,Down Dog Imperial Red,2247
5.20 %,LyonSmith Brewing Company,American Amber / Red Ale,Sasparilla Red,2248
6.00 %,Rockslide Brewery & Pub,American Amber / Red Ale,Rabbit Ears Amber Ale,2249
4.00 %,Headstrong Brewery,American Amber / Red Ale,Mulish Amber,2250
4.80 %,Pasteur Street Brewing Company,American Amber / Red Ale,Sour Mash Amber,2251
4.20 %,District ChopHouse & Brewery,American Amber / Red Ale,Murican-Mild,2252
5.70 %,Birrificio Artigianale Karma,American Amber / Red Ale,Amber Doll,2253
5.80 %,Columbia Kettle Works,American Amber / Red Ale,Juniper Ale,2254
6.30 %,Storybook Brewing,American Amber / Red Ale,Little Red 's Rocking Ale,2255
5.20 %,Aftershock Brewing Co. .,American Amber / Red Ale,Red Alert,2256
5.50 %,Great Heck Brewing Company Ltd. .,American Amber / Red Ale,American Classic,2257
7.90 %,Wimberley Brewing Company And Brewpub,American Amber / Red Ale,Red Bitter,2258
5.50 %,Rapscallion,American Amber / Red Ale,Rapscallion Winterfest,2259
7.20 %,Epic Brewing Company,American Amber / Red Ale,Epic Carolina,2260
4.40 %,CB Craft Brewers,American Amber / Red Ale,J. G. Crummers Kick Arse Ale,2261
7.40 %,Six Rivers Brewery,American Amber / Red Ale,Six Feet Under,2262
5.30 %,Bootstrap Brewing,American Amber / Red Ale,Red Beerd,2263
-,Pat O'Hara Brewing Company,American Amber / Red Ale,Attitude Adjustment,2264
-,Hilton Head Brewing Company,American Amber / Red Ale,Calibogue Amber,2265
6.50 %,Hammond River Brewing,American Amber / Red Ale,Red Coat India Red Ale,2266
4.80 %,Stone Brewing Co. .,American Amber / Red Ale,Stone Liberty Station / Bridge Road Brewers Red Stone Road,2267
5.30 %,Los Muertos Brewing,American Amber / Red Ale,Agave Maria Amber Ale,2268
7.00 %,Flat 12 Bierwerks,American Amber / Red Ale,Mud Bug Amber,2269
5.40 %,John Harvard 's Brewery & Ale House,American Amber / Red Ale,Red-Headed Honey,2270
5.70 %,Storz Trophy Room Grill & Brewery,American Amber / Red Ale,North 40 WBA,2271
9.00 %,Great River Brewery,American Amber / Red Ale,Arsenal Imperial Red Ale,2272
7.00 %,Sarasota Brewing Company,American Amber / Red Ale,Honeymeade Ale,2273
5.70 %,Funky Buddha Brewery,American Amber / Red Ale,Combat Rock,2274
-,Thomas Hooker Brewing Company,American Amber / Red Ale,Cappy 's Ale,2275
6.70 %,Hermit Thrush Brewery,American Amber / Red Ale,Holiday Rye,2276
-,Tornado Brewing Company,American Amber / Red Ale,Bourbon Barrel Red Oak Ale,2277
5.00 %,Microbrasserie Aux Fous Brassant,American Amber / Red Ale,Hurluberlue,2278
5.30 %,Golden Road Brewing,American Amber / Red Ale,Redale,2279
7.00 %,Charleston Brewing Company,American Amber / Red Ale,Westward Gaze,2280
-,Southern Oregon Brewing Company,American Amber / Red Ale,Raider Red Ale,2281
9.00 %,16 Mile Brewing Company,American Amber / Red Ale,Soul Cake Ale,2282
5.50 %,Triptych Brewing,American Amber / Red Ale,Ah ` Mock Amber,2283
5.80 %,Cervejaria Seasons,American Amber / Red Ale,Wallace,2284
5.00 %,RÃ ¥ danÃ $ s Bryggeri,American Amber / Red Ale,Hillbilly Red Ale,2285
5.50 %,Endless Brewing,American Amber / Red Ale,Stone Crop Maple Amber,2286
5.40 %,Plank Town Brewing Company,American Amber / Red Ale,Li'l Red Ryder,2287
6.20 %,Wind River Brewing Company,American Amber / Red Ale,Adventure Amber Ale,2288
6.00 %,Rockyard Brewing,American Amber / Red Ale,Blarney Rock Irish Ale,2289
5.60 %,Brauerei Gusswerk GmbH,American Amber / Red Ale,AAA Austrian Amber Ale,2290
5.70 %,Resurgence Brewing Company,American Amber / Red Ale,Rich 's Red Ale,2291
4.90 %,Firefly Hollow Brewing Co. .,American Amber / Red Ale,Afflatus Copper Ale - Nitro,2292
-,Anheuser-Busch,American Amber / Red Ale,Capt Tony 's Amber Ale,2293
5.20 %,Four Bullets Brewery,American Amber / Red Ale,Royal Flush Red,2294
4.70 %,Edmund 's Oast,American Amber / Red Ale,( T ) oasted Oats,2295
5.00 %,Bike Rack Brewing Co. .,American Amber / Red Ale,Rusty Tricycle,2296
6.50 %,Gravel Bottom Craft Brewery & Supply,American Amber / Red Ale,Bottoms Up,2297
6.20 %,Luminous Brewhouse,American Amber / Red Ale,Red Grade Ale,2298
5.50 %,Hideout Brewing Company,American Amber / Red Ale,Hired Gun Red,2299
10.00 %,Claremont Craft Ales,American Amber / Red Ale,Happy Days,2300
7.20 %,Georgetown Brewing Company,American Amber / Red Ale,Superchopp,2301
4.70 %,Ballast Point Brewing Company,American Amber / Red Ale,Red Romper Red Session IPA,2302
7.50 %,Uptown Market,American Amber / Red Ale,Otis Reddin ',2303
4.50 %,Beaver Creek Brewery,American Amber / Red Ale,Castor Mexican Amber,2304
-,Main Street Brewery / Mesa Cerveza,American Amber / Red Ale,Schorzenboomer Amber,2305
7.50 %,Boxing Cat Brewery,American Amber / Red Ale,Firecracker Imperial Red,2306
4.80 %,Brauerei Stadtguet,American Amber / Red Ale,Stadtguet Amber,2307
-,Escape Brewing Company,American Amber / Red Ale,880 Red Ale,2308
8.50 %,House of Brews,American Amber / Red Ale,The Hop Garden Sunset,2309
5.20 %,Ironwood Brewing Co. .,American Amber / Red Ale,St. Colombanos Of Bobbio Not So Red,2310
-,Brooksville Brewing Company,American Amber / Red Ale,Hot Head Red,2311
8.40 %,Columbia Kettle Works,American Amber / Red Ale,Grinch Feet,2312
6.20 %,Bridger Brewing,American Amber / Red Ale,Roosevelt Red Ale,2313
-,Our Mutual Friend Malt & Brew,American Amber / Red Ale,Grapefruit Chinook Red,2314
5.60 %,Tumbledown Brewing,American Amber / Red Ale,Tumbledown Red,2315
5.20 %,Sky High Brewing,American Amber / Red Ale,Brew Kahuna NW Red Ale,2316
-,Blackstone Restaurant & Brewery,American Amber / Red Ale,Red Trail Ale,2317
5.10 %,Wensky Beer Microcervejaria,American Amber / Red Ale,Saci Amber Ale,2318
7.80 %,Brouwerij De Koninck NV,American Amber / Red Ale,Tst Brw 01 - Imperial Red Ale,2319
5.50 %,Minhas Craft Brewery,American Amber / Red Ale,Fire Brew Red Ale,2320
6.10 %,Fat Head 's Brewery & Saloon,American Amber / Red Ale,Autumn Brisk Amber Ale,2321
-,Castle Grill / Red Castle Brewery & Distillery,American Amber / Red Ale,Scarlet Throne,2322
6.90 %,Second Self Beer Company,American Amber / Red Ale,Bleeding Heart,2323
5.60 %,Bravo Zulu Brewing,American Amber / Red Ale,Ember Amber Ale,2324
5.00 %,Books & Brews,American Amber / Red Ale,Clifford The `` Lil '' Red Ale,2325
6.20 %,Living The Dream Brewing Co. .,American Amber / Red Ale,Experiment # 1001-B4,2326
6.00 %,Whetstone Station Restaurant and Brewery,American Amber / Red Ale,Batch # 55 - Big Red,2327
6.00 %,St. Brigid _ ™ s Brewery,American Amber / Red Ale,TKO Amber Ale,2328
5.40 %,Lagunitas Brewing Company,American Amber / Red Ale,Lagunitas Fusion 45,2329
8.00 %,Parallel 49 Brewing Company,American Amber / Red Ale,Bubbe 's Brew Jelly Doughnut Strong Ale,2330
4.80 %,Gravity Brewing,American Amber / Red Ale,Schwag,2331
6.00 %,Meduz Brasserie Artisanale,American Amber / Red Ale,Meduz AmbrÃ © e,2332
5.00 %,Whetstone Station Restaurant and Brewery,American Amber / Red Ale,Batch # 52 - Gagne Style,2333
4.50 %,Pensacola Bay Brewery,American Amber / Red Ale,Fish Head Red,2334
4.30 %,Standing Stone Brewing Company,American Amber / Red Ale,Madrone Red,2335
6.50 %,Prairie Fire Brewing Co. .,American Amber / Red Ale,Summer Amber,2336
9.50 %,Peter B 's Brew Pub,American Amber / Red Ale,Sum Of Hours,2337
8.20 %,Monkey Paw Pub & Brewery,American Amber / Red Ale,Monkey Paw / Karl Strauss Dead Albert 's Society 's,2338
8.00 %,Figueroa Mountain Brewing Co. .,American Amber / Red Ale,Shark Lips,2339
6.00 %,Horse Heaven Hills Brewery,American Amber / Red Ale,Mustang Red,2340
10.10 %,Brouwerij De Molen,American Amber / Red Ale,Pais & Vree,2341
5.60 %,Jaws Brewery,American Amber / Red Ale,Karingahtanum CoffeÐµ Red Ale,2342
5.50 %,Third State Brewing,American Amber / Red Ale,Redcoat Red,2343
