assay_id,assay_subcellular_fraction,assay_organism,description,relationship_type,assay_type,doc_id,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,tid
2905,,,Compound was evaluated for antagonism against serotonin (5-hydroxytryptamine 2B receptor ) receptor; No data,H,F,15738,,,,,,,12688
2906,,,Compound was evaluated for antagonism against serotonin (5-hydroxytryptamine 2B) receptor,H,F,15738,,,,,,,12688
2907,,Rattus norvegicus,Inhibitory potency against rat stomach fundus 5-hydroxytryptamine 2B receptor,D,B,12936,,,10116.0,,Stomach,,12688
2908,,Rattus norvegicus,Inhibitory potency against rat stomach fundus 5-hydroxytryptamine 2B receptor,D,B,12936,,,10116.0,,Stomach,,12688
2909,,Rattus norvegicus,Inhibitory potency against rat stomach fundus 5-hydroxytryptamine 2B receptor,D,B,12936,,,10116.0,,Stomach,,12688
2910,,Rattus norvegicus,Inhibitory potency against rat stomach fundus 5-hydroxytryptamine 2B receptor,D,B,12936,,,10116.0,,Stomach,,12688
2911,,,Negative log concentration of antagonistic compound was determined on 5-hydroxytryptamine 2B receptor of Rat stomach fundus,H,F,16404,,,,,Stomach,,12688
2912,,,Negative log concentration of antagonist was determined on 5-hydroxytryptamine 2B receptor of Rat stomach fundus,H,F,16404,,,,,Stomach,,12688
2913,,,Negative log concentration of antagonistic compound was determined on 5-hydroxytryptamine 2B receptor of Rat stomach fundus; ND is No Data.,H,F,16404,,,,,Stomach,,12688
2914,,,Negative log concentration of antagonistic compound was determined on 5-hydroxytryptamine 2B receptor of Rat stomach fundus; ND is not determined.,H,F,16404,,,,,Stomach,,12688
2915,,Rattus norvegicus,Antagonistic activity on 5-hydroxytryptamine 2B receptor of Rat stomach fundus;ND is not determined,D,F,16404,,,10116.0,,Stomach,,12688
2916,,,Negative log concentration of antagonistic compound was determined on 5-hydroxytryptamine 2B receptor of Rat thoracic aorta; ND is not determined,H,F,16404,,,,,Thoracic aorta,,12688
2917,,,The binding affinity of compound to 5-HT receptor of rat fundus was expressed as pA2 value; Unable to determine valid PA2 value due to slope of Schild plot,H,B,7483,,,,,,,12688
2918,,,The binding affinity to 5-hydroxytryptamine 2B receptor of rat fundus,H,B,7483,,,,,,,12688
2919,,,The binding affinity of compound to 5-hydroxytryptamine 2B receptor of rat fundus was expressed as pA2 value; Unable to determine valid PA2 value due to slope of Schild plot,H,B,7483,,,,,,,12688
2920,,,The binding affinity of compound to 5-hydroxytryptamine 2B receptor of rat fundus; Unable to determine valid PA2 value due to slope of Schild plot,H,B,7483,,,,,,,12688
2922,,Rattus norvegicus,Negative log concentration of antagonistic compound was determined on 5-hydroxytryptamine 2B receptor of Rat stomach fundus,D,F,16404,,,10116.0,,Stomach,,12688
2923,,,Binding affinity against 5-hydroxytryptamine 1A receptor,H,B,6347,,,,,,,227
2924,,,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 2B receptor was determined,H,B,4373,,,,,,,227
2925,,,Binding affinity for 5-hydroxytryptamine 2B receptor was determined,H,B,4373,,,,,,,227
2926,,,Evaluated for the binding affinity to 5-HT 2B receptor,H,B,4687,,,,,,,227
2927,,,Ability to displace [3H]5-HT from 5-hydroxytryptamine 2B receptor,H,B,16946,,,,,,,227
2928,,,Binding affinities against 5-hydroxytryptamine 2B receptor,H,B,16633,,,,,,,227
2929,,,Binding affinities towards 5-hydroxytryptamine 2B receptor,H,B,16633,,,,,,,227
2930,,,Binding affinity towards 5-hydroxytryptamine 2B receptor using [125I]DOI as radioligand,H,B,16633,,,,,,,227
2931,,,In vitro ability to displace [3H]mesulergine binding from 5-hydroxytryptamine 2C receptor from bovine choroid plexus.,H,B,15026,,,,,,,108
2932,,Bos taurus,In vitro affinity against serotonin (5-hydroxytryptamine 2C) receptor,H,B,15738,,,9913.0,,,,108
2933,,Bos taurus,In vitro affinity against serotonin (5-hydroxytryptamine 2C) receptor at a concentration of 10E-6 M,H,B,15738,,,9913.0,,,,108
2934,,Bos taurus,In vitro affinity against serotonin (5-hydroxytryptamine 2C) receptor at a concentration of 10e-6 M,H,B,15738,,,9913.0,,,,108
2935,,Bos taurus,In vitro affinity against serotonin (5-hydroxytryptamine 2C) receptor at concentration of 10e-6 M,H,B,15738,,,9913.0,,,,108
2936,,Bos taurus,Inhibitory constant was determined on 5-hydroxytryptamine 2C receptor of Bovine choroid plexus,H,B,16404,,,9913.0,,,,108
2937,,Bos taurus,In vitro ability to displace [3H]mesulergine binding from 5-hydroxytryptamine 2C receptor from bovine choroid plexus.,H,B,15026,,,9913.0,,,,108
2938,,Bos taurus,In vitro affinity against serotonin (5-hydroxytryptamine 2C) receptor,H,B,15738,,,9913.0,,,,108
2939,,Cavia porcellus,Binding affinity against guinea pig cortex 5-HT2C receptor in the presence of [3H]mesulergine,H,B,16312,,,10141.0,,,,108
2940,,Cavia porcellus,Binding affinity towards 5-HT4 receptor by the displacement of [3H]GR-113808 in guinea-pig striatum,D,B,5486,,,10141.0,,Striatum,,20033
2941,,,Binding affinity against 5-HT1A receptor,H,B,5254,,,,,,,51
2942,,,Agonistic activity for 5-HT2c (5-HT2C) by measuring [3H]inositol monophosphate fromation in CHO cells in which the human 5-HT2C receptor subtype was stably expressed,H,F,3857,,,,,,CHO,108
2943,,Homo sapiens,Functional activity against human 5-hydroxytryptamine 2C receptor expressed in CHO cells using fluorometric imaging plate reader,D,F,6857,,,9606.0,,,CHO,108
2944,,,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2c receptor cell line,H,F,4176,,,,,,,108
2945,,,Agonistic binding efficacy against human 5-hydroxytryptamine 2C receptor in CHO cells using [125I]- DOI radioligand,H,B,6347,,,,,,CHO,108
2946,,,"Agonistic binding affinity against human 5-hydroxytryptamine 2C receptor in CHO cells using [125I]- DOI radioligand, expressed as Emax",H,B,6347,,,,,,CHO,108
2947,,Homo sapiens,Inhibition of human 5-hydroxytryptamine 2C receptor,D,B,16146,,,9606.0,,,,108
2948,,,In vitro binding affinity against human 5-hydroxytryptamine 2C receptor at a concentration of 100 (nM),H,B,3805,,,,,,,108
2949,,,Inhibitory activity using [3H]mesulergine as radioligand with receptor membranes isolated from a CHO-k cell line expressing the human 5-hydroxytryptamine 2C receptor at a concentration of 1 uM,H,B,3857,,,,,,,108
2950,,,Intrinsic efficacy against 5-hydroxytryptamine 2C receptor,H,B,5635,,,,,,,108
2951,,,Intrinsic efficacy against 5-hydroxytryptamine 2C receptor Intrinsic efficacy against 5-hydroxytryptamine 2C receptor; Intrinsic efficacy (%) not determined,H,B,5635,,,,,,,108
2952,,,Intrinsic efficacy against 5-hydroxytryptamine 2C receptor; Intrinsic efficacy (%) not determined,H,B,5635,,,,,,,108
2953,,,Displacement of [H]-mesulergine from CHO cells expressing human 5-hydroxytryptamine 2C receptor.,H,B,4012,,,,,,CHO,108
2954,,,Ability to displace [3H]- mesulergine from human cloned 5-hydroxytryptamine 2C receptor expressed in CHO cells,H,B,6366,,,,,,CHO,108
2955,,,Ability to displace [3H]mesulergine binding to human 5-hydroxytryptamine 2C receptor stably expressed in CHO cells,H,B,15949,,,,,,CHO,108
2956,,,Ability to displace [3H]mesulergine (0.5 nM) from CHO cells of human 5-hydroxytryptamine 2C receptor,H,B,17211,,,,,,CHO,108
2957,,Homo sapiens,Affinity towards human 5-hydroxytryptamine 2C serotonin receptor,D,B,6491,,,9606.0,,,,108
2958,,,Agonist activity at cloned human 5-hydroxytryptamine 2C receptor using [125I]DOI radioligand,H,F,14093,,,,,,,108
2959,,,Agonistic activity at cloned human 5-hydroxytryptamine 2C receptor using [125I]DOI as radioligand,H,F,13481,,,,,,,108
2960,,Rattus norvegicus,Agonistic binding affinity against human 5-hydroxytryptamine 2C receptor in CHO cells using [125I]- DOI ,H,B,6347,,,10116.0,,,CHO,108
2961,,,Antagonist activity at cloned human 5-hydroxytryptamine 2C receptor using [3H]mesulergine radioligand,H,F,14093,,,,,,,108
2962,,,Antagonist activity at cloned human 5-hydroxytryptamine 2C receptor using [3H]mesulergine radioligand; Not tested,H,F,14093,,,,,,,108
2963,,,Antagonistic activity at cloned human 5-hydroxytryptamine 2C receptor using [3H]mesulergine as radioligand,H,F,13481,,,,,,,108
2964,,,Binding ability of compound at cloned human 5-hydroxytryptamine 2C receptor using [125 I]DOI as radioligand,H,B,14442,,,,,,,108
2965,,,Binding ability of compound at cloned human 5-hydroxytryptamine 2C receptor using [3H]- mesulergine as radioligand,H,B,14442,,,,,,,108
2966,,,Binding ability of compound at cloned human 5-hydroxytryptamine 2C receptor using [3H]- mesulergine as radioligand;not tested,H,B,14442,,,,,,,108
2967,,,Binding activity against cloned human 5-hydroxytryptamine 2C receptor using [125I]DOI as the radioligand.,H,B,14755,,,,,,,108
2968,,,Binding affinity against the cloned human 5-hydroxytryptamine 2C receptor using [125I]DOI as the radioligand,H,B,14744,,,,,,,108
2969,,,Binding affinity for displacement of [3H]mesulergine to human 5-hydroxytryptamine 2C receptor stably expressed in CHO cells,H,B,16659,,,,,,CHO,108
2970,,Homo sapiens,Affinity for human 5-hydroxytryptamine 2C receptor expressed in mammalian cell line,D,B,6857,,,9606.0,,,,108
2971,,,Binding affinity against 5-hydroxytryptamine 2C receptor using [125I]DOI radioligand.,H,B,5635,,,,,,,108
2972,,Homo sapiens,Binding affinity to cloned human 5-hydroxytryptamine 2C receptor,D,B,4234,,,9606.0,,,,108
2973,,,Binding affinity towards human 5-HT2C receptor was determined using [125I]- DOI as radioligand,H,B,16209,,,,,,,108
2974,Membranes,Rattus norvegicus,Binding affinity for 5-HT3 receptor by displacement of [3H]-LY 278584 in rat cerebral cortex membranes,D,B,5778,,,10116.0,,,,104698
2975,,,Binding affinity towards rat 5-hydroxytryptamine 3 receptor was evaluated,H,B,5094,,,,,,,104698
2976,,Rattus norvegicus,Binding affinity against 5-hydroxytryptamine 3 receptor using [3H]BRL-43694 in rat posterior cortex,D,B,809,,,10116.0,,,,104698
2977,,,Binding affinity against 5-hydroxytryptamine 3 receptor using [3H]BRL-43694 as radioligand in rat posterior cortex,H,B,1578,,,,,,,104698
2978,,,Binding affinity against 5-hydroxytryptamine 3 receptor using [3H]BRL-43694 as radioligand in rat posterior cortex; Not tested,H,B,809,,,,,,,104698
2979,,,Binding affinity was measured on 5-hydroxytryptamine 3 receptor in NG-108 cells labeled with [3H]GR-65630,H,B,12469,,,,,,,104698
2980,,,Binding affinity was measured on 5-hydroxytryptamine 3 receptor using [3H]-BRL 43694 as radioligand in rat posterior cortex,H,B,14290,,,,,,,104698
2981,,,Binding affinity was measured on 5-hydroxytryptamine 3 receptor using [3H]-BRL 43694 as radioligand in rat posterior cortex.,H,B,14290,,,,,,,104698
2982,,,Binding affinity for central 5-hydroxytryptamine 3 receptor was determined by displacement of [3H]-5-HT,H,B,10609,,,,,,,104698
2983,,,Binding affinity for central 5-hydroxytryptamine 3 receptor was determined by displacement of [3H]GR-65630,H,B,10609,,,,,,,104698
2984,,,Binding affinity for central 5-hydroxytryptamine 3 receptor was determined by displacement of [3H]-ketanserin,H,B,10609,,,,,,,104698
2985,,,"Compound was evaluated for its in vitro affinity at serotonergic 5-hydroxytryptamine 3 receptor by radioligand binding assay, using [3H]-LY 278584 in rat cerebral cortex membranes.",H,B,15253,,,,,,,104698
2986,,,"In vitro affinity at serotonergic 5-hydroxytryptamine 3 receptor by radioligand binding assay, using [3H]-LY 278584 in rat cerebral cortex membranes.",H,B,15253,,,,,,,104698
2987,Membranes,,Displacement of the 5-hydroxytryptamine 3 receptor ligand [3H]GR-65630 from rat brain cortical membranes.,H,B,11683,,,,,,,104698
2988,,,Compound was evaluated for binding affinity against 5-hydroxytryptamine 3 receptor,H,B,12092,,,,,,,104698
2989,,,Binding affinity at 5-hydroxytryptamine 3 receptor in rat entorhinal cortex by [3H]BRL-43694 displacement.,H,B,1946,,,,,,,104698
2990,,,Ability to displace [3H]quipazine binding to 5-hydroxytryptamine 3 receptor sites in NG 108-15.,H,B,11623,,,,,,,104698
2991,,,Compound was evaluated for its ability to displace [3H]quipazine binding to 5-hydroxytryptamine 3 receptor sites in NG 108-15. ,H,B,11623,,,,,,,104698
2992,,,Compound was evaluated for its binding affinity for 5-hydroxytryptamine 3 receptor by measuring displacement [3H]GR-65630 in rat cerebral cortex,H,B,14788,,,,,,,104698
2993,,Rattus norvegicus,Displacement of [3H]ketanserin from rat cortex 5-HT3 receptor,D,B,5432,,,10116.0,,,,104698
2994,,,Ability to displace [3H]granisetron specifically bound to 5-hydroxytryptamine 3 receptor in rat cortical membrane,H,B,14826,,,,,,,104698
2995,,,Compound was tested for its binding affinity for the 5-hydroxytryptamine 3 receptor,H,B,2222,,,,,,,104698
2996,,,Displacement of binding of [3H]-BRL 43694 to 5-hydroxytryptamine 3 receptor in rat cerebral cortex,H,B,11963,,,,,,,104698
2997,,,In vitro affinity for 5-hydroxytryptamine 3 (5-HT3) receptor by displacement of [3H]BRL-43694 from rat entorhinal cortex,H,B,14145,,,,,,,104698
2998,,,In vitro binding affinity at serotonin 5-hydroxytryptamine 3 receptor in rat cortex by [3H]granisetron displacement.,H,B,17819,,,,,,,104698
2999,,,Inhibitory activity against 5-hydroxytryptamine 3 receptor in rat cortical membranes using [3H]- 1-Methyl-1H-indazole-3-carboxylic acid (8-methyl-8-aza-bicyclo[3.2.1]oct-3-yl)-amide as a radioligand,H,B,10394,,,,,,,104698
3000,,,Inhibitory activity against 5-hydroxytryptamine 3 receptor in rat cortical membranes using [3H]-1-Methyl-1H-indazole-3-carboxylic acid (8-methyl-8-aza-bicyclo[3.2.1]oct-3-yl)-amide as a radioligand,H,B,10394,,,,,,,104698
3001,,,Inhibitory concentration against 5-hydroxytryptamine 3 receptor in rat entorhinal cortex using [3H]-LY 278584 as radioligand,H,B,15034,,,,,,,104698
3002,,,Binding affinity at 5-hydroxytryptamine 3 receptor in rat entorhinal cortex by [3H]BRL-43694 displacement.,H,B,691,,,,,,,104698
3003,Membranes,,Displacement of [3H]GR-65630 binding to 5-hydroxytryptamine 3 receptor in rat brain cortical membranes,H,B,12092,,,,,,,104698
3004,,Rattus norvegicus,Inhibition of [3H]GR-65630 binding to 5-hydroxytryptamine 3 receptor,D,B,11752,,,10116.0,,,,104698
3005,,,The ability to inhibit [3H]GR-65630 binding to 5-hydroxytryptamine 3 receptor in rat brain cortices,H,B,11752,,,,,Brain,,104698
3006,,,Binding affinity at 5-hydroxytryptamine 3 receptor in rat posterior cortex by [3H]-BRL 43694 displacement.,H,B,301,,,,,,,104698
3007,,,The binding affinity at 5-hydroxytryptamine 3 receptor was determined using [3H]LY-278584,H,B,16532,,,,,,,104698
3008,,,The binding affinity at 5-hydroxytryptamine 3 receptor was determined using [3H]LY-278584; Not tested,H,B,16532,,,,,,,104698
3009,,,The binding affinity was measured on 5-hydroxytryptamine 3 receptor using [3H]GR-65630 as radioligand.,H,B,12092,,,,,,,104698
3010,,,The compound was evaluated for the binding affinity towards 5-hydroxytryptamine 3 receptor by displacement of radioligand [3H]GR-65630,H,B,11684,,,,,,,104698
3011,,,Binding affinity towards 5-hydroxytryptamine 3 receptor by displacement of radioligand [3H]GR-65630.,H,B,11684,,,,,,,104698
3012,,,Binding affinity for 5-hydroxytryptamine 3 receptor from rat cortex using [3H]BRL-43694 as radioligand,H,B,12953,,,,,,,104698
3013,,,The compound was tested for its binding affinity towards 5-hydroxytryptamine 3 receptor from rat cortex using [3H]BRL-43694 as radioligand; NA means Not active,H,B,12953,,,,,,,104698
3014,,,The compound was tested for their binding affinity towards 5-hydroxytryptamine 3 receptor; Nonactive at 10 uM,H,B,12953,,,,,,,104698
3015,,,Binding activity against 5-hydroxytryptamine 3 receptor from rat cortex homogenate using [3H]-Q-ICS 205-930 as radioligand; NA Not Available,H,B,12861,,,,,,,104698
3016,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.03 mg/kg at 0.5 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3017,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.03 mg/kg at 1 hour in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3018,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.03 mg/kg at 3 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3019,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.03 mg/kg at 6 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3020,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.1 mg/kg at 0.5 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3021,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.1 mg/kg at 1 hour in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3022,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.1 mg/kg at 16 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3023,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.1 mg/kg at 3 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3024,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.1 mg/kg at 6 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3025,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.3 mg/kg at 0.5 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3026,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.3 mg/kg at 1 hour in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3027,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.3 mg/kg at 3 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3028,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 0.3 mg/kg at 6 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3029,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 1 mg/kg at 0.5 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3030,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 1 mg/kg at 3 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3031,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 10 mg/kg at 1 hour in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3032,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 10 mg/kg at 3 hours in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3033,,,Compound was tested for the inhibition of 5-HT-induced bradycardia after peroral administration of 1 mg/kg at 1 hour in urethane-anesthetized rats,H,F,11454,In vivo,,,,,,104698
3034,,,5-hydroxytryptamine 3 receptor antagonist activity was confirmed by its ability to antagonize 5-HT evoked tachycardia of rabbit isolated heart,H,F,10609,,,,,,,104698
3035,,,Binding activity against 5-hydroxytryptamine 2A receptor from rat cortex homogenates using [3H]DOB as radioligand.,H,B,12861,,,,,,,104698
3036,,Rattus norvegicus,Inhibition of [3H]-Q-ICS 205-930 binding to rat cortex homogenate 5-hydroxytryptamine 3 receptor,D,B,12861,,,10116.0,,,,104698
3037,,,Binding activity radioligand.,H,B,12861,,,,,,,104698
3038,Brain membranes,,Compound was evaluated for the displacement of [3H]-Q-ICS 205-930 binding to 5-hydroxytryptamine 3 receptor in rat brain membranes,H,B,10728,,,,,,,104698
3039,Brain membranes,,Displacement of [3H]-Q-ICS 205-930 binding to 5-hydroxytryptamine 3 receptor recognition sites in rat brain membranes.,H,B,10728,,,,,,,104698
3040,,,Binding affinity towards 5-hydroxytryptamine 2C receptor was determined at a concentration of 0.000001 mol/L,H,B,5163,,,,,,,108
3041,,,Binding affinity towards 5-hydroxytryptamine 2C receptor was determined at a concentration of 0.00001 mol/L,H,B,5163,,,,,,,108
3042,,,Inhibition of binding towards 5-hydroxytryptamine 2C receptor at 100 nM concentration,H,B,6011,,,,,,,108
3043,,,Percent inhibition (at 1 uM) against 5-hydroxytryptamine 2C receptor,H,B,5014,,,,,,,108
3044,,,Binding affinity of compound towards 5-hydroxytryptamine 2C receptor,H,B,5635,,,,,,,108
3045,,,Affinity for 5-hydroxytryptamine 2C receptor,H,B,5163,,,,,,,108
3046,,,Binding affinity towards 5-hydroxytryptamine 2C receptor using [3H]mesulergine as radioligand,H,B,6841,,,,,,,108
3047,,,Binding affinity towards 5-hydroxytryptamine 2C receptor using [125I]DOI as radioligand.,H,B,6119,,,,,,,108
3048,,,Binding affinity relative to indolopiperidine (compound 1) for 5-hydroxytryptamine 2C receptor was determined,H,B,4373,,,,,,,108
3049,,,Compound was evaluated for the binding affinity towards 5-hydroxytryptamine 2C receptor by displacement of [3H]-Ketanserin,H,B,1633,,,,,,,108
3050,,,Binding affinity towards 5-hydroxytryptamine 2C receptor by displacement of [3H]N-methyl-mesulergine,H,B,1633,,,,,,,108
3051,,,Binding affinity for 5-hydroxytryptamine 2C receptor was determined,H,B,4373,,,,,,,108
3052,,,Binding affinity towards serotonin 5-hydroxytryptamine 2C receptor,H,B,6576,,,,,,,108
3053,,,Evaluated for the binding affinity to 5-hydroxytryptamine 2C receptor,H,B,4687,,,,,,,108
3054,,,Tested agains t5-hydroxytryptamine 2C receptor in experiment 1,H,B,12146,,,,,,,108
3055,,,Tested against 5-hydroxytryptamine 2C receptor in experiment 2,H,B,12146,,,,,,,108
3056,,,Ability to displace [3H]mesulergine from 5-hydroxytryptamine 2C receptor,H,B,16946,,,,,,,108
3057,,,Compound was evaluated for the affinity at 5-hydroxytryptamine 2C receptor,H,B,14159,,,,,,,108
3058,,,The binding affinity towards 5-hydroxytryptamine 2C receptor; No affinity,H,B,16700,,,,,,,108
3059,,,Affinity against 5-hydroxytryptamine 2C receptor,H,B,3269,,,,,,,108
3060,,Homo sapiens,Binding affinity against 5-hydroxytryptamine 2C receptor,D,B,1274,,,9606.0,,,,108
3061,,,Compound was evaluated for binding affinity against 5-hydroxytryptamine 2C receptor using radioligand binding assay,H,B,1317,,,,,,,108
3062,,Bos taurus,Inhibitory concentration required against 5-HT3 receptor in bovine area postrema using [3H]GR-65630,H,B,5834,,,9913.0,,,,144
3063,,Bos taurus,Binding affinity towards 5-hydroxytryptamine 3 receptor using [3H]GR-65630 as radioligand,H,B,11147,,,9913.0,,,,144
3064,,Cavia porcellus,Antagonistic potency against serotonin 5-hydroxytryptamine 3 receptor in GPI assay,H,F,14145,,,10141.0,,,,104714
3065,,Cavia porcellus,Binding affinity to 5-hydroxytryptamine 3 receptor entirely in guinea pig ileum,H,B,10561,,,10141.0,,Ileum,,104714
3066,,Cavia porcellus,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 3 receptor of guinea pig,H,F,15847,,,10141.0,,,,104714
3067,,Cavia porcellus,Compound was evaluated for its antagonist affinity towards 5-hydroxytryptamine 3 receptor of guinea pig; ND means not done,H,F,15847,,,10141.0,,,,104714
3068,,Cavia porcellus,Potency to 5-hydroxytryptamine 3 receptor entirely in guinea pig ileum,H,B,10561,,,10141.0,,Ileum,,104714
3069,,Cavia porcellus,In vitro binding affinity was measured for 5-hydroxytryptamine 3 receptor in the guinea pig ileum.,H,B,11454,,,10141.0,,Ileum,,104714
3070,,Cavia porcellus,Compound was tested for agonistic activity against 5-hydroxytryptamine 3 receptor on guinea colon at a concentration 0.01 uM,H,F,4639,,,10141.0,,,,104714
3071,,Cavia porcellus,Percent of control response to 5-HT3 agonistic activity on guinea colon at a concentration 0.1 uM,H,F,4639,,,10141.0,,,,104714
3072,,Cavia porcellus,Percent of control response to 5-HT3 agonistic activity on guinea colon at a concentration 1 uM,H,F,4639,,,10141.0,,,,104714
3073,,Cavia porcellus,Percent of control response to 5-HT3 agonistic activity on guinea colon at a concentration 1 uM in the presence of 30 uM MDL 72222,H,F,4639,,,10141.0,,,,104714
3074,,Cavia porcellus,Percent of control response to 5-HT3 antagonistic activity on guinea colon at a concentration 0.01 uM,H,F,4639,,,10141.0,,,,104714
3075,,Cavia porcellus,Percent of control response to 5-HT3 antagonistic activity on guinea colon at a concentration 1 uM,H,F,4639,,,10141.0,,,,104714
3076,,Cavia porcellus,"Concentration required to produce 50% of maximal contraction induced by 5-HT through 5-HT3 receptors in the presence of the compound, in isolated guinea pig ileum",H,F,15253,,,10141.0,,Ileum,,104714
3077,,Cavia porcellus,"Concentration required to produce 50% of maximal contraction induced by 5-HT through 5-HT3 receptors in the presence of the compound, in isolated guinea pig ileum.",H,F,15253,,,10141.0,,Ileum,,104714
3078,,Cavia porcellus,Tested for the antagonistic activity against 5-hydroxytryptamine 3 receptor from guinea pig ileum,H,F,11963,,,10141.0,,Ileum,,104714
3079,,Cavia porcellus,In vitro 5-hydroxytryptamine 3 receptor activity in guinea pig ileum,H,B,1946,,,10141.0,,Ileum,,104714
3080,,Cavia porcellus,In vitro 5-hydroxytryptamine 3 receptor activity in guinea pig ileum; Not tested,H,B,1946,,,10141.0,,Ileum,,104714
3081,,Cavia porcellus,Binding affinity towards [3H]quipazine labeled 5-hydroxytryptamine 3 receptor sites in HG108-15,H,B,12045,,,10141.0,,,,104714
3082,,Cavia porcellus,Binding affinity against 5-hydroxytryptamine 3 receptor of guinea pig ileum,H,B,1559,,,10141.0,,Ileum,,104714
3083,,Cavia porcellus,Evaluated for the antagonistic activity against 5-hydroxytryptamine 3 receptor in isolated guinea pig ileum (GPI),H,F,273,,,10141.0,,Ileum,,104714
3084,,Cavia porcellus,Antagonistic activity against Serotonin 5-hydroxytryptamine 3 receptor of isolated guinea pig ileum (GPI),H,F,273,,,10141.0,,Ileum,,104714
3085,,Cavia porcellus,Tested for antagonistic activity on 5-hydroxytryptamine 3 receptor mediated effects of 5-HT in guinea pig isolated ileum,H,F,188,,,10141.0,,Ileum,,104714
3086,,Cavia porcellus,Agonistic activity against 5-hydroxytryptamine 3 receptor in guinea pig ileum assay,H,F,12919,,,10141.0,,Ileum,,104714
3087,,Cavia porcellus,5-hydroxytryptamine 3 receptor agonism in the guinea pig ileum by functional 5-HT3 receptor assay,H,F,12918,,,10141.0,,Ileum,,104714
3088,,Cavia porcellus,Binding affinity against 5-hydroxytryptamine 3 receptor of guinea pig ileum,H,B,1559,,,10141.0,,Ileum,,104714
3089,,Cavia porcellus,Evaluated for the antagonistic activity against Serotonin 5-hydroxytryptamine 3 receptor in isolated guinea pig ileum (GPI),H,F,273,,,10141.0,,Ileum,,104714
3090,,Cavia porcellus,Binding affinity against 5-hydroxytryptamine 3 receptor of guinea pig ileum,H,B,1559,,,10141.0,,Ileum,,104714
3091,,Cavia porcellus,Binding affinity against 5-hydroxytryptamine 3 receptor of guinea pig ileum; Not determined,H,B,1559,,,10141.0,,Ileum,,104714
3092,,Cavia porcellus,Binding affinity towards 5-hydroxytryptamine 3 receptor of guinea pig ileum; not determined,H,B,1559,,,10141.0,,Ileum,,104714
3093,,Cavia porcellus,The compound was tested for binding affinity against 5-hydroxytryptamine 3 receptor in guinea pig ileum.,H,B,14424,,,10141.0,,Ileum,,104714
3094,,Cavia porcellus,Binding affinity was determined against 5-hydroxytryptamine 2A receptor,U,B,13181,,,10141.0,,,,22226
3095,,,Binding affinity towards 5-HT1A receptor by the displacement of [3H]-8-OH-DPAT] in human recombinant receptors in mammalian cell,H,B,5486,,,,,,,51
3096,,Homo sapiens,Affinity towards human 5-hydroxytryptamine 3 serotonin receptor,D,B,6491,,,9606.0,,,,104714
3097,,,Binding affinity towards 5-HT3 receptor,H,B,6013,,,,,,,104714
3098,,,Binding activity radioligand.,H,B,12861,,,,,,,104714
