Fiscal year,Branch name,CIDA business delivery model (old),Project number,Sector ID,Section name,FSTC percent,Youth issues (marker),CountryRegion name,Bilateral aid (international marker),Trade development (marker),Untied amount(Project-level budget),Status,Urban issues (marker),Climate change adaptation (marker),Branch ID,Desertification (marker),PBA type,Organisation class,Organisation type,Indigenous issues (marker),ICT as a tool for development (marker),CFLI (marker),CountryRegion percent,Regional program (marker),Participatory development and good governance,Children issues (marker),Fund centre name,Organisation sub-class,Division name,Enviromental sustainability (marker),IRTC percent,Disability issues (marker),Project Browser country ID,Organisation name,Maximum CIDA contribution (project-level),Division ID,Section ID,Fund centre ID,Programming process (new),Climate change mitigation (marker),Biodiversity (marker),Knowledge for development (marker)
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,14032,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,15110,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,15112,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,16010,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,16050,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,21020,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,23110,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,31120,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,31161,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,31166,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,41010,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419001,43010,Ghana Program Section,0.0,1,Ghana,1,1,99724217.0,Closed,1,0,B4200,1,General budget support,Governmental,Foreign Non-Profit Making,1,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,1,GH,Government of Ghana,99724217.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,1
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,12240,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31110,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31120,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31130,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31140,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31150,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31161,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31162,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31163,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31166,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31181,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31182,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31191,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Core Funding,A033419002,31192,Ghana Program Section,0.0,1,Ghana,1,0,109545796.0,Terminating,1,0,B4200,1,Sectoral budget support,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,109545796.0,D4207,S4253,4254,Uncoded: Pre-APP,0,1,0
2009/2010,WGM Sub-Saharan Africa,Directive,A033419003,14010,Ghana Program Section,1.0,1,Ghana,1,0,80000000.0,Operational,0,0,B4200,1,Other PBA,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,80000000.0,D4207,S4253,4254,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A033419003,15110,Ghana Program Section,1.0,1,Ghana,1,0,80000000.0,Operational,0,0,B4200,1,Other PBA,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,80000000.0,D4207,S4253,4254,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A033419003,15150,Ghana Program Section,1.0,1,Ghana,1,0,80000000.0,Operational,0,0,B4200,1,Other PBA,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,80000000.0,D4207,S4253,4254,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A033419003,24010,Ghana Program Section,1.0,1,Ghana,1,0,80000000.0,Operational,0,0,B4200,1,Other PBA,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,80000000.0,D4207,S4253,4254,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A033419003,31120,Ghana Program Section,1.0,1,Ghana,1,0,80000000.0,Operational,0,0,B4200,1,Other PBA,Governmental,Foreign Non-Profit Making,0,0,0,1.0,0,1,1,Ghana,FEDERAL,WWD West & Central Africa,2,0.0,0,GH,Government of Ghana,80000000.0,D4207,S4253,4254,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A033435001,41010,Central Africa & Great Lakes Program,1.0,0,Cameroon,1,0,498775.65,Closed,0,0,B4200,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,Cameroon,FEDERAL,WWD West & Central Africa,0,0.0,0,CM,Department of Foreign Affairs and International Trade,498775.65,D4207,S4287,4289,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A033455001,14031,Ha�ti & Dominican Republic Section,1.0,0,Haiti,1,0,5689035.26,Closed,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Haiti,FEDERAL,NDD Americas Programming,0,0.0,0,HT,Department of Foreign Affairs and International Trade,5689035.26,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A033455001,14032,Ha�ti & Dominican Republic Section,1.0,0,Haiti,1,0,5689035.26,Closed,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Haiti,FEDERAL,NDD Americas Programming,0,0.0,0,HT,Department of Foreign Affairs and International Trade,5689035.26,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A033455001,15150,Ha�ti & Dominican Republic Section,1.0,0,Haiti,1,0,5689035.26,Closed,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Haiti,FEDERAL,NDD Americas Programming,0,0.0,0,HT,Department of Foreign Affairs and International Trade,5689035.26,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Directive,A033455001,31120,Ha�ti & Dominican Republic Section,1.0,0,Haiti,1,0,5689035.26,Closed,0,0,B4400,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,1,0,Haiti,FEDERAL,NDD Americas Programming,0,0.0,0,HT,Department of Foreign Affairs and International Trade,5689035.26,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Responsive,A033457001,14031,Ha�ti & Dominican Republic Section,1.0,0,Haiti,1,0,19721298.01,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Haiti,CONSULTANT,NDD Americas Programming,0,0.0,0,HT,Information not available,19721298.01,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Responsive,A033457001,14032,Ha�ti & Dominican Republic Section,1.0,0,Haiti,1,0,19721298.01,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Haiti,CONSULTANT,NDD Americas Programming,0,0.0,0,HT,Information not available,19721298.01,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Responsive,A033457001,21020,Ha�ti & Dominican Republic Section,1.0,0,Haiti,1,0,19721298.01,Terminating,0,0,B4400,0,Not PBA,Individual,Canadian Profit Making,0,0,0,1.0,0,0,0,Haiti,CONSULTANT,NDD Americas Programming,0,0.0,0,HT,Information not available,19721298.01,D4400,S4449,4452,Uncoded: Pre-APP,0,0,0
2009/2010,KFM Partnership for Develop. Innovation,Responsive,A033459001,99820,Education and Knowledge,0.0,0,Canada,1,0,0.0,Closed,0,0,B6100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,1.0,0,1,1,Journalism and Development Initiative,UNIVERSITY,KED Engaging Canadians,0,0.0,0,CA,Concordia University Financial Services,14866.77,D6220,S6222,2240,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Responsive,A033463001,12110,"AHSI, Extractives, Special Initiatives",1.0,0,Africa MC,1,0,4932896.09,Closed,0,0,B4200,0,Not PBA,Para-Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,African Health Systems Initiative,CROWN CORPORATIONS,WED Southern & Eastern Africa,0,0.0,0,X1,International Development Research Centre,4932896.09,D4270,S4281,4333,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Responsive,A033463001,12182,"AHSI, Extractives, Special Initiatives",1.0,0,Africa MC,1,0,4932896.09,Closed,0,0,B4200,0,Not PBA,Para-Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,African Health Systems Initiative,CROWN CORPORATIONS,WED Southern & Eastern Africa,0,0.0,0,X1,International Development Research Centre,4932896.09,D4270,S4281,4333,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Responsive,A033463001,12281,"AHSI, Extractives, Special Initiatives",1.0,0,Africa MC,1,0,4932896.09,Closed,0,0,B4200,0,Not PBA,Para-Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,0,0,African Health Systems Initiative,CROWN CORPORATIONS,WED Southern & Eastern Africa,0,0.0,0,X1,International Development Research Centre,4932896.09,D4270,S4281,4333,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Responsive,A033468001,15110,Caricom - Adm,0.85,0,Americas MC,1,0,25000000.0,Closed,0,0,B4400,0,Not PBA,Multilateral,Foreign Non-Profit Making,0,0,0,1.0,1,1,0,Caribbean Region,UNITED NATIONS,NDD Americas Programming,0,0.0,0,X2,UNDP - United Nations Development Programme,25000000.0,D4400,S4429,4434,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Responsive,A033468001,15111,Caricom - Adm,0.85,0,Americas MC,1,0,25000000.0,Closed,0,0,B4400,0,Not PBA,Multilateral,Foreign Non-Profit Making,0,0,0,1.0,1,1,0,Caribbean Region,UNITED NATIONS,NDD Americas Programming,0,0.0,0,X2,UNDP - United Nations Development Programme,25000000.0,D4400,S4429,4434,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Core Funding,A033475001,73010,Caricom - Adm,0.0,0,Americas MC,1,0,25000000.0,Closed,0,0,B4400,0,Pooled funding,Multilateral,Foreign Non-Profit Making,0,0,0,1.0,1,0,0,Caribbean Region,IFI,NDD Americas Programming,0,0.0,0,X2,CDB - Caribbean Development Bank,25000000.0,D4400,S4429,4434,Uncoded: Pre-APP,0,0,0
2009/2010,KFM Partnership for Develop. Innovation,Responsive,A033488001,15150,Public Institutions & Elections,1.0,0,Africa MC,1,0,530011.46,Closed,0,0,B6100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.25,0,2,0,Public Institutions & Elections,ASSOCIATIONS,KGD Sustainable Economic Growth Partner.,0,0.0,0,X1,Cdn Ass'n of Former Parliamentarian and The Educational Foundation,530011.46,D6214,S6219,6219,Uncoded: Pre-APP,0,0,0
2009/2010,KFM Partnership for Develop. Innovation,Responsive,A033488001,15151,Public Institutions & Elections,1.0,0,Africa MC,1,0,530011.46,Closed,0,0,B6100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.25,0,2,0,Public Institutions & Elections,ASSOCIATIONS,KGD Sustainable Economic Growth Partner.,0,0.0,0,X1,Cdn Ass'n of Former Parliamentarian and The Educational Foundation,530011.46,D6214,S6219,6219,Uncoded: Pre-APP,0,0,0
2009/2010,KFM Partnership for Develop. Innovation,Responsive,A033488001,15150,Public Institutions & Elections,1.0,0,Americas MC,1,0,530011.46,Closed,0,0,B6100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.25,0,2,0,Public Institutions & Elections,ASSOCIATIONS,KGD Sustainable Economic Growth Partner.,0,0.0,0,X2,Cdn Ass'n of Former Parliamentarian and The Educational Foundation,530011.46,D6214,S6219,6219,Uncoded: Pre-APP,0,0,0
2009/2010,KFM Partnership for Develop. Innovation,Responsive,A033488001,15151,Public Institutions & Elections,1.0,0,Americas MC,1,0,530011.46,Closed,0,0,B6100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.25,0,2,0,Public Institutions & Elections,ASSOCIATIONS,KGD Sustainable Economic Growth Partner.,0,0.0,0,X2,Cdn Ass'n of Former Parliamentarian and The Educational Foundation,530011.46,D6214,S6219,6219,Uncoded: Pre-APP,0,0,0
2009/2010,KFM Partnership for Develop. Innovation,Responsive,A033488001,15150,Public Institutions & Elections,1.0,0,Asia MC,1,0,530011.46,Closed,0,0,B6100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.25,0,2,0,Public Institutions & Elections,ASSOCIATIONS,KGD Sustainable Economic Growth Partner.,0,0.0,0,X3,Cdn Ass'n of Former Parliamentarian and The Educational Foundation,530011.46,D6214,S6219,6219,Uncoded: Pre-APP,0,0,0
2009/2010,KFM Partnership for Develop. Innovation,Responsive,A033488001,15151,Public Institutions & Elections,1.0,0,Asia MC,1,0,530011.46,Closed,0,0,B6100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.25,0,2,0,Public Institutions & Elections,ASSOCIATIONS,KGD Sustainable Economic Growth Partner.,0,0.0,0,X3,Cdn Ass'n of Former Parliamentarian and The Educational Foundation,530011.46,D6214,S6219,6219,Uncoded: Pre-APP,0,0,0
2009/2010,KFM Partnership for Develop. Innovation,Responsive,A033488001,15150,Public Institutions & Elections,1.0,0,Europe MC,1,0,530011.46,Closed,0,0,B6100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.25,0,2,0,Public Institutions & Elections,ASSOCIATIONS,KGD Sustainable Economic Growth Partner.,0,0.0,0,X4,Cdn Ass'n of Former Parliamentarian and The Educational Foundation,530011.46,D6214,S6219,6219,Uncoded: Pre-APP,0,0,0
2009/2010,KFM Partnership for Develop. Innovation,Responsive,A033488001,15151,Public Institutions & Elections,1.0,0,Europe MC,1,0,530011.46,Closed,0,0,B6100,0,Not PBA,Civil Society,Canadian Non-Profit Making,0,0,0,0.25,0,2,0,Public Institutions & Elections,ASSOCIATIONS,KGD Sustainable Economic Growth Partner.,0,0.0,0,X4,Cdn Ass'n of Former Parliamentarian and The Educational Foundation,530011.46,D6214,S6219,6219,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Responsive,A033491001,15151,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,1,Pakistan,1,0,1472173.93,Closed,0,0,B4100,0,Not PBA,Civil Society,Foreign Non-Profit Making,0,0,0,1.0,0,2,0,Pakistan,INTERNATIONAL NGO,OAD Asia Programming,0,0.0,0,PK,The Asia Foundation,1472173.93,D4100,S4141,4124,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A033493001,15112,OAI Indonesia and SEA Regional,1.0,0,Indonesia,1,0,11000000.0,Operational,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,2,0,Indonesia,FEDERAL,OAD Asia Programming,1,0.0,0,ID,Department of Foreign Affairs and International Trade,11000000.0,D4100,S4126,4127,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A033493001,15112,OAI Indonesia and SEA Regional,1.0,0,Indonesia,1,0,11000000.0,Operational,0,0,B4100,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,2,0,Indonesia,CONSULTING SERVICES,OAD Asia Programming,1,0.0,0,ID,Cowater International Inc.,11000000.0,D4100,S4126,4127,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A033493001,15113,OAI Indonesia and SEA Regional,1.0,0,Indonesia,1,0,11000000.0,Operational,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,2,0,Indonesia,FEDERAL,OAD Asia Programming,1,0.0,0,ID,Department of Foreign Affairs and International Trade,11000000.0,D4100,S4126,4127,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A033493001,15113,OAI Indonesia and SEA Regional,1.0,0,Indonesia,1,0,11000000.0,Operational,0,0,B4100,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,2,0,Indonesia,CONSULTING SERVICES,OAD Asia Programming,1,0.0,0,ID,Cowater International Inc.,11000000.0,D4100,S4126,4127,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A033493001,15150,OAI Indonesia and SEA Regional,1.0,0,Indonesia,1,0,11000000.0,Operational,0,0,B4100,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,0,1.0,0,2,0,Indonesia,FEDERAL,OAD Asia Programming,1,0.0,0,ID,Department of Foreign Affairs and International Trade,11000000.0,D4100,S4126,4127,Uncoded: Pre-APP,0,0,0
2009/2010,OGM Asia Pacific,Directive,A033493001,15150,OAI Indonesia and SEA Regional,1.0,0,Indonesia,1,0,11000000.0,Operational,0,0,B4100,0,Not PBA,Civil Society,Canadian Profit Making,0,0,0,1.0,0,2,0,Indonesia,CONSULTING SERVICES,OAD Asia Programming,1,0.0,0,ID,Cowater International Inc.,11000000.0,D4100,S4126,4127,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A033497001,15150,Mali Program Section,1.0,0,Mali,1,0,497898.53,Closed,0,0,B4200,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,1,1.0,0,1,0,Mali,FEDERAL,WWD West & Central Africa,0,0.0,0,ML,Department of Foreign Affairs and International Trade,497898.53,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,WGM Sub-Saharan Africa,Directive,A033497001,15151,Mali Program Section,1.0,0,Mali,1,0,497898.53,Closed,0,0,B4200,0,Not PBA,Governmental,Canadian Non-Profit Making,0,0,1,1.0,0,1,0,Mali,FEDERAL,WWD West & Central Africa,0,0.0,0,ML,Department of Foreign Affairs and International Trade,497898.53,D4207,S4215,4216,Uncoded: Pre-APP,0,0,0
2009/2010,NGM Americas,Responsive,A033499001,32262,South America,1.0,0,Central America,1,0,205716.24,Closed,0,0,B4400,0,Not PBA,Multilateral,Foreign Non-Profit Making,0,0,0,0.18,1,0,0,*S.A. Regional,IFI,NDD Americas Programming,1,0.0,0,MX,World Bank,205716.24,D4400,S4413,4427,Uncoded: Pre-APP,1,0,0
2009/2010,NGM Americas,Responsive,A033499001,41010,South America,1.0,0,Central America,1,0,205716.24,Closed,0,0,B4400,0,Not PBA,Multilateral,Foreign Non-Profit Making,0,0,0,0.18,1,0,0,*S.A. Regional,IFI,NDD Americas Programming,1,0.0,0,MX,World Bank,205716.24,D4400,S4413,4427,Uncoded: Pre-APP,1,0,0
2009/2010,NGM Americas,Responsive,A033499001,32262,South America,1.0,0,South America,1,0,205716.24,Closed,0,0,B4400,0,Not PBA,Multilateral,Foreign Non-Profit Making,0,0,0,0.14,1,0,0,*S.A. Regional,IFI,NDD Americas Programming,1,0.0,0,PE,World Bank,205716.24,D4400,S4413,4427,Uncoded: Pre-APP,1,0,0
