Fiscal year,Gender equality (marker),Sector ID,Regional program (marker),Project Browser country ID,Project number,Sector name,Biodiversity (marker),Organisation class,Untied amount(Project-level budget),Section name,Maximum CIDA contribution (project-level),Children issues (marker),Enviromental sustainability (marker),ICT as a tool for development (marker),Amount spent,Section ID,Sector percent,Branch ID,Fund centre ID,Fund centre name,Status,IRTC percent,Division ID,Youth issues (marker),FSTC percent,Knowledge for development (marker),Trade development (marker),CFLI (marker),Indigenous issues (marker),CountryRegion ID,Programming process (new),Participatory development and good governance,Urban issues (marker),Continent name,Disability issues (marker),Organisation ID,Organisation name,Organisation type,Organisation sub-class,Continent ID,CountryRegion name,CountryRegion percent
2009/2010,2,99820,0,CA,S063759PRG,Promotion of development awareness,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,2799.85,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,12110,0,LR,S063759PRG,Health policy and administrative management,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,11633.37675,S6212,0.15,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,LR,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Liberia,0.27699999999999997
2009/2010,2,12261,0,LR,S063759PRG,Health education,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,23266.7535,S6212,0.3,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,LR,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Liberia,0.27699999999999997
2009/2010,2,12281,0,LR,S063759PRG,Health personnel development,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,7755.5845,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,LR,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Liberia,0.27699999999999997
2009/2010,2,13010,0,LR,S063759PRG,Population policy and administrative management,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,7755.5845,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,LR,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Liberia,0.27699999999999997
2009/2010,2,15110,0,LR,S063759PRG,Public sector policy and administrative management,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,7755.5845,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,LR,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Liberia,0.27699999999999997
2009/2010,2,41081,0,LR,S063759PRG,Environmental education/training,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,7755.5845,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,LR,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Liberia,0.27699999999999997
2009/2010,2,74010,0,LR,S063759PRG,Disaster prevention and preparedness,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,3877.79225,S6212,0.05,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,LR,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Liberia,0.27699999999999997
2009/2010,2,99820,0,LR,S063759PRG,Promotion of development awareness,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,7755.5845,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,LR,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Liberia,0.27699999999999997
2009/2010,2,12110,0,ML,S063759PRG,Health policy and administrative management,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,14153.24175,S6212,0.15,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Mali,0.337
2009/2010,2,12261,0,ML,S063759PRG,Health education,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,28306.4835,S6212,0.3,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Mali,0.337
2009/2010,2,12281,0,ML,S063759PRG,Health personnel development,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,9435.4945,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Mali,0.337
2009/2010,2,13010,0,ML,S063759PRG,Population policy and administrative management,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,9435.4945,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Mali,0.337
2009/2010,2,15110,0,ML,S063759PRG,Public sector policy and administrative management,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,9435.4945,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Mali,0.337
2009/2010,2,41081,0,ML,S063759PRG,Environmental education/training,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,9435.4945,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Mali,0.337
2009/2010,2,74010,0,ML,S063759PRG,Disaster prevention and preparedness,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,4717.74725,S6212,0.05,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Mali,0.337
2009/2010,2,99820,0,ML,S063759PRG,Promotion of development awareness,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,9435.4945,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Mali,0.337
2009/2010,2,12110,0,SL,S063759PRG,Health policy and administrative management,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,12011.3565,S6212,0.15,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.28600000000000003
2009/2010,2,12261,0,SL,S063759PRG,Health education,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,24022.713,S6212,0.3,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.28600000000000003
2009/2010,2,12281,0,SL,S063759PRG,Health personnel development,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,8007.571,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.28600000000000003
2009/2010,2,13010,0,SL,S063759PRG,Population policy and administrative management,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,8007.571,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.28600000000000003
2009/2010,2,15110,0,SL,S063759PRG,Public sector policy and administrative management,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,8007.571,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.28600000000000003
2009/2010,2,41081,0,SL,S063759PRG,Environmental education/training,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,8007.571,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.28600000000000003
2009/2010,2,74010,0,SL,S063759PRG,Disaster prevention and preparedness,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,4003.7855,S6212,0.05,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.28600000000000003
2009/2010,2,99820,0,SL,S063759PRG,Promotion of development awareness,0,Civil Society,2992000.0,Health,2992000.0,0,0,0,8007.571,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1000821,Canadian Red Cross Society,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.28600000000000003
2009/2010,2,31120,0,CA,S063762002,Agricultural development,0,Civil Society,95776.0,Environment Sustainability,95776.0,0,1,0,3393.27,S6216,0.45,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1001309,Falls Brook Centre (FBC),Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,31194,0,CA,S063762002,Agricultural co-operatives,0,Civil Society,95776.0,Environment Sustainability,95776.0,0,1,0,3393.27,S6216,0.45,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1001309,Falls Brook Centre (FBC),Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,99820,0,CA,S063762002,Promotion of development awareness,0,Civil Society,95776.0,Environment Sustainability,95776.0,0,1,0,754.06,S6216,0.1,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1001309,Falls Brook Centre (FBC),Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,31120,0,MX,S063762002,Agricultural development,0,Civil Society,95776.0,Environment Sustainability,95776.0,0,1,0,30539.43,S6216,0.45,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.9,0,0,0,0,MX,Uncoded: Pre-APP,0,0,America,0,1001309,Falls Brook Centre (FBC),Canadian Non-Profit Making,NGO,1,Mexico,0.9
2009/2010,2,31194,0,MX,S063762002,Agricultural co-operatives,0,Civil Society,95776.0,Environment Sustainability,95776.0,0,1,0,30539.43,S6216,0.45,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.9,0,0,0,0,MX,Uncoded: Pre-APP,0,0,America,0,1001309,Falls Brook Centre (FBC),Canadian Non-Profit Making,NGO,1,Mexico,0.9
2009/2010,2,99820,0,MX,S063762002,Promotion of development awareness,0,Civil Society,95776.0,Environment Sustainability,95776.0,0,1,0,6786.54,S6216,0.1,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.9,0,0,0,0,MX,Uncoded: Pre-APP,0,0,America,0,1001309,Falls Brook Centre (FBC),Canadian Non-Profit Making,NGO,1,Mexico,0.9
2009/2010,0,12240,0,CA,S063767002,Basic nutrition,0,Civil Society,13200.0,Health,13200.0,1,0,0,160.72,S6212,0.98,B6100,6161,Health,Closed,0.0,D6211,0,0.98,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1006074,Fondation solidarit� Colombie- Qu�bec (Canada),Canadian Non-Profit Making,NGO,1,Canada,0.02
2009/2010,0,99820,0,CA,S063767002,Promotion of development awareness,0,Civil Society,13200.0,Health,13200.0,1,0,0,3.28,S6212,0.02,B6100,6161,Health,Closed,0.0,D6211,0,0.98,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1006074,Fondation solidarit� Colombie- Qu�bec (Canada),Canadian Non-Profit Making,NGO,1,Canada,0.02
2009/2010,0,12240,0,CO,S063767002,Basic nutrition,0,Civil Society,13200.0,Health,13200.0,1,0,0,7875.28,S6212,0.98,B6100,6161,Health,Closed,0.0,D6211,0,0.98,0,0,0,0,CO,Uncoded: Pre-APP,0,0,America,0,1006074,Fondation solidarit� Colombie- Qu�bec (Canada),Canadian Non-Profit Making,NGO,1,Colombia,0.98
2009/2010,0,99820,0,CO,S063767002,Promotion of development awareness,0,Civil Society,13200.0,Health,13200.0,1,0,0,160.72,S6212,0.02,B6100,6161,Health,Closed,0.0,D6211,0,0.98,0,0,0,0,CO,Uncoded: Pre-APP,0,0,America,0,1006074,Fondation solidarit� Colombie- Qu�bec (Canada),Canadian Non-Profit Making,NGO,1,Colombia,0.98
2009/2010,2,11330,0,CA,S063768002,Vocational training,0,Civil Society,96844.0,Health,96844.0,1,0,0,3762.2,S6212,0.5,B6100,6161,Health,Closed,0.0,D6211,1,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1001706,Crossroads Christian Communications Inc.,Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,12261,0,CA,S063768002,Health education,0,Civil Society,96844.0,Health,96844.0,1,0,0,1504.88,S6212,0.2,B6100,6161,Health,Closed,0.0,D6211,1,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1001706,Crossroads Christian Communications Inc.,Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,13040,0,CA,S063768002,STD control including HIV/AIDS,0,Civil Society,96844.0,Health,96844.0,1,0,0,1504.88,S6212,0.2,B6100,6161,Health,Closed,0.0,D6211,1,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1001706,Crossroads Christian Communications Inc.,Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,99820,0,CA,S063768002,Promotion of development awareness,0,Civil Society,96844.0,Health,96844.0,1,0,0,752.44,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,1,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1001706,Crossroads Christian Communications Inc.,Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,11330,0,ZM,S063768002,Vocational training,0,Civil Society,96844.0,Health,96844.0,1,0,0,33859.8,S6212,0.5,B6100,6161,Health,Closed,0.0,D6211,1,0.9,0,0,0,0,ZM,Uncoded: Pre-APP,0,0,Africa,0,1001706,Crossroads Christian Communications Inc.,Canadian Non-Profit Making,NGO,2,Zambia,0.9
2009/2010,2,12261,0,ZM,S063768002,Health education,0,Civil Society,96844.0,Health,96844.0,1,0,0,13543.92,S6212,0.2,B6100,6161,Health,Closed,0.0,D6211,1,0.9,0,0,0,0,ZM,Uncoded: Pre-APP,0,0,Africa,0,1001706,Crossroads Christian Communications Inc.,Canadian Non-Profit Making,NGO,2,Zambia,0.9
2009/2010,2,13040,0,ZM,S063768002,STD control including HIV/AIDS,0,Civil Society,96844.0,Health,96844.0,1,0,0,13543.92,S6212,0.2,B6100,6161,Health,Closed,0.0,D6211,1,0.9,0,0,0,0,ZM,Uncoded: Pre-APP,0,0,Africa,0,1001706,Crossroads Christian Communications Inc.,Canadian Non-Profit Making,NGO,2,Zambia,0.9
2009/2010,2,99820,0,ZM,S063768002,Promotion of development awareness,0,Civil Society,96844.0,Health,96844.0,1,0,0,6771.96,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,1,0.9,0,0,0,0,ZM,Uncoded: Pre-APP,0,0,Africa,0,1001706,Crossroads Christian Communications Inc.,Canadian Non-Profit Making,NGO,2,Zambia,0.9
2009/2010,0,22040,0,X1,S063771Z01,Information and communication technology (ICT),0,Civil Society,390298.0,Sustainable Economic Growth,390298.0,0,0,1,80301.6,S6215,1.0,B6100,6160,Sustainable Economic Growth,Closed,0.0,D6214,0,1.0,0,0,0,0,X1,Uncoded: Pre-APP,0,0,Africa,0,1001722,Telecommunications Executive Management Institute,Canadian Non-Profit Making,SPECIALIZED INSTITUTE,2,Africa MC,0.36
2009/2010,0,22040,0,X2,S063771Z01,Information and communication technology (ICT),0,Civil Society,390298.0,Sustainable Economic Growth,390298.0,0,0,1,71379.2,S6215,1.0,B6100,6160,Sustainable Economic Growth,Closed,0.0,D6214,0,1.0,0,0,0,0,X2,Uncoded: Pre-APP,0,0,America,0,1001722,Telecommunications Executive Management Institute,Canadian Non-Profit Making,SPECIALIZED INSTITUTE,1,Americas MC,0.32
2009/2010,0,22040,0,X3,S063771Z01,Information and communication technology (ICT),0,Civil Society,390298.0,Sustainable Economic Growth,390298.0,0,0,1,71379.2,S6215,1.0,B6100,6160,Sustainable Economic Growth,Closed,0.0,D6214,0,1.0,0,0,0,0,X3,Uncoded: Pre-APP,0,0,Asia,0,1001722,Telecommunications Executive Management Institute,Canadian Non-Profit Making,SPECIALIZED INSTITUTE,3,Asia MC,0.32
2009/2010,2,12110,0,MZ,S063772PRG,Health policy and administrative management,0,Civil Society,2100000.0,Education,2100000.0,0,0,0,61454.6,S6213,0.1,B6100,6108,Education,Closed,0.0,D6211,0,0.6,0,0,0,0,MZ,Uncoded: Pre-APP,1,0,Africa,0,1002300,Cooperation Canada Mozambique,Canadian Non-Profit Making,NGO,2,Mozambique,1.0
2009/2010,2,15150,0,MZ,S063772PRG,Democratic participation and civil society,0,Civil Society,2100000.0,Education,2100000.0,0,0,0,61454.6,S6213,0.1,B6100,6108,Education,Closed,0.0,D6211,0,0.6,0,0,0,0,MZ,Uncoded: Pre-APP,1,0,Africa,0,1002300,Cooperation Canada Mozambique,Canadian Non-Profit Making,NGO,2,Mozambique,1.0
2009/2010,2,16050,0,MZ,S063772PRG,Multi-sector aid for basic social services,0,Civil Society,2100000.0,Education,2100000.0,0,0,0,61454.6,S6213,0.1,B6100,6108,Education,Closed,0.0,D6211,0,0.6,0,0,0,0,MZ,Uncoded: Pre-APP,1,0,Africa,0,1002300,Cooperation Canada Mozambique,Canadian Non-Profit Making,NGO,2,Mozambique,1.0
2009/2010,2,24040,0,MZ,S063772PRG,Informal/semi-formal financial intermediaries,0,Civil Society,2100000.0,Education,2100000.0,0,0,0,245818.4,S6213,0.4,B6100,6108,Education,Closed,0.0,D6211,0,0.6,0,0,0,0,MZ,Uncoded: Pre-APP,1,0,Africa,0,1002300,Cooperation Canada Mozambique,Canadian Non-Profit Making,NGO,2,Mozambique,1.0
2009/2010,2,24081,0,MZ,S063772PRG,Education/training in banking and financial services,0,Civil Society,2100000.0,Education,2100000.0,0,0,0,184363.8,S6213,0.3,B6100,6108,Education,Closed,0.0,D6211,0,0.6,0,0,0,0,MZ,Uncoded: Pre-APP,1,0,Africa,0,1002300,Cooperation Canada Mozambique,Canadian Non-Profit Making,NGO,2,Mozambique,1.0
2009/2010,2,31120,0,CA,S063773002,Agricultural development,0,Civil Society,219300.0,Sustainable Economic Growth,219300.0,0,0,0,12675.0,S6215,0.65,B6100,6160,Sustainable Economic Growth,Closed,0.0,D6214,0,0.85,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1002023,Farmers Helping Farmers,Canadian Non-Profit Making,NGO,1,Canada,0.15
2009/2010,2,31194,0,CA,S063773002,Agricultural co-operatives,0,Civil Society,219300.0,Sustainable Economic Growth,219300.0,0,0,0,3900.0,S6215,0.2,B6100,6160,Sustainable Economic Growth,Closed,0.0,D6214,0,0.85,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1002023,Farmers Helping Farmers,Canadian Non-Profit Making,NGO,1,Canada,0.15
2009/2010,2,99820,0,CA,S063773002,Promotion of development awareness,0,Civil Society,219300.0,Sustainable Economic Growth,219300.0,0,0,0,2925.0,S6215,0.15,B6100,6160,Sustainable Economic Growth,Closed,0.0,D6214,0,0.85,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1002023,Farmers Helping Farmers,Canadian Non-Profit Making,NGO,1,Canada,0.15
2009/2010,2,31120,0,KE,S063773002,Agricultural development,0,Civil Society,219300.0,Sustainable Economic Growth,219300.0,0,0,0,71825.0,S6215,0.65,B6100,6160,Sustainable Economic Growth,Closed,0.0,D6214,0,0.85,0,0,0,0,KE,Uncoded: Pre-APP,0,0,Africa,0,1002023,Farmers Helping Farmers,Canadian Non-Profit Making,NGO,2,Kenya,0.85
2009/2010,2,31194,0,KE,S063773002,Agricultural co-operatives,0,Civil Society,219300.0,Sustainable Economic Growth,219300.0,0,0,0,22100.0,S6215,0.2,B6100,6160,Sustainable Economic Growth,Closed,0.0,D6214,0,0.85,0,0,0,0,KE,Uncoded: Pre-APP,0,0,Africa,0,1002023,Farmers Helping Farmers,Canadian Non-Profit Making,NGO,2,Kenya,0.85
2009/2010,2,99820,0,KE,S063773002,Promotion of development awareness,0,Civil Society,219300.0,Sustainable Economic Growth,219300.0,0,0,0,16575.0,S6215,0.15,B6100,6160,Sustainable Economic Growth,Closed,0.0,D6214,0,0.85,0,0,0,0,KE,Uncoded: Pre-APP,0,0,Africa,0,1002023,Farmers Helping Farmers,Canadian Non-Profit Making,NGO,2,Kenya,0.85
2009/2010,2,12261,0,CA,S063782002,Health education,0,Civil Society,130409.0,Health,130409.0,0,0,0,5835.96,S6212,0.45,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1002115,Nova Scotia Gambia Association,Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,13040,0,CA,S063782002,STD control including HIV/AIDS,0,Civil Society,130409.0,Health,130409.0,0,0,0,5835.96,S6212,0.45,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1002115,Nova Scotia Gambia Association,Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,99820,0,CA,S063782002,Promotion of development awareness,0,Civil Society,130409.0,Health,130409.0,0,0,0,1296.88,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,CA,Uncoded: Pre-APP,0,0,America,0,1002115,Nova Scotia Gambia Association,Canadian Non-Profit Making,NGO,1,Canada,0.1
2009/2010,2,12261,0,SL,S063782002,Health education,0,Civil Society,130409.0,Health,130409.0,0,0,0,52523.64,S6212,0.45,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1002115,Nova Scotia Gambia Association,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.9
2009/2010,2,13040,0,SL,S063782002,STD control including HIV/AIDS,0,Civil Society,130409.0,Health,130409.0,0,0,0,52523.64,S6212,0.45,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1002115,Nova Scotia Gambia Association,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.9
2009/2010,2,99820,0,SL,S063782002,Promotion of development awareness,0,Civil Society,130409.0,Health,130409.0,0,0,0,11671.92,S6212,0.1,B6100,6161,Health,Closed,0.0,D6211,0,0.9,0,0,0,0,SL,Uncoded: Pre-APP,0,0,Africa,0,1002115,Nova Scotia Gambia Association,Canadian Non-Profit Making,NGO,2,Sierra Leone,0.9
2009/2010,2,12261,0,CA,S063783002,Health education,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,112.5,S6216,0.15,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,CA,Uncoded: Pre-APP,1,0,America,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,1,Canada,0.05
2009/2010,2,14031,0,CA,S063783002,Basic drinking water supply,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,225.0,S6216,0.3,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,CA,Uncoded: Pre-APP,1,0,America,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,1,Canada,0.05
2009/2010,2,14032,0,CA,S063783002,Basic sanitation,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,225.0,S6216,0.3,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,CA,Uncoded: Pre-APP,1,0,America,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,1,Canada,0.05
2009/2010,2,41081,0,CA,S063783002,Environmental education/training,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,150.0,S6216,0.2,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,CA,Uncoded: Pre-APP,1,0,America,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,1,Canada,0.05
2009/2010,2,99820,0,CA,S063783002,Promotion of development awareness,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,37.5,S6216,0.05,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,CA,Uncoded: Pre-APP,1,0,America,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,1,Canada,0.05
2009/2010,2,12261,0,UG,S063783002,Health education,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,2137.5,S6216,0.15,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,UG,Uncoded: Pre-APP,1,0,Africa,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,2,Uganda,0.95
2009/2010,2,14031,0,UG,S063783002,Basic drinking water supply,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,4275.0,S6216,0.3,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,UG,Uncoded: Pre-APP,1,0,Africa,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,2,Uganda,0.95
2009/2010,2,14032,0,UG,S063783002,Basic sanitation,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,4275.0,S6216,0.3,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,UG,Uncoded: Pre-APP,1,0,Africa,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,2,Uganda,0.95
2009/2010,2,41081,0,UG,S063783002,Environmental education/training,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,2850.0,S6216,0.2,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,UG,Uncoded: Pre-APP,1,0,Africa,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,2,Uganda,0.95
2009/2010,2,99820,0,UG,S063783002,Promotion of development awareness,0,Civil Society,15000.0,Environment Sustainability,15000.0,0,1,0,712.5,S6216,0.05,B6100,6216,Environmental Sustainability,Closed,0.0,D6217,0,0.95,0,0,0,0,UG,Uncoded: Pre-APP,1,0,Africa,0,1001808,Africa Community Technical Service,Canadian Non-Profit Making,NGO,2,Uganda,0.95
