Fiscal year,Sector ID,Climate change adaptation (marker),Organisation class,Project Browser country ID,CIDA business delivery model (old),Division name,Knowledge for development (marker),Untied amount(Project-level budget),Status,Gender equality (marker),Youth issues (marker),Project number,Programming process (new),Fund centre ID,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section ID,Section name,Regional program (marker),Fund centre name,FSTC percent,IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
2009/2010,15150,0,Governmental,CO,Responsive,NDD Americas Programming,0,3836672.21,Closed,2,1,A032833001,Uncoded: Pre-APP,4420,3836672.21,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Governmental,CO,Responsive,NDD Americas Programming,0,3836672.21,Closed,2,1,A032833001,Uncoded: Pre-APP,4420,3836672.21,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Governmental,CO,Responsive,NDD Americas Programming,0,3836672.21,Closed,2,1,A032833001,Uncoded: Pre-APP,4420,3836672.21,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15210,0,Governmental,CO,Responsive,NDD Americas Programming,0,3836672.21,Closed,2,1,A032833001,Uncoded: Pre-APP,4420,3836672.21,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15210,0,Governmental,CO,Responsive,NDD Americas Programming,0,3836672.21,Closed,2,1,A032833001,Uncoded: Pre-APP,4420,3836672.21,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15261,0,Governmental,CO,Responsive,NDD Americas Programming,0,3836672.21,Closed,2,1,A032833001,Uncoded: Pre-APP,4420,3836672.21,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15261,0,Governmental,CO,Responsive,NDD Americas Programming,0,3836672.21,Closed,2,1,A032833001,Uncoded: Pre-APP,4420,3836672.21,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,11420,0,Multilateral,CO,Responsive,NDD Americas Programming,0,500000.0,Closed,2,1,A032833002,Uncoded: Pre-APP,4420,500000.0,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15160,0,Multilateral,CO,Responsive,NDD Americas Programming,0,500000.0,Closed,2,1,A032833002,Uncoded: Pre-APP,4420,500000.0,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15210,0,Multilateral,CO,Responsive,NDD Americas Programming,0,500000.0,Closed,2,1,A032833002,Uncoded: Pre-APP,4420,500000.0,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15261,0,Multilateral,CO,Responsive,NDD Americas Programming,0,500000.0,Closed,2,1,A032833002,Uncoded: Pre-APP,4420,500000.0,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,11130,0,Multilateral,CO,Responsive,NDD Americas Programming,0,499939.0,Closed,0,2,A032833004,Uncoded: Pre-APP,4420,499939.0,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,11230,0,Multilateral,CO,Responsive,NDD Americas Programming,0,499939.0,Closed,0,2,A032833004,Uncoded: Pre-APP,4420,499939.0,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Multilateral,CO,Responsive,NDD Americas Programming,0,499939.0,Closed,0,2,A032833004,Uncoded: Pre-APP,4420,499939.0,B4400,NGM Americas,D4400,S4413,South America,0,Colombia,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,11120,0,Governmental,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,11120,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,11120,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,12191,0,Governmental,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,12191,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,12191,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15110,0,Governmental,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15110,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15110,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Governmental,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,22030,0,Governmental,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,22030,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,22030,0,Civil Society,PK,Responsive,OAD Asia Programming,0,9149509.97,Closed,0,0,A032843001,Uncoded: Pre-APP,4124,9149509.97,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,11230,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,11230,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,12220,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,12220,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15220,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15220,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,16050,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,16050,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,32130,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,32130,0,Civil Society,LK,Responsive,OAD Asia Programming,0,4741455.72,Closed,2,0,A032845001,Uncoded: Pre-APP,4118,4741455.72,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,PE,Directive,NDD Americas Programming,0,2497500.0,Terminating,0,0,A032854001,Uncoded: Pre-APP,4424,2497500.0,B4400,NGM Americas,D4400,S4413,South America,0,Peru,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,15130,0,Governmental,JM,Directive,NDD Americas Programming,0,467380.95,Closed,1,0,A032861001,Uncoded: Pre-APP,4439,467380.95,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,0.119999991,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15130,0,Governmental,JM,Directive,NDD Americas Programming,0,467380.95,Closed,1,0,A032861001,Uncoded: Pre-APP,4439,467380.95,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,0.119999991,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Governmental,JM,Directive,NDD Americas Programming,0,467380.95,Closed,1,0,A032861001,Uncoded: Pre-APP,4439,467380.95,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,0.119999991,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Governmental,JM,Directive,NDD Americas Programming,0,467380.95,Closed,1,0,A032861001,Uncoded: Pre-APP,4439,467380.95,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,0.119999991,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Governmental,JM,Directive,NDD Americas Programming,0,467380.95,Closed,1,0,A032861001,Uncoded: Pre-APP,4439,467380.95,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,0.119999991,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Governmental,JM,Directive,NDD Americas Programming,0,467380.95,Closed,1,0,A032861001,Uncoded: Pre-APP,4439,467380.95,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,0.119999991,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15130,0,Governmental,JM,Directive,NDD Americas Programming,0,14100000.0,Operational,0,0,A032861002,Uncoded: Pre-APP,4439,14100000.0,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,0.65,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Governmental,JM,Directive,NDD Americas Programming,0,14100000.0,Operational,0,0,A032861002,Uncoded: Pre-APP,4439,14100000.0,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,0.65,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Governmental,JM,Directive,NDD Americas Programming,0,14100000.0,Operational,0,0,A032861002,Uncoded: Pre-APP,4439,14100000.0,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,0.65,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15130,0,Governmental,JM,Directive,NDD Americas Programming,0,5700000.0,Operational,0,0,A032861003,Uncoded: Pre-APP,4434,5700000.0,B4400,NGM Americas,D4400,S4429,Caricom - Adm,1,Caribbean Region,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Governmental,JM,Directive,NDD Americas Programming,0,5700000.0,Operational,0,0,A032861003,Uncoded: Pre-APP,4434,5700000.0,B4400,NGM Americas,D4400,S4429,Caricom - Adm,1,Caribbean Region,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Governmental,JM,Directive,NDD Americas Programming,0,5700000.0,Operational,0,0,A032861003,Uncoded: Pre-APP,4434,5700000.0,B4400,NGM Americas,D4400,S4429,Caricom - Adm,1,Caribbean Region,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15160,0,Civil Society,CN,Directive,OAD Asia Programming,0,4842072.88,Terminating,1,0,A032870001,Uncoded: Pre-APP,4130,4842072.88,B4100,OGM Asia Pacific,D4100,S4126,OAI Indonesia and SEA Regional,0,China,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Governmental,BJ,Directive,WWD West & Central Africa,0,3720250.0,Closed,0,0,A032882001,Uncoded: Pre-APP,4251,3720250.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,0,Benin,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,BJ,Directive,WWD West & Central Africa,0,3720250.0,Closed,0,0,A032882001,Uncoded: Pre-APP,4251,3720250.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,0,Benin,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Civil Society,BJ,Directive,WWD West & Central Africa,0,3720250.0,Closed,0,0,A032882001,Uncoded: Pre-APP,4251,3720250.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,0,Benin,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Governmental,BJ,Directive,WWD West & Central Africa,0,3720250.0,Closed,0,0,A032882001,Uncoded: Pre-APP,4251,3720250.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,0,Benin,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,BJ,Directive,WWD West & Central Africa,0,3720250.0,Closed,0,0,A032882001,Uncoded: Pre-APP,4251,3720250.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,0,Benin,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Individual,BJ,Directive,WWD West & Central Africa,0,3720250.0,Closed,0,0,A032882001,Uncoded: Pre-APP,4251,3720250.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,0,Benin,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,43010,0,Unknown,BJ,Directive,WWD West & Central Africa,0,3720250.0,Closed,0,0,A032882001,Uncoded: Pre-APP,4251,3720250.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,0,Benin,1.0,0.0,0,1,Not PBA,0,0,0,1,0
2009/2010,15150,0,Multilateral,CI,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,31110,0,Multilateral,CI,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,33110,0,Multilateral,CI,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,43030,0,Multilateral,CI,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,15150,0,Multilateral,GW,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,31110,0,Multilateral,GW,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,33110,0,Multilateral,GW,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,43030,0,Multilateral,GW,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,15150,0,Multilateral,LR,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,31110,0,Multilateral,LR,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,33110,0,Multilateral,LR,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,43030,0,Multilateral,LR,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,15150,0,Multilateral,SL,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,31110,0,Multilateral,SL,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,33110,0,Multilateral,SL,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,43030,0,Multilateral,SL,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,15150,0,Multilateral,TG,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,31110,0,Multilateral,TG,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,33110,0,Multilateral,TG,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,43030,0,Multilateral,TG,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,15150,0,Multilateral,BF,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,31110,0,Multilateral,BF,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,33110,0,Multilateral,BF,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,43030,0,Multilateral,BF,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
2009/2010,15150,0,Multilateral,BJ,Directive,WWD West & Central Africa,0,96500.0,Closed,2,0,A032884002,Uncoded: Pre-APP,4310,96500.0,B4200,WGM Sub-Saharan Africa,D4207,S4249,Gulf of Guinea Program,1,Central & West Africa Regional Program,1.0,0.0,0,1,Not PBA,1,0,0,0,0
