assays_ASI,assays_CURAB,assays_Ti,assays_ASSTI,assays_ASSCA,assays_Descr,assays_RELATT,assays_CONSC,assays_SRI,assays_SASSI,assays_CHI,assays_CI,assays_BAFO,assays_TII,assays_VAI
6308,Intermediate,80682,,,The compound was evaluated for its cytotoxic potency against A-549 cell line,N,1,1,,CHEMBL619445,646.0,BAO_0000219,,
6309,Expert,80682,,,Cytotoxic concentration required to inhibit 50% cell growth in A-549 lung carcinoma cell lines,N,1,1,,CHEMBL839886,646.0,BAO_0000219,,
6310,Intermediate,80682,,,Cytotoxic activity of compound against A-549 tumor cell line.,N,1,1,,CHEMBL619446,646.0,BAO_0000219,,
6311,Intermediate,80682,,,In vitro cytotoxicity against Lung A-549 human tumors following a 6 day exposure.,N,1,1,,CHEMBL619447,646.0,BAO_0000219,,
6312,Intermediate,80682,,,In vitro cytotoxicity against Lung A-549 human tumors following a 2 day exposure.,N,1,1,,CHEMBL619448,646.0,BAO_0000219,,
6313,Intermediate,80682,,,In vitro cytotoxicity against Lung A-549 human tumors following a 2 day exposure; ND is no data,N,1,1,,CHEMBL619449,646.0,BAO_0000219,,
6314,Intermediate,80682,,,Cytotoxic activity of compound against A-549 tumor cell line at conc. of 20 ug/mL,N,1,1,,CHEMBL619450,646.0,BAO_0000219,,
6315,Intermediate,80682,,,Compound was tested for cytotoxic activity against A-549 human lung carcinoma (ATCC:CCL-185),N,1,1,,CHEMBL619451,646.0,BAO_0000219,,
6316,Expert,80682,,,In vitro inhibitory concentration against cell culture of A-549 human lung carcinoma,N,1,1,,CHEMBL619452,646.0,BAO_0000219,,
6317,Intermediate,80682,,,Concentration for in vitro cytotoxicity against A-549 human lung tumor cells,N,1,1,,CHEMBL619453,646.0,BAO_0000219,,
6318,Intermediate,80682,,,Dose required for in vitro cytotoxic activity against A-549 lung carcinoma cells at concentration of 10 ug/ml; NA is no cytotoxicity,N,1,1,,CHEMBL874367,646.0,BAO_0000219,,
6319,Intermediate,80682,,,Cytotoxic concentration against A-549 tumor cells.,N,1,1,,CHEMBL619454,646.0,BAO_0000219,,
6320,Intermediate,80682,,,Cytotoxic concentration against A-549 tumor cells; Inactive at 10 ug/mL.,N,1,1,,CHEMBL619455,646.0,BAO_0000219,,
6321,Intermediate,80682,,,"Cytotoxicity against NCI tumor panel, A-549/ATCC non small-cell lung cancer cell line",N,1,1,,CHEMBL619456,646.0,BAO_0000219,,
6322,Expert,50191,,,Minimum inhibitory concentration (lowest peptide concentration) required to prevent visible bacterial growth after 18 hr of incubation at 37 C in Mueller-Hinton broth against Acinetobacter baumannii 118A,N,1,1,,CHEMBL619457,,BAO_0000218,,
6323,Intermediate,50192,,,Activity against Acinetobacter calcoaceticus (AC54),N,1,1,,CHEMBL619458,,BAO_0000218,,
6324,Expert,50274,,,In vitro antifungal activity against Aspergillus flavus CM74,N,1,1,,CHEMBL619459,,BAO_0000218,,
6325,Expert,50274,,,In vitro antifungal activity against Aspergillus flavus CM74,N,1,1,,CHEMBL619460,,BAO_0000218,,
6326,Intermediate,50416,,,Inhibitory activity tested against Aspergillus fumigatus at 256 ug/mL concentration,N,1,1,,CHEMBL619461,,BAO_0000218,,
6327,Intermediate,50416,,,In vitro minimum fungicidal concentration required to inhibit Aspergillus fumigatus(MFC),N,1,1,,CHEMBL619462,,BAO_0000218,,
6328,Intermediate,50416,,,Antimicrobial activity against Aspergillus fumigatus (MIC),N,1,1,,CHEMBL620388,,BAO_0000218,,
6329,Intermediate,50416,,,Antimicrobial activity against Aspergillus fumigatus (MIC),N,1,1,,CHEMBL620389,,BAO_0000218,,
6330,Intermediate,50416,,,In vitro antimicrobial activity against Aspergillus fumigatus (MIC),N,1,1,,CHEMBL620390,,BAO_0000218,,
6331,Expert,50416,,,In vitro antifungal activity against Aspergillus fumigatus 48238E,N,1,1,,CHEMBL620391,,BAO_0000218,,
6332,Expert,50416,,,In vitro antifungal activity against Aspergillus fumigatus 48238E,N,1,1,,CHEMBL621073,,BAO_0000218,,
6333,Intermediate,50296,,,Compound is evaluated for plaque-bactericidal index (PBI) against Actinomyces naeslundii 631,N,1,1,,CHEMBL621074,,BAO_0000218,,
6334,Intermediate,50366,,,Compound is evaluated for plaque-bactericidal index (PBI) against Actinomyces viscosus M-100,N,1,1,,CHEMBL621075,,BAO_0000218,,
6335,Intermediate,50535,,,Tested in vivo for Acanthocheilonema viteae at 200 mg/kg X 5 days(perorally),N,1,1,,CHEMBL619554,,BAO_0000218,,
6336,Intermediate,50535,,,Tested in vivo for Acanthocheilonema viteae at 200 mg/kg X 5 days(perorally),N,1,1,,CHEMBL619555,,BAO_0000218,,
6337,Intermediate,50169,,,Antibacterial activity determined as minimal inhibitory concentration (MIC) against Actinobacillus actinomycetecommitans ATCC 29527,N,1,1,,CHEMBL619556,,BAO_0000218,,
6338,Intermediate,50169,,,Antibacterial activity determined as minimal inhibitory concentration (MIC) against Actinobacillus actinomycetecommitans ATCC 29527; value ranges from 1-2,N,1,1,,CHEMBL619557,,BAO_0000218,,
6339,Intermediate,50169,,,Antibacterial activity determined as minimal inhibitory concentration (MIC) against Actinobacillus actinomycetecommitans ATCC 29527; value ranges from 1-2; ND is Not Determined,N,1,1,,CHEMBL619558,,BAO_0000218,,
6340,Intermediate,80682,,,Effect on NAD+ depletion (% remaining versus vehicle control) in presence of MNNG (25 uM) at 11 uM compound concentration in A549 cells,N,1,1,,CHEMBL619559,646.0,BAO_0000219,,
6341,Intermediate,80682,,,Percent ADP-ribose polymer formation at 25 uM compound concentration in A549 cells,N,1,1,,CHEMBL619560,646.0,BAO_0000219,,
6342,Intermediate,80682,,,% inhibition against A549 cells (lung cancer) at 0.04 ug/mL,N,1,1,,CHEMBL619561,646.0,BAO_0000219,,
6343,Intermediate,80682,,,% inhibition against A549 cells (lung cancer) at 0.4 ug/mL,N,1,1,,CHEMBL619562,646.0,BAO_0000219,,
6344,Intermediate,80682,,,% inhibition against A549 cells (lung cancer) at 4 ug/mL,N,1,1,,CHEMBL619563,646.0,BAO_0000219,,
6345,Intermediate,80682,,,GI values against A549 cells (lung cancer),N,1,1,,CHEMBL857457,646.0,BAO_0000219,,
6346,Intermediate,80682,,,Effect on NAD+ depletion (% remaining versus vehicle control) 25 uM compound concentration in A549 cells,N,1,1,,CHEMBL619564,646.0,BAO_0000219,,
6347,Intermediate,80682,,,Inhibitory activity against A549 human adenocarcinoma,N,1,1,,CHEMBL619565,646.0,BAO_0000219,,
6348,Intermediate,80682,,,Evaluated for the antineoplastic activity against A549 lung (nonsmall cell) tumor xenograft in nude mice after administering 3 injections (intra peritoneally) at a dose of 200 mg/kg,N,1,1,,CHEMBL619566,646.0,BAO_0000218,,
6349,Intermediate,80682,,,Evaluated for the antineoplastic activity against A549 lung (nonsmall cell) tumor xenograft in nude mice after administering 3 injections (intra peritoneally) at a dose of 100 mg/kg,N,1,1,,CHEMBL619567,646.0,BAO_0000218,,
6350,Intermediate,80682,,,Inhibitory activity against A549 lung adenocarcinoma cell line,N,1,1,,CHEMBL619568,646.0,BAO_0000219,,
6351,Intermediate,80682,,,Inhibitory activity against A549 lung adenocarcinoma cell line; not determined,N,1,1,,CHEMBL619569,646.0,BAO_0000219,,
6352,Intermediate,80682,,,Cytotoxicity against human A549 lung cells,N,1,1,,CHEMBL619570,646.0,BAO_0000219,,
6353,Intermediate,80682,,,In vivo percent inhibitory activity of intraperitoneally administered compound (50 mg/kg/day) against mice infected with A549 tumor,N,1,1,,CHEMBL619571,646.0,BAO_0000218,,
6354,Expert,80682,,,Growth inhibition of A549 (human lung carcinoma) cell line.,N,1,1,,CHEMBL619572,646.0,BAO_0000219,,
6355,Expert,80682,,,Effective dose required for inhibitory activity against A549 human tumor cell line.,N,1,1,,CHEMBL619573,646.0,BAO_0000219,,
6356,Intermediate,80682,,,Effective dose required for inhibitory activity against A549 human tumor cell line; Not active,N,1,1,,CHEMBL619574,646.0,BAO_0000219,,
6357,Intermediate,80682,,,Cytotoxicity was evaluated against A549 tumor cell lines; Inactive,N,1,1,,CHEMBL619575,646.0,BAO_0000219,,
6358,Expert,80682,,,Cytotoxicity evaluated against A549 tumor cell lines; significant activity,N,1,1,,CHEMBL619576,646.0,BAO_0000219,,
6359,Intermediate,80682,,,Cytotoxicity was evaluated against A549 tumor cell lines; Slightly active,N,1,1,,CHEMBL619577,646.0,BAO_0000219,,
6360,Intermediate,80682,,,In vitro inhibitory activity against A549 tumor cell culture,N,1,1,,CHEMBL619578,646.0,BAO_0000219,,
6361,Intermediate,80682,,,In vitro inhibitory activity against A549 tumor cell culture; IA= Inactive,N,1,1,,CHEMBL884009,646.0,BAO_0000219,,
6362,Intermediate,80682,,,Activity against human lung cancer with mutated beta-tubulin (A549-T2415),N,1,1,,CHEMBL619579,646.0,BAO_0000219,,
6363,Intermediate,80682,,,Growth inhibitory activity was determined against A549/ATCC cancer cell line of non-small cell lung cancer,N,1,1,,CHEMBL619580,646.0,BAO_0000219,,
6364,Intermediate,80682,,,Inhibition of growth of A549/ATCC nonsmall cell lung cancer cell line,N,1,1,,CHEMBL619581,646.0,BAO_0000219,,
6365,Intermediate,80682,,,In vitro antitumor activity against NSCL A549/ATCC tumor cell lines,N,1,1,,CHEMBL619582,646.0,BAO_0000219,,
6366,Intermediate,80682,,,Cytotoxicity evaluation against A549/ATCC non-small-cell lung cancer cells,N,1,1,,CHEMBL619583,646.0,BAO_0000219,,
6367,Intermediate,80682,,,Cytotoxicity evaluation against A549/ATCC non-small-cell lung cancer cells; No data,N,1,1,,CHEMBL876502,646.0,BAO_0000219,,
6368,Intermediate,80682,,,In vitro cytotoxicity against human Non-small cell lung cancer A549/ATCC cell line.,N,1,1,,CHEMBL619584,646.0,BAO_0000219,,
6369,Intermediate,80682,,,In vitro growth inhibition of compound was determined against A549/ATCC cell lines of non-small cell lung cancer,N,1,1,,CHEMBL619585,646.0,BAO_0000219,,
6370,Intermediate,80682,,,Inhibition of the growth of non-small-cell lung cancer (A549/ATCC) cell line,N,1,1,,CHEMBL619586,646.0,BAO_0000219,,
6371,Intermediate,80682,,,In vitro growth inhibition of compound was determined against A549/ATCC cell lines of non-small cell lung cancer,N,1,1,,CHEMBL619587,646.0,BAO_0000219,,
6372,Intermediate,80682,,,Tested for in vitro cytotoxicity against non-small cell lung cancer cell line A549/ATCC,N,1,1,,CHEMBL619588,646.0,BAO_0000219,,
6373,Intermediate,80682,,,Tested in vitro for cytotoxicity in A549/ATCC cell lines,N,1,1,,CHEMBL619589,646.0,BAO_0000219,,
6374,Intermediate,80682,,,inhibition of the growth of non-small-cell lung cancer (A549/ATCC) cell line,N,1,1,,CHEMBL619590,646.0,BAO_0000219,,
6375,Intermediate,80682,,,Compound was evaluated for in vitro activity against A549/ATCC lung cancer cell lines (Human tumor cells ),N,1,1,,CHEMBL619591,646.0,BAO_0000219,,
6376,Intermediate,80682,,,Inhibition of the growth of non-small-cell lung cancer (A549/ATCC) cell line at 0.01 uM,N,1,1,,CHEMBL619592,646.0,BAO_0000219,,
6377,Intermediate,80682,,,Compound was evaluated for cytotoxic activity against non-small lung cancer A549/ATCC cell lines.,N,1,1,,CHEMBL619593,646.0,BAO_0000219,,
6378,Intermediate,80682,,,Tested for cytotoxic activity against non-small cell lung cancer A549/ATCC cell line,N,1,1,,CHEMBL620217,646.0,BAO_0000219,,
6379,Intermediate,80682,,,Compound tested for growth inhibition of non-small cell lung cancer cell line A549/ATCC,N,1,1,,CHEMBL620218,646.0,BAO_0000219,,
6380,Intermediate,80682,,,Compound was tested for 50% growth inhibition against human non-small cell lung cancer A549/ATCC cell line,N,1,1,,CHEMBL620219,646.0,BAO_0000219,,
6381,Intermediate,80682,,,Antitumor activity against A549/ATCC cell line,N,1,1,,CHEMBL620220,646.0,BAO_0000219,,
6382,Intermediate,80682,,,Tested for cytotoxicity against A549/ATCC cell lines in non-small-cell lung cancer,N,1,1,,CHEMBL625141,646.0,BAO_0000219,,
6383,Expert,80682,,,In vitro cytotoxicity against A549/ATCC cell line.,N,1,1,,CHEMBL625142,646.0,BAO_0000219,,
6384,Intermediate,80682,,,Tested in vitro for cytotoxicity in A549/ATCC cell line of Non-Small Cell Lung Cancer,N,1,1,,CHEMBL625143,646.0,BAO_0000219,,
6385,Intermediate,80682,,,In vitro inhibition of Non-Small Cell Lung Cancer A549/ATCC cell lines,N,1,1,,CHEMBL625144,646.0,BAO_0000219,,
6386,Intermediate,80682,,,Concentration of compound that cause 50% cytotoxicity of A549/ATCC non small cell lung cancer cell line,N,1,1,,CHEMBL622474,646.0,BAO_0000219,,
6387,Intermediate,80682,,,Evaluated for the inhibitory concentration required to cause growth inhibition of A549Rem- cell line of lung using the MTT Cytotoxicity Assay,N,1,1,,CHEMBL884104,646.0,BAO_0000219,,
6388,Autocuration,22226,,,Cytotoxicity was evaluated against A649 human mammary carcinoma cells,U,0,1,,CHEMBL622475,,BAO_0000219,,
6389,Intermediate,22224,,,Compound was tested for oral bioavailability in dogs,U,0,1,,CHEMBL622476,,BAO_0000218,,
6390,Intermediate,50588,,,Compound was tested for orally bioavailable in dogs with a half life of 0.7 hr,N,1,1,,CHEMBL875831,,BAO_0000218,,
6391,Intermediate,50588,,,Compound was tested for orally bioavailable in dogs with a half life of 1.2h,N,1,1,,CHEMBL622477,,BAO_0000218,,
6392,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL622478,,BAO_0000218,,
6393,Intermediate,50588,,,Compound was tested for the oral bioavailability in dog; No availability,N,1,1,,CHEMBL623172,,BAO_0000218,,
6394,Intermediate,50588,,,Oral bioavailability in dog (dose 5 mg/kg),N,1,1,,CHEMBL623173,,BAO_0000218,,
6395,Intermediate,50588,,,Oral bioavailability (F%) of compound was determined after intravenous administration in average of two dogs at a dose of 1 mg/kg; ND=not determined,N,1,1,,CHEMBL623174,,BAO_0000218,,
6396,Intermediate,50588,,,Oral bioavailability (F%) of compound was determined after intravenous administration in average of two dogs at a dose of 1 mg/kg; ND=not determined,N,1,1,,CHEMBL623175,,BAO_0000218,,
6397,Intermediate,50588,,,Oral bioavailability in Beagle dogs after Per oral administration at dose of 50(mg/kg),N,1,1,,CHEMBL623340,,BAO_0000218,,
6398,Intermediate,50588,,,Oral bioavailability in dog (dose 5 mg/kg),N,1,1,,CHEMBL623341,,BAO_0000218,,
6399,Intermediate,50588,,,Oral bioavailability in dog (p.o. dosing of 0.05 M citric acid/0.05 M hydrochloric acid solution),N,1,1,,CHEMBL623342,,BAO_0000218,,
6400,Intermediate,50588,,,Oral bioavailability of active FTIs in dogs,N,1,1,,CHEMBL623343,,BAO_0000218,,
6401,Intermediate,50588,,,Oral bioavailability in dog (dose 5 mg/kg p.o. and 2 mg/kg i.v.),N,1,1,,CHEMBL623344,,BAO_0000218,,
6402,Expert,50588,,,Oral bioavailability of compound determined in dog after iv administration at a dose of 10 mg/kg,N,1,1,,CHEMBL623345,,BAO_0000218,,
6403,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL875832,,BAO_0000218,,
6404,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623346,,BAO_0000218,,
6405,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623347,,BAO_0000218,,
6406,Intermediate,50588,,,Oral bioavailability of compound was determined in dog; Not tested,N,1,1,,CHEMBL623348,,BAO_0000218,,
6407,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623349,,BAO_0000218,,
6408,Intermediate,50588,,,Oral bioavailability (10 mg/kg) was determined in dog,N,1,1,,CHEMBL623350,,BAO_0000218,,
6409,Intermediate,50588,,,Oral bioavailability,N,1,1,,CHEMBL623351,,BAO_0000218,,
6410,Intermediate,50588,,,Oral bioavailability in dog (dosed as neat powder in hard gelatin capsule),N,1,1,,CHEMBL623352,,BAO_0000218,,
6411,Intermediate,50588,,,Oral bioavailability administered in solution in rats,N,1,1,,CHEMBL623353,,BAO_0000218,,
6412,Intermediate,50588,,,Oral bioavailability after 30 mg/kg po dose in Dogs,N,1,1,,CHEMBL875833,,BAO_0000218,,
6413,Intermediate,50588,,,Oral bioavailability at a dose of 1 mg/kg in dogs,N,1,1,,CHEMBL623354,,BAO_0000218,,
6414,Intermediate,50588,,,Oral bioavailability in dog (dose 1 mg/kg p.o.),N,1,1,,CHEMBL623355,,BAO_0000218,,
6415,Intermediate,50588,,,Oral bioavailability in Dog; ND = not determined,N,1,1,,CHEMBL623356,,BAO_0000218,,
6416,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623357,,BAO_0000218,,
6417,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623358,,BAO_0000218,,
6418,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623359,,BAO_0000218,,
6419,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623360,,BAO_0000218,,
6420,Intermediate,50588,,,Oral bioavailability in dogs; No data,N,1,1,,CHEMBL623361,,BAO_0000218,,
6421,Intermediate,50588,,,Oral bioavailability measured in dogs,N,1,1,,CHEMBL623362,,BAO_0000218,,
6422,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623363,,BAO_0000218,,
6423,Intermediate,50588,,,Oral bioavailability was calculated in dog,N,1,1,,CHEMBL623364,,BAO_0000218,,
6424,Intermediate,50588,,,Oral bioavailability after 0.3 mg/kg po administration in dog,N,1,1,,CHEMBL875834,,BAO_0000218,,
6425,Intermediate,50588,,,Oral bioavailability in dog (i.v. dosing),N,1,1,,CHEMBL623365,,BAO_0000218,,
6426,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623366,,BAO_0000218,,
6427,Intermediate,50588,,,Oral bioavailability in Beagle dog at a dose of 2 mg/kg by po administration,N,1,1,,CHEMBL623367,,BAO_0000218,,
6428,Intermediate,50588,,,Oral bioavailability in Beagle dogs,N,1,1,,CHEMBL623368,,BAO_0000218,,
6429,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623369,,BAO_0000218,,
6430,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623370,,BAO_0000218,,
6431,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623371,,BAO_0000218,,
6432,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL623372,,BAO_0000218,,
6433,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621351,,BAO_0000218,,
6434,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621352,,BAO_0000218,,
6435,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621353,,BAO_0000218,,
6436,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621354,,BAO_0000218,,
6437,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621355,,BAO_0000218,,
6438,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621356,,BAO_0000218,,
6439,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621357,,BAO_0000218,,
6440,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621358,,BAO_0000218,,
6441,Intermediate,50588,,,Oral bioavailability in dog (dosed as a mixture of five compounds at 0.5 mg/kg each via i.v. only),N,1,1,,CHEMBL621359,,BAO_0000218,,
6442,Intermediate,50588,,,Oral bioavailability in dog (dose 0.5 mg/kg i.v. and 2.0 mg/kg p.o.),N,1,1,,CHEMBL621360,,BAO_0000218,,
6443,Intermediate,50588,,,Oral bioavailability in dog (dose 0.5 mg/kg i.v. and 2.0 mg/kg p.o.),N,1,1,,CHEMBL621361,,BAO_0000218,,
6444,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621362,,BAO_0000218,,
6445,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621363,,BAO_0000218,,
6446,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621364,,BAO_0000218,,
6447,Intermediate,50588,,,Oral bioavailability in dog (dose 0.2 mg/kg i.v.),N,1,1,,CHEMBL621166,,BAO_0000218,,
6448,Intermediate,50588,,,Oral bioavailability in dog (dose 1 mg/kg i.v.),N,1,1,,CHEMBL621167,,BAO_0000218,,
6449,Intermediate,50588,,,Oral bioavailability (F) in dogs,N,1,1,,CHEMBL621168,,BAO_0000218,,
6450,Intermediate,50588,,,Oral bioavailability in dog,N,1,1,,CHEMBL621169,,BAO_0000218,,
6451,Intermediate,50588,,,Bioavailability in dog,N,1,1,,CHEMBL875950,,BAO_0000218,,
6452,Intermediate,50588,,,Oral bioavailability in dog (dose 10 mg/kg),N,1,1,,CHEMBL621170,,BAO_0000218,,
6453,Intermediate,50588,,,Oral bioavailability after peroral administration at 5 mpk in Dog,N,1,1,,CHEMBL621171,,BAO_0000218,,
6454,Intermediate,50588,,,Oral bioavailability in dog (dose 5 mg/kg),N,1,1,,CHEMBL621172,,BAO_0000218,,
6455,Intermediate,50588,,,Oral bioavailability in dog (dose 10 mg/kg),N,1,1,,CHEMBL621173,,BAO_0000218,,
6456,Intermediate,50594,Kidney,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice kidney bearing S180 tumor cell line for 4 hours,N,1,1,,CHEMBL621174,42.0,BAO_0000218,2113.0,
6457,Intermediate,50594,Kidney,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice kidney bearing S180 tumor cell line for 8 hours,N,1,1,,CHEMBL621175,42.0,BAO_0000218,2113.0,
6458,Intermediate,50594,Liver,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice liver bearing S180 tumor cell line for 1 hour,N,1,1,,CHEMBL621176,42.0,BAO_0000218,2107.0,
6459,Intermediate,50594,Liver,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice liver bearing S180 tumor cell line for 2 hours,N,1,1,,CHEMBL621177,42.0,BAO_0000218,2107.0,
6460,Intermediate,50594,Liver,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice liver bearing S180 tumor cell line for 30 minutes,N,1,1,,CHEMBL621178,42.0,BAO_0000218,2107.0,
6461,Intermediate,50594,Liver,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice liver bearing S180 tumor cell line for 4 hours,N,1,1,,CHEMBL621179,42.0,BAO_0000218,2107.0,
6462,Intermediate,50594,Liver,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice liver bearing S180 tumor cell line for 8 hours,N,1,1,,CHEMBL621180,42.0,BAO_0000218,2107.0,
6463,Intermediate,50594,Lung,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice lung bearing S180 tumor cell line for 1 hour,N,1,1,,CHEMBL875951,42.0,BAO_0000218,2048.0,
6464,Intermediate,50594,Lung,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice lung bearing S180 tumor cell line for 2 hours,N,1,1,,CHEMBL621181,42.0,BAO_0000218,2048.0,
6465,Intermediate,50594,Lung,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice lung bearing S180 tumor cell line for 30 minutes,N,1,1,,CHEMBL621182,42.0,BAO_0000218,2048.0,
6466,Intermediate,50594,Lung,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice lung bearing S180 tumor cell line for 4 hours,N,1,1,,CHEMBL621183,42.0,BAO_0000218,2048.0,
6467,Intermediate,50594,Lung,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice lung bearing S180 tumor cell line for 8 hours,N,1,1,,CHEMBL621184,42.0,BAO_0000218,2048.0,
6468,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice muscle bearing S180 tumor cell line for 1 hour,N,1,1,,CHEMBL621185,42.0,BAO_0000218,,
6469,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice muscle bearing S180 tumor cell line for 2 hours,N,1,1,,CHEMBL621186,42.0,BAO_0000218,,
6470,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice muscle bearing S180 tumor cell line for 30 minutes,N,1,1,,CHEMBL621187,42.0,BAO_0000218,,
6471,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice muscle bearing S180 tumor cell line for 4 hours,N,1,1,,CHEMBL621188,42.0,BAO_0000218,,
6472,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice muscle bearing S180 tumor cell line for 8 hours,N,1,1,,CHEMBL621189,42.0,BAO_0000218,,
6473,Intermediate,50594,Spleen,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice spleen bearing S180 tumor cell line for 1 hour,N,1,1,,CHEMBL621190,42.0,BAO_0000218,2106.0,
6474,Intermediate,50594,Spleen,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice spleen bearing S180 tumor cell line for 2 hours,N,1,1,,CHEMBL618520,42.0,BAO_0000218,2106.0,
6475,Intermediate,50594,Spleen,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice spleen bearing S180 tumor cell line for 30 minutes,N,1,1,,CHEMBL621739,42.0,BAO_0000218,2106.0,
6476,Intermediate,50594,Spleen,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice spleen bearing S180 tumor cell line for 4 hours,N,1,1,,CHEMBL621740,42.0,BAO_0000218,2106.0,
6477,Intermediate,50594,Spleen,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice spleen bearing S180 tumor cell line for 8 hours,N,1,1,,CHEMBL621741,42.0,BAO_0000218,2106.0,
6478,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor bearing S180 tumor cell line for 1 hour,N,1,1,,CHEMBL621742,42.0,BAO_0000218,,
6479,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor bearing S180 tumor cell line for 2 hours,N,1,1,,CHEMBL621743,42.0,BAO_0000218,,
6480,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor bearing S180 tumor cell line for 30 minutes,N,1,1,,CHEMBL621744,42.0,BAO_0000218,,
6481,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]-N4IPA in mice tumor bearing S180 tumor cell line for 4 hours,N,1,1,,CHEMBL621745,42.0,BAO_0000218,,
6482,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor bearing S180 tumor cell line for 8 hours,N,1,1,,CHEMBL621746,42.0,BAO_0000218,,
6483,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 1 hour,N,1,1,,CHEMBL621747,42.0,BAO_0000218,,
6484,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 2 hours,N,1,1,,CHEMBL621748,42.0,BAO_0000218,,
6485,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 30 minutes,N,1,1,,CHEMBL621749,42.0,BAO_0000218,,
6486,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 4 hours,N,1,1,,CHEMBL621750,42.0,BAO_0000218,,
6487,Intermediate,50594,,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/blood bearing S180 tumor cell line for 8 hours,N,1,1,,CHEMBL621751,42.0,BAO_0000218,,
6488,Intermediate,50594,Heart,,In vivo biodistribution of radiolabeled [99mTc]N4IPA in mice tumor/heart bearing S180 tumor cell line for 1 hour,N,1,1,,CHEMBL621752,42.0,BAO_0000218,948.0,
