assays_ss_d,assays_td,assays_ss_ctgr,assays_ss_tst_tp,assays_cnfdnc_scr,assays_ss_strn,assays_rltnshp_tp,assays_ss_sbclllr_frctn,assays_ss_tss,assays_ss_cll_tp,assays_crtd_b,assays_dscrptn,assays_ss_tp,assays_src_d,assays_vrnt_d,assays_dc_d,assays_chmbl_d,assays_cll_d,assays_b_frmt,assays_tss_d
8512,50597,,In vivo,1,,N,,,,Intermediate,Plasma clearance in rats at the dose of 1.0 mpk by i.v. administration; ND= not determined,A,1,,6467,CHEMBL626946,,BAO_0000218,
8513,50597,,In vivo,1,,N,,,,Intermediate,Plasma clearance rate in Sprague-Dawley rats,A,1,,4956,CHEMBL626856,,BAO_0000218,
8514,50597,,In vivo,1,,N,,,,Intermediate,Plasma clearance was determined in rat after intravenous administration (0.5 mg/kg),A,1,,5529,CHEMBL626857,,BAO_0000218,
8515,50597,,In vivo,1,,N,,Plasma,,Intermediate,The compound was evaluated for plasma clearance in rat,A,1,,406,CHEMBL626858,,BAO_0000218,1969.0
8516,50597,,In vivo,1,,N,,Plasma,,Intermediate,Total plasma clearance in rat,A,1,,17655,CHEMBL627018,,BAO_0000218,1969.0
8517,50597,,In vivo,1,,N,,Blood,,Intermediate,Absorption behavior was judged by the peak blood concentration determined after oral dose of 30 mg/kg in rats.,A,1,,3293,CHEMBL625331,,BAO_0000218,178.0
8518,50597,,In vivo,1,,N,,Blood,,Intermediate,Blood level after a 10 mg/kg oral dose in rat expressed as Cmax was determined,A,1,,4075,CHEMBL625332,,BAO_0000218,178.0
8519,50597,,In vivo,1,,N,,,,Intermediate,C max was determined at 10 mg/kg po dose in rats,A,1,,2792,CHEMBL877590,,BAO_0000218,
8520,50597,,In vivo,1,,N,,,,Intermediate,C max was determined at 3 mg/kg po dose in rats,A,1,,2792,CHEMBL625333,,BAO_0000218,
8521,50597,,In vivo,1,,N,,,,Intermediate,Cmax after repeated oral dose of compound at 1 mg/kg in rats,A,1,,17594,CHEMBL625334,,BAO_0000218,
8522,50597,,In vivo,1,,N,,,,Intermediate,Cmax after single intravenous bolus of 1 mg/kg in rats,A,1,,17594,CHEMBL625335,,BAO_0000218,
8523,50597,,In vivo,1,,N,,,,Intermediate,Cmax of compound at 5 mg/kg after po administration was determined in rat,A,1,,4762,CHEMBL625336,,BAO_0000218,
8524,50597,,In vivo,1,,N,,,,Intermediate,Cmax 24 hr after 10 mg/kg oral administration in rats,A,1,,17509,CHEMBL625337,,BAO_0000218,
8525,50597,,In vivo,1,,N,,,,Intermediate,Cmax 24 hr after 2 mg/kg oral administration in rats,A,1,,17509,CHEMBL625338,,BAO_0000218,
8526,50597,,In vivo,1,,N,,Plasma,,Intermediate,Cmax in plasma was determined upon peroral administration of 10.0 mg/Kg dose in rat,A,1,,1466,CHEMBL625339,,BAO_0000218,1969.0
8527,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rat after administration of 2 mg/kg iv,A,1,,6535,CHEMBL625340,,BAO_0000218,
8528,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rat after administration of 2 mg/kg iv,A,1,,6535,CHEMBL625341,,BAO_0000218,
8529,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rats determined 6 hours after oral dosing of 20 mg/kg,A,1,,3169,CHEMBL622687,,BAO_0000218,
8530,50597,,In vivo,1,,N,,Plasma,,Intermediate,Cmax wa determined in rat plasma at 30 mg/kg after po administration,A,1,,6515,CHEMBL622688,,BAO_0000218,1969.0
8531,50597,,In vivo,1,,N,,Blood,,Intermediate,Cmax was calculated as maximum concentration reached in the blood after oral administration to male F344 rats,A,1,,11149,CHEMBL622689,,BAO_0000218,178.0
8532,50597,,In vivo,1,,N,,Blood,,Intermediate,Cmax was calculated as maximum concentration reached in the blood in air pouch exudate after oral administration to male F344 rats,A,1,,11149,CHEMBL620295,,BAO_0000218,178.0
8533,50597,,In vivo,1,,N,,,,Intermediate,Cmax after 10 mg/kg oral administration in rat,A,1,,17858,CHEMBL620296,,BAO_0000218,
8534,50597,,In vivo,1,,N,,,,Intermediate,Cmax after IV dosing at 0.5 mg/kg in rat; no data,A,1,,6518,CHEMBL620297,,BAO_0000218,
8535,50597,,In vivo,1,,N,,,,Intermediate,Cmax after IV dosing at 1 mg/kg in rat; no data,A,1,,6518,CHEMBL620298,,BAO_0000218,
8536,50597,,In vivo,1,,N,,,,Intermediate,Cmax after oral administration at 20 mpk in rats,A,1,,4426,CHEMBL620299,,BAO_0000218,
8537,50597,,In vivo,1,,N,,,,Intermediate,Cmax after oral administration at 20 mpk in rats; Not performed.,A,1,,4426,CHEMBL620300,,BAO_0000218,
8538,50597,,In vivo,1,,N,,,,Intermediate,Cmax after oral administration at 20 mpk in rats d; Not performed.,A,1,,4426,CHEMBL620301,,BAO_0000218,
8539,50597,,In vivo,1,,N,,,,Intermediate,Cmax after oral administration in rat,A,1,,5656,CHEMBL620302,,BAO_0000218,
8540,50597,,In vivo,1,,N,,,,Intermediate,Cmax after oral administration at a dose of 2 mg/kg in rat,A,1,,6518,CHEMBL620303,,BAO_0000218,
8541,50597,,In vivo,1,,N,,,,Intermediate,Cmax after oral administration at a dose of 4 mg/kg in rat,A,1,,6518,CHEMBL620304,,BAO_0000218,
8542,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rats after 20 mg/kg oral dose,A,1,,6113,CHEMBL620305,,BAO_0000218,
8543,50597,,In vivo,1,,N,,,,Intermediate,Cmax after peroral administration in rats at 2.4 uM/kg,A,1,,17764,CHEMBL620306,,BAO_0000218,
8544,50597,,In vivo,1,,N,,,,Intermediate,Cmax at the dose of 2 mg/Kg administered perorally in rats,A,1,,4756,CHEMBL620307,,BAO_0000218,
8545,50597,,In vivo,1,,N,,,,Intermediate,Cmax at the dose of 5 mg/Kg administered perorally in rats,A,1,,4756,CHEMBL620308,,BAO_0000218,
8546,50597,,In vivo,1,,N,,,,Intermediate,Cmax by administering at 20 mg/kg p.o. in rats,A,1,,6402,CHEMBL620309,,BAO_0000218,
8547,50597,,In vivo,1,,N,,,,Intermediate,Cmax in male rat,A,1,,5610,CHEMBL620310,,BAO_0000218,
8548,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rat,A,1,,5207,CHEMBL620311,,BAO_0000218,
8549,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rat,A,1,,6011,CHEMBL620312,,BAO_0000218,
8550,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rat,A,1,,6504,CHEMBL620313,,BAO_0000218,
8551,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rat at 10 mg/kg,A,1,,6046,CHEMBL620314,,BAO_0000218,
8552,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rat at the dose of 1 mg/kg i.v.,A,1,,6504,CHEMBL620315,,BAO_0000218,
8553,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rat by po administration at a dose of 40 mg/kg,A,1,,5874,CHEMBL620316,,BAO_0000218,
8554,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rat p.o. at 20 mg/kg concentration,A,1,,17686,CHEMBL620317,,BAO_0000218,
8555,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rats,A,1,,5836,CHEMBL620318,,BAO_0000218,
8556,50597,,In vivo,1,,N,,,,Intermediate,Cmax in rats,A,1,,17596,CHEMBL620319,,BAO_0000218,
8557,50597,,In vivo,1,,N,,,,Intermediate,Cmax was evaluated after 20 uM/kg of peroral administration,A,1,,16423,CHEMBL620320,,BAO_0000218,
8558,50597,,In vivo,1,,N,,,,Intermediate,Cmax was measured in rats after peroral administration at 3 mg/kg,A,1,,17804,CHEMBL620321,,BAO_0000218,
8559,50597,,In vivo,1,,N,,,,Intermediate,Cmax value after oral dose at a dose of 10 mg/kg in rats.,A,1,,1908,CHEMBL620322,,BAO_0000218,
8560,50597,,,1,,N,,,,Intermediate,Distribution of [123I]-label in rat brain (diencephalon) was reported at 60 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620323,,BAO_0000218,
8561,50597,,,1,,N,,Frontal cortex,,Intermediate,Distribution of [123I]-label in rat brain (frontal cortex) was reported at 20 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620324,,BAO_0000218,1870.0
8562,50597,,,1,,N,,Frontal cortex,,Intermediate,Distribution of [123I]-label in rat brain (frontal cortex) was reported at 60 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620325,,BAO_0000218,1870.0
8563,50597,,,1,,N,,Hippocampus,,Intermediate,Distribution of [123I]-label in rat brain (hippocampus) was reported at 20 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620326,,BAO_0000218,10000000.0
8564,50597,,,1,,N,,Hippocampus,,Intermediate,Distribution of [123I]-label in rat brain (hippocampus) was reported at 60 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620327,,BAO_0000218,10000000.0
8565,50597,,,1,,N,,,,Intermediate,Distribution of [123I]-label in rat brain (medulla pons) was reported at 20 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620328,,BAO_0000218,
8566,50597,,,1,,N,,,,Intermediate,Distribution of [123I]-label in rat brain (medulla pons) was reported at 60 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620329,,BAO_0000218,
8567,50597,,,1,,N,,Midbrain,,Intermediate,Distribution of [123I]-label in rat brain (midbrain) was reported at 20 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620330,,BAO_0000218,1891.0
8568,50597,,,1,,N,,Midbrain,,Intermediate,Distribution of [123I]-label in rat brain (midbrain) was reported at 60 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL875286,,BAO_0000218,1891.0
8569,50597,,,1,,N,,,,Intermediate,Distribution of [123I]-label in rat brain (posterior cortex) was reported at 20 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620331,,BAO_0000218,
8570,50597,,,1,,N,,,,Intermediate,Distribution of [123I]-label in rat brain (posterior cortex) was reported at 60 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620332,,BAO_0000218,
8571,50597,,,1,,N,,Striatum,,Intermediate,Distribution of [123I]-label in rat brain (striatum) was reported at 20 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620333,,BAO_0000218,2435.0
8572,50597,,,1,,N,,Striatum,,Intermediate,Distribution of [123I]-label in rat brain (striatum) was reported at 60 min post injection. Value shown is %ID/g of tissue,A,1,,13950,CHEMBL620334,,BAO_0000218,2435.0
8573,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,A,1,,16434,CHEMBL621015,,BAO_0000218,178.0
8574,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 30 min.,A,1,,16434,CHEMBL621016,,BAO_0000218,178.0
8575,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,A,1,,16434,CHEMBL621191,,BAO_0000218,178.0
8576,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,A,1,,16434,CHEMBL621192,,BAO_0000218,178.0
8577,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min.,A,1,,16434,CHEMBL621193,,BAO_0000218,178.0
8578,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 30 min.,A,1,,16434,CHEMBL621194,,BAO_0000218,178.0
8579,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min.,A,1,,16434,CHEMBL624204,,BAO_0000218,178.0
8580,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min.,A,1,,16434,CHEMBL624205,,BAO_0000218,178.0
8581,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of anti-[18F]FMACBC after 120 min.,A,1,,16435,CHEMBL624206,,BAO_0000218,178.0
8582,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of anti-[18F]FMACBC after 30 min.,A,1,,16435,CHEMBL624207,,BAO_0000218,178.0
8583,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of anti-[18F]FMACBC after 5 min.,A,1,,16435,CHEMBL624208,,BAO_0000218,178.0
8584,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of anti-[18F]FMACBC after 60 min.,A,1,,16435,CHEMBL624209,,BAO_0000218,178.0
8585,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of syn-[18F]-FMACBC after 120 min.,A,1,,16435,CHEMBL624210,,BAO_0000218,178.0
8586,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of syn-[18F]-FMACBC after 30 min.,A,1,,16435,CHEMBL624211,,BAO_0000218,178.0
8587,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of syn-[18F]-FMACBC after 5 min.,A,1,,16435,CHEMBL624212,,BAO_0000218,178.0
8588,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of normal fischer rat after injection of syn-[18F]-FMACBC after 60 min.,A,1,,16435,CHEMBL624213,,BAO_0000218,178.0
8589,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 120 min,A,1,,16434,CHEMBL876611,,BAO_0000218,178.0
8590,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 5 min,A,1,,16434,CHEMBL624214,,BAO_0000218,178.0
8591,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of [18F]fluoro-2-methylpropanoic acid after 60 min,A,1,,16434,CHEMBL624215,,BAO_0000218,178.0
8592,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 120 min,A,1,,16435,CHEMBL624216,,BAO_0000218,178.0
8593,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 5 min,A,1,,16435,CHEMBL624217,,BAO_0000218,178.0
8594,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of anti-[18F]FMACBC after 60 min,A,1,,16435,CHEMBL624218,,BAO_0000218,178.0
8595,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 120 min,A,1,,16435,CHEMBL624219,,BAO_0000218,178.0
8596,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 5 min,A,1,,16435,CHEMBL624220,,BAO_0000218,178.0
8597,50597,,,1,,N,,Blood,,Intermediate,Radioactivity distribution in blood of tumor-bearing fischer rat after injection of syn-[18F]-FMACBC after 60 min,A,1,,16435,CHEMBL624221,,BAO_0000218,178.0
8598,50597,,,1,,N,,,,Intermediate,Radioactivity distribution in bone of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 120 min.,A,1,,16434,CHEMBL624222,,BAO_0000218,
8599,50597,,,1,,N,,,,Intermediate,Radioactivity distribution in bone of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 30 min.,A,1,,16434,CHEMBL624223,,BAO_0000218,
8600,50597,,,1,,N,,,,Intermediate,Radioactivity distribution in bone of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 5 min.,A,1,,16434,CHEMBL624224,,BAO_0000218,
8601,50597,,,1,,N,,,,Intermediate,Radioactivity distribution in bone of normal fischer rat after injection of [18F]-fluoro-2-methyl-2-(methylamino)propanoic acid after 60 min.,A,1,,16434,CHEMBL624225,,BAO_0000218,
8602,50597,,In vivo,1,,N,,,,Intermediate,Volume of solubility in solution after intravenous administration in rats at 24 uM/kg,A,1,,17764,CHEMBL622420,,BAO_0000218,
8603,50597,,In vivo,1,,N,,,,Intermediate,Volume of steady state distribution after i.v. administration in rats,A,1,,5031,CHEMBL622421,,BAO_0000218,
8604,50597,,In vivo,1,,N,,,,Intermediate,Vss after intravenous administration (5.0 mg/kg) was determined in rat,A,1,,6215,CHEMBL622422,,BAO_0000218,
8605,50597,,In vivo,1,,N,,,,Intermediate,Vss in male Sprague-Dawley rats following an intravenous bolus dose at 10-20 mg/kg,A,1,,17671,CHEMBL622423,,BAO_0000218,
8606,50597,,In vivo,1,,N,,,,Intermediate,Vss was determined,A,1,,17752,CHEMBL622424,,BAO_0000218,
8607,50597,,In vivo,1,,N,,,,Intermediate,Vss in rat,A,1,,6596,CHEMBL622425,,BAO_0000218,
8608,50597,,In vivo,1,,N,,,,Intermediate,Vss was evaluated after 10 uM/kg of intra arterial administration,A,1,,16423,CHEMBL876612,,BAO_0000218,
8609,50597,,In vivo,1,,N,,,,Intermediate,volume of distribution at steady state was observed after intravenous administration in rat,A,1,,15662,CHEMBL622426,,BAO_0000218,
8610,50597,,In vivo,1,,N,,,,Intermediate,Volume of distribution was measured in rat after an iv dose of 1 mg/kg,A,1,,6062,CHEMBL622427,,BAO_0000218,
8611,50597,,In vivo,1,,N,,,,Intermediate,Pharmacokinetic (PK) parameter Vz in rat,A,1,,5874,CHEMBL622428,,BAO_0000218,
8612,50597,,In vivo,1,,N,,,,Intermediate,Volume distribution in rats,A,1,,4942,CHEMBL622429,,BAO_0000218,
8613,50597,,In vivo,1,,N,,,,Intermediate,Volume of distribution in rat; No data,A,1,,17796,CHEMBL622430,,BAO_0000218,
8614,50597,,In vivo,1,,N,,,,Intermediate,Volume of distribution was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,A,1,,4890,CHEMBL622431,,BAO_0000218,
8615,50597,,,1,,N,,Ileum,,Intermediate,% absorption predicted from in vitro rat ileum transport studies,A,1,,15765,CHEMBL622432,,BAO_0000218,2116.0
8616,50597,,In vivo,1,,N,,,,Intermediate,Bioavailability at an iv dose of 12 mg/Kg and po dose of 23 mg/Kg,A,1,,13569,CHEMBL622433,,BAO_0000218,
8617,50597,,In vivo,1,,N,,,,Intermediate,Bioavailability at an iv dose of 14 mg/Kg and po dose of 15 mg/Kg,A,1,,13569,CHEMBL622434,,BAO_0000218,
8618,50597,,In vivo,1,,N,,,,Intermediate,Bioavailability at an iv dose of 14 mg/Kg and po dose of 28 mg/Kg,A,1,,13569,CHEMBL622435,,BAO_0000218,
8619,50597,,In vivo,1,,N,,,,Intermediate,Bioavailability (dose 15 mg/kg i.v. and 30 mg/kg p.o.),A,1,,13569,CHEMBL618748,,BAO_0000218,
8620,50597,,In vivo,1,,N,,,,Intermediate,Bioavailability at an iv dose of 15 mg/Kg and po dose of 30.2 mg/Kg,A,1,,13569,CHEMBL618749,,BAO_0000218,
8621,50597,,In vivo,1,,N,,,,Intermediate,Bioavailability at an iv dose of 15.6 mg/Kg and po dose of 31.2 mg/Kg,A,1,,13569,CHEMBL618750,,BAO_0000218,
8622,50597,,In vivo,1,,N,,,,Intermediate,Bioavailability at an iv dose of 15.7 mg/Kg and po dose of 31.4 mg/Kg,A,1,,13569,CHEMBL618751,,BAO_0000218,
8623,50597,,In vivo,1,,N,,,,Intermediate,Bioavailability at an iv dose of 16 mg/Kg and po dose of 35 mg/Kg,A,1,,13569,CHEMBL618752,,BAO_0000218,
8624,50597,,In vivo,1,,N,,,,Intermediate,Oral bioavailability in rat,A,1,,4576,CHEMBL618753,,BAO_0000218,
8625,50597,,In vivo,1,,N,,Plasma,,Intermediate,Oral bioavailability estimated by measurement of the circulating plasma levels of BMS-183920 after intravenous and oral dosing to rats for 4 determinations,A,1,,750,CHEMBL618754,,BAO_0000218,1969.0
8626,50597,,In vivo,1,,N,,,,Intermediate,Oral bioavailability in rat,A,1,,750,CHEMBL618755,,BAO_0000218,
8627,50597,,In vivo,1,,N,,,,Intermediate,Oral bioavailability in rat,A,1,,4590,CHEMBL618756,,BAO_0000218,
8628,50597,,In vivo,1,,N,,,,Intermediate,Oral bioavailability in rat,A,1,,1716,CHEMBL618757,,BAO_0000218,
8629,50597,,In vivo,1,,N,,,,Intermediate,Bioavailability in rat,A,1,,1974,CHEMBL618758,,BAO_0000218,
8630,50597,,In vivo,1,,N,,,,Intermediate,Oral bioavailability in rat (dose 30 mg/kg),A,1,,4502,CHEMBL621088,,BAO_0000218,
8631,50597,,,1,,N,,,,Intermediate,Pharmacokinetic property (cLogP) in rat,A,1,,3371,CHEMBL621089,,BAO_0000218,
8632,50597,,,1,,N,,Blood,,Intermediate,Hyperglycemic activity and change in blood glucose concentration was reported 2 hours after administration of 100 mg/Kg perorally,F,1,,9099,CHEMBL621090,,BAO_0000218,178.0
8633,50597,,,1,,N,,Blood,,Intermediate,Hyperglycemic activity and change in blood glucose concentration was reported 4 hours after administration of 100 mg/Kg perorally,F,1,,9099,CHEMBL621091,,BAO_0000218,178.0
8634,50597,,In vivo,1,,N,,,,Intermediate,Clearance in rat.,A,1,,4590,CHEMBL876731,,BAO_0000218,
8635,50597,,In vivo,1,,N,,,,Intermediate,Compound was evaluated for its clearance when administered intravenously in rat,A,1,,3184,CHEMBL621092,,BAO_0000218,
8636,50597,,In vivo,1,,N,,,,Intermediate,Plasma clearance in Male Sprague-Dawley rats after intravenous administration at a dose of 10 mg/kg,A,1,,16456,CHEMBL621093,,BAO_0000218,
8637,50597,,,1,,N,,,,Intermediate,Blood: Brain distribution ratio is determined in rat,A,1,,4199,CHEMBL621094,,BAO_0000218,
8638,50597,,,1,,N,,,,Intermediate,Blood: Brain distribution ratio is determined in rat; NQ: non quantifable,A,1,,4199,CHEMBL621095,,BAO_0000218,
8639,50597,,,1,,N,,,,Intermediate,Blood: Brain distribution ratio is determined in rat; NQ:non quantifable,A,1,,4199,CHEMBL621096,,BAO_0000218,
8640,50597,,In vivo,1,,N,,Kidney,,Intermediate,"Biodistribution in Sprague-Dawley rat kidneys(2) 15 minutes after intravenous administration, [99mTc]/[125I] IAP ratio)",A,1,,8677,CHEMBL621097,,BAO_0000218,2113.0
8641,50597,,,1,,N,,,,Intermediate,Percent dose excreted in 0-48 hours administered ip to male rat,F,1,,7449,CHEMBL621098,,BAO_0000218,
8642,50597,,,1,,N,,Cerebellum,,Intermediate,Uptake of radioligand [125I]FIDA1 by cerebellum in rat after 120 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL621099,,BAO_0000218,2037.0
8643,50597,,,1,,N,,Cerebellum,,Intermediate,Uptake of radioligand [125I]FIDA1 by cerebellum in rat after 2 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL621100,,BAO_0000218,2037.0
8644,50597,,,1,,N,,Cerebellum,,Intermediate,Uptake of radioligand [125I]-FIDA1 by cerebellum in rat after 30 minutes after an intravenous injection is given (average of 2 rats),A,1,,11977,CHEMBL621101,,BAO_0000218,2037.0
8645,50597,,,1,,N,,Cerebellum,,Intermediate,Uptake of radioligand [125I]FIDA1 by cerebellum in rat after 30 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL621102,,BAO_0000218,2037.0
8646,50597,,,1,,N,,Cerebellum,,Intermediate,Uptake of radioligand [125I]FIDA1 by cerebellum in rat after 60 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL876732,,BAO_0000218,2037.0
8647,50597,,,1,,N,,,,Intermediate,Uptake of radioligand [125I]-FIDA1 by cortex in rat after 120 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL621103,,BAO_0000218,
8648,50597,,,1,,N,,,,Intermediate,Uptake of radioligand [125I]FIDA1 by cortex in rat after 2 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL621104,,BAO_0000218,
8649,50597,,,1,,N,,,,Intermediate,Uptake of radioligand [125I]FIDA1 by cortex in rat after 30 minutes after an intravenous injection is given (average of 2 rats),A,1,,11977,CHEMBL621105,,BAO_0000218,
8650,50597,,,1,,N,,,,Intermediate,Uptake of radioligand [125I]-FIDA1 by cortex in rat after 30 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL621106,,BAO_0000218,
8651,50597,,,1,,N,,,,Intermediate,Uptake of radioligand [125I]FIDA1 by cortex in rat after 60 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL621107,,BAO_0000218,
8652,50597,,,1,,N,,,,Intermediate,Uptake of radioligand [125I]FIDA1 by hippo-campus in rat after 120 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL621108,,BAO_0000218,
8653,50597,,,1,,N,,,,Intermediate,Uptake of radioligand [125I]FIDA1 by hippo-campus in rat after 2 minutes after an intravenous injection is given (average of 3 rats),A,1,,11977,CHEMBL621109,,BAO_0000218,
8654,50594,,In vivo,1,,N,,Kidney,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) kidney after 30 minutes of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL621110,,BAO_0000218,2113.0
8655,50594,,In vivo,1,,N,,Kidney,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) kidney after 6 hours of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL621111,,BAO_0000218,2113.0
8656,50594,,In vivo,1,,N,,Liver,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) liver after 1 hour of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL622541,,BAO_0000218,2107.0
8657,50594,,In vivo,1,,N,,Liver,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) liver after 2 hours of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL622542,,BAO_0000218,2107.0
8658,50594,,In vivo,1,,N,,Liver,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) liver after 2 minutes of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL622543,,BAO_0000218,2107.0
8659,50594,,In vivo,1,,N,,Liver,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) liver after 24 hours of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL624412,,BAO_0000218,2107.0
8660,50594,,In vivo,1,,N,,Liver,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) liver after 30 minutes of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL624413,,BAO_0000218,2107.0
8661,50594,,In vivo,1,,N,,Liver,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) liver after 6 hours of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL624414,,BAO_0000218,2107.0
8662,50594,,In vivo,1,,N,,Lung,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) lung after 1 hour of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL624415,,BAO_0000218,2048.0
8663,50594,,In vivo,1,,N,,Lung,,Intermediate,Biodistribution of radioactivity in normal mice (ICR) lung after 2 hours of intravenous injection of [125I]-16(IMPY),A,1,,17208,CHEMBL624416,,BAO_0000218,2048.0
